-0.082728-1.94289e-16j 0.0348106+0.0403647j 0.0734505-0.0747955j 0.0236428+0.0414096j 0.00565323+0.0629887j -0.09757-0.0747119j 0.128786-0.0512017j -0.00197193+0.147379j 0.165582+0.329137j 0.0928965+0.0139709j -0.178542-0.107203j -0.040978-0.361799j -0.0451654-0.0771616j -0.0425047-0.0429764j 0.0720847+0.00371985j 0.0277555+0.0131806j -0.0429187-0.0246298j 0.0268399+0.00671941j -0.0654384+0.00813902j -0.0585173-0.00992338j -0.0196741-0.0198344j 0.00309125+0.0622379j -0.131172-0.0687746j 0.0160015+0.215265j -0.0556491+0.129036j -0.101648-0.272858j 
0.0348106-0.0403647j 0.138078-4.44089e-16j -0.190285-0.0281881j -0.0948184-0.0795716j -0.0299137-0.0156144j 0.130451+0.0909698j -0.09622-0.142426j -0.0731789+0.030388j -0.192857+0.223641j 0.198959-0.0663872j -0.0794785+0.268609j 0.0523989-0.371448j 0.152657-0.0374516j 0.0504973-0.0141052j -0.0970441+0.0198981j -0.0584502+0.0170378j 0.0290445-0.0302622j 0.00245549-0.00636651j 0.0766008+0.0370331j 0.0269099-0.0172623j -0.039812-0.0687394j 0.0666276-0.0447945j -0.0248853+0.072285j -0.124907-0.177684j 0.111087+0.144907j 0.141271+0.0325457j 
0.0734505+0.0747955j -0.190285+0.0281881j -0.0293245-1.38778e-16j 0.138997-0.0197813j 0.026078-0.0293226j -0.220134+0.150532j -0.29287+0.0989081j -0.0460233+0.0421661j -0.0984858-0.00928208j 0.0648912-0.204709j -0.29302+0.34668j 0.246179-0.118338j -0.070002+0.0890437j -0.0212586+0.0196405j 0.0144537-0.0506218j 0.0115729-0.028971j 0.00623078+0.0227587j -0.0254828-0.0072694j -0.00447619-0.0286888j -1.20901e-06+0.00755533j 0.0340572+0.0812495j -0.0351779+0.0444329j 0.0467625+0.0160638j 0.100866+0.0357998j -0.202316+0.0258509j -0.00468476-0.00397629j 
0.0236428-0.0414096j -0.0948184+0.0795716j 0.138997+0.0197813j 0.062162+2.66454e-15j -0.141807-0.106887j -0.156152-0.0267513j 0.0956786+0.0324065j 0.155515+0.00378887j 0.0740047+0.293945j -0.0224793+0.0728586j -0.241741-0.0749159j -0.0296691-0.360289j -0.126066-0.0530744j -0.017656-0.00858236j 0.0749284+0.057957j 0.013577-0.00582041j -7.06163e-05+0.039113j 0.000485146+0.0595579j -0.0273492-0.0451835j -0.0189171-0.00986637j -0.00213833+0.0105325j -0.0623728+0.0179097j -0.031514-0.0636915j 0.0412633+0.0560577j -0.0648754+0.0766593j -0.075069-0.0886659j 
0.00565323-0.0629887j -0.0299137+0.0156144j 0.026078+0.0293226j -0.141807+0.106887j -0.423523-1.99563e-14j 0.0793964-0.0149489j -0.0500112+0.00931584j -0.10117-0.456338j -0.115235+0.0690206j 0.041521+0.0299448j 0.0447026+0.0899749j -0.0473219+0.127702j -0.00740262+0.0464883j 0.000759856-0.00259894j -0.00383524-0.019663j 0.00615144+0.00676641j -0.00131144-0.00530217j -0.010062-0.022727j 0.000582119+0.0102377j -0.00123905-0.00165971j 0.00118161+0.00288691j 0.00606135-0.0227405j -0.00112682+0.00441011j -0.0189498+0.0211806j -0.00409355+0.000632241j -0.00186401+0.0159141j 
-0.09757+0.0747119j 0.130451-0.0909698j -0.220134-0.150532j -0.156152+0.0267513j 0.0793964+0.0149489j 0.154217-3.48198e-14j 0.0174088-0.0852083j -0.1004+0.0247643j -0.094455+0.0119729j 0.162484-0.105282j 0.0311777+0.105734j 0.0363352-0.0961868j 0.103058+0.00628213j 0.00673731-0.0293582j -0.0376549-0.0556724j -0.00324397+0.00940137j -0.00808893-0.00544806j -0.0285503+0.0446027j -0.033882+0.0234887j 0.049453+0.0305425j -0.0336434+0.000576018j 0.00839372-0.0421729j -0.0279615+0.0492458j -0.0370773-0.0104337j 0.0744492+0.0116559j 0.0413092+0.0472787j 
0.128786+0.0512017j -0.09622+0.142426j -0.29287-0.0989081j 0.0956786-0.0324065j -0.0500112-0.00931584j 0.0174088+0.0852083j 0.534474-2.08167e-17j -0.00650661+0.00963778j -0.0359368-0.0184147j -0.310262+0.0968627j 0.241602-0.0133534j 0.00724796-0.0719131j 0.0184069+0.104694j -0.00828162+0.00759466j 0.000337651-0.000419135j 0.0172549-0.013856j -0.0506525+0.0301179j -0.0035666+0.00332698j -0.00864614-0.0515955j 0.0360038-0.0283913j 0.111988+0.0196456j -0.0494761+0.0520526j 0.104924-0.047062j 0.0298064+0.0662731j -0.0660915+0.0573823j 0.0251916-0.0411505j 
-0.00197193-0.147379j -0.0731789-0.030388j -0.0460233-0.0421661j 0.155515-0.00378887j -0.10117+0.456338j -0.1004-0.0247643j -0.00650661-0.00963778j -0.393256-9.63118e-15j 0.159071+0.110301j 0.00748256-0.0268304j 0.00776577+0.0782097j 0.00581364+0.0535879j -0.0125219+0.013463j -0.0166741+0.0176049j 0.00705111+0.00357663j -0.0210102+0.0152593j -0.0139895+0.00230811j -0.0158379+0.0363846j -0.0045358-0.0253239j 0.0215815+0.0208341j 0.0097299-0.0181361j -0.0544943+0.0309413j 0.00115888+0.00365339j 0.0346484+0.0395999j -0.0111255+0.0215227j -0.00187754-0.000387673j 
0.165582-0.329137j -0.192857-0.223641j -0.0984858+0.00928208j 0.0740047-0.293945j -0.115235-0.0690206j -0.094455-0.0119729j -0.0359368+0.0184147j 0.159071-0.110301j -0.0628607+8.99861e-12j -0.103067+0.0490675j -0.0583811+0.050586j 0.00135494+0.0491113j -0.0546171-0.0756234j 0.0154751+0.0591888j 0.000506825+0.0505004j -0.0451723+0.0506161j -0.0352106-0.0206252j -0.0372548+0.0073934j 0.0152293-0.0663336j 0.0245575+0.0347218j 0.0236343-0.0552029j -0.0151176+0.0378842j 0.0309969-0.0187122j 0.0182331+0.0486112j -0.0640627+0.0133161j -0.0197533-0.0689954j 
0.0928965-0.0139709j 0.198959+0.0663872j 0.0648912+0.204709j -0.0224793-0.0728586j 0.041521-0.0299448j 0.162484+0.105282j -0.310262-0.0968627j 0.00748256+0.0268304j -0.103067-0.0490675j 0.0773932+2.94903e-16j 0.0957515+0.146038j 0.0121153+0.0428269j 0.0732718+0.00414681j 0.000608799+0.00855462j -0.0346207+0.0756315j -0.00466464+0.00559128j 0.0666396+0.027497j -0.0608404+0.0432824j -0.0170314-0.00128218j 0.0585217-0.0204808j 0.0515-0.0616529j -0.0946742+0.147606j -0.10498+0.0247926j 0.0347327+0.298988j -0.0187618+0.189781j 0.0377831-0.209478j 
-0.178542+0.107203j -0.0794785-0.268609j -0.29302-0.34668j -0.241741+0.0749159j 0.0447026-0.0899749j 0.0311777-0.105734j 0.241602+0.0133534j 0.00776577-0.0782097j -0.0583811-0.050586j 0.0957515-0.146038j -0.0907993-2.22045e-16j 0.042786+0.0361596j 0.0515182-0.0595738j 0.0703971-0.0276893j -0.0100645-0.0784779j 0.00257937-0.069568j -0.0622498-0.101687j 0.030978+0.0365602j -0.0860975+0.102705j -0.0140828+0.0590713j -0.0338299-0.0517997j -0.0328441+0.041979j -0.21554+0.0773593j -0.0333112+0.180804j 0.0359215+0.124038j -0.0132462-0.102955j 
