-5.87662e-05-1.38778e-17j -0.00216518+6.55228e-05j 0.00181217-0.000217306j 0.00387597+4.11547e-05j -0.00190861+0.000138039j -0.00188217+0.000170702j 0.000690801+0.000216639j -0.0040927+5.00934e-05j 0.000248045-0.0002654j -0.000506418+0.000369749j 0.00770781-0.000359517j -0.00826661-4.97045e-05j 0.00242813+0.00136426j -0.020491-0.000666522j 0.89714+0.0105623j 
-0.00216518-6.55228e-05j -0.00955985-1.95156e-17j 0.00441048-0.000409817j 0.0118076+0.000294404j -0.00779148+0.000271129j -0.0018948+0.000385918j 0.00103608+0.00030049j -0.0128663+1.78281e-05j -0.00202453-0.000535511j -0.000307275+0.000654492j 0.012344-0.000162145j -0.0185021-0.00073233j -0.00904323-0.000557019j 0.924288+0.00509627j -0.0198294-0.000661021j 
0.00181217+0.000217306j 0.00441048+0.000409817j -0.00617338-9.36751e-17j 0.00190356-0.000291884j 0.00762791+0.000563037j 0.00136811-0.000483117j 0.0107866+0.000337019j 0.0035713+0.000554745j -0.0074631-0.000185756j 0.0108238-3.7836e-05j -0.00189837-5.27834e-05j -0.00937986+0.000889666j -0.938909-0.00271908j 0.00949069+0.000563173j -0.00251717-0.00136401j 
0.00387597-4.11547e-05j 0.0118076-0.000294404j 0.00190356+0.000291884j -0.0146758+3.33934e-17j 0.0126134-0.000134683j -0.00429798-0.00044107j -0.00359941+7.84487e-05j 0.0176736+5.99053e-05j 0.00739246-4.02852e-05j 0.00413767+0.000180821j 0.0135655-0.000241288j -0.954791-0.00205405j -0.00412401+0.000901713j 0.0170937+0.000721746j 0.00821835+4.8441e-05j 
-0.00190861-0.000138039j -0.00779148-0.000271129j 0.00762791-0.000563037j 0.0126134+0.000134683j -0.00153859+7.18392e-16j -0.0100761+0.000465282j 0.00418266+0.000462535j -0.0133448+0.000102751j 0.00491473-0.000187934j 0.00360883-7.33367e-05j -0.955575-0.00228485j -0.0097706-0.000296413j -0.000788763-3.61065e-05j -0.0107569+0.000177678j -0.00741706+0.000362873j 
-0.00188217-0.000170702j -0.0018948-0.000385918j 0.00136811+0.000483117j -0.00429798+0.00044107j -0.0100761-0.000465282j -0.012719+1.3635e-14j -0.00563269+8.37574e-05j 0.00708493-0.000317024j -0.00277457+0.000503775j 0.966974+0.000643774j 0.00229389+8.64454e-05j -0.00574835-0.00018464j -0.00934132+3.88416e-05j 9.92419e-07+0.000655729j -0.000411142+0.000371032j 
0.000690801-0.000216639j 0.00103608-0.00030049j 0.0107866-0.000337019j -0.00359941-7.84487e-05j 0.00418266-0.000462535j -0.00563269-8.37574e-05j -0.0163801+7.02129e-15j -0.007003+6.45981e-05j -0.971835-0.000723708j -0.00783796-0.000509983j 0.00588354-0.000182747j 0.00374129-4.78595e-05j -0.00716337-0.000180121j 0.0021986+0.000529988j -0.000156434+0.000261522j 
-0.0040927-5.00934e-05j -0.0128663-1.78281e-05j 0.0035713-0.000554745j 0.0176736-5.99053e-05j -0.0133448-0.000102751j 0.00708493+0.000317024j -0.007003-6.45981e-05j 0.984584-2.91694e-16j -0.00325214-7.10119e-05j -0.00230108-0.000319754j 0.00731379-0.000111732j -0.0107786-5.44147e-05j -0.00271562-0.000551047j -0.0121263+1.78978e-05j -0.00413163+5.02889e-05j 
0.000248045+0.0002654j -0.00202453+0.000535511j -0.0074631+0.000185756j 0.00739246+4.02852e-05j 0.00491473+0.000187934j -0.00277457-0.000503775j -0.971835+0.000723708j -0.00325214+7.10119e-05j -0.00251299-4.10967e-15j 0.000270704-7.94544e-05j 0.003572+0.000465002j -0.00346138+8.43757e-05j 0.0105333+0.000338133j -0.000915958-0.000307962j -0.000657255-0.000221086j 
-0.000506418-0.000369749j -0.000307275-0.000654492j 0.0108238+3.7836e-05j 0.00413767-0.000180821j 0.00360883+7.33367e-05j 0.966974-0.000643774j -0.00783796+0.000509983j -0.00230108+0.000319754j 0.000270704+7.94544e-05j -0.0104994+1.29004e-14j 0.00820086-0.000469388j 0.00498356+0.00043789j -0.000626671+0.000485081j -0.00149399+0.00038794j -0.00185547+0.000171776j 
0.00770781+0.000359517j 0.012344+0.000162145j -0.00189837+5.27834e-05j 0.0135655+0.000241288j -0.955575+0.00228485j 0.00229389-8.64454e-05j 0.00588354+0.000182747j 0.00731379+0.000111732j 0.003572-0.000465002j 0.00820086+0.000469388j -0.00141129+1.39385e-15j 0.0112975-0.000131573j 0.00728836+0.000570671j 0.00776963-0.000266229j 0.001961-0.000137419j 
-0.00826661+4.97045e-05j -0.0185021+0.00073233j -0.00937986-0.000889666j -0.954791+0.00205405j -0.0097706+0.000296413j -0.00574835+0.00018464j 0.00374129+4.78595e-05j -0.0107786+5.44147e-05j -0.00346138-8.43757e-05j 0.00498356-0.00043789j 0.0112975+0.000131573j -0.0127625+3.00107e-16j 0.00253087-0.000287151j -0.0114976-0.000297237j -0.00390404-4.22646e-05j 
0.00242813-0.00136426j -0.00904323+0.000557019j -0.938909+0.00271908j -0.00412401-0.000901713j -0.000788763+3.61065e-05j -0.00934132-3.88416e-05j -0.00716337+0.000180121j -0.00271562+0.000551047j 0.0105333-0.000338133j -0.000626671-0.000485081j 0.00728836-0.000570671j 0.00253087+0.000287151j -0.00596306+3.14635e-16j -0.00422778+0.000412368j -0.00179953+0.000218335j 
-0.020491+0.000666522j 0.924288-0.00509627j 0.00949069-0.000563173j 0.0170937-0.000721746j -0.0107569-0.000177678j 9.92419e-07-0.000655729j 0.0021986-0.000529988j -0.0121263-1.78978e-05j -0.000915958+0.000307962j -0.00149399-0.00038794j 0.00776963+0.000266229j -0.0114976+0.000297237j -0.00422778-0.000412368j -0.00953972-1.51788e-17j -0.00219236+6.56983e-05j 
0.89714-0.0105623j -0.0198294+0.000661021j -0.00251717+0.00136401j 0.00821835-4.8441e-05j -0.00741706-0.000362873j -0.000411142-0.000371032j -0.000156434-0.000261522j -0.00413163-5.02889e-05j -0.000657255+0.000221086j -0.00185547-0.000171776j 0.001961+0.000137419j -0.00390404+4.22646e-05j -0.00179953-0.000218335j -0.00219236-6.56983e-05j -6.82977e-05-8.67362e-18j 
