1-6.46235e-27j 0.145662+0.00267511j 0.0301137-0.0299546j 0.05468+0.00918593j -0.0193652+0.0583895j 0.0347239+0.033004j -0.00120531-0.00845902j -0.0161731-0.0120817j 0.00350079-0.0281199j 0.0315438-0.0210662j -0.0365853-0.00493751j -0.0104571-0.0328164j -0.0273173-0.0166833j 0.0148202-0.0287242j 0.000184451-0.0100045j 0.000403975+0.00232692j 0.00871016+0.00390299j 0.000482044+0.00345239j -0.000777168+0.000259151j 0.00211695+0.00206614j -0.0179596+0.011458j -0.00997492-0.0269978j 0.0124582+0.0054368j -0.000727891+0.00170911j -6.00887e-06+0.00227881j -0.00876586-0.00103002j 0.0350067-0.00183411j 0.00901366-0.0216574j 0.0166393-0.00754022j 0.00574632+0.0268448j -0.00165156+0.00136137j -0.002048+0.00279867j -0.00494579-0.0213404j 0.0164016-0.00771917j 0.00906486+0.00947909j -0.00105469-0.00308727j 0.00616234+0.0039491j -0.00701418+0.00490905j -0.00398731-0.00023615j 4.00663e-05-0.000273597j 
0.145662-0.00267511j -0.0205519+1.27502e-16j 0.0838057-0.0643237j -0.0592359-0.0197174j 0.016973-0.109034j 0.0950461+0.071168j 0.0207043-0.0455527j 0.0186957-0.0164219j 0.00100719-0.0321809j 0.0050904+0.023839j 0.0111394+0.0146918j -0.0177098+0.0592809j -0.00714576-0.0124619j 0.0181225-0.0102105j -0.0145663-0.0465852j 0.00510221+0.0240082j 0.0210566+0.0256278j -0.00318421+0.0104404j -0.0108895-0.00664565j -0.0168303-0.0130633j -0.00278898+0.00555024j 0.00638249-0.00595184j -0.00540542-0.0182843j -0.00621238-0.00891785j 0.00967595-0.0140317j -0.0114692-0.00211221j 8.26072e-05+0.000466537j -0.0156101-0.00860091j -0.0177021+0.0104118j -0.0173822-0.0276157j -0.0110812-0.0088365j 0.00850412-0.00779751j -0.00348264-0.00940765j -0.00152246+0.0037572j 0.0143936+0.0105044j 0.0145155-0.0210612j 0.0135783-0.00334283j -0.00517251+0.0235054j -0.0229191+0.00432728j -0.00867449+0.00881201j 
0.0301137+0.0299546j 0.0838057+0.0643237j -0.172983-5.14588e-14j 0.210856-0.0304845j -0.39924+0.127858j -0.133666-0.474232j -0.00942617-0.036745j 0.00347952+0.00371319j -0.012599+0.0533958j 0.0345453-0.0472451j -0.0233733-0.0181924j 0.00861339-0.00193269j 0.079559-0.0394146j -0.0527156+0.00753533j -0.0631879-0.0631705j 0.0267392+0.0165438j -0.00587701+0.0110948j 0.00622033-0.0169296j -0.0293276+0.0127385j -0.0208395-0.0188631j -0.00248317+0.0164321j 0.0030598+0.00879735j 0.00802874-0.0132094j 0.0110867-0.000587881j -0.00861225+0.0220032j -0.0384223+0.0207341j -0.00790911+0.00545649j 0.0227378+0.000540711j -0.00309373+0.00321913j 0.00278275+0.0192182j -0.00724864-0.0124688j -0.0222392-0.0123376j 0.00268185-0.0127608j -0.0358251+0.0209407j -0.00463692-0.0296657j -0.0208919+0.047974j -0.0210298+0.0196568j -0.00496347+0.0232462j -0.0337551+0.0157318j 0.010266+0.0353355j 
0.05468-0.00918593j -0.0592359+0.0197174j 0.210856+0.0304845j 0.214181+9.00252e-14j -0.0899696-0.477547j 0.360301-0.150091j 0.00543709+0.0414728j 0.00759216-0.00742847j 0.0469129-0.0341133j -0.0401438+0.0313572j 0.00278535+0.0797225j -0.00932567+0.0400991j -0.052495-0.0433363j 0.0582207+0.00664566j -0.0349185+0.0263527j -0.0105516-0.0261023j -0.00159903-0.001935j -0.0148011+0.0164644j 0.0153313-0.0166175j -0.00967183+0.0322043j 0.0105474-0.00407547j -0.00198388-0.0104538j -0.00628756+0.00702669j 0.0343711+0.0188582j -0.00614652+0.018313j -0.0853865-0.00945915j -0.0136229-0.00777034j -0.0102283-0.0236153j -0.00793119+0.0189024j -0.00963231-0.0525965j 0.0148986+0.0136021j -0.0157661+0.0199918j 0.00029976-0.0027526j 0.0362473-0.0194488j 0.0163528+0.0203643j 0.0262002+0.0196569j -0.0394503+0.0127831j 0.0148601+0.0110648j 0.0101195-0.00449929j -0.00398715-0.0181607j 
-0.0193652-0.0583895j 0.016973+0.109034j -0.39924-0.127858j -0.0899696+0.477547j 0.0475521+1.48909e-14j 0.270001-0.0193264j -0.0468576-0.0462526j 0.0283024-0.0667583j -0.00528276+0.00329108j -0.0048753+0.0175181j -0.00956205+0.0607875j -0.0184724+0.0488378j -0.0311007-0.0127526j 0.0737173+0.0202354j -0.0282492+0.0219285j 0.0134017+0.00391817j 0.00590572+0.0347245j 0.00977241-0.0156057j -0.0492851+0.00545404j 0.0372826+0.0324826j 0.0174517-0.0175618j -0.00224017+0.00156355j 0.00218431-0.00387128j 0.00100286+0.00938923j 0.00437967-0.0294691j 0.0246892-0.0378254j 0.00404437-0.0171659j 0.0040312-0.0320309j 0.0291241-0.00913426j -0.00674998-0.0285941j 0.0124424+0.0281726j 0.022958+0.00760841j -0.00846267+0.00616104j 0.00658233+0.0129097j 0.00209668-0.000965086j 0.0235309-0.0485313j -0.0402351+0.00248225j 0.0031522+0.00351605j -0.00278688-0.0110667j 0.00769242+0.00165775j 
0.0347239-0.033004j 0.0950461-0.071168j -0.133666+0.474232j 0.360301+0.150091j 0.270001+0.0193264j -0.0450292-1.10467e-14j 0.0231918+0.00439634j -0.0329182+0.120841j -0.0221246+0.0110369j 0.00587543+0.00619015j -0.0853044-0.040078j 0.079213-0.0106647j -0.003666+0.0116559j -0.0570542+0.0143525j 0.0200185-0.00512786j -0.00697719+0.0542474j -0.0123475+0.018138j 0.0348836+0.0139472j 0.0421951+0.0531465j 0.0162589+0.0416161j -0.00404167+0.0215362j 0.00441541+0.0337126j 0.00326206-0.0278906j 0.0106734+0.00866168j 0.00845748+1.23414e-05j -0.0393314-0.0227236j -0.00972723-0.00696808j 0.023196+0.0118529j 0.0225121+0.00779184j -0.0102183+0.0224337j 0.0278025+0.0197824j -0.00603803+0.00964051j -0.00560707-0.00841039j -0.0301855+0.00571943j 0.00516488-0.00686166j 0.0119228-0.0138461j 0.0229334-0.00988875j -0.00838934-0.0117709j 0.000408433-0.00484874j 0.00382684+0.0124059j 
-0.00120531+0.00845902j 0.0207043+0.0455527j -0.00942617+0.036745j 0.00543709-0.0414728j -0.0468576+0.0462526j 0.0231918-0.00439634j -0.0737396+3.27516e-15j -0.0384846-0.0250784j 0.129283-0.00696546j -0.138893+0.0363218j 0.100155+0.0429498j -0.0133149+0.0646917j -0.354248+0.0240552j 0.235343-0.0968648j 0.167131+0.589377j -0.0562592-0.031587j 0.0232199-0.00240118j -0.00134509-0.0175861j -0.00078114+0.0141991j 0.00228739-0.00316339j 0.0100084+0.0134918j 0.0141607-0.0195544j -0.0204408-0.0104312j -0.00635777-0.0230682j -0.00379507+0.0109763j -3.17073e-05+0.000716511j 0.00453775+0.0295546j -0.0295485+0.0018066j -0.00184015-0.00704431j 0.0326913-0.0124692j -0.0171061-0.0135608j 0.0180554+0.0354409j -0.0106185+0.0699784j 0.0599361-0.0010702j 0.0238275+0.105495j 0.0232723-0.0128845j -0.107199-0.00830898j -0.0948678+0.0685056j 0.174495+0.0716143j 0.08683+0.0440172j 
-0.0161731+0.0120817j 0.0186957+0.0164219j 0.00347952-0.00371319j 0.00759216+0.00742847j 0.0283024+0.0667583j -0.0329182-0.120841j -0.0384846+0.0250784j 0.151436+1.20043e-15j 0.081879-0.0565999j -0.118931+0.126988j -0.329846+0.0856869j -0.182353+0.0534835j -0.0314331+0.1144j 0.0580508+0.229047j 0.385682-0.186453j -0.0196854+0.0436447j -0.0178114-0.0392436j 0.00420243-0.00365967j 0.0180117-0.0262627j 0.000576144-0.0128381j 0.00926226-0.0278277j 0.00257792-0.0399117j 0.0110096+0.0174815j -0.0216395+0.0341519j 0.00028674-0.0163981j 0.0188979+0.00798807j 0.000381084-0.000981104j 0.0101193-0.0433291j 0.00236768+0.0400807j 0.00415346-0.0724178j -0.0132954+0.0354343j 0.010568-0.018016j -0.0157008+0.0271675j 0.0807203-0.162441j -0.0168798-0.00682439j 0.0485916-0.0352873j -0.107856+0.0862057j -0.0418266-0.014093j 0.171008-0.0345559j -0.0568051+0.00937573j 
0.00350079+0.0281199j 0.00100719+0.0321809j -0.012599-0.0533958j 0.0469129+0.0341133j -0.00528276-0.00329108j -0.0221246-0.0110369j 0.129283+0.00696546j 0.081879+0.0565999j -0.21915-7.43849e-15j 0.248066-0.00481682j -0.213427+0.0111509j 0.0404646-0.114142j -0.170677+0.305531j 0.134388+0.508074j -0.0922439+0.201763j 0.0208176-0.0406098j -0.0270211+0.00521619j 0.0233964+0.0481873j -0.00463563-0.0325834j -0.00185451-0.000277393j -0.0066667-0.00973834j -0.0182833+0.0381503j 0.0371725+0.0241545j 0.0201368+0.0344989j -0.0110471+0.00519765j 0.000924679+0.0323018j 0.00545111-0.0342296j 0.0388923+0.0177695j 0.00354308+0.0379843j -0.0347117+0.0497536j 0.0467985+0.00343698j -0.0349142-0.0187691j 0.0337029-0.0593847j -0.0701223-0.0293651j -0.0415632-0.0453856j -0.0123184+0.0300569j 0.00505396-0.106j 0.0147885-0.00277351j -0.0316731-0.0419732j 0.0508083+0.0607879j 
0.0315438+0.0210662j 0.0050904-0.023839j 0.0345453+0.0472451j -0.0401438-0.0313572j -0.0048753-0.0175181j 0.00587543-0.00619015j -0.138893-0.0363218j -0.118931-0.126988j 0.248066+0.00481682j 0.362156-4.83225e-14j -0.00102168-0.163137j -0.0994699+0.434864j -0.225393+0.127031j -0.196067+0.172463j -0.0536061-0.00854806j 0.00952262+0.0531077j 0.0193104-0.000346677j -0.0416831-0.0701218j 0.00268746+0.0433154j 0.0091754+0.00585492j -0.0162513-0.0298438j 0.0294664-0.0296205j -0.02809-0.0474545j -0.0361499+0.00495854j 0.0298142-0.0165518j -0.021978+0.0171826j -0.0230945+0.032018j -0.0218924-0.00695031j 0.00561583-0.0976405j 0.0181062-0.0618914j -0.0374344+0.0204393j 0.0260554-0.0310607j -0.0110562-0.00147571j 0.05035+0.018571j 0.0140951+0.0244467j -0.0229789+0.0129005j 0.0327538+0.0540795j 0.0397478-0.00382646j 0.0202568+0.0242344j -0.035526-0.0293919j 
-0.0365853+0.00493751j 0.0111394-0.0146918j -0.0233733+0.0181924j 0.00278535-0.0797225j -0.00956205-0.0607875j -0.0853044+0.040078j 0.100155-0.0429498j -0.329846-0.0856869j -0.213427-0.0111509j -0.00102168+0.163137j -0.0799893+1.90723e-13j -0.100425+0.397358j -0.0154303+0.0319511j 0.38244-0.0193028j -0.0475155-0.0559937j -0.027437+0.00746855j 0.0226872+0.0480517j -0.00357432-0.0150986j -0.0426472+0.0439266j -0.000626164-0.0224389j -0.0243721-0.0463272j -0.0161478+0.0141759j 0.00698607-0.0318212j 0.0432744-0.0204744j -0.02676+0.0109046j 0.0302455-0.000342685j 0.00367291-0.0100796j 0.0217966-0.11568j 0.010379-0.0651438j -0.0397941-0.0568662j 0.0411308-0.000334202j -0.0507629+0.0401339j -0.0279232+0.0324989j -0.0190917+0.00299058j -0.108995+0.00210294j 0.0524406+0.00329741j -0.0278136+0.0379544j -0.0411939-0.0029413j -0.0721784+0.0103363j 0.0128855+0.0111694j 
