0.0221124-5.20417e-18j 0.0687923+0.00186897j -0.0180493-0.000288752j 0.0899091+0.00393097j -0.850651-0.015751j 0.0517932+0.00425654j -0.0866681-0.0125282j 0.00385756+0.00378346j 0.0696322+0.00968918j -0.0363409-0.00793751j -0.0777233-0.0122051j 0.133756-0.00241592j -0.0379615-0.0025555j -0.00251973-0.000271731j 0.0424769-0.00761514j -0.00634695+0.000247616j 0.00287923-0.00413515j 0.0190377-0.0133568j -0.00560476-0.0122602j 0.0128254-0.00133756j -0.00566539-0.00490123j -0.0019551-0.000861219j -0.0179312+0.00814292j 0.0151592+0.0151058j -0.0095733-0.00465821j 0.0165394-0.00534944j 0.0286555-0.00476969j 0.0320286+0.00589605j 0.0160617-0.0294872j 0.0140514+0.0367415j 0.034826-0.0183941j -0.0273781+0.115963j 0.0695645-0.104958j -0.113826+0.0519879j 
0.0687923-0.00186897j 0.18387+2.59341e-16j -0.0378671+0.000755255j 0.915667+0.00154497j 0.181278+0.000445796j 0.0879393+0.010564j -0.11997-0.0169436j 0.0109329+0.00650146j 0.0787806+0.00733092j 0.072328+0.00523176j -0.0923757-0.00126139j -0.0204238-0.0040929j -0.0440646+0.00178655j -0.00825295-0.00180878j 0.0411038-0.0179735j -6.85631e-05-0.000760957j 0.00854448-0.0120187j 0.00259107-0.0106572j -0.0181604-0.0209635j 0.0261055-0.0100306j 0.00207617-0.00185072j -0.00564735-0.00824773j -0.02577+0.0224309j 0.0292324+0.0207449j 0.00804408+0.00174315j -0.0249025+0.00582127j -0.0143055+0.0166214j -0.00976456-0.0141312j 0.00979224-0.0150402j 0.00312749-0.0611629j 0.0578252-0.0358632j 0.0170521-0.0179264j 0.0122417-0.0352416j -0.014198+0.0112114j 
-0.0180493+0.000288752j -0.0378671-0.000755255j 0.971751+1.05265e-13j 0.0589318-0.000518621j -0.0332171-0.000749872j -0.0276308-0.00199062j 0.0115543+0.00055751j -0.131999-0.0104002j -0.00820051-0.000475133j 0.0968315+0.00440494j -0.00805945+0.000752393j 0.00237428-0.000108865j 0.0142558-0.000598885j 0.00386676+6.92315e-06j -0.00295783+0.00178533j -0.000582538-0.00590302j -0.0229983+0.0360157j -0.0279747+0.0465328j 0.0360395-0.00970315j 0.0077639-0.0405981j 0.0439412+0.0323376j -0.0431064-0.0149589j 0.00354617+0.00498859j 0.0209762-0.0117353j -0.0358213+0.0196645j 0.0460371-0.0288736j 0.0202506-0.047896j 0.0534627+0.0349663j -0.00991471-0.0266155j 0.00691991+0.0321554j -0.00494073-0.00413378j -0.00341093-0.00558189j 0.000894053+0.00518112j 0.00641205-0.00375626j 
0.0899091-0.00393097j 0.915667-0.00154497j 0.0589318+0.000518621j -0.274768+7.71952e-16j 0.0993788-0.000910646j 0.0784751+0.0136475j -0.20389-0.0198609j -0.0742777+0.0032134j 0.0158645-0.00103432j -0.0226838+0.00563936j 0.0245141+0.0029503j -0.0156675-0.00336232j -0.033691+0.00251999j -0.00927755-0.00320889j 0.0526315-0.0343079j -0.00930768-0.00662961j 0.000231754-0.0215573j -0.00757914-0.00529127j -0.0481716+0.00447233j 0.0165695+0.0117953j 0.0169612-0.00680766j 0.0414438-0.0119844j 0.00869925-0.0294156j -0.0166539-0.0382198j -0.0398548+0.0109641j -0.0243154+0.00500129j -0.00810398-0.000956601j 0.00547942+0.0131274j 0.00966972+0.0117875j -0.00511802-0.022132j 0.0238964-0.0192614j 0.0113637+0.00157668j 0.0044878-0.0215925j -0.0156004+0.00662994j 
-0.850651+0.015751j 0.181278-0.000445796j -0.0332171+0.000749872j 0.0993788+0.000910646j -0.0402933+9.6494e-17j -0.429813-0.0493135j 0.000200052-0.00664894j -0.0084656+0.0150619j 0.0218086+0.00137035j 0.00430005-0.00772295j -0.0223022-0.00130332j 0.0144622+0.000868983j 0.176548-0.0370105j 0.0221035+0.0131153j 0.00282572-0.00584596j -0.0784464+0.00657189j -0.00276129-0.0476205j 0.0164879-0.0289875j -0.0300684-0.00652743j 0.0384504+0.00823007j -0.0325967+0.00210694j -0.0146821+0.0113879j 0.00212933+0.0122195j 0.00670845+0.0128263j 0.0115428-0.00361324j 0.0198573-0.0160021j -0.00454157-0.00183684j -0.000706352-0.000495575j -0.00228063-0.00843442j 0.00412994+0.00983093j -0.00967121+0.0198663j -0.0141541+0.000708299j -0.000293242+0.0174089j 0.0124434-0.00763797j 
0.0517932-0.00425654j 0.0879393-0.010564j -0.0276308+0.00199062j 0.0784751-0.0136475j -0.429813+0.0493135j 0.0528481+7.63278e-17j -0.0605209-0.00120825j 0.00103012-0.000228937j 0.0365854+0.00203076j -0.0158901-0.000883199j -0.0305142-0.00188247j 0.00592628+0.00804311j -0.0265476+0.00518432j -0.00556262+0.000281162j 0.0256155-0.00645012j -0.00327401+0.00102401j 0.00158928-8.07413e-05j 0.012274-0.00525895j -0.00308598-0.0019029j 0.00959838-0.000910376j -0.00290045+0.000560519j -0.000590893+0.00051483j -0.00893587+0.00127541j 0.00463786+0.000277452j 0.00080767-0.00431226j 0.0110604-0.00453021j 0.00938442-0.00721964j 0.0142112-0.00598397j 0.0116486-0.00338955j -0.00870687+0.00681714j -0.0243372+0.0272643j -0.0300358-0.19497j -0.00805045+0.32489j 0.407772+0.0315344j 
-0.0866681+0.0125282j -0.11997+0.0169436j 0.0115543-0.00055751j -0.20389+0.0198609j 0.000200052+0.00664894j -0.0605209+0.00120825j 0.0393402-1.25984e-16j 0.00250029-0.00151111j -0.00429877-0.000302027j -0.00867406+0.00405049j -0.0288019+0.000667467j 0.0318238-0.00994807j 0.0222088-0.00280547j 0.00778445-0.00283081j -0.016147-0.000581362j 0.00376613-0.00951521j 0.00216839-0.000207088j -0.0111942+0.00349161j -0.00765521+0.00127736j -0.0152055+0.00264561j -0.00338755-0.0115849j 0.00104225-0.0188595j 0.00188077-0.00068557j 0.00804298-0.00118481j -0.0124727+0.0157443j -0.0152138+0.0240724j 0.0401049-0.0250113j 0.0163366-0.0276599j -0.0211878-0.0336529j -0.0314369-0.0728492j 0.0225937-0.25439j 0.243322+0.0351317j 0.118148+0.0021879j -0.0217793+0.00164269j 
0.00385756-0.00378346j 0.0109329-0.00650146j -0.131999+0.0104002j -0.0742777-0.0032134j -0.0084656-0.0150619j 0.00103012+0.000228937j 0.00250029+0.00151111j 0.00573142+4.81169e-16j -0.00304796-0.00139481j 0.0196722+0.000449605j -0.00419614+0.00379532j -0.0134685-0.00378687j 0.000323008+0.00322445j 0.00101184-0.00159297j 0.000422607-0.00220465j -0.00348807-0.0012072j 0.0151636+0.00276304j 0.0355706-0.0051596j -0.0158214+0.0193982j -0.0236919+0.000607842j 0.000788574+0.0431029j -0.0151041-0.0145964j -0.027511+0.0284384j -0.0286846-0.0271649j 0.0135755-0.0317232j -0.00213271-0.012372j 0.0136814-0.128552j 0.0326167-0.0785025j 0.01883-0.00387509j -0.148877-0.0374548j 0.0199501+0.00280855j 0.00381901-0.00699862j 0.00576945+0.00805333j 0.0111783-0.00423654j 
0.0696322-0.00968918j 0.0787806-0.00733092j -0.00820051+0.000475133j 0.0158645+0.00103432j 0.0218086-0.00137035j 0.0365854-0.00203076j -0.00429877+0.000302027j -0.00304796+0.00139481j -0.0313017-7.87239e-16j -0.00142689-0.00157202j 0.0196505-0.0021572j -0.025755+0.00198522j -0.0103356-0.00015462j -0.00676973+0.00359914j 0.0085141+0.00260591j -0.00277492+0.0165182j -0.00282766+0.00271654j 0.0308911-0.0214248j 0.0253946-0.0116531j 0.0299456-0.0188103j 0.0147708+0.027306j 0.0339841+0.0320527j 0.0329173-0.0499715j 0.0222563+0.0565256j 0.0318319-0.0471572j 0.0202977-0.075024j -0.0304683-0.0112516j 0.0208215+0.00983885j 0.0918459+0.0390448j -0.000337643+0.0106102j -0.00565653+0.0296753j -0.0314096-0.0175594j -0.0139641+0.0138223j 0.0212547-0.00288506j 
-0.0363409+0.00793751j 0.072328-0.00523176j 0.0968315-0.00440494j -0.0226838-0.00563936j 0.00430005+0.00772295j -0.0158901+0.000883199j -0.00867406-0.00405049j 0.0196722-0.000449605j -0.00142689+0.00157202j -0.00395669+3.09865e-16j -0.000653673-0.00256044j 0.001585+0.00220423j 0.00663979-0.00386254j -0.000523394+0.000834509j -0.0013193-0.00548562j 0.0144395-0.00323416j -0.0665761+0.0151968j -0.00275558+0.0040954j -0.0287897-0.0557089j -0.00779311+0.0448661j 0.00498369-0.00225666j 0.0114336-0.0345435j 0.0422787-0.0246905j 0.0290584+0.0538089j 0.0230097-0.0514417j -0.0220827+0.0624663j -0.0479154+0.00601966j 0.0577883+0.0413595j -0.0395509-0.00622495j 0.0268281+0.00668709j -0.00629727-0.00509209j 0.00620257-0.00141777j -0.00210608-0.00126778j -0.000909637+0.00548384j 
-0.0777233+0.0122051j -0.0923757+0.00126139j -0.00805945-0.000752393j 0.0245141-0.0029503j -0.0223022+0.00130332j -0.0305142+0.00188247j -0.0288019-0.000667467j -0.00419614-0.00379532j 0.0196505+0.0021572j -0.000653673+0.00256044j -0.0288547-1.1872e-17j 0.0250046-0.00108264j 0.00524896+0.00144185j 0.00584483-0.00933708j -0.055834+0.00951229j -0.0152791-0.0727911j 0.0448219-0.0186204j -0.0222203+0.0057706j -0.0134614+0.0406791j -0.0260369-0.0223821j -0.00842161-0.0243955j -0.0044215-0.0416723j 0.0115063-0.00688745j 0.0255704-0.000265694j -0.00785392+0.0354411j -0.00704626+0.031059j 0.0208103+0.00336521j -0.0129501-0.00802186j -0.0394159-0.0195524j -0.00337254-0.0149751j 0.00606848-0.0419835j 0.0435708+0.0150107j 0.0146132-0.0147818j -0.0211659+0.0090804j 
