-0.13389-7.63278e-17j 0.0483986-0.0293739j 0.00238284-0.0288604j -0.0387513-0.0883512j -0.0204408-0.0193036j -0.0169049-0.0136844j 0.0103809-0.0226667j 0.0206971+0.00938626j 0.0260202-0.0220968j 0.0191391+0.0101777j -0.00791715-0.00383597j 0.0308486-0.0177136j -0.00597706+0.0109333j 0.0241377-0.0219812j 0.0114841+0.0167467j -0.0287426-0.00452495j 0.00464654-0.0169417j 0.011781-0.0105205j 0.011126-0.0231557j 0.0219471+0.0162762j -0.0557627+0.036674j 0.0530364+0.0299768j -0.012708+0.0732048j -0.0372101-0.0543196j 0.0211138-0.0325066j -0.0118974-0.0288782j 0.00359651+0.0227067j 0.0613604+0.0693536j 0.0191396-0.0129427j 0.0272815-0.00182934j 0.0513785-0.0253041j -0.0107497+0.0244055j -0.0111193-0.031659j -0.00581705-0.0174877j -0.00262679-0.0146328j 0.0178958-0.00246036j 0.0143695-0.0379954j 0.0203123+0.013515j 0.0131131-0.0105597j 0.0270781-0.0257556j 0.0324053-0.0430133j 0.00218105+0.017478j 0.00202713+0.0300574j -0.00231047+0.012057j -0.00878684+0.00380196j -0.000403673-0.0150503j -0.0162844-0.0322085j -0.0258472-0.031496j 0.00141201+0.00347123j -0.0456787-0.0440869j 0.00670753+0.0104801j 0.0258857-0.00436941j 0.0343006+0.057772j 0.0123693+0.0730647j -0.042148-0.0227657j -0.0147245+0.0333305j 0.000148168+0.00651884j -0.000452669+0.00960937j 0.020315-0.0579487j -0.0237019+0.0948364j 0.0149487-0.0430486j 0.06416-0.0148562j 0.0491994+0.0811533j 0.0667985-0.0175172j -0.00925912-0.0335173j 0.138775-0.0548567j 0.0646908+0.0159579j 0.0400197+0.0578579j -0.0298511+0.0161503j -0.0526416+0.0417848j -0.0213852-0.0111503j 0.0179597-0.0463838j -0.0092511-0.0572063j -0.0209737+0.08513j 0.00137721+0.0442692j 0.00295146-0.02378j -0.00304958-0.0108231j 0.0429542+0.0254287j -0.0238442-0.0120722j -0.013156-0.0527971j -0.0225471-0.0519658j 0.0319651-0.0385634j -0.00739346-0.00938655j -0.15021+9.84089e-05j 0.165638+0.171732j 0.137285+0.0135443j -0.113233+0.266208j 0.123139+0.15225j 0.0188352+0.0935154j -0.153761-0.0529674j -0.134563-0.0140622j -0.0968068-0.0173378j 
0.0483986+0.0293739j 0.159058+1.30104e-17j -0.0182804-0.0745044j 0.0171329+0.0347802j -0.0686899-0.0745735j 0.000655369-0.0389813j -0.034763+0.0700266j 0.0310387+0.0150025j 0.00979241-0.0360267j 0.0208993-0.0248373j -0.00863449+0.0200311j -0.0253652-0.0136819j 0.0323121-0.0272078j -0.0238277+0.00230134j 0.00469473+0.0486156j 0.00302494-0.00444194j -0.00239446-0.00901413j -0.0158067+0.0142899j -0.00594019-0.0440895j -0.0213407+0.0173628j -0.0180779-0.0680823j -0.022488+0.0540226j -0.0385571+0.0169456j -0.00501972-0.0195722j 0.0486241-0.00238794j 0.00778173+0.0366853j 0.0441536+0.0794447j -0.00369088+0.00703619j 0.0132838+0.00514623j 0.00528892+0.0380337j 0.0186803+0.0228983j -0.000763263+0.0668047j -0.00922627+0.0174105j -0.0432746-0.0207878j -0.00274893-0.00269036j -0.00247438-0.046219j -0.0254407+0.0193205j 0.0159037-0.0106493j 0.00598371+0.0374197j 0.0217718+0.0360039j 0.0175334+0.0360518j 0.00436079+0.00934812j -0.015336+0.0117795j -0.00483967+0.00505711j 0.0112141+0.0157382j 0.00212383-0.0111798j -0.00597729-0.0522179j -0.00890013-0.0439187j -0.0284945+0.0304067j 0.0264533-0.0133849j 0.021601-0.0465839j 0.0273946-0.0313164j -0.0153591+0.0251646j 0.00356819-0.00343143j -0.00393579-0.0423972j 0.00814658-0.0301855j -0.0124415-0.0654535j -0.0122832-0.0330324j 0.0157496-0.0224716j -0.101618-0.0281695j 0.0371261-0.0561056j 0.0323049+0.0565692j 0.0366353+0.107726j -0.0463789-0.0144868j 0.0131969+0.0360726j 0.0122693+0.127807j 0.0562115+0.0539492j -0.0145472+0.0409487j 0.0296787-0.0630345j -0.0295611-0.0552663j -0.0165262-0.0663412j -0.0560908-0.00350072j -0.0439562-0.00231118j 0.0631098-0.0147168j -0.0236506+0.00317351j -0.0269243-0.00125459j 0.0061692-0.0110489j -0.0644653+0.0160837j -0.00777067+0.077864j 0.0103309+0.000341049j 0.0835516-0.0862147j 0.0024566-0.102765j 0.0342948+0.015436j 0.00218229-0.150844j -0.105744+0.119493j 0.0143017-0.0352472j -0.293142-0.156223j -0.0513316+0.197692j 0.0717327-0.0145037j 0.0848808-0.0364373j -0.0835655-0.0269889j 0.0977358-0.0319091j 
0.00238284+0.0288604j -0.0182804+0.0745044j -0.00463052-0j -0.0525962-0.0229661j -0.0250233+0.0135134j 0.0573723+0.0973052j 0.042109+0.0163201j -0.00129361+0.079042j -0.0803202-0.0550997j -0.0369121+0.0545445j 0.000272175-0.0855644j 0.00643111+0.0395973j -0.0334812-0.0567175j 0.0223382-0.0550946j 0.0060059+0.0873313j -0.0446489+0.193095j 0.00317571-0.0228385j -0.0149028-0.0581975j -0.0294003+0.0180249j -0.00201256-0.0702185j 0.0846676-0.0466302j 0.0986397-0.0277452j 0.0684961-0.000289109j 0.0608452+0.0776674j 0.015478-0.100546j 0.0437212+0.00185521j -0.113383+0.149044j -0.0708174-0.0105073j -0.058008+0.0277259j 0.0123042+0.0107319j -0.0205891-0.0187487j -0.0440949+0.0702528j -0.025422-0.0413971j 0.0587363-0.0724703j 0.0396235+0.0527431j -0.0648315-0.0277691j 0.0159987-0.0235897j -0.0548812-0.0423322j -0.103045-0.0763661j 0.0412086-0.100766j 0.0189768+0.1141j -0.00685424-0.0874146j -0.131606-0.00454977j -0.0259021-0.0123144j 0.0262357-0.0162164j -0.000300942-0.0035078j -0.0175269-0.0294912j 0.0261371+0.039588j -0.0827386+0.170522j 0.0978575-0.0313721j 0.0914003+0.117212j 0.0460314-0.0161736j -0.0759012+0.040152j 0.121782-0.106653j -0.109833+0.031208j -0.0757479+0.0612894j 0.0296945-0.0298947j 0.0832395-0.114685j 0.0273014+0.125322j 0.0628612-0.0467053j 0.0619846-0.0809472j 0.0190829-0.0506392j 0.0523025-0.0539904j -0.0589138-0.00371593j -0.069949+0.0216087j -0.0105878+0.0163015j 0.0329846+0.0384614j 0.0157096-0.0255597j -0.016453+0.0268988j 0.0325013-0.000607845j 0.0589175-0.0389429j 0.0207871+0.0189073j -0.0221872-0.0193478j 0.00986406+0.0305264j -0.0049151+0.0419611j -0.00494248-0.0242391j -0.0266457-0.014517j 0.0367165+0.0163985j 0.0155602+0.023022j 0.00583675-0.0184406j -0.0419077-0.0171658j -0.00816592+0.0503965j 0.0315592-0.0294523j 0.0532892-0.0676407j 0.0749024-0.0691469j -9.36451e-06-0.0156917j -0.0310245+0.0229048j 0.0432577+0.0466828j -0.0117382+0.0332914j -0.04074+0.0195224j -0.011618-0.0252187j -0.00771202+0.0420501j 
-0.0387513+0.0883512j 0.0171329-0.0347802j -0.0525962+0.0229661j 0.0631361-6.245e-17j -0.0264449-0.102552j 0.0226421+0.0111766j -0.0153859+0.0269376j 0.0922851+0.0471414j 0.0263639-0.0818655j -0.0127266-0.009726j -0.026236+0.00221063j 0.0208164-0.0132343j 0.0304168-0.0412431j 0.00438811+0.00912312j 0.0332556-0.00135458j 0.0352228-0.0557379j 0.0190632-0.022897j 0.0177845-0.0755752j -0.0458508+0.0658258j 0.054225-0.0387113j -0.017323-0.000329835j 0.0227698-0.0292679j -0.00152839+0.00318431j -0.0182792+0.010235j -0.000600448-0.0383244j 0.0298081+0.0649221j -0.0115513-0.0620926j -0.000324101-0.0313528j -0.0239104+0.00213484j 0.0502617+0.00133105j 0.0198803+0.0434184j 0.0127893-0.0289934j -0.0190432+0.00295571j -0.0381262+0.0297042j -0.027449+0.00500045j -0.0281708+0.0416361j -0.0322086+0.00228339j -0.0278455-0.0473527j 0.020993-0.0212835j 0.0105343+0.00896474j 0.00505704-0.0689957j -0.0100151+0.029791j -0.0106902-0.00426831j -0.0276608+0.0244252j 0.000204575-0.00142176j 0.0458899-0.020777j -0.000109737+0.0443354j 0.0333169+0.0430213j -0.0179086-0.00760532j 0.00488559+0.00672004j 0.0083489+0.0645463j -0.0460094+0.0130168j 0.0603763-0.0799473j -0.014933+0.000803326j 0.0236098-0.0230561j -0.0287067+0.0485659j -0.00196873+0.1265j 0.0149981+0.0966228j -0.0410641+0.0945341j -0.00661595-0.0391988j 0.00419467+0.156867j 0.104818-0.099055j 0.0269096-0.0198628j -0.0287912-0.0812915j 0.0926575-0.163942j -0.00474522-0.0274577j 0.00784979-0.037371j -0.0117801-0.0358795j 0.020478-0.0712492j 0.00492239-0.0608735j 0.0123651+0.0468884j 0.0382009+0.0633269j 0.0214899-0.0107407j -0.0569444+0.0444241j -0.0313148+0.0168997j 0.0182301-0.0414718j 0.0526611-0.020896j -0.0657594+0.174743j -0.0162045+0.101914j 0.0395788-0.0159382j 0.0302296-0.0338019j -0.0454877+0.179465j 0.0435327-0.0164586j 0.079829+0.112563j 0.131073-0.039463j -0.0143632-0.0895832j -0.131606-0.0687472j -0.0550873+0.0352803j 0.051627-0.127225j -0.0119107+0.0473604j -0.0646176+0.115318j 0.0595333+0.117335j 
-0.0204408+0.0193036j -0.0686899+0.0745735j -0.0250233-0.0135134j -0.0264449+0.102552j -0.00760695+1.45717e-16j -0.00618185-0.0291573j -0.0203479+0.00830065j -0.0308146-0.142748j 0.0203873-0.082032j 0.00321667-0.087171j -0.0321377+0.0286385j 0.0406157-0.0268083j -0.0752282+0.0203626j 0.00379752-0.00615653j -0.0414618-0.0638002j -0.0844224-0.0671726j 0.00920207-0.0597912j -0.024944+0.00971821j 0.0242214+0.0466509j -0.0501512-0.045008j 0.00443078-0.111763j -0.0353836-0.063152j 0.00763458-0.0416354j -0.0336449-0.108696j -0.0173488+0.0271955j -0.0751937-0.0294878j 0.0648599-0.0185171j 0.0406865+0.0497527j -0.0134338+0.0522154j -0.0157296+0.00389647j -0.0114064+0.0173169j 0.0465772-0.0550934j -0.0088452-0.0533239j -0.00290934+0.0739301j -0.0320156+0.0396968j 0.044845-0.00427201j 0.0260432+0.0163129j 0.0498647-0.0537065j 0.0841553+0.09404j -0.0560893+0.0680001j 0.005123-0.124303j -0.017437+0.0571131j 0.10946+0.0712639j 0.0200022+0.0327754j -0.0343242-0.0232448j 0.00373612-0.0269476j 0.0394568-0.0252108j -0.0446284-0.155898j 0.0637525-0.132733j -0.0341577-0.0231655j -0.0449538-0.0303749j -0.0690615+0.0150393j 0.0179563+0.00745596j -0.0580745+0.0477927j 0.0860958-0.0261076j 0.0416732+0.0474569j -0.00534472-0.0880704j 0.0372261-0.0670231j -0.00674075+0.0245366j 0.0465792-0.116693j 0.0460712-0.0278244j -0.0892931-0.0541428j 0.0703877-0.0693394j -0.0245874-0.01257j -0.117375-0.0448301j 0.0233368+0.110521j -0.0274882+0.0814202j 0.014579-0.0251656j -0.028706+0.0108399j 0.0189127-0.0140321j -0.00789227-0.0532344j 0.0123179-0.0106635j -0.00697134-0.0804691j 0.0283209+0.0391911j 0.0250866+0.021458j 0.0445172-0.0124434j -0.0687902-0.0805484j 0.060005+0.00834974j 0.0593801+0.0746863j -0.018094-0.0222815j -0.0956789-0.0279516j -0.00658431+0.0124461j 0.029306-0.0423495j 0.0585649-0.128823j 0.0806047-0.17046j -0.0192416+0.0618315j -0.00802212-0.0452528j 0.102011+0.0635008j -0.0309941+0.0309603j -0.0661034+0.0383215j -0.0141772-0.098748j -0.0445205+0.0584738j 
-0.0169049+0.0136844j 0.000655369+0.0389813j 0.0573723-0.0973052j 0.0226421-0.0111766j -0.00618185+0.0291573j -0.027058-8.25728e-16j -0.0699226+0.0154948j 0.0980883+0.0243833j 0.0673395+0.0194125j 0.0344655+0.0329494j -0.0587203+0.0856125j -0.0722964+0.0337211j 0.0212505-0.0253663j -0.0730541-0.0140557j -0.0339312+0.0130741j 0.00682159+0.0467032j -0.03933+0.0155573j -0.0389677+0.00417113j 0.013815+0.0554038j -0.00709021+0.0868229j 0.0294415+0.0339931j -0.0967385-0.0374335j -0.0659011+0.077716j -0.00437888+0.0165604j -0.017555-0.000451649j 0.0484974+0.0315587j -0.0181851-0.106764j -0.0381832-0.0227474j 0.0145653-0.0385041j -0.0268557+0.041856j -0.0194356-0.0976467j 0.0118672+0.000505356j -0.0246235-0.0203126j 0.0165897-0.029224j 0.0209078-0.0165685j 0.0665974+0.0673598j -0.0415522-0.0283479j 0.00839686-0.0265634j 0.042132-0.0398686j 0.0631446-0.0255357j -0.0228301-0.0927917j -0.0603456+0.0308836j -0.0333427+0.0210663j 0.0103048-0.0101617j -0.0358543-0.011607j -0.00714412+0.00606535j 0.0393902-0.0305603j 0.0270282+0.00312803j -0.0545474-0.0862445j -0.0837615+0.0777511j -0.0415353-0.0552836j -0.0689544-0.0933225j -0.0184661+0.0280286j -0.0392653-0.00540142j -0.0240769-0.00669303j 0.082527+0.0552431j 0.116135+0.0491271j 0.00771066-0.0463669j -0.111491+0.0740311j -0.0700101+0.0193777j -0.0230093-0.0525751j 0.0619921+0.0685158j -0.0951361+0.0464033j -0.0170091+0.0274843j -0.0278393+0.0891798j -0.0792315-0.0825796j -0.0929563-0.109519j -0.0974039-0.0656569j 0.030765-0.00648005j -0.0108657+0.00981755j 0.0840491+3.32822e-05j -0.0419348+0.0127112j 0.0661225+0.0806005j 0.0329896-0.0541386j 0.00433426+0.0331662j 0.050239+0.00977259j -0.00132323-0.0615602j 0.0154972-0.00297609j 0.0151931-0.049927j 0.00473622+0.0630387j 0.0406682+0.0141244j -0.0622831+0.0404287j 0.0103319-0.00140738j -0.00180266+0.0185846j -0.0372104+0.0208113j -0.0434255-0.104909j 0.018575+0.098585j -0.0434704-0.0604697j 0.0718772-0.0236628j 0.0528465+0.01644j 0.0671503+0.126929j 0.174129-0.00713855j 
0.0103809+0.0226667j -0.034763-0.0700266j 0.042109-0.0163201j -0.0153859-0.0269376j -0.0203479-0.00830065j -0.0699226-0.0154948j -0.0353399+2.33841e-15j -0.0463825+0.0300515j -0.0169776+0.0499642j 0.0205645-0.0104997j 0.00270393-0.0731999j -0.0413953+0.020885j 0.0104537-0.0258494j 0.0658212-0.0828099j 0.020564+0.0471476j 0.0591941-0.111116j -0.0315059+0.0219854j -0.00167557+0.0312743j -0.0393756-0.175282j 0.0145857+0.0887219j -0.114354+0.0620637j 0.0554735+0.100586j 0.00222553-0.0151251j -0.0824884-0.0297769j 0.0621693-0.0956008j -0.0624354-0.135699j 0.0162069+0.142058j -0.0178464+0.0483243j -0.0740328-0.0883924j -0.0134193+0.0289381j 0.0285816+0.00138713j -0.00909239+0.0480349j -0.0172817-0.010818j 0.0256399-0.0760539j -0.0130604+0.0159547j 0.0214751-0.0579692j -0.0226961-0.0679198j 0.00259465+0.014819j 0.0743759+0.0889722j -0.0133822-0.0991479j -0.0307533-0.0739144j 0.0296817+0.00260056j -0.0325462-0.00885647j 0.0176052+0.00246801j -0.0130272-0.00831243j -0.014991+0.0290209j -0.0603782-0.105674j -0.00545996-0.0374593j 0.0356198+0.0080201j -0.0754791+0.0936375j -0.00161364-0.0252215j 0.0769948-0.0437604j 0.0428425+0.0549406j 0.0153842+0.0117981j -0.0258765-0.0990293j -0.105357+0.05372j -0.100101+0.0548912j -0.0355558-0.026822j -0.0242327+0.0330999j 0.0184754+0.0719064j 0.084282-0.0432456j -0.060768-0.0958376j 0.017919+0.0156871j -0.0484116+0.103118j -0.00747466+0.0991213j 0.00625198-0.0250166j 0.067218-0.0516551j 0.0129352-0.00853547j 0.0380944-0.0428662j 0.0680089-0.0255815j 0.108422+0.00271088j 0.0362569+0.0710761j 0.00764792-0.00998979j -0.0196453+0.0164313j 0.0154113-0.0156189j -0.0181802-0.0100994j -0.044937+0.0436683j -0.0777275-0.0560174j 0.00684044+0.0147338j 0.0400448+0.0118351j 0.0141508+0.00327929j -0.0738819+0.135175j 0.0164698-0.0697789j 0.115606-0.0879825j 0.0548469+0.0150413j 0.0342106-0.0703487j 0.0229537-0.0430183j -0.0188701-0.00618306j 0.0238562+0.0559657j -0.00329407+0.0459083j 0.0298814-0.0614581j -0.051299-0.0112729j 
0.0206971-0.00938626j 0.0310387-0.0150025j -0.00129361-0.079042j 0.0922851-0.0471414j -0.0308146+0.142748j 0.0980883-0.0243833j -0.0463825-0.0300515j 0.0938351+4.82669e-14j -0.00229753-0.0907572j 0.0637865-0.00756511j 0.0073596-0.00487979j 0.0706875+0.0350343j -0.00275348+0.0696827j -0.0303835-0.0491479j -0.0314192-0.0214726j 0.0513387+0.0274929j -0.0759215+0.0507878j -0.0584417+0.0406289j -0.0390722+0.0445253j -0.00535704+0.0447384j -0.0347812-0.0456128j 0.112086+0.0551882j 0.000544853-0.0294229j 0.026221-0.0484055j 0.0578437+0.0136074j -0.00420242-0.0758027j -0.0362934+0.0929036j -0.00467486+0.00253353j 0.0152085+0.0398813j -0.0682728+0.00205945j 0.0136324-0.0524893j -0.0168926-0.0413044j -0.012076+0.0192944j 0.065141-0.0388347j -0.0510052-0.0539367j -0.0143946+0.0362377j -0.027014-0.0375224j 0.0165961+0.0011782j 0.0048236-0.02775j -0.00326442+0.0226445j -0.0167889+0.0352707j -0.0258947-0.0446288j 0.0222457+0.0641602j -0.0288602+0.00234932j -0.0154528+0.0429525j 0.00375304+0.102655j 0.0771348+0.0601336j 0.0424997-0.083067j 0.0213147+0.0217459j -0.0412522+0.00517673j -0.00471263-0.0323623j -0.0204873+0.0107891j -0.0726299-0.0692664j 0.0356309-0.0343084j -0.0218792+0.0634517j -0.0320012+0.06755j -0.021217+0.00167004j 0.00359973-0.0501657j 0.129128+0.0482033j -0.0260369+0.0451403j 0.0598957-0.00319021j 0.0502985+0.107054j -0.0528772-0.0546018j -0.142431-0.0911598j 0.175778-0.0151336j 0.0376958-0.0621178j 0.058525+0.0273693j 0.0283036+0.0139715j -0.0363209+0.0271378j 0.0138927+0.0406627j -0.0180381-0.0402026j 0.0173487+0.0165266j 0.0158096-0.0733176j -0.00954113+0.00488786j -0.0635455+0.0254354j 0.0308776-0.0167496j -0.00185713-0.0612359j 0.0585544+0.0437901j 0.0299091+0.0095633j 0.0599911+0.0401742j 0.0681366-0.0309507j 0.0928322+0.0224396j 0.0219077+0.0516747j 0.0250142+0.0181341j -0.0184669-0.0186416j -0.0347355-0.0570148j -0.0782245-0.0490505j -0.0990055-0.082073j 0.0363601-0.00119927j 0.00867251+0.0381377j -0.190986-0.0174891j 0.0369303+0.147259j 
0.0260202+0.0220968j 0.00979241+0.0360267j -0.0803202+0.0550997j 0.0263639+0.0818655j 0.0203873+0.082032j 0.0673395-0.0194125j -0.0169776-0.0499642j -0.00229753+0.0907572j 0.0408215+4.57967e-16j -0.0507809-0.0617681j 0.0285253+0.116414j 0.0102288+0.0376361j -0.0429795+0.0347689j 0.0699306+0.0135743j 0.0429537-0.0756515j 0.0685997+0.00663611j 0.112856+0.109878j 0.0174114-0.0945452j 0.067358+0.0209352j 0.103053+0.0181616j -0.0245001+0.12034j 0.00857559-0.109479j 0.146585+0.0540973j -0.0164796-0.0182799j -0.00875283+0.236816j 0.0265764-0.0551481j -0.07851+0.119672j -0.0481159+0.0216997j -0.00433414+0.0240251j -0.006676-0.021377j -0.0272397-0.0340768j 0.0390852+0.0293463j -0.015963-0.0385121j -0.0114381-0.0356511j -0.0427041+0.0246176j 0.0256296+0.00427556j -0.0311931+0.0509313j 0.0352477+0.0184031j -0.0180574+0.0576601j -0.0119136-0.0443391j -0.0399105+0.0352185j 0.0301659-0.0644601j 0.0377416+0.0417666j -0.0402027-0.0284421j -0.0227624-0.0613062j -0.0193894+0.0601929j 0.030496-0.0108926j 0.041819+0.0345571j 0.051606-0.0991455j 0.0410544+0.146066j 0.00744897+0.0791923j -0.0222479-0.220761j 0.0885192+0.0471378j -0.0392527+0.0642796j 0.0327966-0.0429756j 0.0476266+0.0026158j 0.00357422-0.0336357j 0.0885746+0.028318j 0.0443981+0.111203j 0.0438255+0.0222411j 0.0626451-0.200062j 0.0324158+0.0672023j -0.0304178+0.0413373j -0.0247695+0.0794185j 0.0451159-0.000571724j 0.00171856-0.115466j -0.0322486-0.0347453j -0.0220299-0.00747759j -0.00364079+0.0936084j 0.0348094+0.120252j 0.0377183-0.00346546j 0.0204147-0.0398453j 0.0177373+0.0360222j -0.0161326-0.0375682j -0.0224216+0.0212748j -0.0326482-0.052536j -0.0576959+0.0173818j -0.00711385+0.0278673j -0.0262245-0.137589j -0.00416271-0.000642892j -0.0855194-0.0136277j 0.0485916-0.0109431j 0.0403539+0.031499j -0.00593488-0.00678485j 0.0339873-0.00773156j 0.046558-0.0447867j -0.123745-0.00335118j -0.0537573-0.0538516j -0.104875+0.0891993j -0.0119079-0.116732j -0.00871815-0.000489478j 0.0418672-0.0239086j 
0.0191391-0.0101777j 0.0208993+0.0248373j -0.0369121-0.0545445j -0.0127266+0.009726j 0.00321667+0.087171j 0.0344655-0.0329494j 0.0205645+0.0104997j 0.0637865+0.00756511j -0.0507809+0.0617681j 0.0662168+3.77476e-15j 0.0614963+0.0129607j -0.00788018+0.0144218j -0.0787208-0.00950462j -0.05197+0.0631161j 0.0123079+0.103471j 0.0435282+0.203736j -0.077221+0.0155844j 0.119016-0.211539j 0.186124-0.0669927j -0.0679692-0.124585j -0.187608-0.0317805j -0.0166233+0.0229997j -0.05266+0.0067735j 0.0627803-0.109566j -0.0798753+0.0473556j 0.0226481-0.0666056j -0.0094671+0.089378j -0.0186118+0.00736531j -0.0563312+0.013151j -0.0125052+0.0314092j 0.0159469+0.0416733j -0.0457773+0.0205178j 0.0285632+0.000573411j 0.0443193+0.0335371j -0.00982351+0.0030297j -0.0231367-0.0432599j -0.0727639+0.0222036j -0.0509858-0.017064j 0.0325722+0.0345674j 0.0102825-0.142917j 0.0235814+0.0281558j -0.0449698-0.0529932j -0.0284424-0.0774154j -0.0161192+0.002153j -0.0162336+0.0154493j 0.0307778+0.000585771j 0.00200492-0.0320359j -0.00944242-0.0249086j -0.0586309-0.0681246j -0.0564837-0.00405503j 0.0448965-0.0479322j -0.0130339+0.0135482j 0.101828+0.0543023j -0.0336247+0.101138j -0.00340995+0.023173j 0.0755199+0.0353347j 0.0203641+0.0134284j -0.093379+0.0289082j 0.0153826-0.0258025j 0.000965199+0.0318522j -0.0191383+0.0438614j 0.0654835-0.117147j -0.0124473+0.0352588j -0.0146871-0.0261535j -0.00126789+0.0631896j 0.0225925+0.0112732j 0.0392049+0.00558722j -0.0103083-0.0142431j 0.00329524-0.00173029j -0.0192455-0.017022j 0.0230717+0.0214865j -0.0151383+0.00875625j -0.00582-0.00843807j -0.0461235+0.05838j 0.0143092+0.00524927j -0.0586083+0.138243j -0.0146733-0.01354j 0.0216112+0.00269765j 0.00921555+0.0363999j -0.0356467+0.0675228j 0.0326307+0.0145874j 0.0465958-0.000301747j 0.00498728-0.018925j 0.0188274+0.0585692j 0.0227389+0.00562443j -0.0310055+0.00269282j 0.0104614+0.0284699j 0.00467659-0.0179159j -0.0105745-0.02385j 0.0186725-0.00652781j 0.0261365-0.0363656j 0.0225957+0.0011586j 
-0.00791715+0.00383597j -0.00863449-0.0200311j 0.000272175+0.0855644j -0.026236-0.00221063j -0.0321377-0.0286385j -0.0587203-0.0856125j 0.00270393+0.0731999j 0.0073596+0.00487979j 0.0285253-0.116414j 0.0614963-0.0129607j 0.0658168-4.42146e-14j -0.116909+0.0949697j -0.0555259+0.0649475j 0.0809555-0.0117013j -0.0810874-0.0693913j -0.0767469+0.110614j -0.0946944+0.00867809j 0.0456391+0.149948j -0.000684314+0.107521j 0.000369463+0.0697082j -0.0471686-0.0528748j -0.0138457-0.00272504j -0.0577457-0.133345j -0.0284929-0.0989753j 0.0897646+0.00301837j 0.0022397-0.102484j -0.0347023+0.0931873j 0.0746556+0.0462115j 0.0395925-0.00241492j 0.00787398-0.0351473j -0.0100198+0.0437486j 0.0453184-0.0950819j -0.059892+0.0402472j -0.0586592+0.000358789j 0.0233159-0.0408595j 0.000905008+0.0986499j 0.0281818-0.163113j -0.0670514+0.0505482j 0.0281204+0.00435545j 0.0114133-0.010731j 0.0337045-0.0187141j -0.0214697-0.0307572j 0.0297527+0.0479275j -0.00028302-0.0201244j -0.0459389-0.180399j 0.0341047+0.099217j -0.0155179-0.0467769j 0.0967042-0.0449566j 0.0142845+0.0779478j -0.00315942+0.0438759j 0.0423173-0.0251706j 0.0134651-0.0279678j -2.857e-05+0.022949j 0.0266692-0.103528j 0.0387539-0.087j -0.0265106+0.0111117j -0.00368396+0.0632284j 0.0268888-0.0463912j -0.0772795+0.0131125j -0.10066+0.110705j -0.0254827-0.0467754j -0.00543875-0.0339747j -0.0218017+0.0390815j 0.13023+0.0373609j -0.0170834+0.00820167j 0.0187537-0.067805j -0.0797549-0.0466297j -0.00208484+0.0379864j -0.0359269-0.0120997j 0.0519364+0.045055j -0.0460858+0.0296858j -0.0401459-0.0401002j 0.00530204-0.063221j 0.011734+0.0199416j -0.201316-0.00403361j 0.060976-0.0155307j -0.0856389-0.0121294j 0.0174452-0.0218869j 0.0583243+0.0398688j -0.0655483-0.00930654j 0.00198166+0.000765849j -0.0207345+0.0805844j -0.00528374+0.0164992j 0.0716445+0.0206183j -0.0317865+0.0736115j 0.0571565-0.0235585j 0.0486821+0.0602745j -0.0349841+0.0432705j 0.0141958+0.0489979j -0.0257575-0.0057661j 0.0473548+0.038297j -0.0384804-0.0289488j 
