0.509179+5.55112e-17j -0.0147269-0.514664j 0.00762478+0.0449404j -0.0423637+0.0348692j -0.0264444-0.00763581j 0.0164411+0.00608254j -0.0239552-0.00260461j 0.0165981+0.0251983j 0.00253075-0.02833j -0.050682+0.0201873j 0.00409996+0.0156094j -0.0418795+0.0214221j -0.0259091+0.00330233j 0.0184094-0.0469962j -0.0100231-0.0304867j -0.00642002-0.0072166j -0.0172005+0.00403034j -0.00143224+0.00291948j 0.0242098+0.000592965j 0.00779941-0.0112043j -0.000499399-0.00806476j 0.0127324-0.00255735j 0.0119468-0.0104038j 0.000706257+0.0309723j 0.0189499-0.0319743j -0.0186763+0.00126684j 0.0163361-0.00350763j -0.000460197-0.0291221j -0.00263847+0.00269751j -0.0114803+0.00102958j -0.00440028-0.006189j -0.0121755+0.0137009j -0.0344202+0.00683805j 0.00367674+0.0110563j 0.0146754-0.0179707j -0.00232663+0.00358989j 
-0.0147269+0.514664j 0.498534+1.11022e-16j 0.0486359-0.0494528j 0.0447116+0.074361j -0.0616063+0.0265796j -0.00105509-0.0111749j 0.0168253+0.0321095j 0.000719601-0.040191j -0.0122931-0.0155189j -0.0379497-0.0362574j -0.000651343-0.0210938j -0.0451669-0.0154626j 0.0269614+0.0225778j -0.0271712+0.00605204j -0.00421786+0.0130266j 0.00598914+0.00859095j 0.0230067+0.006145j 0.00247016-6.92552e-06j -0.0356128-0.0170711j 0.0105105-0.00307299j -0.00155119-0.0103126j -0.0102482-0.00673073j 0.00295065-0.00594544j -0.00493524+0.0331743j 0.0163331+0.0116879j 0.0193887+0.00601184j 0.0195211+0.030116j -0.00316917-0.0297j 0.000456923+0.000149636j 0.0148401-0.00285543j -0.0109064-0.00966762j 0.00278724+0.00744105j 0.0163586+0.00537508j -0.00283749-0.00125792j -0.0103998+0.00536622j -0.000626434-0.00295146j 
0.00762478-0.0449404j 0.0486359+0.0494528j 0.175979+3.44169e-15j 0.468967+0.0121305j 0.0681614+0.681103j -0.0484303-0.019591j -0.00111269+0.0282486j 0.0146427+0.0296368j 1.90905e-05+0.0125032j 0.0244633+0.0493514j 0.00911019-0.00199869j -0.0355249-0.0378678j -0.00593845+0.0125256j -0.0204673-0.0585183j 0.0202477+0.0882661j -0.0272317+0.0324029j -0.00100796-0.00898452j 0.0320436+0.00592838j 0.00198727+0.00771578j 0.0067072-0.0208209j 0.00825073-0.0297676j -0.00412016+0.0187715j 0.000846526-0.0168862j -0.0253505+0.00312292j -0.0334404+0.00634315j 0.00652575+0.0149256j 0.0234826-0.00713648j 0.0123309+0.0125583j 0.00805396+0.0256822j -0.00208194-0.0137496j -0.0248596-0.00500378j -0.010673-0.0320084j 0.0238838+0.00529646j -0.0507537+0.00717522j 0.0130565-0.0266799j 0.0405446+0.0358568j 
-0.0423637-0.0348692j 0.0447116-0.074361j 0.468967-0.0121305j -0.1465-2.76688e-16j 0.461682-0.129614j -0.0218313+0.0887648j -0.0227765+0.0244272j -0.000787555-0.00862611j -0.00850001+0.00427307j 0.0924608-0.0260421j 0.032247-0.0545889j -0.0821319+0.0418007j 0.00764244-0.0436525j -0.0682926-0.0174084j 0.128302+0.0104397j -0.0123213+0.0146091j -0.00683921-0.029074j -0.00268715+0.0182286j -0.00771806-0.0058515j 0.0122001+0.00565716j 0.00374308-0.010635j 0.00141666+0.00164511j -0.0122833-0.0111467j 0.0127019-0.0154179j 0.0190419+0.0157037j -0.0104517+0.0142264j -0.024314-0.0153275j -0.00639173-0.0161385j 0.00107335-0.00107817j 0.015403-0.034318j -0.00705778-0.0201058j 0.00984036-0.0136342j 0.00580122+0.0175854j -0.0605114-0.0103405j 0.011393+0.00859266j 0.00548336-0.000206747j 
-0.0264444+0.00763581j -0.0616063-0.0265796j 0.0681614-0.681103j 0.461682+0.129614j -0.0473903+2.55351e-15j -0.0548065+0.0297206j 0.00707924-0.0770348j 0.0307393-0.12999j -0.00510693-0.0416025j -0.0161603-0.0932158j 0.102785-0.0145517j 0.0182438+0.0846508j 0.0770884-0.0202298j -0.0171541-0.0219227j 0.0543798+0.0345069j 0.0106093-0.0150483j -0.000661629-0.0407676j -0.032163+0.000849688j -0.00988512-0.0387774j -0.0202776-0.0480376j -0.00898862+0.00563189j -0.00267867+0.0249677j 0.0217655+0.0135883j -0.0112514+0.0152402j -0.015924+0.0134776j -0.0114288+0.0183355j 0.0086775-0.00860281j 0.0170531-0.00833198j 0.00670032-0.00612242j 0.0444803-0.0209536j -0.0179631+0.0383036j 0.0126399+0.00121024j -0.00654816+0.00441699j -0.0354493-0.0154046j -0.00166306-0.00230032j -0.0155539-0.00226619j 
0.0164411-0.00608254j -0.00105509+0.0111749j -0.0484303+0.019591j -0.0218313-0.0887648j -0.0548065-0.0297206j 0.0192477+3.88578e-16j 0.151489-0.0124416j 0.164139+0.0066634j 0.103447-0.0195458j -0.0687148-0.105999j 0.171876+0.0596596j 0.0896466+0.151066j 0.264626+0.0636181j 0.0486704-0.0915415j 0.0208877+0.591767j 0.11909+0.14133j -0.0312585-0.0128992j -0.0912557-0.0178801j -0.00154789+0.00270691j -0.0149923-0.00579382j -0.0848234-0.0182321j -0.0306523-0.000210246j -0.0312681-0.00209175j -0.040435-0.0121389j 0.0466794+0.00211218j -0.0388212-0.00702665j -0.0424085+0.00094942j -0.0291862-0.00043499j 0.0266409-0.00488437j 0.0603742+0.0355769j -0.0506054+0.00388302j -0.0528251+0.0219757j 0.00949752-0.0460013j 0.0432802-0.0668876j -0.0329508-0.143946j -0.0834395-0.270419j 
-0.0239552+0.00260461j 0.0168253-0.0321095j -0.00111269-0.0282486j -0.0227765-0.0244272j 0.00707924+0.0770348j 0.151489+0.0124416j 0.241116-1.11022e-16j 0.120039+0.0160909j 0.0331309+0.0381766j -0.116113-0.0920015j 0.11429+0.10266j 0.081265-0.136494j -0.269171+0.174163j -0.0849279-0.464241j 0.151577-0.283089j 0.136449-0.0610092j -0.0339126+0.0202067j -0.0468227+0.0529109j -0.0147368+0.008817j -0.0168246-0.00607523j -0.0389071+0.0471331j 0.00558568-0.000500205j -0.011531+0.0360451j -0.00473194+0.00322259j 0.0210715-0.028664j -0.00610707-0.00800223j -0.0220588+0.0410924j 0.0133721-0.0169944j 0.0412855-0.00227252j 0.00454784-0.00613554j 0.0016992+0.10176j -0.0347752-0.00907627j -0.0178492-0.0942129j 0.0845716+0.0417713j -0.0466999-0.0884243j -0.161632-0.0946656j 
0.0165981-0.0251983j 0.000719601+0.040191j 0.0146427-0.0296368j -0.000787555+0.00862611j 0.0307393+0.12999j 0.164139-0.0066634j 0.120039-0.0160909j 0.0790604+6.10623e-16j 0.201663-0.0247815j -0.0161627+0.131169j -0.322134+0.083308j 0.162267+0.0418733j 0.0885023+0.116322j 0.0381956+0.5244j 0.227229-0.0824847j 0.113435-0.0416475j -0.0762602+0.000309614j -0.00738105+0.0416138j -0.0253447-0.0024095j 0.018514+0.0021808j -0.0391446+0.0432674j 0.0167894-0.0247426j -0.0417026+0.0345736j -0.0259324-0.0111137j 0.017562-0.040622j 0.0190155-0.0207939j -0.0172327+0.055825j -0.0330867-0.0305508j -0.0227107+0.00373992j 0.0492204-0.000963664j -0.0351719+0.0775229j -0.0320313-0.00922703j 0.0279117+0.0939138j 0.0336703-0.00754961j -0.0338944+0.0796334j -0.155369-0.0209976j 
0.00253075+0.02833j -0.0122931+0.0155189j 1.90905e-05-0.0125032j -0.00850001-0.00427307j -0.00510693+0.0416025j 0.103447+0.0195458j 0.0331309-0.0381766j 0.201663+0.0247815j -0.434935+4.996e-16j -0.154521-0.00405491j -0.0889535+0.223103j -0.110419-0.00462084j 0.147048-0.209943j -0.370985+0.170367j -0.0997957+0.0283433j 0.0275528-0.0191415j 0.0193849-0.00476292j 0.0169014+0.0480848j 0.0272476+0.0109347j -0.00817198+0.00553601j -0.00810966-0.00195441j 0.0234739-0.0109345j 0.0172153+0.00641004j 0.0292519-0.051426j 0.0284757-0.0395436j -0.0111448-0.00157597j -0.0113176+0.0359887j 0.0190429-0.0200523j 0.0286921+0.0166555j -0.0426841+0.00771826j 0.0337717-0.00828458j -0.0234955-0.0134631j -0.0783609-0.00792601j 0.0715356+0.011173j -0.0973607-0.0338696j -0.0314652-0.0201981j 
-0.050682-0.0201873j -0.0379497+0.0362574j 0.0244633-0.0493514j 0.0924608+0.0260421j -0.0161603+0.0932158j -0.0687148+0.105999j -0.116113+0.0920015j -0.0161627-0.131169j -0.154521+0.00405491j -0.000680895+9.99331e-15j 0.0289443-0.00991533j -0.0963549-0.00829658j -0.150576-0.0362769j -0.047126-0.0911817j -0.0109676-0.16581j -0.053352-0.0122651j 0.0333894-0.0238856j 0.0302929+0.0152564j 0.0160914-0.0323202j -0.00280962-0.0140887j 0.0360812+0.0173493j 0.00662081+0.008112j 0.0276988+0.0149036j 0.0265046-0.00465963j -0.0152771+0.009345j -0.00390349+0.0190634j 0.0100611-0.00561327j 0.0191743-0.0233051j 0.0111641-0.0159915j -0.0204091-0.0394784j 0.0186355+0.00923404j 0.0184356-0.000830279j -0.0148816-0.00910904j -0.0359938+0.0450208j -0.00378155+0.0250648j 0.0398204+0.0334103j 
0.00409996-0.0156094j -0.000651343+0.0210938j 0.00911019+0.00199869j 0.032247+0.0545889j 0.102785+0.0145517j 0.171876-0.0596596j 0.11429-0.10266j -0.322134-0.083308j -0.0889535-0.223103j 0.0289443+0.00991533j 0.101598-6.07847e-15j 0.0937775-0.0593751j 0.497012+0.00124054j 0.064587-0.0503539j -0.15374+0.0332049j 0.00570929-0.0909827j -0.0266029+0.0948221j -0.0167628+0.0369729j -0.035334+0.0482414j -0.0206262-0.0037701j -0.0311109+0.0624367j -0.00703098-0.00503734j -0.00213457+0.0552614j -0.0597905+0.0524526j 0.0276845-0.0258108j 0.00308521-0.0466748j -0.00045977+0.027074j -0.0964391+0.0244871j -0.0400288+0.0319784j 0.050008+0.0652837j 0.0643261+0.0536333j -0.0210462+0.0011294j 0.0306598-0.00192828j 0.146883-0.0561718j 0.0673705-0.00313283j -0.0668339-0.0114526j 
