0.00521717+8.32667e-17j -0.0611776-0.0103641j -0.0173505-0.0126117j -0.0929947-0.0307267j -0.0260138+0.0320466j 0.0149609-0.00543191j 0.0290996-0.0576603j -0.100481-0.0256445j 0.0605612+0.0108423j -0.0524998-0.00702674j -0.108496+0.216237j -0.123496-0.0880779j 0.106428+0.457692j -0.134495+0.130178j 0.077787+0.3251j 
-0.0611776+0.0103641j 0.165807-8.32667e-17j -0.0125555-0.0223941j 0.115111+0.0560565j 0.0289339-0.0674716j 0.0422137+0.0733921j -0.0552474+0.0319064j 0.0291023+0.126548j -0.00370042-0.146472j 0.0853348+0.256847j 0.0104725-0.0465351j -0.315891+0.113152j -0.314566+0.053314j 0.0231392+0.482466j -0.134763+0.129465j 
-0.0173505+0.0126117j -0.0125555+0.0223941j 0.0242657+1.36002e-15j -0.045667+0.0317399j 0.0847458+0.115881j -0.0219827-0.0911405j -0.120271-0.227892j 0.00679545+0.0688778j -0.000363068+0.0117553j 0.177618+0.00267692j -0.190628-0.0474042j -0.0784441+0.0675606j -0.00877175-0.327792j 0.314186-0.0542683j -0.106295-0.458084j 
-0.0929947+0.0307267j 0.115111-0.0560565j -0.045667-0.0317399j -0.136975+6.66134e-16j -0.0776901-0.0255267j 0.0856681+0.0573281j -0.0220844-0.0615313j -0.35192+0.08116j -0.231217+0.0169731j 0.27993-0.0507325j -0.0635862-0.0338661j 0.171797-0.412866j -0.0786533+0.0671029j 0.316668-0.11141j 0.121967+0.0886572j 
-0.0260138-0.0320466j 0.0289339+0.0674716j 0.0847458-0.115881j -0.0776901+0.0255267j 0.186061-5.9952e-15j -0.170321+0.101751j -0.203981-0.0459155j -0.100857+0.0319667j 0.0798842-0.0989066j -0.0746158-0.00413174j 0.101777+0.433019j 0.0623547+0.0380187j 0.1909+0.0462107j 0.00960497-0.0446981j -0.109709+0.215048j 
0.0149609+0.00543191j 0.0422137-0.0733921j -0.0219827+0.0911405j 0.0856681-0.0573281j -0.170321-0.101751j -0.130787+2.96554e-13j -0.00412354+0.005363j 0.0521273-0.0273369j 0.083775-0.108615j -0.0911116-0.169902j 0.0729319+0.00504244j 0.280855-0.0528834j 0.178086+0.00395357j -0.0849621-0.256922j 0.053173+0.00803458j 
0.0290996+0.0576603j -0.0552474-0.0319064j -0.120271+0.227892j -0.0220844+0.0615313j -0.203981+0.0459155j -0.00412354-0.005363j -0.372381-4.26881e-14j 0.0545044+0.0278117j -0.156158-0.317488j 0.0844118-0.110214j -0.0782393+0.0963366j -0.233434+0.0185226j -0.000733306+0.0114599j 0.00360078+0.144773j -0.0595928-0.0117788j 
-0.100481+0.0256445j 0.0291023-0.126548j 0.00679545-0.0688778j -0.35192-0.08116j -0.100857-0.0319667j 0.0521273+0.0273369j 0.0545044-0.0278117j 0.55272+1.21114e-15j 0.047369+0.0296959j 0.0541161-0.0258554j 0.103653-0.0313596j -0.346453+0.0784773j 0.00548659+0.0672184j -0.0265793-0.128321j 0.100416+0.0272008j 
0.0605612-0.0108423j -0.00370042+0.146472j -0.000363068-0.0117553j -0.231217-0.0169731j 0.0798842+0.0989066j 0.083775+0.108615j -0.156158+0.317488j 0.047369-0.0296959j -0.374452-2.7145e-14j -0.00473557+0.00563058j 0.201243+0.0467154j -0.0189898-0.0620543j -0.120726-0.227813j 0.0559309-0.0304306j -0.0300382+0.0574822j 
-0.0524998+0.00702674j 0.0853348-0.256847j 0.177618-0.00267692j 0.27993+0.0507325j -0.0746158+0.00413174j -0.0911116+0.169902j 0.0844118+0.110214j 0.0541161+0.0258554j -0.00473557-0.00563058j -0.132436+3.36245e-13j 0.170693-0.102074j 0.0888001+0.0565661j -0.0210614-0.0917471j -0.0426459-0.0752442j -0.0148442+0.00566538j 
-0.108496-0.216237j 0.0104725+0.0465351j -0.190628+0.0474042j -0.0635862+0.0338661j 0.101777-0.433019j 0.0729319-0.00504244j -0.0782393-0.0963366j 0.103653+0.0313596j 0.201243-0.0467154j 0.170693+0.102074j 0.185735-3.33067e-16j 0.0809272+0.0254276j -0.0849854-0.116926j 0.0295207-0.0671976j -0.0267456+0.032022j 
-0.123496+0.0880779j -0.315891-0.113152j -0.0784441-0.0675606j 0.171797+0.412866j 0.0623547-0.0380187j 0.280855+0.0528834j -0.233434-0.0185226j -0.346453-0.0784773j -0.0189898+0.0620543j 0.0888001-0.0565661j 0.0809272-0.0254276j -0.13896+2.498e-16j -0.0465887+0.0316802j -0.114238-0.0569642j 0.0932295+0.0311415j 
0.106428-0.457692j -0.314566-0.053314j -0.00877175+0.327792j -0.0786533-0.0671029j 0.1909-0.0462107j 0.178086-0.00395357j -0.000733306-0.0114599j 0.00548659-0.0672184j -0.120726+0.227813j -0.0210614+0.0917471j -0.0849854+0.116926j -0.0465887-0.0316802j 0.0240997-1.66533e-16j 0.0125588+0.0227187j 0.0174476+0.0126235j 
-0.134495-0.130178j 0.0231392-0.482466j 0.314186+0.0542683j 0.316668+0.11141j 0.00960497+0.0446981j -0.0849621+0.256922j 0.00360078-0.144773j -0.0265793+0.128321j 0.0559309+0.0304306j -0.0426459+0.0752442j 0.0295207+0.0671976j -0.114238+0.0569642j 0.0125588-0.0227187j 0.165846-1.94289e-16j -0.0613751-0.0104026j 
0.077787-0.3251j -0.134763-0.129465j -0.106295+0.458084j 0.121967-0.0886572j -0.109709-0.215048j 0.053173-0.00803458j -0.0595928+0.0117788j 0.100416-0.0272008j -0.0300382-0.0574822j -0.0148442-0.00566538j -0.0267456-0.032022j 0.0932295-0.0311415j 0.0174476-0.0126235j -0.0613751+0.0104026j 0.00528888+1.38778e-16j 
