0.000290443+3.81639e-17j -0.000704515+4.72882e-05j -0.00157897+0.000146467j 0.00207956+2.69376e-05j -0.00103478+7.93592e-05j 0.00191426-0.000124357j -0.00071959+0.000204788j 0.00202751+8.60101e-05j -0.00207115+5.19925e-05j -0.000287633+0.000124568j -6.59872e-05+0.000158354j -0.000995368+8.74617e-05j -0.00218979+6.7e-05j 0.0029684-7.93404e-06j 0.00126578+0.000101265j -0.000916021+0.00036336j -0.00135537+0.000466082j -0.00823415+0.000412427j 0.00903132+0.000167534j 0.00141673+0.00172778j -0.0211463-0.000922079j 0.881459+0.0128221j 
-0.000704515-4.72882e-05j -0.00587694-1.47451e-17j -0.00525104+0.000324808j 0.00884917+0.000297985j -0.00540495+0.000256115j 0.00392718-0.000303995j -0.00167067+0.000340382j 0.00686453+0.000295544j -0.00768398+9.06269e-05j -0.00104766+0.000246254j 1.72791e-05+0.000348443j -0.00255288+0.0002198j -0.00246655+0.000199682j 0.010597-8.90582e-05j 0.00761656+0.000187706j -7.47622e-05+0.000909729j -0.00210538+0.000825988j -0.0122158+4.55615e-05j 0.0191729+0.000990943j -0.0125962-0.000855293j 0.908+0.00691128j -0.0206607-0.000916952j 
-0.00157897-0.000146467j -0.00525104-0.000324808j -0.00532487+7.64579e-16j 0.00159164+0.000390093j -0.00619971-0.00038485j 0.00181531-0.000354127j -0.00745286-0.000152161j -0.00170698+8.22497e-05j -0.00400472-0.000463025j -0.00533083-1.84756e-05j -0.00698963-5.04694e-06j -0.00279409-0.000242612j 0.00446602+0.0007811j 0.00452931+0.000715679j 0.00108527+0.000392153j -0.0121803-0.00074091j -0.0113635-7.38687e-05j -0.00069524-6.8291e-05j -0.00940975+0.00119591j 0.923657+0.00407413j -0.0127422-0.000860064j 0.00149368+0.00172758j 
0.00207956-2.69376e-05j 0.00884917-0.000297985j 0.00159164-0.000390093j -0.0128835+1.10372e-16j 0.00987339-0.000285161j 0.000669739+0.000382377j -0.00314535-0.000122341j -0.00894788-7.22682e-05j 0.0116909-0.000196045j 0.00429279+3.94454e-05j -0.00553096-0.000252792j -0.000683376-0.000435067j -0.000851414-0.000407828j -0.0110803-2.24107e-06j -0.0161382-0.000419736j -0.00153647+0.000277957j 0.00444129+0.000212748j -0.00582248+0.000309502j 0.936584+0.00375782j -0.00564471+0.00121107j 0.0181865+0.000982245j 0.00897247+0.000168346j 
-0.00103478-7.93592e-05j -0.00540495-0.000256115j -0.00619971+0.00038485j 0.00987339+0.000285161j -0.000834094+4.72062e-16j 0.00672679-0.000427061j -0.00261214+0.000648554j 0.0102601+0.00020249j -0.00685685-8.76658e-05j 0.00459894+0.000440092j 0.000792713+0.000531477j -0.00575852-3.31924e-05j -0.0110083+0.000244737j 0.0108265+2.34147e-06j -0.000405558+0.000129571j -0.00282939+0.000489541j 0.000352966-0.000231456j 0.939877+0.00380434j 0.00343333+0.000348836j -0.000209386-5.85587e-05j -0.0112841+5.65836e-05j -0.00805326+0.000415727j 
0.00191426+0.000124357j 0.00392718+0.000303995j 0.00181531+0.000354127j 0.000669739-0.000382377j 0.00672679+0.000427061j -0.00756277+1.00662e-14j 0.00156329+0.000378857j 0.00608804-2.65848e-05j 0.00363162+0.000727135j 0.0145301-0.00011337j 0.00170658-0.000169461j 0.00808856+0.000125658j 0.0065537+0.000361142j 0.00363734-0.000118035j 0.00436972-0.000565922j -0.000925132+0.000787934j -0.954914-0.00199512j 0.00368095+0.000245355j -0.00542297-0.000219345j 0.0105061+7.38776e-05j 0.00183484-0.000829091j 0.00126792-0.000467579j 
-0.00071959-0.000204788j -0.00167067-0.000340382j -0.00745286+0.000152161j -0.00314535+0.000122341j -0.00261214-0.000648554j 0.00156329-0.000378857j -0.0127315+3.39193e-15j -0.00462437-7.97826e-05j -0.00423491-0.000443828j -0.00182242-0.000138026j -0.0138794+7.7399e-05j 0.00278873-5.6234e-05j -0.0026432+0.000139938j 0.00133764+0.000221659j -0.00695941+7.19193e-05j 0.956656+0.00131927j -0.00765735-0.000803573j -0.00344995+0.000485281j -9.94671e-05+0.000287242j -0.0119568-0.000738227j 7.60986e-05+0.000904592j -0.000855675+0.000360661j 
0.00202751-8.60101e-05j 0.00686453-0.000295544j -0.00170698-8.22497e-05j -0.00894788+7.22682e-05j 0.0102601-0.00020249j 0.00608804+2.65848e-05j -0.00462437+7.97826e-05j -0.00430768-6.20272e-15j 0.0162923-2.60429e-05j 0.0110784+0.000335699j -0.00773697-4.28399e-05j -0.00850734+4.56412e-05j -0.0084496-3.64349e-05j 0.02976-0.000336321j 0.971845+0.00101748j -0.00206268+8.20024e-05j 0.00135479+0.000575715j -0.00147888+0.000125258j -0.0139153-0.000408299j 0.000824881+0.000405421j 0.00769402+0.000187864j 0.00138541+0.000102521j 
-0.00207115-5.19925e-05j -0.00768398-9.06269e-05j -0.00400472+0.000463025j 0.0116909+0.000196045j -0.00685685+8.76658e-05j 0.00363162-0.000727135j -0.00423491+0.000443828j 0.0162923+2.60429e-05j -0.0121443-4.89989e-15j -0.00565571+0.000176197j -0.000793441-0.000112594j -0.00806579+8.15758e-05j 0.0180414+0.000324703j -0.974161-0.000811056j 0.0286219+0.000392648j 0.00145932-0.000209928j 0.00300376-0.000100196j -0.00802367+1.40646e-05j 0.00796389-1.71705e-05j -0.0040047-0.000691787j -0.00994229+9.92423e-05j -0.00296978+1.26649e-05j 
-0.000287633-0.000124568j -0.00104766-0.000246254j -0.00533083+1.84756e-05j 0.00429279-3.94454e-05j 0.00459894-0.000440092j 0.0145301+0.00011337j -0.00182242+0.000138026j 0.0110784-0.000335699j -0.00565571-0.000176197j -0.00380125-1.0802e-14j 0.0501438+0.000211175j 0.079192-7.68194e-06j 0.961485-0.000346545j 0.00710653-0.00031692j 0.00359821-2.37844e-05j -0.00445388+0.000143083j -0.00833318-0.000353612j -0.00997637+0.000272331j -0.00173512-0.000454814j 0.00421989+0.000771966j -0.00211757+0.000233045j -0.00217562+8.14826e-05j 
-6.59872e-05-0.000158354j 1.72791e-05-0.000348443j -0.00698963+5.04694e-06j -0.00553096+0.000252792j 0.000792713-0.000531477j 0.00170658+0.000169461j -0.0138794-7.7399e-05j -0.00773697+4.28399e-05j -0.000793441+0.000112594j 0.0501438-0.000211175j 0.973106+6.088e-12j -0.0072152+1.62652e-05j -0.0509491+0.000226319j 0.00363074+0.000126428j 0.00172106-1.99094e-05j -0.00732381+6.68073e-05j -0.000586098+0.000195786j 0.00174+0.000539508j -0.00533045-0.000223443j -0.0071043-4.61927e-05j 0.000173546+0.000351192j 3.52371e-05+0.000162028j 
-0.000995368-8.74617e-05j -0.00255288-0.0002198j -0.00279409+0.000242612j -0.000683376+0.000435067j -0.00575852+3.31924e-05j 0.00808856-0.000125658j 0.00278873+5.6234e-05j -0.00850734-4.56412e-05j -0.00806579-8.15758e-05j 0.079192+7.68194e-06j -0.0072152-1.62652e-05j 0.96331+6.45902e-13j -0.0669536+2.16869e-05j 0.00369963-6.9995e-05j -0.00100271+8.25691e-05j 0.00244425-7.77189e-05j -0.00637328-8.36769e-05j -0.00448391-1.85096e-05j -0.000670664-0.000397917j -0.00339998-0.000302882j -0.00235626+0.00022129j -0.000847353+9.12519e-05j 
-0.00218979-6.7e-05j -0.00246655-0.000199682j 0.00446602-0.0007811j -0.000851414+0.000407828j -0.0110083-0.000244737j 0.0065537-0.000361142j -0.0026432-0.000139938j -0.0084496+3.64349e-05j 0.0180414-0.000324703j 0.961485+0.000346545j -0.0509491-0.000226319j -0.0669536-2.16869e-05j 0.0115814+4.34063e-14j 0.00117024-0.000167298j 0.00130687+0.000333097j 0.00219031-0.000138029j -0.0110876+9.98773e-05j 0.00490696+0.000414019j 0.00442569+8.29376e-05j -0.00440743-3.8848e-07j -0.00102997+0.000214589j -0.000291965+0.000111592j 
