-1.72138e-15-0.00407199j -1.26471e-16+0.00509833j -1.28595e-18-0.00463709j -1.25287e-17+0.00389951j 9.20548e-18-0.00572501j -3.95038e-19-0.00166907j 9.6349e-18-0.00420071j -3.91313e-18+0.000415479j 3.05879e-18-0.00210969j -2.72748e-19+0.0059969j -2.8326e-18-0.000725173j -3.59089e-18+0.00120626j 1.28461e-17-0.00444023j 1.03663e-17-0.00427379j -1.64737e-17+0.00452671j 5.24769e-17-0.00445968j -2.78098e-18+0.00133405j -4.34399e-18+0.00170018j 1.36784e-17-0.00259423j 3.62505e-19-0.0018574j -5.08814e-17-0.00526j 3.91766e-18-0.0033847j 9.66586e-18+6.34427e-05j 2.3036e-17+0.0049005j 4.30281e-17-0.00349519j 1.5673e-17+0.00168999j 7.87606e-17+0.00840869j 2.08343e-17+0.00368386j 5.98676e-17+5.51849e-05j 9.37773e-18-0.0022038j -4.83877e-17+0.00182242j -3.96406e-17+0.00279408j 6.18252e-18+0.00391532j -2.76227e-17-0.00135094j 1.76974e-19-0.000569531j -3.005e-16-0.00397571j 4.33296e-17+0.00265524j -1.49066e-15+0.00185546j -1.28146e-15+0.000146409j -4.24252e-16-0.000402225j -8.96733e-17+0.00448732j 8.14232e-16-0.00518476j 2.63035e-17-0.00146911j -4.9134e-17+0.00131741j -1.46853e-17-0.00418945j 1.54374e-16-0.00302539j 1.44139e-17-0.0019107j 2.48866e-17-0.000466234j -2.24597e-17-2.28454e-05j -4.2867e-17+0.00354815j -3.92014e-17-0.00713861j -8.30965e-17+0.00490056j -4.32733e-18-0.00208144j -1.84769e-17+0.00529355j 1.02883e-17-5.26997e-05j -5.08866e-20-0.00158028j -6.94197e-17+0.00439271j 9.46093e-18-0.00222265j 1.1997e-17-0.00427965j -7.12133e-19-2.39434e-06j -1.67607e-17+0.000572175j 3.34514e-17+0.00591648j 1.01645e-18-0.00330885j 1.59677e-18+0.00211086j 3.47208e-19+0.00538137j 2.34069e-18-0.000568222j -9.19955e-18+0.00188285j -3.22786e-17-0.00561915j -5.84959e-18+0.00106239j 4.62815e-18-0.00262604j -4.49965e-19+0.00475608j -7.0613e-18+0.00156154j -1.58597e-17+0.00485457j 1.39332e-17-0.00490329j -3.41888e-18-0.0037123j 1.17906e-16-0.00533666j -1.57509e-15-0.00366625j 
4.92282e-16+0.00118929j 1.74128e-17-0.00225616j 1.21823e-17+0.000880968j -1.23079e-17-0.00257052j 1.4913e-17+0.00137753j 6.11481e-18+0.000540904j 1.18828e-17+0.00223999j -5.28927e-18-0.00242258j 3.22712e-18-0.000246497j -2.07229e-17-0.00198741j 1.35085e-17+0.00152655j -9.06194e-19+0.000186937j 1.38537e-17+0.00267995j 1.11695e-17-0.000414887j -3.35528e-18-0.000598112j -1.77727e-17+0.00330993j -2.30786e-17+0.000328068j -8.48139e-18+0.00102185j 1.88894e-17+0.00267647j 1.25221e-17+0.00104066j 3.10378e-17+0.00132358j 5.56112e-18-0.00060983j 2.44417e-18-7.31803e-06j -2.93696e-17-0.00242157j 8.10964e-18-0.000116746j -4.87699e-19-0.0039257j -5.85714e-17-0.00214334j -2.38815e-17-0.00103668j -2.53093e-17-0.00043229j -1.7736e-17-0.000899229j 4.11257e-18-0.000786804j 2.62038e-17-0.00145714j -3.41812e-17-0.00181937j 1.87757e-17+0.000510186j 2.2952e-18+0.00106741j 2.28763e-16+0.0028255j -2.98026e-18-0.00289188j -2.52419e-15+0.00302586j -2.00122e-15+0.000187098j -5.84533e-16-0.000595361j -2.26154e-18+7.6393e-05j -1.19538e-16+0.000798251j 9.16349e-18-0.000293731j 3.23477e-18-0.000543831j 1.12249e-17+0.00134165j -2.66096e-17+0.000853641j -2.7835e-17+0.000673101j -1.97432e-17+0.0019441j 9.44828e-18-0.000464472j 9.25261e-19-0.00181637j 5.73729e-17+0.00392763j -3.85275e-17+0.00130933j -1.09318e-17+0.00229011j -1.13915e-17-0.00160824j -4.95752e-18+2.34053e-05j 1.39348e-17+0.0025382j 1.74812e-17-0.00244531j 1.3008e-17+0.000495205j 1.36529e-17+6.61143e-05j -6.89316e-19-0.00169026j 7.1267e-18-0.00105134j -2.32246e-17-0.000795992j 9.96749e-18+0.00249035j -1.31014e-17-0.00291552j -1.87852e-17-0.00120608j -3.41845e-19+0.000874025j -3.12025e-18+0.000497865j 3.48681e-17+0.00256555j -3.24438e-18-0.00148323j 3.5979e-18-0.00121559j -1.55911e-17-0.00128049j -3.1996e-18-0.000727555j -1.3668e-17-0.00276816j 8.59252e-18+0.000886149j 2.34062e-17+0.00238987j -4.09104e-17+0.00183729j 8.34922e-16+0.00184469j 
1.03921e-15+0.00240473j 8.06036e-17-0.00217979j 1.59418e-19+0.00325128j 1.18397e-17-0.000751946j -9.04142e-18+0.00370004j -1.55956e-18+0.000927801j -8.51492e-18+0.0013832j 4.84963e-18+0.00224768j -1.64575e-18+0.00218046j 5.72424e-18-0.00328592j -8.18135e-18-0.000996083j 1.65985e-18-0.00129655j -1.23711e-17+0.0011238j -1.20137e-17+0.00432565j 7.04834e-18-0.0034576j -1.31095e-17+0.000458958j 2.48454e-17-0.00156535j 1.05735e-17-0.00264903j -2.29401e-17-0.000546686j -8.03216e-18+0.000557204j 2.6813e-17+0.00333674j -2.46359e-18+0.00373047j -1.15745e-17-4.96123e-05j -4.08102e-18-0.00182117j -3.97336e-17+0.00329649j -2.32624e-17+0.00272015j -3.08632e-17-0.00530439j -3.18835e-18-0.00221805j -2.76246e-17+0.000418271j 1.46261e-17+0.00297295j 3.40121e-17-0.000800489j -1.0999e-18-0.00095554j 1.95981e-17-0.00158004j 8.62467e-18+0.00067254j 2.16154e-19-0.00063983j 3.81123e-17+0.000544818j -4.645e-17+0.000724714j 4.0865e-15-0.00496091j 3.33018e-15-0.000335481j 1.01814e-15+0.00100979j 7.33063e-17-0.00415261j -5.95613e-16+0.0038376j -3.07371e-17+0.00165064j 3.7177e-17-0.000605682j 1.29495e-17+0.0023462j -1.02834e-16+0.00181913j 2.2547e-17+0.00100374j 2.68552e-18-0.00168328j 9.52685e-18+0.000523906j 2.6922e-17-0.00125028j -4.17185e-18+0.00221947j 1.07411e-16-0.00586311j 2.39377e-17-0.000593198j 1.43243e-17-0.00305878j -3.8028e-18+2.24406e-05j -7.70876e-18-0.00131651j 3.0181e-17-0.0013349j -1.67258e-17+0.00147938j -1.54843e-17+0.00380987j -1.0086e-18+0.00183332j 4.63411e-18+0.000620025j -2.0266e-17-0.00450371j -3.70246e-19+0.000303087j 3.61527e-18+0.00124406j 5.62705e-18-0.0035741j 8.32127e-19-0.00043152j 7.99235e-18-0.00224704j 8.40692e-18+0.00231698j 4.20251e-18+0.000643311j -3.63299e-18+0.00369864j 4.25838e-18-0.00292637j 5.15182e-18-0.000628064j 1.38005e-17-0.00140404j -9.11964e-18+0.00348711j -1.0098e-17+0.000777864j -4.74135e-17+0.00284973j 5.35315e-16+0.00132671j 
-3.39515e-15-0.00806215j -2.21306e-16+0.0111577j -2.05354e-17-0.00852474j -9.59796e-19+0.00970542j -8.23255e-18-0.0109266j -9.72542e-18-0.00337868j -3.04047e-18-0.00972158j 1.75873e-18+0.004013j -2.71306e-19-0.002981j 3.0557e-17+0.0122004j -2.37057e-17-0.00325853j -4.05645e-18+0.00164068j -8.73659e-19-0.0107088j -4.19957e-19-0.00615598j -1.97616e-17+0.00795874j 1.05266e-16-0.0116128j 2.7972e-17+0.00164629j 5.25639e-18+0.0012611j -5.96482e-18-0.00779651j -1.75689e-17-0.00436815j -1.25068e-16-0.0101194j -2.48542e-18-0.00448541j 1.18563e-17+0.000110067j 7.89942e-17+0.0110755j 5.54519e-17-0.00534303j 2.66341e-17+0.00810424j 2.08292e-16+0.0162151j 6.72742e-17+0.00723929j 1.29478e-16+0.000686236j 3.8838e-17-0.00222428j -8.11914e-17+0.00396111j -9.76101e-17+0.0064208j 5.86978e-17+0.00868895j -7.00561e-17-0.00283502j -3.28395e-18-0.00237684j -7.9222e-16-0.0101789j 7.37556e-17+0.00819123j 1.15172e-15-0.00127268j 7.56186e-16-2.87963e-05j 1.42182e-16+0.000191899j -1.36707e-16+0.00696158j 1.44636e-15-0.00927262j 2.83187e-17-0.00190661j -8.13542e-17+0.00282886j -4.02588e-17-0.00845838j 2.78919e-16-0.00594844j 6.05652e-17-0.00394252j 6.60536e-17-0.00342958j -4.8392e-17+0.000607956j -6.73416e-17+0.00810649j -1.44265e-16-0.0166885j -7.61734e-17+0.0059031j 7.25393e-18-0.00645323j -1.13436e-17+0.0105669j 2.30561e-17-0.00011545j -2.03751e-17-0.00600785j -1.31731e-16+0.0103086j -3.92386e-18-0.0041872j -1.38735e-18-0.00683207j 1.53301e-19+0.00233958j -3.58998e-17+0.00235873j 8.68897e-17+0.010422j -1.37269e-17-0.008664j 2.18924e-17+0.00736663j 2.85061e-17+0.0101477j 3.81686e-18-0.00210668j -9.6672e-18+0.00227524j -1.01427e-16-0.012407j -4.10118e-18+0.00372958j 1.70796e-18-0.00245071j 2.26402e-17+0.00926604j -6.05825e-18+0.00346808j -3.98359e-18+0.0114836j 8.32687e-18-0.00895119j -3.94512e-17-0.00916012j 2.40397e-16-0.0109524j -3.63978e-15-0.00833175j 
2.70823e-15+0.00636243j 1.93723e-16-0.00748306j 7.52094e-18+0.00754346j 1.59763e-17-0.00519153j -9.045e-18+0.00913073j 1.83781e-18+0.00257427j -1.04004e-17+0.00592566j 5.46034e-18+0.000799792j -2.46282e-18+0.00383954j -4.49997e-18-0.00922155j 5.65752e-19+0.00030524j 4.10329e-18-0.0022243j -1.59841e-17+0.00606692j -1.50602e-17+0.00772493j 1.86405e-17-0.00752879j -6.428e-17+0.00570423j 1.65431e-17-0.00253634j 1.02137e-17-0.00361259j -2.5237e-17+0.00284529j -2.29212e-18+0.0025885j 8.44908e-17+0.0083526j -2.7885e-18+0.00629498j -1.85893e-17-0.000106188j -3.76723e-17-0.00703343j -7.16728e-17+0.00617746j -3.7233e-17-0.000479554j -1.24968e-16-0.0133353j -3.21417e-17-0.00578071j -8.94079e-17+0.000175818j -1.05004e-18+0.00441489j 7.61602e-17-0.00268724j 4.35273e-17-0.00396206j -1.83197e-18-0.0056921j 4.05726e-17+0.00203802j 1.28624e-18+0.000322529j 3.94979e-16+0.00516405j -8.48168e-17-0.0028162j 4.19257e-15-0.00514559j 3.4979e-15-0.000373494j 1.10907e-15+0.00107731j 1.46905e-16-0.00788471j -1.3325e-15+0.00855197j -4.84708e-17+0.00275058j 7.96484e-17-0.00195828j 3.10996e-17+0.00647163j -2.43975e-16+0.00474602j -1.84265e-18+0.00291301j -2.69228e-17-0.000409878j 3.26291e-17+0.000332352j 6.26469e-17-0.00505276j 5.61538e-17+0.00999375j 1.59084e-16-0.0093827j 2.31164e-17+0.00219304j 2.37509e-17-0.00823196j -1.46785e-17+7.72969e-05j -8.8919e-19+0.0011616j 9.55275e-17-0.00613168j -1.83975e-17+0.0035698j -1.87297e-17+0.0074323j -8.72271e-19+0.00106846j 2.17605e-17-0.000337263j -5.98172e-17-0.00983128j 4.00167e-18+0.00421049j -4.23464e-18-0.00185061j -4.07962e-18-0.00863854j -1.12773e-18+0.000442004j 1.40679e-17-0.00360167j 5.2369e-17+0.00819782j 7.35484e-18-0.000921424j -5.60924e-18+0.00535148j -3.24517e-18-0.00749969j 9.33535e-18-0.00226895j 1.99592e-17-0.00673498j -1.61227e-17+0.00800509j 4.14424e-18+0.00497834j -1.64006e-16+0.00816302j 2.23699e-15+0.00524118j 
-2.27839e-16-0.000713122j 6.66927e-18+0.00381335j -8.75798e-18+0.000990076j 2.01873e-17+0.00613319j -1.92058e-17+0.000118776j -8.84991e-18-0.000495699j -1.51419e-17-0.00459269j 1.05705e-17+0.00883379j -1.33686e-18+0.00291479j 2.84468e-17+0.00194839j -3.71723e-17-0.0051324j -8.89204e-19-0.00184171j -2.20945e-17-0.00604327j -2.389e-17+0.0055832j -6.22927e-18-0.00196353j 6.40013e-17-0.00842345j 8.24648e-17-0.00249873j 2.87276e-17-0.00548301j -5.5066e-17-0.00775936j -3.05002e-17-0.00222188j -2.78109e-17-0.000111447j -3.59007e-18+0.00549247j -1.88383e-17-3.15724e-05j 4.54077e-17+0.00462841j -4.70553e-17+0.00371875j -4.14309e-17+0.0133624j 8.0847e-17+0.000282699j 4.10386e-17+0.000495713j 3.80438e-17+0.00159408j 7.04388e-17+0.00548798j 1.34863e-17+0.00128821j -8.85085e-17+0.00292999j 8.90164e-17+0.00325868j -3.39167e-17-0.000676781j -3.50939e-19-0.00353019j -5.4939e-16-0.00703256j -6.02528e-17+0.00852228j 1.10061e-14-0.013258j 8.81908e-15-0.000849458j 2.62312e-15+0.00264341j 6.13267e-17-0.00449455j -2.67752e-16+0.00181804j -5.04269e-17+0.00249452j 2.21188e-17+0.00083628j 6.24501e-18-0.00118314j -1.83662e-17-0.000415723j 1.08792e-16-0.000772625j 6.34053e-17-0.00696463j -1.67452e-17+0.0017897j 3.91145e-18+0.00359123j -1.14701e-16-0.00826547j 1.95567e-16-0.00957561j 7.00779e-17-0.00676881j 1.65428e-17+0.00116376j 9.70658e-18-3.97377e-05j -3.10733e-17-0.00818282j -4.28698e-17+0.00519447j -4.06203e-17+0.000196875j -3.27846e-17+0.00375746j -3.88164e-18+0.00643725j -1.9934e-17+0.00346654j 1.20126e-17-0.00251212j -4.99477e-18-0.00638132j 2.11095e-17+0.00912228j 2.81492e-17-0.000449569j 6.82979e-18-0.0027952j 9.35002e-18-0.00365928j -5.20069e-17-0.00450334j 4.03758e-18+0.00465158j -4.70313e-18+0.00708797j 2.08241e-17+0.0004195j 4.70007e-18+0.00130703j 2.09166e-17+0.00599093j -7.45118e-18+0.00121973j -4.95876e-17-0.00562081j 9.07097e-17-0.0019954j -1.66942e-15-0.0035884j 
2.09906e-15+0.00512026j 2.14261e-16-0.00716457j -4.63219e-17+0.00536572j 6.28594e-17-0.00631005j -6.9805e-17+0.00690941j -1.65956e-17+0.00215125j -6.16395e-17+0.00627759j 2.02345e-17-0.00278358j -2.2384e-17+0.00180516j 6.28008e-17-0.00777253j -2.94763e-18+0.00220371j 1.51888e-17-0.00098694j -6.8638e-17+0.00694232j -4.54279e-17+0.00373987j 6.89915e-17-0.00498067j -1.42779e-16+0.00758021j -6.89295e-18-0.000972284j 8.35914e-18-0.000645907j -4.32101e-17+0.00514745j -1.66801e-17+0.00282506j 1.00822e-17+0.00640512j -3.30836e-17+0.0026855j -6.19703e-18-6.8759e-05j 2.2075e-17-0.00713512j -7.32363e-17+0.00327721j 3.10794e-17-0.00549738j -2.22218e-17-0.0102663j 5.9586e-18-0.00459365j -7.93252e-17-0.000478315j -4.56586e-17+0.00125512j 7.7463e-17-0.00254168j 1.06535e-16-0.00414329j 1.81668e-17-0.00558733j 2.61462e-17+0.00181232j -1.19003e-17+0.00160152j 4.50956e-16+0.00663455j 5.7191e-18-0.0054183j -1.03327e-15+0.00117252j -7.22376e-16+4.17551e-05j -1.63126e-16-0.000194649j 1.35959e-16-0.00427969j -9.72906e-16+0.00581593j -3.14019e-17+0.00113709j 6.98178e-17-0.00181284j -3.23067e-17+0.00538396j -2.16745e-16+0.00377479j -6.80281e-17+0.00251563j -6.24418e-17+0.0023627j 3.4047e-17-0.000434211j 9.6012e-17-0.00522806j -1.51259e-17+0.0107869j 9.01269e-17-0.00346926j -4.64444e-17+0.00427017j 7.88973e-17-0.00671739j -1.56254e-17+7.41404e-05j -2.21138e-17+0.00402759j 1.5215e-16-0.00666565j -2.54459e-17+0.00264356j -4.79831e-17+0.00421818j 1.17415e-17-0.0016585j 3.71705e-17-0.0015883j 1.84026e-17-0.00652382j -4.66258e-17+0.00565807j 3.01681e-17-0.00491324j 5.15791e-17-0.00640746j -1.52312e-17+0.00141024j 2.40873e-17-0.00133803j -1.6982e-17+0.00797401j 2.50417e-17-0.0024884j -2.27505e-17+0.00135404j 4.88063e-17-0.00587376j 2.67556e-17-0.00223029j 7.71311e-17-0.00743109j -6.77209e-17+0.00562915j -3.30652e-17+0.00595087j -2.28869e-16+0.00698428j 2.29388e-15+0.00537049j 
-4.59972e-15-0.0106773j -3.13876e-16+0.0111279j -2.87144e-17-0.0135417j -1.63913e-17+0.00604352j -3.40452e-19-0.0158721j -6.6109e-18-0.00422048j 3.91662e-18-0.00805567j -7.30936e-18-0.00563214j -2.63986e-18-0.00805162j 2.18227e-17+0.0150356j 1.0551e-17+0.00193871j -2.47067e-18+0.00473803j 1.4986e-17-0.00760299j 2.20827e-17-0.0160642j -1.04761e-17+0.0139843j 5.57077e-17-0.00583051j -6.39258e-17+0.00559436j -2.73317e-17+0.00889319j 5.39777e-17-0.0011979j 9.06423e-18-0.00341527j -1.56298e-16-0.0144137j -5.05621e-18-0.0135438j 4.15155e-17+0.000199102j 6.79138e-17+0.00995723j 1.3358e-16-0.0124875j 1.00038e-16-0.00559335j 2.14935e-16+0.0229616j 5.25326e-17+0.00977423j 1.37788e-16-0.00107088j -3.84382e-17-0.0102852j -1.29554e-16+0.00403517j -1.8699e-17+0.00545393j -2.03209e-17+0.00829247j -6.03551e-17-0.00320461j -6.73247e-18+0.0011385j -4.4188e-16-0.00556355j 1.92817e-16+0.000780741j -1.25529e-14+0.0152863j -1.02982e-14+0.00105529j -3.18221e-15-0.00313679j -2.66836e-16+0.0158176j 2.41489e-15-0.0156866j 1.03225e-16-0.00596342j -1.42254e-16+0.00298982j -7.61144e-17-0.0106405j 4.17779e-16-0.00802054j -5.80301e-17-0.00467407j 9.83656e-18+0.00405818j -4.74738e-17-0.00143605j -9.25085e-17+0.00702522j -7.87281e-17-0.0133362j -3.53741e-16+0.0208549j -8.70643e-17-0.000544369j -2.49755e-17+0.0136988j 2.05004e-17-0.000114779j 4.49594e-18+0.00192194j -1.22257e-16+0.0081232j 4.16868e-17-0.00627777j 3.1574e-17-0.0146796j 7.2963e-18-0.00494534j -2.34612e-17-0.00108238j 1.22458e-16+0.0182361j -2.30555e-17-0.00422501j 1.20884e-17-0.00118016j 1.70522e-17+0.0151786j -5.54895e-18+0.000578216j -2.27706e-17+0.00799752j -9.32979e-17-0.0120341j -7.14306e-18-0.000640284j 4.69301e-18-0.0126766j 1.68944e-17+0.0127883j -1.07268e-17+0.0033016j -1.95047e-17+0.00878527j 1.05729e-17-0.0144517j -3.18396e-18-0.00592059j 2.15646e-16-0.0131796j -3.09043e-15-0.00735292j 
2.64204e-15+0.0064208j 2.39504e-16-0.00934743j -3.65476e-17+0.00650457j 5.44447e-17-0.00859036j -5.89701e-17+0.00852499j -1.18126e-17+0.00272295j -5.32025e-17+0.00835159j 1.65335e-17-0.00457977j -2.00679e-17+0.00185537j 4.66963e-17-0.0098584j 7.38798e-18+0.00338571j 1.47471e-17-0.000982402j -5.90429e-17+0.00936028j -3.78309e-17+0.00390265j 6.75657e-17-0.0059031j -1.60272e-16+0.0104557j -2.34568e-17-0.000879563j 2.52481e-18-9.1314e-05j -3.03613e-17+0.00736304j -7.26891e-18+0.00377841j 3.89986e-17+0.00793136j -2.90041e-17+0.00261111j -5.48755e-18-8.09174e-05j -2.66957e-18-0.00941614j -7.14833e-17+0.00357122j 2.83789e-17-0.0085181j -7.46439e-17-0.012726j -1.42512e-17-0.00574186j -1.04153e-16-0.000796777j -5.92283e-17+0.00084369j 8.5306e-17-0.00330774j 1.29179e-16-0.0054991j -8.01498e-18-0.00732638j 4.29751e-17+0.00232738j -1.00656e-17+0.00243477j 6.49765e-16+0.00910743j -1.83199e-18-0.00779621j -2.69654e-15+0.00315894j -2.03026e-15+0.000161151j -5.39729e-16-0.00058147j 1.4332e-16-0.00471028j -1.14656e-15+0.00695427j -2.74184e-17+0.00108381j 7.72116e-17-0.00234859j -2.1801e-17+0.00680735j -2.52126e-16+0.00471939j -8.93381e-17+0.00320905j -7.91448e-17+0.0038185j 4.32671e-17-0.00076749j 1.00577e-16-0.00692519j 3.21161e-17+0.0143989j 7.06137e-17-0.00305333j -5.33226e-17+0.00615096j 7.16586e-17-0.00845302j -2.03121e-17+9.67648e-05j -1.15361e-17+0.00603346j 1.71361e-16-0.00890884j -1.66628e-17+0.00324216j -3.872e-17+0.00472929j 1.11571e-17-0.00288007j 4.39432e-17-0.00241022j -3.033e-18-0.00773975j -3.87589e-17+0.00781649j 1.99039e-17-0.00724931j 3.69825e-17-0.0078619j -1.5556e-17+0.00210356j 2.2574e-17-0.00118199j 1.2867e-17+0.0104369j 2.30157e-17-0.00367559j -2.03473e-17+0.000759626j 3.66981e-17-0.0073143j 2.48863e-17-0.00292527j 6.79215e-17-0.00995767j -6.21461e-17+0.00680056j -1.49487e-17+0.00808033j -2.70173e-16+0.00889016j 3.06871e-15+0.00710087j 
7.89174e-16+0.00203053j 2.09739e-17-0.0056296j 1.89649e-17+0.000407244j -2.72241e-17-0.00770604j 2.92177e-17+0.0016694j 1.30711e-17+0.00104731j 2.29808e-17+0.00617201j -1.33278e-17-0.00946853j 3.98348e-18-0.0024198j -4.29393e-17-0.00393986j 4.31474e-17+0.00565286j 9.78714e-20+0.00156869j 3.02329e-17+0.00778052j 2.92456e-17-0.00456208j 2.95249e-18+0.000656413j -7.24855e-17+0.0103027j -8.83469e-17+0.00222316j -3.09558e-17+0.00526308j 6.15e-17+0.00901584j 3.66023e-17+0.00293112j 5.62575e-17+0.00176697j 7.9961e-18-0.00474493j 1.67614e-17+1.34843e-05j -6.66751e-17-0.00642918j 4.2416e-17-0.00283528j 3.15751e-17-0.0146553j -1.27621e-16-0.00293521j -5.76715e-17-0.00167902j -5.95557e-17-0.00170241j -7.44123e-17-0.00511043j -3.22075e-18-0.00193316j 9.9379e-17-0.00397334j -1.05063e-16-0.00467234j 4.75e-17+0.00113899j 2.50056e-18+0.00391036j 6.85206e-16+0.00868068j 4.21869e-17-0.00984145j -1.11673e-14+0.0134334j -8.921e-15+0.000852065j -2.63983e-15-0.00266826j -4.47073e-17+0.00334432j 3.79569e-17-0.000296291j 4.73847e-17-0.00217637j -1.09392e-17-0.00129708j 7.00108e-18+0.00256422j -2.26128e-17+0.00138801j -1.15354e-16+0.00141581j -7.1877e-17+0.00750854j 2.42796e-17-0.00188474j 9.45106e-19-0.00490876j 1.50659e-16+0.0109757j -1.8808e-16+0.00858598j -6.64881e-17+0.00780795j -2.29699e-17-0.0028899j -1.33663e-17+5.85299e-05j 3.84664e-17+0.00914558j 5.65193e-17-0.00686836j 4.45124e-17+0.000488747j 3.86702e-17-0.00263025j 2.49404e-18-0.00680412j 2.41549e-17-0.0038439j -3.47005e-17+0.000800597j 1.36232e-17+0.00778316j -2.97833e-17-0.010305j -4.0862e-17-0.00121197j -5.98115e-18+0.00313298j -9.8475e-18+0.00327792j 7.7999e-17+0.00652228j -5.95818e-18-0.00525031j 6.92618e-18-0.0066694j -3.18241e-17-0.00193462j -6.35578e-18-0.00187126j -2.88845e-17-0.0078551j 1.32966e-17+0.000247939j 6.27702e-17+0.00710571j -1.21255e-16+0.00378254j 2.26719e-15+0.0049428j 
-3.81187e-15-0.00911677j -2.25149e-16+0.0140321j -3.62719e-17-0.00876679j 1.91613e-17+0.0136154j -3.07051e-17-0.0118127j -1.8694e-17-0.00391918j -2.11704e-17-0.0128618j 1.06816e-17+0.00878231j -4.5964e-18-0.00177986j 6.07731e-17+0.0142314j -4.74156e-17-0.0061097j -2.82713e-18+0.000860721j -2.32322e-17-0.0146606j -1.98682e-17-0.00389382j -1.55354e-17+0.00766452j 1.34449e-16-0.0168343j 7.37774e-17+0.000537924j 2.20984e-17-0.00137448j -4.18454e-17-0.0123554j -3.89618e-17-0.00585838j -1.61036e-16-0.0110509j -1.00856e-17-0.00212411j 3.57788e-18+0.000103787j 1.20347e-16+0.0143508j 3.03511e-17-0.00394383j 1.57206e-17+0.0154945j 2.84761e-16+0.0177598j 1.01623e-16+0.00811387j 1.60313e-16+0.00154359j 7.43826e-17+0.000330436j -7.72102e-17+0.00494874j -1.43557e-16+0.00844312j 1.17625e-16+0.0110721j -9.61696e-17-0.00341913j -5.9927e-18-0.00434968j -1.14631e-15-0.0145802j 5.81295e-17+0.0131662j 6.76093e-15-0.00801954j 5.23637e-15-0.000456513j 1.4675e-15+0.00153175j -1.0961e-16+0.00531409j 1.42699e-15-0.00916493j 3.13336e-18-0.000822872j -7.4273e-17+0.00349228j -4.98778e-17-0.00978257j 2.87302e-16-0.00667129j 1.15973e-16-0.00467044j 1.00471e-16-0.00721274j -6.04847e-17+0.00155646j -6.26065e-17+0.0106057j -2.31783e-16-0.0222701j 2.27466e-17+0.00162052j 3.65443e-17-0.0104j 7.56069e-18+0.0120639j 2.97864e-17-0.000145333j -4.34594e-17-0.0106239j -1.53718e-16+0.0138009j -2.92685e-17-0.00445098j -2.59207e-17-0.00554234j 1.09561e-19+0.00576442j -4.67492e-17+0.00429813j 1.12272e-16+0.0100663j -2.63299e-17-0.0126081j 4.15251e-17+0.0125706j 5.63816e-17+0.0108008j 5.53585e-18-0.00368821j -2.89222e-18+0.000640348j -1.49516e-16-0.0157349j 1.19207e-18+0.00638082j -4.00357e-18+0.00088535j 4.52662e-17+0.0102779j -5.23273e-19+0.00442247j 1.82312e-17+0.0154763j -4.75679e-18-0.00911518j -7.72378e-17-0.0127665j 2.94666e-16-0.012899j -4.79928e-15-0.010849j 
