-0.00145559-0j -0.00103999-0j 0.00698027-0j 6.20157e-06-0j 6.26584e-06-0j 0.0100843-0j 0.00125252-0j 0.0101888-0j 0.00126549-0j -0.000853617-0j -0.0010563-0j -6.94365e-05-0j -0.000616173-0j -8.60284e-05-0j -0.0390802-0j -8.59233e-05-0j -0.000106455-0j 0.000147714-0j -5.01219e-05-0j -0.0483593-0j -6.20986e-05-0j 0.000182787-0j -0.0282096-0j 0.000106626-0j 3.35432e-06-0j 3.91338e-06-0j 0.0101374-0j 2.39644e-06-0j 3.42421e-06-0j -4.25238e-05-0j 1.41241e-06-0j 0.0118269-0j 0.000285414-0j 0.00102165-0j 0.00724248-0j -4.96111e-05-0j -0.00858842-0j 0.0103486-0j -3.03805e-05-0j 0.000332983-0j 1.37239e-05-0j 0.00426856-0j 0.000203909-0j 0.00119193-0j -4.34097e-05-0j 0.000729905-0j -0.0100198-0j 0.00029136-0j -1.79056e-05-0j 0.00104294-0j -0.00613586-0j 1.60112e-05-0j 0.00012018-0j -0.00876734-0j 9.80482e-06-0j 0.00043019-0j 1.40098e-05-0j -0.00361634-0j 5.77875e-06-0j 
-0.000970392-0j 7.20609e-06-0j 0.00465352-0j -0.00120922-0j -0.00122176-0j -6.98742e-05-0j 0.00083501-0j -7.05983e-05-0j 0.000843663-0j 2.90514e-06-0j 3.59493e-06-0j 0.0135392-0j 2.09704e-06-0j 2.96504e-07-0j 0.000270787-0j 0.0167539-0j 3.66906e-07-0j 9.8476e-05-0j 0.00977311-0j 0.000335082-0j 2.14028e-07-0j 0.000121858-0j 0.000195464-0j 7.10837e-05-0j 2.23622e-06-0j 2.60892e-06-0j -3.45008e-05-0j 1.59763e-06-0j 2.2828e-06-0j -8.61785e-05-0j 9.41608e-07-0j -4.02509e-05-0j -0.0556519-0j -3.52122e-06-0j -2.46486e-05-0j -0.000100542-0j 5.95091e-05-0j -3.52196e-05-0j -6.15689e-05-0j -0.0649272-0j 9.14926e-06-0j -1.45273e-05-0j -0.0397597-0j -4.10809e-06-0j -8.79739e-05-0j -2.51568e-06-0j 6.94273e-05-0j -0.0568113-0j -3.62874e-05-0j -3.59458e-06-0j 4.25154e-05-0j 1.06741e-05-0j -0.0234335-0j 6.07489e-05-0j 6.53655e-06-0j -1.48269e-06-0j 9.33987e-06-0j 2.50576e-05-0j 3.8525e-06-0j 
0.00017244-0j -6.36935e-07-0j -0.00253849-0j -3.65431e-07-0j -3.69218e-07-0j 1.24167e-05-0j 0.0141113-0j 1.25454e-05-0j 0.0142575-0j 5.02998e-05-0j 6.22429e-05-0j 8.22597e-06-0j 3.63083e-05-0j -2.62075e-08-0j -0.000147714-0j 1.01791e-05-0j -3.24302e-08-0j -0.0378251-0j 5.93782e-06-0j -0.000182787-0j -1.89176e-08-0j -0.0468061-0j -0.000106626-0j -0.0273036-0j -1.97655e-07-0j -2.30598e-07-0j -0.00120095-0j -1.41212e-07-0j -2.01773e-07-0j -2.60434e-08-0j -8.32272e-08-0j -0.00140111-0j -0.000103795-0j 6.25725e-07-0j -0.000857999-0j -3.0384e-08-0j 0.00100568-0j -0.00122597-0j -1.86063e-08-0j -0.000121095-0j -0.0109701-0j -0.000505686-0j -7.4155e-05-0j 7.30013e-07-0j -2.6586e-08-0j 4.4704e-07-0j 0.00117329-0j -0.000105958-0j -1.09661e-08-0j 6.38761e-07-0j 0.000718489-0j -0.0127984-0j -4.37053e-05-0j 0.00102663-0j -0.00783741-0j 2.63476e-07-0j -0.0111986-0j 0.000423462-0j -0.0046192-0j 
-0.000588026-0j -0.00170712-0j -0.000121788-0j -0.000737964-0j -0.000745612-0j 0.00819002-0j -1.07345e-05-0j 0.00827489-0j -1.08458e-05-0j 3.55805e-06-0j 4.40287e-06-0j 0.00408813-0j 2.56834e-06-0j 0.00672295-0j 0.00137079-0j 0.0050588-0j 0.00831922-0j -8.39559e-07-0j 0.00295097-0j 0.00169627-0j 0.00485288-0j -1.0389e-06-0j 0.00098949-0j -6.06026e-07-0j 2.73879e-06-0j 3.19526e-06-0j -2.09063e-05-0j 1.95669e-06-0j 2.79585e-06-0j 0.0101729-0j 1.15323e-06-0j -2.43907e-05-0j 0.000725751-0j -0.0395026-0j -1.49362e-05-0j 0.0118684-0j 0.000147977-0j -2.13419e-05-0j 0.0072679-0j 0.000846709-0j -5.83592e-08-0j -8.80308e-06-0j 0.000518501-0j -0.0460863-0j 0.0103849-0j -0.028222-0j 0.00017264-0j 0.00074087-0j 0.00428354-0j -0.0403256-0j 0.00010572-0j -6.80857e-08-0j 0.000305593-0j 0.00015106-0j -4.16938e-08-0j -0.0166334-0j -5.9575e-08-0j 6.23091e-05-0j -2.45734e-08-0j 
3.10779e-06-0j -0.000855768-0j 3.18467e-07-0j 1.26589e-06-0j 1.27901e-06-0j -8.67944e-05-0j 1.86483e-08-0j -8.76938e-05-0j 1.88416e-08-0j 8.89513e-07-0j 1.10072e-06-0j 1.48252e-07-0j 6.42085e-07-0j 0.0102252-0j -7.18756e-06-0j 1.83453e-07-0j 0.012653-0j 1.09198e-09-0j 1.07014e-07-0j -8.89416e-06-0j 0.00738092-0j 1.35126e-09-0j -5.18826e-06-0j 7.88233e-10-0j 6.84698e-07-0j 7.98815e-07-0j 1.10493e-07-0j 4.89172e-07-0j 6.98963e-07-0j -3.49912e-05-0j 2.88308e-07-0j 1.28908e-07-0j 1.30217e-08-0j 0.00127014-0j 7.89398e-08-0j -4.0823e-05-0j -5.15469e-07-0j 1.12795e-07-0j -2.49989e-05-0j 1.5192e-08-0j 6.06612e-11-0j 4.65254e-08-0j 9.30315e-09-0j 0.00148183-0j -3.57202e-05-0j 0.000907433-0j -6.0138e-07-0j 1.3293e-08-0j -1.47338e-05-0j 0.0012966-0j -3.68269e-07-0j 7.07714e-11-0j 5.48307e-09-0j -5.26208e-07-0j 4.33385e-11-0j 0.000534821-0j 6.1925e-11-0j -2.1705e-07-0j 2.55428e-11-0j 
0.000210829-0j 0.000100073-0j -0.00205824-0j 8.69699e-05-0j 8.78712e-05-0j -0.00146062-0j 0.00557885-0j -0.00147576-0j 0.00563666-0j -4.19321e-07-0j -5.18883e-07-0j -0.00146574-0j -3.02682e-07-0j 8.27808e-06-0j 0.0115234-0j -0.00181376-0j 1.02436e-05-0j 0.00134935-0j -0.00105803-0j 0.0142595-0j 5.97544e-06-0j 0.00166974-0j 0.00831803-0j 0.000974014-0j -3.2277e-07-0j -3.76565e-07-0j 7.49568e-06-0j -2.30598e-07-0j -3.29494e-07-0j -0.000596347-0j -1.35909e-07-0j 8.74496e-06-0j 0.0122653-0j -0.000147977-0j 5.35518e-06-0j -0.000695738-0j -0.0382538-0j 7.65184e-06-0j -0.000426051-0j 0.0143095-0j 0.000189377-0j 3.15622e-06-0j 0.00876274-0j -0.00017264-0j -0.000608771-0j -0.00010572-0j -0.0446294-0j 0.0125208-0j -0.000251105-0j -0.00015106-0j -0.0273298-0j 0.00022094-0j 0.00516457-0j -0.0390507-0j 0.000135298-0j -6.23091e-05-0j 0.000193323-0j -0.0161076-0j 7.97416e-05-0j 
8.57714e-05-0j 0.00018512-0j -0.000411317-0j -3.65431e-07-0j -3.69218e-07-0j -0.00179502-0j -7.38052e-05-0j -0.00181362-0j -7.457e-05-0j -2.5678e-07-0j -3.17749e-07-0j 4.09158e-06-0j -1.85354e-07-0j -0.00147079-0j 0.00695634-0j 5.06308e-06-0j -0.00182002-0j -8.70413e-06-0j 2.95346e-06-0j 0.00860803-0j -0.00106168-0j -1.07708e-05-0j 0.00502135-0j -6.28297e-06-0j -1.97655e-07-0j -2.30598e-07-0j 3.04947e-06-0j -1.41212e-07-0j -2.01773e-07-0j 7.5693e-06-0j -8.32272e-08-0j 3.55771e-06-0j -1.68182e-05-0j 0.0174668-0j 2.17865e-06-0j 8.83085e-06-0j 0.00152875-0j 3.113e-06-0j 5.40777e-06-0j -1.96212e-05-0j -8.08688e-07-0j 1.28405e-06-0j -1.20155e-05-0j 0.020378-0j 7.72699e-06-0j 0.0124789-0j 0.00178354-0j -1.71685e-05-0j 3.18722e-06-0j 0.0178307-0j 0.00109219-0j -9.43469e-07-0j -7.08167e-06-0j 0.0015606-0j -5.77755e-07-0j 0.0073548-0j -8.25536e-07-0j 0.000643715-0j -3.40516e-07-0j 
-1.60829e-05-0j 4.74743e-08-0j 0.000316445-0j -3.96961e-06-0j -4.01075e-06-0j -1.15806e-06-0j -0.00265727-0j -1.17006e-06-0j -0.00268481-0j 1.91393e-08-0j 2.36836e-08-0j 0.000111813-0j 1.38155e-08-0j 1.95339e-09-0j 1.84139e-05-0j 0.000138361-0j 2.4172e-09-0j 0.014719-0j 8.07107e-05-0j 2.2786e-05-0j 1.41003e-09-0j 0.0182138-0j 1.32918e-05-0j 0.0106247-0j 1.47324e-08-0j 1.71878e-08-0j -5.71801e-07-0j 1.05253e-08-0j 1.50393e-08-0j -2.82905e-07-0j 6.20339e-09-0j -6.67101e-07-0j -0.00188573-0j -5.83592e-08-0j -4.08514e-07-0j -3.30056e-07-0j -0.000189377-0j -5.83713e-07-0j -2.02117e-07-0j -0.00220002-0j -0.0370074-0j -2.4077e-07-0j -0.00134723-0j -6.80857e-08-0j -2.88799e-07-0j -4.16938e-08-0j -0.00022094-0j -0.00192502-0j -1.19123e-07-0j -5.9575e-08-0j -0.000135298-0j -0.0431753-0j -0.000794029-0j -0.000193323-0j -0.0264394-0j -2.45734e-08-0j -0.0377784-0j -7.97416e-05-0j -0.0155828-0j 
-1.75996e-05-0j -1.25741e-05-0j 0.000259084-0j 3.72967e-08-0j 3.76832e-08-0j 0.000245127-0j -0.00144022-0j 0.000247667-0j -0.00145515-0j 2.62075e-08-0j 3.24302e-08-0j -8.39559e-07-0j 1.89176e-08-0j 4.95192e-05-0j -0.00291612-0j -1.0389e-06-0j 6.12769e-05-0j 0.00386051-0j -6.06026e-07-0j -0.00360851-0j 3.57448e-05-0j 0.00477713-0j -0.00210497-0j 0.00278666-0j 2.01731e-08-0j 2.35353e-08-0j -6.25725e-07-0j 1.44124e-08-0j 2.05934e-08-0j -5.1414e-07-0j 8.49434e-09-0j -7.30013e-07-0j 1.05936e-05-0j -0.00118231-0j -4.4704e-07-0j -5.9983e-07-0j 0.0198537-0j -6.38761e-07-0j -3.67319e-07-0j 1.23592e-05-0j 0.00111963-0j -2.63476e-07-0j 7.56841e-06-0j -0.00137936-0j -5.24851e-07-0j -0.000844683-0j 0.0231626-0j 1.08143e-05-0j -2.1649e-07-0j -0.00120694-0j 0.0141842-0j 0.00130623-0j 4.46066e-06-0j 0.0202673-0j 0.000799902-0j -0.000497838-0j 0.00114296-0j 0.00835984-0j 0.000471445-0j 
1.39378e-06-0j 3.29645e-07-0j -3.43276e-05-0j -1.96571e-09-0j -1.98608e-09-0j -9.65611e-06-0j 0.000385554-0j -9.75617e-06-0j 0.00038955-0j -1.38126e-09-0j -1.70922e-09-0j 6.64881e-08-0j -9.97045e-10-0j 2.72683e-08-0j 0.000192189-0j 8.22748e-08-0j 3.37428e-08-0j -0.00323191-0j 4.79936e-08-0j 0.000237821-0j 1.96833e-08-0j -0.00399928-0j 0.000138729-0j -0.00233291-0j -1.06322e-09-0j -1.24042e-09-0j 4.95537e-08-0j -7.59599e-10-0j -1.08537e-09-0j 1.34787e-08-0j -4.47691e-10-0j 5.78127e-08-0j -1.40361e-06-0j -9.78273e-07-0j 3.54029e-08-0j 1.57252e-08-0j -0.00264372-0j 5.05861e-08-0j 9.62967e-09-0j -1.63754e-06-0j 0.0169224-0j 2.08657e-08-0j -1.00279e-06-0j -1.14132e-06-0j 1.37595e-08-0j -6.98912e-07-0j -0.00308434-0j -1.43285e-06-0j 5.67552e-09-0j -9.98654e-07-0j -0.00188877-0j 0.0197428-0j -5.91021e-07-0j -0.0026988-0j 0.0120899-0j -4.11924e-07-0j 0.0172749-0j -0.0011132-0j 0.00712554-0j 
