-0.00474367-0j -0.00068469-0j -0.00388882-0j -0.000687452-0j -5.72877e-05-0j -0.00236649-0j -0.00239101-0j -0.000394415-0j -0.000241529-0j -0.000398502-0j -4.93018e-05-0j -0.000244032-0j -4.98127e-05-0j -2.90514e-06-0j -2.93524e-06-0j -0.00171741-0j -0.00212519-0j -0.00123969-0j -0.000277146-0j -0.000226289-0j -0.000342951-0j -3.2662e-05-0j -0.000200055-0j -2.82861e-05-0j -0.000280018-0j -3.33355e-06-0j -4.04172e-05-0j -0.000163344-0j -3.50023e-05-0j -1.52155e-07-0j -2.35767e-05-0j -2.0418e-05-0j -4.12506e-06-0j -1.88282e-07-0j -2.40629e-06-0j -1.09831e-07-0j -0.00134923-0j -0.0015741-0j -0.000963937-0j -0.000213332-0j -0.00137734-0j -0.000568124-0j -0.000168654-0j -0.000248887-0j -0.000112436-0j -2.43431e-05-0j -0.000152412-0j -0.000217776-0j -0.000196763-0j -2.8109e-05-0j -8.98282e-05-0j -0.000131175-0j -9.93802e-06-0j -0.000120492-0j -2.84003e-05-0j -2.34241e-06-0j -8.03281e-05-0j -1.73915e-05-0j -0.000172167-0j -2.48451e-06-0j -0.000114778-0j -3.27938e-05-0j -2.48502e-05-0j -7.10154e-05-0j -2.07042e-07-0j -2.0082e-05-0j -1.15944e-05-0j -4.73436e-05-0j -2.73282e-06-0j -1.02502e-05-0j -7.716e-09-0j -7.10007e-06-0j -1.6735e-06-0j -2.89859e-06-0j -2.86946e-05-0j -1.77502e-06-0j -1.01451e-05-0j -2.41549e-07-0j -1.18359e-05-0j -2.39121e-06-0j -2.53627e-06-0j -1.47918e-07-0j -4.18463e-06-0j -9.002e-09-0j -9.86326e-07-0j -2.11355e-07-0j -5.51258e-09-0j -1.04616e-06-0j -7.87675e-09-0j -8.71797e-08-0j -3.249e-09-0j 
0.000726223-0j -0.0100214-0j 0.000595351-0j -0.00497832-0j -0.00126212-0j 0.000362293-0j 0.000366047-0j -0.00285623-0j 3.69764e-05-0j -0.00288583-0j -0.000721605-0j 3.73596e-05-0j -0.000729083-0j -8.54868e-05-0j -8.63726e-05-0j 0.000262924-0j 0.000325352-0j 0.000189789-0j -0.00200701-0j 3.46433e-05-0j -0.00248355-0j -0.000478057-0j -0.00144874-0j -0.00020484-0j 4.28689e-05-0j -7.34424e-05-0j -0.000591565-0j 2.50069e-05-0j -0.000253476-0j -5.60248e-06-0j -0.00034508-0j -0.000147861-0j -9.08803e-05-0j -6.93272e-06-0j -5.30135e-05-0j -4.04409e-06-0j 0.000206558-0j 0.000240984-0j 0.000147572-0j -0.00154489-0j 0.000210861-0j 8.69758e-05-0j 2.58197e-05-0j -0.00180237-0j 1.72132e-05-0j -0.000356297-0j -0.00110372-0j -0.00157707-0j 3.0123e-05-0j -0.000203557-0j -0.000650508-0j 2.0082e-05-0j 1.52144e-06-0j 1.84465e-05-0j -0.00041568-0j -5.16063e-05-0j 1.22977e-05-0j -0.000254551-0j 2.63576e-05-0j -3.63644e-05-0j 1.75718e-05-0j -0.000237483-0j -0.00036372-0j 1.0872e-05-0j -6.09243e-06-0j -0.000145428-0j 1.77502e-06-0j 7.24798e-06-0j -6.02074e-05-0j -0.000150027-0j -3.41168e-07-0j 1.08697e-06-0j -3.68694e-05-0j -4.24251e-05-0j -0.000207797-0j -2.598e-05-0j 1.55314e-06-0j -7.10784e-06-0j -8.5712e-05-0j -5.26815e-05-0j -3.7122e-05-0j -4.35264e-06-0j 6.40637e-07-0j -3.98029e-07-0j -2.173e-05-0j -6.21936e-06-0j -2.43742e-07-0j -1.5312e-05-0j -3.48276e-07-0j -2.56535e-06-0j -1.43656e-07-0j 
-0.0528189-0j 7.92374e-05-0j 0.000450043-0j -0.00765451-0j 6.62976e-06-0j 0.000273868-0j 0.000276706-0j 4.56446e-05-0j -0.0054066-0j 4.61176e-05-0j -0.000548956-0j -0.00546263-0j -0.000554645-0j 3.36204e-07-0j 3.39689e-07-0j 0.000198752-0j 0.000245943-0j 0.000143467-0j 3.20735e-05-0j -0.00251964-0j 3.96889e-05-0j 3.77989e-06-0j 2.31519e-05-0j -0.000633183-0j -0.0031179-0j -3.71178e-05-0j 4.67738e-06-0j -0.00181877-0j -0.000783525-0j 1.76085e-08-0j 2.72847e-06-0j -0.000457056-0j -4.59309e-05-0j 2.17895e-08-0j -2.6793e-05-0j 1.27105e-08-0j 0.000156143-0j 0.000182167-0j 0.000111554-0j 2.46884e-05-0j 0.000159396-0j 6.57475e-05-0j -0.00187789-0j 2.88031e-05-0j 1.30119e-05-0j 2.81716e-06-0j 1.76382e-05-0j 2.52027e-05-0j -0.00219088-0j -0.000312982-0j 1.03956e-05-0j 1.51806e-05-0j -0.000334268-0j -0.00134163-0j 3.28669e-06-0j 2.71082e-07-0j 9.29617e-06-0j 2.01268e-06-0j -0.00191702-0j -5.56155e-05-0j 1.3283e-05-0j -0.000365146-0j 2.87586e-06-0j -0.000790729-0j -2.30533e-06-0j -0.000223605-0j -0.000389979-0j 5.47896e-06-0j 3.16262e-07-0j 1.18623e-06-0j 8.92954e-10-0j -0.000238813-0j 1.9367e-07-0j -6.48847e-05-0j -0.000319503-0j -3.97336e-05-0j -0.000341232-0j -2.68955e-06-0j -0.000131788-0j 2.76729e-07-0j -5.67742e-05-0j -1.64701e-06-0j -0.000140751-0j 1.04178e-09-0j 1.14145e-07-0j -2.35336e-06-0j 6.37957e-10-0j -2.34181e-05-0j 9.11557e-10-0j -9.70711e-07-0j 3.75998e-10-0j 
-7.92374e-05-0j -0.0511696-0j -6.49581e-05-0j 0.00109784-0j -0.0131194-0j -3.95294e-05-0j -3.9939e-05-0j 0.000629869-0j -4.03445e-06-0j 0.000636396-0j -0.00368452-0j -4.07626e-06-0j -0.0037227-0j -0.00133994-0j -0.00135382-0j -2.86874e-05-0j -3.54988e-05-0j -2.07076e-05-0j 0.000442595-0j -3.77989e-06-0j 0.000547683-0j -0.00244096-0j 0.000319482-0j 4.51721e-05-0j -4.67738e-06-0j -0.000763415-0j -0.00302054-0j -2.72847e-06-0j 5.58977e-05-0j -0.000117372-0j -0.00176198-0j 3.2607e-05-0j -0.000944678-0j -0.00014524-0j -0.000551062-0j -8.47233e-05-0j -2.25373e-05-0j -2.62935e-05-0j -1.61014e-05-0j 0.000340685-0j -2.30068e-05-0j -9.48984e-06-0j -2.81716e-06-0j 0.000397466-0j -1.87811e-06-0j -0.00181925-0j 0.000243397-0j 0.000347783-0j -3.28669e-06-0j 4.48892e-05-0j 0.000143453-0j -2.19113e-06-0j -1.66003e-07-0j -2.01268e-06-0j -0.00212246-0j -0.000536435-0j -1.34179e-06-0j -0.00129974-0j -2.87586e-06-0j -0.000185677-0j -1.91724e-06-0j 5.23707e-05-0j -0.00185716-0j -1.18623e-06-0j -9.54939e-05-0j 3.20704e-05-0j -1.9367e-07-0j -7.9082e-07-0j -0.000625841-0j -0.000766038-0j -8.94673e-06-0j -1.18598e-07-0j -0.000383248-0j -0.000216623-0j 4.58244e-05-0j -0.000132654-0j -1.69461e-07-0j -0.00011141-0j 1.89016e-05-0j -0.000547611-0j -0.000189545-0j -6.82242e-05-0j -6.98993e-08-0j -1.04379e-05-0j -0.000225878-0j -9.74834e-05-0j -6.39186e-06-0j -7.81834e-05-0j -9.13312e-06-0j -4.02098e-05-0j -3.76722e-06-0j 
0.000484149-0j 6.98808e-05-0j -0.0578443-0j 7.01628e-05-0j 5.8469e-06-0j 0.000241529-0j 0.000244032-0j -0.00586673-0j 2.46509e-05-0j -0.00592753-0j 5.03185e-06-0j 2.49064e-05-0j 5.08399e-06-0j 2.96504e-07-0j 2.99577e-07-0j 0.000175283-0j 0.000216901-0j 0.000126526-0j 2.82861e-05-0j -0.00336595-0j 3.50023e-05-0j -0.000485832-0j 2.0418e-05-0j 2.88694e-06-0j -0.00416514-0j 3.40229e-07-0j -0.000601187-0j -0.00242967-0j 3.57241e-06-0j 1.55293e-08-0j -0.000350692-0j 2.0839e-06-0j 4.21012e-07-0j 1.92165e-08-0j 2.45591e-07-0j 1.12096e-08-0j -0.0410451-0j -0.0478859-0j -0.029324-0j 2.17731e-05-0j -0.0419002-0j -0.0172829-0j 1.72132e-05-0j 2.5402e-05-0j -0.00335634-0j 2.48451e-06-0j 1.55555e-05-0j 2.22267e-05-0j 2.0082e-05-0j -0.000418108-0j 9.16805e-06-0j -0.00391573-0j 1.0143e-06-0j 1.22977e-05-0j 2.89859e-06-0j -3.48423e-05-0j -0.00239788-0j 1.77502e-06-0j 1.75718e-05-0j 2.53574e-07-0j -0.00342626-0j -0.000487792-0j 2.53627e-06-0j 7.24798e-06-0j 2.11311e-08-0j -0.000298711-0j 1.18334e-06-0j -0.00141326-0j -4.06494e-05-0j 1.04616e-06-0j 7.87511e-10-0j 7.24647e-07-0j -2.48926e-05-0j 2.95836e-07-0j -0.000426818-0j 1.81162e-07-0j 1.03543e-06-0j 2.4653e-08-0j -0.000176054-0j -3.55682e-05-0j 2.58857e-07-0j 1.50968e-08-0j 4.27092e-07-0j 9.18763e-10-0j -1.46711e-05-0j 2.15714e-08-0j 5.62625e-10-0j 1.06773e-07-0j 8.03918e-10-0j 8.89774e-09-0j 3.31599e-10-0j 
0.000459304-0j 6.62948e-05-0j 0.000376533-0j 6.65623e-05-0j 5.54685e-06-0j -0.0448843-0j -0.0453495-0j 3.8189e-05-0j 2.33859e-05-0j 3.85848e-05-0j 4.77363e-06-0j 2.36283e-05-0j 4.8231e-06-0j 2.81289e-07-0j 2.84204e-07-0j -0.0410165-0j -0.0507553-0j -0.0296073-0j -0.00525654-0j 2.19103e-05-0j -0.00650463-0j 3.16249e-06-0j -0.00379437-0j 2.73879e-06-0j 2.71127e-05-0j 3.2277e-07-0j 3.91338e-06-0j 1.58157e-05-0j 3.38908e-06-0j 1.47324e-08-0j 2.2828e-06-0j 1.97697e-06-0j 3.99407e-07-0j 1.82304e-08-0j 2.32988e-07-0j 1.06344e-08-0j 0.000130639-0j 0.000152412-0j 9.33328e-05-0j -0.00509495-0j 0.00013336-0j 5.50083e-05-0j -0.0031988-0j -0.0059441-0j 1.08866e-05-0j -0.000461707-0j -0.00364001-0j -0.00520109-0j -0.00373193-0j 2.72164e-06-0j -0.00214534-0j 1.2701e-05-0j 9.62245e-07-0j -0.00228533-0j -0.000538658-0j 2.26803e-07-0j 7.77773e-06-0j -0.000329859-0j -0.00326544-0j 2.40561e-07-0j 1.11134e-05-0j 3.17525e-06-0j -0.000471325-0j -0.00134692-0j 2.00468e-08-0j 1.94443e-06-0j 1.12262e-06-0j 4.58403e-06-0j 2.64604e-07-0j -0.000194412-0j 7.47099e-10-0j 6.87461e-07-0j 1.62036e-07-0j 2.80655e-07-0j 2.77834e-06-0j 1.71865e-07-0j 9.82292e-07-0j 2.33879e-08-0j 1.14601e-06-0j 2.31528e-07-0j 2.45573e-07-0j 1.43221e-08-0j 4.05175e-07-0j 8.71615e-10-0j 9.55006e-08-0j 2.04644e-08-0j 5.33753e-10-0j 1.01294e-07-0j 7.62663e-10-0j 8.44114e-09-0j 3.14583e-10-0j 
0.00823459-0j 0.00118104-0j -7.01628e-05-0j -0.0564488-0j 0.000148742-0j -4.26966e-05-0j -4.31391e-05-0j 0.00033661-0j 0.000842902-0j 0.000340098-0j -0.00818223-0j 0.000851637-0j -0.00826702-0j 1.00747e-05-0j 1.01791e-05-0j -3.09859e-05-0j -3.83431e-05-0j -2.23668e-05-0j 0.000236528-0j 0.000392818-0j 0.000292689-0j 5.63396e-05-0j 0.000170735-0j -0.00466946-0j 0.000486087-0j -0.000832758-0j 6.97166e-05-0j 0.000283551-0j -0.00577816-0j 6.60259e-07-0j 4.0668e-05-0j -0.0033706-0j -0.00103049-0j 8.17029e-07-0j -0.000601117-0j 4.766e-07-0j 0.00725581-0j 0.00846511-0j 0.0051838-0j 0.000182066-0j 0.00740697-0j 0.00305522-0j 0.000292768-0j 0.000212411-0j -2.02859e-06-0j 4.199e-05-0j 0.000130075-0j 0.00018586-0j 0.000341563-0j -0.00230811-0j 7.66632e-05-0j -2.36669e-06-0j 5.21132e-05-0j 0.000209164-0j 4.89883e-05-0j 6.08187e-06-0j -1.44929e-06-0j 2.99991e-05-0j 0.000298867-0j -0.000828952-0j -2.07085e-06-0j -0.0026928-0j 4.28648e-05-0j 0.000123277-0j -6.90816e-05-0j -0.001649-0j 6.07987e-05-0j -8.54183e-07-0j 7.09551e-06-0j 1.76808e-05-0j 4.0207e-08-0j 3.72315e-05-0j 4.3451e-06-0j -0.000967111-0j -0.0023562-0j -0.000592232-0j 5.31989e-05-0j -8.05952e-05-0j -0.000971882-0j 6.20857e-06-0j -0.000846222-0j -4.93543e-05-0j 2.19434e-05-0j 4.69082e-08-0j 2.56091e-06-0j -7.05208e-05-0j 2.87253e-08-0j -0.000349049-0j 4.10447e-08-0j -2.90884e-05-0j 1.69301e-08-0j 
7.13218e-06-0j 0.0141136-0j 5.8469e-06-0j -0.000148742-0j -0.0546613-0j 3.55805e-06-0j 3.59493e-06-0j -8.53385e-05-0j 3.63142e-07-0j -8.62229e-05-0j 0.00101627-0j 3.66906e-07-0j 0.0010268-0j -0.0114496-0j -0.0115683-0j 2.58216e-06-0j 3.19526e-06-0j 1.8639e-06-0j -5.99655e-05-0j 3.40229e-07-0j -7.42035e-05-0j 0.000673269-0j -4.32854e-05-0j -6.1202e-06-0j 4.21012e-07-0j -0.00318073-0j 0.000833128-0j 2.45591e-07-0j -7.57336e-06-0j -0.00151502-0j 0.000485991-0j -4.41779e-06-0j -0.00393595-0j -0.00187474-0j -0.00229597-0j -0.0010936-0j -0.000604651-0j -0.000705426-0j -0.000431983-0j -4.61581e-05-0j -0.000617248-0j -0.000254602-0j 2.53574e-07-0j -5.38511e-05-0j 1.69049e-07-0j 0.000501789-0j -3.2977e-05-0j -4.71197e-05-0j 2.95836e-07-0j -6.08187e-06-0j -1.94359e-05-0j 1.97224e-07-0j 1.4942e-08-0j 1.81162e-07-0j 0.00058542-0j -0.00223503-0j 1.20775e-07-0j 0.000358495-0j 2.58857e-07-0j 5.12136e-05-0j 1.72571e-07-0j -7.09551e-06-0j 0.000512243-0j 1.06773e-07-0j -0.000815987-0j -4.3451e-06-0j 1.74323e-08-0j 7.11819e-08-0j -0.00260753-0j 0.000211289-0j -0.000154463-0j 1.06751e-08-0j -0.00159678-0j 5.97492e-05-0j -6.20857e-06-0j 3.65888e-05-0j 1.52533e-08-0j -0.000951985-0j -2.56091e-06-0j -0.00228159-0j 5.22806e-05-0j -0.000582969-0j 6.29165e-09-0j -0.000180207-0j -0.000941107-0j -0.000832987-0j -0.000110354-0j 2.15646e-05-0j -0.000157681-0j -0.00034359-0j -6.504e-05-0j 
-7.65506e-05-0j 0.00105635-0j 0.00914599-0j 0.000524761-0j 0.000133039-0j -3.8189e-05-0j -3.85848e-05-0j -0.0438784-0j -3.89765e-06-0j -0.0443331-0j 7.60639e-05-0j -3.93804e-06-0j 7.68521e-05-0j 9.01109e-06-0j 9.10448e-06-0j 0.00683608-0j 0.00845922-0j 0.00493454-0j 0.000211557-0j 0.000532203-0j 0.000261789-0j -0.00734408-0j 0.00015271-0j 2.1592e-05-0j 0.000658567-0j 7.74151e-06-0j -0.00908784-0j 0.000384164-0j 2.67187e-05-0j 5.90553e-07-0j -0.00530124-0j 1.55859e-05-0j 9.57963e-06-0j 7.30773e-07-0j 5.58812e-06-0j 4.26284e-07-0j -2.17731e-05-0j -2.5402e-05-0j -1.55555e-05-0j -0.0401673-0j -2.22267e-05-0j -9.16805e-06-0j -2.72164e-06-0j -0.0468619-0j 0.000530684-0j 3.7557e-05-0j -0.0286969-0j -0.0410041-0j -3.17525e-06-0j -0.00312711-0j -0.0169133-0j 0.000619131-0j -1.60374e-07-0j -1.94443e-06-0j 4.38165e-05-0j -0.000792795-0j 0.000379139-0j 2.6832e-05-0j -2.77834e-06-0j 3.83315e-06-0j 0.00054174-0j -0.00364829-0j 3.83394e-05-0j -1.14601e-06-0j 6.42199e-07-0j -0.00223411-0j -1.87103e-07-0j 0.000223456-0j -0.000924927-0j 1.58142e-05-0j 3.59623e-08-0j -1.14577e-07-0j -0.0005664-0j 4.472e-06-0j -0.00319226-0j 2.73853e-06-0j -1.63715e-07-0j 7.49232e-07-0j -0.00131674-0j -0.000809312-0j 3.913e-06-0j 4.58809e-07-0j -6.75291e-08-0j 4.1956e-08-0j -0.000333824-0j 6.55578e-07-0j 2.56927e-08-0j 1.61403e-06-0j 3.67115e-08-0j 2.70412e-07-0j 1.51427e-08-0j 
-5.24106e-05-0j 0.000723236-0j -4.29658e-05-0j 0.000359279-0j 9.10857e-05-0j 0.0102695-0j 0.010376-0j 0.000206131-0j -2.66854e-06-0j 0.000208267-0j 5.20774e-05-0j -2.69619e-06-0j 5.2617e-05-0j 6.16947e-06-0j 6.23341e-06-0j -1.89749e-05-0j -2.34803e-05-0j -1.36968e-05-0j -0.0568906-0j -2.50017e-06-0j -0.0703986-0j 3.45008e-05-0j -0.0410658-0j 1.4783e-05-0j -3.0938e-06-0j 5.30025e-06-0j 4.26926e-05-0j -1.80471e-06-0j 1.82931e-05-0j 4.04324e-07-0j 2.4904e-05-0j 1.06709e-05-0j 6.55872e-06-0j 5.00326e-07-0j 3.82592e-06-0j 2.91857e-07-0j -1.4907e-05-0j -1.73915e-05-0j -1.06501e-05-0j 0.000111493-0j -1.52176e-05-0j -6.27694e-06-0j 0.000731885-0j 0.000130075-0j -1.24225e-06-0j -0.0100996-0j 7.96541e-05-0j 0.000113815-0j 0.000853866-0j 1.46904e-05-0j 4.69464e-05-0j -1.44929e-06-0j -1.09801e-07-0j 0.000522884-0j -0.0117828-0j 3.72437e-06-0j -8.87508e-07-0j -0.00721549-0j 0.000747133-0j 2.62438e-06-0j -1.26813e-06-0j 1.71388e-05-0j -0.01031-0j 0.000308177-0j 4.39683e-07-0j 1.04953e-05-0j -1.28101e-07-0j -5.23078e-07-0j 4.3451e-06-0j -0.00425265-0j 2.46217e-08-0j -7.84454e-08-0j 2.66082e-06-0j 3.06177e-06-0j 1.49965e-05-0j 1.87494e-06-0j -1.12088e-07-0j 5.12964e-07-0j 6.18573e-06-0j 3.80196e-06-0j 2.67905e-06-0j 3.14125e-07-0j -4.6234e-08-0j 2.87253e-08-0j 1.56823e-06-0j 4.48843e-07-0j 1.75906e-08-0j 1.10505e-06-0j 2.51346e-08-0j 1.85138e-07-0j 1.03675e-08-0j 
0.00906742-0j -6.76618e-06-0j -3.84297e-05-0j 0.00131405-0j -5.66124e-07-0j -2.33859e-05-0j -2.36283e-05-0j -3.89765e-06-0j -0.0441877-0j -3.93804e-06-0j 9.42394e-05-0j -0.0446456-0j 9.5216e-05-0j -2.87089e-08-0j -2.90064e-08-0j 0.00418623-0j 0.00518019-0j 0.00302178-0j -2.73879e-06-0j 0.000432547-0j -3.38908e-06-0j -3.2277e-07-0j -1.97697e-06-0j -0.00517496-0j 0.000535249-0j 6.37201e-06-0j -3.99407e-07-0j 0.000312229-0j -0.00640368-0j -1.50362e-09-0j -2.32988e-07-0j -0.00373548-0j 7.88496e-06-0j -1.86063e-09-0j 4.59956e-06-0j -1.08537e-09-0j -1.33333e-05-0j -1.55555e-05-0j -9.52574e-06-0j 0.000520001-0j -1.3611e-05-0j -5.61426e-06-0j 0.000322378-0j 0.000606668-0j -1.1111e-06-0j -2.40561e-07-0j 0.000371507-0j 0.000530834-0j 0.000376108-0j 5.37297e-05-0j 0.000218958-0j -1.29629e-06-0j -0.00551158-0j 0.000230318-0j -2.80655e-07-0j -2.3148e-08-0j -7.93811e-07-0j -1.71865e-07-0j 0.000329094-0j -0.000454541-0j -1.13425e-06-0j 6.26846e-05-0j -2.45573e-07-0j 0.000135744-0j 3.95756e-07-0j 3.83863e-05-0j -0.00643017-0j -4.67855e-07-0j -2.7006e-08-0j -1.01294e-07-0j -7.62505e-11-0j -0.00393766-0j -1.65377e-08-0j -0.000530298-0j 5.4849e-05-0j -0.00032474-0j -0.0056264-0j 4.61716e-07-0j 2.26241e-05-0j -2.36303e-08-0j -0.00046401-0j 2.82742e-07-0j -0.00232077-0j -8.89589e-11-0j -9.74699e-09-0j 4.04001e-07-0j -5.4476e-11-0j -0.000191395-0j -7.7839e-11-0j 1.66642e-07-0j -3.2107e-11-0j 
