-0.00365142-0j -0.000645485-0j -5.37904e-05-0j -0.00317498-0j -0.000529163-0j -0.000324045-0j -6.61453e-05-0j -3.89765e-06-0j -0.00199545-0j -0.00201613-0j -0.000322015-0j -0.000325352-0j -0.000262924-0j -3.79498e-05-0j -0.000265649-0j -3.28655e-05-0j -3.83431e-05-0j -3.87324e-06-0j -3.32061e-05-0j -1.76788e-07-0j -3.91338e-06-0j -1.7862e-07-0j -0.00147801-0j -0.00182894-0j -0.00106688-0j -0.000233694-0j -0.000289181-0j -0.000184751-0j -0.000168689-0j -0.000123167-0j -2.66665e-05-0j -0.000228618-0j -3.07918e-05-0j -0.000152412-0j -3.29981e-05-0j -0.00013336-0j -1.08866e-05-0j -8.89069e-05-0j -2.56599e-06-0j -1.92489e-05-0j -2.72164e-06-0j -3.81029e-05-0j -1.34714e-05-0j -2.26803e-07-0j -2.22267e-05-0j -3.17525e-06-0j -3.36786e-06-0j -7.85833e-06-0j -8.45246e-09-0j -1.85223e-06-0j -1.96458e-06-0j -2.80655e-07-0j -1.63715e-07-0j -1.04594e-08-0j -6.10131e-09-0j 
0.000555545-0j -0.00464546-0j -0.00117773-0j 0.000483057-0j -0.00380831-0j 4.93018e-05-0j -0.00096214-0j -0.000113982-0j 0.000303599-0j 0.000306745-0j -0.00231749-0j -0.00234151-0j 4.00026e-05-0j -0.000552013-0j 4.04172e-05-0j -0.000236528-0j -0.000557733-0j -8.4804e-05-0j -0.000238979-0j -6.46919e-06-0j -8.56828e-05-0j -6.53623e-06-0j 0.000224872-0j 0.000278265-0j 0.000162321-0j -0.00168186-0j -0.00208119-0j 2.8109e-05-0j -0.00121403-0j 1.87393e-05-0j -0.000387887-0j 3.47831e-05-0j -0.000221604-0j 2.31887e-05-0j -0.000479986-0j 2.02901e-05-0j 1.65634e-06-0j 1.35268e-05-0j -5.61819e-05-0j -0.000279992-0j -3.95886e-05-0j -0.000274221-0j 2.04961e-06-0j -6.6326e-06-0j -0.000159962-0j -6.95215e-05-0j -4.89883e-05-0j 1.19561e-06-0j -3.71417e-07-0j -4.05542e-05-0j -2.85765e-05-0j -8.20742e-06-0j -4.78766e-06-0j -4.59605e-07-0j -2.68103e-07-0j 
0.000416659-0j -0.0070867-0j 6.13796e-06-0j 0.000362293-0j 6.03822e-05-0j -0.00715226-0j -0.000726201-0j 4.44757e-07-0j 0.000227699-0j 0.000230059-0j 3.67448e-05-0j 3.71256e-05-0j -0.00288661-0j 4.33041e-06-0j -0.00291652-0j -0.000725403-0j 4.37529e-06-0j -4.25238e-05-0j -0.00073292-0j 2.01731e-08-0j -4.29645e-05-0j 2.03822e-08-0j 0.000168654-0j 0.000208698-0j 0.000121741-0j 2.66665e-05-0j 3.29981e-05-0j -0.00202836-0j 1.92489e-05-0j 1.40545e-05-0j 3.04289e-06-0j -0.00250996-0j -0.000338059-0j 1.73915e-05-0j 3.76538e-06-0j -0.00146415-0j -0.000361051-0j 1.01451e-05-0j 2.92802e-07-0j 2.19647e-06-0j -6.00716e-05-0j -0.000418327-0j -0.000446777-0j -2.49004e-06-0j -0.000244024-0j 3.62324e-07-0j -7.43348e-05-0j -0.00026062-0j 9.645e-10-0j 2.11355e-07-0j -4.3362e-05-0j -3.08127e-06-0j -1.79741e-06-0j 1.19351e-09-0j 6.96213e-10-0j 
-6.01395e-05-0j 0.0010164-0j -0.0121462-0j -5.22925e-05-0j 0.000833238-0j -5.33708e-06-0j -0.00487416-0j -0.00177257-0j -3.28655e-05-0j -3.32061e-05-0j 0.000507056-0j 0.000512311-0j -4.33041e-06-0j -0.00279647-0j -4.37529e-06-0j 5.17512e-05-0j -0.00282545-0j -0.000874602-0j 5.22875e-05-0j -0.000134466-0j -0.000883666-0j -0.00013586-0j -2.43431e-05-0j -3.0123e-05-0j -1.75718e-05-0j 0.000367982-0j 0.000455354-0j -3.04289e-06-0j 0.000265623-0j -2.02859e-06-0j -0.00196502-0j -3.76538e-06-0j 4.84859e-05-0j -2.51025e-06-0j -0.00243159-0j -2.19647e-06-0j -1.79304e-07-0j -1.46431e-06-0j -0.000579416-0j -0.00141843-0j -0.000200554-0j 5.99982e-05-0j -2.21877e-07-0j -0.000103145-0j 3.4999e-05-0j -0.000716991-0j -0.000248173-0j -1.29428e-07-0j -9.66358e-06-0j -0.000418245-0j -0.000144768-0j -0.000127636-0j -7.44542e-05-0j -1.19581e-05-0j -6.97554e-06-0j 
-0.0530042-0j 6.42919e-05-0j 5.35765e-06-0j 0.000316235-0j -0.00768136-0j 3.22756e-05-0j 6.58823e-06-0j 3.88215e-07-0j 0.000198752-0j 0.000200812-0j 3.20735e-05-0j 3.24058e-05-0j -0.00381662-0j -0.000550882-0j -0.00385617-0j 3.27348e-06-0j -0.000556591-0j 3.85784e-07-0j 3.30741e-06-0j 1.76085e-08-0j 3.89782e-07-0j 1.7791e-08-0j 0.000147213-0j 0.000182167-0j 0.000106264-0j 2.32764e-05-0j 2.88031e-05-0j 1.84016e-05-0j 1.68018e-05-0j -0.00358808-0j 2.65605e-06-0j 2.27709e-05-0j -0.000446976-0j -0.00444002-0j 3.28669e-06-0j 1.3283e-05-0j 1.08433e-06-0j -0.00259001-0j -3.7248e-05-0j 1.91724e-06-0j 2.71082e-07-0j -0.000553105-0j 1.34179e-06-0j 2.25901e-08-0j -0.000322644-0j -4.60921e-05-0j 3.35447e-07-0j 7.82709e-07-0j 8.41885e-10-0j -2.6887e-05-0j 1.95677e-07-0j 2.79539e-08-0j 1.63064e-08-0j 1.04178e-09-0j 6.07705e-10-0j 
-6.42919e-05-0j -0.0517254-0j 0.000136296-0j -5.5903e-05-0j 0.000440726-0j 0.00110362-0j -0.0107131-0j 1.31909e-05-0j -3.51347e-05-0j -3.54988e-05-0j 0.000268198-0j 0.000270977-0j 0.000445414-0j 6.38831e-05-0j 0.000450029-0j -0.00529467-0j 6.45451e-05-0j -0.000944259-0j -0.00534954-0j 7.48663e-07-0j -0.000954044-0j 7.56422e-07-0j -2.60238e-05-0j -3.22029e-05-0j -1.8785e-05-0j 0.000194637-0j 0.000240851-0j 0.000312982-0j 0.000140497-0j -2.16865e-06-0j 4.48892e-05-0j 0.000387296-0j -0.00246748-0j -2.68357e-06-0j 5.55476e-05-0j 0.000225923-0j 5.57113e-05-0j -1.56542e-06-0j 6.50179e-06-0j 3.24027e-05-0j -0.000886187-0j -0.00305335-0j 6.89393e-05-0j -7.38514e-05-0j -0.00178112-0j 8.04555e-06-0j -0.0010966-0j 4.02146e-05-0j 4.29831e-08-0j 4.69324e-06-0j -0.000639684-0j -9.13864e-05-0j -5.33087e-05-0j 5.31889e-08-0j 3.10269e-08-0j 
0.000340201-0j 6.01395e-05-0j 5.01163e-06-0j -0.0579454-0j 4.93018e-05-0j 3.01911e-05-0j 6.16273e-06-0j 3.63142e-07-0j 0.000185915-0j 0.000187842-0j -0.00587699-0j -0.00593789-0j 2.44965e-05-0j 3.53577e-06-0j 2.47504e-05-0j 3.06206e-06-0j 3.57241e-06-0j 3.60868e-07-0j 3.0938e-06-0j 1.64713e-08-0j 3.64607e-07-0j 1.6642e-08-0j -0.0410451-0j -0.0507907-0j -0.0296279-0j 2.17731e-05-0j 2.69429e-05-0j -0.00337183-0j 1.57167e-05-0j 1.14754e-05-0j -0.000486681-0j -0.00417242-0j 2.86886e-06-0j 1.42001e-05-0j -0.000602238-0j -0.00243391-0j 1.0143e-06-0j 8.28341e-06-0j 2.39072e-07-0j -0.000351305-0j 2.53574e-07-0j 3.55003e-06-0j 1.25513e-06-0j 2.11311e-08-0j 2.07085e-06-0j 2.95836e-07-0j 3.13782e-07-0j 7.32157e-07-0j 7.87511e-10-0j 1.72571e-07-0j 1.83039e-07-0j 2.61485e-08-0j 1.52533e-08-0j 9.74496e-10-0j 5.68456e-10-0j 
5.35765e-06-0j -0.000136296-0j -0.0500875-0j 4.65859e-06-0j -0.000111734-0j 4.75465e-07-0j 0.00133061-0j -0.0149911-0j 2.92789e-06-0j 2.95824e-06-0j -6.79945e-05-0j -6.86991e-05-0j 3.85784e-07-0j 0.000763415-0j 3.89782e-07-0j -6.93965e-06-0j 0.000771326-0j -0.0036066-0j -7.01157e-06-0j -0.00171787-0j -0.00364398-0j -0.00173567-0j 2.16865e-06-0j 2.68357e-06-0j 1.56542e-06-0j -4.93451e-05-0j -6.10615e-05-0j 2.71082e-07-0j -3.56192e-05-0j 1.80721e-07-0j 0.000536435-0j 3.35447e-07-0j -6.50179e-06-0j 2.23631e-07-0j 0.000663804-0j 1.95677e-07-0j 1.59736e-08-0j 1.30451e-07-0j -0.00238934-0j 0.000387219-0j 5.47497e-05-0j -8.04555e-06-0j 1.97664e-08-0j -0.000872327-0j -4.69324e-06-0j -0.00295666-0j 6.77493e-05-0j 1.15304e-08-0j -0.000165128-0j -0.00172472-0j 3.95204e-05-0j -0.00107945-0j -0.000629679-0j -0.000204335-0j -0.000119195-0j 
0.000235698-0j 4.16659e-05-0j 3.47216e-06-0j 0.000204944-0j 3.41573e-05-0j 2.0917e-05-0j 4.26966e-06-0j 2.51592e-07-0j -0.0636713-0j -0.0643311-0j 2.0786e-05-0j 2.10014e-05-0j 1.69717e-05-0j 2.44965e-06-0j 1.71476e-05-0j 2.12146e-06-0j 2.47504e-06-0j 2.50017e-07-0j 2.14345e-06-0j 1.14116e-08-0j 2.52607e-07-0j 1.15299e-08-0j 9.5405e-05-0j 0.000118058-0j 6.8867e-05-0j -0.00745673-0j -0.00922723-0j 1.19256e-05-0j -0.00538255-0j 7.95042e-06-0j 1.72132e-06-0j 1.47572e-05-0j 1.9876e-06-0j 9.83814e-06-0j 2.13002e-06-0j 8.60837e-06-0j 7.02724e-07-0j 5.73891e-06-0j 1.65634e-07-0j 1.24251e-06-0j 1.75681e-07-0j 2.45953e-06-0j 8.69577e-07-0j 1.46401e-08-0j 1.43473e-06-0j 2.04961e-07-0j 2.17394e-07-0j 5.07253e-07-0j 5.45604e-10-0j 1.19561e-07-0j 1.26813e-07-0j 1.81162e-08-0j 1.05678e-08-0j 6.7515e-10-0j 3.93838e-10-0j 
0.00826348-0j 0.000474125-0j 0.000120202-0j -4.93018e-05-0j -0.0566468-0j -5.03185e-06-0j 9.8198e-05-0j 1.16333e-05-0j -3.09859e-05-0j -3.1307e-05-0j 0.000236528-0j 0.000238979-0j 0.000595021-0j -0.00821093-0j 0.000601187-0j 2.41406e-05-0j -0.00829602-0j 8.65527e-06-0j 2.43907e-05-0j 6.60259e-07-0j 8.74496e-06-0j 6.67101e-07-0j 0.00684084-0j 0.00846511-0j 0.00493798-0j 0.000171654-0j 0.000212411-0j -2.86886e-06-0j 0.000123906-0j 0.00055939-0j 3.95886e-05-0j -3.55003e-06-0j -0.00329626-0j 0.000692209-0j 4.89883e-05-0j -2.07085e-06-0j -1.69049e-07-0j 0.000403789-0j -0.000835679-0j 2.85765e-05-0j 4.04049e-06-0j -0.00407891-0j -2.09188e-07-0j 6.76937e-07-0j -0.00237937-0j -0.0010341-0j 4.99985e-06-0j -1.22026e-07-0j 3.79075e-08-0j -0.000603225-0j 2.91658e-06-0j 8.37667e-07-0j 4.88639e-07-0j 4.69082e-08-0j 2.73631e-08-0j 
-3.47216e-05-0j 0.00118725-0j -5.11497e-07-0j -3.01911e-05-0j -5.03185e-06-0j -0.0570461-0j 0.000121662-0j -3.70631e-08-0j -1.89749e-05-0j -1.91716e-05-0j -3.06206e-06-0j -3.0938e-06-0j 0.000483602-0j -3.60868e-07-0j 0.000488613-0j -0.00578578-0j -3.64607e-07-0j 7.12413e-06-0j -0.00584573-0j -1.68109e-09-0j 7.19796e-06-0j -1.69851e-09-0j 0.00418914-0j 0.0051838-0j 0.00302388-0j -2.22221e-06-0j -2.74984e-06-0j 0.000339816-0j -1.60408e-06-0j -1.17121e-06-0j -2.53574e-07-0j 0.000420501-0j 5.6636e-05-0j -1.44929e-06-0j -3.13782e-07-0j 0.000245292-0j -0.00580971-0j -8.45422e-07-0j -2.44001e-08-0j -1.83039e-07-0j -0.000479128-0j 7.00835e-05-0j -0.00718915-0j 4.17164e-07-0j 4.08821e-05-0j -3.01936e-08-0j -0.000592891-0j -0.00419367-0j -8.0375e-11-0j -1.7613e-08-0j -0.000345853-0j 5.16214e-07-0j 3.01125e-07-0j -9.9459e-11-0j -5.80178e-11-0j 
