0.173695-0.0669169j -0.0394057-0.153851j 0.163926+0.301019j -0.140932+0.0940363j -0.370454+0.0965261j -0.186491-0.0236396j -0.000529845+0.148501j -0.0921789-0.0540187j 0.032342+0.0152411j -0.075224-0.334063j -0.0260646-0.0477956j -0.199633+0.0144928j 0.048463+0.101832j -0.0469326-0.265415j 0.30498-0.136354j 0.091018-0.282206j 0.22689+0.0793049j 0.140376-0.0342357j 0.0110396+0.149562j -0.0524313-0.024486j 0.042139+0.0606177j -0.042996+0.0319807j 0.0454944+0.0348381j 0.00259368-0.0208025j -0.00277306-0.0301994j 0.0469902-0.0186047j -0.0106202+0.0253905j 0.0342924-0.0255289j 0.0236533-0.0109285j -0.0536002-0.00397901j -0.0140135+0.0132561j -0.0249355-0.0145291j 0.0206195-0.00532206j -0.0023024-0.034941j -0.0194284-0.0318069j -0.0334117+0.00555207j -0.0188406+0.0474163j -0.0282447-0.0481302j 0.0621466+0.00152348j -0.0201096+0.0449277j -0.0431897-0.0236817j -0.00244138-0.00391983j 0.00252919-0.00126258j -0.0415948+0.0517014j 0.0119742-0.0232786j 0.0446931+0.0339127j 0.0147758-0.0124447j 0.0395101+0.00918003j -0.000944641-0.0108994j 0.0150959-0.0124032j 0.00124487+0.0124011j 0.0209422+0.0148001j 0.00655099-0.0167922j 0.0062562+0.00606606j 0.00844701+0.0139538j -0.00562435+0.00996333j 0.0155992+0.0191514j -0.0086551-0.0113584j 0.00656933-0.0205703j 0.00100627-0.0221579j -0.00203582+0.0227925j -0.0230469-0.0163898j 0.00590115-0.0156158j 0.0125764-0.0176136j 0.0087789+0.00784803j 0.0080147+0.0047364j -0.0102921-0.000710739j 0.0189436+0.0106089j 0.00824617+0.00403788j -0.0181362-0.00415808j -0.0155775+0.0153415j 0.009422+0.000678544j 0.0134012+0.00411021j -0.0025848+0.0127338j -0.025887-0.00289172j 0.0109765+0.00168415j 0.0150613-0.0132721j -0.00346912-0.00212467j -0.00793917+0.0043361j -0.00031777+0.0185983j 0.000826679+0.00263866j 0.00604374-0.0012888j -0.0040615-0.00447487j 0.0146018-0.0087262j 0.0108459-0.00826434j 0.0102898-0.0180969j -0.0234397-0.018915j -0.00624623-0.0132083j -0.0192278+0.00409292j -0.0049205+0.00907464j -0.0151013-0.0282478j -0.0185131-0.00851869j 0.00472412-0.018246j -0.0127293-0.000959402j 0.0143037+0.0277267j -0.0164265+0.01712j 0.0171347+0.0202933j 
-0.0400965+0.128686j 0.127951+0.0224343j 0.227904-0.147491j 0.0941355+0.251206j 0.00655488-0.0271047j -0.215918-0.162927j -0.0642937+0.264206j 0.219365-0.11548j 0.145624-0.201516j 0.040621-0.0856926j -0.246845+0.136995j -0.215111+0.119007j -0.31017-0.313056j -0.0644575-0.118342j -0.136399-0.0920765j 0.159588+0.22188j -0.201407+0.183302j 0.0212744-0.0870315j 0.0934187+0.0227604j -0.0494348-0.00588297j 0.0398188+0.0059312j -0.0356096+0.0763465j -0.0398213-0.000633266j 0.000817735+0.0110251j -0.00581935+0.0433775j -0.00787141-0.0153964j -0.0513696-0.014926j 0.0118418+0.0153165j -0.0163807-0.0196829j -0.0106884-0.0300052j 0.00237795-0.00624998j 0.00509457-0.022094j -0.0373213-0.0245737j 0.00831566-0.0341678j -0.0347032+0.0307894j 0.0140355-0.00408216j -0.00789509-0.0630007j 0.0622176-0.00704397j -0.00520505+0.0216052j -0.0189-0.0248477j 0.020638-0.0185074j 0.00830535+0.0137906j 0.0178505-0.00642648j 0.0250721+0.0202411j -0.0135533+0.00413046j 0.0226905-0.0274643j -0.00310859+0.000879191j 0.00509157-0.00197761j -0.0133152-0.0249846j -0.0132676-0.019281j -0.000805532+0.0135708j 0.00655062+0.0190491j 0.0281266-0.0185949j -0.0332107+0.0126212j 0.00581132-0.0122351j -0.0259574-0.00490599j -0.00764226-0.000363238j 0.00422177+0.0230158j 0.0220208+0.00418638j 0.00192633-0.00161968j 0.0160551+1.25101e-05j -0.013003+0.0128994j -0.00522905+0.00802006j 0.0024116+0.00718403j 0.0163934+0.0189111j 0.00569331-0.00584945j -0.00296056-0.00892143j -0.00289593-0.00201551j 0.0109266+0.00135653j -0.0115616-0.00735578j 0.00887468-0.0222677j 0.00592151+0.00665628j -0.00856299-0.0203547j -0.00681525+0.00459179j 0.00532386-0.00838292j -0.00593543+0.0123348j 0.00359014+0.01047j 0.00324659+0.00245329j -0.00629555+0.0074697j -0.0118076+0.0138938j 0.00332244+0.00209185j -0.00321378+0.00180368j -0.0181267+0.0112142j -0.0193816-0.0174654j -0.00967084-0.0213568j -0.0169703+0.000145704j -0.0189784+0.0222191j -0.0119202-0.0104208j 0.00211848+0.00404698j 0.0122702-0.00447329j -0.00398725+0.00455069j 0.0097551-0.00212004j 0.00280735+0.0103317j 0.00923735+0.00266006j 0.00290444-0.0158374j -0.000528408-0.00936188j -0.00861122-0.000713633j 
-0.0304664+0.0592409j 0.0270471+0.0256325j -0.0164907+0.0402833j 0.0221927-0.0781671j -0.121108-0.040689j -0.00918687+0.046843j 0.00563424+0.0535812j -0.0206356-0.00236919j -0.00810743+0.0161239j 0.00215805-0.079947j 0.00974755-0.0217424j -0.0214873+0.0343835j 0.0222204+0.00205694j 0.0071187-0.0455716j 0.0399503-0.0413077j -0.0290686-0.0752997j 0.0677513-0.0474841j 0.164062-0.102718j 0.132802+0.113317j 0.0191088-0.171122j -0.0314353-0.204438j 0.00692517-0.0576797j -0.0754693-0.0800454j 0.00166281+0.0307644j -0.0890512-0.00810624j -0.130889+0.0122751j 0.0920583-0.0208287j -0.0214984-0.0060539j -0.0465376-0.0565496j 0.0415101-0.0264317j -0.00844439-0.0658688j 0.02202+0.0274099j -0.0616252+0.0278797j 0.0537955+0.0544208j 0.0835459+0.141174j -0.0868232-0.098388j -0.11091+0.0611246j -0.0436014+0.0159757j -0.186944+0.0514813j -0.014869+0.00931853j 0.0086222-0.0204178j 0.0169113+0.139626j 0.102449+0.0470486j -0.0186868-0.00498775j -0.0223165+0.0332273j -0.0112453-0.0186526j -0.116376+0.0216352j -0.0715204+0.028431j 0.0160692+0.0153557j -0.0359539+0.0308327j 0.0388131-0.0097123j 0.0180094+0.0402384j 0.00322442+0.0117966j -0.0393439+0.0340604j 0.0207062-0.0218606j -0.00634444-0.00808386j -0.0585698-0.0659095j -0.0173135-0.0238209j -0.00890288+0.0736687j 0.0216517+0.0506935j -0.0170003+0.0113365j 0.00804391+0.0675473j -0.0244191+0.00836866j 0.00848006+0.0245164j 0.00700467-0.0548345j 0.0179913+0.0041381j 0.000107998+0.0445731j -0.0549159+0.0209468j -0.0300778+0.0398577j -0.0387856+0.00563178j 0.0293807-0.0271127j -0.0433867-0.0176714j -0.0401373+0.00744462j -0.0180369-0.027847j -0.000611857-0.023085j -0.0158865-0.0118773j -0.0543741+0.0163689j 0.0189863+0.0129739j 0.0306345-0.0265981j 0.0169925-0.0179897j 0.00948468+0.005597j -0.0222536+0.0212509j 0.0106178+0.0178445j -0.0439985+0.00674847j 0.024056-0.0158501j -0.0292532+0.0344263j -0.00466008+0.00996945j 0.0500954-0.0329857j 0.0497666-0.0349471j 0.0332083-0.033968j 0.086293+0.124759j 0.00563229+0.00530288j 0.0163698-0.000593104j 0.0786568+0.002832j -0.0663575-0.150168j 0.0625124-0.0236956j -0.0285921-0.0773978j 
-0.00954228-0.0678466j -0.0619723+0.0306584j 0.0570965-0.0228308j -0.015439+0.0387542j -0.0434861-0.0229042j 0.0386742-0.0208014j -0.019211+0.0372118j 0.024315+0.0303712j 0.00198137-0.0226238j 0.0789186-0.013872j 0.0103238+0.0147241j 0.017359-0.0260893j -0.0387937-0.0239409j -0.0260513+0.0306815j -0.0428684+0.00751238j 0.0355992-0.0150452j 0.011058+0.0476388j -0.0288928+0.0163802j -0.0657026-0.0541703j -0.233326-0.111675j 0.0424874-0.121157j 0.122689+0.0200659j -0.139571+0.121555j 0.0867674-0.073939j -0.0699793-0.0344393j -0.0544992-0.1552j 0.200565+0.0162792j -0.100938-0.0335861j -0.00114723+0.0585723j -0.0357252+0.0993857j -0.110043+0.0885375j -0.184802+0.169791j 0.0930604-0.0123468j 0.0354422-0.107555j -0.0967599-0.232178j 0.0889755-0.168647j -0.0389841-0.0268621j 0.0345154+0.0509453j -0.0779218+0.0492205j 0.0417623+0.0187321j -0.0301947+0.0428438j 0.00777822-0.114801j -0.0564105+0.0198043j 0.00885251+0.055135j 0.0142106+0.0599941j 0.00186762+0.0268779j -0.0936028+0.0621995j 0.0215359-0.048764j -0.00630063-0.0432981j 0.0884581+0.0299642j -0.0514162-0.0375437j 0.00379985+0.000675815j -0.0285-0.0139735j -0.0126336+0.0119328j -0.0207716-0.0481114j 0.0217905-0.00532901j 0.0621725-0.00551028j 0.0150764-0.0803872j -0.00612281+0.05328j -0.00521013+0.0601291j -0.0294842-0.0347304j -0.0458023+0.0157152j 0.0157537-0.0212963j 0.0268022-0.00135929j -0.01826-0.0407382j -0.0630505-0.00654718j 0.00432093-0.0104464j -0.0337094+0.0175617j -0.0394051-0.00224731j -0.0114749-0.034995j -0.0318156-3.29338e-05j -0.0116032+0.00153027j -0.0179771-0.00261396j 0.0225109-0.0470179j -0.0153527-0.000384277j -0.039912-0.0264242j -0.0738125-0.0470864j -0.0224607+0.00556419j 0.0471786+0.0475959j 0.0032445+0.0128458j 0.00859108+0.0787108j 0.00387599-0.0371115j -0.0283785-0.0250968j 0.0558156-0.00465829j 0.00470961+0.0456425j -0.000330527+0.0415114j 0.0351975-0.0171976j -0.0353427-0.023431j -0.0242331+0.0278523j -0.0963383+0.0181348j 0.127777-0.0608246j 0.0254456-0.000762436j 0.000659285+0.00665343j 0.00194558+0.00983543j -0.0620516+0.0490363j 0.0220358+0.0548485j 0.0489766-0.0165702j 
0.0563867+0.023413j 0.0234416-0.0689078j -0.00287233-0.0458019j 0.0815611+0.0167439j -0.00407688+0.0236327j -0.0129118-0.0110956j -0.0347832+0.0529743j -0.0417826+0.053943j 0.0687012+0.0949413j 0.00342185-0.0203617j -0.00167621+0.0587063j 0.0287407-0.0268188j 0.0229957+0.00442698j -0.0133959+0.0265719j -0.00986995-0.0279685j -0.0455411+0.0424947j -0.0450079-0.0479488j 0.105065+0.0933569j -0.0827802+0.131679j -0.0460039+0.0684665j -0.0613173-0.12658j 0.137996+0.0395321j -0.0682958+0.210971j 0.210739+0.212781j 0.0320667-0.00722917j -0.0788007-0.109884j -0.0542741+0.1259j 0.101868+0.258318j -0.130372+0.262011j -0.226184+0.0242617j 0.454161-0.0965136j -0.107383+0.00882365j 0.0939867+0.239246j 0.00272774-0.135436j -0.0360974-0.0277748j -0.0536604+0.0377593j 0.119893+0.100438j -0.0802859+0.133947j -0.0680864-0.00784659j -0.14695+0.0109589j -0.00924475-0.15919j -0.00543617-0.0185463j -0.0357276+0.0338791j -0.00844408-0.0191706j -0.0176124-0.00260821j -0.00340703+0.0227281j -0.023578+0.0429574j -0.0430365-0.0767762j -0.0355235+0.0344796j 0.0243252-0.0239155j -0.0819211-0.0230207j 0.0207715+0.0291058j -0.00698745-0.0541137j 0.0486434-0.0542419j 0.0263016-0.046601j 0.00384659-0.0193638j -0.00574831-0.0557593j 0.0353589+0.00101201j 0.0292585-0.00440863j 0.00709211-0.00498393j 0.0215806+0.0275855j -0.030616-0.00970736j 0.0122793-0.0143744j -0.0040054+0.0298408j -0.0313711-0.0121643j -0.00817552+0.00383269j 0.0307411+0.0213796j -0.00251616-0.0330657j 0.00387405-0.00740348j 0.00365293-0.00405399j -0.0130046-0.0100277j 0.00658634-0.0153287j 0.00866685-0.0119754j -0.00246887+0.0278253j 0.0005227-0.0155183j -0.0128319-0.0122472j -0.00128655+0.00139699j -0.0107053-0.0340376j 0.0183142+0.0210834j 0.00743846-0.017018j 0.0266093-0.0500884j 0.0447231+0.0168377j -0.0117819+0.0242998j 0.0217761-0.0131565j -0.0151298+0.0189514j -0.0230173-0.0177904j -0.00845293-0.0133722j 0.0282429-0.00937449j 0.0328848-0.0208927j 0.035333+0.0387427j -0.0119429-0.0150559j 0.00100434+0.0053617j -0.006253+0.00114966j 0.0190775-0.0147583j -0.00758608-0.0232671j -0.0011141-0.00280047j -0.00277922-0.000526641j 
0.029209+0.0170873j 0.0239828-0.0279785j -0.0127704+0.00317357j 0.000184344+0.0260121j 0.058653+0.0491152j -0.0398526-0.0132801j -0.00850345-0.0176207j -0.00496438-0.0322616j 0.0111783+0.0265338j -0.0688862+0.0139132j -0.0185896-0.00497149j -0.0169739+0.00282305j 0.0108842+0.000900361j 0.0147734-0.010383j 0.0341127+0.0130212j -0.00135643+0.0218487j -0.0161744-0.00452939j -0.0548334+0.0318811j -0.0407087+0.0412869j 0.0793318+0.190113j -0.0381518+0.213405j -0.0368274+0.00311046j 0.0872794+0.00815075j -0.0737496+0.0521952j 0.0324342-0.0163526j 0.140859+0.170071j -0.23044+0.0541101j 0.116623+0.103479j -0.00198335+0.0529455j -0.0495308-0.0465876j 0.0985541-0.00272017j 0.116926-0.143783j 0.00365462+0.0126326j -0.046471+0.0428761j 0.0228866+0.122553j -0.0236504+0.201778j 0.0985551-0.032654j 0.00862979-0.0207945j 0.163535-0.0752536j -0.00568077+0.0193157j 0.0062506-0.0389008j 0.031517-0.0227129j -0.102276+0.0100947j -0.0374123-0.0399461j -0.050559-0.0888583j 0.0628087+0.0159845j 0.0564496-0.117073j 0.0121674-0.0366643j 0.0916961+0.00941726j -0.176211-0.116715j 0.0311917-0.0413554j -0.0227872-0.0210857j -0.0241812-0.0298329j 0.00364769+0.0475591j 0.0222485+0.022367j -0.0144439-0.0102063j 0.0669691+0.0481068j -0.0134449-0.0670407j 0.00392381+0.0676236j -0.0487863+0.00977661j -0.000359686-0.0590457j -0.0155872+0.0239915j -0.0332007+0.0113113j 0.0843883-0.0246372j 0.00391005+0.000493764j -0.0131142+0.00602221j -0.0124954-0.0339493j -0.0908291+0.0547801j -0.0641991+0.0126822j -0.0446627-0.00475063j -0.00602692+0.00965527j 0.00219302+0.00710109j -0.017582-0.0139381j -0.0128212-0.0141386j -0.0181948+0.0176723j -0.0121632-0.0279378j -0.092972-0.00528713j -0.0211529+0.0189694j -0.0196917+0.016692j -0.0359639+0.0177183j 0.028846+0.0307253j -0.00829037-0.0275411j 0.0638041-0.00973497j 0.00898572+0.0177288j -0.00454387+0.00568407j -0.0121421+0.0358621j 0.00779203-0.0116573j -0.0474043-0.014683j 0.00982516+0.0184661j -0.0149249+0.0306974j 0.112266-0.05591j -0.0188899+0.0132434j -0.0109888-0.0361464j 0.0353892+0.0309326j -0.0513364-0.0141967j 0.0195963+0.0284294j 0.0260648-0.0149646j 
-0.0487405+0.0511661j 0.0429228+0.0369261j -0.0366932-0.0173065j 0.0712436-0.0498261j -0.021689-0.0446858j -0.0213909+0.0388587j -0.010442+0.00547352j 0.0051127-0.00139633j -0.00641533+0.00616742j -0.0131219-0.0266513j 0.00206564-0.00752592j -0.0106016+0.0447751j 0.0285394-0.0360179j 0.011635+0.00385017j -0.0142824-0.0250236j -0.0218733-0.00785554j -0.000154757-0.0344671j 0.117779+0.0268808j 0.112467+0.108638j 0.155372-0.011797j 0.0116758-0.168354j -0.0626637-0.0199935j -0.00766261-0.127663j -0.0301627+0.0693273j -0.0600398+0.0453782j -0.174318+0.0598084j -0.0245709-0.0624733j 0.0419185+0.0431445j -0.0587885-0.0914911j 0.0494849-0.0541965j 0.0631543-0.136838j 0.114673-0.0240732j -0.0953888+0.0649919j 0.0468863+0.0458475j 0.149652+0.263802j -0.099108-0.0302413j -0.0683971+0.119234j -0.0469466+0.0449062j -0.199676+0.0280417j -0.0333521-0.0137793j -0.0328032-0.0669059j 0.117145+0.114893j 0.216981-0.049475j -0.0516434+0.0381971j -0.102467+0.128199j 0.000271549-0.0722697j 0.0809622+0.0823304j -0.0803104+0.13926j -0.0201111-0.0334373j 0.00555146+0.0695159j 0.0178601-0.0265833j -0.0141337+0.0164116j 0.0124958-0.0212043j 0.000566282-0.0917724j -0.0129626-0.0374813j 0.0132302+0.0443413j 0.0142067+0.0645674j 0.0477815+0.0336822j -0.0225949-0.0390879j -0.0130463+0.0618757j 0.023831-0.0112149j -0.0312092-0.061188j -0.008036-0.0291887j 0.036972-0.0431463j -0.0113177-0.016238j -0.0209351-0.027084j 0.0153157-0.038294j -0.0388571+0.0113135j -0.0157352-0.00606672j -0.00311374+0.00228531j -0.0100684-0.0138449j 0.00961215+0.00631194j 0.0178055-0.00973822j 0.00888872-0.00782944j -0.000455595+0.0165545j 0.00216979+0.0142672j 0.00222462+0.0149107j -0.028795+0.011621j 0.0143238+0.0555702j -0.0235399+0.0303496j 0.014752+0.0191013j 0.049602-0.0291703j -0.00661024-0.00717067j 0.0179426-0.0258474j -0.019611+0.056454j -0.032293+0.0265588j 0.0383138-0.0443241j -0.00743109+0.0488941j 0.000596522+0.0571902j -0.0741853+0.0158212j -0.0046034-0.0837165j 0.00635101-0.0300803j 0.0224976-2.34642e-06j -0.0143591+0.0310481j 0.0201573+0.0902141j -0.0136099+0.0172259j 0.0229483+0.0173487j 
0.0163969+0.00250629j 0.00586506-0.0204841j -0.00752065+0.00680303j -0.0203436+0.0138403j 0.0264386-0.00471628j 0.00476008-0.00425315j 0.0293331-0.0052268j -0.00265913+0.000370339j 0.002103-0.00157029j 0.00270654+0.00848901j 0.00969545+0.0126057j 0.00423347+0.00359777j -0.00826616+0.0126313j 0.00420594+0.00104254j -0.00468777-0.0303883j -0.00963525+0.00798569j 0.00240209-0.0159781j 0.0197101-0.0263153j 0.0220444-0.0283357j 0.0763806-0.0219119j 0.0432491+0.0264607j -0.0290755+0.0226904j -0.00116728-0.00076943j -0.00837626-0.0627123j -0.0245903-0.0112366j -0.020807+0.0224494j -0.0368073-9.99535e-05j 0.0140491+0.0672689j 0.0792557+0.00518269j -0.0136607-0.0264032j -0.0774886+0.0470855j 0.0168185+0.0492164j 0.0321527+0.0101634j 0.0139102-0.0099478j 0.00630264-0.030238j 0.0280225-0.0547436j -0.00173655-0.0323805j -0.017185+0.00448754j -0.0272306-0.0239849j -0.0124274-0.0760028j 0.0305131-0.000382057j -0.0967084-0.0366806j -0.0223987+0.0613914j 0.0710307-0.0096435j 0.0806124+0.00492377j -0.0632831-0.0694166j 0.0119101+0.0789711j -0.0488163+0.0189727j -0.14154+0.0989718j -0.0183491+0.0623226j 0.089779+0.0444633j -7.12655e-05+0.0532149j 0.123197-0.0306192j -0.00517931-0.080711j 0.122642+0.139873j 0.00259687-0.000884959j 0.0422351+0.166866j 0.0627743+0.035247j -0.0675754+0.144536j 0.0425132+0.103521j 0.0727711+0.00557699j -0.0580772+0.134283j 0.0325704+0.0103277j 0.00447025-0.10411j -0.106279-0.0852799j 0.0535304-0.0690779j 0.149713+0.0140864j -0.114222+0.0848371j -0.0355571+0.0256126j -0.00422464-0.0520482j -0.0668947-0.0946557j -0.0767231+0.00439628j 0.0444927+0.0691396j -0.0759534-0.057465j -0.0495925+0.0418397j -0.0199648-0.0824769j 0.0140584-0.109905j -0.125352-0.113265j -0.00401327+0.200799j -0.0701074-0.0770178j 0.0972389-0.0794591j -0.0274302-0.106103j -0.0377588+0.0635436j -0.0130351-0.0269575j -0.103469-0.167965j 0.133223+0.0172851j -0.0950983-0.133405j 0.0903315+0.0889075j -0.0444446-0.086759j 0.0987535+0.0255633j -0.0798609-0.0831835j -0.0154582-0.0797985j 0.0575471-0.017247j 0.0985137-0.121003j -0.135591-0.0738514j -0.0257608+0.0395012j 0.0257038+0.0224913j 
-0.0186477+0.0287546j 0.00663677+0.011735j 0.00867255-0.0300497j 0.0207019-0.047984j 0.00396044-0.00683557j -0.00823647+0.0281599j -0.0385744-0.00199497j 0.0203432+0.0244002j -0.0181567-0.0172062j 0.0121865-0.00135108j 0.0157128+0.036934j 0.0311343+0.0229145j 0.0116379-0.0315885j -0.0358712+0.0213896j 0.0374679+0.00332404j -0.0290509+0.0175251j -0.0101829-0.0229161j 0.037229-0.0468157j 0.0329667-0.000791015j 0.0304962-0.0749034j 0.0114681-0.0104645j -0.00801369+0.000417774j -0.0268824-0.0154341j 0.0117446-0.00823432j -0.0200509-0.0197221j -0.000718853-0.00948073j -0.00425041+0.00415584j -0.00541231+0.0180197j 0.031868+0.0148228j 0.0251387-0.0124477j -0.011779+0.0070303j -0.00930935+0.0210131j 0.000387241+0.0116734j 0.00501268+0.0379446j -0.000392321+0.0148763j 0.0037984-0.0688389j -0.0369595-0.00690938j 0.012442-0.0278966j -0.0610659+0.0251762j -0.0514092+0.0137305j 0.0495557-0.0294091j -0.0942358-0.00403303j -0.00406063+0.0343166j -0.0903546-0.000644204j 0.122641-0.0525989j 0.0625228+0.0416624j -0.0185946+0.0202248j -0.00524831-0.0237214j -0.0309662-0.0158301j -0.0477644-0.0848735j 0.0264099-0.0034036j -0.0561524-0.0514603j 0.0482982+0.0209188j 0.0248679+0.130457j -0.185088-0.087319j 0.0481263+0.162888j 0.0402058+0.0709546j 0.119092-0.16277j 0.0218675+0.0537872j -0.0184819+0.0683708j 0.0904619+0.0478732j 0.0893342-0.302273j -0.0445872+0.024247j 0.221257-0.135244j -0.0528686+0.081256j -0.154117+0.0229003j -0.0825674-0.0073039j 0.0741412-0.0400077j 0.0724558-0.0402467j -0.0423969-0.13134j -0.178216-0.0777374j 0.0348836+0.0585908j 0.192204+0.0831306j -0.0420102+0.0212113j 0.0230624+0.0384995j 0.0889281-0.002175j 0.0912277+0.0032853j -0.0290012-0.0798638j 0.0208633-0.0115423j -0.0523425-0.00857949j 0.0546802-0.0992261j 0.0811991+0.0257502j 0.0696303-0.00156165j 0.0787189-0.00509343j 0.096676-0.035278j 0.16555+0.0912988j -0.156113+0.0464674j -0.221151-0.0787249j 0.102994+0.048002j 0.019523+0.00621264j -0.116419-0.00286439j -0.0668189+0.130228j -0.139075-0.0643846j 0.0386405-0.0352644j 0.0288892-0.0298894j -0.0351662+0.00395208j 0.0210328+0.0311256j 
-0.00431854+0.0253477j 0.0172225-0.00889089j 0.0224551+0.010437j 0.0258041-0.0163907j -0.0214071-0.00838477j -0.00817207+0.0114273j -0.0171018+0.00534843j -0.0113697-0.0388096j 0.0258347-0.00782057j -0.0297362+0.0206727j -0.0105386-0.0255426j -0.0390286-0.0196553j -0.00762562+0.0167161j -0.0141972+0.00281202j -0.013375+0.0205355j -0.0244974+0.00305797j -0.0189628-0.0136543j 0.00910541-0.016334j 0.0149519-0.00904739j 0.0458511-0.0281425j 0.0107511+0.0300616j -0.0144552+0.004267j 0.021521-0.0205278j 0.00529204-0.018043j -0.00726793-0.0112118j 0.00270819+0.00519699j -0.0415983+0.00131092j 0.0161419+0.0237856j 0.0541365+0.018246j 0.00868063-0.0356078j 0.007427+0.0132239j 0.0146729+0.0228074j 2.30478e-05-0.00504146j 0.00567157+0.0122489j 0.0214816+0.0112549j -0.0124812+0.0126139j -0.0133168+0.00534524j 0.00732776-0.0295445j 0.00712526-0.00463357j -0.0335822+0.0292314j 0.00900004+0.0197636j -0.0735376-0.0109985j 0.0145954+0.0425749j -0.0230726-0.0243181j 0.0752927-0.014214j 0.0720904+0.108323j -0.00825696+0.0518203j 0.0459482+0.0206626j 0.00220096-0.139854j 0.0615287-0.0876761j 0.054864-0.0052881j -0.0460595-0.138672j -0.00737643-0.0956225j 0.0731147+0.0218595j -0.0900942-0.0396132j 0.214365-0.00934319j 0.0499999-0.0461118j 0.0309426+0.0970119j 0.0713518-0.0447012j 0.00432122-0.00742399j -0.106019-0.27891j -0.0395362-0.0223579j 0.0264819-0.135682j -0.157172-0.0349277j 0.179079-0.188893j -0.0465439-0.060878j 0.153113+0.0843757j -0.116029+0.0252275j 0.102809+0.0755925j 0.0852924+0.146299j -0.107157+0.0573894j -0.183617-0.0715617j -0.00679723-0.153828j 0.0114013-0.0850499j -0.0692146-0.17749j 0.148967-0.100443j -0.112573+0.0055706j -0.00736639-0.0141585j 0.0466175+0.0973941j -0.00654416-0.142083j 0.040965+0.119086j -0.0479608+0.137985j 0.087186-0.00614992j 0.0740604+0.105439j -0.0667264+0.0870992j -0.00816173+0.19785j -0.0927876-0.0588071j 0.0350327-0.19331j -0.00534566+0.0338563j 0.0550839+0.0130545j -0.0520266-0.0956511j 0.122123+0.0429666j -0.0457384+0.112884j 0.014514-0.0224594j -0.0107086+0.034285j 0.00793493+0.0290471j 0.0327225+0.00342225j 
0.0266304-0.0355557j -0.0307224-0.0105694j 0.0114691-0.0340088j -0.0295287+0.0324682j -0.0294765-0.00648058j 0.0192647-0.0170817j -0.0154878+0.0131572j 0.0032924-0.00887278j 0.0139516-0.010564j 0.00741585+0.022499j 0.00115487-0.0076052j -0.0373069+0.0216374j 0.0215267+0.0230568j 0.0261036+0.0269801j 0.000530255-0.00418198j -0.00344533+0.0130226j 0.00284722+0.00818061j 0.00599125+0.016776j -0.00696908+0.0124762j -0.0392154+0.0497294j -0.000664722-0.0145863j 0.00356892+0.000512705j -0.0267518+0.036933j -0.0258036+0.0172938j 0.0189486+0.00607879j 0.00121568+0.0217172j 0.0317199-0.00710097j 0.00865768-0.00846017j -0.0538705-0.00958848j 0.0141057+0.0308691j -0.0200924+0.000456367j -0.00916757-0.0126815j -0.0250207-0.0235158j -0.0298839-0.0144254j -0.00530673+0.0207678j -0.00206274+0.0104021j 0.0279344-0.0338012j 0.0310688+0.0294558j -0.00794551+0.0186541j 0.0678492-0.101778j 0.0764573-0.00566899j 0.0491417+0.0149597j -0.00269672-0.0191801j -0.118387-0.0640493j -0.0391701+0.025192j -0.0241076-0.0341287j 0.0452816-0.0536676j -0.0813744+0.0562936j -0.204567+0.0419698j -0.249783+0.0880432j -0.0967057+0.0465272j 0.137402-0.0106751j 0.00355258-0.1174j -0.0394487-0.0143451j -0.0653445+0.0188579j 0.139343+0.0857095j -0.00704902-0.0828923j 0.0655703-0.0699069j -0.0297422+0.0460126j -0.0193564-0.199177j 0.00986724-0.0675361j 0.151972+0.0639264j -0.044757-0.102446j -0.0930186-0.0769316j 0.170001+0.0380746j -0.156599-0.0757237j -0.168183+0.0817904j -0.0195265-0.0400131j -0.0778353+0.053087j 0.0932241+0.0773273j -0.135056+0.00271539j -0.229449+0.0723352j -0.00801416-0.0736617j 0.111737-0.00197917j -0.0514515+0.0528763j -0.0411353+0.199315j 0.0106403-0.00735769j 0.120549+0.0731019j -0.00711794+0.133615j -0.152581-0.108416j 0.10668+0.0129719j 0.276419+0.0129541j -0.110318+0.0317844j -0.014344-0.0103372j 0.169585+0.0284485j 0.119806-0.088395j 0.0208664-0.116644j 0.0684771+0.0292461j -0.05279-0.0394337j -0.0504609-0.0229829j 0.0427272+0.11266j -0.0313406+0.0269738j -0.0252318-0.0281303j -0.0484261-0.0236035j -0.0304935+0.00228541j 0.0117766-0.00168402j -0.0050618-0.0198789j 
