-0.0582412-0j -0.00590699-0j -0.0059682-0j -0.00338904-0j -0.000489166-0j -0.00419372-0j -0.000605312-0j -0.00244634-0j -0.000353099-0j -0.0023814-0j -0.000420977-0j -0.0027783-0j -3.50814e-05-0j -0.00170136-0j -0.000491139-0j -0.00243102-0j -0.00030076-0j -4.09283e-05-0j -0.00100274-0j -2.50634e-05-0j -0.000429747-0j -3.58123e-05-0j -0.000177262-0j -1.47718e-05-0j -0.00183307-0j -0.000305512-0j -0.00207068-0j -0.000187087-0j -3.8189e-05-0j -0.0016907-0j -2.25031e-06-0j -0.00170822-0j -0.000345113-0j -0.000211338-0j -0.00147936-0j -0.000281783-0j -4.31391e-05-0j -0.00122041-0j -0.000172556-0j -0.000284704-0j -2.542e-06-0j -0.000389928-0j -3.52229e-05-0j -0.000246561-0j -0.000174345-0j -0.000150987-0j -3.55879e-05-0j -2.07553e-06-0j -0.000203402-0j -3.08201e-05-0j -0.000124558-0j -6.49879e-05-0j -2.09704e-06-0j -3.97968e-05-0j -2.54253e-05-0j -1.81609e-06-0j -1.4982e-06-0j -8.12349e-06-0j -4.78681e-07-0j 
0.00920875-0j -0.0441795-0j -0.0446373-0j 0.000535854-0j -0.00739447-0j 0.000663086-0j -0.00915019-0j 0.0003868-0j -0.00533761-0j 0.000376533-0j -0.00314856-0j 0.000439289-0j -0.000798235-0j 0.000269008-0j -0.00367332-0j 0.000384377-0j -0.00224944-0j -0.000931274-0j 0.000158548-0j -0.000570286-0j -0.00321416-0j -0.000814865-0j -0.00132577-0j -0.000336115-0j 0.000289834-0j -0.00228498-0j 0.000327403-0j 2.95811e-05-0j -0.000577284-0j 0.000267323-0j -6.83894e-05-0j 0.000270094-0j -0.00258116-0j 3.34154e-05-0j 0.000233908-0j -0.00210751-0j -0.000652112-0j 0.000192964-0j 2.72836e-05-0j -0.00212935-0j -7.7254e-05-0j 6.1653e-05-0j -0.000532447-0j -0.00184407-0j 2.75663e-05-0j 2.38731e-05-0j -0.000537965-0j -6.30777e-05-0j -0.00152128-0j -0.000465891-0j 1.96943e-05-0j -0.000486057-0j -6.37313e-05-0j 6.29243e-06-0j -0.000384341-0j -5.5193e-05-0j -4.55319e-05-0j -0.000122799-0j -1.45477e-05-0j 
0.00728015-0j 0.000738374-0j 0.000746025-0j -0.0407591-0j 6.11457e-05-0j -0.0504369-0j 7.5664e-05-0j -0.0294215-0j 4.41373e-05-0j 0.000297675-0j -0.00506298-0j 0.000347288-0j 4.38517e-06-0j 0.00021267-0j -0.00590681-0j 0.000303877-0j -0.00361717-0j 5.11604e-06-0j 0.000125343-0j 3.13292e-06-0j -0.00516846-0j 4.47653e-06-0j -0.00213188-0j 1.84648e-06-0j -0.0448843-0j 3.8189e-05-0j -0.0507022-0j -0.00452349-0j -0.00045929-0j -0.0413982-0j 2.81289e-07-0j -0.0418272-0j 4.31391e-05-0j -0.00510982-0j -0.0362234-0j 3.52229e-05-0j -0.000518823-0j -0.0298828-0j -0.00417215-0j 3.55879e-05-0j 3.17749e-07-0j -0.0095477-0j -0.000423617-0j 3.08201e-05-0j -0.00421539-0j -0.00365064-0j -0.000428007-0j 2.59441e-07-0j 2.54253e-05-0j -0.000370665-0j -0.00301162-0j 8.12349e-06-0j 2.6213e-07-0j -0.000962227-0j -0.000305783-0j 2.27011e-07-0j 1.87275e-07-0j -9.76992e-05-0j 5.98352e-08-0j 
0.00485344-0j 0.000492249-0j 0.00049735-0j 0.00028242-0j 4.07638e-05-0j 0.000349477-0j 5.04427e-05-0j 0.000203862-0j 2.94249e-05-0j -0.0580428-0j 3.50814e-05-0j -0.0677166-0j 2.92345e-06-0j -0.0414678-0j 4.09283e-05-0j -0.059252-0j 2.50634e-05-0j 3.41069e-06-0j -0.0244402-0j 2.08861e-06-0j 3.58123e-05-0j 2.98435e-06-0j 1.47718e-05-0j 1.23098e-06-0j 0.000152756-0j -0.00744636-0j 0.000172556-0j 1.55906e-05-0j 3.18242e-06-0j 0.000140892-0j 1.87526e-07-0j 0.000142352-0j -0.00841155-0j 1.76115e-05-0j 0.00012328-0j -0.00686801-0j 3.59493e-06-0j 0.000101701-0j 1.43797e-05-0j -0.00693918-0j 2.11833e-07-0j 3.2494e-05-0j 2.93524e-06-0j -0.0060095-0j 1.45287e-05-0j 1.25822e-05-0j 2.96566e-06-0j 1.72961e-07-0j -0.00495759-0j 2.56834e-06-0j 1.03798e-05-0j -0.00158397-0j 1.74753e-07-0j 3.3164e-06-0j 2.11877e-06-0j 1.51341e-07-0j 1.2485e-07-0j 6.76958e-07-0j 3.98901e-08-0j 
-0.0010508-0j 0.0101891-0j 0.0102947-0j -6.11457e-05-0j -0.0394864-0j -7.5664e-05-0j -0.0488619-0j -4.41373e-05-0j -0.0285028-0j -4.29658e-05-0j 0.000726154-0j -5.01267e-05-0j -0.00867768-0j -3.06962e-05-0j 0.000847179-0j -4.38609e-05-0j 0.000518789-0j -0.010124-0j -1.80917e-05-0j -0.00619963-0j 0.000741282-0j -0.00885846-0j 0.000305763-0j -0.00365393-0j 0.00647849-0j 0.000526986-0j 0.00731824-0j -3.37547e-06-0j -0.00308269-0j 0.00597532-0j -0.00112107-0j 0.00603724-0j 0.000595294-0j -3.81299e-06-0j 0.0052284-0j 0.000486055-0j -0.00348227-0j 0.00431321-0j -3.1133e-06-0j 0.000491092-0j -0.00126638-0j 0.00137809-0j -0.00284326-0j 0.000425299-0j -3.14556e-06-0j -2.72413e-06-0j -0.00287273-0j -0.001034-0j 0.000350853-0j -0.00248785-0j -2.2473e-06-0j 0.000112099-0j -0.00104471-0j -7.18022e-07-0j -0.00205237-0j -0.000904748-0j -0.000746379-0j -0.000655744-0j -0.000238472-0j 
-0.00121336-0j 0.00582116-0j 0.00588148-0j 0.00679319-0j 0.000974307-0j 0.00840614-0j 0.00120564-0j 0.00490358-0j 0.000703292-0j 0.00723054-0j -0.0399153-0j 0.00843563-0j 0.000105177-0j 0.00516575-0j -0.0465679-0j 0.00738118-0j -0.0285169-0j 0.000122706-0j 0.00304458-0j 7.51418e-05-0j -0.0407469-0j 0.000107368-0j -0.0168072-0j 4.4287e-05-0j -3.8189e-05-0j -0.0438784-0j -4.31391e-05-0j 0.000753915-0j -0.00731841-0j -3.52229e-05-0j 9.01109e-06-0j -3.55879e-05-0j -0.0495659-0j 0.000851637-0j -3.08201e-05-0j -0.0404704-0j -0.00826702-0j -2.54253e-05-0j 0.000695359-0j -0.0408898-0j 1.01791e-05-0j -8.12349e-06-0j -0.00674999-0j -0.0354116-0j 0.000702565-0j 0.000608439-0j -0.00681994-0j 8.31121e-06-0j -0.0292131-0j -0.00590625-0j 0.000501937-0j -0.00933372-0j 8.39734e-06-0j 0.000160371-0j -0.0048724-0j 7.27231e-06-0j 5.99935e-06-0j -0.00155676-0j 1.91682e-06-0j 
-0.000428987-0j -4.35091e-05-0j -4.396e-05-0j 0.00725519-0j -3.60305e-06-0j 0.00897784-0j -4.45854e-06-0j 0.00523707-0j -2.60082e-06-0j -1.75407e-05-0j 0.000901219-0j -2.04641e-05-0j -2.58399e-07-0j -1.25317e-05-0j 0.00105142-0j -1.79061e-05-0j 0.000643862-0j -3.01465e-07-0j -7.3859e-06-0j -1.84609e-07-0j 0.000919994-0j -2.63782e-07-0j 0.000379478-0j -1.08805e-07-0j -1.35019e-05-0j -2.25031e-06-0j -1.5252e-05-0j -0.0773364-0j 8.17543e-05-0j -1.24532e-05-0j -1.65751e-08-0j -1.25822e-05-0j -2.542e-06-0j -0.0873608-0j -1.08965e-05-0j -2.07553e-06-0j 9.23513e-05-0j -8.98919e-06-0j -0.0713298-0j -2.09704e-06-0j -1.87236e-08-0j -2.87209e-06-0j 7.54045e-05-0j -1.81609e-06-0j -0.072069-0j -0.0624135-0j 7.6186e-05-0j -1.52877e-08-0j -1.4982e-06-0j 6.5979e-05-0j -0.0514885-0j -4.78681e-07-0j -1.54462e-08-0j -0.0164508-0j 5.44299e-05-0j -1.33768e-08-0j -1.10353e-08-0j 1.73906e-05-0j -3.52582e-09-0j 
0.000101113-0j -0.0014758-0j -0.00149109-0j 5.88375e-06-0j 0.0116432-0j 7.28077e-06-0j 0.0144077-0j 4.24712e-06-0j 0.00840448-0j -0.000602545-0j -0.000105177-0j -0.000702969-0j -0.0386514-0j -0.000430479-0j -0.000122706-0j -0.000615098-0j -7.51418e-05-0j -0.0450933-0j -0.000253715-0j -0.0276139-0j -0.000107368-0j -0.0394566-0j -4.4287e-05-0j -0.016275-0j 3.18242e-06-0j 0.0111242-0j 3.59493e-06-0j 3.24804e-07-0j 0.000908978-0j 2.93524e-06-0j -0.0102409-0j 2.96566e-06-0j 0.0125661-0j 3.66906e-07-0j 2.56834e-06-0j 0.0102602-0j 0.0010268-0j 2.11877e-06-0j 2.99577e-07-0j 0.0103665-0j -0.0115683-0j 6.76958e-07-0j 0.000838379-0j 0.00897767-0j 3.02682e-07-0j 2.6213e-07-0j 0.000847067-0j -0.00944546-0j 0.0074062-0j 0.000733582-0j 2.16246e-07-0j 0.00236632-0j -0.00954335-0j 6.90917e-08-0j 0.000605174-0j -0.00826478-0j -0.0068181-0j 0.000193356-0j -0.00217841-0j 
0.000107247-0j -0.00103992-0j -0.0010507-0j -0.00120712-0j 0.00403006-0j -0.00149373-0j 0.00498695-0j -0.000871344-0j 0.00290905-0j 4.38517e-06-0j 0.0143355-0j 5.11604e-06-0j 0.000885662-0j 3.13292e-06-0j 0.0167247-0j 4.47653e-06-0j 0.0102418-0j 0.00103327-0j 1.84648e-06-0j 0.000632747-0j 0.0146341-0j 0.000904113-0j 0.00603627-0j 0.000372928-0j 3.37547e-06-0j -5.37853e-05-0j 3.81299e-06-0j 0.00637795-0j -0.0608574-0j 3.1133e-06-0j 0.000114419-0j 3.14556e-06-0j -6.07569e-05-0j 0.00720466-0j 2.72413e-06-0j -4.96078e-05-0j -0.0687458-0j 2.2473e-06-0j 0.00588258-0j -5.01219e-05-0j 0.00012925-0j 7.18022e-07-0j -0.0561307-0j -4.34069e-05-0j 0.00594354-0j 0.00514726-0j -0.0567124-0j 0.000105532-0j -3.58088e-05-0j -0.0491144-0j 0.00424627-0j -1.14411e-05-0j 0.000106626-0j 0.0013567-0j -0.0405173-0j 9.23405e-05-0j 7.6177e-05-0j -0.0129455-0j 2.43389e-05-0j 
-8.93723e-06-0j 0.000174227-0j 0.000176032-0j 5.00366e-05-0j -0.00207267-0j 6.19171e-05-0j -0.0025648-0j 3.61183e-05-0j -0.00149613-0j -3.65431e-07-0j -0.00119466-0j -4.26336e-07-0j 0.0141113-0j -2.61077e-07-0j -0.00139377-0j -3.73044e-07-0j -0.000853508-0j 0.0164631-0j -1.53873e-07-0j 0.0100816-0j -0.00121955-0j 0.0144052-0j -0.000503039-0j 0.00594186-0j -2.81289e-07-0j 9.01109e-06-0j -3.17749e-07-0j 5.55311e-06-0j 0.0155686-0j -2.59441e-07-0j -0.0414353-0j -2.6213e-07-0j 1.01791e-05-0j 6.2729e-06-0j -2.27011e-07-0j 8.31121e-06-0j 0.0175866-0j -1.87275e-07-0j 5.1218e-06-0j 8.39734e-06-0j -0.0468061-0j -5.98352e-08-0j 0.0143594-0j 7.27231e-06-0j 5.17488e-06-0j 4.48158e-06-0j 0.0145082-0j -0.0382171-0j 5.99935e-06-0j 0.0125645-0j 3.69711e-06-0j 1.91682e-06-0j -0.0386131-0j 1.18125e-06-0j 0.0103652-0j -0.0334399-0j -0.0275865-0j 0.00331173-0j -0.00881403-0j 
3.33071e-07-0j -9.75647e-06-0j -9.85757e-06-0j 1.93813e-08-0j 0.000194186-0j 2.39831e-08-0j 0.000240293-0j 1.39902e-08-0j 0.000140171-0j 1.36188e-08-0j -6.9532e-07-0j 1.58886e-08-0j -0.0026712-0j 9.72975e-09-0j -8.11206e-07-0j 1.39025e-08-0j -4.9676e-07-0j -0.0031164-0j 5.73451e-09-0j -0.0019084-0j -7.09805e-07-0j -0.00272685-0j -2.9278e-07-0j -0.00112477-0j 1.0483e-08-0j -5.04609e-07-0j 1.18418e-08-0j 1.06992e-09-0j 1.51601e-05-0j 9.66881e-09-0j 0.0245284-0j 9.76901e-09-0j -5.70017e-07-0j 1.2086e-09-0j 8.46021e-09-0j -4.65417e-07-0j 1.71251e-05-0j 6.97932e-09-0j 9.86819e-10-0j -4.7024e-07-0j 0.0277078-0j 2.22993e-09-0j 1.39826e-05-0j -4.0724e-07-0j 9.97045e-10-0j 8.63466e-10-0j 1.41275e-05-0j 0.0226233-0j -3.35955e-07-0j 1.22348e-05-0j 7.12323e-10-0j -1.07339e-07-0j 0.0228578-0j 2.27591e-10-0j 1.00932e-05-0j 0.0197954-0j 0.0163304-0j 3.22482e-06-0j 0.00521764-0j 
