-0.0140899+0.0124164j -0.0493465-0.0736632j -0.0265253+0.0234062j -0.027319+0.0395702j 0.0145696+0.0217818j 3.95575e-05-0.0265996j -0.0042703-0.0279903j 0.0608809-0.0113j -0.004265+0.0476493j -0.0223707+0.00252017j 0.0127673-0.00230566j 0.0163519+0.0100299j -0.00979211-0.0248676j 0.0196065-0.00618792j 0.0193327-0.0123485j -0.0126973-0.0237449j 0.0019312+0.00323069j -0.0261911+0.022831j -0.00197833-0.0134822j -0.011953-0.0133242j 0.0174777-0.0140157j 0.0418067-0.0148696j -0.0341257+0.0530918j -0.0166598+0.0338558j -0.00944049-0.0511086j -0.0151387-0.0519975j -0.0840231-0.0222572j 0.0110473+0.00952518j 0.0082337+0.0374761j 0.0248557+0.0729024j -0.0136436+0.0111962j -0.0146442-0.0109823j -0.0158702+0.032225j -0.0121785-0.000745421j -0.00118352+0.0230871j -0.000504936+0.0199243j -0.0167939+0.015105j 0.0167621+0.043509j -0.0254431-0.00326332j -0.0226887-0.0260526j -0.024182+0.041088j -0.0190676-0.111481j 0.0729584-0.0284813j 0.010068+0.00671101j 0.0794578+0.0394823j -0.0400525-0.0107661j 0.0441602-0.0314015j 0.0584814+0.0289836j 0.0623347-0.0207923j -0.00590112-0.027629j 0.0809744-0.00166235j 0.10434+0.0864128j 
-0.0569397-0.0610238j 0.00474913-0.0100062j -0.00965514+0.0480773j 0.0287643-0.022944j 0.0122412-0.0370225j -0.00995554-0.0354608j -0.0268376+0.0478482j -0.0233997-0.00770805j 0.0310058-0.0119271j -0.0128515+0.00768604j 0.0121089-0.0196261j -0.0130887+0.0108979j -0.0306331-0.0147078j 0.0145262-0.00347733j 0.0114989-0.00611693j -0.0314463-0.00434695j 0.00745322+0.0106993j 0.000244423+0.0297788j 0.0184354+0.0203271j 0.000551532-0.00148005j 0.00265101-0.00471998j -0.011587-0.034848j 0.0471751+0.0198314j 0.065072+0.024803j 0.0186307+0.0179708j -0.0393712+0.0281682j -0.0149133+0.0921024j 0.00303261-0.0185947j 0.0118779-0.00399065j 0.0728801-0.0474379j -0.0170226+0.0313112j 0.0184323+0.00999888j 0.0527011+0.0034948j -0.00623867+0.0228924j 0.0320514-0.0166579j -0.0364474+0.0105311j 0.0212401+0.0318429j 0.0428183+0.0154338j 0.00454206-0.0388665j -0.0305811+0.0551232j 0.0398248+0.0260991j -0.0729546-0.01699j -0.0298566-0.0721924j 0.0177091+0.022575j 0.0109357-0.0581243j -0.0424057+0.0162283j -0.019173-0.0166397j 0.0270053-0.0935419j 0.0251948-0.0220908j -0.00235792-0.0468035j -0.106408-0.0882932j 0.0621512-0.00795233j 
-0.0539568+0.00773982j -0.00308321+0.0650506j 0.0549567-0.0267209j 0.0950534+0.0135265j -0.0267482+0.0240655j 0.00114423+0.00737958j 0.0210948+0.0205438j -0.00687588-0.0175766j -0.00473124+0.0318936j 0.0169228+0.040681j 0.028193-0.0500531j -0.006914+0.0843419j 0.0770561-0.0136894j 0.0247828-0.0627185j -0.0240231+0.0121004j 0.0583989-0.0323356j 0.0149262-0.00338365j -0.0132861-0.0204666j -0.00094263+0.0234112j 0.00968254+0.0316128j 0.0181905-0.120141j -0.0459835-0.0528496j 0.0373285+0.0129307j 0.0431145-0.0665739j -0.00423386+0.00748321j 0.00259751+0.0138932j -0.0368245-0.0281183j 0.0381156-0.0510469j 0.115171-0.0507083j -0.0216498+0.000341422j 0.00455046-0.0364792j 0.00932176+0.0226569j -0.0136962+0.0324344j -0.000540256+0.00160384j -0.0553719+0.041065j -0.0341903+0.042774j 0.0481764+0.0311403j -0.00652593+0.0748105j 0.0340231+0.00460837j 0.0259014-0.0222751j 0.106845-0.0463553j 0.111849+0.0200975j 0.00806633+0.0338133j -0.0563326-0.067633j -0.00528122-0.0634874j 0.0833312+0.00992841j -0.0344135+0.053706j -0.000391278+0.128279j 0.00929134-0.103407j -0.104753+0.191514j 0.0907581+0.189644j 0.166369-0.139554j 
-0.0316667+0.0253295j 0.0464679-0.0137664j 0.0403803-0.0216201j -0.0480009-0.0229916j -0.010095+0.10092j -0.0260222+0.00814905j -0.00471527-0.0454559j 0.0312504-0.0318874j 0.00467018-0.00608893j -0.00637+0.0250512j 0.00516533-0.0319873j 0.0289724+0.0485294j 0.00361098+0.012477j 0.000280168-0.0180965j 0.0145984+0.0476417j -0.00555404-0.0790362j -0.027807+0.0160731j -0.0238405+0.0388967j -0.0476824-0.0542519j 0.0579024-0.0315233j -0.00147063-0.0511728j -0.0660694+0.118348j 0.0112373-0.0368027j 0.00115793-0.0321123j -0.0403168-0.0321088j -0.0151442+0.0410905j -0.0247292+0.0388147j 0.0239996+0.0130257j 0.0571248-0.0733117j -0.0760808-0.00674551j 0.0636945-0.0332736j 0.0121932+0.00118884j -0.0024888+0.00348518j 0.01413+0.032363j -0.0344922+0.0408283j 0.0562944+0.00083321j 0.0426122-0.0329322j 0.0762711+0.0420402j 0.00568743+0.0161933j 0.00501672-0.125796j -0.0387909-0.0801004j 0.00661366-0.0759469j 0.0958466+0.0904128j -0.045678-0.0585978j -0.0432746+0.0131097j 0.0902913-0.0709542j -0.0501403+0.0376083j 0.0681765-0.0601729j 0.0956421-0.17059j 0.0182442-0.0654043j -0.174042+0.154052j 0.120931+0.191263j 
-0.0470954-0.00865327j -0.0338759-0.0973963j -0.0535736-0.0515381j -0.0680213-0.0343629j 0.0487056-0.0257424j -0.0374701-0.0580618j 0.00764768+0.108626j -0.0167197+0.0560518j -0.0029019-0.0183728j 0.0536289+0.0257795j 0.0178979+0.0617254j -0.0299421-0.0744667j -0.0634522-0.0955931j -0.0100572+0.0778633j 0.0134517-0.0999065j 0.0297405+0.115492j 0.00223095-0.0198486j -0.0181911-0.0674668j -0.0181668-0.152173j -0.0110021-0.0342507j -0.0576465+0.181951j 0.0306625-0.00735173j -3.54593e-05-0.0457779j -0.00654153+0.0591071j -0.0580614-0.116466j -0.0152521-0.0243788j -0.0366126+0.0940179j -0.0193476+0.0753033j -0.159654+0.117018j 0.0523955-0.0866592j 0.0145159+0.0932568j 0.0750473-0.00921274j -0.0452488-0.123887j 0.0590452+0.0490366j 0.168706-0.100741j -0.0232405-0.0241783j -0.0443855+0.0358183j 0.0326456+0.0528509j -0.0390883+0.0898246j 0.0637497+0.0975648j -0.0733249-0.0162511j -0.136088-0.0485417j -0.0821832+0.0335884j 0.011978+0.0416154j 0.0601578+0.0631099j -0.147645+0.114356j 0.146184-0.0443114j 0.0285426+0.0554724j 0.0358373+0.145088j 0.0522969+0.0697776j 0.00954634+0.104529j 0.10867+0.00489563j 
-0.0198712-0.0065907j 0.0112964-0.016967j -0.0251005-0.0134159j -0.0625934+0.00925123j -0.0515677-0.107499j -0.0168648-0.064374j 0.0559126+0.0306545j -0.0416725+0.0300732j 0.0122758+0.0348865j 0.0439091+0.00666257j -0.0309118+0.0812136j -0.0182361-0.132638j -0.000287151-0.0280288j 0.083885+0.0456809j 0.0135458-0.0591349j -0.076397+0.0763526j -0.0343522-0.0151358j -0.0357643+0.0682547j 0.0973997+0.0391968j -0.0241301-0.0470416j -0.0789505+0.00912306j -0.0861839-0.0542712j 0.02331+0.0442462j -0.140505-0.0954946j 0.0732727-0.103733j 0.0325281-0.0177319j 0.0207852-0.0381081j 0.0541114+0.088522j -0.0535296+0.0322134j -0.0121632+0.00885194j 0.052566+0.0106001j -0.0490341+0.00609499j 0.0276512+0.02065j -0.0310087+0.00255412j 0.112609-0.0201056j 0.0305956-0.069652j 0.00424043-0.0702991j 0.0256255+0.118909j -0.0132663-0.0464781j 0.0650589-0.0837209j -0.170564+0.0154828j -0.0400226+0.0193823j -0.0549649-0.0316223j -0.0152323+0.0233861j 0.0372373-0.0148336j 0.105422-0.0695685j 0.0126297-0.0284503j -0.145238-0.130816j 0.0578068-0.0787982j -0.0719825-0.0696547j -0.0131118-0.0832604j -0.128696-0.0522329j 
-0.00789521-0.0444268j -0.0219029-0.0279645j 0.0126016+0.0398451j -0.0536841+0.051728j 0.0381002-0.0527256j -0.00962317-0.0157441j -0.0740663-0.0431375j -0.0165306-0.00581215j -0.0390383-0.0672018j 0.0271474-0.022507j 0.0614461-0.00575321j 0.0141826-0.0127552j -0.0898317-0.0354991j -0.00808705+0.0116097j 0.0275149-0.00949465j 0.0391583-0.0487667j -0.00353654+0.044399j -0.0295749-0.0622649j -0.0231207+0.0568249j 0.02851-0.00398823j -0.0122054+0.0297224j 0.0467288-0.00476304j 0.0296143+0.00827297j 0.0362302+0.00779026j 0.122019+0.107199j 0.052893-0.0578078j 0.0133814+0.00116299j -0.0343521+0.0124563j -0.0464376+0.00353366j 0.0451937+0.0119595j 0.0149402-0.0132117j -0.0908251-0.024913j -0.0125216+0.040457j -0.0323727-0.0458737j 0.0267557+0.027803j -0.00580911+0.0180879j 0.0101807-0.0866981j -0.0524472-0.035246j 0.0856898+0.0136227j 0.0838333+0.000317243j -0.00715779-0.0178736j -0.128223-0.0306772j -0.0697351-0.0922256j -0.0934031+0.00818185j 0.067926+0.12544j 0.0849904+0.0283005j 0.000414302+0.0484725j 0.103692+0.0104694j -0.178481+0.159514j 0.0771476+0.095634j -0.164006-0.0691031j 0.0482607+0.129064j 
-0.0172752-0.0279512j -0.0733612-0.0599749j -0.0898744+0.00105321j -0.0211484-0.0717493j 0.00828927+0.0597598j -0.0252816-0.0210581j -0.00834379-0.031006j 0.0861401+0.0259726j -0.0530918-0.043424j -0.0808597-0.0493216j -0.013604-0.00285701j 0.0126639+0.000173456j -0.0325977-0.0170416j -0.00864172+0.0120755j 0.0233311+0.0184966j -0.055531-0.00881658j 0.0200803-0.00187251j -0.0108178-0.0114734j -0.0662545-0.0669607j 0.0225002-0.0538322j 0.0653454-0.0420488j 0.0466506+0.0281709j -0.0519909-0.00212296j 0.0567546+0.0421006j -0.0132418-0.106791j -0.00843872+0.0388053j 0.0255234-0.0259458j 0.132723-0.113305j 0.0396796-0.00211361j -0.00397894+0.148416j -0.000823104+0.0607912j 0.0306349-0.0202899j -0.0238519+0.03624j -0.00173572+0.00986243j 0.00831218-0.00721545j -0.0507611+0.0245962j 0.000958218+0.00834419j 0.0412312-0.0570099j -0.000655878+0.0475196j -0.0524694-0.0500965j -0.00159438+0.0398471j -0.0957691-0.0975032j 0.111015+0.0146343j 0.0475314+0.00521428j 0.000489034-0.00108191j -0.00544569-0.0992511j -0.0637542+0.00428134j 0.0234094+0.0374433j 0.0477791-0.0555337j 0.0275374-0.0895743j 0.00458883-0.0807027j -0.0123404+0.101426j 
0.060571+0.0130777j 0.0607219+0.0691172j -0.0142525-0.0245343j -0.0576787+0.0963155j -0.023381-0.0269546j -0.00539595+0.0510451j -0.0472849+0.0518045j 0.0343995+0.000553672j -0.0395514-0.115655j 0.0256449-0.0923858j -0.0736508-0.0528872j 0.0704539+0.0728105j 0.015651-0.00761363j 0.0425064-0.00852787j 0.00375116-0.034544j -0.0239647+0.0495997j -0.0626212+0.079931j -0.0130672-0.0281483j 0.00954599-0.124713j -0.0104133+0.0788171j 0.00479979-0.0983715j -0.0159219+0.0549298j -0.0441314-0.0433245j -0.113103-0.0498312j 0.017509-0.0411021j 0.132369+0.125921j -0.014187-0.150109j 0.0550334+0.0952085j 0.044065+0.0470974j -0.0446652-0.0352086j 0.0546607-0.0337396j 0.0342218+0.0335567j -0.061634-0.0591084j -0.016902-0.0798822j 0.00252839+0.00169101j 0.0754368+0.0865283j -0.0218554+0.0501006j 0.0289389+0.0737335j -0.0472146+0.191042j -0.0230623-0.0480384j -0.0616647-0.00373546j -0.00989583+0.0559341j -0.018112+0.00993605j -0.00750534-0.0518869j -0.029538-0.0248563j 0.181661-0.0604682j -0.0364757+0.0465406j -0.00261634+0.137081j -0.065813+0.119749j 0.0309398+0.194151j -0.0552043+0.13752j -0.00582625+0.0409016j 
0.0568971+0.0806618j -0.0132734-0.0685577j 0.0103918+0.0700796j -0.0166834+0.073199j -0.000532978+0.0499235j -0.0408388+0.0657826j 0.00394743-0.101041j 0.0526-0.0652533j 0.0644174-0.00623769j 0.00351371-0.0243268j -0.0260021-0.0326001j 0.0531796+0.0217901j 0.024188+0.0601597j 0.00539529-0.0213457j 0.0275782+0.032882j -0.0588168-0.0950894j -0.0606491+0.00662448j 0.0141318+0.0799169j 0.0699075+0.0257716j -0.044916+0.119547j -0.00977731+0.0409137j 0.114371-0.00489574j -0.00414698+0.0462931j -0.166928+0.0862585j 0.0443088+0.0129784j 0.0246848+0.0043285j -0.115156-0.0602228j -0.103083+0.102587j 0.0575268+0.0689331j 0.0747436-0.0224842j -0.0679313-0.038637j 0.0156682-0.0131446j 0.0207395-0.016529j -0.0299476+0.0231715j -0.134381+0.0630348j 0.0697682+0.0415602j -0.0359049+0.0131315j -0.0492541-0.00454968j -0.149459-0.111753j -0.0483366-0.0216752j -0.0349348+0.0681881j 0.0335802-0.0789654j 0.0152103-0.165025j 0.0748142+0.0606558j 0.0539251+0.132202j -0.120747-0.0476635j 0.12754-0.161291j 0.0756988-0.10045j 0.0341859+0.162966j 0.123503-0.0796579j 0.0879734-0.0312724j -0.0370445+0.120765j 
0.016614-0.0863734j -0.0136387-0.00402115j 0.0265095+0.0997143j -0.0394706+0.0271303j -0.0779389+0.0116287j 0.0473726-0.00913689j -0.0354363+0.0143532j -0.0592102+0.0023894j 0.0661556+0.0308429j 0.0111268-0.00520892j 0.0251007+0.035219j -0.0330098-0.0183048j 0.0504554-0.0727007j 0.0288001+0.0952655j -0.0463574+0.0531444j -0.0463402+0.0930082j 0.0315999+0.0560752j -0.0902541+0.104221j -0.0196693+0.197983j -0.0200744-0.103445j 0.0648325+0.0774889j -0.0128519+0.0190066j -0.0200977+0.0680695j -0.00302816+0.00996533j 0.143606-0.0106813j 0.0266054-0.113637j -0.0326944+0.0405527j 0.130981-0.0915546j -0.0427922+0.0676421j 0.037953+0.0629338j -0.0151755+0.084204j 0.00654139+0.0946648j 0.0844642+0.02479j 0.0936893-0.0914896j 0.117162+0.0164851j 0.017398+0.127285j 0.0954816+0.0486998j 0.0324439+0.124785j -0.0245882+0.0754736j -0.0129566-0.0190406j 0.0129625+0.0180652j 0.083981+0.0257908j 0.00270935-0.0100492j 0.013471+0.0498601j 0.106757-0.114474j -0.0110568-0.0662421j -0.0117489+0.00426083j -0.035411+0.116283j -0.0511677+0.0474644j 0.0379667+0.0610117j 0.0184449-0.0578908j 0.0402102-0.0322541j 
