0.00520903+0.0112386j 0.0970549+0.131552j -0.0537303+0.116186j -0.0308107-0.00421039j 0.0345558+0.0332466j -0.0178806+0.0545557j -0.00673715+6.06455e-05j 0.0151687-4.72099e-05j 0.0412177+0.00307162j 0.0193245+0.0304079j 0.0774443+0.0133003j -0.0151329+0.0165883j 0.0359874+0.00359684j 0.0113795-0.00453883j -0.00378471+0.0426472j 0.0199158+0.00905592j -0.0258852+0.0180462j -0.0142046+0.0367494j -0.00630815+0.0143483j 0.0851101-0.0116052j 0.0180236-0.00910845j 0.0126564+0.0553007j -0.00351841-0.00364903j 0.0281997-0.00957569j 0.00744433+0.0286711j -0.0367303-0.0455674j 0.0207709+0.0349521j -0.0637142+0.00214361j 0.0927934+0.0139581j -0.00949728+0.00620286j 0.030018-0.0179986j -0.0116437+0.0128494j -0.00922292+0.0180045j 0.0270595+0.0152403j -0.0314544+0.00853241j -0.0190037-0.00636139j -0.00375387+0.0217803j -0.0135244-0.00116895j 0.0105101+0.0331268j 0.00119903-0.0130874j -0.0594496+0.0227085j -0.0201139-0.00188687j 0.00307882-0.00795991j -0.00696225-0.00863181j -0.00241142+0.00725973j 0.0357325-0.0232268j -0.00082701+0.0287047j 0.0206584-0.00992224j -0.0124275+0.0374231j -0.00607465-0.0146822j 0.0396871+0.00135929j 0.0230277-0.0103782j 0.0424072+0.0514191j 0.00345092-0.00627156j 0.0082136+0.0396268j -0.00333081+0.00384573j 0.000502658+0.0143535j 0.0296338+0.0247733j 0.0304116+0.0924459j -0.0481461+0.10502j 0.073806-5.54413e-05j 0.0326389-0.0590697j -0.0149231+0.0508152j -0.0523861-0.0085324j -0.116149-0.0562882j -0.057732-0.0470656j -0.0623906+0.0125989j 0.0383761-0.0584756j 0.0378051+0.0604131j -0.0524606-0.102306j 0.0194154+0.00610193j -0.0188057+0.0134585j 0.0227991-0.0282629j 0.0201851-0.0103512j 0.0124424+0.0513007j -0.0362617+0.00983974j 0.00423349+0.0362359j 0.0109448+0.023505j -0.0377782-0.0206937j 0.00372662-0.0181863j -0.111948+0.0138307j 0.038909+0.25874j 0.102521-0.0392438j -0.141247+0.0733546j -0.208736-0.108191j 0.0878027-0.10433j 0.082069+0.048096j 0.0162108+0.0052703j 0.07251+0.00470324j 0.124469-0.0289054j 0.0606071-0.105195j 0.126264+0.169401j 
0.108769+0.129489j 0.00682414-0.0261003j -0.0136511+0.00549541j 0.0547763-0.126144j 0.0116691-0.0120153j 0.0252378-0.0283477j -0.0456155+0.0495502j -0.0845042+0.0490531j 0.0187098+0.000958013j 0.0502165-0.014233j -0.0228408-0.0335622j -0.0174458+0.00118158j -0.0234526+0.0617038j -0.00611822-0.0105607j -0.0204763-0.0107111j -0.00115011-0.00828805j -0.00813125+0.0266313j 0.0312356-0.0330348j -0.00329728-0.0101576j -0.0112117-0.050574j -0.00241185+0.0316254j 0.0259224-0.0656128j 4.6418e-05+0.0321263j 0.0204973-0.0053083j 0.0345985-0.0131794j -0.0076934+0.0377065j 0.0143101-0.0164331j -0.0107126-0.0181758j 0.0221727+0.0158218j 0.0359472-0.0129588j 0.0318033+0.0054111j 0.0336696+0.0183229j -0.0028707-0.00954521j 0.000171474-0.0150765j 0.0101385-0.00666995j -0.0282917+0.00985083j -0.005035+0.0128263j -0.00200561+0.0101137j 0.0201672+0.0280159j 0.022005+0.00445451j -0.0313473+0.0167098j -0.01082-0.00524898j -0.0335305-0.0214567j 0.0192607+0.003384j -0.00355356-0.017687j -0.0447371-0.0419328j 0.0208981-0.00647045j -0.0177145-0.0553447j 0.0266633+0.043757j 0.00254136+0.013989j -0.00137247-0.0440935j 0.0278165+0.0142857j -0.00565323-0.0102545j -0.0205514-0.0150435j 0.0039529-0.0521073j 0.00127521+0.000413591j -0.000297962+0.00401914j -0.0202504-0.0572708j 0.0838471-0.03279j 0.0772258+0.0263926j -0.100695-0.0954929j 0.0693147-0.00112944j 0.0596216+0.0228495j -0.012374+0.0805074j -0.0460922+0.139122j 0.0123507+0.000182161j -0.00882265+0.0621563j -0.0683838-0.0173137j 0.010008-0.00109854j -0.0557782+0.0739249j -0.0469582-0.0471598j 0.0770355+0.024691j 0.014175-0.0172993j -0.0297477-0.0148182j 0.0198793-0.0342976j -0.114624+0.0710942j 0.00125172-0.00991361j 0.0371206+0.0703526j 0.0167813-0.104284j -0.097228+0.118078j 0.0786512+0.125906j 0.220253+0.0355814j -0.00275223+0.00578245j 0.0398019+0.178289j -0.0327887+0.134784j -0.0816458-0.00686335j 0.141314+0.030957j -0.0336321+0.00940027j -0.0570795+0.0127329j 0.0495482-0.103627j -0.131902-0.168954j 0.0369643-0.0939591j 
-0.102757+0.00962494j 0.0326287+0.0136818j -0.00913302-0.0669558j -0.0235282-0.00527894j -0.00810304-0.0534365j 0.00197915+0.0203462j -0.0317653+0.0704422j 0.0232867+0.0392066j -0.0393971+0.0631622j 0.0238551+0.0332654j -0.0597439+0.0388581j -0.000260512-0.00866589j -0.0394313-0.0180658j 0.0116332-0.000577624j 0.0333798-0.0538848j -0.0100071+0.0306704j -0.0201215+0.039143j 0.0113316+0.00100419j -0.0353834+0.027938j -0.0139088+0.00704618j -0.00060773+0.0439639j 0.0833931-0.111717j -0.0476791+0.0604191j 0.0271029-0.00511286j 0.16966-0.107763j -0.0157945+0.0150989j 0.0186027-0.0571417j -0.0171503+0.0545761j -0.0455028-0.00660267j 0.0258403+0.0583153j -0.00799451+0.0221074j 0.00864263+0.03889j 0.0169019-0.036698j -0.0581779-0.0233501j -0.027446+0.0544037j -0.0054442+0.0431137j 0.0330456+0.0431716j 0.00413757+0.0401944j -0.01441-0.0120704j 0.0148175+0.0032016j -0.00270225+0.0492201j -0.0269862+0.00852623j -0.0332836+0.00255994j 0.0388154+0.0115589j 0.0198965-0.0988934j 0.0230728-0.0931777j -0.116669-0.0610434j -0.0293405+0.0828555j 0.0386114+0.0395475j 0.0677751+0.0406073j 0.0540923+0.0282391j 0.0164039+0.0535176j 0.0240078-0.00712743j -0.106156+0.0723747j 0.078322-0.14409j 0.125388-0.232792j 0.0228595-0.0343888j -0.0596662-0.132672j -0.0812729+0.0128231j -0.069626+0.0525246j -0.0320779-0.0299415j 0.032399-0.0146269j -0.0674588+0.0115726j 0.0587032+0.0555677j 0.00331097+0.00591467j 0.0568521-0.0511144j -0.0178188+0.0152348j 0.0349752-0.0115375j -0.0946623+0.0952694j 0.0440815-0.0898354j 0.0104669-0.029334j -0.010221-0.0371512j -0.0266132+0.020011j 0.0635796+0.0602777j 0.0728142-0.111598j -0.0166258+0.0185077j -0.101821-0.111941j -0.0332642-0.036293j -0.0705827-0.0440274j 0.0631836-0.0257935j -0.0499917+0.174243j 0.034652-0.0150743j 0.0327824+0.0893778j 0.136677+0.110519j -0.00887028-0.0641214j 0.114977-0.0297032j 0.160132-0.0929252j 0.0308645-0.0103372j -0.138991+0.274932j 0.0295842-0.0483711j 0.188946-0.182504j -0.202237-0.146913j 
-0.0498058+0.0157267j -0.0646641+0.0322321j -0.0212314-0.00561982j -0.0551995-0.0697685j 0.103122-0.0595803j 0.0712761+0.0051959j -0.0138203-0.0905459j -0.01277+0.0695291j 0.00317407+0.0388466j -0.0292942-0.00193124j 0.00408976+0.0811873j 0.0434227+0.0622197j 0.0536646-0.00451953j -0.0053771+0.108728j 0.0248699-0.044854j 0.0796752+0.0754389j -0.0491119-0.0720988j 0.0171271+0.0342856j 0.0367111-0.103961j 0.0260562+0.0361491j 0.0101392+0.0442123j -0.0155891+0.1183j -0.00617755-0.0610004j -0.074387+0.0629524j -0.111827+0.113286j -0.00356994-0.0321249j 0.00197595+0.0377538j -0.0585092-0.0298124j 0.0828651-0.130089j 0.0677775+0.0492797j 0.0230405-0.00206282j 0.00723998-0.0294933j -0.0540533-0.0157414j 0.0259295+0.0239661j -0.0413452-0.010798j 0.00913561-0.00991384j -0.0105136+0.0083932j 0.0136071-0.0508485j 0.0419776+0.0765175j -0.0107421-0.0306205j -0.043872+0.00688367j 0.00674288+0.0141341j 0.0635391-0.00466894j -0.0515553+0.0343693j -0.015604+0.109957j 0.0326698+0.0785472j 0.0151461+0.0206848j 0.0345776-0.00199526j -0.0322697-0.000118956j -0.0898498-0.0261793j -0.0413619-0.0281364j 0.0118489+0.00695526j 0.00785169+0.0657426j 0.0197551-0.0348365j -0.00534981+0.0671064j 0.0102095+0.0519797j -0.0632843+0.099472j 0.0532623-0.100344j 0.0536606+0.0199773j -0.0295817-0.0183012j -0.0700273+0.0274863j -0.114625+0.105264j 0.00623129+0.185742j 0.0566664+0.0679692j 0.119431-0.0384501j 0.0481541-0.0139049j 0.0786434-0.0497347j 0.00865581+0.0219041j -0.0149927-0.0200259j 0.0107727+0.0315838j 0.00423673-0.00209267j 0.0302762-0.0840624j -0.0540905+0.0389902j -0.0381093-0.0818635j 0.0860158-0.015532j 0.0138982-0.0158534j 0.00914671-0.133953j 0.063293-0.0338797j 0.0343836-0.0598615j 0.075091-0.060503j -0.13636-0.094657j 0.0853183+0.0791329j -0.00184073+0.010644j 0.0151114+0.0367126j 0.0335693-0.0272164j -0.0374795-0.020477j 0.0624881+0.0211594j -0.039292+0.115688j 0.0211646+0.00166739j 0.095604-0.278277j -0.1634-0.234303j -0.221106+0.18647j 
0.00922446-0.00203755j 0.0156381+0.0251329j 0.020474-0.0372422j 0.039115-0.0234636j 0.0471661+0.107907j -0.0438698-0.0126648j -0.0873916-0.0826388j 0.0145288+0.0452229j 0.0144703-0.0846178j 0.0489957-0.0828823j 0.0213413+0.0282186j -0.00614611+0.0112346j -0.0192005+0.0607425j 0.0228021-0.0424422j -0.026001-0.0265329j -0.00565469+0.123582j -0.0216431+0.0295315j -0.000201459+0.0337388j 0.00209097-0.071887j 0.0202094-0.0426634j 0.129899-0.034087j 0.0622549-0.061704j 0.015012-0.00441846j 0.00748787-0.0693627j 0.0487292-0.112328j -0.0158926+0.0464526j 0.03882-0.0878706j 0.0227891-0.0741458j 1.39248e-05+0.0649858j 0.0166155-0.0689404j -0.00727631+0.0132125j -0.0423757-0.0244525j -0.062505-0.0841277j -0.0517837+0.0093186j -0.0768825+0.0613969j 0.0606395-0.0229639j -0.0392765-0.0575669j -0.083262+0.0130128j -0.0707396-0.00597294j 0.0564317+0.0571717j -0.0181366-0.0208414j 0.0123987-0.0456478j 0.0723524+0.185917j 0.00357922-0.00715899j 0.00792497+0.10183j 0.0971673+0.0866419j 0.136796-0.0148037j 0.0488967+0.0493837j 0.093252-0.0871342j 0.0772809+0.0961666j 0.0471202-0.0553412j -0.116116+0.13056j 0.0611689+0.0941529j 0.115827+0.177027j 0.205746+0.1445j -0.0570815-0.0437979j -0.00488292-0.10952j 0.0236223+0.0471119j 0.0675928-0.0756862j 0.0709881+0.0598785j -0.0187161+0.132836j 0.0290007+0.0171536j 0.0954374-0.00142714j -0.0706961+0.0361659j -0.132875-0.0221003j 0.0647568+0.00950899j -0.0275424-0.0180171j -0.0249161+0.060218j -0.053922-0.0158974j -0.0264229+0.0702264j -0.0830068+4.92571e-05j 0.0372802+0.0204045j 0.050923-0.0386948j 0.0346499-0.0657434j 0.0830137-0.0448151j 0.0701158+0.0340575j 0.0294264-0.0361044j 0.00913283-0.0876272j -0.0306602+0.0608189j 0.00487654+0.13917j 0.0390234-0.0300255j 0.0743146-0.0468469j 0.0253647+0.0134364j -0.0324816-0.0610477j -0.0493694-0.0312742j 0.0428711-0.0128422j 0.10656-0.110131j -0.0694343-0.0866263j -0.0168919+0.0893468j 0.102107+0.0814242j -0.0575692+0.0831097j 0.108158+0.0810599j 
0.010892-0.0122079j -0.0166122+0.029731j 0.0234983+0.00710112j -0.00292221+0.00994231j -0.0193384-0.0161332j -0.00744951-0.0331866j -0.00792907+0.00574957j -0.0630827-0.037024j 0.0951216+0.0606174j -0.119874-0.0110631j -0.00268331-0.0467224j -0.0272428-0.128396j 0.0378138+0.0485112j -0.0792143+0.0381016j 0.00388678-0.00887612j 0.0529798-0.154271j 0.00293999+0.0264837j -0.0369314-0.00904327j 0.0239155+0.0369354j -0.0797251+0.0372724j -0.0156142-0.0923662j -0.124163-0.0116108j -0.0320486+0.01282j -0.118367+0.113828j -0.0778242+0.0224696j 0.113871+0.027503j 0.00120844+0.020289j -0.0289122+0.00744231j -0.0342629+0.077168j -0.0290799+0.0421081j 0.0309558+0.104482j -0.0308241+0.0418011j 0.0193143-0.07811j -0.0308107-0.100959j 0.062485+0.117813j -0.0381361-0.0252933j 0.0212836+0.0836911j -0.0280722+0.0319102j -0.00461673+0.045887j -0.0902029+0.0117936j 0.0618355+0.0358283j 0.0451818-0.0503348j -0.0313953-0.050163j -0.014488-0.0425015j -0.000913018-0.0573211j -0.0154668+0.112961j -0.0322951-0.0109435j -0.0422198+0.000504589j -0.098073-0.0638217j 0.0310085-0.109409j -0.0413397+0.0101585j 0.0316848+0.139149j -0.0647348+0.00310383j -0.0218739+0.0878284j -0.0772693+0.0551895j 0.104673-0.0424515j 0.0730769-0.0947962j 0.00386948+0.0562105j -0.00436229-0.106712j -0.110501+0.0648888j 0.0210481+0.0859215j -0.031915-0.0474044j 0.101252-0.169035j -0.00410994+0.0579499j -0.0595586-0.0178452j -0.00907848-0.0555703j 0.0518571-0.0381273j -0.00980497+0.028099j -0.11668+0.0304873j -0.0904505+0.104325j 0.0707506+0.00847631j -0.0919214-0.0318637j -0.0700845+0.0466742j -0.041583-0.0306759j -0.00661111-0.0573251j -0.0933993-0.046288j 0.00238175+0.0556844j 0.0574475-0.0467482j 0.0513959+0.0548205j 0.0999912+0.0726333j -0.0171993+0.0766016j 0.0660326+0.0429578j -0.0680429-0.00998121j 0.0497022-0.011472j -0.0879396-0.0528482j 0.0887762-0.0768071j 0.025725-0.0813702j 0.0408426-0.0305834j -0.0250262+0.062037j 0.0809681+0.0604503j -0.0471912+0.0155637j 0.0490604+0.0209434j 
-0.00976009-0.019964j -0.0206195-0.00615602j -0.0286974+0.0257509j 0.00255718+0.0237996j -0.0052418-0.057731j -0.0193285-0.0901321j 0.00226036+0.0353978j -0.0529652-0.103911j -0.0484652-0.0463541j -0.0366543-0.0364586j 0.0227457+0.0672356j 0.00287128+0.0369946j 0.0833412+0.14618j 0.0375092-0.133121j 0.0743433+0.0283575j -0.0584009-0.0854774j -0.0125315+0.0499261j -0.0376572-0.0841137j 0.00543459-0.0970766j 0.0878129+0.0322864j -0.00868634+0.0480172j 0.0279268+0.0519221j 0.0170323+0.0104551j 0.0377269+0.0569458j -0.0939325-0.0674357j -0.0994827+0.0423818j -0.0374516-0.0741033j -0.0200917-0.0731636j 0.00253403-0.105662j 0.0242549+0.0555319j -0.00417694-0.0198918j 0.0405867-0.0662805j -0.0224159+0.0478436j 0.00867972-0.0959402j 0.0418785+0.0051489j 0.0391048-0.0411352j -0.0382221-0.020908j 0.0468114+0.0350506j -0.013005-0.111163j -0.048193+0.0335395j -0.108601-0.0390091j 0.0335279+0.0365444j -0.0452553+0.113295j 0.0541203-0.020171j 0.024118-0.000478065j -0.0217744+0.0691138j 0.0243324+0.139491j 0.0231134-0.0276294j -0.0496075+0.0349167j -0.158115-0.162779j -0.118411-0.0153027j -0.0454177-0.0319614j 0.00788658+0.0652295j -0.0564587+0.0588721j -0.160428+0.156215j -0.0538905+0.0532442j 0.0188586+0.0354056j 0.00641431+0.102943j 0.00711624-0.0424839j -0.03276+0.0104202j -0.02708+0.0936119j -0.0908252+0.0282537j -0.0254222-0.0739898j -0.00265573+0.029991j -0.00128379-0.0180848j 0.0477624-0.00379145j 0.0402236-0.00191682j 0.000930372+0.0114231j -0.0456119+0.00521532j 0.0385906+0.107243j 0.0109516-0.0105405j -0.0194766+0.0486706j 0.0467519-0.0117149j -0.00724303-0.017492j 0.0240269-0.0655224j 0.000517098-0.00687854j 0.0314886+0.0511971j 0.0135958-0.0170969j -0.00890268+0.00421581j -0.00495971+0.0183137j -0.0466081+0.0861884j 0.0162679-0.0371609j 0.00143222+0.0252178j 0.0501168-0.00228907j -0.00758536+0.0754974j -0.0157778-0.0291492j 0.040461-0.012908j 0.03743-0.025402j 0.0441445+0.0117547j -0.0206497-0.0406652j 0.0355395+0.0222189j -0.0298413-0.0604347j 
-0.0132718-0.0363021j 0.0034797+0.0243019j 0.0296771+0.0210635j 0.0238243-0.00398071j -0.0998958-0.0246511j -0.156998-0.0280617j 0.0367196+0.0638662j -0.0118414-0.0523846j 0.0328648-0.00966219j 0.0340199-0.00259657j -0.0959358-0.100583j -0.0487388-0.0431358j -0.0128561-0.00436993j 0.0719602+0.070091j 0.0108051-0.0418982j -0.0667426+0.0945049j -0.01641-0.0632714j -0.0532828-0.0682088j 0.0321578-0.0168181j -0.030831-0.0347409j -0.00403457-0.00636752j -0.00395454-0.100535j 0.105708+0.00614138j 0.0516034-0.131245j -0.0474175+0.232022j 0.0107566+0.0701705j -0.0106948-0.0856223j 0.038248-0.0263548j 0.0477687-0.112089j -0.0422837-0.0304148j -0.0802364-0.152404j 0.0277243-0.00409636j -0.048812-0.0165853j -0.0446283-0.0772461j 0.0466893+0.0415386j 0.0301758+0.0189129j -0.0226802-0.00894123j 0.0396245-0.137195j 0.0162047-0.0322054j 0.000932786-0.0112935j 0.142899-0.114747j 0.010372+0.0883773j 0.0939378+0.0218112j 0.0581047+0.0372409j -0.0954225+0.052263j 0.0163844+0.00203244j 0.0859989-0.0106446j 0.0491054-0.0255982j -0.0275393+0.0639736j 0.0780254-0.0525776j -0.0353381-0.0878904j -0.132094+0.0552334j -0.118803+0.053028j -0.0320877+0.0147972j -0.0632889-0.0282848j -0.137121+0.154919j 0.090947+0.0915104j -0.0297824-0.0630725j -0.0289071-0.154917j 0.0414654-0.00175406j -0.0342776-0.0840721j 0.0215311-0.045017j 0.0488149-0.0918636j -0.0787668+0.00307398j -0.0470418-0.0114515j -0.000276979-0.0274215j -0.034755+0.0745256j 0.00800859-0.0399723j -0.0488229+0.044375j 0.0144063-0.0424518j 0.0115746-0.0273048j 0.0182162+0.0689399j 0.0589005+0.146438j 0.00257851+0.0598752j 0.0376932+0.00467695j -0.00310736+0.00973753j 0.00797702-0.0300259j -0.00602808+0.00402595j -0.0551047-0.0814049j 0.029772-0.0165864j -0.0776492+0.0409103j -0.0160262+0.0176592j 0.0378863+0.042555j 0.045266-0.0122798j -0.0385287+0.0177536j 0.0492512-0.0599774j 0.0761944-0.012548j 0.053915+0.0540097j 0.0767098-0.0102519j -0.0187857-0.107543j 0.0922369-0.0465798j -0.0377318-0.0431169j 
-0.0176312+0.00690053j 0.0168493-0.0270519j 0.0238778+0.00178367j 0.0437719+0.0337848j -0.122226+0.0633227j -0.0116302+0.0560095j -0.044414-0.0733299j -0.0409112+0.0362347j -0.01431+0.0185715j -0.00109423-0.106345j 0.0619888-0.0696953j -0.0424088-0.00898166j 0.064094+0.0293151j -0.0302973-0.0732211j -0.0070038+0.102461j 0.0868577-0.126317j -0.00735015+0.0139951j 0.0923933+0.0862946j -0.0871586+0.109771j -0.0238426+0.147189j -0.0222715+0.0996704j 0.0289582+0.0156521j 0.0452813-0.1003j 0.0589387-0.0094332j -0.153667+0.172493j -0.0215472+0.0341374j -0.0214051+0.01927j -0.00896623+0.0164783j -0.0229689+0.0182063j -0.042633+0.0346132j 0.000564553+0.0499595j -0.0709398+0.024186j -0.0124724+0.0417841j -0.0641835-0.029223j -0.0233265-0.0416647j -0.124965-0.0645395j 0.0114397+0.0423278j -0.0472829-0.164418j -0.0675008-0.0326018j 0.0652407-0.0012707j 0.0748295-0.00242126j -0.0328544+0.0186301j 0.0844757-0.067851j 0.0062064-0.0432455j -0.0637498+0.012935j -0.0866708-0.0532591j -0.072781+0.0241895j -0.0520759+0.0967837j -0.0636271+0.148279j 0.0644606+0.12065j -0.032858+0.149585j -0.0559364+0.054477j 0.105318+0.00860671j 0.0800172+0.072463j -0.0664339+0.0778312j -0.0787455+0.0368495j 0.0199408-0.093091j -0.0167066+0.0571022j 0.0301442+0.0317101j 0.0451666+0.0564605j -0.00420372+0.0287699j -0.0245671+0.0708336j 0.0377899+0.0794662j 0.0330021+0.00617229j -0.00352861-0.0218372j 0.0527926+0.00931098j -0.0162755-0.0260533j -0.0213623+0.00266604j -0.0439775+0.00763599j 0.0275203+0.0129698j 0.000573906+0.0305899j 0.000460243-0.0155196j -0.0264477-0.0319557j 0.0151876-0.0176572j -0.0258219+0.0018863j -0.0184982-0.0455404j -0.0192846-0.0623627j -0.00833698-0.0204281j 0.0103867+0.024415j -0.00632342+0.00700431j 0.0135141+0.0588588j 0.0383351-0.00653551j -0.0388101+0.0677808j 0.0534595+0.00912189j 0.000311138+0.00393848j -0.0148051+0.0458193j 0.0125429-0.0162682j -0.00571907-0.0668372j -0.0536016+0.0469872j -0.00444483+0.0278889j 0.0267622-0.0466138j -0.0489597-0.0407863j 
-0.0151695-0.0111441j 0.0138032-0.0165857j -0.0513863-0.0144787j 0.00196052-0.100217j 0.101448+0.122845j 0.0134637-0.0319151j 0.0316577+0.0717439j 0.0226963+0.000876602j -0.0356331+0.0618536j 0.00429798+0.0212747j 0.0479974+0.00938373j 0.00106386+0.0314645j 0.037403-0.111384j 0.0821026-0.0279104j -0.0845801-0.047412j 0.0786623-0.0668717j -0.00789558+0.0391914j -0.0011195+0.0114091j 0.0404044+0.117202j -0.0469805+0.00561418j 0.0169088-0.110154j 0.0394747+0.0895102j -0.0162273-0.0617199j 0.0189639+0.0576504j -0.0210802+0.0522611j -0.00354706-0.0433559j -9.72786e-05+0.075902j 0.0158447-0.0715018j 0.00962019+0.0681729j 0.0368026-0.00496988j -0.045472-0.119695j -0.0109052-0.0261883j 0.0367524-0.0528437j 0.0141558-0.0233976j -0.00469152+0.000993196j 0.0700594-0.0946182j -0.0416002+0.0837665j 0.024015+0.164769j 0.00158345-0.0710386j -0.0391523+0.0571358j -0.101497+0.137505j 0.0189464+0.0211039j -0.0270734-0.0791704j 0.0222661-0.116741j 0.0930607+0.0822699j 0.10511+0.0474629j 0.0965931+0.195447j 0.0648792-0.0255614j 0.0324815-0.10715j -0.0759486-0.176081j -0.0976738+0.0583284j 0.0277717-0.00498727j -0.0024627+0.0434413j -0.0820154+0.132513j -0.013521+0.0378677j 0.0712175+0.0341328j -0.0460653+0.0692276j 0.0485784+0.0690038j 0.0187768+0.0542441j -0.00213124+0.0264375j 0.0209584+0.0123078j -0.0120854+0.00994719j -0.00173356+0.054928j -0.00718936-0.0364618j -0.0108405-0.00449866j 0.0232076+0.00809568j -0.0355859+0.0392823j 0.0166137-0.0529484j -0.0447841+0.0206084j 0.0198381-0.0119985j 0.0249244-0.0302291j -0.0227357-0.0100882j -0.0232267+0.0224229j -0.0106309+0.0213092j -0.00924309+0.00966257j 0.00545695-0.0696116j -0.0138151-0.0427833j -0.0315925+0.0263751j -0.0153933-0.0344646j 0.00878612-0.0263564j -0.0229214+0.0514047j -0.0237718-0.0595389j 0.0237001+0.0453136j 0.058615-0.00890275j 0.00616396+0.0438438j 0.0216941-0.00660767j 0.0378942-0.0522703j 0.0249738-0.0311126j 0.0148399+0.0165272j -0.0509094-0.0400875j 0.105968-0.0247551j -0.0507181-0.0821951j 
0.00663451-0.00351804j 0.0150932-0.00847771j -0.00774287-0.0137102j 0.00483405+0.0118209j 0.069776-0.0145034j 0.082394+0.103844j -0.0780242+0.0292861j 0.0060516-0.126289j -0.0499663+0.0437955j -0.0395696+0.0919627j 0.00201766+0.104432j -0.07284-0.0274241j -0.0148883+0.0712471j 0.0133982-0.0367912j 0.0602791+0.0752646j -0.00945288-0.186732j -0.0546898-0.0863723j -0.0392431-0.0973996j -0.168084-0.00596999j -0.0820335-0.126553j -0.00156158+0.0376154j -0.107334-0.129105j 0.0613214-0.0538265j -0.0470535-0.0233264j -0.0459681+0.0586824j 0.136574+0.0274759j -0.0273763-0.00499822j -0.0970708-0.00512618j 0.0187974-0.0498121j 0.111519+0.0829729j -0.0899598+0.054385j -0.0366959+0.0614425j -0.0306227+0.17212j 0.0344111+0.105726j -0.124247-0.0769056j 0.11997+0.0873692j 0.0499501-0.040863j -0.0716558+0.0584349j -0.0408306-0.126753j 0.193003-0.0179714j 0.049132-0.0851371j -0.0918876+0.0164399j -0.0937471+0.160246j -0.0896419+0.0437414j 0.0083475+0.0875817j 0.0544216-0.0107492j 0.122354-0.00268625j -0.0605041-0.0541587j 0.0242905-0.0501955j 0.119852-0.0336349j -0.0474116-0.120554j -0.0514163+0.0347299j 0.0322223-0.0276395j 0.0724413-0.0409443j 0.0447742+0.0536277j 0.0163902-0.0464899j -0.0503411-0.0101315j 0.0193684-0.0240424j 0.0174418-0.0438914j 0.0174088-0.10031j 0.0430426-0.00390237j -0.040577+0.00569156j 0.00140041+0.0114169j 0.0184178+0.0121876j 0.0431291+0.00621318j 0.018627-0.0102038j 0.0578862-0.0265878j 0.0483726+0.00955296j 0.0403412+0.00825927j -0.0109284-0.0391767j 0.031221-0.0257594j -0.0324845+0.0138632j -0.0493131+0.033007j -0.176699+0.0768434j 0.028071+0.0371074j -0.0237288+0.0100361j -0.0927363-0.0853616j -0.0505417+0.0288362j 0.0345237-0.0287882j 0.0157366-0.0367941j -0.0265057+0.0122029j 0.0596246+0.0384315j -0.0605219-0.0171186j -0.00568377+0.00241105j 0.0105719-0.0513752j -0.0123219+0.0447822j -0.0306053-0.0017829j -0.0315629+0.00620167j -0.061025+0.0167804j 0.0233697+0.005855j -0.0385193-0.0770628j -0.0531044+0.0343006j 
