-0.157596+0.197221j -0.130933-0.08653j 0.123229-0.282279j 0.514478+0.328095j -0.341951+0.399835j 0.0157146-0.309139j -0.200423-0.0456981j 0.175882+0.0705926j 0.0803175-0.0329081j -0.0618886+0.025701j -0.0115319+0.100285j 0.038097-0.0766757j 0.0596986-0.0548893j -0.0110741-0.142817j -0.109986-0.0510508j 
0.170709-0.0659405j -0.0151638-0.02713j -0.281947+0.114648j -0.0299076-0.010954j -0.160694+0.0243196j 0.183985-0.33401j -0.262631+0.0221662j 0.176717+0.240421j -0.311165+0.107408j -0.130202+0.000844945j 0.145234-0.136583j -0.0201799+0.0596001j -0.234718-0.270349j 0.074613+0.21591j 0.172046+0.146089j 
-0.0362783+0.0763804j 0.0413694+0.0137677j -0.104322+0.066243j 0.0720131-0.0141789j 0.00970884+0.0581489j 0.116818-0.138551j 0.230775-0.348399j 0.137254-0.230482j 0.185665+0.133763j -0.077718-0.178114j 0.109504+0.0827529j 0.389172-0.0391813j 0.0666086+0.332717j -0.26857+0.118397j 0.329294+0.289398j 
-0.0300204+0.0769364j 0.0254346-0.0122233j 0.0571265-0.099465j 0.0615328+0.0840022j 0.0450298-0.00148222j -0.00866558+0.185949j -0.00857069-0.000877839j -0.0151243-0.106738j 0.166864+0.0126899j 0.0767844+0.0527575j 0.00779791+0.0961375j -0.0703922-0.0744863j 0.0403117+0.130432j -0.0116346-0.15137j -0.070328-0.113909j 
0.0288257+0.0212899j 0.0303263-0.0309611j 0.0160524+0.00524958j -0.0523228-0.00523898j 0.0173277+0.0186272j -0.0656366-0.0385168j 0.0215802-0.0788j 0.0283445-0.00874341j 0.0132087-0.114706j 0.013725-0.0952385j 0.0103323+0.00459969j 0.0587148+0.0669939j -0.0415662+0.0357057j 0.0360888+0.0386846j 0.0506366+0.0636398j 
0.0296867-0.0387007j -0.0260489-0.00585547j -0.0318193-0.045698j -0.0586093+0.0104331j 0.0208736-0.000715645j 0.0578121+0.04177j -0.0126991+0.0490507j 0.0312215+0.020266j 0.0171343-0.0135027j 0.0204143+0.00776141j -0.00010477-0.0537614j -0.0872008-0.0808308j -0.0723602-0.0390143j -0.00485637-0.0343962j -0.00286021-0.07117j 
-0.00816558+0.0315037j 0.0287832+0.0173979j -0.0325316-0.0230138j -0.0350512+0.0244605j 0.000650855+0.0282618j 0.04441-0.00331181j -0.0163128+0.0320056j 0.0598211+0.0303297j 0.0151337-0.0778273j -0.0203952-0.0267926j -0.0161829-0.0412202j -0.0616982-0.0260685j -0.0781423-0.0359185j -0.00342025-0.0237053j 0.0495209-0.0415393j 
-0.00357143-0.0254703j -0.0126332+0.0267027j -0.0312717+0.00485008j -0.0245274-0.00540045j -0.00568869-0.0223194j -0.0246533+0.0208531j -0.0971724+0.00461053j 0.0246139+0.0160292j -0.00127992-0.0839423j -0.0163356-0.011197j 0.0301403+0.0488012j -0.0124482+0.138751j -0.0401586-0.00254318j 0.0755213+0.00341835j 0.0660785+0.0172214j 
-0.0226833+0.00796175j 0.00124823+0.0110246j 0.0297425-0.0224144j 0.0299483+0.0587047j 0.00433925-0.00658278j -0.0932609+0.0154146j -0.0253201+0.00401294j -0.0692674+0.0108794j -0.0448909+0.0333778j 0.0987738+0.0030219j 0.000292404-0.0357245j -0.0486405-0.0981401j 0.0164758-0.0101019j 0.0760146-0.0222213j -0.207312-0.0222547j 
