-0.0496053-0j -0.0271699-0j -0.0166381-0j -0.0111612-0j -0.00216135-0j 1.05611-0j -0.0259611-0j -0.0211971-0j -0.0100547-0j -0.00870761-0j -0.00337244-0j -0.000505866-0j -0.0314997-0j -0.0348638-0j 0.353118-0j 0.39083-0j -0.0129398-0j -0.00862655-0j -0.0143218-0j -0.0061379-0j -0.00954784-0j -0.00679341-0j -0.00708743-0j -0.00250579-0j -0.00784435-0j -0.00194097-0j -0.0027734-0j -0.00205871-0j -0.00214826-0j -0.00227858-0j -0.000563802-0j -0.000624014-0j -6.90513e-05-0j -7.64258e-05-0j 
-0.44729-0j -0.0498326-0j 0.00882369-0j -0.0468608-0j -0.0192953-0j 0.0259611-0j 0.809586-0j 0.0112415-0j -0.0422151-0j -0.0159707-0j -0.0221333-0j -0.00571218-0j 0.0167052-0j 0.0184893-0j -0.0300202-0j -0.0332263-0j -0.116678-0j 0.00457492-0j -0.129139-0j 0.438161-0j 0.00506351-0j 0.484955-0j -0.0129991-0j 0.00132889-0j -0.0143874-0j -0.0127386-0j 0.00147082-0j -0.00864361-0j -0.014099-0j -0.00956672-0j -0.0050333-0j -0.00557084-0j -0.000942986-0j -0.00104369-0j 
0.0214797-0j -0.146586-0j -0.121683-0j -0.0383973-0j 0.000935894-0j 0.0211971-0j 0.0112415-0j 0.908596-0j -0.0542466-0j -0.0636832-0j -0.011602-0j 0.000219047-0j 0.0136398-0j 0.0150965-0j 0.00708743-0j 0.00784435-0j -0.0445162-0j -0.0968187-0j -0.0492704-0j 0.00265779-0j -0.107159-0j 0.00294163-0j 0.303796-0j -0.0280317-0j 0.336241-0j -0.0104719-0j -0.0310254-0j -0.0150564-0j -0.0115902-0j -0.0166644-0j -0.00193962-0j -0.00214676-0j 2.99001e-05-0j 3.30934e-05-0j 
-0.0101887-0j -0.550474-0j -0.0034174-0j -0.0525466-0j -0.0905019-0j -0.0100547-0j 0.0422151-0j 0.0542466-0j 0.589802-0j 0.0141594-0j -0.0647765-0j -0.0367783-0j -0.00646991-0j -0.00716088-0j 0.0266154-0j 0.0294579-0j -0.00265779-0j 0.0459251-0j -0.00294163-0j -0.0288971-0j 0.0508298-0j -0.0319832-0j -0.143594-0j -0.000514678-0j -0.15893-0j 0.464511-0j -0.000569645-0j -0.00969237-0j 0.51412-0j -0.0107275-0j -0.0236079-0j -0.0261292-0j -0.00771302-0j -0.00853675-0j 
-0.00882369-0j 0.0167144-0j -0.370665-0j -0.265467-0j 0.00647185-0j -0.00870761-0j 0.0159707-0j 0.0636832-0j 0.0141594-0j 0.670896-0j -0.125386-0j 0.00191592-0j -0.00560311-0j -0.0062015-0j 0.0100691-0j 0.0111444-0j 0.0388755-0j -0.00153447-0j 0.0430273-0j 0.00864361-0j -0.00169835-0j 0.00956672-0j -0.0736403-0j -0.190502-0j -0.0815049-0j 0.00427265-0j -0.210848-0j 0.3631-0j 0.00472896-0j 0.401878-0j -0.0285138-0j -0.0315589-0j 0.000316287-0j 0.000350066-0j 
0.0034174-0j -0.0231639-0j -0.0193597-0j -0.57128-0j -0.217968-0j 0.00337244-0j -0.0221333-0j -0.011602-0j 0.0647765-0j 0.125386-0j 0.393293-0j -0.146043-0j 0.00217007-0j 0.00240183-0j -0.0139544-0j -0.0154447-0j -0.00708249-0j 0.000594299-0j -0.00783888-0j 0.0395429-0j 0.000657769-0j 0.043766-0j 0.0480067-0j -0.00445981-0j 0.0531337-0j -0.0284906-0j -0.00493611-0j -0.224012-0j -0.0315334-0j -0.247935-0j 0.451733-0j 0.499977-0j -0.042457-0j -0.0469912-0j 
-0.00051261-0j 0.00597816-0j -0.000171935-0j -0.0408257-0j -0.635249-0j -0.000505866-0j 0.00571218-0j -0.000219047-0j -0.0367783-0j 0.00191592-0j 0.146043-0j 0.123529-0j -0.000325511-0j -0.000360275-0j 0.00360137-0j 0.00398598-0j -0.000133717-0j -8.91449e-05-0j -0.000147998-0j -0.0224513-0j -9.86653e-05-0j -0.0248491-0j 0.00155944-0j -2.58943e-05-0j 0.00172598-0j 0.0840532-0j -2.86597e-05-0j -0.00753041-0j 0.0930298-0j -0.00833464-0j -0.165708-0j -0.183406-0j 0.469282-0j 0.5194-0j 
0.0499621-0j 0.0273654-0j 0.0167578-0j 0.0112415-0j 0.0021769-0j 0.00892935-0j 0.0047355-0j 0.00386652-0j 0.00183405-0j 0.00158834-0j 0.00061516-0j 9.22739e-05-0j -0.830407-0j 0.586188-0j 0.0164855-0j -0.0116372-0j 0.0130329-0j 0.00868861-0j -0.00919999-0j 0.00618205-0j -0.00613333-0j -0.00436394-0j 0.00713842-0j 0.00252381-0j -0.00503904-0j 0.00195494-0j -0.00178157-0j 0.00207352-0j -0.00138-0j -0.00146371-0j 0.000567858-0j -0.000400853-0j 6.95481e-05-0j -4.90943e-05-0j 
-0.0259611-0j 0.049177-0j -0.00870761-0j 0.0462443-0j 0.0190415-0j 0.1001-0j 0.00850994-0j -0.0020091-0j 0.00754478-0j 0.00285432-0j 0.00395571-0j 0.00102089-0j -0.0164855-0j 0.0116372-0j -0.639137-0j 0.451169-0j -0.0067721-0j -0.00451473-0j 0.00478045-0j 0.0254312-0j 0.00318697-0j -0.017952-0j 0.0128281-0j -0.00131141-0j -0.00905542-0j 0.012571-0j 0.000925731-0j 0.0085299-0j -0.00887393-0j -0.00602129-0j 0.00496708-0j -0.00350629-0j 0.000930581-0j -0.000656901-0j 
0.348962-0j -0.0112415-0j 0.116269-0j 0.0366889-0j -0.000894254-0j -0.0036681-0j 0.0330752-0j 0.0126192-0j -0.000753414-0j 0.0110202-0j 0.0020077-0j -3.79054e-05-0j -0.0130329-0j 0.00919999-0j -0.0067721-0j 0.00478045-0j -0.723215-0j -0.00356921-0j 0.510521-0j 0.0431787-0j 0.00251952-0j -0.03048-0j 0.0232977-0j 0.0267845-0j -0.016446-0j -0.000803072-0j -0.0189073-0j 0.0143865-0j 0.000566892-0j -0.0101555-0j 0.00185332-0j -0.00130827-0j -2.85698e-05-0j 2.01675e-05-0j 
-0.0136827-0j 0.194247-0j -0.00458931-0j -0.00307861-0j -0.000596169-0j -0.0024454-0j -0.00129687-0j 0.0274456-0j 0.0130186-0j -0.000434984-0j -0.000168468-0j -2.52703e-05-0j -0.00868861-0j 0.00613333-0j -0.00451473-0j 0.00318697-0j -0.00356921-0j -0.736406-0j 0.00251952-0j -0.00169302-0j 0.519832-0j 0.00119511-0j 0.0506704-0j -0.000691174-0j -0.0357684-0j 0.0138766-0j 0.000487903-0j -0.000567858-0j -0.00979559-0j 0.000400853-0j -0.000155514-0j 0.000109778-0j -1.90465e-05-0j 1.3445e-05-0j 
-0.165527-0j -0.0422151-0j 0.00326535-0j 0.0502087-0j 0.0864753-0j 0.00173993-0j 0.124207-0j 0.000753414-0j 0.00819157-0j -0.00245024-0j 0.0112094-0j 0.00636437-0j 0.00618205-0j -0.00436394-0j -0.0254312-0j 0.017952-0j -0.0431787-0j 0.00169302-0j 0.03048-0j -0.469465-0j -0.00119511-0j 0.331397-0j -0.011012-0j 0.000491779-0j 0.00777345-0j 0.0356227-0j -0.000347149-0j 0.00926114-0j -0.0251462-0j -0.00653748-0j 0.0225576-0j -0.0159235-0j 0.00736985-0j -0.00520241-0j 
