-0.0123342+0.0136076j -0.00488742-0.0571885j 0.00462286+0.0447218j -0.00493407+0.016685j -0.00139791-0.00216237j 0.00930895+0.00367314j 0.00612018+0.00216927j 0.00299322+0.0119996j 0.00504889+0.0148355j -0.0136074-0.0143899j -0.00106426-0.0096485j 0.0118052+0.0113609j -0.000251173-0.0182124j 0.00652723+0.0115769j 0.0207091+0.0114424j -0.00059697-0.0227518j 0.00232489+0.000159337j -0.00215915+0.00347839j -0.000439959-0.00710173j 0.00212975+0.013578j 0.00278541-0.0196351j -0.00253077+0.0200731j -0.00298697-0.0119124j -0.00375295-0.011166j -0.00479057+0.0147759j -0.000180792-0.0279872j 0.00165995-2.95151e-05j 0.00139478+0.00650063j 0.000562617-0.00552363j -0.00147718+0.00257202j -0.000183578+0.0146393j 0.00178289+0.00788712j -0.00365268-0.00188048j -0.00033607-0.0179249j 0.00273624-0.0264129j -0.00420699+0.00702132j 0.00669655-0.0144948j -0.00122054-0.0502908j 0.00853848+0.013701j 0.0058964-0.0117113j 0.0253715+0.0813752j -0.0437042-0.0120835j 0.036867-0.0368122j -0.00023857-0.0324031j -0.0096033+0.0229898j -0.0176121+0.0379615j 0.00157057-0.0186211j 0.00758848-0.00638878j 0.0127839+0.0174962j -0.000588352-0.00537449j -0.00324849-0.014826j -0.00408184-0.0134556j 0.00507141+0.025517j -0.00571843-0.0195711j -0.0173547-0.0124387j -0.00381849+0.0165029j 0.00443077+7.59037e-05j 0.0050694-0.00843976j 0.00271811+0.0013096j -0.00295716-0.00702949j 0.00208009-0.0381414j 0.0122839+0.0230157j 0.00164026+0.0317559j 0.0084918+0.00626971j 0.00497586+0.0095955j -0.00907955-0.0233689j -0.00519957+0.118311j -0.023662-0.163063j -0.0156141+0.432596j 
0.00757293+0.060841j -0.0117768+0.00862429j 0.00884081+0.000598128j 0.0107355+0.0223687j 8.51445e-05-0.000888701j 0.00543804+0.0110604j 0.00100852-0.00600546j -0.00580267-0.0131856j 0.00236234+0.00328594j 0.00381579-0.000758097j -0.0101638-0.00023968j -0.02021-0.000173774j -0.00169067-0.0080339j -0.00865474-0.0176934j 0.00318148+0.0120158j 0.0221849+0.00395293j -0.00302146+0.0145488j -0.00531569-0.0129209j 0.00142636-0.0124855j 0.00437801+0.000328644j 0.000221237+0.00114099j -0.00304115-0.000961338j -0.000453748-0.0225464j 0.00314478-0.0203531j 0.00561544-0.0226757j 0.00363055+0.000629137j -0.0054277-0.000592044j -0.00611117+0.0143998j 0.00105228-4.41088e-05j -0.00498259-0.0107913j -0.012607+0.022853j -0.00588166+0.0116629j -0.00681159-0.0245087j 0.00101501+0.00767427j 0.00383489+0.0101666j 0.000616623-0.00468954j 0.00840613-0.000919128j 0.00811509+0.00627116j 0.00515012+0.0164221j 0.0107092+0.000190077j -0.039851+0.00193649j -0.0328735-0.0465489j -0.0202443+0.00737878j -0.0274643+0.026447j 0.0032506+0.0095954j -0.0210071+0.00859815j 0.0221719+0.0706956j 0.00492757+0.00946779j -0.00107569-0.000359751j -0.00352328-0.0046957j -0.00265077+0.00206745j 0.000963553-0.00177336j 0.00129568-0.00817796j -0.00112909+0.0201891j 0.00667372-0.0458969j 0.0042543-0.0231707j -0.000852905-0.000498678j -0.00608864+0.00751958j -0.000757562+0.055873j -0.00226889+0.0477741j 0.00549128+0.00473305j -0.00273596+0.036744j -0.00551756+0.0055219j 0.0011223-0.0605561j 0.000754799-0.0350157j -0.00311307+0.0770927j 0.0116413+0.0643319j -0.016222+0.440396j 0.0249344+0.154562j 
0.0049626+0.0914864j -0.00760574-0.00254215j -0.00374644-0.0958891j -0.00220336-0.0644381j 0.00239975+0.06875j 0.00186611+0.162419j -0.0106291+0.041472j 0.00134102-0.090662j -0.00797603-0.017261j 0.00926178+0.0115997j 0.00575775-0.00752743j -0.0149141-0.0641687j 0.00751113+0.0829422j -0.0288868+0.0374814j -0.0397763-0.00117234j -0.0151214+0.00597849j -0.00416554-0.0869174j 0.0062266-0.0873495j -0.0098064-0.0103817j 0.00406844-0.0565475j -0.00231857+0.00394893j 0.0095316+0.0599141j 0.00582807-0.0122529j 0.00993021-0.0485636j 0.0193254-0.0696704j -0.00177817+0.0253325j -0.00863036-0.0294198j -0.00579691+0.00764115j 0.00225165-0.00113459j -0.000979172-0.0632832j -0.0175421-0.0554626j 2.18215e-05+0.0129134j -0.00563868-0.0642686j -0.0206884+0.00645495j -0.0117756-0.00220595j 0.00778276-0.0250043j 0.0253259+0.0913574j -0.00278581-0.0599897j -0.0062468-0.0515848j 0.00376778+0.00363271j -0.00948461-0.0978114j 0.0179503-0.0362737j -0.00153595-0.0250893j 0.000258726+0.119037j 0.00675797-0.101355j 0.0146725-0.0625562j 0.00507965-0.0709985j -0.00381669+0.0287668j -0.00086417-0.00945979j 0.00165055+0.00940784j -0.00209042+0.0241774j -0.00126582+0.0240746j -0.00374694-0.0613417j -0.00910228+0.0119961j -0.0184488-0.0368143j -0.00201064-0.0399427j -0.000423025+0.00613311j 0.00537883+0.129286j 0.00532602-0.0127062j 0.000755611-0.00961112j 0.0115257-0.116296j 0.00751693-0.0231126j 0.0171241-0.141734j -0.00452721-0.147106j -0.00277165-0.127544j 0.0105562+0.193966j 0.0115032-0.315687j 0.00297669-0.0265595j -0.000285806+0.0378731j 
-0.00718137-0.0146578j -0.00698815-0.0488067j 0.00263519+0.0166705j 0.0118432+0.00751367j -0.00560082-0.0378699j 0.00988096-0.0337703j 0.0186376-0.015064j -0.00818792+0.0319489j -0.00626183+0.0043833j 0.00844906-0.0200403j -0.00835588+0.00260231j -0.0229341+0.0376538j -0.00148682-0.0439488j -0.0210919-0.0448176j 0.0231949+0.0126216j 0.0244632+0.0269144j 0.013926+0.025736j 0.00438376+0.0653109j 0.0124462-0.0146498j 0.00290777-0.0118254j 0.0117246-0.0136893j 0.0027033-0.0106427j 0.00341768-0.00513894j -0.00899101+0.010182j -0.010482-0.00679089j 0.00647945+0.0076141j 0.00479218-0.00367946j -0.00568384+0.00522669j 0.00416418-0.0122455j -0.0152624+0.000528723j -0.0160127+0.0154728j -0.00496126-0.0348051j -0.00997348+0.00514485j 0.0134698+0.0323301j 0.00101137-0.0258731j -0.0213137-0.0839677j 0.0192123-0.0341211j -0.00458658+0.025946j -0.0218623-0.0152635j 0.0329154-0.0581866j -0.00599135+0.0577268j 0.00999377-0.0972441j -0.00454554+0.0195335j -0.0269337+0.0549973j 0.0129881+0.0290883j 0.00580325+0.0975058j 0.00803033+0.166475j -0.00123227-0.00615546j 0.0109044-0.0469625j -0.000796628-0.0380767j -0.00392935-0.00858588j 0.00134083-0.0100132j 0.00158399-0.0180428j -0.00127743+0.0363945j 0.0013608+0.00867591j 0.00144227+0.0161528j -0.00235844-0.00819689j -0.00191642-0.112464j -0.00049794+0.123161j 0.00287694+0.0936097j 0.0106139+0.122465j 0.0029376+0.0499487j 0.00850555+0.173787j 0.00871366-0.205005j 0.00647013-0.0983333j -0.0105321+0.332208j 0.0143038+0.171574j -0.00246612-0.0793001j 0.00624359-0.0263322j 
-0.00592148+0.0577745j -0.000402976-0.0341804j -0.00211183-0.292461j 0.00484084-0.155851j 0.00681864+0.16779j 0.00974623+0.369401j -0.0052223+0.177183j 0.00946968-0.18646j -0.00360127-0.062755j -0.00868242+0.0877095j -0.00179818-0.0239245j -0.00260271-0.137058j -0.00986691+0.145731j -0.00526768+0.177894j 0.0213407+0.00536719j -0.00995574-0.0580205j -0.00504607-0.232752j -0.00165423-0.148117j 0.0101145-0.0550345j 0.00268368-0.0993434j -0.000356969+0.037935j -0.00352692+0.118773j 0.000382083+0.0373211j -0.00300903-0.0856387j -0.0126944-0.14461j 0.00270188+0.0014058j 0.00296573-0.0129394j 0.00247524+0.0264693j 0.00123153-0.00403282j -0.00209088-0.0656522j 0.00464944-0.0071014j 0.00593644+0.0515114j -0.00113269-0.075803j 0.00914037-0.0078824j 0.00952818+0.0162435j -0.0110958-0.00866103j 0.00607265+0.0208269j 0.0118685-0.0680685j 0.00790323+0.0250577j -0.00537367-0.00940655j 0.00953953-0.148853j -0.0212993+0.0258741j 0.00355688+0.069194j -0.0102347+0.0772551j -0.00317988-0.0747162j -0.0147454-0.0338403j 0.00167334-0.0687599j 0.00593062-0.0184658j 0.00414997-0.0355453j -0.000448325-0.0610831j -0.000438566-0.0122426j 0.00138937-0.00133676j 0.00314493-0.0117567j 0.0062652-0.0198023j 0.00855541+0.0624677j 0.0014874-0.049348j -0.000599515+0.0157461j -0.00414921+0.00769395j -0.000694449-0.0244768j -0.0053044-0.129773j -0.000504156-0.163424j -0.00384474+0.0919935j -0.00936237+0.0969267j 0.00521525+0.0269241j 0.00315015+0.00942384j -0.00841646-0.00576859j -0.00538325+0.162988j -0.00903631+0.0147631j -0.00032494-0.0744221j 
-0.000370211-0.0232021j -0.00448863+0.0369107j 0.00227348+0.117127j 0.00366915+0.0838664j 0.0128381-0.136514j 0.00823963-0.175336j -0.0120787-0.0329024j -0.00172492+0.0343295j -0.000946242+0.0391759j 0.000586087-0.00851712j 0.0028848-0.040949j -0.00342581+0.083029j -0.0109431-0.0674498j -0.0119662-0.086862j 0.0164532+0.0348433j -0.0119436-0.0546798j -0.0107323+0.00503528j 0.00454085+0.0971811j 0.00935635+0.0264952j 0.000238544+0.0658841j -0.00550824-0.0360919j -0.00631947-0.0834279j 0.00350738-0.0230502j 0.0016536+0.0222845j -0.000584961+0.0366578j 0.000274805-0.0566331j -0.00650339+0.00533436j -0.00200197+0.0136199j 0.00149342-0.0111778j -0.00347182+0.0585153j -0.0170056+0.0824581j 0.00839722-0.0348466j -0.00495283+0.0534356j 0.00315477-0.0380951j 0.01236-0.0346728j -0.0029693-0.0561411j 0.0228342-0.00658138j 0.00845061-0.0223589j 0.0202673-0.077053j -0.0195351-0.0234409j -0.00428428-0.228401j -0.0195763-0.0143301j 0.000865327+0.202393j -0.0161468-0.094913j -0.000316307-0.063838j -0.0112792+0.0701558j 0.00756008-0.0643021j 0.00540213-0.0141124j -0.000871824+0.0292077j -0.00100191-0.0365042j -0.000942938-0.0338856j -0.00169102-0.0140089j 0.00117524+0.0104601j -0.002861-0.0210629j -0.00425881+0.189556j -0.000539779-0.0644679j 0.00167228+0.018696j -0.00120892-0.0949302j 0.00218274+0.037733j -0.00616058+0.0549076j 0.00421173-0.308394j -0.00387929+0.234534j 0.000159677+0.113143j 0.0022582+0.0402551j 0.00170754+0.0493596j -0.00286044-0.00382827j 0.00125455+0.0127373j -0.0124869-0.014618j 0.00353647-0.0535982j 
0.00277533+0.0398983j 0.000436592+0.00437429j -0.00367897+0.0253075j -0.00160942-0.0387902j -0.010565-0.0650826j -0.00290137-0.0119114j 0.00223977+0.0469392j -0.00966448-0.0450658j 0.0115302+0.035875j 0.00243816+0.00183364j -0.0165261-0.0223207j 0.0204483-0.0170461j 0.010887+0.0400317j -0.00135819-0.0664001j -0.0261585+0.0580143j 0.00850949-0.08209j 0.00484496-0.0532992j -0.00726484-0.0174817j -0.00904853+0.0237332j -0.00245061+0.0282942j 0.00187267-0.0121111j 0.00364336-0.0401165j 0.00253661+0.0311074j 0.00756659+0.0311981j 0.0100289+0.0137577j 0.00235272+0.0341608j -0.005834+0.0180907j 3.32292e-06-0.0126318j -0.00215118-0.0123179j 0.000938944-0.0170301j -0.012424-0.0887141j 0.00249764+0.000983677j -0.00915921+0.0666708j -0.0109214+0.0163168j -0.00583339-0.0754462j 0.0192548+0.0821453j -0.00424908+0.00013458j -0.00666485-0.0558291j 0.00230444+0.0390343j 0.00019806+0.158328j -0.0288611+0.042067j -0.00603933-0.0107312j -0.00898966-0.185008j -0.00236352+0.0975589j 0.00139747-0.0104108j -0.00127297-0.0886614j 0.0126795-0.0237776j 2.12423e-05+0.00185767j -0.0067331+0.0769406j -0.00207928+0.0702135j 0.00202543+0.0538348j -0.000756743+0.0306731j -0.00336369-0.00986855j -0.000425834+0.130647j 0.00953774-0.000742087j 0.00345856+0.0334847j -0.00153088-0.0853891j -0.00696625+0.25822j 0.000430691-0.0453076j -0.00190453+0.277007j -0.003217-0.108853j 0.00173301+0.283274j -0.00127432-0.200792j -0.00362949-0.039291j -0.00212066-0.0728465j 0.00586576-0.0180786j 0.00529634+0.0823429j -0.000787623-0.0703447j 0.0113079-0.0808578j 
0.0020234+0.0690607j -0.00145616+0.0514945j 0.00194737-0.0934296j 0.00155387-0.000224081j 0.0023019+0.0171553j -0.0148169+0.0813065j 0.0117629+0.0114285j -0.00932248-0.0340126j 0.0107392-0.0066835j 0.0062753+0.0195543j -0.029749+0.00966533j 0.0134624+0.0131772j 0.00627188+0.0162425j 0.015364+0.0507339j 0.0375442+0.0068052j 0.0373098+0.0142302j 0.00485619-0.0666604j -0.00343191-0.0184473j 0.00205168-0.0126385j -0.00550839-0.0483704j 0.001406+0.00355712j -0.0030149-0.0691723j -0.00112219-0.0738244j -1.63357e-05+0.0107184j -0.00130719+0.0491305j 0.00386735+0.0559116j -0.000864278+0.0399844j 0.00235329+0.000162638j -0.00526259+0.00110733j -0.00132855+0.0123154j -0.0116895-0.0488417j -0.00471711-0.0262694j 0.000316504-0.02663j 0.0120813-0.0216688j 0.012147+0.112453j -0.00377935+0.0063655j -0.0106594-0.0364005j -0.0194871+0.188131j -0.00458736-0.0979669j 0.00382677-0.0249788j -0.0137203-0.147336j 0.0139693-0.0216885j -0.00145232+0.211426j -0.00511873-0.00147266j 0.00206147-0.000188502j 0.00624265+0.0494478j -0.00441387-0.00387267j -0.00440857-0.0680645j 0.00163813+0.0128874j -0.00217485-0.0147417j 0.00174549+0.0178294j -0.00522357-0.00259316j -0.000718453+0.0136478j -0.00964971+0.0188211j -0.00746826+0.0590521j -0.00496536-0.0994089j 0.0031145-0.0195562j 0.00850989-0.146018j -0.0018238+0.0739058j 0.000586107+0.1688j -0.00238006+0.00404849j 0.0015766-0.0538106j 0.0077724+0.029468j 0.00152919-0.0591358j 0.0013656+0.0294556j -0.00265189+0.103661j 0.00449493-0.298866j -0.00130754+0.0807694j -0.000604099-0.174877j 
0.000229705+0.0193963j 0.000404193-0.056449j -0.00484142+0.115946j -0.014016+0.0333721j 0.0104726+0.0161344j -0.0106859-0.000749276j -0.0264519-0.0163765j 0.00369681+0.0116398j 0.00343173+0.0115424j -0.000628093+0.00610988j -0.00462252+0.0446597j 0.00719646+0.0452006j -0.00389973+0.0324121j 0.00938538+0.036071j 0.000191341-0.0583033j -0.0173427-0.0817034j -0.011272-0.0502456j -0.000433693-0.140695j -0.0112287+0.0717391j 0.000860274+0.0979571j -0.00260713+0.00885192j 0.004801+0.037625j 0.00213698-0.0501633j 0.0101255-0.0188741j 0.00591728-0.0140363j -0.00177089-0.0641951j -0.00252362-0.000876537j 0.00388665-0.00868126j -0.00591573+0.0552956j 0.014562+0.0542402j 0.00944793+0.0458012j 0.0162965+0.15485j -0.00807888-0.0953053j -0.00181778+0.0628791j 0.0131909+0.123153j -0.0100534+0.0737848j -0.0160716-0.00687586j 0.0104124+0.1418j -0.00588243+0.276751j -0.011158+0.261169j 0.00121466-0.0369374j -0.00493969+0.0533857j -0.0103107+0.156726j 0.00736898+0.0847375j -0.00547144+0.11435j -0.00264805+0.0367606j -0.00748886+0.14427j 0.0022819-0.0658296j -0.00216034-0.0211716j 0.000971304+0.0374154j 0.00323533+0.0381223j -0.00201238+0.018627j -0.00065048-0.0192552j -0.00120689+0.0842736j -0.00696175-0.0474728j -0.00436034-0.116085j 0.00541975-0.0517153j 0.00616208+0.163144j 0.000748037-0.0772173j -0.00138269+0.165848j 0.00273346+0.00983488j 0.00120736-0.188398j -0.00170583+0.189088j -0.00319173-0.0702387j -0.00249231-0.0869432j 0.00323961+0.100677j -0.00206811+0.171374j 0.00355641+0.209748j -0.00484296+0.107876j 
-0.00535347+0.0279534j -0.00117938-0.0480325j 0.000718598+0.0747067j -0.00257741+0.0965371j -0.00738278-0.0351904j 0.00360025-0.157137j 0.00708765-0.0788813j -0.00560059+0.0775296j 0.0106492-0.0162266j -0.0132634-0.032014j -0.000569944+0.0256347j -0.00162466+0.0741655j -0.00506931-0.110179j 0.00511978-0.124866j -0.00062474-0.0237797j -0.00197429+0.0889826j 0.00160341+0.214597j -0.00210703-0.00269276j 0.00271147-0.0210345j 0.00308591+0.0532305j 0.00881752+0.0626095j -0.000537268-0.00399292j -0.000844159+0.0392433j -0.00259528+0.0161667j -0.00946685-0.0139168j 0.0018365+0.0301142j 0.00192163+0.0435441j 0.00168684-0.0101217j -0.00108175+0.0251277j 0.00402362-0.00703724j 0.00773322-0.0176463j 0.00148249+0.0877633j -0.00651431-0.0331878j 0.000427303+0.0730798j -0.00616211-0.0755963j -0.00933927-0.144054j -0.00772995+0.184455j 0.00963489-0.0880174j 0.000730556+0.110478j -0.000188045+0.0551696j 0.0130816-0.163764j -0.0185818-0.0285319j 0.00965692-0.0446258j 0.000138734+0.182908j -0.00496635-0.192224j -0.0105007-0.111261j -0.000423276-0.132283j 0.00610347+0.0951538j 0.00481316-0.107204j 0.00110369+0.058621j -0.000877774+0.0222961j 0.000903358+0.0306326j 0.00169776-0.0822769j 0.00285414+0.0340267j 0.000749339-0.0755336j 0.00202285-0.0236122j 0.00120898+0.0925929j -0.00166251+0.184794j -0.000826764-0.0964001j -0.00263968-0.134243j 0.00094559-0.125j 0.00246311-0.155037j -0.00572554-0.0652856j 0.00246763-0.0671109j 0.000889964-0.110734j -0.00259426+0.0676962j -0.00580207-0.183361j -0.00841799+0.153797j -0.00695413-0.321285j 
0.00674669+0.00543873j -0.00129583+0.050131j 0.0033851+0.0138285j -0.00701832-0.0871365j 0.00163103+0.0176262j -0.0114063-0.0729941j 0.00358255-0.00658207j 0.0133908-0.0757278j -0.00779027+0.057216j 0.0134407-0.0374302j 0.0146165+0.0750762j -0.0238007-0.0314442j -0.00673503+0.0635593j 0.0110629+0.00469341j 0.0161054-0.0345735j 0.00439336-0.0233991j -0.00880271+0.0402145j -0.00924634-0.207288j -0.0112584+0.073195j 0.00760388+0.159208j -0.00189419+0.0268296j 0.00024055+0.0220332j -0.0160301+0.0341277j -0.00231124+0.0606928j 0.0119832-0.0990752j -0.00945496+0.0427489j -0.00710038+0.0117359j -0.00274854-0.176642j 0.00197177+0.0142484j 0.00851982+0.102366j 0.00159955-0.048888j -0.0112637-0.229924j -0.00672499+0.0794578j 0.00126353-0.0109116j 0.00700015+0.228098j -0.0129855+0.171918j -0.0228506+0.0648609j 0.00240699-0.0779153j 0.00352011-0.305911j 0.00197392-0.185929j -0.00043701+0.0802021j -0.0118946-0.0511572j -0.00570676-0.0256187j 0.00537972+0.019222j -0.00676088+0.151134j -0.0139215-0.0702572j -0.000712189+0.128567j 0.00325406+0.0668947j -0.000446314-0.0205393j -0.000542303+0.0582514j 0.000724812+0.0912269j -0.000281818+0.0859627j 0.0025036+0.0263679j -0.00161637+0.116295j -0.00580585-0.0684711j -0.000225627+0.0212285j 0.00113282+0.0100401j 0.00814845+0.0971596j -0.003397+0.0435318j -0.000281004+0.0465833j 0.000109529-0.189075j 0.00201576-0.181065j -0.00532988+0.118139j -0.000449645+0.0705263j -0.00168912+0.0499629j -0.00249754-0.106956j -0.00187477-0.0247884j -0.00633872-0.0991167j 0.0010783-0.0882546j 
