-0.0537518-0j -0.00545166-0j -0.00550815-0j -0.0031278-0j -0.000451459-0j -0.00387046-0j -0.00225777-0j -0.000558652-0j -0.00032588-0j -0.00219784-0j -0.000388526-0j -0.00256414-0j -3.23772e-05-0j -0.00157021-0j -0.00224362-0j -0.000453281-0j -0.000277577-0j -0.000925448-0j -3.77734e-05-0j -0.00039662-0j -2.31314e-05-0j -0.000163598-0j -3.30517e-05-0j -1.36331e-05-0j -0.00169177-0j -0.000281962-0j -0.00191106-0j -0.000172666-0j -3.52453e-05-0j -0.00156037-0j -2.07685e-06-0j -0.00031851-0j -0.00157654-0j -0.00136533-0j -0.000195047-0j -0.000260062-0j -0.00112634-0j -3.98138e-05-0j -0.000159255-0j -0.000262757-0j -0.00035987-0j -2.34605e-06-0j -0.000160905-0j -0.000227555-0j -3.25078e-05-0j -0.000139348-0j -0.000187723-0j -3.28447e-05-0j -1.91554e-06-0j -2.84443e-05-0j -0.000114956-0j -5.99784e-05-0j -1.93539e-06-0j -2.34654e-05-0j -3.67291e-05-0j -1.6761e-06-0j -7.4973e-06-0j -1.38271e-06-0j -4.41783e-07-0j 
0.00838003-0j -0.0402037-0j -0.0406203-0j 0.000487632-0j -0.00672903-0j 0.000603413-0j 0.000351991-0j -0.00832674-0j -0.00485727-0j 0.000342648-0j -0.00286522-0j 0.000399756-0j -0.0007264-0j 0.000244799-0j 0.000349786-0j -0.00334275-0j -0.00204701-0j 0.00014428-0j -0.000847466-0j -0.00292491-0j -0.000518965-0j -0.00120646-0j -0.000741533-0j -0.000305867-0j 0.000263751-0j -0.00207935-0j 0.000297939-0j 2.6919e-05-0j -0.000525333-0j 0.000243266-0j -6.22349e-05-0j -0.00234888-0j 0.000245787-0j 0.000212858-0j 3.04083e-05-0j -0.00191785-0j 0.000175599-0j -0.000593427-0j 2.48282e-05-0j -0.00193773-0j 5.61047e-05-0j -7.03018e-05-0j 2.50855e-05-0j -0.00167812-0j -0.000484531-0j 2.17247e-05-0j -0.00138438-0j -0.000489552-0j -5.74012e-05-0j -0.000423965-0j 1.7922e-05-0j -0.000442316-0j -5.7996e-05-0j -0.000349753-0j 5.72616e-06-0j -5.0226e-05-0j -0.000111748-0j -4.14343e-05-0j -1.32385e-05-0j 
0.00649114-0j 0.00065835-0j 0.000665172-0j -0.0363417-0j 5.45189e-05-0j -0.0449706-0j -0.0262328-0j 6.74637e-05-0j 3.93538e-05-0j 0.000265414-0j -0.00451426-0j 0.00030965-0j 3.90992e-06-0j 0.000189621-0j 0.000270943-0j -0.00526664-0j -0.00322515-0j 0.000111758-0j 4.56157e-06-0j -0.00460831-0j 2.79338e-06-0j -0.00190083-0j 3.99137e-06-0j 1.64636e-06-0j 0.000204301-0j 3.40502e-05-0j 0.000230783-0j -0.00403324-0j -0.000409513-0j 0.000188433-0j 2.50803e-07-0j 3.84638e-05-0j 0.000190386-0j 0.000164879-0j -0.00455603-0j 3.14055e-05-0j 0.000136018-0j -0.000462594-0j -0.00371998-0j 3.1731e-05-0j 4.34585e-05-0j 2.83312e-07-0j -0.00375853-0j 2.74798e-05-0j -0.000377706-0j -0.00325499-0j 2.26697e-05-0j -0.000381621-0j 2.31324e-07-0j -0.000330493-0j -0.00268523-0j 7.24308e-06-0j 2.33721e-07-0j -0.000272643-0j -0.000857943-0j 2.02408e-07-0j -8.71107e-05-0j 1.66978e-07-0j 5.33503e-08-0j 
-0.000936916-0j 0.00908484-0j 0.00917898-0j -5.45189e-05-0j -0.0352069-0j -6.74637e-05-0j -3.93538e-05-0j -0.0435663-0j -0.0254137-0j -3.83092e-05-0j 0.000647454-0j -4.46941e-05-0j -0.00773721-0j -2.73694e-05-0j -3.91073e-05-0j 0.000755363-0j 0.000462564-0j -1.61309e-05-0j -0.00902674-0j 0.000660943-0j -0.00552773-0j 0.000272625-0j -0.0078984-0j -0.00325792-0j -2.94883e-05-0j 0.000469872-0j -3.33106e-05-0j -3.00964e-06-0j -0.00274859-0j -2.7198e-05-0j -0.000999571-0j 0.000530777-0j -2.74798e-05-0j -2.37982e-05-0j -3.39975e-06-0j 0.000433378-0j -1.96325e-05-0j -0.00310487-0j -2.77588e-06-0j 0.000437869-0j -6.27269e-06-0j -0.00112914-0j -2.80465e-06-0j 0.000379205-0j -0.00253511-0j -2.4289e-06-0j 0.000312828-0j -0.00256138-0j -0.000921935-0j -0.00221822-0j -2.00374e-06-0j 9.99502e-05-0j -0.000931489-0j -0.00182994-0j -6.40204e-07-0j -0.000806693-0j -0.000584675-0j -0.000665488-0j -0.000212627-0j 
0.00592558-0j 0.000600989-0j 0.000607217-0j 0.000344808-0j 4.97687e-05-0j 0.000426678-0j 0.000248895-0j 6.15856e-05-0j 3.59249e-05-0j -0.0353112-0j 4.2831e-05-0j -0.0411964-0j 3.56925e-06-0j -0.0252275-0j -0.0360468-0j 4.99695e-05-0j 3.05999e-05-0j -0.0148686-0j 4.16412e-06-0j 4.37233e-05-0j 2.54999e-06-0j 1.80349e-05-0j 3.64361e-06-0j 1.50291e-06-0j -0.0365329-0j -0.0045301-0j -0.0412684-0j 1.90346e-05-0j 3.88543e-06-0j -0.0336955-0j 2.28951e-07-0j -0.00511729-0j -0.0340447-0j -0.0294835-0j 2.15019e-05-0j -0.00417825-0j -0.0243227-0j 4.38906e-06-0j 1.75562e-05-0j -0.00422155-0j -0.00777121-0j 2.58628e-07-0j 1.77382e-05-0j -0.00365597-0j 3.58365e-06-0j 1.53617e-05-0j -0.00301602-0j 3.62079e-06-0j 2.11169e-07-0j 3.13569e-06-0j 1.26728e-05-0j -0.000963633-0j 2.13357e-07-0j 2.58681e-06-0j 4.04901e-06-0j 1.84772e-07-0j 8.265e-07-0j 1.5243e-07-0j 4.8702e-08-0j 
-0.0010475-0j 0.00502546-0j 0.00507754-0j 0.00586462-0j 0.000841128-0j 0.0072571-0j 0.00423331-0j 0.00104084-0j 0.000607158-0j -4.2831e-05-0j -0.0344592-0j -4.99695e-05-0j 9.08e-05-0j -3.05999e-05-0j -4.37233e-05-0j -0.0402025-0j -0.0246189-0j -1.80349e-05-0j 0.000105933-0j -0.0351771-0j 6.48706e-05-0j -0.0145098-0j 9.26916e-05-0j 3.82333e-05-0j 0.00645817-0j 0.000259919-0j 0.00729528-0j 0.000650862-0j -0.00631805-0j 0.00595657-0j 7.77936e-06-0j 0.00029361-0j 0.0060183-0j 0.005212-0j 0.000735226-0j 0.000239731-0j 0.00429968-0j -0.00713699-0j 0.00060031-0j 0.000242216-0j 0.00137377-0j 8.78772e-06-0j 0.000606531-0j 0.000209765-0j -0.00582733-0j 0.000525271-0j 0.000173047-0j -0.00588772-0j 7.17514e-06-0j -0.00509891-0j 0.000433326-0j 5.52894e-05-0j 7.2495e-06-0j -0.00420639-0j 0.00013845-0j 6.27825e-06-0j -0.00134396-0j 5.17929e-06-0j 1.65481e-06-0j 
-0.000698336-0j 0.00335031-0j 0.00338502-0j -4.0636e-05-0j 0.000560752-0j -5.02844e-05-0j -2.93326e-05-0j 0.000693895-0j 0.000404772-0j 0.00835148-0j 0.000238768-0j 0.00974339-0j 6.05333e-05-0j 0.00596658-0j 0.00852546-0j 0.000278563-0j 0.000170584-0j 0.00351657-0j 7.06222e-05-0j 0.000243742-0j 4.32471e-05-0j 0.000100539-0j 6.17944e-05-0j 2.54889e-05-0j -2.19793e-05-0j -0.0506808-0j -2.48282e-05-0j -2.24325e-06-0j 4.37777e-05-0j -2.02722e-05-0j 5.18624e-06-0j -0.05725-0j -2.04823e-05-0j -1.77382e-05-0j -2.53402e-06-0j -0.0467445-0j -1.46332e-05-0j 4.94522e-05-0j -2.06902e-06-0j -0.0472289-0j -4.67539e-06-0j 5.85848e-06-0j -2.09046e-06-0j -0.0409014-0j 4.03776e-05-0j -1.81039e-06-0j -0.0337419-0j 4.0796e-05-0j 4.78343e-06-0j 3.53304e-05-0j -1.4935e-06-0j -0.0107807-0j 4.833e-06-0j 2.91461e-05-0j -4.7718e-07-0j 4.1855e-06-0j 9.31231e-06-0j 3.45286e-06-0j 1.10321e-06-0j 
8.7292e-05-0j -0.00127407-0j -0.00128727-0j 5.0795e-06-0j 0.0100516-0j 6.28555e-06-0j 3.66657e-06-0j 0.0124383-0j 0.00725566-0j 3.56925e-06-0j -9.08e-05-0j 4.16412e-06-0j -0.0333681-0j 2.54999e-06-0j 3.64361e-06-0j -0.000105933-0j -6.48706e-05-0j 1.50291e-06-0j -0.0389294-0j -9.26916e-05-0j -0.0238393-0j -3.82333e-05-0j -0.0340633-0j -0.0140504-0j -0.000538181-0j -6.58956e-05-0j -0.00060794-0j 2.80406e-07-0j 0.000784729-0j -0.000496381-0j -0.00884103-0j -7.4437e-05-0j -0.000501525-0j -0.000434334-0j 3.16753e-07-0j -6.07775e-05-0j -0.000358307-0j 0.000886446-0j 2.58628e-07-0j -6.14074e-05-0j -0.000114481-0j -0.009987-0j 2.61308e-07-0j -5.31803e-05-0j 0.00072378-0j 2.26299e-07-0j -4.38715e-05-0j 0.000731281-0j -0.00815435-0j 0.000633308-0j 1.86687e-07-0j -1.40172e-05-0j -0.00823886-0j 0.000522452-0j 5.96475e-08-0j -0.00713506-0j 0.000166926-0j -0.00588612-0j -0.00188064-0j 
-0.000604777-0j -6.13381e-05-0j -6.19738e-05-0j 0.00680707-0j -5.0795e-06-0j 0.00842332-0j 0.00491361-0j -6.28555e-06-0j -3.66657e-06-0j 0.00360393-0j 0.000845555-0j 0.00420459-0j -3.64285e-07-0j 0.00257477-0j 0.00367901-0j 0.00098648-0j 0.000604093-0j 0.00151752-0j -4.24999e-07-0j 0.00086317-0j -2.60258e-07-0j 0.00035604-0j -3.71874e-07-0j -1.5339e-07-0j -1.90346e-05-0j 0.000462351-0j -2.15019e-05-0j -0.035966-0j 7.67048e-05-0j -1.75562e-05-0j -2.33672e-08-0j 0.000522281-0j -1.77382e-05-0j -1.53617e-05-0j -0.0406279-0j 0.000426441-0j -1.26728e-05-0j 8.66472e-05-0j -0.0331725-0j 0.00043086-0j -4.04901e-06-0j -2.63961e-08-0j -0.0335163-0j 0.000373136-0j 7.07472e-05-0j -0.029026-0j 0.000307821-0j 7.14803e-05-0j -2.15523e-08-0j 6.19038e-05-0j -0.0239452-0j 9.83504e-05-0j -2.17756e-08-0j 5.1068e-05-0j -0.0076506-0j -1.88583e-08-0j 1.63165e-05-0j -1.55573e-08-0j -4.97062e-09-0j 
0.000123449-0j -0.00119703-0j -0.00120944-0j -0.000691152-0j 0.00463892-0j -0.000855257-0j -0.0004989-0j 0.00574037-0j 0.00334855-0j -0.000735649-0j 0.00820797-0j -0.000858257-0j 0.00101947-0j -0.000525573-0j -0.000750975-0j 0.00957597-0j 0.00586406-0j -0.000309762-0j 0.00118938-0j 0.00837897-0j 0.000728342-0j 0.00345615-0j 0.00104071-0j 0.000429269-0j 3.88543e-06-0j 0.00902293-0j 4.38906e-06-0j -7.67048e-05-0j -0.0348448-0j 3.58365e-06-0j 0.000131705-0j 0.0101925-0j 3.62079e-06-0j 3.13569e-06-0j -8.66472e-05-0j 0.00832212-0j 2.58681e-06-0j -0.0393613-0j -7.07472e-05-0j 0.00840837-0j 8.265e-07-0j 0.000148777-0j -7.14803e-05-0j 0.00728186-0j -0.0321384-0j -6.19038e-05-0j 0.00600723-0j -0.0324715-0j 0.000121476-0j -0.0281211-0j -5.1068e-05-0j 0.00191934-0j 0.000122734-0j -0.0231987-0j -1.63165e-05-0j 0.000106291-0j -0.00741211-0j 8.76857e-05-0j 2.8016e-05-0j 
6.17247e-05-0j -0.000296128-0j -0.000299197-0j -0.00104391-0j -4.9564e-05-0j -0.00129178-0j -0.000753535-0j -6.13323e-05-0j -3.57772e-05-0j 2.52384e-06-0j 0.0061338-0j 2.94448e-06-0j -5.35044e-06-0j 1.80312e-06-0j 2.57642e-06-0j 0.0071561-0j 0.0043822-0j 1.06272e-06-0j -6.24218e-06-0j 0.00626159-0j -3.82254e-06-0j 0.00258277-0j -5.46191e-06-0j -2.25292e-06-0j 1.94271e-06-0j -1.53159e-05-0j 2.19453e-06-0j 0.0111275-0j 0.00112462-0j 1.79182e-06-0j -4.58403e-07-0j -1.73011e-05-0j 1.81039e-06-0j 1.56785e-06-0j 0.0125699-0j -1.41263e-05-0j 1.29341e-06-0j 0.0012704-0j 0.0102633-0j -1.42727e-05-0j 4.1325e-07-0j -5.17821e-07-0j 0.0103696-0j -1.23605e-05-0j 0.00103727-0j 0.00898036-0j -1.01969e-05-0j 0.00104802-0j -4.22799e-07-0j 0.000907615-0j 0.00740842-0j -3.25796e-06-0j -4.27181e-07-0j 0.000748744-0j 0.00236703-0j -3.69949e-07-0j 0.000239227-0j -3.05193e-07-0j -9.75106e-08-0j 
