-0.224715+0.175306j 0.179056+0.224154j -0.121087+0.0672458j -0.0471339-0.131477j -0.00101785-0.101205j 0.0300895+0.02003j -0.210876+0.0652706j -0.0187231-0.171032j -0.00705068-0.0351657j 0.0560734+0.037467j -0.178077-0.0502131j -0.0224352-0.0716841j -0.095808-0.0918453j 0.0214636-0.126648j -0.144397+0.0352324j -0.094012+0.0734988j -0.118725-0.0471382j 0.027807+0.0234082j 0.0279377-0.0719401j 0.0659114-0.118691j -0.0199436-0.0133037j 0.0609379+5.18729e-05j -0.0469016+0.0366401j -0.0163963-0.136133j 0.120381-0.0349928j -0.0341182+0.0752095j -0.0454663-0.0780863j 0.00522525+0.073146j -0.00417172+0.049386j 0.0435577-0.0567993j -0.00123391-0.0168124j 0.0419384-0.051315j 0.0257873-0.03133j 0.0391541-0.0725789j 0.0753079-0.0318128j -0.0471507-0.0807811j 0.0137847-0.097512j 0.043059-0.0615075j 0.0323882+0.0215321j 0.0257716-0.104864j 0.0165484+0.0414631j 0.0544302+0.026174j -0.0519155+0.029613j -0.0533687-0.129504j 0.0148051+0.0206504j 0.0298334+0.0351601j 0.0623692+0.021825j 0.00432918+0.0159356j -0.0175864-0.021939j 0.000114788+0.0443342j -0.030279-0.0355803j 0.0507017+0.0460915j -0.00890019-0.0229905j 0.0260153+0.0677589j -0.0819489+0.0122487j 0.0847735+0.0365099j -0.0983348-0.0975721j -0.0577077-0.0169809j -0.0456939+0.0112422j -0.0741114-0.0225846j 0.00569901-0.0487999j 0.0291685-0.00167515j 0.00148327-0.0103573j -0.0866109+0.011855j -0.0464595+0.0898999j -0.0434477+0.0227759j 0.0285011+0.00980588j -0.0306342-0.0384546j 0.0859945+0.0251478j -0.126745+0.109911j 0.0900142+0.089715j -0.00939525-0.0308689j 0.0285229+0.0878453j 0.151032-0.0141221j -0.0106333-0.141852j 0.108845-0.249083j 0.248771+0.108656j 
-0.12078-0.0566953j -0.055345+0.119745j 0.0752897+0.241191j -0.2392+0.0649207j 0.0607319+0.0499512j -0.0824272+0.121117j 0.220383+0.137325j -0.096974+0.204164j 0.0739297-0.123377j -0.0597579+0.0410975j -0.0205153-0.0311466j 0.0538126-0.0679153j 0.0233468-0.114049j -0.0879497+0.0094428j -0.155594-0.173019j 0.00494869-0.0683958j -0.0792181+0.06816j -0.0985124-0.0469893j -0.0523429+0.0342408j -0.0237404-0.02395j -0.0241189+0.0518733j 0.00174969-0.0136579j -0.0952598-0.0738823j 0.0172183+0.0698723j 0.103322-0.0052439j -0.0231419-0.0027818j 0.0585423+0.0624631j 0.0795524-0.0324077j 0.0266632-0.0299981j 0.0779995-0.000217468j 0.0201945-0.0171473j 0.0405217-0.0541999j 0.0527519+0.0174096j -0.0508747-0.0131877j 0.0336935-0.0727631j 0.118315-0.0183289j 0.0950795+0.0108063j -0.0114747-0.0648782j -0.050767-0.0133632j 0.0624666-0.0401956j 0.0182507-0.00468016j 0.0746706-0.0344759j 0.0217266+0.0382456j 0.0119851+0.0302339j -0.0224626-0.00225352j -0.0107438-0.0212134j -0.039411-0.0228408j -0.028921+0.0205702j 0.0358393+0.0308265j -0.00265091+0.0490128j 0.111937-0.108264j -0.0637503+0.0233687j -0.0715104-0.00742647j 0.0472568+0.0332076j 0.021284-0.0324696j -0.0162056+0.00195541j 0.0498334-0.103629j -0.0116273+0.0435566j 0.0343139-0.044367j 0.0173083-0.0717758j -0.0747583+0.0319814j -0.0108812-0.109719j -0.043211+0.0607369j -0.0773727-0.0689678j -0.0674321-0.146923j 0.0183904+0.0281745j -0.0452312+0.0421533j 0.101862-0.0523786j 0.0881634-0.0802141j 0.202727+0.11067j 0.0246244-0.217564j -0.117301+0.0667339j 0.0974229-0.0222338j -0.150162-0.0956488j -0.0891971+0.144581j 0.146936-0.0671238j 0.067024+0.146721j 
0.0101968-0.0271111j -0.0282009-0.00943562j -0.0105018-0.0282303j 0.0222476-0.00636703j 0.00105589+0.0169946j 0.00418017-0.015954j 0.0333427-0.0311442j 0.0118075+0.0242462j -0.000251602+0.0147679j -0.012289-0.0118431j 0.055036+0.00754771j 0.00827761+0.0168141j 0.0298037+0.0254791j 0.00623112+0.0275738j 0.0334905-0.00607365j 0.0196346-0.0163538j 0.0314861+0.00644705j -0.000462287+0.0108076j -0.00208497+0.0193591j -0.015253+0.0339332j 0.00116594+0.0131697j -0.0186853+0.00442189j 0.0175436-0.0119105j 0.00282686+0.0196672j -0.0241513+0.0116592j 0.00552953-0.014896j 0.00346051+0.0174254j -0.00543594-0.0154322j -0.00390782-0.0156127j -0.0205496-0.000352571j 0.00262732+0.0119249j -0.0171054+0.0168671j -0.00593198+0.0174513j -0.000350056+0.0165973j -0.0249053+0.00966242j 0.00543056+0.0191813j -0.00428949+0.0277478j -0.0133668+0.00873219j 0.0104823-0.00444293j -0.00737509+0.0223404j 0.0029977-0.00938919j -0.0159115-0.010157j 0.00823238-0.00752109j 0.012645+0.0301617j 0.00337014-0.00187925j -0.00152115-0.00707625j -0.00291847-0.000818721j -0.00987248-0.00652077j 0.00848819+0.00347145j -0.00417024-0.00983431j -0.00518724+0.0207013j -0.0127232-0.00828393j -0.0031485+0.0060223j 0.00252274-0.0169008j 0.019842+0.00106787j -0.0210401-0.0032815j 0.0117731+0.0187517j 0.0118876+0.00388323j 0.00454514+0.015647j 0.00687068+0.0122709j 0.00102688+0.0154022j -0.00239852-0.00209447j -0.00409672+0.00233477j 0.0207385+0.010281j -0.00102339-0.00262439j 0.00554774-0.00635778j 0.00441044+0.00768489j -0.00119896+0.00549912j -0.0286618-0.00815625j 0.018445-0.0212767j -0.00939505-0.00351226j 0.0102762-0.0021452j -0.00804701-0.0177731j -0.0125121-0.0208781j -0.0214195+0.0110831j -0.0364993+0.00931931j -0.0087762-0.0363449j 
0.00167083-0.0218756j -0.02175-0.00130209j -0.00157454+0.0046544j -0.00372016+0.00193803j -0.0165906+0.0266172j -0.0328955-0.0301926j -0.0267306-0.00499164j 0.00982614-0.0128181j 0.00695264+0.00150981j 0.00335954-0.0118309j 0.00650782-0.0116309j -0.00287255+0.0146118j -0.0212421+0.002667j 0.0212423-0.0211385j 0.00635378+0.0276741j 0.004888+0.0206629j 0.0020654-0.0118725j 0.0178463+0.00415378j -0.00659942-0.0138148j -0.00836505+0.0060955j 0.00569368-0.00718053j -0.00461036+0.00198943j 0.0183816+0.00198115j -0.00182269-0.0123742j -0.00520941-0.000277681j 0.00738217-0.00254959j -0.00994626-0.00169951j -0.00915241-0.00416658j -0.0130483-0.00111882j -0.0107218-0.0115328j 0.00411913+0.00415463j 0.00234209+0.00302355j -0.00917581+0.00844184j -0.00996069+0.00545649j 0.00424831+0.0116631j -0.0112445-0.00751824j -0.0132692+0.00382249j 0.00846754+0.0146393j 0.000532201+0.00782203j -0.0141898-0.00717256j -0.0110118+0.00113504j -0.0164581+0.00341227j -0.00729615+0.00156467j -0.00183725+0.0039693j 0.00510229-0.00511289j -0.000388899+0.000835315j 0.00826513-0.010527j -0.00107179-0.00438576j -0.00214411+0.00140005j -0.00719772-0.00041666j -0.019205-0.00239896j 0.0046865-0.0104012j 0.0122425-0.00995738j 0.00561929+0.000297913j -0.00354285+0.00578871j -6.55176e-05-0.0124821j -0.014627+0.0247311j 0.00690595-0.00566088j 0.00154765+0.00762205j -0.00623973+0.00391298j -0.00350454-0.000501238j -0.0192695+0.00537934j -0.00733289+0.00270535j 0.0175706+0.0103897j 0.0125569+0.0269083j 0.00369449-0.0144462j 0.000232599-0.0136285j -0.014709+0.0107266j -0.0147063+0.011795j -0.00627352-0.0184207j -0.018293-0.00492778j -0.0102733+0.0131832j 0.00142153+0.00662203j -0.0178892+0.00447961j 0.00436475+0.0181097j 0.0142441-0.0195061j 0.0196473+0.0139874j 
-0.0122766+0.00672632j 0.00668631+0.0121031j 0.0308645-0.0125987j 0.0115914+0.0305047j -0.0357298-0.00922108j 0.0109047-0.0347898j -0.00559441-0.00213275j 0.00312406-0.0017826j 0.0118373-0.0181504j -0.0154819-0.00238442j 0.023636-0.00789137j 0.0210198+0.0466586j -0.0292725+3.32549e-05j -0.0147391-0.00964127j 0.00936153-0.0146218j 0.00313359-0.00112886j -0.0206413+0.00550621j 0.0231305+0.0012491j 0.0212662-0.00397489j -0.00579205-0.00716573j -0.0123779+0.0203827j -0.00237616-0.00201475j 0.00195963+0.0036127j 0.0115402+0.00721178j 0.0251462-0.0148034j -0.00366918-0.00335439j 0.0038669+0.00477744j -0.010183+0.0169858j -0.00090956+0.00400449j -0.00396085+0.00163908j 0.00632395+0.00737526j 0.0115083+0.00113294j -0.014495+0.0132494j -0.0072418+0.00417973j 0.00258071+0.00519204j 0.00812304+0.00367824j 0.00252506-0.0170578j 0.00549683-0.0182628j -0.00047006+0.00241301j 0.00670041-0.000848335j 0.00752606+0.000597007j 0.000489344+0.00800616j 0.0055935+0.017276j -0.00765561-0.000666863j 0.00301364-0.0268652j 0.0102023+0.00835698j 0.00586396-0.00157201j -0.00804964+0.00635301j 0.0036658+0.00390398j -0.00131216+0.0131245j 0.00588949-0.00194238j -7.8042e-05-0.00230141j -0.00480438-0.0158642j 0.00207972+0.0105844j 0.00480569+0.00720795j 0.00599695+0.00213985j 0.00270684-0.00243663j -0.0257857-0.00503813j 0.0090941+0.017712j -0.00435365+0.000296831j -0.0155034+0.00529534j 0.0054307-0.0350812j -0.0219327-0.00976454j 0.0293508+0.00826771j -0.0118141-0.0140065j 0.00448985-0.0257599j -0.0209208+0.00619366j 0.00243453+0.0262522j -0.035654+0.00475912j 0.00125106-0.0177348j 0.0118325-0.0183316j -0.0235498-0.0318791j -0.0292354+0.0154377j 0.00904032+0.0255062j 0.0239616-0.00847414j -0.0102464-0.00145971j 0.00137301-0.0101937j 
-0.0111168+0.0155729j 0.0152402+0.0109072j -0.0107375-0.0188192j 0.0163782-0.0119792j 0.00355877-0.0234096j 0.0326689+0.00561942j 0.0111887-0.0120254j 0.00211452+0.000358938j -0.00496477+0.00348426j -0.00510838+0.00336442j 0.0139698+0.00889023j 0.00797145-0.00372409j 0.0242451+0.00748977j -0.0115977+0.0184421j 0.00608841-0.0203382j 0.000797213-0.0181794j 0.00624396+0.00906137j -0.00332703+0.00790928j 0.0117766+0.0174083j 0.00432278+0.00465628j -0.00518249+0.0154036j -0.0016145+0.00244832j -0.00698785-0.00511366j -0.0010627+0.00711378j 0.00190116+0.00180794j -0.00379764-0.000468163j 0.00438442+0.00527997j 0.00213352+0.00542924j 0.00649683-0.0022597j -0.00708077+0.00618995j -6.55491e-05+0.00266923j -0.00886301+0.00432448j 0.00527106+0.00293697j 0.0145733-0.00169727j -0.0146408-0.00111478j 0.00590015+0.0109321j 0.00834927+0.00365138j -0.0119553-0.0111117j 0.0108995-0.00898067j 0.00745513+0.0117223j 0.0139767-0.00436616j 0.00494819-0.00384291j 0.00603279-0.00166458j 0.00467038+0.00202504j 0.00075134-0.00127686j 0.00455895-0.00193022j -0.00318579+0.00819717j -0.00649446+0.00368527j 0.0036255-0.000461885j 0.00102419-0.00235704j 0.00739095+0.0142585j -0.00440668+0.00526488j -0.0118891+0.0114615j -0.00190629-0.00493161j 0.00923999-0.0020368j -0.00331327+0.0145621j 0.00776201-0.00956414j -0.00554753+0.00230108j -0.000110878+0.0094786j 0.00423718+0.00790627j 0.00275079+0.00708146j 0.0147237-0.00913582j 0.0026401-0.00447683j -0.00039927+0.00365018j -0.013178-0.0095961j -0.00242713+0.00141459j 0.00279359+0.013982j 0.00172301-0.00323732j -0.00835455-0.0111692j 0.00371455+0.00410585j 0.015425+0.0108295j 0.0139453-0.0143415j -0.00401256-0.00429312j 0.0287531-0.0151816j -0.0146746-0.0279855j -0.0162376-0.0103353j 0.0103545-0.0162476j 
-0.035527-0.00211392j -0.00322283+0.036161j -0.0326436+0.0101172j -0.0131461-0.0302823j 0.00145608+0.0149922j -0.00863166-0.0130573j 0.00141351-0.0138247j 0.0109004+0.00211886j 0.00593062+0.000341589j -0.00456597-0.00898726j 0.0219651-0.00697085j 0.00848865+0.00064645j 0.00302136+0.00590894j 0.0169725-0.00552045j -0.00350373+0.00294095j 0.00644123+0.00185369j 0.00395788-0.00056566j 0.00292959+0.0174893j -0.00890143+0.00441506j -0.0108814+0.0142141j -0.00351286+0.0124166j -0.0100313+0.00479396j 0.0128822-0.0117723j -0.000366932-0.00779579j 0.000854189+0.00759279j 1.8118e-05-0.000140826j -0.00762296+0.0048515j -0.00291835-0.00704292j -0.00735606-0.00962355j -0.0136145-0.0208526j 0.00553343+0.00884722j -0.0067597+0.00324579j 0.000386732+0.0165652j 0.000156892+0.00735719j -0.00702326-0.000647867j -0.0029694+0.00050294j -0.000746017+0.0127753j -0.00269145-0.00189759j 0.0168991+0.00452581j -0.00684195-0.00245106j 0.00405728+0.0027748j -0.0065353-0.00460051j -0.00407413-0.00111204j 0.0044064+0.0113305j 0.00886473+0.00202058j 0.00215601-0.000186511j 0.0112028-0.00696399j -0.0121562-0.00540369j 0.00444261+0.000137743j -0.00493657-0.00028103j -0.0115088+0.00344932j -0.00385041-0.00151003j -0.00675883-0.00287556j 0.0127304-0.00332988j 0.00228196+0.00568135j -0.00955204-0.000899666j -0.00933674+0.00373389j 0.00464614-0.00111497j -0.000762056+0.01418j -0.0109815+0.00630418j -0.00398054+0.00554064j -0.00757559-0.00479019j -0.00546901+0.008582j 0.00330323+0.0124901j -0.00643414+0.017437j 0.000671608-0.00199009j 0.00843912+0.00125422j -0.00950442-0.00465226j -0.00567194-0.00378786j 0.00617935+0.000711939j -0.00128192-0.00852293j -0.00742186+0.00567155j 0.0104214+0.00116228j -0.00465437-0.023179j -0.0213227+0.00454366j 0.00632586-0.0365043j 0.0365302+0.00660785j 
0.00694923-0.00447234j -0.00347776-0.00677991j 0.00802794-0.00571003j 0.00772757+0.00905744j -0.00203525-0.0133794j 0.00499845-0.00105923j -0.00613178+0.00306819j -0.00604956-0.00143438j 0.00381085+0.00280171j 7.77129e-05+0.00751025j -0.0124834-0.00866456j 0.00303065-0.00168276j 0.000973988-0.00218724j -0.0031523-0.00894553j 0.00204082-0.000888909j -0.00430364-0.000319936j -0.00158921-0.000799584j 0.0102484-0.00414028j 0.0047856+0.00289014j 0.00655545-0.004677j 0.00649177-0.0019464j 0.00317355+0.00179364j -0.00546511-0.00178395j -0.000368304-0.00298434j 0.00951594-0.00647788j 0.00112471-0.00222397j 0.000915727+0.00451114j -0.00312956+0.00412164j -0.00373646+0.00166697j -0.00515513+0.00542413j 0.00284388+0.000176157j -4.76286e-05-0.00490192j 0.00328701+0.00237438j 0.00445375-0.00227354j -0.00111755+0.00219712j -0.000370321-0.00176633j 0.00310132+0.000742927j 0.00213538+0.00017387j -0.00154888-0.00653999j -0.00319703-0.00378972j -0.000197791-0.00448221j -0.00380723-0.00054005j 0.00187939+0.00342242j -0.000399804-0.00811203j -0.00261957-0.00512196j 0.00375321+0.000956272j -0.00560321+0.000379734j -0.00331763+0.0027235j 0.000811159+0.000313955j -0.00511957+0.000604563j -0.00230741+0.00793072j -0.00388293+0.000869725j -0.00532107+0.000472551j 0.00056189-0.00115367j 0.00285581+0.000101163j -0.00261885+0.00319163j -0.00596249+0.00693927j 0.0034503-0.00224567j 0.00273435+0.00479338j 0.0008447+0.00617782j -0.00169194+0.0051981j 0.00210013+0.000222402j -0.00208731+0.00307415j 0.00648719+0.00394745j 0.00138356+0.000698403j -5.94483e-05-0.00795626j 0.00187889+0.00244217j -0.000305092-0.00222564j -0.00796909-0.00164683j 0.00753119-0.0080297j -0.00165094-0.00165597j 0.0040643-0.00135488j -0.00347127-0.00377139j 0.00805312-0.015487j -0.0158821-0.00826156j 0.0137861-0.0135711j 0.0138773+0.0133896j 
-0.00646219+0.0171299j 0.0168138+0.00560378j -0.0199951+0.0146462j -0.0148321-0.0238826j -0.00853746-0.0137658j 0.0159431-0.00310646j 0.000947994-0.0113561j 0.0244632+0.00111403j 0.0101836-0.0160688j 0.00551368-0.00637285j -0.00652974+0.0216096j 0.0109963-0.00464388j -0.00358563+0.0130153j -0.0147936-0.0015918j -0.00759626-0.00721655j 0.00310772-0.000988959j -0.0116828+0.00638469j -0.0106098+0.00993187j -0.0116221+0.00448265j -0.00768689-0.00141063j -0.0174666+0.00315551j -0.0063764+0.000482013j 0.00802586-0.0031366j 0.00289646-0.0128423j -0.000413964-0.0080661j -0.00519815-0.00043527j -0.00780271-0.00529263j -0.00069302+0.00878571j 0.00581467+0.00883503j -0.00214204-0.0156475j -0.000154853-0.00310532j -0.00665626-0.00993072j -0.00015516+0.00834984j 0.010856+0.00897692j -0.00285776-0.0107991j -0.00567562+0.00192337j 0.00213736+0.00648586j 0.00145558-0.0128378j 0.0082396+0.0109493j 0.00176705+0.00278833j 0.00371295+0.0122585j 0.00207641+0.00427153j 0.00116023-0.00230695j 0.00275306+0.00348189j 0.000390525-0.000432132j 0.00192253+0.00600028j 0.00846182-0.000212878j -0.000669608-0.00436538j -0.0123434+0.00199625j 0.00365363-0.00198042j -0.0076246-0.00702711j 0.00286785+0.000808324j -0.0130706-0.00245308j 0.00235822+0.00563813j -0.00419951+0.00161728j -0.00533931+0.0102416j 0.00708091-0.00967541j -0.00527738-0.0130498j 0.000900007-0.00538344j -0.0059609+0.00547756j -0.00731758-0.00988582j 0.00331995-0.00251618j 0.00784496+0.00575873j -0.00706856-0.00467633j -0.00724978+0.00619918j -0.00371768+0.00399043j -9.6129e-05-0.00630314j -0.0108798-0.00129539j 0.00915482+0.00665192j -0.0207983-0.00318695j -0.000666138+0.00138308j -0.017496-0.00534405j -0.00573057+0.0198793j -0.0210239+0.00572896j 0.00518588+0.0224563j 0.00503019+0.0106469j -0.0109992+0.00515044j 
-0.00695491+0.00290296j 0.00228246+0.00677469j -0.00753568-0.00160007j -0.000732045-0.00827978j 0.00686043+0.015959j -0.0058413+0.00954998j 0.0154192+0.00659044j -0.0100401+0.00415353j -0.0208276-0.00821241j -0.014707+0.00170794j 0.0284394-0.0119505j -0.00533546+0.0263777j -0.0195866-0.00921526j 0.00547426+0.018619j -0.00615351+0.0155223j -0.00551138-0.00901451j 0.00388443+0.00413268j 0.000496825+0.0133583j -0.00443216-0.0133925j 0.0130675+0.00227608j -0.000892962+0.00573436j -0.0119432-0.00239779j 0.0118431+0.00201608j 0.00713767+0.0132327j -0.00236233+0.0149705j 0.0037801-0.00901806j 0.0107879-0.00345758j -0.00353045-0.00816864j 0.00265978-0.00800342j 0.00719295-0.00236094j 0.00116314-0.000936046j 0.00968993+0.00231927j -0.0119542-0.00212798j -0.017585-0.00184599j 0.00767008+0.00454805j -0.00297598+0.00305132j 0.00228433-0.0109819j 0.00219162+0.00872747j -0.00426783+0.00427763j 0.00905617-0.00437287j -0.00164301-0.000211045j 0.00183492+0.00504986j 0.00192649-0.00629816j 0.00706945+0.00517439j 0.00319237-0.00464405j -0.00676377+0.00956819j 0.0049648-0.00260631j -0.0006533-0.00315047j 0.00630304-0.0112819j -0.00241636+0.00188851j 0.00256692-0.0085083j 0.00292454-0.000893944j 0.0153274-0.0156236j -0.00808579-0.00498628j -0.00799865+0.00496937j 0.00395167-0.00757787j 0.00187821-0.0126048j -0.00937351+0.00152136j 0.00150741-0.00604852j -0.0160411-0.0185746j -0.007477-0.00289656j -0.00175805-0.00141166j -0.00134326+0.00118244j -0.011665+0.00595757j 0.00831821-0.00527769j -0.00540289+0.00499367j -0.0107833+0.0107607j 0.013229+0.0170774j 0.00160369+0.000953895j -0.00508818+0.0206752j 0.00247657+0.00653624j 0.00646222+0.0161805j 0.021281-0.00473624j -0.00174562+0.00208216j 0.00342104+0.00134727j -0.0177327+0.011156j -0.0112226-0.0174753j 
-0.0148702-0.00383104j -0.0045888+0.0149265j 0.00103726+0.00383845j -0.00610229+0.00192259j -0.0116898+0.0200345j -0.0105827-0.0190054j -0.00611562-0.00594909j 0.000667097-0.00492077j -0.00662918+0.0186328j 0.015502-0.00129209j 0.00288107+0.00454804j 0.00430797-0.00472767j 0.00809352+0.0118948j 0.0194581+0.00275197j 0.0189815-0.00408422j 0.00472454+0.0196124j 0.00655934-0.00694137j -0.00590741-0.014301j 0.00543957+0.00674835j -0.017388-0.0050695j 0.00145257-0.00413699j 0.0125496+0.0019581j -0.00799006+0.000618142j -0.0046023+0.0019609j -0.00788407+0.00457388j -0.0133516+0.0137024j -0.00135949-0.00927704j 0.00901784+0.00153286j 0.000648654-0.000445997j 0.00436707+0.00123275j -0.00694344+0.00234812j -0.003865+0.0151137j 0.00234328-0.00767871j -0.00290475-0.00090431j 0.00345845-0.00228652j 0.00874475+0.00323717j -0.0115966-0.00688877j 0.00129233-0.00449951j 0.00277752+0.00169829j -0.00467476+0.00698989j 0.00155486-0.00035542j 0.0119687-0.00274066j -0.0126694-0.00201109j -0.0113717+0.000310058j 0.000554385+0.0161563j 0.00572264-0.0124512j 0.0010555+0.00297186j 0.00324919+0.00483672j -0.00344271+0.00851782j 0.00760043+0.00900819j 0.00934718-0.000922175j 0.00618884+0.00193699j 0.0028794+0.00736123j 0.00189104+0.0126321j 0.00646002+0.000342614j 0.0110063-0.0030172j 0.00123141-0.00332311j -0.0071244+0.0182158j -0.0145012+0.00246027j 0.011433+0.00480806j 0.0154351+0.00757089j 0.000724538-0.00508602j 0.000638082-0.0201944j 0.00887842-0.00404288j -0.0134706-0.0124943j 0.0116959+0.0117243j 0.0115959-0.000283564j 0.0156498-0.0135498j 0.00755254+0.0053383j 0.00594203+0.00372881j 0.00452334+0.000394255j 0.00751901-0.00824649j -0.00871458-0.0106751j -0.00592325+0.0245718j 0.0238574+0.0052976j -0.0159105-0.00457705j 0.00454659-0.0156225j 
