-0.0367194-0j -0.045438-0j -0.0265055-0j -0.00456118-0j -0.00532138-0j -0.00325867-0j -0.00465621-0j -0.00192059-0j -0.00286668-0j -0.000413769-0j -0.00323826-0j -0.000467402-0j -0.00264402-0j -0.00267142-0j -0.000381632-0j -0.00231352-0j -0.000385587-0j -0.00190856-0j -0.000333928-0j -0.000609793-0j -0.000275477-0j -8.80161e-05-0j -0.00212331-0j -0.000375352-0j -3.12793e-05-0j -0.00235007-0j -0.000415438-0j -0.0018579-0j -3.46199e-05-0j -0.0012386-0j -0.00187715-0j -0.000328433-0j -0.00216755-0j -0.000218955-0j -0.000331836-0j -2.73694e-05-0j -0.000766344-0j -1.82463e-05-0j -0.0012644-0j -2.7653e-05-0j -0.0013411-0j -0.000383172-0j -0.000135472-0j -0.000782309-0j -3.1931e-05-0j -0.000223517-0j -0.000237075-0j -1.12893e-05-0j -0.000204085-0j -1.86264e-05-0j -1.97563e-05-0j -0.000138294-0j -1.15245e-05-0j -3.60774e-05-0j -3.00645e-06-0j 
0.00592558-0j 0.00733253-0j 0.00427731-0j -0.0348174-0j -0.0406203-0j -0.0248747-0j -0.0355428-0j -0.0146606-0j 0.000462608-0j -0.00638371-0j 0.000522571-0j -0.00721117-0j 0.000426678-0j 0.000431099-0j -0.0058879-0j 0.000373343-0j -0.00594891-0j 0.000307992-0j -0.00515191-0j 9.8405e-05-0j -0.00425011-0j -0.00135793-0j 0.000342648-0j -0.00286522-0j -0.0007264-0j 0.000379242-0j -0.00317121-0j 0.000299817-0j -0.000803977-0j 0.000199878-0j 0.000302924-0j -0.00250707-0j 0.000349786-0j -0.00167138-0j -0.00253305-0j -0.0006356-0j 0.000123668-0j -0.000423733-0j 0.000204042-0j -0.000642186-0j 0.000216419-0j -0.00292491-0j -0.00103411-0j 0.000126245-0j -0.000741533-0j -0.0017062-0j -0.0018097-0j -0.000262171-0j 3.2934e-05-0j -0.000432561-0j -0.0004588-0j -0.00105566-0j -0.000267633-0j -0.000275394-0j -6.98188e-05-0j 
0.00483821-0j 0.00598698-0j 0.00349241-0j 0.000600989-0j 0.000701153-0j 0.000429367-0j 0.000613509-0j 0.00025306-0j -0.0363417-0j 5.45189e-05-0j -0.0410524-0j 6.15856e-05-0j -0.0335191-0j -0.0338665-0j 5.02844e-05-0j -0.0293292-0j 5.08055e-05-0j -0.0241954-0j 4.39989e-05-0j -0.00773054-0j 3.62972e-05-0j 1.15971e-05-0j -0.0407738-0j -0.00475845-0j 4.12141e-06-0j -0.0451284-0j -0.00526664-0j -0.0356771-0j 4.56157e-06-0j -0.0237847-0j -0.0360468-0j -0.00416364-0j -0.0416233-0j -0.00277576-0j -0.00420679-0j 3.60624e-06-0j -0.0147161-0j 2.40416e-06-0j -0.0242802-0j 3.64361e-06-0j -0.0257531-0j -0.00485759-0j -0.00171742-0j -0.0150226-0j 4.20728e-06-0j -0.00283359-0j -0.00300548-0j 1.4875e-06-0j -0.00391902-0j 2.45424e-06-0j 2.60312e-06-0j -0.0017532-0j 1.51849e-06-0j -0.000457364-0j 3.96134e-07-0j 
-0.000698336-0j -0.000864146-0j -0.000504085-0j 0.00829328-0j 0.0096755-0j 0.00592501-0j 0.00846606-0j 0.00349207-0j -5.45189e-05-0j -0.0352069-0j -6.15856e-05-0j -0.0397705-0j -5.02844e-05-0j -5.08055e-05-0j -0.0324724-0j -4.39989e-05-0j -0.0328089-0j -3.62972e-05-0j -0.0284134-0j -1.15971e-05-0j -0.0234398-0j -0.00748914-0j 0.00588519-0j 0.000682477-0j -0.00815573-0j 0.00651372-0j 0.000755363-0j 0.00514954-0j -0.00902674-0j 0.00343303-0j 0.00520291-0j 0.000597167-0j 0.0060078-0j 0.000398111-0j 0.000603355-0j -0.00713627-0j 0.00212408-0j -0.00475751-0j 0.00350455-0j -0.00721022-0j 0.00371714-0j 0.000696695-0j 0.000246319-0j 0.00216833-0j -0.00832564-0j 0.000406405-0j 0.000431058-0j -0.00294356-0j 0.000565662-0j -0.00485663-0j -0.00515123-0j 0.00025145-0j -0.00300488-0j 6.5597e-05-0j -0.000783898-0j 
-0.000604777-0j -0.000748373-0j -0.000436551-0j 0.00355354-0j 0.00414579-0j 0.00253877-0j 0.00362757-0j 0.0014963-0j 0.00913265-0j 0.000651535-0j 0.0103164-0j 0.000735987-0j 0.00842332-0j 0.00851061-0j 0.000600931-0j 0.00737041-0j 0.000607158-0j 0.00608028-0j 0.000525815-0j 0.00194268-0j 0.000433775-0j 0.000138593-0j -3.49714e-05-0j -0.0565641-0j 7.41379e-05-0j -3.87062e-05-0j -0.062605-0j -3.05999e-05-0j 8.20556e-05-0j -2.04e-05-0j -3.0917e-05-0j -0.0494936-0j -3.56999e-05-0j -0.0329957-0j -0.0500065-0j 6.48706e-05-0j -1.26218e-05-0j 4.32471e-05-0j -2.0825e-05-0j 6.55429e-05-0j -2.20882e-05-0j -0.0577426-0j -0.0204151-0j -1.28848e-05-0j 7.56824e-05-0j -0.0336832-0j -0.0357264-0j 2.67578e-05-0j -3.36131e-06-0j 4.41481e-05-0j 4.68261e-05-0j -0.0208404-0j 2.73152e-05-0j -0.00543673-0j 7.12585e-06-0j 
7.12736e-05-0j 8.81966e-05-0j 5.1448e-05-0j -0.00127407-0j -0.00148642-0j -0.000910241-0j -0.00130061-0j -0.000536476-0j -0.000535364-0j 0.011011-0j -0.000604758-0j 0.0124383-0j -0.000493783-0j -0.0004989-0j 0.0101558-0j -0.00043206-0j 0.0102611-0j -0.000356431-0j 0.00888634-0j -0.000113882-0j 0.00733085-0j 0.00234224-0j 4.12141e-06-0j 0.0100877-0j -0.0385301-0j 4.56157e-06-0j 0.0111651-0j 3.60624e-06-0j -0.0426451-0j 2.40416e-06-0j 3.64361e-06-0j 0.00882676-0j 4.20728e-06-0j 0.00588451-0j 0.00891823-0j -0.0337139-0j 1.4875e-06-0j -0.0224759-0j 2.45424e-06-0j -0.0340633-0j 2.60312e-06-0j 0.0102979-0j 0.00364085-0j 1.51849e-06-0j -0.0393329-0j 0.0060071-0j 0.00637149-0j -0.0139063-0j 3.96134e-07-0j -0.0229442-0j -0.024336-0j 0.0037167-0j -0.014196-0j 0.000969593-0j -0.00370337-0j 
-3.25318e-06-0j -4.0256e-06-0j -2.34827e-06-0j 9.71913e-05-0j 0.00011339-0j 6.94368e-05-0j 9.92161e-05-0j 4.09246e-05-0j -2.53975e-07-0j -0.0016929-0j -2.86895e-07-0j -0.00191233-0j -2.34249e-07-0j -2.36676e-07-0j -0.00156141-0j -2.04968e-07-0j -0.00157759-0j -1.6909e-07-0j -0.00136623-0j -5.4025e-08-0j -0.00112709-0j -0.000360109-0j -1.88116e-07-0j 7.99813e-06-0j 0.0183524-0j -2.08206e-07-0j 8.85231e-06-0j -1.64601e-07-0j 0.0203124-0j -1.09734e-07-0j -1.66307e-07-0j 6.99837e-06-0j -1.92035e-07-0j 4.66558e-06-0j 7.07089e-06-0j 0.0160583-0j -6.78946e-08-0j 0.0107056-0j -1.1202e-07-0j 0.0162247-0j -1.18816e-07-0j 8.16476e-06-0j 2.88668e-06-0j -6.93091e-08-0j 0.0187347-0j 4.76278e-06-0j 5.05169e-06-0j 0.00662373-0j -1.8081e-08-0j 0.0109286-0j 0.0115915-0j 2.94682e-06-0j 0.00676172-0j 7.6875e-07-0j 0.00176396-0j 
0.0336554-0j 0.000592787-0j -0.0475501-0j 0.00418057-0j 6.94231e-05-0j 0.00298674-0j -0.00414617-0j -0.00518074-0j 0.00262746-0j 0.000379242-0j 4.22465e-05-0j 6.09776e-06-0j 0.00242339-0j -0.0023788-0j 0.000349786-0j 3.01824e-05-0j -0.00034335-0j -0.00342389-0j 4.35645e-06-0j -0.00219586-0j -0.000494197-0j -0.000316945-0j 0.00194613-0j 0.00034403-0j 2.86692e-05-0j 3.06592e-05-0j 5.41984e-06-0j 0.00170286-0j 4.51653e-07-0j 0.00113524-0j -0.00167153-0j 0.000301027-0j 2.8278e-05-0j 0.000200684-0j -0.000295488-0j 2.50855e-05-0j 0.000702395-0j 1.67237e-05-0j -0.0022683-0j -2.4624e-05-0j -0.0011942-0j 4.99889e-06-0j 0.000124167-0j -0.00211026-0j 4.16574e-07-0j -0.000400983-0j -0.000211107-0j 1.03473e-05-0j -0.000919298-0j -3.34152e-05-0j -1.75922e-05-0j -0.000373045-0j -3.10871e-05-0j -0.00016251-0j -1.35425e-05-0j 
-0.00532138-0j -9.37279e-05-0j 0.00751833-0j 0.0312673-0j 0.000519228-0j 0.0223384-0j -0.03101-0j -0.0387477-0j -0.000415438-0j 0.0057328-0j -6.67976e-06-0j 9.21767e-05-0j -0.000383172-0j 0.000376122-0j 0.00528754-0j -4.77225e-06-0j -0.00519025-0j 0.000541365-0j 6.58542e-05-0j 0.000347196-0j -0.00747052-0j -0.00479109-0j -0.00030771-0j 0.00257307-0j 0.000652333-0j -4.84765e-06-0j 4.0536e-05-0j -0.000269246-0j 1.02768e-05-0j -0.000179498-0j 0.000264292-0j 0.00225143-0j -4.47114e-06-0j 0.00150096-0j -0.00221001-0j 0.000570791-0j -0.000111058-0j 0.000380528-0j 0.00035865-0j -0.000560289-0j 0.00018882-0j 3.73876e-05-0j 0.000928669-0j 0.000333662-0j 9.47864e-06-0j -0.00299902-0j -0.00157891-0j 0.000235439-0j 0.000145354-0j -0.000760323-0j -0.00040029-0j -0.00279007-0j -0.000707349-0j -0.00121545-0j -0.000308144-0j 
-0.00420692-0j -7.40984e-05-0j 0.00594376-0j -0.000522571-0j -8.67789e-06-0j -0.000373343-0j 0.000518272-0j 0.000647593-0j 0.0315998-0j -4.74052e-05-0j 0.000508088-0j -7.6222e-07-0j 0.0291455-0j -0.0286092-0j -4.37233e-05-0j 0.000362996-0j 4.29188e-05-0j -0.0411783-0j -5.44556e-07-0j -0.026409-0j 6.17746e-05-0j 3.96181e-05-0j -0.000243266-0j 0.00413757-0j -3.58365e-06-0j -3.83241e-06-0j 6.51831e-05-0j -0.000212858-0j -5.64567e-08-0j -0.000141905-0j 0.000208941-0j 0.00362037-0j -3.53475e-06-0j 0.00241358-0j -0.00355376-0j -3.13569e-06-0j -8.77994e-05-0j -2.09046e-06-0j 0.000283537-0j 3.078e-06-0j 0.000149275-0j 6.01204e-05-0j 0.00149333-0j 0.000263783-0j -5.20717e-08-0j -0.00482252-0j -0.00253893-0j -1.29341e-06-0j 0.000114912-0j 4.1769e-06-0j 2.19903e-06-0j -0.00448652-0j 3.88589e-06-0j -0.00195447-0j 1.69282e-06-0j 
-0.00280461-0j -4.9399e-05-0j 0.00396251-0j -0.000348381-0j -5.78526e-06-0j -0.000248895-0j 0.000345515-0j 0.000431728-0j -0.000218955-0j -3.16035e-05-0j -3.52054e-06-0j -5.08147e-07-0j -0.000201949-0j 0.000198233-0j -2.91489e-05-0j -2.5152e-06-0j 2.86125e-05-0j 0.000285325-0j -3.63037e-07-0j 0.000182988-0j 4.11831e-05-0j 2.64121e-05-0j 0.0474337-0j -2.86692e-05-0j -2.3891e-06-0j 0.000747268-0j -4.51653e-07-0j 0.0415045-0j -3.76378e-08-0j 0.0276696-0j -0.0407408-0j -2.50855e-05-0j 0.000689229-0j -1.67237e-05-0j 2.4624e-05-0j -2.09046e-06-0j 0.0171197-0j -1.39364e-06-0j -0.0552861-0j 2.052e-06-0j -0.0291066-0j -4.16574e-07-0j -1.03473e-05-0j -0.0514341-0j -3.47145e-08-0j 3.34152e-05-0j 1.75922e-05-0j -8.62272e-07-0j -0.0224064-0j 2.7846e-06-0j 1.46602e-06-0j 3.10871e-05-0j 2.59059e-06-0j 1.35425e-05-0j 1.12854e-06-0j 
