-0.524997-0.000205319j 0.473384+0.429861j -0.475976+0.427896j 0.0186249+0.319209j -0.221473+0.174436j 0.296167-0.0984604j -0.293443-0.0989928j -0.220809-0.176015j -0.0184594+0.318173j 0.133793+0.000462033j -0.0295621-0.0777405j -0.0114418-0.180985j -0.0321141-0.0619294j -0.126434+0.0300259j -0.0428948+0.085861j 0.142381-0.0808722j -0.00498347-0.000852905j -0.142401-0.0823012j 0.0463123+0.0870686j 0.123899+0.0291309j -0.0325003+0.061376j 0.01343-0.180608j 0.0310723-0.0803307j -0.132973-0.000582678j 
-0.0255583+0.0534214j -0.248452+0.209481j 0.110954+0.304866j 0.0344952-0.0179502j 0.562706-0.127497j 0.0598498-0.0306413j -0.126416+0.0367018j -0.312889-0.0256445j -0.536363-0.0400972j -0.1253-0.0674371j 0.11666+0.211841j -0.0947099-0.153428j -0.125041+0.0604227j -0.0362736+0.127321j 0.0447792+0.128149j -0.0027173-0.0128739j -0.200792+0.0251435j -0.0668849-0.00575713j -0.0160894-0.0636862j 0.235075+0.0350701j 0.0314304+0.0215753j 0.0831132+0.0324325j 0.128355+0.177531j 0.283947-0.223315j 
0.0250682+0.0533026j 0.112328-0.307325j -0.250457-0.209705j -0.534785+0.0411215j 0.308417-0.0243077j -0.127307-0.0350975j 0.062672+0.0312097j -0.56159-0.1267j 0.0394238+0.0187587j 0.28612+0.224792j 0.131157-0.176806j 0.086365-0.0304927j -0.0309034+0.0216833j 0.23261-0.033519j -0.022406+0.0642832j -0.0687992+0.00407058j 0.203071+0.024555j -0.00257938+0.0116542j 0.0437669-0.129788j -0.0392897-0.123581j 0.122958+0.060445j -0.0967465+0.155053j 0.115585-0.212508j -0.125961+0.0682715j 
-0.0159786-0.104088j -0.0748893+0.13831j 0.176556+0.0710464j 0.0212272+0.0671369j 0.154369+0.130859j 0.0104806+0.00946984j 0.166341-0.124595j 0.0377791+0.0161072j -0.0710282+0.109878j 0.0101862+0.00281516j -0.0176425-0.0313905j 0.0248301+0.0470025j 0.00710984-0.0416758j -0.0213086-0.113418j -0.0660244-0.276728j 0.0213397+0.00138076j 0.00597777-0.0532504j -0.35309-0.047149j 0.072663+0.0126224j -0.213231-0.264558j 0.0469092-0.117372j 0.0365834-0.240655j 0.292919+0.0457586j 0.288077+0.19341j 
-0.146124+0.0498236j 0.130901+0.113902j 0.0470467-0.137211j -0.0695817-0.0260573j -0.111428+0.0930351j 0.0525344+0.00580046j 0.0110061+0.24501j -0.0693433+0.103573j -0.147112-0.0392645j 0.0123499-0.00625547j -0.0010672+0.0102343j -0.0266729-0.000192631j 0.129995-0.0354197j 0.157805-0.117905j 0.21026-0.230248j 0.0570884-0.0185241j -0.0666213+0.0873458j -0.16027+0.240497j 0.0898952-0.20803j -0.0906871+0.413119j 0.116491+0.284031j 0.21487-0.111504j 0.144047+0.127602j -0.0637354+0.124259j 
0.0465258+0.142899j -0.0352374+0.00405298j 0.00455602+0.0567247j 0.178712+0.0986932j 0.111814-0.0279093j -0.0999984+0.164661j 0.0455193-0.108448j 0.0170585-0.122597j -0.00163459+0.106823j 0.00540731+0.0533901j -0.0255893-0.130457j 0.0446067+0.0876088j -0.150801+0.0267875j -0.0770624-0.0234263j 0.203663+0.12683j -0.0706052-0.0510248j 0.082361+0.422346j 0.09405+0.12942j 0.0725425+0.0194911j 0.124313+0.269809j -0.168737+0.0882517j 0.161618+0.144955j -0.17084-0.121942j 0.0281149+0.0508956j 
-0.044911+0.142539j 0.00266959-0.0552115j -0.0339393-0.00202234j -0.00346175-0.107682j -0.0149742-0.123873j 0.0447854+0.103718j -0.100978-0.165169j -0.110449-0.0293093j 0.178166-0.0997053j 0.0245052-0.0503895j -0.173635+0.123232j 0.160461-0.146787j 0.167852+0.0895338j 0.12651-0.278941j 0.0650619-0.00804162j 0.0967996-0.13449j -0.0806904+0.417597j -0.0667859+0.0429532j 0.201556-0.124928j -0.0805923+0.0174268j 0.152588+0.0215117j 0.0391565-0.0885534j -0.0250614+0.128537j 0.0072113-0.0554596j 
-0.145695-0.0476791j -0.0489809-0.137675j -0.131292+0.114706j 0.148306-0.0413073j -0.068515-0.103702j -0.0102407+0.248656j -0.0523642+0.00373128j -0.113594-0.0925167j 0.0717986-0.02639j 0.0650904+0.123713j -0.142131+0.127852j -0.215653-0.110898j 0.113495-0.287312j 0.0891259+0.406355j -0.0890464-0.212626j 0.162451+0.239429j -0.0655283-0.0746612j -0.0566986-0.0177503j -0.214056-0.234367j -0.15059-0.107087j 0.128573+0.0353451j 0.0287587+0.00194243j -0.00204448+0.00908342j -0.01184-0.00760245j 
0.0162844-0.103345j 0.17545-0.0709082j -0.0741308-0.138022j -0.0685823-0.11388j -0.038013+0.0163518j 0.16952+0.124411j 0.0101976-0.0116674j -0.152142+0.132329j 0.0220618-0.0678478j 0.286412-0.196139j 0.292362-0.0509861j 0.042129+0.23625j -0.0443189-0.116503j -0.20843+0.262114j 0.0763368-0.0209252j -0.355529+0.0490323j -0.0115714-0.0460549j 0.0198713+0.00262967j -0.0616135+0.279173j -0.021155+0.108015j -0.00602854-0.0394237j 0.0264717-0.0504453j -0.0172123+0.0337787j 0.0115103-0.00347856j 
0.0839045-0.0310766j -0.0741934-0.00768092j -0.00709983-0.0169487j -0.00838269-0.0124532j -0.0512164-0.0160014j 0.0247096+0.00308689j -0.133866+0.0908693j -0.0668478+0.0176219j -0.137319-0.175542j 0.0083129+0.00773342j -0.0330625+0.00664664j 0.0171461-0.0134184j -0.031217+0.0678451j -0.023675+0.0666252j -0.0335237+0.0546557j -0.0044742+0.00308461j 0.0271299-0.0290358j 0.147787+0.218595j -0.0104235-0.0557489j 0.0146811+0.109789j -0.0462122+0.0243361j 0.0661919-0.0788281j -0.00216214-0.0962644j -0.0608766-0.0796136j 
-0.0498265+0.0895831j 0.0220067-0.0784555j 0.0747111-0.013745j -0.0440028+0.036575j -0.0338753+0.081603j 0.0566301-0.0155511j -0.0190169-0.0824371j 0.0555399+0.0395186j 0.0214955-0.196308j 0.0171922-0.0338015j 0.0220529+0.102059j -0.0248642-0.0331413j 0.106735+0.124217j 0.109647+0.0543723j 0.0845934+0.00165686j 0.0122294-0.00996162j 0.0149604-0.0734322j -0.00779015+0.0215948j 0.00614968-0.0171509j -0.141166+0.100963j -0.152601+0.124762j 0.0476779-0.184311j 0.1721-0.162164j 0.0696179-0.0141128j 
