-0.0251492+0.104225j 0.0301785-0.00499389j -0.0134774+0.00385977j -0.116223+0.0486271j -0.0285722+0.0154365j 0.0420378+0.0258948j 0.097386+0.00788029j 0.0554688+0.0193632j 0.0302566+0.0338095j 0.0151289+0.0131407j 0.0398108+0.0185174j -0.00491543+0.0196153j 0.0592107+0.0783189j 0.010466-0.0491502j 0.0153503+0.0232237j 0.0418036+0.0406119j -0.00432277-0.019834j -0.00483474-0.0544475j -0.00825332+0.0197622j 0.0283692+0.0289195j -0.0166128+0.052734j -0.000250163-0.0294198j 0.033641+0.0724809j 0.0261594+0.0319389j 0.0152661+0.000116924j 0.00732042-0.0319902j -0.00863097-0.0214792j -1.46901e-05-0.0178384j 0.000310715-0.0249393j -0.0126872-0.0420695j 0.0351911-0.0488576j 0.0240124-0.0203578j -0.0699845-0.0466454j 0.0962626-0.0414814j 0.0217596+0.0375939j 0.0455901-0.0613108j -0.0345995-0.0183656j -0.0842358-0.0643856j 0.0475005-0.0218156j 0.0213577-0.0614276j -0.067256-0.199095j -0.168056-0.0949084j -0.175379+0.189187j -0.186845-0.0961905j 0.102338+0.0291224j -0.0507906-0.0916899j -0.0588116-0.0703647j 0.0173077+0.111572j 0.0528578-0.0287486j -0.100072-0.180357j 0.205975-0.318057j 0.326074-0.126781j 
-0.0241405+0.0168088j -0.00579337+0.111593j 0.0872669-0.0556778j -0.0184132+0.00994904j 0.0243355+0.00566279j -0.0316832+0.0251253j 0.0741315-0.0011514j -0.0876379-0.0318336j 0.0536562+0.0442118j 0.00826845+0.0050162j -0.0320103-0.0136522j -0.103046-0.0459807j -0.00321849-0.0245405j -0.0107932+0.00893538j -0.00941379-0.0336986j 0.00801215-0.0228245j -0.0290805+0.0218204j 0.045318+0.041594j -0.00130086-0.00897545j 0.0390405+0.0059951j 0.0134238+0.0124268j 0.000871375-0.0425946j -0.0104538-0.0185167j 0.00838137-0.0102871j 0.0082756+0.0324936j -0.0284775-0.0193714j -0.00322991+0.0781056j -0.00835205+0.0248496j -0.00771721-0.0258883j -0.056055-0.0153809j 0.0259805-0.00610855j 0.0802908-0.0868151j -0.00589002-0.00260471j 0.00920347+0.000265065j -0.0234805+0.0495371j 0.0649385+0.061346j 0.0657856-0.0433612j 0.0403974-0.0602866j 0.00764152-0.0291347j 0.120982-0.0224685j 0.209272+0.0538526j -0.00943695-0.228687j -0.147326-0.152555j 0.165506-0.190135j 0.0457207+0.105131j 0.0575948+0.0277342j 0.0197122-0.148568j -0.0511745-0.0189255j -0.100514-0.169789j -0.0402427-0.00353108j -0.305492+0.138359j 0.182941-0.323543j 
0.010946-0.033377j -0.0380325-0.0812562j -0.0248624+0.0127729j -0.0240296+0.0321402j 0.0546385-0.0611489j 0.0602263-0.0116227j -0.0346757-0.000872126j 0.0211101-0.0122214j 0.0585242-0.0546884j 0.0595587-0.034794j -0.0645644+0.0944748j 0.10986+0.0271988j 0.0925366+0.0590933j 0.0668703+0.0140069j -0.0304511+0.0398022j -0.00111741-0.0111769j 0.0363253-0.00332422j -0.0601426+0.0168209j -0.0654705-0.0308876j -0.0907222+0.0135081j -0.0637853+0.0231904j -0.0504757-0.111984j 0.000135234+0.0332072j 0.00941677+0.0746492j 0.0392951-0.025582j -0.0836876-0.0758316j 0.0108953-0.026584j 0.0545847+0.0373858j 0.0533907-0.0270408j 0.0532513+0.0719569j 0.014337-0.139805j 0.0892681-0.125623j -0.1149-0.0106958j -0.0197721-0.0018232j 0.225723+0.11471j -0.0148673-0.0417114j -0.0648424+0.0332159j 0.0183651+0.0764635j -0.229902-0.130006j -0.0776911+0.0667492j -0.119485-0.0824261j 0.000767057-0.0571131j -0.0363436-0.300705j 0.0491971+0.0233261j 0.0541163+0.0902006j -0.116268-0.0828764j 0.0147084-0.124071j 0.0546337-0.115772j -0.124173+0.11697j -0.0828282-0.10516j -0.0140778+0.196942j -0.18814+0.12745j 
0.0468554+0.0823217j 0.0337096-0.0468851j -0.00824192+0.0261098j -0.0249362-0.0247646j -0.0360226+0.0622564j 0.064938-0.0978232j 0.0536652-0.0114102j -0.08554-0.0034173j 0.0274281-0.0264232j 0.0512574+0.00214154j 0.0705374-0.029921j -0.0276381-0.0113167j -0.0596896-0.0383618j 0.0596089+0.00893711j -0.0317544-0.0416218j 0.000321557+0.00090403j -0.00840069+0.0217425j 0.0825648+0.0282694j -0.121655-0.00129753j -0.0295692-0.0175532j -0.113368+0.0341264j 0.0352473-0.0680453j -0.0139225-0.00352961j 0.035883+0.0171661j -0.00648684+0.0661212j 0.00490348-0.0822936j 0.00491384+0.0713918j 0.0132495+0.115764j -0.0624087-0.0485341j -0.0962109-0.00720718j 0.110129-0.0789524j 0.0670413+0.0832288j -0.0462643-0.200846j -0.12569+0.0655451j 0.0030557+0.0713244j 0.0627376-0.0963624j 0.10881-0.044569j -0.0879433-0.0240468j 0.104425-0.153666j 0.0254922-0.0627479j 0.0241895-0.0740484j 0.0755691+0.0728249j 0.300147-0.101884j -0.107769+0.0146813j -0.052183+0.275015j -0.0199791+0.0307656j -0.117072+0.0582563j 0.0721145-0.103753j 0.000958363-0.110484j 0.152724-0.115431j 0.192863-0.119316j -0.033001+0.165273j 
0.0413033-0.0216293j -0.00652782-0.032351j -0.0101497-0.00914134j -0.0196473-0.0923183j -0.020337+0.0476767j 0.021578-0.15179j 0.0294504-0.0182636j -0.0915223+0.055213j -0.0439218-0.00296797j 0.0689819-0.0103354j 0.0325237-0.0471518j -0.0615125+0.0433682j -0.0975062+0.00445273j 0.0110074-0.029702j -0.00567181-0.0309336j 0.00225095+0.0475545j -0.0471888+0.0131841j -0.0320494-0.0294175j -0.0294006-0.0468204j 0.0542155-0.128404j -0.0832049+0.0206851j 0.114256+0.0441359j 0.022663-0.0376745j 0.0470338-0.0577774j -0.0335549+0.04043j 0.155927-0.102252j -0.0480204-0.0230877j 0.11338+0.118738j -0.0831324-0.0512526j 0.0398049+0.114886j -0.0294113-0.0807933j -0.0253229+0.0255524j -0.0991952+0.0825497j -0.0286757-0.00946472j -0.0923405-0.160169j -0.0265402-0.0733098j 0.0317869-0.0799989j 0.0237841+0.00574004j -0.137794-0.17284j 0.0158122+0.140789j -0.0103165-0.0656568j -0.106072-0.0837889j -0.0231347+0.149399j 0.263999-0.0242358j 0.112785-0.175948j 0.253272-0.056334j 0.0935496+0.306662j -0.150134+0.315532j -0.123324+0.0399022j 0.0677386-0.00428456j -0.0330222+0.0243989j -0.00422606+0.076943j 
0.00670085-0.00699926j -0.033368-0.080499j -0.0140848+0.0764848j 0.0173734-0.0180185j -0.022935+0.0553181j -0.0104931+0.0470207j -0.00753922-0.0500747j 0.0151922-0.0062091j -0.0225463+0.00892892j 0.0578213-0.0649365j 0.041218+0.0168019j -0.0488568+0.0334626j -0.0865382-0.0798709j -0.0668411+0.0095918j 0.0863303-0.0143729j 0.0542452-0.0100662j 0.0520205-0.0102483j 0.0552062-0.000464311j 0.141386-0.0898234j -0.0208811-0.0332824j -0.110815-0.00758988j -0.0505986+0.0761408j -0.0246612+0.0444235j -0.0922486-0.0675558j 0.105099-0.0480649j 0.0198736+0.107826j -0.0230799-0.270352j -0.0512995+0.0225191j 0.0809521-0.0852068j -0.144026-0.127367j -0.00308429-0.0409454j -0.128979+0.0106584j -0.223278-0.185272j -0.0417482-0.116405j 0.134191+0.112712j 0.0308039-0.0158164j 0.0305752+0.0645656j 0.285152-0.115504j 0.0345348+0.000919461j 0.0281002+0.00702219j -0.00212174+0.0292489j -0.0628012-0.0808695j 0.0624916+0.00473051j 0.102125+0.0150162j 0.0221677-0.0841547j 0.164215-0.0222376j 0.108606-0.10987j -0.114465+0.123026j 0.076165+0.0212442j 0.0117465+0.0445511j -0.0184894-0.0283266j -0.047386+0.0870727j 
-0.0653384-0.0618395j 0.00347731+0.0211032j 0.0290239+0.0220909j 0.0628277-0.000270826j 0.0371034+0.00959683j 0.0307284+0.0379053j -0.0600368-0.0327821j -0.0375002+0.00342231j -0.0115686+0.0879494j -0.00228948+0.0160932j -0.0214389+0.0358254j 0.0987771+0.0250522j 0.0363216-0.0156829j 0.0484946-0.036669j -0.105233+0.0564832j 0.00207573-0.0568191j 0.0370793-0.061975j -0.131047-0.0334851j 0.0131126+0.0121538j -0.0696401+0.00489445j 0.0352607+0.00975746j -0.0203455-0.0932627j -0.0149952-0.0394241j -0.10403+0.108402j -0.0212752+0.0210662j 0.0343791+0.0428499j -0.0940304+0.0285213j 0.0303043+0.187306j -0.00649247-0.13846j -0.057272+0.0493044j -0.097988+0.0526854j -0.00785438+0.148999j -0.218777+0.0365332j -0.0212978-0.114794j -0.0248626-0.0651655j -0.0935604+0.122136j 0.119532-0.0220909j -0.0341389-0.168712j -0.101153-0.0409025j 0.0834928-0.221205j 0.104696-0.148727j 0.198024+0.109009j -0.115571+0.0903177j 0.0181428+0.0444406j 0.0963899+0.0263837j -0.118972-0.02759j -0.203799-0.0613128j -0.0118285-0.0859632j 0.0514601-0.11327j 0.0672104+0.0363533j -0.0245027+0.0667622j 0.0210794-0.0212309j 
0.0312722+0.0300002j 0.0202288+0.0116799j 0.0472759-0.0155189j 0.0243896-0.0707695j -0.0338803+0.0332927j 0.0341362+0.0455561j 0.0206643+0.0209432j 0.00805085+0.0650044j 0.0448724-0.0957999j -0.00357374-0.0250249j 0.0930951+0.0154555j -0.075247-0.124497j 0.0669414-0.0454804j 0.00954403-0.00700593j 0.022639+0.0400938j 0.0723427-0.145554j 0.0624328-0.0383704j 0.157155-0.0843783j 0.0647245+0.0894086j -0.0610755+0.0711382j 0.0215754-0.0548595j 0.049948+0.0111394j -0.0559666-0.105106j 0.00422042+0.0596137j -0.0505122+0.0857507j -0.0176706+0.048287j -0.0671012+0.0644416j 0.0736494+0.0624784j 0.16521+0.163433j -0.0999868-0.0314774j 0.175635+0.0228018j 0.0485975+0.000671797j -0.0391306+0.079955j -0.197244-0.00453576j 0.0452276-0.119847j 0.0504682+0.0605953j -0.121276+0.0782085j -0.0826295+0.0200028j -0.0343166-0.13466j -0.10028+0.142971j 0.0930788-0.0966577j -0.083465+0.0464964j -0.151943+0.0376444j 0.016874+0.312682j -0.169532-0.153349j -0.0206322-0.119601j 0.120203-0.178081j -0.0202973+0.061603j -0.038748+0.0452447j 0.0476635-0.125619j -0.0312201-0.0255456j 0.0315467+0.000873704j 
-0.0560189-0.0115335j 0.000974222+0.037124j 0.0705308+0.00457593j -0.020764+0.027682j 0.0562309+0.0271698j 0.00310027+0.0207083j -0.00402096-0.0848177j 0.00855861+0.0178835j 0.0112186+0.115659j 0.0447552-0.0215444j -0.040317+0.0918357j 0.00833706+0.0989576j 0.0385175+0.0067537j -0.056877-0.0371858j -0.0617448+0.117982j 0.0650164-0.0959195j -0.0169141-0.0221671j -0.226424-0.0780808j 0.0565902-0.0679501j -0.0790973-0.00629473j -0.0350677+0.00176196j -0.0375259+0.112405j -0.0633261+0.035365j 0.064384-0.0232883j -0.261204+0.1387j 0.117303+0.0223079j -0.032122-0.0711179j 0.0744281-0.0867583j 0.0189651-0.151161j 0.0841469-0.0170838j 0.134477-0.214172j -0.0622709+0.0370815j 0.082199+0.112064j 0.0220296+0.133296j -0.0516432+0.0461851j 0.14185-0.14318j 0.120572-0.0263633j -0.0040195-0.0165236j 0.191058+0.0503134j 0.0500265+0.0463261j -0.0806752+0.184448j -0.246351-0.0595404j -0.0098196-0.318954j -0.209023+0.106663j -0.0761316-0.0519727j 0.0209692+0.00205268j -0.142844+0.0560072j -0.007245+0.0618654j -0.0428874-0.00679317j -0.0326985+0.0812179j 0.0371118+0.0420316j 0.00887336-0.0295467j 
-0.0231525-0.00676217j 0.00159055-0.0204394j 0.0632335+0.0449438j 0.0414353-0.0732113j 0.00278236+0.0534754j -0.013248+0.0507615j -0.0502806+0.012623j 0.0175082+0.0179042j 0.0184636-0.0427971j -0.0278434+0.0920234j 0.0854914+0.00526373j 0.00319119-0.0379864j 0.0246022-0.0777358j 0.0150938-0.00757121j 0.0160635+0.0857472j -0.0153838-0.117988j 0.0395609-0.109357j 0.0366517+0.00126482j 0.0227439+0.0504899j -0.00698988-0.0355896j -0.0130008-0.0223588j -0.148004+0.0150031j 0.133514+0.0322755j -0.0576003-0.135073j 0.0729869-0.113277j -0.00727238-0.106803j 0.0430282+0.0796773j -0.250948+0.127121j -0.141848+0.0754678j 0.140047+0.0423441j 0.0852098-0.124206j 0.00260617+0.161352j -0.0230604-0.0434666j -0.0623463+0.0183561j -0.0169298+0.0702626j 0.301481+0.160793j -0.0870208-0.018996j -0.125366+0.0554114j -0.00172253+0.00263449j -0.0786448+0.096854j 0.0433589+0.011699j -0.0797292-0.0948753j -0.22059-0.021266j 0.0315186+0.0939426j -0.160842-0.0552601j -0.104898-0.0340614j 0.0544606-0.113892j 0.0464273+0.0438747j -0.00184925-0.029936j 0.0349539-0.0626577j -0.0525037+0.0115986j -0.00873748+0.0184669j 
-0.0401816-0.0503217j 0.0115511+0.0217618j -0.0141698-0.0230842j -0.00839219-0.00683742j 0.00540215+0.00158544j -0.0169887-0.0357674j 0.0215394-0.0314786j -0.0848454-0.0334282j -0.0272473-0.0333056j 0.0741661-0.0823997j -0.0112332-0.0642275j -0.0535895+0.0131735j -0.2049-0.00120955j -0.0839497+0.0598111j 0.124494-0.0452812j 0.0313874+0.00863706j 0.074228-0.106323j -0.0432995-0.0767132j 0.0102375-0.199623j -0.119916+0.0285041j -0.0174446+0.0981908j -0.0276543+0.0127978j 0.188122-0.0751026j -0.0883662-0.0350511j -0.0330753-0.053813j -0.0556169-0.0384371j 0.140615-0.0325026j -0.16063-0.0324486j 0.148087+0.100712j 0.0702521-0.0695737j 0.0806604+0.090838j -0.00893995-0.10876j -0.115466-0.0399396j 0.0323868+0.175269j -0.0649394-0.0531012j -0.204403+0.0461233j -0.083786+0.0240615j -0.151993-0.0508954j 0.00905123-0.0772751j 0.0568265-0.0821722j 0.0890222-0.00278823j -0.156841+0.0745298j -0.0614524-0.0348228j -0.152633+0.0205936j 0.0584286+0.0621669j 0.08266+0.0300088j 0.059475+0.078858j -0.00339823-0.0269976j 0.00467678-0.00980925j 0.0646998+0.0615177j -0.0122542+0.0208397j 0.0225825-0.0260266j 
