0.0915416+0.0455415j 0.156829+0.000119608j -0.125465-0.141093j -0.0261252-0.00129808j -0.0639278-0.0721141j -0.0242299-0.0489681j -0.0512638+0.0849573j 0.00157089+0.0487879j -0.0430514+0.0829648j -0.0667829+0.0782139j -0.106996+0.0317471j 0.0398494+0.0143369j 0.0321492-0.0744478j -0.0155766+0.00570136j -0.048729-0.00139772j 0.0474079-0.091868j 0.198901-0.214975j 0.0815619+0.019327j -0.266317-0.010734j 0.0956279-0.0530172j 0.019333-0.149457j -0.111751+0.233937j 0.0971461-0.0495146j -0.0445955-0.165451j -0.0477002-0.0475277j 0.144806+0.0272418j -0.0565177-0.142837j 0.096835-0.112745j 0.282132+0.395368j -0.0169864-0.0871698j -0.157684+0.00383236j 0.0503414-0.00327764j -0.00467468+0.0244839j -0.0141336-0.0106591j 0.046127-0.0281104j -0.0333617+0.0177529j -0.0171246+0.03761j 0.0138335+0.0109462j 0.0232203-0.00578587j 0.0434751-0.00239289j -0.018086+0.00849659j 0.00937899-0.0227327j 0.00721799+0.00585395j -0.0224326+0.0239008j 0.0344639-0.00830302j 0.0250368+0.00835854j -0.00631776-0.00508683j 0.00347877+0.0208601j 0.00129972-0.00351566j 0.026727+0.0393428j -0.0578283-0.0367522j 0.0219693+0.0411985j 0.0217064-0.00878591j 0.0149317+0.00237232j 0.0258069+0.0145878j -0.036146+0.020572j -0.0295259-0.0120776j -0.0525143-0.00896596j 0.0880724-0.0526019j -0.0362022-0.0282389j -0.00716994+0.104599j 0.0314192-0.0635189j -0.00751351+0.0198872j -0.0486057+0.0274547j 0.0301095-0.0211029j -0.0848028+0.00122384j 0.0536692-0.0812575j -0.13544-0.0806482j -0.0719907-0.162031j 
-0.153862+0.0206644j 0.0935591+0.0281199j 0.0134951+0.0173545j -0.0836221-0.125986j 0.00356558-0.0371303j -0.0152918+0.0451828j 0.0051698+0.13489j 0.0566132-0.157664j 0.0362324+0.117797j -0.00432001-0.0251693j -0.00175322+0.148167j -0.0223426+0.0426882j 0.0275957-0.104591j -0.00144881-0.0327409j 0.0394419+0.0817012j -0.125409-0.0256082j -0.155542+0.00697415j 0.0429504-0.0128577j -0.150853+0.169352j -0.163773-0.158198j -0.0755302+0.077439j 0.21408+0.0728471j -0.243033-0.1282j -0.0900948-0.0140951j 0.0816212-0.0211421j -0.063427-0.0467967j -0.142838-0.0477367j 0.302869+0.404026j -0.102231+0.140155j 0.149344-0.0202177j -0.0131598-0.0895598j 0.0125095-0.0169988j 0.0233788+0.0081228j -0.00313345-0.00419267j 0.0245755-0.0016518j 0.0296576-0.0225407j -0.0471552+0.0155972j -0.00709269+0.00911401j -0.00261022+0.0136292j 0.00348247+0.00483452j -0.0601153+0.00123544j 0.033436-0.00211687j 0.0221677-0.000608497j 0.0276939-0.00730019j -0.0294369+0.0107007j 0.0108789+0.0310579j -0.00626741+0.00719765j -0.0331598-0.0207264j -0.0217558-0.0121385j -0.0413264+0.0255377j -0.00245494+0.0217155j 0.0380182-0.00914175j -0.0525122-0.010477j 0.0105251+0.0182731j -0.0166247-0.0314503j 0.0176869+0.018194j 0.00276417-0.0224081j -0.0216703+0.106256j -0.0176818-0.0410694j -0.0147407+0.0572602j 0.109346+0.0419861j -0.0160646+0.0142243j -0.0363231+0.0406881j 0.030849+0.00242053j 0.0185567-0.0129799j 0.0527488-0.072838j 0.0735148-0.00299831j -0.0751741-0.156561j 0.151598+0.0694114j 
-0.0885549+0.0474975j 0.0711453-0.0214313j -0.0316169+0.0101467j -0.03554+0.00442715j -0.00925839+0.0546774j 0.0452196+0.0826953j 0.0330868+0.0587931j 0.0631455+0.0628799j -0.0293949+0.13971j 0.0666617+0.196177j -0.0780961+0.0377871j -0.0733547+0.0171978j -0.0692118-0.173663j 0.054194-0.0483472j -0.147686+0.0507218j 0.032567-0.0204916j 0.196118-0.0742261j -0.164583+0.211381j 0.0776799+0.0384223j -0.133957+0.0678836j 0.187429+0.120532j -0.0803889-0.0905122j 0.134611+0.0525343j -0.262076+0.120293j 0.0892726+0.285709j 0.0715989-0.0776301j 0.0680093-0.0673556j 0.0467469+0.123042j -0.177813-0.125221j 0.0900942-0.00873529j -0.00031114-0.014411j 0.00437268-0.0159681j 0.00619307+0.0051366j 1.77261e-06-0.00328748j 0.00256525-0.0337874j 0.000991679-0.00027334j 0.00459921-0.00572765j -0.0087944-0.00924539j 0.0213099-0.0255074j 0.00706974+0.0227288j -0.000859641-0.00496001j 0.0173168-0.00225659j 0.0345911+0.00624947j -0.0222226+0.0180867j 0.016612-0.0129846j 0.00686499-0.0138985j 0.00497507+0.0145319j 0.00695801+0.0154063j 0.00816684-0.0155217j -0.0246792+0.00408062j -0.0115604-0.0352509j 0.0164917-0.00148303j 0.00798977-0.00152415j 0.0134039-0.059827j 0.00619938+0.0206836j 0.0404463-0.000780079j 0.00797196+0.0280922j -0.00288913+0.0472052j -0.0160363-0.00428233j 0.0283239+0.0120251j -0.0293838+0.0128699j 0.0353269-0.000275808j 0.0247929+0.0312174j -0.0378315+0.0313087j -0.0352821-0.00192207j 0.00220268+0.016324j 0.0408174+0.00855672j 0.0164358-0.0204165j 0.0361333+0.0361111j 
0.0844944-0.0649781j 0.0742836-0.0252762j -0.0268043-0.0701003j -0.0246238-0.00653881j 0.0184682-0.0104788j -0.215503-0.119804j -0.0288797-0.0844987j -0.0428807-0.0226705j 0.127639-0.161954j -0.151705-0.0896234j 0.0228281+0.0569821j -0.0684153+0.108854j 0.0554349+0.00518717j 0.0304153+0.0867446j -0.0830483-0.106076j 0.0681406+0.0351869j -0.0245057+0.0713375j -0.103062+0.135813j -0.0225233+0.0145081j -0.0978359-0.276484j -0.302966+0.0800829j -0.181278-0.123886j 0.00147448+0.148194j -0.239379-0.00789734j -0.163102+0.0900216j 0.0395439+0.133891j 0.104822-0.0285956j 0.100787+0.117432j 0.057629+0.0399612j -0.0168254+0.00334232j -0.0894799-0.00346185j 0.0179097+0.0301088j 0.000968109+0.00227891j 0.00513943+0.0194932j 0.0208821+0.0320626j 0.000141595+0.00816109j -0.0148679-0.00292941j 0.0106588+0.0148375j -0.00473066+0.0136393j 0.029984-0.0288231j -0.00896226-0.00749065j -0.00737291+0.00119069j -0.0351859-0.000974896j 0.0133421+0.00181467j 0.0131795-0.0182198j 0.0151855+0.00342307j -0.0101393-0.0198206j -0.0164064+0.0301597j 0.0278579+0.00482796j -0.0284208+0.00536584j 0.0145257+0.0333008j 0.00312965+0.0131446j 0.0061975+0.0341879j 0.0195685-0.0120691j 0.0394263+0.0385099j 0.0108964+0.0346292j -0.0386432+0.00150743j -0.00724642-0.00641082j -0.00622199-0.00378263j -0.032456+0.0435804j -0.0178755-0.0172897j 0.0151103+0.00391645j 0.0159866-0.0381193j 0.0429529-0.00725304j 0.028448+0.0194916j -0.0381673-0.0222894j 0.00769933+0.0183456j -0.0395205-0.00834674j -0.00460178-0.0248304j 
0.0172892-0.0253643j -0.0426604-0.000916246j 0.0321357-0.0216538j 0.0750695+0.029653j 0.132427+0.039043j -0.021165-0.0251596j 0.0244088-0.0249871j 0.0151724+0.0991355j -0.0236742+0.115757j -0.0270716+0.143852j 0.00524584-0.0088418j 0.0360644+0.0873191j -0.208194-0.0418025j 0.177981+0.206955j 0.0566611+0.0743691j -0.110233+0.138765j 0.0368028-0.0458592j 0.0269133-0.00719781j 0.0818599-0.293773j -0.324041-0.00719967j 0.0482087-0.203269j 0.189305+0.0808107j -0.0868728-0.0536372j 0.10538-0.065282j -0.0220474+0.0342429j 0.0621681+0.0381726j -0.0688851-0.116582j -0.0076974-0.0640138j -0.00960979+0.0231975j -0.0261649+0.0151508j 0.0230848+0.0130987j -0.0179762+0.0108214j -0.0185245-0.0163712j 0.0191214+0.0145483j -0.00936893-0.00910374j 0.000727127-0.00453695j 0.0167607-0.0270118j -0.0131267+0.000182135j 0.0112788-0.000264491j -0.00794557+0.00451935j 0.00740838+0.00698164j 0.000965505-0.0141737j -0.0108769+0.0263179j -0.0302563-0.00629804j -0.0154084-0.0214291j 0.0133179-0.00909429j 0.0176512-0.03263j 0.00464144-0.0142768j 0.0349554-0.00448468j -0.00504482+0.00563683j 0.0194697-0.00021781j 0.0119898-0.0182978j 0.0151229+0.0203242j -0.0352791+0.0466616j 0.00889106-0.0169065j 0.0254327-0.0171028j -0.016128+0.036132j -0.0320958+0.0306446j 0.0258408+0.00988265j -0.014622+0.0061867j -0.0171028-0.0217001j 0.0110571+0.000863563j 0.00401691+0.0144211j 0.0201732+0.0162701j 0.000816384+0.003398j -0.00338326+0.00508574j -0.00180076+0.0056464j 0.014003+0.00220435j -0.00199865+0.00346547j 
-0.11083+0.0513492j 0.0167653+0.00306475j 0.0325724-0.0415356j -0.0272235+0.0128962j 0.0924901+0.00389175j -0.21259+0.0412042j 0.0033706-0.144755j -0.0506358-0.115471j 0.0499394-0.0996569j -0.0436849+0.0692016j -0.172438-0.0416822j 0.0366119-0.0424938j 0.0907282-0.033063j -0.11217+0.0287192j -0.0773599+0.221975j -0.0909185+0.157813j 0.0731026-0.110698j 0.0312222-0.168574j 0.0522462+0.0522542j 0.0736744+0.00698441j 0.115516+0.149325j 0.0274908+0.0173338j -0.135809-0.188424j 0.220747-0.132452j -0.184991-0.0963774j -0.016675-0.0398567j -0.0424252+0.0873263j 0.00896784-0.0169671j -0.0434267-0.0497924j 0.0890014-0.00518131j 0.0408774-0.0158854j -0.0138155+0.00595257j 0.0111324-0.0145633j 0.0198514+0.0108495j 0.0241964+0.000887212j 0.0298738-0.0225103j -0.00793433+0.00689761j -0.000402738+0.00509026j 0.0129403-0.0102604j 0.00144787+0.0128948j -0.00629096+0.0043981j 7.54635e-05-0.00503952j -0.018506+0.0153758j 0.0272641-0.00988619j 0.0134634+0.0389816j 0.0263181+0.0278679j 0.00192878-0.00990871j -0.0128196+0.0369191j 0.019914-0.000734397j -0.0116829+0.00398483j -0.000810749+0.0180135j 0.038668-0.0435366j -0.000615269-0.0308545j -0.0114379-0.0160743j -0.000972294+0.00227459j -0.0316109-0.0182213j -0.0290774+0.00269664j 0.00208207+0.0151199j 0.0138392-0.0252315j 0.0152519+0.0106581j -0.0355663-0.000910259j 0.00819822-0.014177j -0.00613292-0.0276168j 0.0219178+0.00436946j 0.0218021+0.011361j 0.00851945-0.00129515j 0.0010791+0.0126843j -0.00901071-0.0199007j 0.0280454+0.00243241j 
0.00461884-0.0277793j 0.0411763-0.0840813j -0.0271601-0.0860732j 0.0291735-0.046838j 0.124939-0.0683994j -0.0132912-0.0537294j 0.0984391-0.107072j 0.0283351+0.0221231j -0.0219384-0.0133649j -0.0250223-0.0205911j -0.0330365-0.170233j -0.103282+0.000549025j -0.0791472-0.0657615j 0.0576889-0.0809552j 0.218223+0.0666723j 0.208578-0.114127j -0.000437337-0.0196348j -0.00653553+0.0296517j -0.0892211+0.282985j 0.154547+0.0197103j 0.13849+0.417005j -0.147383+0.0306525j -0.0721075-0.0813888j 0.22413-0.169845j -0.0862276+0.0426761j 0.0374458-0.0625013j -0.0392211+0.019053j 0.013129-0.0168224j 0.0114077-0.000178197j 0.0300231+0.00526102j -0.0399388+0.0382862j 0.0169054+0.0310802j -0.0109513+0.00643263j 0.018811+0.00472266j -0.00765052-0.00695318j 0.00912437-0.0116478j -0.00513858-0.0084343j -0.0107374-0.00881909j -0.0121228-0.00260308j -0.00243811+0.012161j -0.00190391+0.00381577j -0.00329534+0.00159517j -0.0329495-0.0110075j -0.0252083-0.0269321j 0.0121346-0.0236155j 0.00183016+0.0116699j -0.0395228-0.0452508j 0.020216+0.030871j -0.0319291-0.0156882j 0.00318463-0.00887498j -0.019807-0.00379396j 0.00502754+0.0164618j 0.0131312+0.0175826j -0.000546778-0.000716789j -0.0255511-0.0271664j 0.0126883-0.007769j 0.0316472+0.0301868j 0.00990428+0.0123141j 0.000209905+0.0112754j -0.0197267-0.000753463j 0.012648-0.0188142j 0.00885029+0.00303301j 0.00927108-0.00950648j 0.0167682-0.00526959j 0.00468289+0.0083721j -0.00510288-0.00431802j 0.00953102+0.00446745j -0.0126672+0.00129246j -0.00612718-0.0129855j 
-0.0461961-0.0108207j -0.0127167-0.0436993j 0.0964942-0.0419177j 0.00281235+0.0374042j 0.134475+0.0398542j -0.121917-0.162249j 0.0316242-0.124976j 0.0674657+0.07103j 0.0279449-0.0594033j 0.0266962-0.0146558j 0.136108+0.0511165j -0.0401137-0.233237j -0.156437-0.122105j 0.0210839-0.269314j -0.110584-0.0121014j -0.245416-0.242138j 0.327405-0.0170388j -0.0378017+0.127483j -0.163106-0.109154j -0.147659+0.128083j 0.00853663+0.103887j 0.236034-0.0707821j -0.0824402-0.00763633j -0.0285668-0.205464j -0.150638-0.00946354j 0.100575+0.0289085j -0.100624-0.00354359j 0.0200107-0.115545j -0.0237885-0.0325431j 0.048338+0.0063278j 0.0195648+0.0246708j -0.0280097+0.00818077j 0.00138572-0.0239837j 0.0219497+0.0258297j -0.00575556+0.0195275j 0.0107214-0.0156545j 0.000431616-0.0271794j 0.00621343-0.0194877j -0.00653083-0.0111417j 0.000412948-0.0117301j 0.016803-0.0149135j -0.0125805+0.00923035j 0.020231-0.0228934j -8.46645e-05-0.0185309j -0.0132999-0.0221049j 0.0254323+0.0176708j 0.0214815+0.0294616j 0.00479247+0.0258115j 0.0153107-0.0228399j 0.00180412+0.0153101j 0.0292331-0.0447137j 0.00179029-0.00275786j -0.0193805-0.0109743j -0.0210892+0.0196455j -0.00707561+0.0142268j 0.00263094-0.0160071j -0.012016-0.00734829j 0.00255321-0.0166866j 0.00305577+0.000364073j -0.00153988-0.0176151j 0.0185157+0.00456613j -0.0101246-0.00900121j 0.00537535-0.00469216j 0.011622-0.0136348j 0.00872221+0.0139558j -0.0031775-0.00731235j 0.00756008+0.0120543j -0.00439322+0.00171975j 0.00927941-0.00392834j 
-0.0396196+0.0171258j 0.0217271+0.00228548j 0.0293233+0.00108019j -0.0197982-0.0117994j -0.00729396-0.0453825j 0.065621+0.00669733j 0.0853438+0.00108135j 0.267058+0.0517101j 0.0973765+0.150624j -0.245445-0.0814918j 0.120929-0.248505j -0.0101626+0.115179j -0.144333+0.0360289j 0.334772+0.0557009j 0.331221-0.067983j 0.177695-0.102755j -0.0482964+0.00187347j 0.0592484+0.072053j 0.0136616+0.173141j 0.0725056-0.0218371j -0.0314711+0.0184705j -0.0145839+0.00787618j 0.0347702+0.0189434j 0.0846735+0.0477084j 0.0451696+0.0968384j 0.0524311-0.0693468j -0.0595493+0.0159626j 0.00889778+0.0139602j -0.00856798-0.0377663j 0.02971-0.00192189j 0.000261233-0.00398977j -0.00913577-0.00685543j 0.00446454+0.00307534j 0.00366338-0.0109726j -0.0117422-0.00653525j 0.00801639-0.00595725j -0.0109905-0.0149558j -0.00936643+0.0152319j 0.0394715+0.0280442j -0.00042192+0.0279471j -0.00816526-0.0138863j 0.0249108-0.0284131j 0.0330594-0.00126124j 0.0136919-0.0184193j -0.0376293-0.00550728j 0.0279466-0.0261016j -0.00715602+0.012312j 0.0367343+0.0175j -0.0259351+0.00816651j 0.00143825+0.00590299j -0.00755792+0.000983138j 0.0330758-0.0323498j -0.014483+0.00643404j -0.00920983-0.0177531j 0.0178689-0.00493976j -0.03117+0.00655513j 0.00459719+0.00177522j -0.0120482-0.00850222j 0.0125437+0.0121487j -0.00831048+3.83063e-05j -0.00043381-0.00715574j -0.00553579+0.00265707j 0.000259676+0.00641217j -0.00496083+0.00127755j -0.000220631-0.00154462j 0.00455381-0.000796811j 0.00337684+0.000500032j -0.00490858-0.00935132j 0.0108978+0.00442044j 
-0.0784374-0.000624129j -0.0640128+0.0880432j 0.00665221+0.0229749j -0.0100259+0.00965757j 0.117436+0.00760234j -0.13585-0.0538236j 0.0824165-0.253147j -0.110584+0.026732j 0.114745-0.200559j 0.16676+0.00698778j 0.0856173+0.291685j 0.033808-0.0278156j -0.0822502-0.130974j 0.0326645+0.0528345j 0.106267+0.190619j 0.258335-0.120857j -0.118877-0.144892j -0.0642126+0.123908j 0.0978569-0.00229877j 0.0162054-0.0671107j 0.057376-0.0292937j -0.138125+0.180064j -0.0708935-0.0180469j 0.0885556-0.0372267j -0.0931684-0.0378523j -0.0112274+0.109163j -0.0309548-0.0158969j 0.0181437-0.0755871j -0.0417919-0.0440567j 0.00893546+0.0255301j 0.0756373-0.0321364j -0.0171628+0.00105846j 0.00113003-0.0118825j 0.0270141+0.00539706j -0.0107345+0.0281973j 0.0352536-0.0233001j -0.00129474-0.00523136j -0.00463101-0.00545864j -0.00233056+0.0251157j -0.0286739-0.0106442j -0.0265664+0.00868493j 0.00337031+0.0103014j 0.0184302-0.00809165j 0.00150178-0.00019285j -0.0205757+0.00901849j 0.00480202-0.017464j 0.0196246+0.0218901j -0.000702625-0.0142001j -0.00644154-0.00852216j -0.00719823+0.0120907j -0.00469197-0.0261207j -0.0226528+0.0153416j -0.0144467+0.0224677j 0.0306528-0.0144472j 0.0160261+0.0106301j 0.0131312+0.00492317j -0.00328471+0.00149006j 0.000525444+0.00260024j -0.00342822-0.0175282j 0.00881944+0.0191918j -0.00604836-0.00852182j -0.00315297-0.00733158j 0.0022267-0.0119597j 0.0182734+0.00320601j 0.000713972+0.00708937j 0.0111361+0.00697945j -0.011673+0.0102899j 0.0137131-0.00706677j 0.0253614+0.0185526j 
0.0108273-0.00985855j -0.0549577+0.0289506j -0.0242525+0.0411129j 0.0172001-0.0526499j -0.064044+0.00331055j 0.203564-0.0483901j 0.0268682+0.0831834j -0.116813+0.0489361j -0.124697-0.108889j 0.241551-0.055633j 0.107901+0.241217j -0.0747776-0.182095j 0.044866-0.0226217j -0.183175-0.238871j -0.0161092-0.108489j 0.087382-0.252085j -0.119595+0.0556974j -0.0553651+0.0651506j -0.139983+0.0953162j 0.0992825+0.0953697j 0.0205346+0.0911851j -0.0413803+0.0353629j 0.0229325+0.0855249j -0.0827885+0.0300829j 0.130011-0.0518905j -0.0709428+0.0368643j 0.0121012+0.00282505j -0.00933719+0.000216161j -0.00197549+0.028786j -0.0314315+0.00600928j 0.0288054-0.00488773j 0.00907579-0.00433545j -0.00808545+0.0194957j -0.00831717-0.0100597j -0.0301285-0.00528981j -0.00824861+0.0183937j 0.02708-0.00355794j -0.0411508-0.021914j -0.0437308+0.0327659j -0.0435991-0.00578837j -0.0299584-0.0406453j -0.00361349-0.0095863j 0.00277659+0.00646666j -0.00429693-0.00015517j 0.0337372+0.040892j 0.0144658-0.00778796j -0.0157478-0.0321666j -0.00827868+0.013874j 0.0264416+0.00901563j -0.00605154-0.000779256j 0.00147414-0.00533666j -0.0176666-0.0172048j 0.000428264+0.00443781j 0.00150081-0.0105132j 0.00886907-0.00701779j -0.0204404-0.0172873j 0.00304736+0.0107222j 0.00328013-0.00539479j -0.00520849+0.00376133j -0.00474484+0.00081479j 0.00770349-0.00214844j 0.00686842+0.0043013j -0.00221138+0.00110264j 0.00350418+0.00571799j -0.00420906-0.00487182j 0.0051247+0.00630194j -0.00699416-0.0020691j 0.0138635+0.00265392j 0.000901172+0.00897747j 
