0.087215+0.0210088j -0.00330922-0.00219006j 2.29151e-05+0.00413j -0.0228894-0.0739913j 0.00265049-0.0253242j 0.0122085-0.00229788j -0.0189754+0.0631229j 0.00833811-0.0240512j 0.00721795-0.00294845j -0.0158842+0.0261698j -0.0129509+0.00816018j -0.00471704-0.0454653j -0.0252879-0.0308799j 0.00404637+0.0261463j -0.00448576+0.0140982j -0.0197356+0.00912674j 0.00687012-0.019588j 0.0111074-0.00980254j 0.0321037-0.00253708j 0.00616411-0.00499463j 0.0184704+0.00385616j 0.00446049-0.00799529j -0.00223259-0.00604546j -0.0114813-0.0219725j 0.0102219-0.00235846j -0.00388527-0.00572197j 0.0108556+0.00160122j -0.00851434+0.0283905j -0.0174006-0.00628988j 0.0141999-0.0180728j -0.00379789+0.000486711j -0.00187277-0.00994316j 0.00160209+0.00953213j -0.00495984-0.00779792j -0.0151048+0.00838419j -0.0138519-6.66169e-05j 0.00863936+0.00638154j -0.0239881+0.0125248j 0.0472977-0.0128422j -0.00733645+0.000408716j -0.0130441-0.0187359j 0.0237606+0.00586327j 0.0145445-0.0259867j 0.00490516+0.011913j -0.00601482-0.00148772j -0.0220201-0.00534609j 0.00659898+0.0347711j 0.00859044-0.00526476j -0.00190368-0.00053355j 0.0214454-0.00576134j 0.000743327-0.000750595j -0.000604158-0.00184248j -0.00772856+0.000125466j 0.00626942+0.0238893j 0.0356908-0.0174119j 0.0307121+0.0106283j -0.0137365+0.0135274j -0.0215319-0.0193595j -0.00940184-0.00705076j -0.0118855+0.0146004j -0.0324999+0.00797945j 0.0379195-0.00356982j -0.062305-0.00254239j -0.0190226+0.0354151j 0.0332338-0.0280777j -0.0109365-0.0237117j 0.0563243+0.00474505j 0.0116099+0.00576262j 0.0282277-0.0291313j 0.0148032-0.0358904j 0.0404792-0.0341986j -0.0223094+0.0243783j 0.074409-0.0159486j -0.00406985-0.0391539j -0.0936866+0.00849593j 0.0596696+0.0233005j -0.0542774+0.0201j 0.0393027+0.0119991j 0.000169912+0.0763575j 0.0227085+0.0305918j 0.00102639-0.0488594j -0.100731-0.00483167j 0.0469492+0.0240095j 0.00462135+0.109909j -0.0156799+0.066897j 0.0570422+0.0428355j -0.0702001+0.108204j 0.0914174-0.0363159j 0.103607-0.016579j 0.0799425-0.153744j 0.234203+0.149707j -0.0916447-0.176224j 
0.00607415+0.00460812j 0.0919247+0.00795435j -0.0338939-0.0666616j -0.00156686+0.000526385j -0.0048344+0.0253682j 0.0139288+0.0233635j -0.0100695+0.0260304j -0.0226391+0.0419521j -0.00891958-0.0174838j -0.0275089+0.00323324j 0.00439996+0.00572441j 0.0519696-0.00495961j -0.019271-0.0106174j -0.0207622+0.0128093j 0.00635832-0.0220326j -0.0081322-0.013551j -0.000143724-0.0087972j 0.00847877-0.00466155j -0.00933837+0.0163114j 0.0104683-0.0180644j -0.0180287+0.0198338j 0.0171244-0.0118343j -0.00878395+0.00633152j 0.00417734-0.0133084j 0.00336638+0.000439988j -0.0121453+0.0392388j -0.017007+0.0398723j -0.011755-0.00590097j 0.0163374+0.00345113j -0.00082773+0.0195278j -0.010611+0.0133181j 0.00180986+0.0065428j -0.00744083+0.00968478j 0.00370214+0.000172189j 0.00482178+0.0071986j -0.0151435-0.016336j -0.0180039-0.00555598j 0.00312498-0.0138756j -0.00118777+0.0062662j 0.0129936+0.0251547j 0.0191789+0.00626755j -0.0227302+0.0147677j 0.026193-0.0168964j -0.0281014+0.0179577j 0.0178652-0.00306743j 0.00846099-0.0180585j -0.0403275+0.0195635j -0.000730714+0.0195604j 0.00733727+0.0260444j -0.00819184+0.00499768j -0.00857933-0.0118677j 0.00323612+0.00342054j -0.0367543-0.00415767j -0.000118999+0.0142121j 0.0263456+0.00937698j 0.000679247+0.033996j -0.0121818-0.0010725j 0.00446884-0.0105307j 0.00952888-0.0164623j -0.00188875-0.00148504j 0.0122032-0.00487134j 0.00793303+0.0530832j 0.0282207-0.0557744j -0.0281981+0.00449825j 0.038481-0.00422665j 0.0104777+0.000350228j -0.00167298+0.0177634j -0.03246-0.0296988j 0.0202293+0.0243877j 0.0165053+0.0178199j 0.00201709+0.0206182j -0.00995419-0.0436457j -0.0266169+0.0242311j 0.0437517-0.00365176j -0.0613678-0.0835274j -0.00487448+0.0678887j -0.0232346-0.0398257j 0.00674563+0.0324415j -0.0600092-0.00495741j 0.0521902+0.0110041j 0.0738388-0.0345179j 0.0440665-0.099303j -0.0209321+0.0592143j -0.112818-0.0250937j -0.0374618-0.0431839j -0.0359441+0.101703j -0.156278-0.0227667j -0.0586132+0.0683217j 0.0734358-0.136825j -0.0513364+0.0398754j -0.0985666-0.158693j -0.23647-0.141461j 
-0.0469173+0.00568468j -0.0568277+0.0190784j -0.00146951+0.0192217j -0.00590511-0.00853561j 0.0202627+0.0336419j -0.0234298-0.0539271j -0.00502914+0.00822153j -0.0243573-0.0226808j 0.0107001+0.0220251j -0.0111723-0.0255993j -0.00680578+0.0528624j -0.0341086-0.0344011j 0.0146967+0.0595778j -0.00305234-0.0350592j 0.021088+0.0169444j 0.00309199-0.016081j 0.021189-0.0632778j 0.0251201-0.0070001j 0.0405224-0.0112667j 0.00167802-0.00977842j -0.0136433+0.00462908j -0.0386473-0.0185838j 0.0144888+0.00721504j 0.0194988-0.00448122j 0.0487088-0.00165466j 0.00506831+0.0126797j 0.0366125+0.0217035j -0.00317397-0.000145804j -0.0148306+0.02792j -0.0101129-0.0720121j -0.00331443-0.0157604j 0.0255679-0.0201402j 0.0101926+0.0110226j -0.016704-0.00230472j -0.0104319+0.014574j -0.0526719+0.0441342j 0.0321267-0.013631j 0.0250809-0.00728346j 0.00251097-0.000413169j -0.0161845+0.0116746j 0.0402292-0.00351245j 0.0154769-0.0110634j 0.0235795+0.0255819j -0.0354578+0.00463842j 0.0318197-0.0294035j -0.0104531-0.00466683j -0.0328933-0.0134963j 0.00463408-0.00959994j 0.0230467-0.0351594j 0.0357721+0.0153441j -0.00647062+0.0242134j -0.00251876+0.0271611j 0.019587-0.0123636j 0.0401445-0.020563j 0.00242771+0.0253959j 0.0414057-0.0171718j 0.0341646-0.00249773j 0.0323737+0.0339211j -0.0126966+0.0214506j -0.0398418+0.0142399j -0.0133512+0.000917052j 0.0101375+0.00629738j 0.0102402-0.014875j -0.0157686+0.0167658j 0.00839619+0.030899j -0.00111769+0.0620767j 0.0656228+0.0349332j -0.0695183+0.00461875j -0.0379552+0.0459816j -0.028492-0.0410866j -0.0440783-0.0491276j 0.0142946+0.0191952j -0.0760029-0.0485238j 0.0222555-0.0421014j -0.0100856+0.0245723j 0.0757964-0.0949336j 0.0181981+0.0428999j -0.0572689+0.0710908j -0.0100018-0.0158836j -0.0316113-0.022428j -0.0314974+0.0995293j 0.0398441+0.0592916j -0.151336+0.08579j -0.0845462-0.0499957j -0.102507+0.0905978j -0.0126841-0.112645j -0.0997045+0.0529795j -0.111847-0.00893332j -0.0646346-0.0869429j 0.185257-0.00187995j -0.204402-0.0386289j 0.0578657+0.181447j 
0.0494263-0.0216262j -0.06374-0.013215j 0.029907+0.0236274j 0.0347369-0.0156256j -0.0585249-0.04438j -0.0517764-0.0252195j 0.0414641+0.0322453j 0.0136248+0.0693743j 0.0152758-0.0107099j 0.0232839+0.00320904j 0.00855888+0.0245196j 0.00922281-0.0243176j -0.0324583+0.0197278j -0.0128241+0.0533758j 0.0427098+0.0266269j 0.00292562+0.00136846j 0.0297928+0.00298407j -0.0260034-0.00755669j -0.0165831-0.00754532j -0.02633+0.0089124j -0.016609-0.0155129j 0.0248157-0.0403262j 0.00726158-0.00790499j -0.000507132+0.00394111j 0.0236859+0.0203421j 0.0126177-0.0162118j -0.00164842+0.00496291j -0.0178658+0.0345487j 0.0326173-0.0249728j 0.00809657+0.0251704j -0.00475822-0.052219j -0.00615391+0.0240724j -0.00833696+0.0179077j -0.0234624-0.0193381j -0.00191614-0.0261409j -0.0516077-0.00140546j -0.0384201+0.0236986j 0.0208476+0.0229555j 0.000137321+0.0246475j 0.00150025+0.0134634j -0.0315319-0.00949356j -0.0308325-0.00226858j 0.00486323-0.0213799j -0.0187539-0.0434994j 0.0453184+0.0388437j 0.014567+0.00601588j 0.0177275+0.00182298j -0.00665722-0.0137517j 0.0229006-0.0387446j -0.019229+0.0296577j -0.0395558+0.00417494j -0.0180748+0.0463333j -0.00401749-0.0119676j 0.0469545-0.0405661j -0.0408238-0.00704102j 0.0276563+0.0651299j -0.00235124+0.0251479j -0.0146862+0.0104595j -0.0359039-0.030542j -0.0461581-0.0675298j -0.0342508-0.0393257j -0.00570892-0.016456j -0.00466488+0.0392106j -0.0439563+0.0133764j -0.0167401-0.0277741j -0.0416352+0.012546j 0.0533035+0.0949103j -0.0389244-0.0284729j -0.0395101-0.0202588j 0.03592-0.0136455j 0.0768737-0.0123526j -0.00568534-0.00387712j 0.0779977-0.0634157j 0.0372042-0.0448456j 0.0341221-0.0101034j 0.0640737+0.0573847j 0.0106739+0.0858512j -0.0679655-0.061061j 0.0195675-0.0462995j 0.00938358+0.00653402j -0.133344-0.00528404j -0.0486577+0.0172921j -0.0985565-0.189836j 0.00869785-0.104023j -0.135273-0.0308236j -0.0873465+0.0471641j 0.0817368+0.0541031j -0.0302413-0.0297453j 0.12819+0.0935898j 0.0581635+0.120651j 0.0609782+0.172852j 0.195016+0.0370714j 
0.0732543-0.00825466j -0.0264732+0.00620932j 0.0398425+0.0206866j -0.0524808-0.0365637j 0.0238299-0.0342976j 0.0431913+0.0147717j -0.0492833-0.00967123j -0.0280048-0.0685816j -0.00102607-0.0568468j 0.0108818+0.100731j 0.100647-0.0144644j -0.00679578-0.0444051j -0.0443606-0.0261802j -0.0163719-0.0129042j 0.00948238+0.0245476j -0.0261668-0.00180084j 0.00283832+0.0443202j 0.0228459-0.0324453j 0.0566653+0.00398936j 0.0147922+0.0255126j -0.00522647-0.0133308j 0.0404614-0.0181872j 0.0597226+0.0506788j 0.0184416+0.0181919j 0.0307626-0.0157846j 0.0189342+0.022548j -0.00548167-0.0911698j -0.0141972-0.00492285j 0.052844-0.0116028j 0.10873-0.0594781j -0.043338+0.0548363j -0.0476769-0.0509574j 0.0152382-0.0320336j -0.040919-8.91695e-06j -0.0331203+0.0435759j 0.0189435+0.0220221j -0.0241259-0.0250418j 0.00810706-0.0180497j 0.043578-0.0027219j 0.0196026-0.00939711j -0.00902199-0.0544791j 0.0301854-0.00931713j -0.00769699-0.100454j 0.0692458+0.0101131j 0.0320925+0.0146994j 0.0145447+0.0117357j 0.0619105+0.0287313j -0.0221535-0.00758814j -0.0460357+0.0448791j -0.0325738+0.0066181j 0.0171868+0.036078j -0.0718312+0.0132736j 0.0907028+0.00847504j -0.0520807+0.0650114j -0.0150801-0.0261379j -0.0353566-0.0303086j -0.0479737+0.0349437j 0.0342998+0.0515862j 0.120188+0.00615961j 0.0965151-0.0405358j -0.014809-0.00598397j -0.0228489-0.0293289j 0.0286429-0.0236037j -0.00635139+0.0210378j 0.0576748+8.03036e-05j -0.0439733+0.0762795j 0.0232846-0.0191271j 0.0286318+0.12495j -0.00562058+0.0394544j 0.0162987-0.00929915j 0.0414632+0.0724704j -0.0067114+0.0454141j 0.0322312-0.0410661j -0.0885163-0.0480393j -0.0311236+0.0213659j 0.084162+0.0795063j 0.0398628-0.00454788j 0.07204-0.0165232j -0.0471917+0.0912081j -0.0803981-0.0310668j -0.0271419-0.0468993j -0.0155182+0.0212555j -0.00261702-0.13279j 0.0526813+0.0874803j -0.0336035+0.0363889j -0.11709-0.177145j -0.140936+0.0421186j -0.164529-0.141255j 0.095413+0.069005j 0.114295-0.147118j 0.10954+0.0909106j -0.0268129-0.0212207j 
0.0337921+0.00356304j 0.0550734-0.0192115j -0.0317406-0.033473j -0.0412471-0.0300483j -0.00819214+0.0029643j 0.0123688+0.00800941j -0.00559379+0.0503564j -0.00701885+0.0084808j -0.045174+0.0101058j 0.0113694+0.0179245j -0.0167209-0.0238752j 0.0469581-0.0409287j 0.0340847-0.0178791j -0.00161842-0.0101187j -0.0263697-0.0143851j 0.00596131+0.00706265j 0.0181439-0.0513077j 0.0566845+0.0406092j 0.0425442-0.0274232j 0.00532909+0.0154141j 0.034296+0.0336565j 0.0355342+0.0121597j -0.0697877+0.0132843j 0.046734-0.00851918j -0.0325249+0.0310552j -0.0310586+0.0595636j 0.0941084+0.0619741j -0.0119833+0.00324342j 0.00819519+0.00719884j 0.0778826+0.0340135j -0.0327813+0.0575161j -0.0517377-0.0219563j -0.0508635-0.00101497j -0.0215244+0.0100565j -0.00544139+0.0331533j 0.00499542-0.0156081j 0.0157009-0.0210322j -0.0214712-0.0282028j 0.000929924+0.0213843j -0.00795842+0.0272485j 0.0411996-0.00141281j -0.00584345-0.0137929j 0.0608881-0.0346449j -0.0427048+0.0353986j -0.0109353+0.0776937j -0.0106294+0.0324987j -0.0286121+0.0629057j 0.0764641+0.00328059j -0.0367449-0.0687094j 0.0329473+0.00837055j 0.0217847-0.048115j -0.0473435-0.0404224j -0.108218+0.0419377j -0.0651541+0.00545497j 0.06003+0.0183972j -0.027395-0.078527j -0.0507924-0.0273629j 0.0183025-0.111569j -0.0362645+0.102435j -0.0380597+0.0444144j -0.00526893-0.0149402j 0.0356917+0.0378752j 0.0136684-0.0958057j -0.0447826+0.0216712j 0.0201082+1.47945e-05j -0.060524+0.00952229j 0.0311746-0.0131023j 0.085775+0.0131261j 0.0426811+0.000199137j -0.0489713-0.0408079j -0.0467136-0.0300016j 0.00919613+0.0562494j -0.0768002-0.0366447j 0.118269+0.182635j -0.116718-0.0973234j 0.0404244+0.0459489j -0.0163372-0.0159457j -0.0263404-0.0440662j -0.177314-0.0513131j 0.0486409+0.0217931j -0.00581286+0.0148483j -0.0199197-0.100173j -0.00217141-0.0161647j 0.00213145+0.0473122j -0.0490034+0.0202738j -0.0544858-0.0384157j 0.00540022+0.088775j -0.126257-0.0756761j 0.0843679-0.0570577j -0.0233815-0.0412461j -0.00838574-0.0150665j -0.100771-0.0926027j 
-0.0157175+0.00965375j -0.0283902+0.00984622j 0.00382592+0.0358119j 0.0271311-0.0495941j -0.0282353-0.0253114j -0.0585166-0.0258244j 0.0552849+0.0243412j 0.0305872-0.0113814j -0.00448597-0.0394295j 0.0494343+0.000888859j 0.0416867-0.00631735j 0.0227015+0.00637053j -0.0364564+0.0134399j 0.0529546+0.0836068j 0.00786982-0.00795401j -0.0139743-0.00404445j -0.0110743+0.00508633j -0.00946473+0.012442j 0.00790549-0.0156816j -0.0270749+0.0637728j 0.0872296+0.0257985j 0.0292399-0.0346606j -0.0347122+0.0140399j -0.066549-0.00825372j -0.0182318+0.0919816j -0.00310029-0.025769j 0.0255341-0.0556081j -0.0474553+0.0253682j 0.0466651-0.0242365j 0.0720287-0.00283203j 0.00601838-0.0282266j 2.06925e-05-0.0329082j -0.0179638-0.0700998j -0.0457159+0.028654j -0.00559893+0.0230346j 0.104524-0.0458615j -0.0183055+0.0234111j -0.0315014+0.005818j 0.0245075-0.0653467j 0.0631229-0.00363284j -0.0408294+0.0091435j -0.0543853+0.0103053j -0.0262181-0.0368122j 0.0599559-0.00164627j 0.0383281+0.0511313j -0.0160822+0.0361862j 0.0757943+0.0578221j 0.0836127-0.0336115j -0.0245822+0.0148716j -0.0389815-0.0358523j 0.00114887-0.0804396j -0.0268972+0.0143219j 0.010518+0.0240799j 0.0170627-0.0549192j -0.0644621+0.0293674j 0.0274495+0.040992j -0.0671181-0.00261355j -0.0697196-0.0169835j -0.0308139+0.0463701j 0.0127266+0.16716j -0.0210567+0.0327561j -0.00189266-0.0554802j -0.0527083+0.0448935j -0.0106088+0.0275355j 0.00391311+0.0285599j -0.0148074-0.0482387j 0.00209917-0.0499465j 0.0691198+0.134314j 0.0865738+0.0714778j 0.0152694-0.0301047j 0.0566768+0.0310568j -0.0640076+0.0509566j 0.0586636-0.0379847j -0.0995988-0.0125114j -0.126185-0.0970742j 0.103855+0.00964479j -0.102659-0.067796j 0.0253201+0.099716j 0.00553055-0.0303142j -0.0235269-0.00251235j 0.0243958-0.0810654j 0.0397627+0.0540584j 0.0153242+0.0820483j -0.0206246+0.000790203j 0.046717+0.00762874j 0.043106+0.170163j 0.122578-0.0670488j 0.207999+0.079313j -0.0406394-0.0670395j -0.0266164+0.0475734j 0.00952898+0.0169779j 0.0127417-0.061268j 
0.0101052-0.0277154j 0.033871-0.0130981j -0.0501932+0.0162232j 0.00569599-0.0262681j 0.0407082+0.0107272j -0.0682307+0.00705466j -0.0210029-0.00596456j 0.0216733+0.0221845j 0.0275463+0.0245182j 0.0411922+0.0235039j 0.0396044+0.000441338j 0.0292511-0.017836j -0.00779155-0.00769621j 0.0139205-0.0183262j 0.0609191-0.0295042j -0.0144292-0.0708675j 0.0664172+0.0151772j 0.034623-0.0155297j 0.012107+0.0378878j -0.0562866-0.0250545j -0.0645609-0.035286j -0.0518214-0.0130424j 0.00643261+0.0890448j 0.0567498+0.0233194j 0.0112293-0.048962j 0.020239-0.034579j -0.0727824-0.00789463j 0.0069903-0.0148958j 0.00710916+0.0610411j 0.0309893-0.00185622j -0.0791913-0.0421288j 0.0327614+0.000163695j -0.0402523-0.00246821j -0.0383142+0.0816853j -0.00716213-0.00901567j -0.0070439-0.0784493j -0.0402896+0.0225424j 0.0317691+0.0368215j 0.081853+0.0416273j -0.00224595-0.0544459j -0.0253981+0.00383649j 0.0454387+0.0383947j 0.0198076-0.0270164j -0.034327-0.0696132j 0.0301728+0.0293639j -0.00840701-0.0400751j 0.038268+0.0294452j -0.0604355-0.0418047j -0.0523848-0.010106j -0.0241992+0.0358388j -0.0447754+0.0632575j 0.0242783+0.0388799j 0.00933021-0.00819168j 0.0250922+0.0314922j -0.0716557-0.0605206j 0.106387-0.0822523j 0.0507497-0.052437j -0.0401482+0.0210724j -0.0179804+0.0802043j -0.0183798-0.0539078j -0.0304233-0.0142337j 0.0112764-0.0879875j -0.000267535+0.0958901j -0.0336117+0.0133636j 0.00783557+0.131297j -0.0316971+0.0944604j 0.000413686-0.0653665j -0.0323495+0.01385j 0.0523998-0.108342j 0.00531946-0.0221489j -0.0328936+0.0455396j 0.0100925-0.067138j -0.0425964-0.0287995j -0.0693042-0.0261251j -0.0274838-0.0344368j 0.0107216+0.0529372j 0.0963241+0.0880818j -0.127313+0.0147845j 0.029817+0.0416799j 0.024335+0.00319937j 0.0228191+0.0834829j -0.026322-0.0874604j 0.142606-0.0103331j -0.00346586-0.0314466j 0.00409824+0.0313985j -0.0308767-0.0482141j 0.141214+0.0147841j 0.0318386-0.0434716j 0.00115807-0.0911178j 0.0248773+0.0235936j -0.0163944+0.0345533j -0.0339952-0.00900046j 
0.0151072-0.0220542j -0.0249519+0.030797j -0.00447092+0.0571592j -0.0289549-0.020527j 0.034147-0.0162957j -0.0300354+0.0516926j 0.00738103+0.0293109j -0.0134635-0.0347324j 0.0262405+0.00858916j -0.0068349-0.00431298j -0.0425352-0.00242874j 0.0132394-0.0409044j 0.015316-0.0406069j 0.0661823+0.0373116j -0.053805-0.0141182j -0.0143119+0.0293615j -0.0774689+0.0643108j -0.0664422+0.0476304j 0.00698256-0.0303921j -0.0222156-0.0161574j 0.0274751+0.106363j 0.00249978-0.0284812j 0.0210344-0.023413j 0.0476607+0.0174437j -0.0512286-0.0626444j -0.0561823+0.0146916j 0.055335+0.0561456j -0.0676481-0.0282257j -0.101681-0.0649105j -0.0524619+0.0144403j 0.0137144+0.0796994j 0.106244-0.00661335j -0.0743618+0.0556791j 0.030873+0.00835057j -0.0119881+0.00357449j 0.0228899-0.0381843j -0.014571-0.00170154j -0.0251292-0.00748175j -0.0643939-0.0537589j 0.00811398-0.0708775j 0.103027+0.0222371j 0.00656923+0.0161502j -0.0545025-0.0472532j 0.0304833+0.0942923j -0.0145236+0.00252373j -0.0465775-0.00746911j -0.0317751-0.0743263j -0.0365822-0.0295268j -0.100247+0.0274946j 0.0913085-0.0460682j -0.0396691-0.0706125j 0.116342+0.00779562j 0.00353989-0.0257223j -0.0265605-0.0195988j -0.0111944+0.0938099j -0.0535607-0.063434j -0.00356973+0.0378901j 0.00710644-0.0467984j 0.0588811-0.0391764j 0.0545497-0.018805j 0.00850115+0.0244745j -0.0082199-0.0614485j 0.0492372+0.0355528j 0.0668207-0.00712499j 0.0629154+0.0453796j 0.0336408+0.0425018j 0.00192555+0.028573j 0.0908934-0.0381352j -0.0853591-0.0301686j -0.0333406-0.0273034j -0.11663-0.0395254j -0.118542+0.0394721j -0.100677+0.0236777j 0.0910847+0.044468j -0.0743197+0.0725945j 0.0221237-0.0512814j 0.0711682-0.0262881j -0.0025774+0.0520059j 0.066667+0.0139981j -0.0552944+0.00317891j 0.0540531-0.0814523j 0.0238434+0.0687347j -0.028293-0.0505855j -0.0723627-0.0305394j 0.0174175-0.0659665j -0.0387853+0.0904894j 0.0801039-0.12502j 0.0272318-0.0281248j -0.100116-0.03718j 0.00835828+0.00371844j 0.0279896+0.0328391j 0.0498574+0.0527298j 
0.0372292-0.0362024j -0.0525214+0.0223976j 0.00639205+0.00175305j 0.0286827-0.0267971j -0.0165587-0.0312153j -0.010917-0.00215146j -0.0314151+0.0455962j 0.00598434+0.00928583j -0.00206609+0.0177706j 0.0156227+0.0783092j 0.0758591+0.00157877j -0.0075836-0.0354372j -0.00839374+0.0454182j -0.0186135+0.00381498j 0.0703616+0.0307266j -0.0663121-0.0144641j 0.0936053-0.0167704j 0.0592088-0.0262787j -0.0218376+0.0294703j -0.0754751+0.0350656j -0.109924-0.0306126j 0.00944142-0.00970028j 0.0469147+0.0238199j -0.0248913-0.0631511j 0.0794329-0.0148612j 0.0178758+0.0819565j 0.0208257-0.0369758j 0.0492566+0.0139822j 0.0300657-0.00185682j -0.000119476-0.00449765j 0.0281405+0.026968j -0.00962757+0.0688222j 0.0901123+0.0335024j 0.0116024-0.0844701j 0.0167068-0.0573857j 0.0220052-0.00578919j 0.0175932-0.00268393j 0.0556704+0.0889569j 0.00423384+0.0812273j 0.00578989+0.0322294j -0.0321354+0.00333446j 0.0794534-0.0236731j -0.04007-0.0442111j -0.0480716-0.0604292j -0.0227416-0.0312292j 0.00285654-0.0195751j -0.0469322-0.0364024j -0.00790485+0.0236543j 0.0962558+0.00594919j 0.0735991+0.144326j 0.0325227+0.136756j -0.0328344+0.104859j -0.0418821-0.0469782j 0.0803143+0.0911797j 0.0252279-0.0802235j -0.0492693-0.00672278j 0.00740839+0.0239534j 0.0965515+0.050136j 0.0753989-0.0500451j -0.160981-0.0764633j -0.00972717+0.00124042j -0.0598468+0.0400787j 0.0619822+0.0344673j 0.0465366+0.065077j 0.0115407-0.0203614j -0.0227466+0.0539786j 0.00374233+0.0880072j -0.0984798-0.028524j 0.0485047-0.00969281j -0.00658668-0.0116521j 0.0443218-0.00140529j 0.00345534-0.068249j 0.0173284-0.0395049j 0.0127034-0.0251507j 0.0206268+0.0281748j 0.0885602+0.0010629j 0.0584424-0.0177525j -0.0738602+0.0333012j -0.0321494+0.0213114j -0.0968193-0.0950752j 0.0381915-0.06252j 0.0621134+0.0360148j 0.021087+0.0904701j 0.0669787+0.0210736j 0.122551-0.0416912j 0.0321415-0.0372087j -0.0353349-0.166031j 0.11795+0.0191396j -0.0199543-0.00911553j 0.0951287+0.0493106j 0.0548789-0.0221168j 0.0235103+0.00792868j 
0.0263476-0.000748771j -0.00346801+0.00632388j 0.0425938-0.027715j -0.0392901-0.00342746j -0.0248542+0.0446802j -0.0500824+0.0396088j 0.067699+0.0334828j -0.0191275+0.0808274j 0.00290806+0.0584135j -0.0938397-0.030678j -0.0276861+0.012598j 0.1813+0.0613394j -0.116419+0.111664j 0.0727401+0.0485373j -0.140927+0.0714513j -0.139425-0.0285973j -0.0584129+0.0402126j -0.0634458-0.00123289j 0.028354+0.0575736j 0.0243037+0.0325594j -0.00732975-0.114499j 0.0155898-0.0919123j -0.00210508+0.0331159j 0.0379586+0.0654995j 0.0402485-0.0706292j -0.0394079-0.0702333j 0.145244-0.0804014j -0.00314031-0.0423278j 0.0187605+0.0219254j -0.0428086+0.0108131j 0.0584799-0.0791585j 0.0442597+0.000148502j 0.0382072-0.0802644j -0.142038+0.048613j 0.0125403-0.0181299j 0.0154807+0.0211785j -0.0752587+0.010496j -0.101477+0.0342247j 0.0186587+0.0407352j -0.0868338-0.0452518j 0.0335607-0.0827706j -0.037791+0.0538528j 0.0531467+0.0128498j 0.0119076+0.00640351j -0.0542378-0.0229615j 0.0303423-0.0757625j -0.0499774-0.060812j -0.0273747-0.0967024j 0.150083+0.121916j 0.117458-0.0519209j -0.0802171+0.0277419j -0.0172429+0.142447j -0.0796664-0.0541007j 0.0317451+0.00952639j 0.013225-0.0435154j -0.0682487+0.0686909j 0.0100201+0.0605306j 0.0347501+0.0540473j 0.0485852-0.0451708j -0.0162379-0.0206373j -0.122979-0.0190303j 0.00183291-0.0795773j 0.0851098+0.112709j -0.0309008-0.0774985j -0.0437823-0.0340878j 0.00220685+0.0131332j 0.00527175-0.0307056j -0.099209-0.017009j 0.00672079-0.0839234j -0.0834763+0.0671899j 0.063406-0.0145829j -0.0455787+0.0249512j 0.0605545+0.0402279j -0.0801468-0.0615861j 0.000362982+0.0121101j -0.0397795-0.0096578j 0.0600981+0.0545922j 0.0584262+0.0142685j -0.0289922-0.0508366j 0.0757742+0.0570101j 0.0111411-0.0121587j 0.0268998+0.0922897j 0.0234869-0.0993841j -0.153404-0.0124685j -0.0819631+0.0106119j -0.0711851+0.0231305j -0.0208564+0.0868862j -0.0169126+0.00220076j 0.0253106+0.00721671j -0.0742969-0.00533973j 0.00976986+0.011968j -0.0104111+0.00706378j 
