0.0387888-0.0491054j 0.00230945+0.128483j 0.0863438-0.0467772j -0.00703582+0.0173225j 0.0286193-0.0480903j 0.0258658+0.0340508j -0.0101405+0.0109567j -0.0586366+0.0584429j 0.00753828+0.0246541j 0.00672015+0.00184437j -0.00981188-0.0544548j -0.0634356-0.00317183j -0.0279316-0.0498134j -0.00390262+0.0416348j 0.000180214-0.048328j 0.0230159+0.00204674j 0.00271878+0.0283112j 0.0302426-0.00980468j 0.00505053+0.0241601j 0.0174626+0.0278608j -0.024127+0.00153169j 0.017414+0.00526674j 0.0531071-0.00610221j 0.000177149+0.0697071j -0.00231111+0.0215249j 0.0303835+0.00896128j 0.0111387+0.0126754j 0.0174605+0.0496373j -0.031739+0.0137648j -0.0273479+0.032707j -0.0309793+0.0404547j 0.018323-0.00870537j -0.0245216-0.0121047j -0.0650186-0.00132098j 0.0194028+0.0428604j -0.027247-0.0193971j -0.0325877-0.0548733j -0.0258625-0.0016972j -0.0405597-0.00684683j 0.0793816+0.00745198j 0.0546009-0.0320501j -0.00372531+0.0275466j 0.00616858+0.0153527j -0.0179517+0.0190026j -0.0211177+0.0383627j 0.027591+0.00937429j 0.00554037+0.0465054j -0.00528368+0.00749273j -0.0455421+0.0393635j -0.0246585-0.0064762j 0.0185316-0.036535j -0.0426536-0.0484281j -0.0311221-0.0332731j 0.0108197-0.00151535j -0.0442323+0.00226202j -0.00482988+0.0297811j 0.0112134-0.0418749j -0.0414223-0.0182862j 0.0671792+0.0425734j 0.0212686+0.0428116j -0.00924653-0.0145165j 0.014687-0.00108593j -0.037156+0.0296602j 0.0376931+0.0810844j -0.0277129-0.0651739j -0.0228615-0.0481692j -0.00906486+0.00403685j 0.0408102+0.0330668j 0.00891721-0.00881692j -0.0332749+0.00215316j 0.00738031+0.0269924j 0.0761193-0.00303954j -0.00621295-0.00447439j -0.0301491+0.0445108j 0.0642391+0.0775054j -0.0347805-0.00197083j 0.0137519-0.0964082j 0.00142029-0.0449574j 0.0155539+0.00446606j 0.0280228-0.094681j 0.00431122+0.00528425j -0.0619263-0.0793751j -0.0725376-0.0380838j 0.0240334+0.0243315j 0.111921+0.00124789j 0.063662-0.0114598j 0.0343894+0.104639j -0.0495342-0.0910248j 0.0659401-0.0101607j -0.0359452-0.0331414j -0.00524556-0.0131975j -0.0369803-0.0888192j 0.118543+0.0927333j -0.0743127+0.229942j 0.300173-0.214617j 
-0.0106172-0.127406j 0.0286867-0.0598543j -0.00359617-0.000556051j 0.0770221-0.0427897j -0.00491985+0.0107143j -0.0106005-0.00559404j -0.0121605-0.0412529j -0.0704884-0.0154212j -0.0145803+0.0249031j 0.0206469+0.0305471j 0.0344574-0.0336018j 0.00756043-0.0402031j 0.0380918-0.0301871j -0.0214061+0.0186222j 0.0318271-0.0274433j -0.0117653+0.0172152j 0.0102528-0.0163635j -0.0363806+0.0588414j 0.022291+0.0128466j 0.0104377-0.000290997j 0.00133917-0.0147398j -0.0444025-0.0485641j 0.00500033+0.00260872j -0.0603901+0.0261328j -0.0163785+0.0202915j -0.00413908+0.0463202j 0.0106626+0.0399212j -0.0566706+0.0188702j -0.00642377-0.0234488j 0.00580944-0.0014915j 0.00383196-0.0569371j 0.0170546+0.00199782j 0.0458135-0.0364207j 0.0193515-0.0269507j -0.0138806+0.0167594j 0.0283939-0.0273735j 0.0806173-0.049441j -0.00794525+0.0105053j 0.0772423-0.0355182j 0.0520702+0.0351011j 0.000450151+0.0218899j -0.0178074-0.0115855j 0.0135028+0.0087397j 0.00743777-0.0623493j 0.0566476-0.0165734j 0.0168671+0.0326139j 0.00173012-0.0292521j -0.0428783-0.0145358j -0.0334099-0.0136306j 0.0240543+0.0486264j 0.0371423-0.0484277j 0.0210993-0.0274914j -0.0109419+0.0173429j -0.0188833-0.0240857j 0.0104232-0.017053j -0.0353291+0.0100567j 0.0101431-0.014437j 0.057767-0.0235091j -0.0551419+0.0502258j -0.0679434+0.0257862j 0.0136233-0.0388389j 0.0141608-0.00576814j -0.00250888-0.0314374j -0.0249937+0.0339102j 0.0122354-0.0429957j 0.00349201-0.0442831j 0.00167242-0.0376804j -0.0225722+0.0410762j -0.000128587+0.0173627j -0.0228946-0.0672817j -0.0294437+0.0261568j 0.00915649+0.0872105j 0.030311-0.0101768j -0.11676+0.0218146j -0.0213234+0.0422585j -0.0194017+0.0129043j 0.0878806+0.0720469j 0.0368328+0.0288092j 0.0154337+0.0200301j 0.0612768+0.0528815j 0.0280629-0.0259529j 0.0458686+0.0217173j 0.0520125-0.0464017j -0.0340011+0.046934j 0.011367+0.10847j -0.0211425+0.0296999j -0.0571761+0.019481j 0.0892852-0.122471j -0.00456983+0.0390005j -0.0208776-0.0168747j -0.0118882-0.00733028j -0.0958827-0.104121j -0.0690046-0.0746212j 0.311984-0.212479j 0.0719195-0.230838j 
0.0238233+0.0893467j -0.0547969-0.0603901j -0.0376017+0.0206103j -0.00274266-0.00627652j 0.0220075+0.0290348j 0.0455087+0.0288115j -0.0017907+0.102436j 0.0335175+0.00532391j -0.0466641-0.0695791j -0.118435+0.0715986j -0.101616-1.4086e-05j -0.0372012-0.0248508j -0.0703111+0.0409122j 0.0524011-0.0696657j 0.0124332+0.037032j 0.0369546-0.00442536j 0.014648+0.00896973j -0.0416725+0.0256615j -0.0110609+0.0435826j 0.0301855-0.0536671j 0.066155-0.0818234j -0.0564199-0.00663296j 0.0484749-0.0567195j 0.0350407+0.105988j 0.0227111+0.044276j -0.00682292+0.0300922j -0.0425703+0.0185267j -0.0342258+0.0431019j -0.0801955-0.0202342j 0.00679927-0.163359j 0.0732801-0.0328606j 0.00901344-0.0227141j 0.128128+0.0667519j 0.182425+0.0615197j 0.0439022+0.0492413j -0.029002+0.00026358j 0.0540888+0.010752j 0.0332196-0.0139829j 0.0605809-0.0547303j 0.00893022+0.0343293j -0.0270379+0.120538j -0.050635-0.00562514j -0.022489-0.0291387j -0.00472462-0.0544896j 0.0328501-0.0978849j 0.0948919-0.00451335j 0.0203481-0.0307452j -0.075284-0.0170619j 0.00471259-0.0272753j 0.0137152-0.0204228j 0.0597028+0.0428662j -0.0216998+0.0551992j -0.0287502+0.0811949j -0.0319305-0.0164963j 0.0476761-0.0244956j 0.0292911-0.0185611j -0.0637877-0.0191697j 0.0048106+0.0516819j 0.0719671+0.0116694j 0.040832-0.015757j -0.0290324+0.00587392j 0.00237465+0.020578j 0.0186099-0.0209708j 0.0042035+0.0522316j -0.0391786+0.0366344j 0.0596771+0.0187235j 0.0171645+0.0476717j -0.0286232+0.0266408j 0.00894819+0.0448607j -0.0133614-0.00127184j -0.00447602-0.0171918j -0.0848593-0.0604371j 0.00833292-0.0407253j -0.0196089-0.0640698j -0.0426634-0.0586122j 0.00544594+0.0526646j 0.0106206+0.0654454j 0.0374333+0.025837j 0.0181317+0.0450642j 0.061626+0.00908436j 0.0479726-0.0625852j -0.0638374-0.0278237j -0.0567651-0.0323743j -0.0291655+0.0108282j -0.0833528+0.0543707j -0.0297414+0.0252526j 0.113017+0.0559433j -0.0103817-0.0705918j 0.0149186+0.138326j -0.0031317-0.0158875j -0.0100091+0.0125812j -0.0804+0.0479114j 0.0126477+0.123645j 0.0166461-0.10115j -0.114729+0.0593979j 
0.00662043+0.0705729j -0.00722055-0.00106509j -0.00477352+0.0613627j -0.0201364+0.0594258j -0.00344519-0.130783j 0.0569422-0.122686j 0.0540717+0.208921j 0.056795-0.0629613j -0.0352198-0.0371559j 0.0433847-0.121528j -0.0407823+0.120563j 0.160833+0.110173j -0.0138637-0.102148j 0.0676889-0.104136j -0.29767+0.086115j -0.0695251+0.00204489j -0.127735+0.0277737j 0.203324-0.140512j -0.110662-0.114964j 0.00688057-0.0656276j 0.0551891-0.0195774j 0.128359-0.0455716j -0.0581304+0.0776937j 0.0924295-0.0675202j -0.110369+0.0142377j -0.0249263-0.0794138j 0.0639365+0.0400326j -0.091271+0.0268782j -0.0671501+0.088832j -0.0192641+0.0314953j -0.0653692+0.0640179j -0.0842236-0.0261196j -0.0831975+0.191146j 0.00802898-0.00470823j -0.0368129-0.0384132j 0.037705-0.0499845j 0.0154934-0.0169421j 0.0198214+0.0107936j 0.0204779-0.020094j -0.079882-0.00901219j -0.0252027+0.0133035j -0.0100854+0.00114473j -0.0230026+0.00158112j -0.0316088+0.0295463j -0.0198442-0.0525382j 0.0147536+0.00989015j -0.00221859+0.0102451j 0.0258182+0.0202908j 0.0393592-0.00321067j -0.0173372-0.0785759j -0.0679297+0.0867022j -0.0317867-0.0439025j 0.0266712+0.0234716j 0.0441601+0.0260022j -0.0249808-0.0263426j -0.022763+0.0286982j -0.0479275+0.000369043j -0.0454349-0.0438404j -0.00277425+0.0453218j -0.033602+0.0401202j 0.00711656+0.049818j 0.00304434+0.0188325j -0.0256741-0.021182j -0.0237002+0.0170149j -0.0233485-0.0173224j 0.0084519-0.0172827j -0.0385426+0.0154629j 0.0303811-0.0281048j 0.0146031+0.00179391j 0.015048-0.0168143j 0.0413151+0.0381159j 0.0115027-0.0134334j 0.0126043-0.0340009j 0.0101068-0.018274j -0.0674941-0.0331656j 0.0143583-0.0571205j -0.00439532-0.0197561j -0.00896848+0.00427425j -0.0600424+0.0397946j -0.0724393+0.0395315j 0.00575682+0.059958j 0.0178789+0.00828382j -0.00414384-0.0423526j 0.0303713-0.027076j -0.0341435+0.0426167j -0.0427886-5.49955e-05j 0.0320858+0.0343263j -0.016385-0.0679679j 0.0248048+0.024085j 0.0656879-0.153341j 0.132769-0.0726207j -0.00696645+0.00689309j -0.0502779+0.0545114j -0.0290578+0.005661j -0.0153817+0.0373309j 
-0.039404-0.0647374j 0.00331542-0.080287j -0.020704-0.00800867j 0.0437737-0.0925489j 0.0553654+0.169745j -0.114727+0.048711j 0.0291406+0.132337j 0.0621001-0.147196j -0.266313-0.102111j -0.0112397+0.0334093j -0.0515028+0.0694182j 0.13158-0.0901516j 0.0616098+0.0333692j 0.0452339-0.0982405j 0.121835+0.147715j 0.0138912-0.0147676j 0.112122-0.121899j -0.0808867+0.0316561j 0.069575-0.0390071j -0.0478603+0.113301j 0.288957-0.110998j 0.00406008-0.084575j -0.0566954-0.0635203j 0.0376226+0.0837401j 0.0815876-0.0128444j 0.0892838-0.0715772j 0.0439181+0.034142j -0.109914-0.163846j 0.0206977+0.151986j 0.0152876-0.0105474j -0.0106419-0.048541j 0.0309774-0.192307j -0.046198+0.115935j 0.0584407-0.0641128j 0.0239236-0.035857j 0.0242409-0.016272j 0.00506699+0.0559125j 0.0579616+0.0382938j -0.0578683-0.0421074j -0.0252847-0.0429343j -0.0156349-0.0806701j 0.0470553-0.0286023j 0.0483971-0.0186918j -0.0278212+0.0159384j 0.0263909-0.082265j -0.0308543+0.0453352j -0.00480978-0.111155j -0.0324618-0.0127571j 0.0116871+0.000959278j 0.0229373-0.0145639j -0.0377988-0.0216451j -0.00159727-0.0407392j 0.0377901+0.0592347j -0.00168884-0.00563772j 0.0369462-0.021849j 0.0353095+0.00119015j -0.010829+0.0442289j 0.00149583-0.0356273j -0.0520166+0.0095746j 0.00234863+0.010579j -0.00969417+0.00532985j -0.00332931-0.000661274j -0.00259169-0.0249833j 0.00932525-0.0333464j -0.0465516+0.0675923j -0.011427-0.0295126j -0.0161134-0.00316034j -0.0283785-0.0114834j 0.0115034+0.0195169j -0.0668806-0.0303907j 0.0110328-0.0256928j -0.0570812+0.0397158j 0.0163353+0.0209937j -0.00570922+0.0380147j -0.021978+0.0500429j -0.0242196-0.0497085j -0.0133387-0.0495802j 0.011235-0.026114j 0.033961+0.0341011j -0.0381442+0.0107628j 0.0185588+0.0412016j 0.0107582+0.05034j -0.0592635-0.0529454j -0.0313894+0.00236575j 0.0763952-0.0431337j 0.054228-0.0112232j -0.0504731-0.00445468j -0.0360988+0.0549698j 0.0471933-0.0445559j 0.141239-0.072838j -0.0566945+0.150261j -0.0799122+0.0930418j 0.0310251-0.0665192j 0.0138694-0.00238763j 0.037407-0.0358921j 
0.00876576+0.0463822j -0.0129374-0.0067845j 0.0166183+0.0296869j 0.0279816+0.00881016j 0.0134617-0.0313943j -0.0742424+0.00201417j 0.0822797+0.00529106j -0.0317984-0.0561846j -0.109257-0.0521371j 0.0388282-0.151649j -0.0272893+0.0330437j -0.0318182+0.127974j -0.0196033-0.117399j -0.0810473+0.225571j 0.185258+0.0899704j 0.143831+0.155326j 0.061095-0.0389949j -0.173694-0.0319217j 0.120763+0.159703j 0.0628067+0.0838662j 0.106733+0.0787452j -0.183943-0.0514985j -0.061311+0.00437749j 0.00293642+0.0548811j 0.100083-0.00571578j -0.0314752+0.0100352j -0.0316385+0.0327654j -0.0549292+0.00462044j -0.00848724-0.0654764j 0.0184291+0.00298521j 0.00629563-0.00718159j -0.00761691-0.030946j 0.0954718+0.0566405j 0.0151493+0.022405j 0.0347446-0.0438835j 0.0111155+0.0447892j 0.0127361-0.00550469j -0.0139489+0.0241159j -0.0116465+0.00202333j -0.0352404+0.0178033j -0.0481547+0.00724087j 0.0191572-0.0173143j 0.0350932-0.034345j 0.0314837+0.0166829j 0.00763561-0.0337446j 0.00555587+0.00730972j -0.00026381-0.0048485j 0.00729257-0.00716985j 0.0203169-0.043868j -0.0222708+0.0207834j -0.0839471+0.00597375j -0.0302362+0.00870783j -0.0125037+0.0204621j 0.0184965-0.0305579j -0.00995342-0.0655426j 0.0513923+0.0291426j 0.040223-0.0362991j -0.0174432-0.0215296j 0.0391851+0.0204914j -0.0223011-0.00732075j 0.0173243+0.0204701j 0.0358453+0.0106457j 0.000868088-0.0122553j 0.00233466+0.0143618j 0.00524229-0.00681763j 0.000126848+0.0313259j 0.0156332-0.00908696j -0.0161659-0.00475035j 0.0185628+0.0130511j 0.019696-0.016117j 0.0283118+0.0135613j -0.00562277-0.0428567j 0.00626885-0.00938641j 0.0142508+0.00125761j 0.000260758-0.0341012j -0.000257995+0.00715256j 0.00515798+0.0279539j -0.0329495+0.0308538j 0.0151653-0.0077554j 0.00968368-0.00332495j 0.0271616-0.0048212j 0.0211514-0.0193621j -0.0222469-0.0180294j -0.0282511+0.0117295j -0.0194052-0.0139224j -0.0284189+0.0135311j -0.035401+0.0639375j -0.00734808+0.00391649j -0.0272127-0.000210307j -0.0121446-0.00355735j -0.02423+0.0138235j 0.00361041-0.0230874j -0.0469754+0.0240925j -0.0145946+0.00679649j -0.0234766+0.0537374j 
-0.00730522-0.0196513j -0.00705301-0.00837982j 0.0157556-0.0361024j 0.046619+0.0284383j -0.111971+0.0874634j -0.146713-0.120285j 0.0480809-0.0265906j 0.109021-0.0765865j -0.207262+0.0924934j 0.0138975-0.0265708j 0.0800591+0.146088j 0.20044+0.12248j -0.0646987-0.219897j -0.121611+0.2969j -0.0864745-0.16854j 0.173546-0.415518j -0.10368-0.0016564j 0.14451+0.00639632j -0.100953-0.19624j -0.0119806-0.106211j 0.125257+0.107005j 0.0399926+0.129003j 0.0561445+0.00038838j 0.0575534-0.0638699j 0.00197144+0.0233299j 0.0399377+0.0954825j 0.00156527-0.0628326j -0.0335322+0.0338627j 0.035952+0.0629299j 0.00568875-0.0154442j 0.0674831-0.037448j 0.0207823+0.115467j 0.0192988+0.0253873j 0.019359-0.00519603j -0.014079+0.0572672j 0.0113401+0.0283286j 0.0130995+0.00311304j 0.0135329-0.0315118j 0.00905717-0.00812202j 0.0322551+0.0121514j -0.0122617+0.020503j 0.0250183-0.0235992j 0.00661733+0.0101598j -0.01003-0.0210359j -0.0128404-0.0196021j -0.00653962+0.0123853j 0.0245124+0.00179549j -0.0246105+0.00812774j -0.0018876+0.00940278j -0.0270229+0.0590357j 0.0157384+0.00519334j 0.00329675-0.00513468j 0.0178398+0.0128497j 0.0147085+0.0430968j 0.032754+0.017606j -0.00588176-0.00825749j 0.00518816-0.0140713j 0.0132009-0.0140716j -0.0182012-0.00431197j -0.00217368-0.00508171j -0.0320629+0.0127786j -0.031177-0.0495262j -0.00352165-0.00645512j 0.0277809-0.0269262j -0.00660763-0.00399175j 0.0218857-0.00367753j -0.00882066+0.00595215j -0.0227146+0.00719518j -0.0110952+0.0072541j 0.0121664+0.024869j -0.00698135-0.0195037j 0.00418625+0.0149805j -0.0134417-0.0051874j -0.0267041+0.00564901j -0.016788+0.0111484j -0.0145471+0.0158989j -0.00400617-0.0105781j -0.01266-0.0069986j -0.0173948+0.00125056j -0.00216576+0.00230498j -0.00149329+0.00409299j -0.0082264+0.012691j 0.00587792-0.0056264j -0.0240087+0.0190628j 0.0168146+0.00949186j 0.00243947+0.0148735j 0.0281499-0.0323911j -0.0169526-0.0174813j 0.030807+0.0220795j -0.00512392+0.00489249j -0.000705416-0.0124703j -0.00190118+0.0158153j 0.0213567-0.0100249j 0.0133932-0.0192726j -0.00498029-0.0175276j 
-0.0470789-0.0684951j 0.0242389-0.0337427j -0.0484693-0.038579j -0.00931298-0.0629884j 0.0640574+0.143755j -0.106951-0.0394971j -0.138365-0.12435j -0.000834897-0.039349j 0.0421975-0.0808479j 0.254333-0.0118706j 0.123252+0.113979j -0.202677-0.00722274j 0.0134403-0.066088j -0.419102+0.0360303j -0.0802342+0.174757j 0.057097-0.0638321j -0.147831+0.0674697j 0.151806+0.0460364j -0.210617-0.0196587j 0.0926492+0.0232953j -0.105647-0.0268958j -0.0652928-0.0283067j -0.0103125+0.0107719j 0.0349898-0.00600674j 0.00588081+0.0711083j 0.00380233+0.135494j -0.167512-0.0139478j -0.0053448-0.0455821j 0.0827581+0.0319611j -0.00456455-0.0603512j 0.12004-0.0235242j 0.0573143+0.138615j 0.0659912+0.050856j 0.0115977+0.00632926j 0.0497156+0.0776964j 0.0146912+0.0204916j 0.0330872+0.0321882j 0.0186942-0.015747j -0.0171125-0.0325111j 0.0299634+0.00468826j -0.0108321+0.00764968j 0.0420039+0.00930672j -0.0180487-0.0059707j -0.013765-0.029621j 0.0346378-0.0295158j -0.00587083+0.0503876j -0.0160838-0.0134863j 0.000742689+0.00930434j -0.021154+0.016643j -0.0129384-0.0244693j 0.00309125+0.0249749j -0.0129202+0.0250692j -0.00938052+0.0402894j 0.0187342-0.00765409j 0.0324687+0.0463632j 0.0250433+0.00890632j -0.0289693+0.00643312j -0.0075139+0.0256098j -0.0165265-0.0144095j 0.0227406-0.0373534j -0.00681482-0.019565j 0.0108729-0.0113714j -0.000641272-0.0433994j 0.0077043-0.00371087j 0.0232495+0.0246491j -0.0095287-0.0145028j 0.0166623+0.0135938j -0.0205841-0.0189653j 0.0077565-0.00799796j -0.00359436-0.0115959j -0.0135329-0.00553901j 0.0408757+0.00169252j 0.00366323+0.0211331j -0.0325369-0.00400582j 0.0146012-0.00665866j -0.0128564-0.00136146j 0.0139183-0.0254039j 0.00306265-0.0266661j -0.00283809+0.0248348j 0.00423779+0.0111887j -0.00100407+0.00763463j -0.00322168+0.0251235j -0.0201362-0.00697917j -0.0127019+0.00382747j 0.0350753-0.0146273j 0.0280225+0.0100815j -0.00161469-0.0256009j -0.0243246+0.0348984j 0.0256053-0.00872235j 0.0123522+0.0128154j -0.0306181+0.0403674j -0.0221339+0.0291908j 0.0124622-0.0281252j 0.00667454-0.00973234j 0.021528-0.0274151j 
0.000334188-0.00671645j 0.0176587-0.00159918j 0.0109739-0.00673509j 0.000527605-0.0307615j -0.0405764-0.00300675j 0.0157972+0.012602j 0.0107745-0.0711431j -0.0602749-0.0169974j 0.114+0.0748222j -0.013064-0.0195193j -0.0180154-0.00259315j 0.0440594-0.0507059j -0.0624663-0.0625283j 0.135995-0.0258066j -0.156016-0.115526j -0.0261511-0.0177406j -0.0769206-0.00397005j 0.0292929+0.0556805j -0.0158725-0.0779332j -0.00791989+0.0621101j 0.0409634-0.0045487j -0.0385595+0.00155504j 0.0242452-0.0014728j -0.108241+0.0470723j 0.0294359-0.0293199j -0.106813+0.0667094j -0.0782551-0.046409j -0.0978365+0.119969j -0.119704-0.146804j 0.0720475-0.126924j 0.0126071-0.0440603j 0.0157327+0.107406j 0.0776085+0.097353j 0.142497+0.0912492j 0.0157897+0.0163114j 0.025419+0.041543j 0.1011+0.0113908j -0.0262885-0.00618576j 0.0918547-0.00211094j -0.080939-0.0121081j -0.0291299+0.0640021j -0.0399725+0.000861394j 0.0209816-0.0657911j -0.0237126+0.0229115j 0.0861571-0.084792j -0.0298176+0.0762978j 0.0419245+0.0415403j 0.00984404+0.0086872j -0.0745975-0.0241749j 0.00925246-0.0423286j -0.0425213+0.0635019j -0.0372417+0.0600718j -0.0542797+0.0868078j -0.0566567-0.0883244j 0.0310303-0.00564166j 0.0586262-0.0287937j 0.0488831-0.0372141j -0.0119063+0.00541569j 0.0409705-0.000367723j 0.00307985-0.070071j -0.00909937-0.00965666j -0.00216861+0.0385915j 0.0272151-0.0715936j -0.00196728+0.0254703j -0.00146202+0.0391161j 0.0035074+0.0365575j -0.00866932+0.00309597j -0.00537716+0.0332858j 0.0163181+0.0339035j -0.0430693-0.0101521j 0.0299191-0.00973963j 0.00271087+0.00328653j 0.000227241+0.00268123j 0.0475669+0.0429635j 0.0083634+0.0316944j -0.0284212-0.0522062j -0.000804668-0.0164214j 0.00555843-0.0164564j 0.0563751+0.00447322j -0.0103202-0.00409009j 0.0247008+0.0186109j 0.0386879+0.0292283j -0.0223646+0.0350326j -0.0112025-0.0271342j 0.00277108-0.0806099j -0.0115402+0.00295856j -0.101261+0.042572j -0.00679252+0.0819465j -0.0474997-0.0870744j 0.0454529+0.00492689j -0.083349+0.12242j -0.0260962+0.00731432j -0.0483864-0.0289061j -0.0418942+0.0730835j 0.0420467+0.0179016j 
0.0323929+0.0286393j 0.0471623+0.0848706j 0.0157738-0.0696479j 0.0104372-0.0197026j 0.0115981+0.166183j -0.0781305+0.0469265j -0.0590069-0.140808j 0.0230761-0.134751j -0.0715788+0.00166324j 0.132273-0.0234209j 0.0193536+0.0325059j 0.0472326-0.0794499j -0.0927526+0.0178633j -0.147025-0.0186789j 0.0140552-0.0632023j 0.0312869-0.123011j 0.0724108+0.0517562j 0.00986283+0.00322735j -0.0341657-0.106385j 0.056165+0.124455j 0.027162-0.0134025j -0.0577364-0.0546482j -0.0583459-0.0679127j 0.0140271+0.156413j 0.0355188-0.0535102j 0.0922492-0.0137113j 0.0284103-0.0237709j -0.0317855-0.108777j -0.00543923+0.0121911j 0.0356035+0.091379j 0.0108301+0.106476j 0.113847-0.053202j -0.0366141+0.0981071j -0.0818878-0.00927302j 0.0275867-0.0427009j 0.0851709+0.0222732j -0.0465867+0.00456141j -0.0255249+0.0783809j -0.0254761-0.0463818j -0.0107061-0.0336467j -0.0617408-0.0591767j 0.0143811+0.0157731j -0.0116257+0.0167462j 0.0426478+0.0730544j -0.0170852-0.000394757j 0.0110258+0.013854j 0.0116379+0.0202798j 0.0261817-0.0121352j 0.0506924-0.0288328j 0.0127857-0.0286622j -0.0656166+0.0124015j -0.0700164-0.0128855j 0.0131434-0.0159208j -0.0105925-0.0151312j -0.072367-0.0360517j 0.0137394+0.0246388j -0.00228273-0.038531j -0.0690292-0.0303025j 0.00973689+0.0507044j -0.0147382+0.0525637j 0.00353343+0.0205769j 0.00621539-0.00576885j -0.0344433-0.009085j -0.000273255+0.0292108j 0.0230838-0.0552014j 0.0149863+0.0111341j -0.0149598+0.0164452j 0.0362227+0.0125119j 0.00694295+0.0289649j 0.0386971+0.0215841j 0.0409824+0.0210521j -0.0209276-0.0363786j -0.0339555+0.0018939j 0.0818558-0.0160753j 0.0291049-0.035513j -0.0149333+0.000714941j -0.0069029+0.043136j -0.0147241+0.0551807j 0.00926608-0.0424723j 0.010494+0.0591115j 0.0115939+0.0311096j 0.00203147-0.0464667j 0.0567527-0.0321764j -0.015717+0.00282585j -0.0832936+0.0193583j -0.0375385+0.00420262j -0.0124505+0.0651057j 0.00149036-0.0372363j -0.0977388+0.0338332j -0.0407235+0.00802138j 0.00341031-0.0206233j 0.0408822-0.104642j -0.0740332+0.0631194j -0.0586922+0.032292j -0.0494748+0.0956517j 
-0.0287448+0.0108527j -0.0391197-0.069198j 0.0015977+0.0201006j -0.0453408-0.00797926j 0.00710243+0.00173371j 0.0299223-0.00146715j 0.00527191-0.00892162j 0.0340085+0.0115061j -0.0314835+0.0139359j -0.0691247-0.0218675j -0.0285239-0.0414428j -0.05941+0.0113753j -0.0410646+0.0850113j -0.0417293-0.0218804j 0.16433+0.0390387j 0.0906616-0.00848104j 0.0608589+0.0429245j -0.0409691-0.0338222j -0.00821896+0.0294042j -0.0334647+0.0225876j -0.0294117+0.0450835j -0.0298405+0.0545538j -0.0169267+0.00692629j -0.0571889+0.0316339j 0.128105-0.088527j -0.0584506+0.0297463j -0.0520893+0.0126248j -0.0879277-0.0186311j -0.0191222-0.0547406j 0.0690449-0.0971104j 0.0116231-0.0704105j 0.0557773+0.0336783j -0.0105709+0.0533492j 0.0529936+0.0384359j 0.0522502+0.0596816j -0.0340787+0.0423354j -0.0305157+0.134573j -0.0302664-0.027424j -0.0285919+0.0382515j -0.000478114-0.0557946j 0.0224197+0.0693116j -0.0289415-0.00218936j 0.0441681-0.0504623j -0.0389022+0.0227749j -0.0674421-0.044907j -0.0274266+0.0081594j 0.00200993+0.0468605j 0.0637308-0.0114936j -0.0182256+0.0483278j -0.0371172-0.109763j -0.0681356+0.0774466j -0.014745+0.0148257j -0.0158709+0.0044959j 0.120387-0.00820913j 0.00642965+0.00717649j 0.00141629+0.0549004j -0.0507325+0.01365j 0.0151044-0.00435556j 0.024713-0.0418442j -0.0695019-0.0317481j -0.0013198+0.065255j -0.0258209+0.0224145j 0.0181526-0.0153759j -0.0195738-0.0631757j -0.00620041-0.000477515j 0.0149326-0.00496225j 0.0203019-0.00746078j -0.011113-0.0328959j -0.0256043-0.0218469j -0.00626582-0.0515446j 0.00404396+0.0455795j 0.0597645+0.0117383j 0.00512414-0.0467069j -0.0400552-0.0216633j 0.0225658-0.0290502j 0.0552479+0.00160409j -0.012539-0.0920612j -0.0118031-0.0107957j -0.106915+0.0272199j -0.0368516-0.0516928j -0.0653667+0.0331708j 0.00138275-0.0140997j 0.031621-0.0123454j 0.0697344-0.0187912j 0.0947051+0.0365076j -0.0444615-0.0451191j -0.0686556+0.0123349j 0.000901479+0.0415076j 0.0727777-0.0639784j 0.0284766-0.0908039j 0.183816-0.14207j 0.0253518+0.061065j -0.0420361+0.00286779j 0.0123985+0.00777404j 0.059229-0.0273757j 
