0.781698-0.12463j -0.250413+0.00171864j -0.783843-0.12438j -0.192684-0.251602j -0.152725+0.0657378j -0.261604-0.000638436j -0.151039-0.0675363j -0.193292+0.250833j -0.0806556+0.0506069j 0.0271717-0.0304321j 0.139622+0.147827j 0.0918073-0.119887j -0.0276024-0.0545951j 0.115887-0.0830424j 0.0728508+0.0388363j 0.0717317-0.0372883j 0.114515+0.0848025j 0.0299254-0.0506459j 0.0886572+0.122986j 0.141572-0.145851j -0.0254063-0.0320107j 0.0809027+0.0501201j 
0.198212+0.0821895j 0.126714-0.220407j 0.00765538+0.138842j 0.0706074+0.265023j -0.331476-0.052692j 0.150918+0.534091j -0.223166-0.014862j -0.344254-0.294365j 0.0992007-0.0882808j -0.0505146-0.118113j 0.0825122+0.0482599j -0.130898+0.225546j -0.159325+0.290681j 0.277176-0.0656094j -0.0446625-0.187765j -0.0906531-0.173192j 0.0239751+0.0566816j 0.0738031-0.0511871j 0.0301636+0.00671422j 0.0876173-0.065381j 0.110459+0.121319j -0.311026+0.0987231j 
0.00516264-0.142912j -0.130652-0.216104j 0.195813-0.0863406j 0.340697-0.297841j 0.225865-0.0180992j -0.149935+0.530589j 0.335317-0.0556343j -0.0653176+0.268222j -0.312-0.0975229j 0.115607-0.119867j -0.0884932-0.0657721j -0.0310985+0.00346201j 0.0743268+0.0494378j -0.027641+0.0564585j 0.0899727-0.170199j 0.0461413-0.185349j -0.276687-0.0652227j -0.1563-0.286738j 0.133032+0.231859j -0.0822177+0.0477571j -0.0522512+0.117101j 0.102935+0.0848776j 
0.0349229-0.0321409j 0.0823886-0.0574781j 0.123551+0.140503j 0.0210281+0.0847346j -0.131277-0.204632j -0.067414+0.183819j 0.152848-0.276154j -0.0181952-0.0328249j -0.0334731+0.0309471j -0.03108+0.10938j -0.0418802+0.0216611j 0.0416382-0.212135j 0.0385542+0.0428185j -0.130534+0.155522j -0.0891662+0.0760919j -0.238618+0.00884308j 0.106502+0.0364401j -0.000690886-0.285983j -0.0768064+0.140977j 0.0257755-0.14464j 0.168313-0.0358568j -0.0928194-0.223593j 
0.0234792+0.0565879j -0.0257301+0.142838j -0.275962+0.0252895j 0.111076+0.0342928j -0.0862022-0.000260294j -0.0658909+0.111478j 0.0396067-0.246465j 0.0529738-0.00198151j -0.00436649+0.0781265j 0.00957435+0.105688j 0.0953508-0.10111j 0.00591332+0.148201j 0.158311-0.20938j 0.234558-0.0905824j -0.268927-0.0476246j 0.156245-0.167541j 0.0430314-0.375487j 0.066501+0.0702135j 0.187016-0.040112j 0.0572423+0.279525j -0.068974-0.148667j -0.0488177+0.00910459j 
0.0146871+0.130315j 0.0507441-0.110373j 0.00550945-0.0812162j -0.185373-0.0391788j -0.104392-0.169442j 0.250688+0.0679436j -0.198462+0.100813j -0.18432-0.0677136j -0.081389-0.0658413j -0.105887-0.0194114j -0.190255-0.237574j 0.113499-0.181172j -0.0182044+0.0666881j 0.149702-0.0835518j -0.0274215-0.0309746j 0.102799-0.0298604j -0.0491356-0.117091j 0.0290147-0.0268606j -0.0427828-0.177148j 0.222864+0.00846139j 0.0521874+0.219198j 0.156963-0.162294j 
0.00218049+0.079844j -0.049886-0.109555j 0.0162188-0.131837j 0.182552-0.0683578j 0.201185+0.103354j -0.251978+0.0670388j 0.103967-0.164392j 0.185607-0.0411156j 0.157926+0.157482j 0.0474953-0.219407j -0.223808+0.0201539j 0.0371196-0.180412j 0.0282493+0.0173419j 0.0451041-0.11908j -0.103788-0.0356973j 0.025307-0.0287139j -0.153889-0.077162j -0.0228162-0.068534j -0.11746-0.172463j 0.185495-0.245192j -0.103205+0.0190403j -0.0823514+0.0675819j 
0.275357+0.0254934j -0.0289835-0.146199j -0.0223731+0.0527103j 0.0512957-0.00147406j 0.0415872+0.246126j -0.065535-0.109733j -0.0885578+0.00278399j 0.109902-0.0359578j 0.0491793+0.00812865j 0.0678468-0.15252j 0.050583-0.282106j 0.187718+0.0279617j -0.0597303+0.0767684j 0.0475417+0.374493j 0.160011+0.165654j -0.267074+0.0488235j 0.23215+0.0864311j -0.159701-0.212193j 0.00486319-0.147888j 0.0997104+0.0953489j -0.00975882+0.110583j 0.00496708+0.0767634j 
0.1218-0.14016j -0.0839065-0.0558638j 0.0340515+0.0307067j 0.0200524-0.0272777j -0.15437-0.274871j 0.0653179+0.182585j 0.130443-0.209965j -0.0175678+0.0816478j -0.088652+0.227071j 0.166313+0.0245555j -0.0283425-0.143j 0.0784925+0.131485j 0.00582822+0.291853j -0.105433+0.0355285j 0.237804+0.00528013j 0.0909243+0.0769202j 0.12944+0.153706j 0.0382394-0.0466154j -0.0453132-0.214118j 0.0445995+0.0175574j -0.0307634-0.109612j -0.0348735-0.0299236j 
0.00746219+0.00190119j 0.0155169+0.0404396j -0.0146419+0.00345049j -0.00890206-0.000320083j 0.0808593-0.0123594j -0.0375669-0.0702478j -0.0805894+0.0254284j -0.0366039-0.233487j 0.0192079+0.00416733j 0.0105615-0.0697092j 0.0121952+0.0140843j -0.0241465+0.132508j -0.048008+0.0433226j 0.063622-0.162476j 0.0373866+0.0162731j 0.0251258+0.229892j -0.0529979-0.0726863j -0.129418+0.119769j 0.0904276-0.0196825j 0.0639372-0.0875953j 0.171127-0.285201j -0.067775+0.147214j 
-0.0228747-0.00911328j 0.0976043+0.0299398j -0.0521139+0.0322143j 0.0422087-0.0348787j -0.036831+0.0107037j -0.122121+0.0339591j -0.0674717+0.00558513j -0.132352+0.0367062j 0.0184462+0.0673819j 0.115758+0.117707j 0.011462+0.0178307j -0.110214-0.047269j 0.0795392-0.0765251j -0.0220666-0.00631835j -0.0748925-0.0738868j 0.086056+0.0953111j 0.0437214-0.119539j 0.0735364-0.0200583j -0.0923063+0.175916j -0.0454337+0.0993918j -0.155711+0.099513j 0.100658-0.0145947j 
-0.0699486+0.0226546j -0.017809-0.0383998j -0.0499772+0.0229892j 0.0281681-0.0460173j -0.0231687+0.0969335j -0.0524573+0.0424285j -0.08527-0.0420236j 0.0891211+0.039723j -0.000532667+0.0363859j 0.0205156+0.0202253j 0.0261214+0.0636202j -0.100989+0.0147363j 0.030231+0.131185j -0.0859673-0.103619j -0.00533768+0.0834894j 0.0870505+0.174848j -0.116301+0.0274163j 0.128342-0.0283798j 0.116133-0.178196j 0.00333754-0.0766252j -0.165422-0.120555j 0.0622745+0.127961j 
0.0312275-0.0297958j -0.0481756+0.0603155j 0.00939293-0.0789405j 0.0160736-0.0302565j -0.0304682-0.0846558j 0.0189233-0.11336j 0.0479044-0.0457923j -0.0566441+0.0479584j 0.152076+0.0695011j 0.150892-0.00426434j 0.00262459-0.0424648j 0.0671763+0.0459776j 0.0639821+0.0502819j -0.0942427-0.0534805j 0.0405961+0.161617j 0.0920339+0.145693j 0.0597913-0.0702344j 0.0960759-0.0787581j -0.167575+0.0715215j -0.0566298-0.0196247j -0.0529189+0.0918155j 0.18998-0.0111818j 
0.0496185-0.0265544j -0.145807+0.0038291j 0.0867628-0.0599824j 0.072805+0.0605402j -0.0138198+0.0589885j -0.0889312+0.0876102j -0.0499868+6.15931e-05j -0.0875689-0.0494769j 0.0283693+0.034705j 0.095727+0.0309843j -0.097063+0.000382354j -0.0581493+0.0578355j 0.0567083-0.000417393j -0.0190507-0.099411j 0.0273938+0.073842j 0.159064-0.0195525j 0.0247172-0.0768084j -0.0761376+0.0634691j 0.0147061+0.0910032j -0.0970538+0.0238646j -0.0657286-0.0410543j 0.0320519+0.0268621j 
-0.0456525+0.0875298j -0.033019+0.00493441j -0.0491386+0.0700519j -0.00278889+0.00547148j -0.0244735-0.0786297j -0.0159521-0.00574192j 0.0537342+0.0352389j -0.148234+0.06431j -0.0194565-0.0274687j -0.0265084-0.00455789j -0.00442398-0.0127173j 0.0314051-0.0292762j -0.0518733-0.0993248j 0.0818012+0.030524j -0.0466669-0.104805j -0.0574519-0.052779j 0.0212101-0.0682793j -0.0444626+0.0839231j 0.0114289+0.151331j 0.0366323+0.0639252j 0.0973012-0.0108197j -0.0681647-0.0425815j 
0.0109871-0.12807j -0.0482029-0.128936j -0.0127852-0.0689484j 0.014941-0.0582235j -0.0186186-0.0534957j -0.0533386-0.052721j -0.0184637-0.0107799j -0.076257+0.0301483j 0.032557+0.0285638j 0.0140067-0.016123j 0.106096+0.0167179j 0.0486561+0.0181822j -0.0373411-0.00163106j -0.0721013-0.0289211j -0.0575094-0.100169j -0.145794+0.157299j 0.0283425-0.0348082j 0.055711-0.0370369j -0.0495048+0.0197773j 0.104408-0.00969046j 0.0329204+0.0139695j 0.0698051+0.018869j 
0.0258723+0.0593581j 0.114723-0.00211147j -0.0226014+0.0596702j 0.00970576+0.0255034j -0.0344674+0.030721j -0.0756412+0.00033872j -0.0356184-0.0300641j 0.0077343-0.0262509j -0.0334988+0.0894508j 0.126802-0.0259495j -0.0366903+0.0339412j -0.00801583+0.0762658j 0.0584866+0.0597341j -0.0744383-0.0491599j 0.0396692-0.0272932j 0.0410363+0.0285638j -0.0728106+0.0470969j -0.0584226+0.0582219j -0.00693571-0.0759965j -0.0364557-0.033914j -0.127044-0.0250405j 0.0366596+0.0900079j 
-0.0124175+0.0643485j 0.0477974-0.131706j 0.0113707+0.123604j 0.0773087+0.0317988j 0.0197521-0.00903715j 0.0552522-0.0511503j 0.018853-0.0535713j -0.0126616-0.0607556j 0.0703714-0.0203875j 0.0283977-0.0136058j -0.104803-0.00808464j 0.0450626+0.0167395j 0.0615103+0.0388356j -0.0272985-0.0362283j 0.146782+0.160537j 0.0609045-0.100644j 0.0720043-0.0299145j -0.0359192-0.00152003j -0.0456396+0.0132239j -0.107605+0.0179475j 0.0123841+0.0150829j 0.032582-0.0288424j 
-0.0450443-0.0671412j 0.0392681+0.0106877j -0.043395-0.0878646j 0.149451+0.0637254j -0.050802+0.036763j 0.0188471-0.00231325j 0.0238555-0.0762717j 0.00224057+0.00554395j -0.0659992+0.0407755j 0.0948536+0.0125226j -0.0356093+0.0603722j -0.0112454+0.155049j -0.0443996-0.0815253j -0.020666-0.0696718j 0.0509843-0.0481503j 0.0486427-0.103365j -0.0802041+0.028202j -0.0510287+0.0971306j -0.0281334-0.0297107j 0.00464852-0.012241j -0.0243899+0.00466982j -0.0179213+0.0259999j 
0.0902938+0.0615161j 0.140965+0.00235396j 0.0534494+0.0291105j 0.0829136-0.0517841j 0.0524755-0.00178054j 0.0881621+0.0869953j 0.0145537+0.0603907j -0.0726676+0.0619183j 0.0320186-0.0275671j -0.0667765+0.0399337j 0.0979608+0.0202095j -0.00989489+0.0900125j -0.079323-0.0616611j -0.0233552-0.0736494j -0.15972-0.0197379j -0.0304506+0.0742624j 0.0221297-0.0992733j 0.0577583+0.000885608j 0.0578251+0.0602292j 0.0978571+0.000807957j 0.0989071-0.0326669j 0.0262007-0.0361153j 
