-0.0175942+0.0109217j -0.0295978-0.00998756j -0.0271703-0.00704892j 0.010322-0.00268055j -0.010635-0.00353332j 0.0241325+0.00179956j -0.00856945+0.00352173j -0.0209388-0.00307617j -0.00665593+0.000174154j 0.00888108+0.00188287j 0.00137905-0.00357544j 0.0223464+9.20668e-05j -0.00153887+0.0013534j -0.0112039-0.00122407j 0.00698189+0.00145429j -0.00516617+0.000470623j -0.0202706-0.00119295j 0.00435025+2.89167e-05j 0.00389766-0.00239757j -0.000493115+0.000614812j -0.00237674-0.000632779j -0.0234443-0.00232124j 0.00714143+0.00187008j -0.00819708+0.0024885j -0.000698805-0.000793069j 0.00469066-0.000241196j -0.0216493-0.00222177j -0.0236256-0.00107323j 0.0076146-0.00184288j -0.00940889-0.00399432j -0.0238062-0.000179413j 0.00944704+0.00191892j -0.0454256+0.00145235j -0.0220364-0.0042279j -0.0385839+0.00347381j 0.0130731+0.00438188j -0.0642022+0.00330323j 0.112689-0.0058979j -0.258606-0.0102715j -0.175155+0.00528751j 0.510053-0.000948869j -0.0746949-0.00243711j 0.130065-0.00345756j 0.00656313+0.00672124j 0.00940135-0.00495377j -0.0454342-0.000717812j 0.0188697+0.00899538j 0.0512366-0.00637572j 0.00544875-0.00351497j 0.00794473+0.00143812j -0.0087842+0.00514516j -0.0421084-0.00286639j 0.0138684-0.00314984j 0.0104603-0.00824843j 0.00950373-0.00144403j -0.00552804+0.00195819j 0.0152041-0.00182201j -0.0332229-0.000515508j 0.00109947-0.00182258j -0.0159752+0.00161092j -0.00759413-0.00594961j -0.00411804+0.00270079j -0.0116054+0.00445665j -0.00892115-0.000798172j -0.000791057-1.40029e-05j 0.00794207-0.00131926j -0.0100025-0.00226032j 0.00295397+0.000592324j 0.000500585-0.00583703j 0.00997464-0.00292474j -0.010412+0.00112992j 0.0118711+0.00505074j -0.00999345-0.00317006j -0.00982443-0.000144461j -0.0042977-0.00145207j 0.0108454-0.0035373j -0.00633172+0.00176967j 0.00052455+0.00353113j -0.0100236-0.00578708j 0.00809365+0.00369934j -0.0027354+0.0110677j -0.0120143+0.000166618j 0.00296007-0.0107975j -0.0165146+0.00614018j -0.0142076+0.000696311j -0.0100105-0.0293248j 0.0356573-0.00516583j 0.0314263+0.0302733j -0.0142031+0.0632472j 0.039248+0.0114439j -0.00534263+0.071805j 0.13842+0.0188753j 
-0.0292519-0.00943749j 0.0268962-0.0102198j 0.0125903-0.00344501j 0.0276965+0.00701282j 8.38066e-05-0.00287361j -0.00759131+0.0052635j -0.0315424-0.00449573j 0.00175221-0.00175084j 0.0132241-0.000673529j -0.00287289+0.00231252j 0.0250489+0.0019051j 0.0182742+0.00551012j -0.00975805-0.000735184j 0.00671689+0.000223661j -0.00981081-0.000624414j -0.0126296-0.000982574j -0.000237033-0.00316693j 4.89393e-05-0.000242055j 0.0224651+0.00142427j -0.00601988-0.0016088j -0.00454593-0.000371727j 0.0118042-0.00209587j -0.00292876-0.00111977j -0.0182466-0.00291386j -0.0146352+0.00187154j 0.00446048+0.000919227j 0.00682191-0.000144398j 0.00605155-0.00329067j 0.00479285+0.00288463j 0.0312036+0.00134832j -0.030995-0.00252145j -0.013812-0.00145384j -0.00563462-0.00200693j 0.0564792-0.00265687j -0.0545256-0.00446874j -0.0132525-0.00270847j 0.119808-0.00260215j 0.108985-0.00374159j 0.253717-0.0071487j -0.195277-0.00970309j 0.126171+0.00581092j 0.471172-0.000370181j -0.016448-0.00592275j 0.127952-0.00276336j -0.0164636-0.00379744j 0.0341058+0.00840539j 0.0591135-0.00143776j -0.0207213-0.00614873j -0.0236903-0.000861973j -0.0061559-0.0021273j 0.0281026+0.00371045j -0.0070765+0.00986631j -0.00416192-0.000957835j -0.0218132-0.000680135j -0.00259855-0.00136711j 0.00559844+0.00334161j -0.00992842-0.00395234j -0.000898983+0.00655732j -0.0071598-0.000833846j 0.00519975+0.00687227j -0.0180922+0.00279397j 0.00857907+0.000897393j 0.0135481+0.0060782j 0.00283972+0.00208137j -0.00100264+0.00218497j 0.00362565-0.00299038j 0.000314098+0.00538678j -0.000213809-0.000650402j -0.0132911+0.00229945j -0.00891521-0.00322279j -0.000306259+0.0040734j 0.0143586-0.00582162j -0.00484259+0.00465986j 0.00261154-0.000686454j -0.00323321-0.00261234j -0.00832059-0.00749621j 0.00730246+0.00706914j 0.0146968-0.0012123j -0.00635549+0.00713344j -0.00469079-0.00432702j 0.0158947+0.00450548j 0.000532334+0.0128663j -0.0172224+0.00646725j -0.00528655+0.00910965j 0.0239779+0.00428868j -0.0305077-0.00323502j -0.018581-0.0510803j 0.0240666-0.016561j -0.0362519-0.0112185j -0.0145115+0.0569825j -0.129058-0.0190087j -0.00647228+0.0702564j 
0.0151971+0.00455588j -0.00633219+0.00994631j 0.0151571+0.00307355j -0.0124418+0.00333389j 0.00281549-0.000801862j -0.000354258-0.00492979j 0.0202296-0.00274968j 0.0217846+0.0035489j -0.00958566+0.00575617j 0.00291273-0.000975942j -0.0200524-0.00134162j -0.0152718+0.0019725j 0.00440402-0.00207263j 0.0112122+0.00333515j -0.00982142-0.00581643j 0.0213737+0.00120302j 0.0121214+0.0048471j -0.00634958-0.00100265j -0.0212456-0.00124778j -0.0082715-0.00131526j 0.0051958-0.00455792j -0.00107281+0.00167871j -0.0219824-0.00279497j 0.00324794-0.00498644j 0.0365878-0.00393155j -0.00334639-0.00454669j 0.0258357+0.0057396j -0.00939437+0.00440013j 0.0213668-0.00248193j -0.0056889+0.00174386j 0.0664759+0.00127306j -0.0151972+0.00136778j 0.0421652-0.0079697j -0.0863239+0.00396307j 0.095447+0.00235189j -0.1589-0.00430394j -0.00896137+0.0105698j -0.336859-0.00474443j 0.154496+0.00375865j -0.158754-0.00313404j 0.0242074+0.00324548j -0.0669539+0.00467229j -0.0251855-0.00205991j 0.00255344-0.00191867j 0.00158611-0.00346459j -0.0192765-0.00628683j -0.0111178-0.00562274j -0.0330408+0.00308994j 0.0136483+0.0128261j 0.0069037+0.0102981j -0.00850199+0.00442582j 0.0100719+0.00282881j -0.0180989+0.00505652j -0.0126345+0.00267149j -0.0102587-0.00425989j 0.00232557-0.00126668j -0.000451674+0.00247592j 0.0220076+0.00128114j 0.00636544+0.0109688j -0.00121008-0.00677007j 0.00313927-0.00917027j -0.00190048-0.0124975j -2.41425e-05+0.00727284j 0.00222807-0.00730041j -0.00113739+0.00661578j -0.0107612-0.00765543j 0.00222431+0.012889j -0.00565119-0.00423628j -0.0057265+0.00404193j -0.000492404+0.0114657j 0.00491994+0.00960804j -0.00199483+0.0063538j -0.00267406+0.0131898j 0.00901881-0.001617j 0.0229549+0.00345942j 0.00307259+0.00341129j -0.00436819+0.0162308j 0.0017513-0.0219165j -0.000910148+0.0140658j 0.00393291+0.00128538j -0.0245208-0.0291792j -0.000367397-0.0204206j -0.0292006+0.012602j 0.0234879+0.016135j 0.0061629+0.0611667j 0.0302811-0.0202712j -0.0188738+0.00569068j 0.0145389-0.0154858j -0.024747+0.0662186j 0.042976+0.0546784j 0.00975869-0.00876267j -0.0236454-0.00921903j 
-0.00234836+0.00856141j -0.014324-0.00364041j -0.0115435+0.00463766j -0.015062+0.00133262j 0.00621808-0.00104853j 0.0186787+0.00144844j 0.0152049+0.00329661j 0.00726642+0.00589245j -0.0262779-0.000676845j -0.000727869+0.00263866j -0.00575902-0.00352995j -0.0018504-0.000698182j -0.00252809+0.000595382j -0.00864295+0.00219245j -0.00410029-0.000278066j 0.0129142+0.00260264j -0.0020128+0.00127998j 0.00585451-0.00083016j -0.00580192-0.00182788j -0.00864973+0.00151581j 0.00829031+0.00127461j -0.0229901+0.000745612j -0.00542032-0.000984146j -0.0118467+0.00261158j 0.0237852+0.000100896j -0.00470482-0.000130205j -0.0101152+0.00157986j -0.0226825+0.000505247j 0.025715-0.00114543j -0.0112467-0.00745861j 0.0328015-0.00155357j 0.0087887-0.00525837j -0.107348+0.00710281j -0.0472768+0.00974935j 0.0230567-0.000374385j -0.0143166+0.0103157j -0.345799-0.0110034j 0.0436795-0.00520604j 0.103669+0.00446685j 0.11782+0.00256581j 0.0401554-0.00466366j -0.00636679+0.00357486j -0.00682134-0.000185824j -0.0305537-0.00704033j -0.0163246-0.00566716j -0.0220147+0.0061865j -0.00700671+0.000438394j -0.0102041+0.00954043j 0.0126401-0.00132074j 0.0178722+0.00430123j -0.00315225+0.00646169j -0.0021743-0.00158115j -0.00221748+0.00455451j -0.00532013+0.00485153j 0.00223089+0.00660724j 0.00493037+0.00243033j 0.0038859-0.000149345j 0.00302836-0.0083246j 0.00833136+0.000358494j 0.000707522-0.00200863j -0.000148946+0.000709588j -0.00625633-0.00154357j -0.000687312-0.00520191j -0.00976361-0.00438515j 0.00265916-0.000243561j -0.00516341+0.0089292j -0.00164477-0.00380156j 0.00432782+0.00818847j 0.00607672+0.00223439j 0.00270609-0.00309592j 0.0013812-0.00432794j -0.00295653+0.00440143j 0.00393213-0.000535183j -0.00441521+0.00508877j -0.000470463+0.00266467j 0.00228394+0.00972317j -0.00443142-0.00668417j -0.0100077-0.00755388j 0.00226375-0.0188659j 0.0180332+0.0111932j -0.00685886+0.026828j -0.0104358-0.0488972j 0.0104647+0.0213533j 0.0173386+0.00435274j -0.0397767-0.000534351j -0.00858552+0.0670539j 0.00201583-0.0487381j -0.0180097+0.0595396j -0.0380374-0.035511j -0.0187455+0.0467159j 0.0222788+0.00662683j 0.00592938-0.00408832j 
0.00444397-0.00106845j 0.00172566+0.00320674j 0.00257529-0.00735332j 0.0107474-0.0046613j -0.0141676+0.00261462j -0.0104227-0.00603319j -0.00139471+0.000435177j -0.0154905-0.00489502j 0.0180489-0.00108728j 0.00388627-0.00234881j -0.00690186+0.00462785j -0.00462958-0.00454739j 0.00983315+0.00148556j -0.000774666-0.0048726j 0.0198083+0.0015236j -0.00441551-0.00256905j -0.0120099+0.000361567j -0.00815947+0.00147309j 0.00154499-0.000513061j 0.0271474-0.00565213j -0.00494672-0.00130136j 0.0171715-0.000622064j 0.00783376+0.00412081j 0.0338803+0.00317557j -0.0114306+0.00652825j 0.0211991+0.00392813j -0.00342858-0.00478128j 0.0027363+0.00366891j -0.0352113+0.00278993j -0.00644362+0.00484378j -0.052542+0.00163265j 0.035689-0.000272786j 0.120332-0.00216879j -0.0600059+0.00879462j -0.0446916+0.00728287j 0.311483+0.00567317j -0.00823983-0.00852378j -0.0115314+0.00568114j 0.0229063+0.00395887j -0.0199679+0.0036047j -0.0199642-0.000452509j -0.0099308+0.00105963j 0.0171241-0.00286769j 0.0223452+0.0100581j 0.0205536+0.00620302j 0.0108734-0.0115016j -0.00547164-0.000105145j 0.0151687-0.00420435j -0.00401706-0.00278773j -0.00933282-0.00379831j 0.00184154-0.00914023j 0.00742733+0.00182576j 0.00406272-0.00526954j 0.0111478+0.000301895j -0.00116998-0.000989248j -0.0107384-0.012867j 0.00094437+0.00819261j -0.000759051-0.00443202j -0.00715147-0.0150218j -0.000194841+0.0075905j -0.00169771+0.00231323j -0.00081293+0.0108549j 0.00239542+0.000213462j 0.0061931+0.00544162j -0.00071876+4.00603e-05j 0.0026081-0.0108302j 0.0120362-0.00973311j -0.00674644-0.00835171j -0.00137602-0.00160668j 0.00668853+0.00982911j 0.00434764-0.00917876j -0.00104093-0.00149574j 0.00184038-0.0133413j -0.00196422-0.00342977j -0.00902071-0.0186658j -0.00217645-0.011383j -0.00412297-0.0449638j 0.00511231+0.0303131j 0.0170996+0.0368821j -0.0262244+0.0210003j 0.00363491-0.00512923j -0.0183771+0.00982881j 0.0171299+0.0194118j 0.00571919+0.0152848j -0.00284335+0.0573348j -0.00750292+0.0288701j -0.00968865+0.0521891j 0.00863307+0.0343073j 0.0214523+0.0104988j -0.00297625-0.0171327j 0.00505094-0.000157122j -0.00687661-0.00064196j 
-0.0106802-0.00120982j -0.000521813-0.00819588j -0.00367056-0.00446689j 0.0148176+0.00377521j -0.00748254-0.00642316j 0.0171075-0.000721626j -0.0143782+0.00389141j -0.00513228-0.0033538j 0.00245636-0.000325108j -0.00391695-0.00123156j 0.00829166-0.00463966j 0.0247557+0.00225994j -0.0136573+0.000347154j 0.00462044-0.00468191j -0.00253507+0.00108348j -0.00297472+0.0046513j -0.00848115-0.00480262j -0.000426245-0.00479363j 0.0235726-0.00394197j -0.014724+0.00703344j -0.01045-0.0059949j -0.00764303-0.00320049j -8.69216e-05+0.00249373j -0.0267322+0.00271393j -0.0524983+0.00316159j 0.0130869-8.34795e-05j -0.0233724+0.00681075j -0.0352021+0.00529392j 0.00329145-0.00527841j 0.0611901-0.000957223j -0.081644-0.00519628j 0.0662101-0.000317843j -0.129274-0.00539738j -0.0631865-0.00871161j -0.245948-0.000217171j -0.00570526+0.00762177j -0.00995218-0.00194098j -0.103-0.00118292j -0.0396715-0.00319911j 0.0407699+0.00203409j 0.00800137-0.00377921j 0.0147099-0.00338904j 0.0104886-0.00473658j 0.0210066-0.000766413j 0.00437172-0.00645074j -0.0154814-0.0039422j 0.00797682+0.00701683j 0.00370862+5.08504e-05j -0.00674261+0.0020898j 0.000651047-0.00491506j -0.00112639+0.00603326j -0.0103133-0.00378075j 0.00153356+0.00375504j -0.00564463-0.0120851j -0.00117281-0.016282j -0.00540406+0.00582873j 0.000932243-0.00366358j -0.0111797-0.0146894j -0.000135183+0.00629055j -0.00440608-0.00246756j -0.00414265-0.0116491j 0.00641927+0.00766947j -0.00545421+0.013615j -0.00295999-0.00209969j -0.00150557-0.00269434j 0.00142855-0.0128136j -0.0174104-0.0216746j 0.00411946+0.00688966j 0.0014699-0.00867813j 0.00428353+0.00103472j -0.00358145-0.00637934j 0.0103641+0.0323444j 0.00485172-0.00809075j 0.00486863+0.0279061j -0.0249307-0.0250842j 0.00272818-0.0157257j -0.0215391+0.0200394j -0.0168386-0.0341659j -0.00212179-0.00944031j 0.0055939+0.0536202j 0.00995688-0.0560391j -0.0193581+0.00415429j 0.0169273-0.00098946j -0.00789781+0.0396862j -0.00562715+0.0435823j 0.00779992-0.0498863j -0.0138812-0.0200801j -0.00736153+0.0264377j -0.000493131+0.00117321j -0.00156872+0.00192353j 0.000367265+0.00481707j 0.017288+0.00425691j 
0.000807061+0.00992049j -0.0130699-0.00226946j -0.0149422+0.00331363j -0.0135226-0.00179452j -0.00251329+0.000689544j 0.0120251-0.00407887j 0.0224306+0.000345409j -0.000978182+0.00210257j -0.027653+0.00176212j -0.0017455+0.00496021j -0.0144302-0.00261868j -0.00736613-0.000640198j -0.000922728+0.00276034j -0.0204662+0.002151j -0.00152676-0.00343803j 0.0241462-0.000362074j -0.00423819+0.00115536j 0.00499046-0.000228273j -0.0162058-0.00316764j -0.0101017+0.00517598j -0.00159895-0.000910035j -0.0344565+0.000816006j -0.010705-0.000521683j -0.0156695-0.00102652j 0.0493191+0.00199898j -0.0178212-0.00616037j -0.00264183-0.00194126j -0.0806419+0.0136891j 0.0515476-0.00361561j -0.0389598+0.00356252j 0.0500815-0.0016129j 0.00421908+0.00334967j -0.101452+0.00226315j -0.212966-0.00707823j 0.0691143+0.00391556j 0.0444188+0.00298716j 0.0631511+0.00320138j -0.0157266-0.00291937j 0.0359891+0.00131648j 0.0381061+0.000991241j 0.0233149-0.0036447j -0.00869871+0.00374046j 0.00749996+0.00207804j -0.0294508-0.00103318j -0.000850392-0.00032049j -0.00758421-0.00416128j -0.0159739-0.00325493j -0.00511932+0.000497075j 0.00620505-0.00384807j 0.0138512+0.00987536j -0.0059323+0.00402983j 0.00481504-0.00225041j -0.00369732+0.00963982j -0.00329699-0.00389194j 0.00594944+0.00246056j 0.00101729-0.00600642j 0.00258712-0.000177702j 0.0150471-0.000504667j 0.00899268+0.00786956j 0.0025288-0.0048007j 0.00335467-0.0100179j -0.0012448-0.00616099j -0.00528597+0.00194863j -0.00475572-0.00601724j 0.00117207+0.00286128j -0.0030193-0.000849079j -0.00216676-0.0051022j -0.00102971+0.00279318j 0.00382003+0.00254328j 0.00676274+0.0146237j -0.00177216+0.00776508j -0.00283011+0.0237673j 0.0055171+0.0258906j -0.00161054+0.00140432j 0.0175822-0.0148529j 0.00661467+0.0179995j -0.0213652-0.061315j 0.00314929-0.0168419j 0.0107454+0.0116029j 0.0184094-0.041107j -0.0133896-0.0344131j -0.00446743+0.0607409j 0.0120789-0.0634596j 0.00753985-0.00411796j 0.00702255-0.037106j -0.00178305-0.0319698j -0.00225031+0.0271536j -5.44272e-05+0.00630501j -0.0087137-0.00356739j 0.00713763+0.0150959j 0.0183595+0.00298415j 0.00307264-0.00249829j 
0.00569413+0.00404192j -0.00430054+0.00387896j 0.0057514+0.00172978j -0.00794114+0.00251911j -0.00484341+0.00274155j 0.00382972-0.00697229j 0.0200059+0.00203449j 0.00291942+0.00578995j -0.0134377-0.00168157j -0.00587566+0.0025887j -0.0169699+0.00859779j -0.0286221+0.000338095j 0.0128257-0.00084484j 0.00491187+0.00119484j 0.0166404-0.00115145j 0.0208583+0.00130712j -0.00982399+0.00373843j -0.00546372-0.00232161j -0.00669231-0.00123338j 0.00437111-0.00864994j 0.0197648-0.00571017j 0.00802232+0.000935396j -0.0494444+0.00533043j 0.0321567-0.00575234j 0.089907-0.000871401j 0.0497646-0.002069j 0.0384921-0.00125279j -0.0158484-0.0013682j 0.0405579-0.00176136j 0.0141716-0.00226328j 0.138334+0.00189238j 0.0118077-0.0118337j 0.153398+0.00125477j -0.0443532+0.00116226j -0.091408+0.00355168j -0.0113062-0.000791641j 0.0128221+0.0066989j 0.0202362-0.000321419j 0.0262197+7.53242e-07j 0.000662944-0.00230027j 0.00222368+0.0012054j -0.0126674+0.00318855j -0.00982769-0.00199527j -0.00359228-0.00310594j 0.00691856+0.0013647j -0.00681249-0.0070615j -0.0143641-0.00375108j -0.00131707+0.0110674j 0.00405006-0.00508273j 0.0083809+0.00349962j 0.000974049-0.00647801j 0.0187703+0.0176267j -0.00698909-0.00559468j 0.000693831+0.00877324j -0.00371376+0.00450138j -0.00507817-0.0033925j 0.00108168+0.0109584j 0.0132701-0.0064977j 0.00244407-0.00493878j -0.00145963+0.00558114j -0.00385377-0.0067575j -0.00397507+0.000665299j 0.00535104+0.0059158j 0.00282061-0.000924945j -0.00374571-0.00188393j -0.00844695-0.0253503j 0.0137107+0.0148462j -0.00774753-0.0144097j -0.00710373+0.0168869j 0.00423975+0.0305575j 0.00992549-0.0088037j 0.0030782-0.00630663j -0.00946635-0.0125864j 0.014798+0.0329775j 0.0259668-0.00967316j -0.00172813-0.0314203j -0.00495967+0.0193103j -0.00226376+0.0118554j -0.00240851-0.0746478j -0.00846955-0.021712j -0.00236512+0.00341311j 0.00503971-0.0260539j -0.010909+0.0481165j -0.00296018+0.0481122j -0.00313323-0.0234894j -0.00537062-0.000510217j -0.00382956+0.00822848j 0.00546409+0.011209j -0.00630583+0.00630531j 0.00929602+0.005598j 0.00266549-0.00147306j -0.00910465-0.00292063j 
-0.00216386+0.00394715j -0.00417541-0.00248862j -0.00461919+0.00510486j -0.00755538+0.00179293j 0.00132482+0.00189609j 0.00439844-0.00348945j 0.0184993-0.00293629j 0.00381368+0.00635768j -0.0320824-0.000745736j -0.00756856+0.00835038j 0.00309116-0.00125682j -0.0157672+0.00315369j -0.00282273+0.000811449j -0.0220232+0.00202813j 0.000871623-0.00660459j 0.0238106-0.000489748j -0.00407807+0.00351675j -0.00220572+0.000501105j 0.0083663-0.00308547j -0.0118414-0.00607291j 0.0273452-0.00596794j 0.000943497-0.00141022j -0.0178785-0.00400687j -0.0312273+0.00330902j 0.122431-0.0010828j -0.0555133+0.000678567j 0.0336002+0.00301869j -0.0332981-0.00394094j 0.1266+0.00959299j 0.0423653-0.00190899j -0.0083071-0.00699918j -0.154305+0.00102817j 0.0195429+0.00678868j -0.00208032+0.000394331j 0.00574178+0.00340975j 0.00971369-0.0024799j 0.00525956+0.00557367j -0.0222304-0.0035344j 0.00466169-0.00246096j 0.0159077-0.00405946j 0.0153089+0.000202085j 0.0067963+0.000847281j 0.000564976+0.00154059j -0.0125906-0.00473496j -0.00168874+0.00014284j -0.00234372-0.00211604j -0.0123235-0.00964854j -0.00939464+0.0056326j 0.00686774-0.00546893j 0.0147165+0.0129591j 0.00293823+0.0106058j 0.00610724+0.00681702j -0.00326863+0.00578137j -0.0062623+0.00462812j 0.00396896+0.00846631j 0.00121196-0.0139064j 0.00058879+0.000721895j 0.0173202-0.00177186j 0.00710491-0.00560613j 0.00271927-0.00281896j -0.00408123-0.00695605j -0.00233464-0.00112086j 0.00248871+0.0170026j -0.00567769+0.000734851j 0.0100467+0.038091j -0.00799272-0.0130004j 0.00319137+0.00385035j -0.00586365-0.00797623j -0.00504989-0.00538857j -0.00467762-0.00318148j -0.00611955+0.0412219j 0.00615455+0.0196993j -0.00405099-0.0467787j 0.00589434+0.00385663j 0.0242441-0.0136221j 0.00349607+0.0296821j -0.000279276+0.0270721j 0.0128868-0.00306809j -0.00820232+0.0646409j 0.0024503+0.0433977j -0.0111693+0.0411138j -0.00110586+0.00687405j -0.000196549+0.000360719j -0.00129856+0.0235237j 0.00385671-0.0148735j -0.0069033+0.000769933j 0.00185034+0.016302j 0.00366302+0.000747213j -0.0107357-0.000580314j 0.00595303+0.00967134j -0.000661345+0.000482988j 5.8989e-05-0.000732054j 
0.00124746+0.00504055j -0.00591628-0.000683922j -0.0149438+0.0058422j -0.0145522-0.00577098j 0.00865762+0.00131928j 0.00518608+0.00110486j 0.0161117-0.00165469j 0.0024287+0.000597238j -0.0149798+0.00177068j -0.00158225-0.000959019j -0.00902077-0.00402855j -0.00514226-0.000224632j -0.00577671+0.00199212j -0.0191947+0.00536814j -0.0123383-0.00211591j 0.0120235-0.00314466j 0.0195061-0.00245968j 0.0262199+0.000704067j -0.0300354+0.00160259j 0.00136332+0.00618278j 0.000767534+0.00304826j -0.0583697+0.00813561j -0.0149889+0.00110459j -0.0390265-0.00200094j 0.0276219+0.00306242j -0.116624+0.0010747j -0.0574562-0.0059842j 0.00403538-0.000953838j -0.00119218-0.00190634j -0.122453-0.000462377j 0.111774+0.00815833j 0.0604853+0.00793714j -0.0439864+0.00670338j 0.0526377+0.00209164j 0.0137951-0.00532472j 0.00868789-0.00283598j 0.0159478-0.00200546j -0.00107797-0.00190322j 0.011365+0.00251155j 0.00952775+0.000565002j 0.00589907-0.00154689j -0.0030841+0.00183113j 0.00728795+0.00717142j -0.028753+0.000242304j -0.00914635+0.000449448j -0.00270916+0.00238989j -0.00974154-0.00234229j -0.00588501-0.0011406j 0.00386948+0.00245231j 0.00316495-0.000745035j -0.00443066+0.00189657j -0.000551458-0.00872298j 0.00212637+0.0108435j -0.0025376-0.00332431j 0.00364933+0.00455822j 0.00588922+0.0040014j 0.000193903-0.00479344j 0.00590092+0.00989305j 0.00573333+0.0178589j 0.0112654+0.00282372j 0.00724544-0.00181377j 0.00223685-0.0145629j -0.00360912-0.0273927j -0.00919901-0.0162614j -0.000174024-0.0113671j -0.00642945+0.0272628j -0.00350516+0.000292709j 0.00190462-0.0051332j 0.0103515+0.0147416j -0.00233376+0.000843061j -0.0140143+0.0362819j -0.0111208-0.0356528j -0.00861923-0.00884973j -0.0114064+0.0435j 0.013363-0.0195074j -0.0123136-0.0112077j 0.000244641+0.0171905j -0.0128598+0.0804121j 0.00413359+0.0128974j 0.0071912+0.0517781j 7.85476e-05-0.0286336j 0.00706353-0.00290505j -0.0027476+0.0210165j 0.00355808-0.0369628j 0.00742603-0.00465349j -0.000753222-0.00453875j 0.00872245-0.00134449j -0.00427612-0.00933696j -0.00451718-0.00599466j -0.00208351+0.0054985j 0.00952779+0.00135177j -0.000720149-0.00147665j 
0.000630718-0.00633764j 0.00856226+0.00283755j 0.00785898+0.00478915j -0.00339895+0.00113474j 0.0145844-0.00150396j -0.00938231+0.00508828j -0.00309455-0.00302352j 0.0187587-0.000402389j 0.00886637-0.00359723j -0.0177904-0.00220511j 0.0166961-0.00383163j -0.00160444+0.0056681j -0.0103045-0.00273937j 0.0228056-0.000622285j -0.0252599-0.00613748j -0.00730974+0.00469006j 0.035732-0.00355359j -0.0182087-0.00962119j -0.0241546+0.00513092j -0.045624+0.00442655j -0.0326408+0.00836279j 0.0492371-0.00250016j 0.00591156-0.0039855j -0.0144619+0.00067374j -0.0573336-0.00354467j -0.073866-0.00117726j 0.0991987+0.00127906j 0.0805489-0.000717461j -0.0194138+0.0044731j 0.129889+0.00886003j 0.0825734+2.48012e-05j -0.00710109-0.00107221j -0.0631087-0.000811291j 0.00128825-0.00347911j -0.0155751-0.00348682j 0.00578292-0.000583457j -0.0226434-0.000364332j 0.0151441-0.000465307j -0.0124281+0.000975163j -0.0198582-0.00180134j -0.0113607+0.00266469j 0.00807955-0.0018082j -0.0126465+0.00358573j 0.000286962-0.00390241j -0.0103623-0.00217049j 0.0038733+0.00525695j 0.00635654-0.00266361j -0.0153706-0.00259901j -0.00745816+0.00226239j -0.00185962-0.00780155j 0.00678064+0.012186j -0.00455384+0.00155531j -0.00201602+0.0152738j -0.0100893-0.004599j -0.00412813-0.0225441j 0.00511787+0.00681063j -0.00652679-0.0060851j -0.00360801-0.000668984j -0.000545894+0.0199622j 0.000489844-0.00159248j 0.00297909+0.011642j 0.00229056-0.00771698j 0.00229848+0.0349995j 0.0084317+0.00965172j -0.0037293-0.0188215j 0.00494055+0.00227519j -0.0126247+0.0278957j 0.00890189+0.0619283j -0.00232929+0.033985j -0.0176248-0.0330634j -0.000177242+0.00363746j 0.00161361+0.0420638j -0.00116977+0.00252878j 0.00471799-0.0201358j -0.00722739-0.00829927j -0.00919981+0.050178j -0.00227711-0.0166486j 0.00998331+0.00788152j -0.00421836+0.0171101j 0.00800504-0.0103638j 0.00476047-0.0184016j -0.00885065+0.0565352j 0.000321805+0.0128017j -0.0022306+0.00789209j 0.00349465+0.00627293j 0.00427341-0.00679731j -6.21842e-05-0.0101555j -0.00564717-0.00244991j -0.00115138-0.000487072j -0.00219305-0.000821535j -0.00924888-0.001913j -0.00585869+0.000375265j 
