-0.0946602-0.00259851j 0.0320067-0.00995187j 0.00146028-0.00475464j 0.0888034+0.00283537j -0.00231379-0.00186369j 0.0170163-0.0121052j 0.0922872+0.00391172j -0.0367171-0.00605986j 0.0133076-0.00304094j -0.112212+0.00609178j -0.0504723-0.00573085j -0.0896187-0.0010031j 0.202198+0.00429048j -0.0732297-0.0251441j 0.262483-0.000718399j -0.0586738+0.00203272j -0.0378896-0.0123353j -0.0151153-0.013329j -0.028017+0.00868412j 0.00133518+0.0296387j -0.0024345-0.0198821j 0.0227549+0.00728658j 0.0172237+0.00877878j 0.00109819-0.000877726j 0.00512522+0.0100278j 0.00814281+0.0380514j -0.0100954-0.000369473j -0.000232818+0.0096243j 0.0180165+0.00373552j 0.00650743+0.00135787j -0.00861501+0.00380035j 0.00237314-0.00187764j 0.0053551+0.0539215j -0.000249678+0.00634651j 0.0049738+0.0153972j -0.0701011-0.0226087j -0.023854+0.0867719j -0.0187027-0.0262736j 0.00582069-0.0153802j 0.00895487-0.00983433j -0.0307985-0.0112756j -0.0156117+0.0069727j 0.00261962+0.0130648j -0.00317725+0.017266j 0.0142749-0.00479077j 0.00982278+0.0185002j 0.0213525-0.000386918j -0.00329617+0.00862184j 0.0174514+0.00181653j -0.00828419-0.00608845j 0.00960279+0.00260359j 0.00443613+0.00482633j -0.0104117+0.0016719j 0.00830598-0.0048429j -0.00948448-0.00777534j -0.00339293-0.00587304j 0.0140192-0.0025848j -0.000538716-0.00687217j -0.0037519-0.0054198j -0.00765858+0.00186173j -0.00046058+0.00612806j 0.00328762-0.00645635j -0.0165642-0.00796096j 0.00556366-0.000903287j 0.00197294-0.00308675j -0.00708006-0.00436123j -0.0107823-0.0047147j 0.00773083+0.00250762j 0.0041405+0.0046545j 0.0192389+0.00168968j -0.00577038-0.00528921j -0.0123422-0.0137j -0.000329012+0.0135629j 0.000521953-1.3575e-05j 0.00571448+0.00130894j 0.00874791+0.0129814j 0.00183215-0.00125674j 0.00163658-0.00588028j -0.00847729-0.00432137j 0.000252418-0.0157303j -0.0133431+0.00222467j 0.00653959-0.0131982j -0.00752922-0.00632204j 0.00171843-0.00713215j 0.0131689+0.00276647j -0.00540559+0.0125367j 0.00189854+0.00517425j -0.0411986-0.00374616j -0.0131653-0.00499803j 0.0516007+0.0163192j -0.00589029+0.09685j -0.0140793+0.0217547j -0.0224499-0.0184514j 0.0542552-0.089665j -0.0874108-0.0403956j 
0.0283249-0.0118378j 0.107618+0.000611528j 0.0819919-0.00132021j 0.0585246+0.0056672j 0.0334346-0.00445444j 0.0629188+0.00144913j 0.0312647+0.0016855j -0.0215489+0.00364463j 0.0432675+0.00105895j -0.0167343-0.00933395j 0.00686383-0.00640565j -0.0986215+0.0106522j -0.0824503+0.00143833j 0.310701+0.00224982j 0.0692465+0.0234865j 0.032799+0.0133289j -0.0663812+0.000796513j -0.032507+0.00143037j -0.00431904+0.0135452j -0.00013169-0.00572471j -0.0143986-0.0173997j 0.0046439-0.00469189j 0.0038806-0.0124973j 0.00281728-0.0033664j -0.010327-0.018731j -0.0024076-0.0199444j 0.00112014+0.00591332j 0.00482825+0.00182617j -0.00149596+0.00848695j -0.00286948-0.0152717j 0.00845284+0.0318543j -0.0161088-0.0520099j 0.00617956-0.00749429j 0.0112868-0.036599j 0.00310584-0.0107714j 0.0237686-0.0903545j -0.0668435-0.0293736j 0.00185993-0.0202028j 0.0196144+0.0295699j 0.0369752+0.00259534j 0.00642781-0.0101076j 0.00908019+0.00765233j 0.00473245-0.00736884j -0.00828606-0.00640703j 0.00343392+0.00590395j -0.0083658+0.00630014j 0.0122488-0.00384704j 0.0128242+0.00655568j 0.00881457+0.00584866j 0.000323944-0.000421452j 0.00389239+0.00281383j 0.0128639+0.000223506j -0.00483157-0.00132575j -0.00606548-0.00595219j 0.00250342-0.0054431j -0.00783646+0.00492029j -0.000947298+0.000371912j -0.0033112+0.00405248j -0.00383072-0.00613764j -0.00126676-0.00714237j 0.0035626-0.00739039j -0.0120194-0.00276876j 0.00149632+0.00686073j -0.0073254-0.000610416j -0.00128357+0.00316423j -0.00111633-0.000378799j -0.000784949+0.00369712j -0.00170774-0.0043348j -0.00475571+0.00403531j -0.0146095-0.00822138j -0.0140855-0.000108173j -0.00603362+0.0019225j 0.0186902+0.0160495j -0.00716165-0.00403896j 0.00368877+0.00600544j 0.00748201+0.00419047j 0.000634613+0.0179393j 0.00527636+0.00303206j 0.00522151+0.0096793j 0.0030478+0.0202745j -0.0129651-0.00489106j 0.0191577-0.0109791j -0.0043827-0.0197392j 0.0259276-0.0213777j 0.00303328-0.00140239j -0.00716909+0.0198202j -0.0257907-0.005099j 0.00748807-0.00885869j -0.0353219-0.00401042j -0.0087576+0.0884691j -0.0424728-0.0131845j -0.0347815-0.036457j 0.0373085-0.0197642j 0.0821377+0.0346461j 0.0474402-0.085881j 
0.0158414-0.00976541j 0.0613948-0.00093618j 0.0498037-0.00440385j 0.0672592+0.00108705j 0.0289922-0.00224558j 0.0253509-0.00430735j 0.0775692+0.00327009j -0.0791146+0.00482101j 0.0389325+0.00119337j -0.0515678+0.00197579j -0.0527369+0.00432802j -0.128091-0.00202285j 0.112422+0.0199533j -0.042398-0.00554558j -0.125243-0.00646962j 0.0202597+0.00922861j -0.0382982-0.00021222j -0.0243104-0.00781577j -0.0152413+0.000929336j -0.00834487+9.92134e-06j -0.00424576-0.0104252j 0.0135969-0.00230604j 0.0150587+0.0186633j 0.00727652+0.0173729j -0.00383138-0.00255686j -0.00579624+0.017192j -0.0103851+0.0152608j -0.00141941+0.0101374j 0.0162189+0.00429486j 0.00295725-0.00158941j -0.00157755+0.0146397j 0.00538667+0.0314322j -0.00986799-0.0609419j 0.0218455+0.0288903j -0.0256817+0.0969439j -0.00742769+0.0218606j -0.00512997-0.0209158j -0.00475289-0.0109829j 0.00471631+0.0200177j 0.0172274-0.000992052j 0.00352988-0.004511j 0.00461042+0.00435638j 0.00664813+0.00406005j -0.0050501-0.00143053j 0.00505261+0.00468669j -0.000154027+0.00338763j 0.0138173-0.00161832j 0.000260074+0.00474483j 0.0104118-0.000635801j -0.000162071-0.00474941j 0.00349815+0.00157017j 0.0126829-0.00363752j 0.00784736-0.00463853j 0.00121178-0.00687225j -0.00890553-0.00440921j 0.0018405-0.00615687j 0.00954277-0.001954j 0.000557641-0.00616299j -0.0066626-0.00978976j -0.0131198-0.0102701j -0.00355073-0.011386j 0.00512813+0.0042026j 0.00226762-0.00739466j -0.000242404+0.00138787j 0.00368821-0.00752282j -0.00426279-0.00178495j -0.00764739+0.00106535j 0.00701589-0.000465443j 0.00229378+0.00805073j 0.000876747+0.00425111j 0.00690376+0.0120265j 0.00302518-0.00769637j 0.000405351-0.0100871j 0.00276066+0.0119977j 0.00706219+0.0101774j 0.00366583-0.0270679j 0.0126532+0.01035j -0.0066446-0.0117853j 0.00334884+0.00977711j 0.00448179+0.00365367j 0.0207462-0.0156755j -0.014967+0.0112236j -0.0219293+0.00727745j 0.0269029+0.0098403j -0.00643173+0.0538765j -0.00393519+0.0133831j -0.0155054-0.0160696j 0.0115903-0.00794608j 0.019635+0.0152287j 0.018579+0.0074731j -0.0076202+0.00834979j 0.0426901-0.0187351j 0.0251091+0.017429j 0.018539-0.00679238j -0.000304371-0.0171069j 
0.0614573-0.00726592j 0.0231661+0.00647916j 0.0618202-0.00648651j 0.0528568-0.00358806j 0.0267965+0.00653504j -0.0176141+0.00129284j 0.0344822+0.0057803j -0.096331+0.00860821j 0.0667927-0.0025636j 0.110651-0.00797735j 0.00732112+0.00847856j -0.0911163-0.00449474j -0.0465623+0.00563051j -0.0421265+0.00137153j 0.0283987+0.0023055j 0.0400957+0.00543714j -0.00393609+0.00708709j -0.0252553-0.0141963j -0.0133909-0.00489478j -0.0149566-0.0036553j 0.00686671+0.0188724j 0.00134504-0.0212791j 0.00814644+0.0197087j 0.00883877+0.0304003j -0.0145707-0.0264532j -0.0149633-0.00828399j -0.00174466+0.0294267j 0.00566213+0.0034132j -0.00607602-0.0136395j 0.00360409+0.0234216j 0.0033767-0.0832079j 0.00293646-0.0203055j 0.0149115-0.0206761j 0.00144696+0.065488j -0.0152221-0.0201945j 0.00838033+0.00717823j -0.00313981+0.0106464j 0.000493128+0.00756503j 0.00505655+0.0169992j 0.00678861-0.00433295j 0.0145409-0.00284337j 0.00908853+0.00512866j -0.00021594+0.0108354j -0.00574266+0.00161492j 0.00610866+0.00758543j 0.00359281-0.0111219j 0.0134643+0.00171887j 0.0015094+0.00365715j 0.000681422+0.0046317j -0.00266862-0.00459271j -0.000989091+0.000886062j 0.00500805-0.0106514j 0.0138083-0.00560056j -0.0054143-0.00698128j -0.00744973-0.00197079j -0.0019167+0.00367965j -0.00505049-0.00529421j -0.00353067-0.00147241j -0.00814744-0.00730793j -0.00499912-0.00732517j -0.00575082-0.0154836j -0.00637947+0.00426506j 0.0120706+0.00930637j -0.00506455+0.00340836j 0.000178071-0.00412125j -0.00676077+0.00956115j 0.00299211+0.0132702j 0.00490676+0.0064861j 0.00113629+0.00015843j -0.00986349-0.0014538j -0.00452872-0.0281038j -0.0135138+0.00263226j -0.00382974-0.0261239j 0.0103937-0.00940784j 0.0167256-0.00346548j -0.0182885+0.0139575j -0.0245933-0.00399755j 0.0223628+0.00950273j -0.00880683+0.0153507j 0.00216946-0.0120433j 0.0127275-0.0121406j -0.00247033-0.00834693j -0.00326412-0.0313999j -0.0152345-0.00686798j 0.00655727+0.0153558j -0.00295004-0.0210235j 0.00340232-0.00697705j 0.00747935-0.00995574j -0.0336232+0.0136688j 0.000612804+0.00857516j -0.00897147-0.00241715j 0.0276031-0.00527322j -0.00149797+0.0206625j 0.00755632+0.0118526j 0.0123285-0.00802694j 
0.0167409-0.00723237j 0.0432681+0.000863533j 0.0504818-0.00214078j 0.0379383+0.00406097j 0.0133939-0.00519918j 0.079809-0.00349346j 0.0571526-0.00795537j -0.00500383-0.00728728j 0.0689287+0.000191353j -0.0916989-0.00839438j -0.0749244-0.00678826j 0.106508+0.00174106j -0.0232657+0.0023725j -0.0320877-0.00429715j -0.0199844-7.07792e-06j 0.0172164+0.00685788j -0.0214569+0.000654675j -0.0193917-0.00243966j -0.00154876+0.0102139j 0.0072017+0.00378574j -0.0109607-0.0223634j 0.0141045+0.0156551j 0.00875958-0.0182524j -0.00104951-0.0140667j 0.00476561-0.00128272j 0.00754628-0.00283404j -0.0170489-0.0438646j -0.00823223-0.0807398j -0.00582863-0.0471555j -0.00113961-0.0510656j 0.005331-0.0357534j 0.0189438-0.0667673j -0.00980648+0.0456903j 0.00953194+0.00465326j -0.00649998-0.00262629j -0.00438072+0.00738866j -0.0102564+5.78826e-05j -0.00368596-0.00443108j 0.00335318+0.0130045j 0.00967633+0.00149137j 0.00326994-0.00369203j 0.00393934+0.00603587j 0.00619657-0.00289444j -8.99336e-05-0.00259148j 0.00321846-0.00236638j -0.0083708+0.00932446j 0.00619045-0.000947705j 0.0056482+0.00508593j 0.00396357+0.00493557j -0.00149062+0.00205862j 0.00753533+0.00553537j -5.85649e-05+0.00744985j -0.00872725-0.00254327j 0.00205414+0.00166808j 0.00170231-0.0024934j -0.0105127+0.00440432j 0.00303805+0.00081495j 0.011113+0.00316511j -0.00973048-0.000849757j 0.00915257-0.000487599j -0.0218101+0.00702931j -0.0151608-0.00914507j -0.0101742+0.00347231j 0.00364329+0.0304802j 0.00897252+0.0158147j -0.0121978+5.73234e-05j -0.00601951-0.00557782j -0.0135177+0.0164083j 0.000917545-0.000672377j -0.00191608+0.0135654j 0.00184921+0.00944554j 0.0168779-0.00522576j -0.00452914+0.00415523j 0.000984117+0.00764538j -0.00951067-0.00120706j 0.00481559+0.00892232j 0.00452002+0.000428779j 0.00327081+0.0107305j -0.0114519+0.0247488j 0.0052671-0.0119316j -0.00132835+0.0275358j 0.0127837+0.0199754j -0.0067372+0.00221826j -0.000105748+0.00444096j 0.00788054+0.00438778j 0.00890493-0.00179529j 0.0363955-0.0041861j 0.0098646+0.0123676j 0.011841+0.00084309j 0.0032884+0.00891873j -0.00848253+0.00308624j 0.00144797-0.00379372j 0.000843083+0.000989428j 0.0123779-0.00162954j 0.00137326-0.0130197j 
0.0311944-0.00671289j 0.0351612+0.00299103j 0.0489357-0.002441j 0.0259806+0.00134741j 0.0324436-0.00673985j 0.0827522-0.000895008j 0.0537377-0.0027967j -0.0384872-0.00338202j -0.0520282+0.00402144j -0.0618685-0.00654116j 0.0953812-0.0011333j 0.0515778+0.00234317j 0.00147476+0.00341401j -0.0258185-0.00194785j -0.00247246+0.00109819j 0.0235708+0.00621966j -0.0139382+0.0030694j -0.0170084-0.00221955j -0.00108828+0.00472001j 0.000908145-0.00881907j -0.0146346-0.0259356j 0.0147516+0.00786312j 0.00896734-0.010319j 0.00231178-0.00369992j 0.0128768+0.0543893j -0.0030866-0.0493469j -3.5546e-05+0.0133276j -0.00326952+0.0397231j -0.000440303-0.0112623j -0.0115101+0.070982j 0.000186727+0.0693429j 0.00936825-0.00955704j 3.79778e-06-0.0091614j 0.00715702+0.00621173j -0.00784059+0.00014902j 0.000438813+0.00521872j -0.00815413+0.00244892j -0.00271187+6.50029e-05j 0.00417077+0.013422j 0.00780506+0.00098344j 0.00588613-0.00147079j 0.00586881+0.00428863j 0.00397919-0.00142519j 0.0014761-0.00635503j -0.000825413+0.00247677j -0.00916124+0.00878047j 0.00662056-0.00149493j 0.00154463+0.00418623j 0.000977044+0.00260286j 0.00178633+0.00326436j 0.00422301+0.00322765j 0.0031782+0.00968309j -0.0140262-0.00286419j 0.000989888-0.00177305j -0.013983+0.000466165j 0.00732724-0.000393245j -0.00834834+0.00104698j 0.00283824+0.0028178j -0.00561777-0.00189066j -0.00959511+0.0104294j 0.0162022+0.00112886j 0.00993675+0.0225361j -0.0163695-0.0063442j 0.0031552-0.00468824j 0.0313735+0.0150889j 0.00868939-0.0395939j 0.00470827+0.0256801j -0.0290124+0.0123333j 0.00315456+0.0114955j -0.0137056+0.00412423j -0.0103244-0.00912955j 0.00161952+0.0100148j -0.0097581-0.0061169j 0.00829013-0.0440259j 0.0272125+0.000644794j -0.00219085+0.0222667j -0.0175452-0.00847438j 0.0169482+0.0123119j 0.0177255-0.012621j -0.00481176-0.018164j -0.014765+0.0157129j 0.000337324-0.000389123j 0.0264364+0.00542279j -0.0198263+0.00348682j 0.000831911+0.00574576j -0.00639308+0.000245463j 0.0187477+1.46962e-06j -0.0148698+0.00793234j 0.0076224+0.00657823j 0.000954805+0.00775945j -0.00650192+0.000549739j 0.00442022-0.00624195j 0.00353335+0.00351429j 0.00989297+0.00242421j 0.0046436-0.0106934j 
0.0315034-0.000951965j 0.00234196+0.00444168j -0.013733+0.00463574j -0.111049-0.000548366j 0.0428274-0.0137403j 0.129916+0.000903391j -0.0835766-0.00215529j 0.0225593+0.006397j 0.0629374+0.0140917j -0.0441818+0.001963j -0.000776217-0.00959344j -0.0226765+0.00516021j 0.0308207+0.000203708j -0.0119448+0.00201975j 0.0150899+0.00277445j 0.019318+0.00178152j 0.00245099+0.00529775j 0.00950851+0.0196341j 0.0218274-0.00301101j 0.00921886-0.0492255j -0.0272553-0.0459533j 0.00327843+0.0370171j 0.00378098-0.00976224j 0.00563326+0.00274298j 0.00159289+0.00762042j 0.0120948-0.00836102j -0.00143462+0.0651984j -0.00468916-0.0266558j 0.00153664+0.0416235j 0.00937313-0.0378143j -0.00650083+0.0236181j 0.0021692-0.0118931j -0.0113246+0.00419883j -0.00219079+0.00126223j -0.00229406+0.00348296j 0.0102631+5.27882e-05j -0.00111531+0.00342399j -0.00139441+0.00478738j 0.00362617+0.00724766j -3.03997e-06+0.0054236j 0.00159719+0.00599631j 0.00952071-0.00439501j -0.000422132-0.012003j 0.0148784-0.0184314j -0.0100721+0.00332899j -0.0194411+0.0137705j -0.0124262-0.00383425j 0.00131194-0.00783896j -0.00330193-0.00787725j 0.000894854+0.0165918j 0.0146849-0.00260069j 0.0253134+0.0155312j 0.00526761-0.00713674j 0.00257856+0.00933208j 0.0245791+0.00726248j 0.00681301-0.00477275j 0.0193093+0.000933277j -0.00379685+0.00856674j 0.0199885-0.00472545j -0.00391482-0.0312954j -0.0196763-0.009498j -0.00140107-0.0174287j 0.0132422-0.0203996j 0.00454645-0.00452107j 0.00414164+0.00174131j -0.00755396+0.0195248j 0.00581209+0.0185648j -0.00444127+0.0120345j -0.000222368+0.000331202j -0.00943293+0.00259349j -0.00294875+0.0128547j -0.00328814+0.0160792j -0.000884672-0.0183664j 0.00632062+0.0117706j 0.00192601+0.00283524j 0.00539043-0.00887531j -0.00231673+0.00257928j -0.0100194-0.00681506j -0.00186117-0.00411044j 0.00975386-0.0147009j 0.0207679+0.00792008j -0.0173177-0.00494485j -0.00509988+0.011501j -0.00177248+0.00983606j -0.00169806-0.00147698j -0.00155982+0.00891317j 0.00982361+0.00267096j -0.0156645+0.011886j 0.0158565+0.00495559j -0.00675077+0.00158553j 0.00148216-0.00732678j -0.00389572-0.00610279j 0.00662845-0.00288634j -0.000351986+0.00755126j 0.00775164+0.000299359j 
-0.0306247+0.00454263j -0.0215727-0.00316139j -0.0452646+0.00271476j -0.0258013+5.79633e-05j -0.100631+0.00488924j 0.0100913-0.00423062j -0.0486649-0.000889525j -0.0825598+0.001218j 0.0126584+0.000741565j -0.00894687+0.00261331j -0.0010666-0.000807426j -0.0174123-0.000678956j -0.00958656-0.00192038j 0.0120035+0.000242056j -0.00295847-0.00102262j -0.0181366-0.00429958j 0.00632818-0.00334198j 0.0136953+0.00336699j 0.00256321-0.00149997j 0.0120755+0.0187403j 0.0142681+0.00786198j -0.00336911+0.0295805j -0.00210399-0.0565148j 0.0149288+0.0829809j -0.0068966-0.0385957j -0.00127737+0.0440099j -0.000550558-0.0265372j 0.00588233-0.0786065j 0.00518838-0.00285396j 0.00580721+0.00526381j 0.00100765-0.000185302j -0.00683773-0.00503595j -0.000968181-0.00201759j -0.00339513-0.00461506j 0.00637217-0.000664197j -0.00346564-0.00215531j 0.00486427-0.00184041j 0.00117972-0.00172008j -0.00261524-0.00904577j -0.00472639+0.000602175j -0.00623705+0.00068395j -0.0043272-0.00335167j -0.00194977-0.00039211j 0.00131336+0.00562058j 0.00490593-0.00892928j -0.0041879+0.00278399j -0.00944288+0.00391429j 0.000583276-0.00458862j -0.00937978+0.00447068j -0.0247494+0.00891184j -0.0053582-0.00025488j 0.00856966-0.00532652j 0.0118354-0.00683081j 0.0272655+0.0125322j -0.00920034+0.0119596j -0.00593806+0.0074215j -0.0165453-0.0170967j 0.0192887-0.0110007j -0.00608847-0.0347618j -0.00911882+0.00349345j 0.00714742+0.0168773j -0.000610783+0.0105688j -0.0134288+0.00905691j 0.00596769+0.00601123j 0.0198973+0.000228654j 0.00507155-0.0248079j 0.0161669+0.0407997j -0.0216236+0.00306951j 0.00709971-0.0164989j -0.0180853+0.0176551j 0.0032007-0.0257453j -0.0338543+0.00602351j -0.014255-0.0138671j 0.00299672+0.00377225j 0.00596515-0.00105437j -0.0113477+0.00324501j -0.00590871+0.00182735j 0.01566-0.00693871j -0.0072283+0.00463712j 0.00795846+0.0040759j 0.00805999-0.00208891j -0.00193925+0.00144007j -0.00406846-0.000560355j 0.000882935+0.00151653j 0.000658349-0.0041545j 0.00367062+0.00207263j -0.00276172+0.000205761j 0.00468404-0.000829118j 0.000766054-0.00434248j 0.000834608-0.00510545j 0.00436389+0.00148331j -0.00457699+0.0038734j -0.00219035-0.00395207j -0.0052262-0.00439279j -0.00521514+0.00600737j 
0.0963866-0.0099295j 0.031699+0.0111731j 0.147141-0.00976394j 0.0433792+7.78263e-05j -0.0183018+0.0019842j 0.00202432+0.0111897j -0.0508524-0.00290177j 0.00418613-0.000491039j -0.0357113-0.00996571j -0.0121341-0.00660987j -0.00948832-0.00387272j 0.00490498-0.00337589j 0.0283641+0.00276193j -0.0183195+0.000431298j 0.0102672+0.00184831j 0.0513323+0.0087028j -0.00419937+0.0124481j -0.0476203-0.0147391j -0.00122003+0.0123039j -0.00499876-0.020778j 0.00348882+0.0379843j 0.00644564+0.0431327j -0.0049069-0.0580973j 0.00194512-0.00090122j 0.00951298-0.0699725j 0.00354234+0.0125946j 0.00449231-0.0346564j -0.00151261+0.0134814j -0.0045189-0.019008j -0.0111149-0.00347357j 0.00343291+0.00611336j 0.0172688+0.012806j 0.000462965+0.0192799j -0.00199316+0.0118119j -0.0142411-0.000672081j 0.0109353+0.00314345j -0.00697181+0.00487258j -0.00309221+0.0107669j 0.00690343+0.022899j 0.00530346-0.00313854j 0.0190008-0.00526244j 0.0115004+0.0124292j 0.00656541+0.000478825j 0.00243848-0.00846562j 0.018673-0.00346805j -0.00745245-0.00768582j 0.00500655+0.00766122j 0.0205737+0.00174161j 0.012462+0.00697607j 0.0102238+0.0090503j -0.00217627+0.015j -0.00886748-0.00712708j 2.3597e-05+0.00269269j -0.00232235+0.0138004j 0.0205315-0.0173104j 0.00626543+0.010983j 0.010629+0.0138678j 0.00543983-0.00401671j 0.00296057+0.0101332j 0.00121952-0.00905188j 0.00591716-0.00379453j 6.27957e-05-0.0134628j 0.00859269-0.00427886j -0.00970276-0.00161938j -0.00995679-0.017965j 0.00389039+0.00170895j 0.00703546-0.00320695j 0.00814627-0.0327406j -0.00891104-0.0129817j 0.00359374+0.0140948j 0.0181458+0.0103202j -0.0139411+0.000153089j -0.00825142+0.0144493j -0.0150902-0.00422503j -0.00476508+0.0116206j 0.00806116-0.00167715j 0.0216139-0.00124611j -0.000413464+0.00162506j 0.00499632-0.00299438j -0.00131308-0.0117716j -0.0097413+0.0132853j -0.00361083+0.00613386j 0.00733305-0.00630398j 0.00242932-0.00754436j 0.000660974+0.00733436j -0.00143728-0.0116399j 0.0174325+0.000348205j -0.00219785+0.005659j -0.00517134+0.00764938j -0.00483881+0.00918433j -0.00917966-0.00677618j 0.0122455-0.00499796j -0.000800617+0.0111922j 0.00685031+0.0133676j 0.0142549-0.00902956j 
0.136826+0.000330529j -0.0943382+0.0200804j 0.042755-0.013531j -0.033468-0.0114971j 0.0124812+0.00197576j 0.0394205+0.00704035j 0.033922+0.00377811j -0.017761+0.00641046j 0.0184439+0.00483171j -0.0298501-0.00688906j -0.00557239+0.000198087j -0.030981-0.0055701j 0.0159303+0.000257845j 0.000743944+0.00231095j 0.0156255-0.00134542j 0.0616827-0.00778977j 0.0535546+0.0239857j -0.0259025-0.0380776j 0.00502102-0.0377559j -0.00614371-0.0240158j -0.00829391+0.00875468j 0.00670249-0.0558285j -0.00139378+0.0229523j -0.00570031+0.019327j 0.0119495-0.00165894j 0.00191045-0.012448j -0.00226472+0.0015616j -0.00721143-0.00435302j -0.00289376-0.0133371j 0.0062179-0.015374j -0.00806756+0.0184737j 0.0145194+0.000109422j 0.00225128+0.00743412j -0.0134931+0.00230357j -0.00618156-0.00455124j 0.010006-0.00203782j 0.0133091+0.00735067j -0.000638381+0.0372934j 0.0148398+0.0128224j -0.0125055-0.0122767j 0.0246066+0.00200825j 0.0133894-0.00158773j -0.0166788+0.017266j 0.0148287-0.0104259j -0.0027833+0.0225983j -0.0292687-0.0131647j 0.0079651+0.0124588j -0.0080038-0.00123054j -0.0276907-0.00515937j -0.0131242+0.00772999j -0.00604914+0.00558336j -0.00519547+0.0177518j -0.00910443-0.0261206j 0.0058605+0.00366345j -0.0123694+0.0147344j 0.00296736+0.0168445j -0.00982321-0.0159837j -0.00427831+0.00183964j -0.00607655-0.0081244j -0.0121051+0.0203455j -0.00310938-0.00249003j -0.00339528+0.00958578j -0.000215419-0.00298989j -0.00308053-0.00143135j 0.00514888+0.00932282j 0.00125716+0.000448808j -0.00173973-0.000530264j -0.000523424-0.0037861j 2.28349e-05+0.00178405j 0.0030494+0.00586259j 0.00286713+0.0142143j 0.000904819+0.00525356j -3.92566e-05+0.000592267j -0.00185518+0.00199173j 0.0005408+0.00294703j 0.00697244-0.00736896j 0.0075099-0.000694431j -0.00924937-0.000273324j 0.00204931-0.00613853j 0.00361015-0.0195496j 0.00344553+0.00321905j -0.00935315-0.00738332j 0.00225967-0.0118635j -0.00310104-0.00787716j -0.000273589+0.00227218j -0.000671055-0.013743j 0.0118371+0.00691387j -0.0136128+0.00181988j -0.0147501+0.00911339j -0.00712506-0.00598811j 0.00259316-0.00834473j 0.0160615+0.00130311j -0.00690336+0.0140507j -0.0102605+0.0123704j 0.00994079+0.00936385j 
0.0515521-0.0133106j 0.124668-0.00410951j -0.0785841+0.0211361j 0.032635-0.00580213j -0.0623232-0.0133792j -0.0287206-0.00415275j -0.0166138+0.00170524j 0.0457228+0.00331561j -0.00916898-0.00270087j -0.0124308-0.000803734j 0.00623323-0.000943309j -0.000461+0.00101617j 0.00574023+0.00267265j -0.0109787+0.000734407j -0.00186623+0.00144514j 0.0272916+0.0196938j -0.0566337+0.00162772j 0.0250674+0.0496375j -0.0157532-0.0465821j 0.0120012-0.0205367j 0.00552129-0.0625037j -0.00225956-0.0250944j -0.00271499+0.00649653j 0.010787-0.00452537j 0.000468007-0.000881555j -0.00816031+0.0186678j 0.00598913-0.0154607j -0.000937835+0.00524525j -0.00748509+0.0155154j -0.0044741+0.000646388j 0.00304665-0.00130969j 0.00421504-0.00299765j -0.00152921+0.00393328j 0.00639023+0.00762271j -0.00880983-0.0011255j 0.00811224+0.0042739j -0.00671638+0.00237102j -0.012946-0.019182j -0.00562315+0.0223632j 0.0204567+0.00896035j -0.00682297+0.021361j 0.0225607-0.0172789j 0.004859-0.0127902j -0.0229439-0.00499122j 0.0119384+0.010067j -0.0169622+0.0214402j -0.0131842-0.0162763j -0.0148518-0.0128978j -0.00280504+0.0125137j -0.0159645-0.0190319j 0.0139421+0.0186678j 0.018974+0.00447491j 0.0215244-0.00263722j -0.00478607+0.00597259j -0.0145974+0.00914313j 0.000975367-0.00455274j -0.00337616-0.0259436j 0.00352839-0.00278539j 0.00254168-0.0117228j 0.0053539-0.0231113j 0.0164136-0.00656902j -0.009684+0.0181115j 0.00419057+0.0151951j 0.000423632-0.0041296j -0.000255045-0.00685928j 0.00360203-0.00238402j -0.00021965-0.003312j 0.00327744-0.00290146j -0.00613494-0.00797463j -0.00122796-0.0103213j 0.000905774+0.00167206j 0.00239277+0.000435383j -0.000719213-0.00350515j -0.003379+0.00100627j -0.00505545-0.0019908j -0.00800423+0.00697968j -0.00641462-0.000462765j -0.00267526+0.00775849j -0.00157345+0.00137212j -0.00658698-0.00223411j 0.00210221+0.00027307j 0.00171814+0.00376814j -0.00255428+0.00426266j -0.00660736+0.00728088j 0.000181193+0.00407892j -0.00531686+0.00344407j 0.00342513-0.00541665j 0.00231665+0.00340143j 0.00786313+0.00568598j -0.00293456+0.00711374j -0.0046803-0.00283688j 0.00135399-0.00909142j 0.00826008+0.0012847j 0.00750951+0.00612398j 0.0066193-0.00774576j 
