0.0411317+0.0251027j -0.131929-0.101133j -0.013278-0.144901j 0.00313192-0.0249453j 0.0326885-0.0434738j -0.0268502-0.0631858j -0.0101702+0.0421325j -0.00974053+0.0274085j 0.0105462-0.0417409j 0.0484277-0.0246861j -0.0198121-0.036742j -0.0293529+0.0294656j -0.00965628-0.000660802j -0.000196533-0.0356042j 0.00194382-0.00997387j -0.0107922+0.0398079j -0.0519362+0.00371424j 0.0427755+0.00116329j 0.0460934+0.029236j -0.00464696-0.0340984j 0.0652838-0.0125061j 0.0292073-0.0456121j -0.0505745-0.0234117j -0.00657816-0.0154972j -0.147487+0.00534165j 0.0866818+0.23383j 0.162903-0.081387j 0.11198-0.0107521j -0.112456+0.0144513j -0.0204583-0.0867582j -0.0368719-0.0665807j 0.0208454+0.0445473j 0.0404707-0.0358519j -0.0396729-0.0157203j 0.0148121+0.0516943j 0.0322788-0.0112605j -0.00265704-0.0311394j 0.0154485+0.0173933j -0.0126641+0.017468j 0.00700772+0.0151947j -0.0236792-0.0284254j -0.00094474-0.00556599j 0.0179226-0.00494774j -0.0277118-0.00880621j 0.0190825+0.0107876j 0.00130408-0.0176745j 0.012799+0.00216772j -0.0127103+0.0034494j 0.0055523-0.00179635j 0.00339971+0.0248591j 0.00095174+0.013879j 0.0214051+0.00174232j 0.0172116+0.0183994j -0.0260795-0.027722j -0.0295465-0.00891877j -0.0210773+0.0024899j -0.00457504+0.00197628j -0.0335252-0.0329052j 0.0338275+0.0409858j 0.0212839+0.0120412j 0.00964816+0.013754j 0.0398819-0.0128901j -0.0126079-0.0559533j 0.0413284-0.0727516j -0.10282-0.026962j 0.308146+0.0611051j 0.00574197-0.250762j -0.00051866+0.00326267j -0.13773+0.129192j 
-0.0152701+0.0555223j -0.024477-0.00277648j -0.00527819+0.0387221j -0.0123829+0.059863j 0.0321662-0.0225512j 0.0932692-0.0916893j -0.0422792+0.0119679j -0.0648622-0.0735621j -0.0695426-0.00637597j 0.0126951+0.000780343j -0.0667137+0.0487549j -0.0328653+0.140902j -0.0738336+0.0425827j 0.0846891+0.0748379j 0.0225246-0.0525016j -0.000953934-0.0912261j -0.125506-0.0320652j -0.0312936-0.0253036j -0.0623195+0.160966j 0.107576+0.0683301j -0.143159+0.0563373j 0.0650778-0.0327111j -0.152797+0.0578697j 0.00669053+0.114874j -0.0744112-0.0379777j -0.0227122-0.0926764j -0.00431302-0.199561j 0.0743474-0.111642j 0.140749-0.0590604j -0.00854108-0.00568383j 0.0310494+0.00334448j 0.0208638+0.0222412j -0.0153802+0.000575475j 0.00339238+0.0273497j -0.00108648-0.0147771j 0.00111104+0.000367609j -0.0234369+0.0195527j -0.00360375-0.00392189j 0.000907109+0.00744589j -0.00426571-0.0105072j 0.00206865-0.00534684j -0.00868681+0.00282069j -0.0137938-0.0165847j 0.00185679-0.000599145j 0.000547038+0.0173235j 0.0266692+0.0131528j -0.0157793+0.0103659j -0.0180201-0.0165372j 0.0282497-0.00987183j -0.00781426-0.0251981j 0.0107798+0.00012057j -0.025879-0.015586j -0.00622015-0.013706j -0.0223466+0.0397413j 0.0294059-0.00969688j -0.00365872-0.0428992j -0.0413392+0.0300397j -0.0235381-0.0225409j 0.003888+0.00368984j -0.0124213-0.00858798j 0.0255819+0.000589067j -0.00836951-0.01463j 0.0329812+0.0174908j -0.00618954-0.00811946j 0.0210726+0.0115101j -0.00219128-0.0337545j 0.0166627+0.0270798j 0.0232363-0.0101045j 0.0256362+0.00776841j 
0.00618491+0.0100211j -0.0172621+0.0134265j -0.0578703+0.0644611j -0.0253754+0.0307348j -0.00119833-0.00407457j 0.0858245+0.0212714j -0.0343308-0.00931245j -0.0116535-0.031528j -0.0295665+0.0334336j 0.0181112+0.0490345j 0.023338-0.00557637j 0.0244467+0.0698623j -0.0673247-0.0738383j -0.0466074+0.0184302j 0.128137-0.0338992j -0.102096-0.17023j 0.0903222-0.0555244j -0.244475-0.0825858j 0.0599698-0.0909011j -0.0852138-0.0414862j 0.0960966-0.019579j -0.0349414-0.202494j -0.233075-0.0152805j -0.0259735-0.189604j 0.168773-0.00317455j -0.0916363+0.0935677j 0.0198177-0.0777928j 0.0639122-0.0677006j 0.0579909-0.0350709j -0.0150383+0.0102066j 0.0108148+0.0122863j -0.0136098+0.00695292j -0.0286344+0.0130888j 0.0204249+0.00888752j 0.00260456+0.000730139j 0.00117939+0.0111761j -0.00833687+0.00688735j -0.00275225+0.00252428j 0.0078966+0.00234727j -0.019277-0.0091365j 0.0130304+0.00645787j 0.0068133+0.00708627j -0.00322204+0.00249003j 0.0203846-0.0162237j 0.00393415+0.0154259j 0.00106053-0.0059464j -0.0149403-0.0013515j -0.0113093+0.0275743j 0.0159303+0.0138347j 0.00916826-0.0083762j -0.00906747-0.00698889j -0.00518089+0.0422612j 0.0303718-0.0185859j -0.0430798-0.021298j -0.0264243+0.00411297j 0.00938204-0.0175064j 0.0491805+0.0140616j 0.0486029-0.000827031j -0.000212663-0.0212577j 0.0264233+0.00502277j 0.0146339+0.00404892j -0.0167215-0.0147961j 0.00854876+0.00626961j -0.00267887-0.0182832j 0.0132845-0.00883105j -0.0146865-0.0178755j -0.00174189-0.0119846j 0.00118845-0.0106685j 0.0115266-0.00354857j 
-0.0115295+0.0325768j 0.00731322-0.0511799j 0.0166163-0.0052286j 0.0102253+0.0183338j 0.0316193-0.0306464j 0.122817+0.00177111j -0.0125981+0.0558291j 0.0869903-0.00969785j 0.0560153-0.0530865j 0.0482164-0.00576111j -0.161076-0.0764681j -0.0305328+0.00915274j 0.110989+0.0184011j -0.120498-0.0826486j -0.00831962+0.0158579j 0.00363372+0.0716434j 0.0615757-0.0650692j 0.0757235-0.178152j 0.0203164-0.0945827j 0.0131999+0.0549409j 0.130807-0.0421176j 0.176184+0.0937553j 0.018962+0.175696j -0.353578+0.00275777j 0.164217-0.358526j 0.0755694-0.0881171j -0.140265-0.0261769j -0.0835391+0.0665688j -0.00230299-0.0472524j 0.0231075+0.00275895j 0.0297744-0.00719251j -0.0192317+0.0227922j 0.0161006+0.00496863j -0.00304391+0.00360099j 0.0271997+0.0232716j 0.035273-0.00794557j 0.00621462-0.0117482j 0.0122671+0.0165959j -0.0101306+0.00532845j 0.00340734+0.010361j -0.0188997-0.00105845j -0.00597282-0.00697228j 0.00723926+0.00735503j -0.0107689-0.00373174j 0.00679569-0.0215644j 0.0138861-0.00601348j -0.00959362-0.00711934j 0.013036+0.0167511j -0.00484781+0.000770178j 0.0270415+0.00959218j 0.0289112+0.0232561j -0.000669214-0.0172383j 0.0154003-0.0144394j 0.00742372-0.00196484j 0.0204703+0.0209431j 0.0122611+0.0144987j 0.00749418+0.0132228j 0.003161-0.0199988j -0.0163328+0.0229797j 0.000916714-0.0324382j 0.0143773+0.0363791j -0.0177985-0.0070452j -0.0113998+0.0128967j -0.0168184-0.0139179j 0.00279059-0.0120636j 0.00765351+0.00561194j 0.00886498-0.00553559j -0.0175176+0.0231037j -0.0150307-0.0146533j 
-0.000205706-0.0268411j 0.0197879+0.0708954j 0.0197303-0.0947423j -0.0111274-0.0863128j -0.0589066+0.0113175j 0.0572756+0.0141459j 0.0705721-0.119245j -0.127449+0.0471372j 0.0639337+0.0764187j 0.0899286-0.00470242j -0.0441913+0.0605582j 0.0549468+0.0727913j -0.0606143+0.06266j -0.0740321-0.146192j 0.0550116-0.0514264j -0.0109505+0.085518j 0.113469+0.0505623j -0.0712899+0.230455j -0.0820764-0.135443j -0.136435+0.0183388j 0.0364495-0.00731249j 0.0751294-0.0538002j -0.14214+0.182016j -0.0427542-0.00366315j 0.26725+0.04752j -0.116535-0.0974256j 0.176657-0.0403848j 0.000703333-0.058526j 0.000275905+0.0153028j 0.0059991+0.0437188j 0.00853569-0.0222323j 0.00313358-0.0328708j -0.00154206-0.0200051j 0.00722833-0.00217871j 0.00404369-0.0117464j -0.00586538+0.0200551j -0.0349702-0.00940331j -0.00243302+0.0147511j -0.0105892-0.00383423j 0.0156492-0.0100079j -0.00245168+0.00725129j 0.0169899+0.0183974j 0.00295814+0.00422371j 0.00070535+7.9359e-06j 0.0276873-0.0077224j -0.0252708+0.00926621j 0.00675286-0.0163484j -0.0109683+0.0135837j -0.00570495+0.00103274j -0.0195406+0.00274158j -0.0221166+0.007794j 0.0112029-0.0268782j -0.00742931+0.00235345j 0.00381931+0.0286621j 0.0138067-0.0279187j -0.0101645-0.00119477j -0.0348541+0.0134772j 0.0015686-0.0210722j -0.0274526-0.0271183j 0.00301497-0.024838j -0.013578+0.000570808j -0.0028538-0.00279188j 0.0070466-0.002254j 0.012253+0.00511559j -0.0012304+0.0138288j 2.90068e-05-0.0126246j 0.021109+0.0091812j -0.00442981-0.00177669j -0.00704645-0.00226086j 
0.00864705-0.0418396j -0.0207832-0.00771149j -0.0351143+0.0935756j -0.0351833+0.0642366j -0.0404393+0.0279109j -0.0215409+0.0749997j -0.0217666+0.0634995j 0.0450033-0.0563452j 0.0354822+0.0693554j -0.00378039+0.0450478j 0.113604-0.0376085j -0.0266999+0.0886315j -0.00274938-0.0219241j 0.0760416-0.0931891j -0.164692+0.0862897j 0.0110504-0.0108108j -0.107091-0.0395589j 0.0682271-0.0643158j -0.0756058-0.0580379j -0.0460574+0.0612505j -0.146774-0.100911j -0.11402+0.151359j -0.21746-0.123092j -0.111759-0.237962j -0.0501209-0.0644722j -0.024779+0.152456j -0.0933009+0.0101131j 0.115973-0.0517195j 0.0310107+0.0521986j -0.0327368-0.00979005j -0.0252745+0.0411161j 0.000465764+0.00628583j -0.0234276+0.0194532j 0.00674813-0.000990883j -0.0127901-0.000834207j -0.0106475-0.00686506j 0.0005256-0.00161404j 0.000343762+0.0111014j 0.00636917-0.00446584j -0.0131988-0.0113712j 0.00307148+0.00922436j -0.000783404+0.0090256j -0.00518007+0.0297105j 0.0187115-0.00267649j -0.0117764-0.000274782j -0.000180039+0.0179848j -0.00701599+0.0216863j -0.00706342-0.003642j -0.0130987-0.0308247j -0.0171301-0.0112282j -0.0127521-0.00386289j 0.0138603-0.000106666j -0.0088367+0.0281946j 0.0291813+0.00266225j -0.0147613+0.0325929j -0.00614116-0.00216538j -0.0392598-0.0152418j 0.0149454-0.022859j -0.00462125-0.000749454j 0.0274325+0.00188703j -0.00416153+0.0211521j -0.00225368-2.75023e-05j -0.00191071-0.00985511j 0.00320731-0.0028178j -0.00647349-0.0061509j -0.00774284+0.0125855j 0.00293516-0.000306915j 0.0165854-0.0121959j 0.00567432+0.0108008j 
-0.0103455-0.0171447j 0.0189379+0.00980933j 0.1038-0.0742437j 0.0128654-0.0486035j -0.0761704-0.0229891j -0.11931-0.0692308j 0.0456228-0.00857023j -0.00608749+0.0396263j 0.0720105-0.109466j 0.0263443-0.0189282j 0.0181012-0.0431769j -0.0755103+0.152636j 0.0135972-0.0204707j 0.185324+0.173786j -0.106129-0.302759j -0.0408491-0.0322837j -0.0511851-0.13566j 0.2916+0.176568j 0.0544193-0.0659909j -0.0287071+0.16267j -0.0450743+0.000129596j -0.111953+0.022725j -0.035505+0.165568j 0.0413824-0.0626973j 0.0233144-0.0141166j 0.0793939-0.0977617j 0.0503615-0.0177748j -0.0381135+0.0330007j -0.0266436+0.042456j -0.00962969+0.0110004j 0.00541262+0.00937671j 0.029554-0.0123122j 0.0136655-0.0140733j -0.000328936+0.00207844j -0.0259085-0.0208454j -0.0106056-0.00622952j 0.00473762-0.00416929j 0.00115866-0.00243285j -0.0146651-0.00206832j 0.0158751-0.00559897j -0.0246219+0.0167418j -0.0111176-0.0104774j -0.00488134-0.014162j -0.0228972+0.00748379j -0.00230223+0.0129197j 0.0131886+0.0296673j -0.00165764+0.0153172j 0.00952785+0.00649182j 0.0324823-0.0199962j -0.0433319+0.00395779j -0.0127538+0.0348685j -0.0204723+0.00657586j 0.0106921-0.0276933j -0.00256337+0.0182855j -0.0212752+0.012006j -0.00761181+0.0169211j 0.0294697-0.00804555j 0.019166+0.00256143j -0.0134586+0.00678266j 0.00491428-0.00856445j -0.00305457+0.00651028j 0.0101746+0.0128092j -0.0048553+0.000292221j 0.000760165+0.000402182j 0.00107583+0.0247875j 5.55926e-05-0.00635841j 0.0125144+0.0343118j -0.00651231+0.00236663j 0.00820534-0.00329016j 
0.0150361+0.00194765j -0.00182067-0.0387736j 0.016154-0.0125797j 0.0182426+0.0116232j 0.0401397-0.00929227j -0.0718827-0.0636249j -0.0430219+0.0636333j -0.134455+0.0559816j 0.115455-0.0243753j -0.086528+0.0849137j 0.0226707+0.0433556j 0.0668187+0.0914685j 0.076476+0.112077j -0.147534+0.155773j 0.00449525-0.103301j 0.114332-0.247481j -0.128533-0.00807263j 0.185965-0.161852j 0.139164+0.135985j -0.0303321-0.0179456j -0.0211476+0.125513j 0.0844243-0.113743j -0.115896+0.0376345j 0.129539-0.233261j 0.0340502+0.0207615j 0.0211005-0.0170417j -0.0262326-0.0227234j -0.0125838+0.0306565j -0.0119613+0.0208813j -0.0265627-0.0136383j -0.00885901+0.0294542j 0.00546279+0.00387079j 0.00819942-0.00215281j -0.0111368+0.00854461j -0.0320909-0.00397783j 0.00706659-0.00978286j -0.00545782+0.00750122j 0.0149151-0.00361876j 0.0169801-0.000263399j -0.00937062-0.012471j -0.0187573-0.0183861j -0.0154139+0.00210464j -0.000947138-0.0048594j -0.017509-0.0202006j 0.00459897-0.00664464j -0.00281406-0.0182945j 0.00496842-0.0684805j 0.00688152+0.00126586j 0.0050329+0.00423249j -0.00240075+0.0215896j 0.0113418+0.0139441j 0.0114616-0.0207714j -0.0190248+0.00768714j 0.0124343+0.0124516j 0.0159819-0.0235591j -0.00510735+0.0126898j -0.00868565+0.0255043j 0.0124311+0.0294193j 0.0083858-0.0137351j 0.0108521+0.00741164j -0.0135247+0.0151954j -0.00421923+0.00206214j -0.00865789-0.0061663j 0.00604951-0.00652957j -0.00354036+0.0122882j 0.0128479-0.000949702j 0.0111931+0.00709169j -0.00809733-0.00202749j 0.00378437-0.00346973j 
0.00537885-0.032192j -0.0269438-0.051121j -0.0522258-0.0218366j 0.00408467+0.0832935j 0.0596618-0.00424396j 0.0149666+0.0172241j -0.0933432+0.054863j -0.0938328-0.0202675j -0.0712005+0.15729j 0.0787512-0.136302j -0.0435303-0.113044j 0.193421-0.0128844j -0.231344+0.0475074j 0.0551723-0.166363j 0.047431+0.0629179j -0.211308-0.125324j 0.0203136-0.19999j 0.0126947-0.0966175j -0.115866+0.0185031j 0.265326+0.0520806j 0.0718688+0.117311j -0.0968809-0.039841j 0.0423232+0.0658135j 0.060952-0.0289342j 0.0397302+0.0765798j 0.101149+0.0796581j -0.0784786+0.0071383j -0.0147082-0.00588271j -0.0415193+0.0402408j -0.0112802-0.0190281j -0.0115825+0.0224756j 0.00484754-0.0134965j 0.0024977+0.00475236j -0.0165485+0.0111769j -0.013448+0.0067541j 0.0101161-0.00467399j -0.0175324+0.0169234j 0.000357865+0.0235949j 0.00134135+0.00477022j -0.00932394+0.0313881j 0.0160746-0.0157791j 0.0203923+0.0241003j -0.0016474+0.00146611j -0.0157894+9.16235e-05j 0.0131661+0.000198717j -0.0128118+0.00418873j 0.00363313+0.0125206j -0.0135751+0.0238634j -0.0111922-0.0459595j 0.0190344+0.0358146j 0.00614432+0.0309359j -0.0152412-0.0106016j 0.011648-0.0117702j -0.000313827+0.00967453j 0.0199476+0.0032093j 0.00412848+0.0059896j 0.0039456-0.00628229j 0.00167962-0.00317449j 0.0207863-0.00518392j -0.00189434-0.000665935j -0.0189544-0.0033195j 0.00306363-0.0089603j -0.010742-0.00872054j 0.00296429-0.00346341j -0.00037146-0.0037684j 0.00270197+0.024915j 0.00931968-0.00532806j 0.0093442-0.00373685j -0.00480397+0.00796263j 
-0.0440437-0.0991009j 0.0125833+0.0707091j 0.143301-0.0194899j 0.138304-0.0968656j -0.0776799-0.0823863j -0.0726795-0.0102531j 0.0233702+0.041229j 0.0926213+0.0542829j -0.0327099+0.0425023j 0.00812918-0.0740112j 0.0867007-0.0147039j 0.0971783-0.108774j -0.0380056+0.0836831j -0.0147907-0.0187753j 0.0466053+0.114385j -0.0139357-0.0180679j 0.0990742+0.0618609j 0.148294-0.0236793j -0.0808533+0.0483838j 0.0199823+0.0706619j 0.0379244+0.0194789j -0.0161713+0.0634538j -0.0686127-0.00543329j -0.027464+0.0112705j -0.0841711+0.0573415j -0.210268-0.0299879j -0.0677593-0.0236781j -0.0292303-0.0421396j -0.0236289+0.154123j 0.03564+0.0526679j 0.0125124-0.0260257j 0.0640798-0.0121269j 0.0528891-0.0452033j 0.0173421+0.0209063j -0.0164247-0.00122861j 0.00203913-0.00225193j 0.0406007+0.013918j 0.0244019-0.000952914j -0.00202666-0.0220214j 0.00378427+0.0386607j -0.0103429-0.0127204j -0.0118973-0.00642092j 0.000351228-0.0173933j 0.00608678+0.00962154j 0.0139723-0.0163741j 0.0226661+0.00585747j -0.00170046-0.0219354j -0.0172041+0.0240144j -0.00814267+0.0091676j -0.0275768+0.0416199j -0.0292479-0.030912j -0.00362239+0.00810376j -0.042554+0.00112807j -0.0107481-0.0100124j -0.00799187+0.0133611j -0.00260553+0.00317685j 0.00753476+0.00695549j 0.0153363+0.00257939j -0.00357613+0.0221073j 0.0046864-0.00644955j 0.0258718+0.0169805j 0.00675848-0.00367133j 0.00590071-0.00487493j 0.0110625+0.00385352j -0.00125411+0.00890964j -0.00658517-0.0108186j 0.0149949+0.00254287j 0.00579915+0.0142598j -0.0184849+0.0203499j 
-0.00428498-0.000556006j -0.00579551-0.00572987j -0.0223018+0.0174804j -0.022977+0.0652469j -0.0351106+0.0438056j 0.06355-0.126672j -0.109095+0.102328j -0.0311218-0.169612j -0.274775-0.0661072j -0.0386733+0.095337j -0.159111+0.0561494j 0.0530001+0.0962184j -0.0853937-0.0458679j -0.0431081+0.0293616j -0.0318576-0.141402j 0.0804786+0.0401662j 0.0270596-0.0155811j 0.077328-0.0508384j 0.230812-0.0441733j -0.0236004-0.136162j 0.244868-0.0939482j -0.033253-0.140704j 0.177408+0.16493j 0.0568932-0.0667767j -0.0358504-0.0887708j 0.0202489+0.0498061j 0.00354249+0.078198j 0.0259945-0.00872686j -0.0263094-0.0132953j -0.0130929+0.00655951j 0.00875426+0.014543j 0.00914509+0.0171825j -0.00359147+0.0151392j 0.0068713-0.00921559j 0.00211676-0.0273587j 0.0178687-0.0291672j -0.0136298-0.00583618j -0.017986-0.0137145j 0.00610921+0.0156182j 0.00732638-0.00359811j 0.0181682+0.0239578j 0.0159623-0.00863577j 0.00657882+0.000847665j 0.00773792+0.0109915j -0.00247584+0.0108474j 0.0308844+0.0173471j -0.0123558+0.00987629j -0.0282682+0.0359249j 0.0159891-0.0102794j 0.00447418-0.00923j -0.00867756-0.0381104j -0.0110232+0.00579426j -0.0203394+0.0169854j 0.0153647+0.0210532j 0.00980146-0.0177096j 6.32199e-05-0.0111289j -0.0125489-0.00811066j 0.0100706-0.0139544j 0.00234223+0.00878237j -0.00334977+0.00371908j 0.0192678-0.00390945j -0.00273204+0.00233642j -0.00121627+0.00678294j -0.0137645+0.00518563j -0.00158623-0.000867854j 0.00529897+0.00268852j -0.000714516-0.000687805j -0.000140119-0.00765904j 0.00525497-0.00256862j 
-0.00209303+0.0287721j -0.00630761+0.0141922j 0.0473436-0.0236071j 0.0149848-0.0719464j -0.0143558+0.0457786j 0.0306117+0.141001j -0.0226724+0.0339532j 0.00637029+0.0133897j 0.102245-0.096179j -0.215044-0.0236675j -0.0712971-0.00470323j -0.0037861-0.103293j -0.164917+0.0839885j -0.0599399+0.097153j -0.0828933-0.178205j -0.113979+0.177527j -0.294125-0.149911j -0.154926+0.00201155j -0.0995897+0.0731943j -0.00521811-0.119263j -0.00819276-0.115327j -0.126124+0.045457j -0.108158-0.0394591j -0.022838-0.0756766j -0.0596372+0.00421343j -0.111803-0.0874605j 0.032984-0.0543322j -0.0288121+0.0550835j 0.0153662-0.0180704j 0.0109811+0.00718095j 0.0158096-0.0212324j -0.00792277+0.00401568j 0.0109939-0.0122462j 0.00720298-0.0127408j 0.00135315+0.0455459j 0.0191781+0.00865991j 0.0104044-0.0204722j 0.0202731-0.00899825j 0.0208652+0.0154224j 0.0210657+0.0112888j -0.00587327-0.00579623j 0.00724163-0.00628004j 0.00726106-0.0210643j -0.018605+0.00516753j 0.0472258+0.00281485j -0.000609339+0.0282455j 0.00173538-0.0116723j 0.0309008+0.0358916j -0.0267098+0.0310185j 0.02447-0.0126174j -0.00477403-0.00115032j -0.0129428+0.00260477j -0.0100921-0.0126222j 0.00140319+0.00970845j 0.00373275+0.004463j 0.00293829+0.0129764j 0.00871246-0.0265812j -0.00148968-0.000234204j -0.00186449-0.0158669j 0.00476989+0.00192947j -0.00606685+0.00901151j -0.00584714-0.00303294j 0.000661697+0.000230677j 0.00708672-0.0041146j 0.00136029+0.00239774j 0.0141957-0.0163199j 0.00121296-0.0231812j -0.0167248+0.0158201j -0.0172165-0.00805404j 
0.022149+0.0171253j 0.0157052+0.0225738j -0.0139581-0.0409301j -0.0182934-0.0442577j 0.02021+0.00597968j -0.100669-0.187443j 0.0877552-0.0454911j -0.116738-0.0503357j 0.0199378+0.0900675j -0.132604-0.0801906j -0.0733389+0.118553j 0.237355+0.138443j 0.0619849+0.011101j -0.137068-0.220783j -0.0638035-0.161953j 0.0786658+0.133241j -0.197657+0.0538965j 0.0366116-0.17011j -0.0281973-0.0259508j -0.0164226-0.106858j -0.0716513+0.00549872j 0.184209+0.110321j -0.0226449+0.106763j 0.034479-0.0438464j 0.0188586-0.0327407j -0.0714903-0.0500929j 0.0297956+0.0544748j -0.00298047-0.00554027j -0.00961354-0.0282539j -0.0161039+0.0120014j -0.0106714-0.00517238j 0.00106977-0.00767804j -0.00250514-0.0127654j -0.00141695-0.000564648j -0.0171727-0.0371335j -0.0149058-0.00069577j 0.0027112+0.0188242j 0.0292216-0.0131827j 0.0152976+0.00181471j 0.000132418-0.0225582j 0.0150231-0.0192091j 0.000409231+0.0190316j 0.0156765+0.0207346j 0.00819502+0.0124889j -0.0198005-0.00430601j 0.0178007+0.00387541j 0.0226592+0.0268024j 0.0149925-0.00926082j -0.0190996-0.00664998j 0.00166474+0.01037j 0.00905838+0.00763179j -0.00672958+0.0508034j 0.00501085-0.00776789j 0.00739409-0.00830648j -0.00556046+0.00390075j 0.00141068-0.00500535j 0.00266446+0.00526869j -0.00685797+0.00333728j 0.00359114-0.00881905j -0.00153854-0.00153111j 0.0134481-0.00189883j -0.00513186+0.00795481j -0.00490211-0.000900199j -0.00120934+0.000331137j 0.00160888+0.00208162j 0.0070476-0.00310633j -0.00467401-0.0055189j -0.00296334-0.011158j 0.00599546-0.00401695j 
-0.00260077-0.0225143j -0.0257763-0.00957575j -0.0168405+0.0523993j 0.0549053+0.106701j -0.108659+0.0456894j 0.110504+0.0761865j 0.0431861-0.0668118j -0.121359-0.0152109j 0.0462308-0.0951385j 0.0129703+0.0688514j -0.0355003+0.0377006j -0.0741117+0.226845j -0.147381+0.207441j -0.126342-0.131852j -0.123547+0.314577j 0.172763-0.0244856j -0.0689964+0.0180691j 0.0585424+0.172786j -0.0339804+0.0753827j -0.0350849-0.0490505j -0.00196279+0.012885j -0.094875-0.0622113j 0.0967469+0.0480034j -0.00651243+0.0648732j 0.0607149+0.0258582j 0.060422+0.142381j 0.0148413-0.00148615j 0.0234426-0.0319719j 0.0088075-0.0274764j -0.00554402+0.00732279j 0.0216143+0.0151484j -0.00183506+0.00710614j -0.00405488+0.0352717j 0.0361799-0.00360872j 0.0236189+0.015673j -0.0179203+0.0197596j -0.0240314+0.00791495j 0.00580912-0.00374457j 0.0208173+0.007761j -0.0120324-0.0175246j 0.000903214+0.00452583j 0.0208171+0.0186705j 0.0115479+0.0033761j 0.00636612-0.00553791j 0.00618222-0.0428981j 0.0289877+0.0204582j 0.0212642+0.0136987j 0.00527372+0.00773697j 0.0176869+0.0154009j -0.0190654-0.00510475j -0.0130494+0.00755327j 0.00146093+0.0197035j -0.00789552-0.0239808j 0.000663875-0.0154784j 0.0197111+0.00638562j 0.00316967-0.000523609j 0.00652285-0.00245956j 0.00501803+0.0109533j 0.00247868+0.00459803j 0.00314991+0.00612793j 0.00329956-0.000294621j 0.00131151-0.00846877j -3.45586e-05+0.0125002j -0.0116887-0.0106801j 0.00611881-0.00766384j -0.025146-0.00745791j -0.0125248+0.00774563j 0.000489639-0.00325462j 0.0124022-0.00175273j 
0.00889124+0.0474718j 0.0462957+0.106501j -0.102357+0.0197353j 0.0576495-0.0730176j -0.0332312+0.0212009j 0.140438+0.0867543j -0.0880753+0.140364j -0.0698956+0.0941026j -0.0573369+0.0972862j 0.0591822-0.0354921j 0.109773+0.105721j 0.0763237+0.142245j -0.131484-0.0720831j 0.0890212+0.00994057j -0.19393-0.0316485j 0.0194654+0.00169135j -0.0544855+0.00766434j -0.0230652+0.0836548j 0.143545-0.0638647j 0.0962571+0.0250932j 0.0347606-0.0406053j -0.0711453+0.0481508j 0.0531621+0.0448309j -0.0148934-0.116729j 0.0551066-0.0116136j -0.10399-0.0739087j 0.0207878+0.181273j -0.0048546-0.0852284j 0.0373999-0.0993993j 6.3158e-05+0.065495j 0.0242452-0.0421257j -0.030878+0.0263781j 0.0111546-0.0143431j 0.040256+0.00883955j 0.00400974+0.0313701j 0.0337985+0.0190929j -0.00391073+0.0159234j -0.0154996+0.0202623j 0.0206319+0.00208216j -0.0395784-0.0029644j -0.00876065-0.0294986j -0.0396197-0.00211198j -0.0258182-0.0019295j -0.00846852+0.000671131j 0.0605699+0.00405818j 0.0111513-0.0350184j -0.0345277-0.00157002j 0.0242552-0.00127218j -0.00334137-0.000759839j -0.00661972+0.00296751j 0.013369-0.0148359j -0.00227577-0.001112j 0.00283063-0.00706294j 0.0039963-0.00179378j -0.00536363-0.00546379j 0.00939-0.013186j -0.00460849-0.00634847j -0.00127472+0.00400082j 0.0105764+0.0071974j 0.00728193+0.00460051j -0.00142442+0.0138356j -0.00589688+0.0019319j -0.0107508+0.00885819j 0.00106019-0.00801308j 0.000435031+0.00353149j 0.0179424-0.027468j -0.00845587-0.0167316j -0.019889+0.00371844j -0.0112753-0.0216237j 
