-0.0108285+0.00337094j -0.000806837+0.00301271j 0.00332732-0.00340285j -0.0156454+0.00390581j -0.00532453+0.00367938j 0.00897284-0.00366487j 0.0107881+0.000787192j 0.00388022-0.00365228j -0.0077817+0.00101039j -0.00563295+0.00128137j -0.00963605+0.00124897j -0.000512511-0.00461802j 0.00739756+0.00073883j -0.00449879+0.00293367j 0.00252716+0.000197532j -0.0045644+0.0032189j 0.000905449+0.000943197j -0.00323964+0.000644078j 0.00591663+3.68858e-05j -0.00332963+0.00334657j -0.000696043+0.00155081j 0.00708439+0.00118825j 0.00928523-0.00656986j -0.0106793+0.00311064j 0.00844058-0.00468499j 0.00180415-0.00768117j -0.0128979-0.0050485j 0.00752187-0.00142995j -0.00157183-0.000563844j 0.0168547-0.00345047j -0.00632498+0.00302633j 0.00479685+0.00337971j 0.0109047-0.00509855j -0.00205111-0.000267365j 0.00467511+0.000949847j -0.00531046+0.00405138j -0.00104445+0.00255367j -0.00564646+0.000375952j 0.00665691+0.00423638j -0.00792456+0.00199785j -0.00897333-0.00605178j -0.0039219+0.00104201j -0.0130033-0.00511488j 0.00214071-0.00131081j 0.00433397+0.00678474j -0.00403696-0.00279386j -0.000234031+0.00494776j 0.00595573-0.00477838j -0.00170267-0.00810249j 0.0167905+0.010007j -0.00614035-0.00932863j 0.0118072+0.00613203j 
-0.00818994+0.00599254j 0.0117367-0.00300595j -0.00281154-0.001366j -0.00836065+0.00246157j 0.00188517-0.000398481j -0.00507708-0.00016925j -4.50737e-06+0.00153093j 0.000930789-0.000127614j 0.00228271-0.0025114j 0.0037569-0.000939604j 0.0135503-0.00415597j 0.00821501-0.00115452j 0.00415965-0.00178085j -0.00434092+0.00155463j -0.00816631+0.00527518j 0.00201117+0.000161791j 0.00262141-0.000628319j -0.00280572+0.00268334j -0.00469819+0.00324263j -0.0129361+0.00416607j -0.00588774-0.00134173j 0.000316318+0.00262779j 0.00689415-0.000154869j -0.011866+0.00382254j -0.00623076+0.0047701j 0.00882041-0.00388316j 0.00627684+0.0110472j -8.70697e-05+0.00142877j 0.00745076-0.000452267j -0.00620208-0.00346957j -0.0123732-0.000635862j 0.0130338-0.00469533j -0.0174624-0.002542j -0.00653208+0.00369747j -0.00607055+0.00102955j 0.00224532-0.00211121j 0.00619957+0.00296749j -0.00936457-0.00424471j -0.0112534+0.00208719j -0.00140472-0.00066838j 0.00232223-0.000352672j 0.00348635+0.00628996j -0.0072174-0.00731172j -0.00361757+0.0015466j -0.0108749-0.000972901j 0.00980656+0.0117295j -0.00659837-0.00310433j -0.00485547+0.00096332j -0.00119337-0.00356518j -0.000905869-0.00222394j -0.0159511-0.00895757j -7.00143e-05-0.006321j 
-0.00400026+0.00406844j 0.0125097-0.00462552j 0.00470074-0.00387403j -0.00658262-0.000398238j -0.00503137+0.00144077j -0.00835+0.00284892j -0.00375785+0.00298594j 0.00145115-9.31095e-05j -0.00817907+0.000584426j -0.000478039-7.79394e-06j 0.00306113-0.000784077j 0.00394006-0.00030117j 0.00413251-0.0017252j -0.0023351+0.00204618j -0.00744787+0.00446139j 0.000748626+0.000938998j -0.000404504+0.000236235j 0.000665488+0.00228914j 0.00971573-0.00406228j -0.00246691+0.00173403j 0.0225172-0.00750086j -0.0128952+0.00446796j -0.00333526-0.000436207j 0.0019047+0.000874843j -0.00601667-0.000921851j -0.00987739+0.00299651j -0.000923223-0.00263025j -0.00284664-0.00252861j -0.0179678+0.000364771j -0.0116338+0.000324894j -0.00212606-0.00335135j -0.0131871-0.00413585j 0.00646659-0.00174911j 0.00267394-0.000703604j 0.0134657+0.00568153j -0.0168681-0.00152344j 0.00400845+0.00145127j -0.000390194-0.00281313j 0.00124795-0.00182085j -0.00580144-0.001739j 0.00798417+0.00766541j -0.00333121-0.000371505j 0.0043419+0.00138444j -0.00638262-0.0056374j 0.00589103+0.00609152j 0.00139651+0.000311991j -0.00488016-0.00243001j -0.00208824-0.00230343j 0.0122696+0.00249076j 0.00447263+0.00537837j -0.0110757-0.00462758j -0.0039641-0.00480108j 
0.00162398-0.00171039j -0.00610729+0.00247037j 0.004186-0.00151111j -0.00269235+0.000592341j -0.00775+0.00138014j -0.0078667+0.00658824j -0.00333298-0.00142927j -0.0116491+0.00203784j -0.0104652+0.00318994j 0.0128267-0.00578796j -0.0075258+0.00339404j -0.00787322+0.00389016j 0.0076672-0.000472821j -0.00310547+0.000605773j 0.0122947-0.000533363j 0.00499274-0.00224716j 0.00925319-0.00377858j 0.0101586-0.00265398j -0.00607008+0.0033348j 0.000907742-0.00203308j -0.00339552+0.000241248j -0.0159226+0.000536772j 0.0112735-0.00365739j -0.00512778+0.000435709j -0.00218965-0.000370836j -0.00220088-0.000921829j 0.00140174+0.0037968j -0.00504336-0.00237829j -0.00592037+0.000668545j 0.00211691+0.00354057j -0.0158479+6.60119e-05j 0.011053+0.00199787j 0.00393424+0.00140485j 0.00691112+0.00449488j -0.00798516-0.000823235j 0.00125034+0.00182149j 0.00814263+0.00423557j 0.0147045+0.00083275j -0.0030977-0.00290153j 0.000668873-0.00151625j -0.00722232-0.00249238j 0.013976+0.00729561j 0.0083782+0.00311374j 0.00275007+0.00292927j 0.0132592+0.00333479j 0.00711222-0.00166812j -0.00906877-0.00731096j -0.00802611-0.00106916j 0.00222719+0.00093065j 0.0035167+0.00228602j 0.00477243+0.0026107j 0.00171979+0.00180979j 
-0.000211232+0.00206888j 0.0101228-0.00412937j 0.00593156-0.00484519j -0.00543336+2.0688e-05j -0.00386384+0.000975799j -0.00898513+0.00368783j -0.00664436+0.000522725j -0.00821525+0.00519811j 0.00942701-0.00246406j -0.00337629+0.00321112j -0.00925116+0.00537711j 0.00202594-0.00254843j -0.0108014+0.00269042j 0.00676694-0.00273017j 0.00348565+0.000885254j 0.00976588-0.0038736j -0.0160114+0.00218777j -0.0055228+0.00395722j -0.00312887+0.00155313j 0.00540543+0.00236078j -0.00832302-0.000623303j -0.00918032+0.00103885j -0.0103447+0.000381483j -0.0116792+0.00135086j 0.00760636-0.00319462j -0.000790193-0.00366336j -0.00266329+0.00135856j 0.009537+0.000750299j -0.00298077-0.00183819j 0.0136407+0.00322816j -0.0106018-0.00468426j -0.014604-0.00479104j -0.00746157-0.000934058j -0.00400888-0.000946399j -0.00456924-0.00117179j 0.0112885+0.00312595j -0.00215781-0.00248853j -0.00291575-0.00490039j 0.00959649+0.00387653j 0.0122868+0.00373923j -0.000462101-0.00074895j -0.00589071-0.00212817j 0.00653967+0.00362532j 0.0150027+0.00147982j -0.000276573-0.000266728j -0.001395+0.0019466j -0.0034983-0.00251571j -0.00559473-0.00238279j 0.00873417+0.00113526j 0.0040121+0.00269907j -0.0060172-0.00203186j -0.00470897-0.00370085j 
-0.00668041+0.000981225j -0.010723+0.00669328j -0.00946063+0.00367512j -0.00631643+0.00507692j -0.000987884-0.00076092j 0.000384907+0.00236023j 0.000966338-0.00147536j -0.00409252-0.00210338j 0.0045567-0.00019355j 0.0173247-0.00692389j 0.0012706-0.00139406j 0.00925373-0.0049419j 0.00342676+0.0015814j 0.00187113-0.00493365j 0.00809899-0.0018986j -0.000215611+0.0012612j -0.00556156+0.00160105j -0.00494621+0.00076638j -0.00667905-0.000149316j 0.00272882-0.00415716j 0.0179238-0.000601239j 0.00794416+0.0010272j -0.0195949-0.0034256j -0.00677306-0.00182188j 0.00620698-0.000328032j 0.00737243-0.00701104j -0.00554639+0.00161163j 0.00545311+0.00167249j 0.0136534+0.00370203j -0.0150833-0.00404991j -0.00866455+0.000766025j -0.0171294-0.00302026j 0.00742826+0.00385559j -0.000163875-0.00299604j -0.00319337+0.000568042j -0.0023868+0.00084983j 0.00155847+0.00292676j -0.000650759+0.00119039j -0.00509509-0.00272769j -0.00301386-0.000357042j 0.000661737-0.00428483j -0.00428004+0.000416342j 0.00618125+0.00272941j -0.000942151+0.00180121j 0.00368749+0.000313954j 0.00808139-8.93209e-05j -0.00800025-0.00362046j 0.00145587+0.00135738j -0.0106931-0.00361103j -0.00161866-0.00168172j 0.00298189-0.000430033j 0.00771485+0.00412446j 
0.00615254-0.00376298j -0.000739832-0.00160209j 0.0125756-0.00640364j -0.00203959-0.00137732j 0.0035193+0.00322784j 0.00457426-0.00285555j 0.0108415-0.00669331j -0.010512+0.00554239j -0.00249964-0.00320604j -0.00117891-0.00224539j 0.00890722-0.00417655j -0.00338132+0.000109668j -0.0046225-0.000469992j -0.0126446+0.00180129j 0.000787032-0.000384517j -0.0050651-0.000202784j -0.0104486-0.00224386j -0.0116656+0.0013448j -0.00420683-0.00238389j 0.02024+0.00114676j 0.0136426+0.00207252j 0.0059855-0.000119876j 0.0111607+0.000182007j -0.0120466+4.60581e-05j -0.00570509-0.00140244j 0.0100575+0.00360894j 0.0102929+0.0131832j -0.00870247-0.00639678j 0.00322266+0.000848132j -0.00362417+0.00390411j 0.000430455-0.00109999j -0.0106332-0.00016224j 0.00575933-0.000510071j -0.01072-0.00332919j 0.000134966-0.00095277j -0.00367226-0.00245114j -0.0033343-0.00309849j 0.00339502+0.00108272j -0.000808318-0.000522055j 0.000553598-0.000142833j -0.00287597+0.00223056j 0.0144515+0.00336726j -0.00840133-0.00291853j 0.00595333+0.00211246j -0.00328176-0.00126432j -0.00377959-0.000199301j 0.00554586+0.00157527j -0.0052959-0.00216319j 0.00515806+0.00114384j 0.0044467+0.0021916j 0.00232652+0.00162901j -0.00239149-0.000202108j 
-0.000676087+0.00476939j 0.00669512+0.0120386j -0.0056117-0.0136664j -0.000425027+0.00258111j 0.00466363+0.00928077j -0.0022962-0.00478122j 0.00430584+0.00121201j -0.00531725-0.0157812j -0.00218999-0.000830431j -0.00097524-0.000708814j 0.000130298-0.000720258j -0.00357528+0.00147684j -0.000253891+0.00611772j 0.00225084+6.20394e-05j 0.00216469+0.00244619j 0.00147101-0.0038957j 0.00123372-0.000240096j -0.000137521+0.00457011j 0.00392439+0.00226069j 0.00806014+0.00933862j -0.00107746+0.00724673j -0.000873051+0.00253465j -0.000474214-0.00348527j 0.00650398+0.004771j -0.00067613+0.00136114j 0.000728509+0.00300868j 0.00347364+0.00335775j -0.00107281-0.00184091j -0.00386151-0.000373444j -0.00461167+0.00046191j 0.00388963+0.0119649j -0.00197719+0.0103027j -0.00864502-0.0102955j 0.00835941+0.0163322j 0.000762461+0.00323239j -0.000264926+0.010963j -0.00350293+0.0047701j 0.000869056+0.00535174j -0.00198388+0.0161339j 0.00424845+0.00125313j -0.000777621-0.0112661j -0.00703625+0.00953079j 0.0140767-0.00863225j -0.00154697+0.0123574j -0.00933941+0.00826597j -0.0123582+0.00700553j 0.00457714+0.00935698j 0.00289087+0.00582457j 0.0139095-0.0147975j 0.00254794+0.00782863j 0.0177766-0.0194728j 0.0123375+0.00221548j 
0.0072021+0.0138175j 0.00105348-0.00321738j -0.00345347-0.000957613j 0.00167916+0.00692484j -0.00185058-0.00736259j -0.00259243+0.000133637j -0.000309483-0.00761543j 0.000856643+0.00415021j -0.00291496-0.00275392j -0.00118291-0.00303414j -0.00231824-0.00798787j 0.00504482+0.00729867j -0.00197075-0.00591234j -0.00061456-0.00737857j 0.00486459+0.00872666j -0.00116484+0.00344631j -0.000905241+0.00612361j 0.00483489-0.000752171j 0.00221278+0.00561106j 0.00819742+0.00792017j -0.00172099+0.00111462j 0.00427998+0.00797839j 0.00511778+0.00248539j 0.00250192-0.000578568j 0.00578944+0.00746381j 0.00308037+0.0029325j -0.00259318+0.00167038j 0.00176137+0.00590528j 0.00241161+0.00628414j 0.00119246-0.00642826j 0.00515819-0.00632405j -0.00398354-0.010552j 0.0122137+0.00408309j 0.00242623+0.0156083j -0.00485786-0.00900582j -0.00253329-0.0145413j -0.00285028+0.00827749j 0.00451061-0.0170292j -0.00368658+0.00780863j -0.00172297-0.011385j -0.00859081+0.00437372j 0.00273047+0.000485285j 0.00259244-0.00386293j -0.00583919+0.00197869j -0.00379644-0.00445724j -0.00845802+0.0118899j 0.0076414-0.00821662j -0.018058+0.00179472j -0.00920516+0.00161357j 0.00517853-0.00766399j -0.00961466-0.00459591j 0.0173836-0.0192419j 
-0.00469271-0.0109242j -0.00139279-0.000604545j 0.00401983+0.00995975j 0.00411685+0.00403347j 0.00113143+0.00114518j -0.000910987-0.00564416j -0.00472085-0.0051051j 0.000931425+0.0132611j 0.0033229+0.000924976j 0.00180636+0.00386591j 0.00429514+0.0108368j 0.00158656+0.00247643j 0.00100315-0.00787012j -0.00214687-0.00878437j -0.00436756-0.000790554j -0.000648115+0.00279419j -0.000345837-0.00243287j -0.00292187-0.0075913j 0.00171055+0.00507813j -0.00423621-0.0029795j 0.00107976+0.00406549j -0.00549372-0.00423627j 0.00296183+0.00454756j -0.00161554-0.00529667j 0.00121562+0.00574451j 0.00089165-0.00152732j -0.00119056-0.00310926j 0.00461759+0.00850675j -0.00825943-0.0165906j 0.000263936+0.0101817j 0.000149961+0.00895584j -0.00301083+0.0184186j -0.00101253+0.00429987j 0.00260928+0.0199534j 0.000762687-0.0186727j -0.00431733+0.00180664j 0.0023278+0.00528515j -0.00656813-0.00034436j 0.000792641+0.015909j 0.00116555+0.00167991j 0.00594978-0.0148295j -0.00476055+0.0113136j -0.000582764-0.00809896j -0.00475816+0.0124652j 0.012342-0.00834544j -0.0108067+0.00737105j -0.000309217-0.000463031j -0.00596659-0.00167278j -0.00401654-0.00345584j 0.0122001-0.0180578j -0.000958277+0.00448784j -0.00766952+0.00910004j 
0.00340534+0.00512656j -0.00232853-0.00610084j -0.00341265-0.00780688j -0.00574927-0.00672268j -0.00224147-0.00412732j 0.00550543+0.0163237j -0.00118992-0.000717954j 0.000485454-0.00150912j -0.000820232+0.00212245j -0.000791011-0.00176425j 0.0021301-0.00317819j 0.00503898+0.0110126j 0.000149294-0.00202225j 0.000682235+0.00169602j 0.00058423-0.00162071j -0.000398103+0.00283013j -0.000147423+0.00176515j 0.0024364-0.000601595j -0.00333665-0.000860316j -0.00181341+0.00226756j -0.00485473-0.019255j 0.00382552-0.00254389j -0.00240318+0.00914672j 0.00497586+0.0168006j 0.00205473-0.000353537j -0.0147401-0.0152483j 0.00429206+0.00264694j 0.000951208-0.00472348j 0.00411432-0.00829592j 0.00091526+0.0138341j 0.00511327-0.0145293j 0.00236849+0.0186152j 0.00481203-0.00630593j 0.00404552+0.00228671j 0.00179945-0.0115203j 0.00168146+0.00812395j -0.00508189+0.00410371j 0.00180037+0.000249947j 0.00681298-0.00929994j -0.00437003+0.00581055j 0.000267221-0.00592195j -0.00583426+0.0081692j 0.00361668-0.00996329j -0.00404973-0.00084403j 0.00341907-0.00725559j 0.00226335-0.00205658j 0.00855117-0.0172871j -0.00124792-0.00416397j 0.00529847-0.00130603j -0.0063419+0.0146898j -0.00402577+0.00322649j 0.0021138-0.00549987j 
