0.0139444-0.00723836j 0.00480034+0.0036391j 0.0111524-0.00676581j -0.0107344+0.000452979j -0.00118673+0.00368639j -0.00151223+0.00295414j 0.0104238-0.00155941j 0.00130363-0.00485463j -0.00342719-0.00169379j 0.00230522-0.00254368j -0.00209622+0.000381824j -0.0012402+0.00170612j -0.00571979+0.000709688j 0.0004381+0.000204096j 0.00265643-0.0023148j 0.00384505+0.00101563j 0.000360751-0.00214483j 0.00255152+0.000733317j 0.00196332-0.00307252j -0.00952113+0.00185718j 0.00826182-0.00387577j -0.00323588-0.00213076j 0.000565739-0.00106156j 0.00331342-0.00119804j -0.000599571-0.00273514j -0.00260072+0.000339855j -0.00360363+0.00469133j -0.00909904+0.00552249j 0.00220189-0.00309984j 0.0026872+0.00129227j 0.00312921-0.00274537j -0.00471753+0.000418565j -0.00260764+0.00156904j 0.00145071+0.00165547j -0.00821092+0.00218249j -0.00495211-3.32635e-05j 0.00309525-0.00217184j -0.00160188+0.000465292j 0.01317-0.0056286j -0.0103659+0.00261629j 0.00655411-0.00388128j -0.00470121+0.000661347j 0.005102-0.00148919j 0.00502644-0.00334555j -0.00916719+0.00183258j 0.00772375+0.00210957j 0.00344648+0.00512878j 0.00315159+0.00277595j 0.00265134+0.00355767j -0.0111525+0.00289964j -0.00644452+0.00184554j -0.00136665+0.0048268j -0.00819155-0.00109748j -0.00230454-0.000558214j 0.00467091-0.00564527j 0.00786826+0.00704281j -0.000615842-0.00704941j -0.00206261+0.00232304j -0.00600066-0.00334973j -0.00424286+0.00310002j -0.00678596-0.0106969j 0.000936068-0.00603569j 0.00745028-0.000684405j 0.00149699-0.00953471j -0.000109928-0.003484j 0.000374957+0.0046582j -0.00933288-0.0124932j 0.00922952-0.00289829j 0.00885745+0.0188458j 0.0154195+0.00329421j 
0.000449078+0.00562583j -0.0131106+0.00648849j 0.00450366+0.00027003j 0.00233148-0.00147845j -0.0053075+0.00448535j -0.0101416+0.00180349j 0.00700868-0.000646175j -0.000360124-0.00183931j -0.00723721+0.00144618j -0.00718406+0.00211081j 0.00964129-0.00268561j 0.00511259+0.00238069j 0.00546334-0.00407951j -0.00540109+0.00349807j -0.00639337+0.00357343j 0.00610787-0.00131153j -0.00450098+0.00118288j 0.00803153+5.10807e-05j -0.00363293-0.00104029j -0.00202065+0.00145019j -0.00372045-0.00171692j -0.00394967+0.00429741j -0.000910315+0.00157919j 0.00112589-0.00237527j -0.00414649+0.0028657j -0.000223717+0.000729003j -0.00178596-0.000734147j 0.00491416-0.00362345j 0.00147492-0.000396008j -0.000792631-0.000567984j -0.00023092-0.000789317j -0.00374387+0.00213338j 0.00717814-0.000429653j -0.000606719-0.0026292j -0.00366648+0.00536896j 0.00441583-0.00339451j 0.00598314-0.00676797j 0.00380838+0.00227984j 0.00881794-0.00414505j -0.00285047-0.00179059j -0.00552254-0.000919j -0.00431069+0.00117022j -0.0107358+0.00350182j -0.0107451-0.000516041j -0.00968955-0.00145125j 0.00197664-0.00241961j -0.0164679+0.00229413j -0.00623216+0.00082979j -0.00580566-0.0037297j -0.00135996-0.00963742j -0.00346883+0.002878j 0.00172103+0.00135076j 0.00691039+0.00164046j 0.00147753-0.00184167j 0.000181029-0.00615508j -0.0018709-0.00768064j -0.0143856-0.00335608j 0.00462315+0.00309905j -0.00520542-0.00743047j -0.000394169+9.0573e-05j -0.00158194-0.00159715j -0.00705488+0.000882135j -0.00957181-0.00731721j 0.00254635+0.00954001j -0.00557522-0.00943352j -0.0149945-7.96912e-05j -0.00445897-0.00961061j 0.00756744+0.00648698j -0.0160429-0.0043106j 0.00506333+0.0161067j 
-0.00535537+0.00430605j -0.0084489+0.00270137j -0.00942556+0.00319926j 0.00112738+0.00294846j 0.0064137-0.00196024j -0.00535033+0.00163373j -0.00251608-0.00171328j -0.00574751+0.00347617j 0.00839448-0.00051285j 0.000395007+0.00113198j 0.00249451-0.00130689j 0.00569404-0.00283304j 0.00193755-0.0014392j 0.00364525-0.00204932j 0.000193815+0.00176739j -0.00184456-0.00106775j 0.00191306+0.00122078j -0.00137323+0.000660488j 0.0120719-0.00335753j 0.00191607-0.000317243j 0.00704937-0.00220744j -0.00212806+0.00188298j -0.00566408+0.00219912j -0.000735676+0.00322022j 0.00241514+0.00142019j 0.00442961-0.0025756j 0.00603137-0.0042402j 0.00226824-0.00197899j -0.00101714+0.00231588j 0.00377105-0.00140215j -0.0106467+0.00486566j -0.00400862+0.00089961j -0.00473717+0.00132761j 0.00585112-0.000939268j -0.0122886+0.00260366j 0.00834306-0.00378008j 0.00689167-0.000416837j -0.00486957+0.000731203j -0.00249295+0.00275791j -0.00418166+0.00119353j -0.00703817+0.000117367j -0.00729212-0.000858109j 0.013862-0.00283763j 0.00671125-0.00654922j -0.013367-0.00152429j 0.00365711-0.000696699j 0.00730769+0.00321688j 0.0127106-0.00258296j -0.0197911-0.00498644j -0.0141061-0.00166235j -0.00563256-0.00150439j 0.00531234+0.00369776j -0.0063144-0.00178351j -0.00646708-0.000468654j -0.00411843+0.00130731j -0.000864903-0.00118047j 0.00181946-0.00164037j 0.00380331-7.22787e-05j -0.00581712-0.00762828j 0.00695892+0.00373771j -0.00282424-0.00180188j -0.00805138-0.00981263j 0.00250934+0.00921023j 0.00449134+0.00213116j -0.00183347+0.000821158j 0.00604991+0.00117888j -0.00478537+0.00303982j -0.0129311-0.00910647j -0.00804707-0.00549022j -0.000371376+0.0023591j 
-0.00170217-0.000862133j 0.00630945-0.00363084j 0.00854033-0.00312094j 0.00308094-0.00410752j -0.00552368+0.000566778j 0.00979882-0.00471357j -0.00534146+0.0016359j -0.0038553+0.00250417j -0.00609922+0.00140254j 0.00221241-0.000513305j -0.00110212-0.000320628j 0.00236185-0.00342883j -0.00389384+0.000544002j 0.00127635-0.000124408j 0.00299197-0.00217893j -0.00143877-0.000457428j -0.00112463-0.000728808j -0.00715055+0.000405883j -0.00331279+0.00241403j 0.00407145-0.00170567j -0.00928464+0.00409099j -0.000442118-0.00153697j 0.00423247-0.00235277j -0.00205244-0.000930906j 0.00137918+0.000220757j -0.00705959+0.00414125j -0.00412505+0.00167887j -0.00518552+0.00438116j -0.00669815+0.00146039j -0.0139221+0.000837827j -0.0051884+0.00232001j 0.00053955+0.00307372j -0.0043611+0.00197744j 0.0200618-0.00408331j 0.00597265-0.000702133j 0.0177803+0.00172058j 0.0159041-0.000157098j -0.00324652+0.000755894j -0.0111981-0.00192393j -0.00909829+0.00231379j -0.00466082+0.000236595j 0.00109701-0.000666494j -0.00855517-0.00238105j 0.00855849+0.00650922j -0.011034+0.00113954j 0.0177681+0.00178829j -0.0159072-0.00451664j -0.0038705+0.00043437j -0.0230679-0.0033363j -0.00618499-0.00348353j -0.0116486-0.00459581j 0.00512141+0.00246649j -0.00295361-0.00311887j 0.00718588+0.000150427j 0.00201573+0.000129681j 0.00114627+0.00346494j -0.00180962+0.00467898j 0.00438417+0.000956964j -0.00396038-0.00138492j 0.00908894+0.00362229j -0.00122218-0.00221815j -0.00346993-0.00124024j -0.00605755-0.0022287j -0.00102562-0.000377929j 0.00588313+0.00578267j 0.00780709+0.00293446j 0.00347883-0.00179581j 0.0119724+0.00579688j 0.00353031+3.45938e-05j -0.00386415-0.00393214j 
0.00199956-0.00224413j 0.00633696-0.0024167j 0.000960851-0.00116473j -0.00229878+3.57018e-05j 0.00261727+0.000187625j -0.00602371+0.00427162j 0.0010265+0.00135804j 0.00436921-0.000771358j 0.00593058-0.0013057j -0.00643574+0.00335747j -0.00710188+0.00105617j 0.00213186+0.00100362j 0.00967518-0.00239422j 0.00535622-0.00192995j 0.0112043-0.00186397j -0.0105102+0.00629325j -0.000336544+0.000606044j -0.00597109+0.00210808j -0.00814508+0.00470114j -0.00226076+0.00391779j -0.00496979+0.000449472j -0.000164086-0.000483315j 0.00713375-0.0039684j 0.0120176-0.00304657j 0.00190059-0.0026449j 0.00617578-0.00125822j -0.000779173+0.00122725j -0.00306085+0.000798929j 0.007741-7.85247e-05j 0.00463176+0.00108077j -0.0034991-0.000940208j -0.0121137+0.00129509j 0.00769741-0.0024811j 0.00030627-1.6723e-05j -0.0154481+0.00437362j 0.00959085-0.00172464j -0.00743975+0.000329662j 0.00608174+8.14564e-06j -0.0150881+0.000235745j -0.000719302-0.00235727j -0.011066+0.00191703j -0.00204625+0.00231847j -0.00501518-0.00452713j -0.00286428-0.000256168j -0.00175405-0.000366942j -0.00544773-0.000542022j -0.00511439-0.000756117j 0.00933489+0.00368629j 0.0082994+0.00156897j -0.0028922-0.000133178j -0.00709112-0.00283842j -0.00558621-0.00302152j 0.00328193+0.00029136j 0.00319796+0.000547691j 0.0150706+0.00719214j 0.00791348-0.00195773j -0.00423653-0.000885528j 0.0114374+0.0105055j 0.0057312+0.00258251j 0.000655602+0.000554847j 0.00567164+0.00126846j -0.00293013+0.00253614j 0.00740269+0.00456876j 0.0119754+0.00257629j -0.00333653-0.00375624j -0.00392205+0.000442713j -0.000584764-0.000904684j 0.0011617-0.000747461j 0.00450503+0.00330422j -0.00092285-0.0019438j 
-0.000470423+0.00143314j -0.00604112+0.0027494j -0.000973579+0.00068257j -0.00033415+0.00128834j -0.00306374+0.000236772j 0.00126806-0.00268121j -0.00393857+0.000524502j -0.00530263+0.00200376j -0.00319696+0.000254056j 0.00886456-0.00407379j 0.000103903-0.00076657j 0.0075768-0.0033983j 0.000340472-0.00296871j -0.00091371+0.00161978j -0.002494+0.00191444j 0.0117114-0.00180753j -0.0034706+0.000834773j -0.0090473+0.00425286j 0.00112888-0.00140146j -0.00927787+0.00319489j -0.00321158+0.000374899j -0.00799196+0.00335918j 0.00995616-0.00149843j 0.00569744-0.000933817j -0.0109106+0.00258257j 0.0100484-0.0030409j 0.00362221-0.000680772j -0.00707634+0.000103731j 0.0161592-0.00498186j -0.0165421+0.00197009j -0.00085048+0.00214564j -0.00276871-0.000505409j 0.00760783+0.000996633j -0.00542238-0.00232924j -0.00140134-0.0011926j 0.00109368+0.00170385j -0.00145876+0.000393821j -0.00127225-0.00183363j -0.0102849+3.57346e-05j 0.00320499+0.00244473j 0.0198377-0.000342877j -0.000447675-0.00134973j 0.00979134+0.00153728j -0.00397718+0.000453233j -0.00152617-0.00157714j -0.0146121-0.00460462j 0.00771854+0.000306413j -0.00351057-0.000718937j 0.0117739+0.00304737j -0.00509206+0.000271847j -0.00528743-0.00188513j 0.00378276+0.00388598j -0.00207725-0.00238705j 0.0143169+0.00949165j -0.00059029-0.00259293j -0.00114964-0.00176607j -0.000713366-0.000216091j 0.00309494+0.000648758j 0.00261541+0.000816643j 0.0137504+0.00400807j -0.000685232-0.00247739j 0.00445236+0.00120184j -0.00437356-0.000946853j -0.00526466+0.00155861j 0.00770681+0.00434848j 0.00124536-0.00193015j -0.00114055-0.000296956j -0.00211708-0.000534817j -0.0036944-0.00213251j 0.00169101+0.00233259j 
0.00222857-0.000781912j -0.00171624+0.00187062j 0.00757954-0.00365576j -0.00375761-0.00057404j -0.00499283+0.000786438j 0.0087977-0.0059236j -0.00642297+0.000570097j -0.010489+0.00328553j 0.00366692+0.000134968j -0.00327128+0.00169046j 0.00986881-0.00189445j 0.00157961-0.000123819j 0.00268843-0.00441659j 0.00472309-0.00386031j -0.00182925-0.00166672j -5.0664e-05-0.00221478j -0.00915823+0.00358198j -0.00227871+0.000910415j 0.00660083-0.00164712j 0.00951731-0.00374835j -0.0021227-0.0014648j -0.0152513+0.00297671j -0.0126515+0.00121435j 0.0100764-0.0028804j 0.0160296-0.00142881j 0.00413642-0.0012625j -0.00570497+0.00532348j -0.00332676-0.00181684j -0.00652258+0.00126491j 0.000389128-0.000537296j 0.00294314+0.000980951j -0.00952024+0.00127415j 0.00452768-0.000852643j -0.0153297+2.81547e-05j -0.0165725+0.000860665j -0.0104325+0.0033277j -0.0183567-0.00421198j 0.00580754+0.00183323j 0.00395247-0.000420642j 0.00551267+0.00280006j 0.0125011+0.00132283j 0.00718171-0.000164552j -0.00470343-0.00385199j 0.00232244+0.000741533j 0.0112198+0.00243807j -0.00282987-0.0019001j 0.00697901-0.000395402j 0.00647766+0.00053088j -0.000311917+0.000569296j 0.0146207+0.00454548j -0.00124608-0.00398307j -0.00182672-0.00259489j -0.00193243+0.000679916j -0.0018646-0.0023612j -0.00264208-0.00314311j -0.00349066-0.000710845j 0.000739071+0.000717228j 0.00807853+0.000478849j -0.000145941-0.00350951j -0.0018355-6.20576e-05j 0.0113608+0.00552115j -0.00966355-0.00325008j -0.00433568-0.00133375j -0.00425094-0.000617041j 0.00912999+0.00584068j 0.00596327+0.00176451j -0.00187431-0.00267343j 0.00370598+0.00095704j -0.000634883+0.000511544j 0.00157267+0.00100947j 
0.000543083+0.000602651j -0.0038571+0.00192978j -0.00156842+0.000782791j -0.00110458+0.00135452j -0.00145392+0.00148628j -0.00427964+0.000585665j -0.00107964+0.00121051j -0.00181215+0.000575641j -0.00511941+0.00313403j 0.0031503-0.00409529j -0.0107152+0.00309766j 0.00535461-0.00272626j 0.00575024-0.00494604j 0.00356113-0.000796348j -0.00444872+0.00015251j 0.00719129-0.00188016j 0.014965-0.00780881j 0.0015475-0.00137037j 0.000359207+0.00205344j -0.00665905+0.00138471j -0.00891852+0.000783005j -0.0164341+0.00393942j 0.000704168+0.0015922j 0.00289444+1.77854e-06j 0.0140219-0.00260872j -0.00320342-0.000230342j -0.00357755-0.000892254j -0.00663601-0.000412251j -0.0025127-0.000298823j 0.0128061-0.000551901j -1.65044e-05+0.000183418j 0.0138802-0.000966272j 0.000733258+0.00093053j -0.00260661-0.00210221j -0.00394439+0.000634249j 0.00432463-0.000831545j -0.00355381+0.00191059j 0.00827541-0.000176485j 0.00484708+0.00044784j 0.00104101-0.000577486j -0.011677-0.00349649j 0.0193235+0.0053123j 0.00971979+0.00252434j 0.0022105-0.000271259j 0.0112227+0.00182365j 0.00988391+0.000743163j 0.0106893+0.00178877j -0.0141453-0.00406705j 0.00520237+0.00188963j -0.0021855-0.000213705j -0.0109546-0.00548387j 0.00473565+0.00126029j 0.0100874+0.00409121j -0.00163979+0.000833748j 0.00566218-0.00204972j -0.00407554-0.000387362j 0.00132264+0.00163277j 0.00236198+0.00139382j 0.00688534+0.00187401j 0.00573522+0.000460019j -0.00478676-0.002014j 0.00241978-0.00111169j -0.000684855+0.00065001j 5.40095e-05+0.00156723j 0.00286157+0.000803382j -0.00158742-0.000679085j -0.00107023-0.000534946j -0.00235061-0.000903871j -0.00197227-0.00069927j 0.00152208+0.00177405j 
-0.00312276-0.000529203j 0.00860544-0.00483374j 0.00574024-0.00318275j 0.00256072-0.00305938j 0.00133247-0.00153147j 0.0013706+0.000681406j -0.00872908+0.00335382j -0.00104043+0.00485251j 0.00625254-0.00183545j -0.0117317+0.00559397j -0.00591501+0.00136963j 0.000708555+0.000936986j 0.0123339-0.00350507j -0.00161316+0.00230204j -0.000477772-0.00359648j 0.00918192-0.0045426j 0.000713031-0.00117425j -0.00303151+0.000639801j -0.000415371-0.00108449j -0.0084755+0.00575139j 0.00421553+0.000769997j 0.0110964-0.00407906j -0.0102505+0.000815913j -0.00555746+0.00103976j -0.00149835-0.00113653j -0.00269689+0.00288023j 0.00147671+0.00123911j 0.00357901-0.00210639j 0.000961452-0.00118354j -0.0155291-0.00158692j 0.00337424-0.000707912j 0.0205405+0.0027972j 0.00312986+0.000315236j -0.00240159+0.00058701j -0.0121345-0.000891133j 0.0139298+0.00116229j 0.00759779+0.00281005j 0.00292726+0.00212362j 0.0135078+0.00141516j -0.0127368-0.00327874j 0.00266191+0.000774254j -0.00374196-0.00425268j -0.0025611-0.00224166j 0.000439538+0.00264545j 0.00155847+0.00179771j -0.00443433-0.000879123j 0.00478437+0.00152935j -0.000706391-0.00142703j 0.00186002+0.00082549j -0.0114083-0.00158026j 0.00729448+0.000706921j 0.00167233+0.00255975j 0.00526586+0.000549675j -0.00181103-0.00404086j -0.0119243-0.00222929j -0.00615517+0.000670359j -0.0096134-0.0032896j 0.0065253+0.0046927j 0.00280313+0.0025929j 0.000927451-1.15743e-05j 0.0018101+0.00120563j -0.00726384+0.000597059j 0.00385961+0.00145746j 0.00576085+0.000150464j -0.000466292+0.000175438j 0.00322618+0.00129024j 0.00130166-0.000125211j 0.00674104+0.00257923j 0.00379771+0.000474283j -0.00451249-0.00398815j 
-0.00753961+0.0032705j 0.00391173-0.00448673j 0.00779648-0.00191757j 0.0102928-0.00601733j 0.00186682+0.000599794j -0.00456215+0.00293269j 0.00406743-0.00063403j -0.00138836+0.00289379j -0.0088803+0.000297671j -0.00787981+0.0038579j -0.000503154-0.00127493j 0.00990338-0.00431955j -0.00535618+0.00524833j -0.0126334+0.00472041j 0.0037205-0.00114146j -0.00285286-0.00146403j 0.000134382-0.00265473j -0.00117159+0.00129197j 0.000972522-0.000930227j 0.00995245-0.00107853j 0.0168597-0.00453175j -0.0170774+0.00204409j -0.000742935-0.00376967j 0.0185522+0.00205897j 0.0128381-0.00190487j 0.0217317-1.54265e-05j 0.00167707-8.4588e-05j -0.009175+0.0014266j 0.0106622+0.000951548j 0.00993669-0.000817096j 0.0139035-0.000415104j 0.0096344+0.0042106j -0.000811203+0.00355694j -0.0160175-0.00425159j 0.00969673+0.00193896j -0.0149593-0.00266091j -0.0124176+0.000255191j -0.00171354+0.000545164j -0.00481675-0.00141396j 0.0020611-0.000722781j 0.0047735+0.00055999j 0.00123075-0.00163568j 0.00262668-0.001223j 0.00402599+0.00181275j 0.00499939+0.00355024j -0.00402278-0.000537503j 0.00237956-0.00177049j 0.00153288-0.000842017j 0.00136884-0.00116114j -0.00198454-0.00157682j 0.00510101+0.00336853j -0.00234696+0.000910111j 0.00121139-0.00011708j 0.00133796-0.000970709j -0.00248993+0.00294868j 0.00133226+0.00128708j -0.00276794+0.000716693j -0.00398952-0.000325965j -0.00166556+0.00140018j 0.004399+0.00131946j -0.00867921-0.00425816j -0.0029815-0.000431153j 0.00316303+0.000760437j 0.00541091+0.00122152j -0.00551183-0.00261525j 0.00385788+0.00197879j 0.00221707-0.000147449j 0.00772674+0.00399444j -0.000104906-0.00217896j -0.00523337-0.00196671j 
-0.00275176+0.00313392j -0.00407855+0.00112521j 0.00888597-0.00484593j 0.000541864-0.00197741j 0.00867405-0.00072587j -0.00490587+0.00238714j 0.00280194-0.00326768j -0.00998258+0.00662793j 0.00314331-0.00647415j 0.00727234-0.0050921j -0.00642466+0.00371756j -0.00340183+0.00288791j -0.00177295+0.000892411j -0.0067533+0.000385848j -0.00212238+0.00335244j -0.00562034-0.00130771j -0.00589285-0.000244024j 0.012463-0.00251174j -0.00380327+0.00376416j -0.00437465+5.73e-05j -0.0186491-0.00100683j 0.013043-0.000882812j -0.0122521-0.000616503j 0.0137987-0.00162866j -0.00755605+0.00132428j -0.00939172-0.00220677j 0.0148729+0.00362124j -0.0184357-0.00269505j -0.00430889+0.00187421j 0.00282371+0.00113813j -0.00724562-0.00335527j 0.00114091+0.000736371j -0.00739693+0.00168114j 0.00611906-0.00377979j -0.00434176+0.00250589j 0.00193822+0.00180899j 0.00610467-0.000646866j -0.00927198-0.00276439j -0.00107864+0.0017227j -0.00459373-0.00401921j 0.00135068+0.00069954j 2.75598e-05-0.00168426j 0.00601404+0.0027054j 0.00331962+0.00243056j 0.00400146-0.00030453j -0.00381453-0.000655414j -0.000858507-0.00173036j 0.00194488-0.000227463j 0.00121211-0.00130935j 0.0127736+0.00182846j -0.000466339+0.000394909j -0.0115668-0.00386689j 0.00478615+0.00143228j 0.00406993+0.00129051j 0.000301056+0.00109025j -0.0030196-0.00136065j -0.00251151-4.62033e-05j -0.00592166-0.00197844j 0.00341598+0.00201874j 0.00329655+0.000397552j -0.00594819-0.00204857j -0.00509675-0.00253877j 0.00361528+0.00171832j 0.00184233+0.000226049j -0.00138489-0.000265759j 0.00515082+0.00205379j -0.00166845-0.00163846j 0.00300404+0.000605785j -0.00283058-0.00108728j -0.000280659+0.00127733j 
