-0.129755+0.040218j -0.131413+0.0626768j 0.424692-0.0027323j 0.641869-0.013361j 0.545425+0.0493243j 0.122451-0.0508552j -0.110945-0.0313945j 0.0711284+0.0698418j 0.000123451+0.0583392j 0.112318+0.0117109j -0.00481511+0.0266042j -0.0791437+0.0177267j -0.0150099+0.0152617j 0.0171455+0.0274491j 0.0873276+0.0142144j -0.0320285-0.0323031j 0.0363378+0.0399905j -0.0334944-0.00384393j 0.0111989+0.0201102j 0.0205538-0.0537123j 0.00822654+0.053282j -0.0738564+0.0341827j 
0.00754604-0.113598j 0.061418-0.151131j 0.0262106+0.0532144j 0.207857+0.0265515j -0.0395899-0.195275j 0.584222+0.18721j -0.046407+0.174768j -0.0171193-0.212714j -0.0150438-0.0958378j -0.0295129+0.0164138j -0.147449-0.168916j 0.101452-0.0456374j 0.158621-0.0339914j 0.170662-0.058979j -0.192136+0.0588829j 0.0263539+0.0728452j -0.0511361-0.0133912j 0.110851+0.0553382j 0.0252005+0.0638429j -0.00452095+0.0708519j -0.0407813-0.163132j 0.161886-0.0971402j 
-0.182062+0.108884j -0.279771+0.210036j 0.0200898+0.201391j -0.0160431+0.0267712j -0.0591571-0.158565j -0.137595+0.229289j 0.0409713+0.405126j -0.24713-0.20535j -0.289449+0.438525j 0.110215-0.0822392j 0.127012-0.204496j -0.0241902-0.0431496j -0.0628161-0.137607j -0.0323317-0.0854494j 0.049926+0.0467166j -0.0316487+0.00144872j -0.0331638+0.0218061j -0.0612873-0.0399045j 0.00134037-0.0228261j -0.000111994-0.0311766j -0.0891657+0.0407986j -0.0547688-0.0610366j 
-0.0398415+0.0417238j -0.11463+0.0628529j 0.0604169+0.0243756j -0.00939376-0.00385131j 0.0943142+0.0776524j -0.25471-0.244948j 0.127099-0.16475j 0.109229+0.129569j 0.112256+0.0202662j 0.145923-0.0710337j 0.175763+0.0284032j -0.0482316-0.0380421j -0.0537149+0.0764888j 0.131821+0.0826798j 0.000565268-0.0165979j 0.02872+0.152151j -0.0284236-0.0411663j -0.101465+0.0666315j 0.0395788+0.0150147j -0.0299039+0.0605196j -0.256586-0.134121j 0.139072-0.259536j 
-0.0383715+0.00830422j -0.0343382+0.0264077j -0.0133069+0.0621128j -0.0499925-0.0231313j -0.109518-0.0337854j 0.013077-0.0569655j 0.0554498-0.0412578j 0.0461107-0.0560541j 0.0240235-0.0503749j -0.179531+0.109974j 0.0708756-0.0339724j 0.0945696+0.0651575j 0.283353+0.102091j -0.120265+0.0870337j -0.0811728+0.15083j -0.00290051-0.0353118j 0.175313+0.199022j -0.180037+0.105768j 0.0434477+0.223844j 0.0656777-0.231539j -0.0783853+0.0429374j -0.038458-0.061461j 
0.019755-0.0224878j 0.0392437+0.026176j 0.0128171+0.0633385j 0.029892+0.0225448j -0.0979563-0.00532848j 0.13175-0.0335729j -0.00746098-0.091148j 0.0661202-0.197726j 0.0585224-0.123243j 0.0159354-0.137025j -0.163668+0.115116j -0.0668884+0.0714346j 0.0835423-0.0396542j 0.165716+0.0549828j -0.126259-0.0654805j -0.114935+0.0501213j -0.101789-0.0121417j 0.118949-0.0454524j 0.0247926-0.140637j 0.106099-0.0275974j -0.124041+0.0820431j -0.180681-0.179133j 
-0.0177328+0.0020903j -0.0750572-0.0299644j -0.0420196-0.00309987j -0.0135134+0.000576537j 0.000637432-0.0329733j 0.018747-0.0222172j 0.0387377+0.0569421j 0.0619275+0.047806j -0.0379116+0.0256566j 0.139643+0.111815j 0.027192-0.0300178j 0.0403875-0.109465j -0.021902+0.0233066j 0.00907388+0.0825258j -0.00571124-0.117618j -0.127852+0.045366j 0.0702297-0.134424j -0.00201242+0.0779708j 0.026876+0.0385484j -0.0913401+0.00328608j 0.0349504-0.189629j 0.189052+0.00487562j 
0.00449677-0.067655j 0.0657439-0.105694j -0.0898825-0.0118181j -0.00773812-0.0160515j 0.0406701+0.010385j 0.0654697+0.0369243j -0.0873382+0.0770142j -0.0473965+0.21129j -0.00988872-0.00975239j -0.00365181-0.207744j 0.151673-0.123841j -0.102109+0.100781j 0.0163289-0.0976562j 0.0769402+0.0209511j 0.175614+0.0727347j 0.0588969+0.0280734j -0.0834885+0.276912j -0.268037-0.0134424j -0.118683+0.0128445j 0.192109+0.0884074j -0.0397457-0.107628j 0.101857+0.0145163j 
-0.0837036-0.046744j -0.109847-0.0440212j -0.0878874+0.137095j -0.0179774-0.00353387j 0.0262183-0.051512j -0.00872633-0.0462361j 0.0607995+0.0957203j 0.143881-0.0380945j -0.00614474+0.0827037j 0.0145701-0.105342j -0.0883595+0.146691j -0.145029+0.156541j -0.011677+0.0600784j -0.097672+0.286357j -0.0353271-0.197874j -0.381864-0.220902j -0.038782+0.0994621j -0.0841088-0.13337j -0.0530072-0.0310308j 0.207937-0.0764963j 0.147489-0.0536808j -0.0253466-0.0230484j 
0.00292791+0.00726781j 0.0909403+0.00830765j -0.0264257-0.0236124j -0.0301354-0.0691166j -0.0584447+0.000453362j 0.042094+0.0183494j -0.0461853-0.0241264j -0.0523353-0.011657j 0.0169586-0.0338351j 0.160311-0.0154964j -0.0133455-0.0672412j -0.121982+0.0149579j 0.229396-0.346643j 0.116879+0.396569j 0.274649+0.13758j -0.176983-0.101952j 0.112473+0.0119435j -0.100154+0.0683449j 0.2121-0.0761402j -0.0242493-0.00735152j 0.0583331+0.0139758j -0.0554885+0.00369279j 
0.00822878+0.0347397j -0.0720744+0.0155884j 0.0278953+0.000946639j -0.000560865-0.000836201j 0.0568476-0.0108306j -0.0553532-0.0484178j 0.0210091+0.0497109j 0.0646151+0.0424469j -0.0146043+0.061724j 0.0246217+0.197693j 0.0440268+0.00825367j 0.167579-0.0512771j -0.0749469+0.076446j -0.11099-0.0554793j -0.0685929-0.0443211j 0.0359127+0.0766193j 0.0299904-0.113838j 0.0905033+0.058094j 0.0328622+0.0351054j -0.15208-0.0367105j 0.013456-0.118929j 0.177567+0.0433269j 
