-0.00940256+0.112749j 0.0243182+0.00102059j 0.00772966+0.118836j -0.0508176-0.0837895j -0.0113167-0.0473513j 0.0152965-0.0999206j 0.0823455+0.0473572j 0.180894-0.0537363j -0.207153-0.0168742j -0.0153137-0.111436j -0.0897203+0.0671882j 0.111181-0.00505995j -0.145383-0.0996756j -0.21985-0.243807j 0.0971668-0.0443376j 
-0.0519922+0.0709136j 0.0380507+0.112974j 0.0668713-0.0489141j -0.105626+0.0870735j 0.0618577+0.182543j -0.0236407-0.0585517j 0.0921977-0.076945j -0.0962734-0.0282657j 0.18845+0.13664j -0.0313417+0.168993j -0.00673385+0.0211311j 0.179545-0.0273815j -0.0027854-0.107626j 0.171007-0.00265791j 0.185163+0.338667j 
-0.00245809+0.105555j 0.0937027+0.0157881j 0.0692153+0.0262315j -0.283355-0.0470091j -0.042808+0.050789j 0.0929926+0.175292j 0.259359-0.167828j -0.00483778-0.0688013j -0.203199-0.0763337j -0.0065593-0.00259338j -0.0928708+0.135527j 0.206008-0.0901673j -0.118016-0.0556532j -0.109673-0.115856j 0.110741+0.0430818j 
-0.0555368+0.0769533j -0.0771011+0.0967377j -0.0225893+0.0540286j -0.0175397-0.000331928j 0.152567-0.0718381j -0.0811257-0.396336j 0.0899968+0.147583j 0.347244+0.0326645j -0.140128+0.19487j 0.0270078-0.11933j -0.0419358+0.228643j 0.0567104+0.00665903j -0.185766-0.0253526j -0.0900207-0.221014j 0.107396+0.0992369j 
-0.0577256-0.0907837j -0.0191407+0.0887983j 0.00886541+0.0490661j 0.18146+0.160119j -0.0385646-0.0165722j 0.154294-0.105683j -0.174271-0.160713j 0.194177+0.0981751j -0.0607395+0.354263j -0.0707291-0.244442j -0.113147+0.218652j 0.0295475+0.0636677j 0.00577941+0.0456506j 0.0236903+0.030924j -0.091506+0.0428415j 
-0.0172578-0.00291387j -0.0456624+0.083892j 0.0502456-0.0640319j -0.0605361+0.0453135j 0.145423+0.124402j -0.158273-0.128248j 0.0858021+0.0572677j -0.0845569+0.0459518j 0.335452+0.0264408j -0.00759693+0.124595j 0.0608102-0.0330247j 0.0400748+0.0376125j -0.0195653-0.0605658j 0.180142+0.0228693j 0.0975488+0.208315j 
0.0195078+0.176915j 0.203072-0.180034j -0.0782112+0.216217j 0.226784-0.156797j -0.185149-0.039729j 0.129094-0.0659716j -0.258049+0.166539j -0.0463778-0.10598j -0.0180148-0.0526435j -0.0779705+0.0307421j 0.0958306-0.127512j -0.0731134-0.0678269j 0.139029-0.0982235j -0.1409-0.0215728j -0.0676394-0.114903j 
0.122495-0.286677j -0.255038-0.0305705j 0.10957-0.0775483j 0.190995-0.0759607j 0.138112-0.172966j -0.291099-0.0202152j -0.00713726+0.127186j 0.198256+0.182403j 0.142683-0.105122j 0.0380473-0.15263j -0.12412+0.0480659j -0.111212+0.0978401j -0.121758+0.107732j 0.00607589+0.065894j -0.0481801-0.176926j 
-0.0422549+0.00248384j -0.0278303+0.0531471j 0.0439122-0.00446129j -0.01859+0.0660236j 0.00484808+0.0313933j -0.0217419-0.0898099j 0.0219813-0.0131859j 0.0832573+0.0677394j 0.0242295+0.0579624j -0.0120904-0.0137532j 0.00460852+0.0482586j -0.0050519-0.00832436j -0.0625886-0.0253056j 0.0242274-0.0264461j 0.0262265+0.0392353j 
-0.00246481-0.112331j -0.0920694+0.0470607j -0.0330092-0.0845293j 0.0108045+0.0657092j 0.024405-0.0848715j -0.0156591+0.0281636j -0.0212466+0.00706737j 0.000856936+0.0590821j -0.0100291+0.017283j 0.000749182+0.00814235j 0.0157494-0.0180178j -0.0524426+0.011674j 0.0385733+0.104481j 0.0185379+0.103814j -0.0924427-0.0382313j 
-0.117114+0.0611447j -0.142433+0.0971947j -0.317024-0.106423j -0.188119+0.109694j 0.146015-0.177164j -0.0231479-0.34164j 0.0192149+0.26708j -0.00404378-0.107464j -0.243068-0.0791618j 0.112009+0.23952j 0.295265-0.202881j -0.194285-0.0673283j 0.0595359+0.113947j -0.110729-0.0219012j -0.0890175+0.00905174j 
-0.020395-0.137951j -0.0684643+0.0370071j -0.013565-0.106979j -0.0434744+0.145574j -0.011694-0.0180439j 0.0537568+0.0820566j -0.0202064-0.134709j -0.0701782+0.0449927j -0.0423422-0.00735889j 0.0170287+0.0187878j 0.0208728-0.0310732j -0.0587695+0.00285604j 0.0527811+0.102068j 0.0739739+0.140241j -0.0838461-0.0134191j 
-0.065894-0.0642936j -0.120989+0.136487j -0.0794359-0.0930216j -0.119925+0.134437j 0.0725181+0.0188736j 0.0244211-0.00231961j 0.0568189-0.0841391j -0.00617424+0.0123193j 0.010313+0.0602973j 0.0135368+0.0634901j 0.0498197+0.0164477j -0.033917-0.0244666j 0.00557166+0.0475988j 0.0186069+0.0858328j -0.0783749+0.0763065j 
0.0505657+0.00206459j 0.0204086-0.0444703j 0.0639976+0.0295069j 0.106901-0.0696207j -0.0313996+0.0350006j -0.0303115+0.0318132j -0.0300216+0.0236082j 0.0595513+0.0197j 0.103016+0.0161298j -0.0140435-0.0325786j -0.0500016+0.0209975j -0.00259778+0.00968117j -0.0155925-0.0403073j 0.0097247-0.00918602j 0.0209875-0.0226185j 
-0.0114955+0.0167625j 0.0164573-0.00544624j -0.017034-0.0200327j 0.0066275+0.021635j -0.0267701+0.054604j 0.0204607+0.0280359j 0.010957-0.0483466j 0.00855926-0.0300765j -0.0192081+0.00629464j 0.00624266+0.0244772j -0.0269495-0.0165828j 0.0137869-0.0109324j 0.012475-0.013579j -0.00706852-0.00473048j -0.00457931+0.0118845j 
0.0430296-0.00985598j 0.049982-0.0626407j 0.0285732+0.0363288j 0.0127106-0.0172666j -0.0244383+0.0314586j 0.0624177+0.0042456j -0.0177124-0.0609927j -0.0157076-0.0380494j 0.026045-0.0318819j -0.00224631-0.0103132j -0.00718639+0.016496j 0.0104406-0.0158697j 0.00748015-0.0274217j 0.00707285+0.0129502j 0.0206051+0.0171555j 
-0.0026128-0.099637j -0.148026+0.0919348j 0.00825602-0.0653009j -0.0480359+0.0598793j 0.0657408-0.0348623j -0.0266505+0.0219896j -0.00271611-0.024946j 0.00978736+0.0315977j 0.0122012+0.0238748j 0.0438543+0.0189241j 0.0272944-0.00808402j -0.0679872+0.00870223j -0.0354903+0.026552j 0.0411256+0.049402j 0.0157602+0.0315441j 
0.101498-0.0864058j -0.0123235-0.0367648j 0.0733908-0.0213145j 0.0765286-0.0429507j -0.0288212-0.0491163j 0.0155814+0.0667397j -0.0152248+0.015525j 0.0667859+0.0350164j 0.0657956+0.0039672j -0.0125587-0.0638962j -0.053935-0.00234408j 0.00128699+0.0433172j -0.0068031+0.0291055j -0.00728486+0.011881j 0.00135075-0.0641879j 
