-0.18932+0.038591j 0.52772-0.225648j -0.270604-0.602179j -0.253281+0.230192j 0.079349+0.0364757j 0.205787+0.0613551j -0.0378934-0.0546869j 0.0623012+0.00303513j -0.109776-0.0140659j 0.0564694+0.00922221j -0.0711961+0.0456094j 0.05002+0.017568j 0.0683925+0.0271552j 0.025537+0.00660317j 0.0311115-0.00374811j 0.0245384-0.01348j -0.0283415+0.0108324j -0.0658839+0.0310031j -0.0307855+0.04018j -0.0304717+0.037267j 0.0227268+0.0215651j -0.000987219+0.0138897j 0.0576167+0.00127122j -0.0482449-0.0219751j 
-0.026396+0.00775161j -0.0503242-0.0547074j -0.0524272-0.191844j -0.172812+0.042371j -0.107595-0.0308374j 0.147434-0.0105802j -0.0128649-0.0311832j -0.499199-0.0773936j 0.186672+0.0631226j -0.221121-0.0287547j 0.138196-0.020874j -0.333655+0.078643j -0.0847886+0.118316j -0.218654+0.0272852j -0.247721+0.000901977j -0.011686+0.0196636j -0.0958764-0.0231586j 0.220095-0.0873285j 0.143085-0.118941j 0.0568046-0.0391037j -0.0327709+0.00993568j -0.0803584-0.0394237j -0.166372+0.0936691j 0.136574+0.0964819j 
-0.0538153-0.00794763j 0.160221+0.0375524j -0.059051+0.0485548j 0.0984592+0.0261902j -0.104992+0.00615756j -0.263804-0.0194686j 0.146323-0.0223713j -0.154388-0.00633615j -0.568967+0.00130847j -0.500374-0.00602608j 0.365142-0.0327917j -0.047249-0.036741j 0.0168686+0.0558617j 0.0710029-0.0027749j 0.260272-0.00349225j -0.0191818+0.0225842j 0.0369687-0.0340466j -0.0202014-0.0258406j -0.0421951+0.0530946j 0.0351814-0.0259048j -0.038538+0.0224977j -0.131071-0.0134703j 0.00592269-0.0205851j 0.0316355-0.0459762j 
-0.0305007-0.0200725j 0.153041+0.075862j -0.0907847+0.0434093j 0.0296987+0.0452076j 0.0065438-0.0379537j -0.200631-0.0682419j -0.0425741-0.0370655j 0.319043-0.10078j -0.122223+0.0708258j 0.223558-0.0398266j 0.0307101-0.131876j 0.360694+0.00398524j -0.121387+0.26626j -0.238947+0.0652889j -0.120922-0.0311438j -0.107981+0.0584516j 0.0668221-0.0648455j -0.106635-0.155472j 0.0662501-0.0501436j 0.107093-0.085302j 0.00531987+0.0277265j -0.127267-0.0638852j -0.239921+0.0441713j 0.220495+0.0113707j 
-0.0014205-0.0231663j 0.0301509+0.0602259j 0.0128413-0.0320006j 0.136347+0.0629888j -0.103249-0.039142j -0.195254-0.0669322j -0.166409-0.254352j -0.134203-0.00786414j 0.137614+0.0906655j 0.000929819+0.0264313j -0.0378993+0.203423j 0.05547+0.0430437j 0.116172-0.350203j -0.154347-0.270732j -0.0789715+0.243104j -0.0217304-0.0598789j -0.220963-0.346469j -0.153869-0.0793928j -0.0275014+0.149626j 0.0188262+0.0941688j 0.0316078+0.159047j -0.158122+0.0240488j 0.00514951+0.121292j 0.117485-0.013843j 
0.0079513-0.0117806j -0.0405462+0.0413572j -0.0445183+0.0284347j -0.0232801+0.0898613j -0.0203077+0.014179j -0.050626-0.0308092j 0.019219+0.0227009j -0.0111244-0.0161862j 0.144052-0.00944742j 0.0539653-0.0175838j 0.0303068-0.138305j -0.0882572-0.0771324j -0.153496+0.287283j -0.257952+0.114577j -0.223039-0.0921176j -0.0234667+0.0916873j 0.0320617+0.00458011j 0.213645+0.00988603j -0.19976+0.201821j 0.0626461-0.0854847j -0.145111-0.0120344j -0.221327-0.00593239j 0.175008-0.0383868j -0.0156145-0.119368j 
-0.0162615+0.00831226j -0.00368228+0.0109091j -0.0474235+0.0380176j 0.0242986-0.00184299j -0.0108425-0.0434469j -0.0666268-0.0159323j -0.00405923-0.0222506j -0.063513-0.0737426j -0.0886352+0.0244696j -0.0194825-0.00504819j 0.0783715-0.0752801j 0.035077+0.0157343j -0.0880994+0.130044j -0.109051+0.101413j -0.171095+0.0139703j 0.0575375-0.132266j 0.0222436+0.0153667j -0.104232-0.0287361j 0.16576-0.30582j -0.080624+0.0985012j 0.103559-0.0183046j 0.205192+0.0553658j -0.21527+0.0139996j 0.00233796+0.0416215j 
0.0244058+0.00742042j -0.098999-0.0374745j 0.0182097+0.0161551j -0.174592-0.126955j -0.0365941-0.0380945j 0.127806-0.0133005j 0.0234174+0.0994765j -0.127828-0.0280084j 0.0353201+0.0676657j -0.0274242-0.0290403j -0.0113572+0.0471963j 0.193413+0.182985j 0.058324+0.117317j 0.125302+0.0543999j 0.200034-0.00740329j 0.0246132+0.106627j 0.120598+0.124082j -0.0857514+0.0913374j 0.0772+0.308329j 0.0213784-0.0420895j 0.0509686-0.035236j 0.107831+0.0391556j -0.0604179+0.259301j 0.251978+0.16192j 
0.0575445+0.0151448j -0.0147524-0.0566006j 0.044554+0.0229489j 0.0429816-0.0206772j 0.0737757+0.0556627j 0.146859+0.0649053j -0.0231655-0.0150867j 0.0796898+0.0485297j 0.0505318-0.0700892j 0.0443334+0.0227912j -0.127902+0.0780083j -0.147464-0.0750089j 0.167818+0.000836811j 0.00408301-0.1669j 0.347848+0.0276356j -0.0106172+0.138508j 0.0380848+0.125039j 0.144592-0.0905552j 0.109531-0.308309j 0.249479-0.289221j -0.0653147+0.128457j -0.400846-0.061585j -0.198744-0.0814772j 0.0265914-0.0654205j 
0.044015+0.0566145j -0.0578347+0.026724j 0.0290369+0.0424586j -0.0248986-0.0137252j 0.0543381+0.027123j 0.060812+0.00804928j 0.0191467+0.089018j 0.0458205-0.006442j -0.0167492-0.0243798j 0.00461731+0.0116889j 0.0636112-0.0546878j -0.0545005-0.0206771j 0.108124+0.265951j -0.205813-0.153064j 0.0808399+0.0701169j 0.16282-0.195837j 0.0912035+0.112652j -0.00707403+0.201681j -0.0103172-0.0547885j -0.206864+0.494393j 0.22255+0.499487j -0.166191-0.0330397j 0.0497791+0.0566792j -0.0206892-0.0439827j 
-0.0277888-0.0112964j 0.0670562+0.0231896j 0.00554951-0.0192108j 0.0737979+0.00450509j 0.0108192-0.0229146j -0.0479008+0.0244024j -0.01977-0.0988702j -0.0506181-0.0283487j -0.0564548-0.00239997j 0.00348981+0.0188085j -0.0320924-0.0069423j 0.0125002-0.0215371j -0.0544336-0.047385j 0.0056009+0.0672906j -0.0806416+0.0599243j -0.0402553-0.0482476j -0.0159729-0.0138286j -0.086415-0.0239088j 0.137261-0.3888j -0.03637+0.0323809j 0.0551564-0.038559j 0.108015-0.038838j -0.176247-0.0587507j -0.0783107-0.0340644j 
