-0.00100505+0.00739455j -0.0645887-0.0103104j -0.0110067-0.0213654j -0.0766087-0.00351968j -0.0294573-0.000471504j -0.0302286+0.0110123j 0.00683607+0.0111763j -0.0105586+0.00788378j -0.00520151-0.0118954j 0.0569652-0.0133746j 0.0287308+0.0158382j 0.0264172-0.0230323j -0.0264062-0.104453j 0.0967898-0.0140376j -0.00607104-0.00790075j 0.00560252+0.0679052j 0.0213486+0.00570941j -0.0387799+0.0367366j 0.0356607+0.00745192j 0.0235258+0.0317241j 0.0767923-0.00461458j -0.0249283+0.0206321j -0.0767216-0.0887661j -0.088058+0.108889j 0.00156353+0.000213337j -0.0115376+0.063655j -0.00878488-0.00223281j 0.0630133-0.0168184j 0.0247583+0.077512j 0.12642+0.125857j -0.0650568-0.0421552j 0.120642+0.0282111j 0.191099-0.0522059j -0.369189+0.0156718j 
-0.0136162-0.00193808j 0.00916694+0.0035828j -0.0201205+0.00502044j 0.00286282+0.0205502j -0.0136256+0.000828016j 0.0107823+0.00714156j 0.0125644+0.00867463j 0.0153709+0.0020561j -0.0137283-0.00595717j -0.0347184-0.000836604j 0.0413438+0.00310597j 0.0344353-0.0233633j -0.0103536-0.000791494j 0.0241673+0.0208907j 0.00314332-0.0114414j -0.0131298+0.0230311j 0.00747092+0.0394893j -0.0172186+0.0182585j -0.0521976-0.0288838j 0.0285552-0.00459032j 0.0462015+0.0538428j -0.0504127+0.00822297j 0.0208458+0.0785606j 0.0887501+0.0223047j -0.0177758-0.052824j 0.0443934+0.0882564j 0.0408395+0.0892904j -0.0470438-0.132117j 0.0921414+0.0495451j 0.00843408+0.0156852j -0.0308728+0.114347j 0.147968-0.0100509j 0.422794-0.0087618j 0.227203-0.0510426j 
0.0780214+0.0562864j -0.0915053-0.011108j 0.0817846-0.0610797j -0.0088757+0.0179218j -0.151284-0.0294817j -0.0752747-0.00154505j 0.0104685-0.00426141j -0.0174369+0.0173003j -0.0351189-0.0180875j 0.129619+0.00431051j 0.179787+0.0191496j 0.0660694-0.0788004j -0.0375187-0.363046j 0.112392-0.0949828j 0.000849178+0.0391446j 0.0625768+0.068736j 0.0270182+0.239124j -0.175397+0.115463j 0.060108-0.0493665j 0.0751206+0.142441j 0.208335+0.0588056j -0.124139+0.113998j -0.153205-0.156739j -0.1873+0.104989j -0.0239114-0.0326444j 0.0325311+0.0499213j 0.0472628+0.0340581j -0.0686869-0.158488j -0.030871+0.0332761j -0.0268911-0.0116727j 0.00750172-0.0958509j 0.323057-0.0519849j -0.023337-0.029379j 0.0626724-0.0299974j 
0.0402127-0.022262j 0.10222+0.0215862j 0.0141367+0.0377933j 0.00823829-0.0127725j 0.0773382+0.00821024j 0.0375738-0.0233891j 0.0123122-0.024603j -0.0185802-0.0042711j -0.00479753+0.0162671j -0.0498829+0.0103335j -0.0378426-0.0162306j -0.0438726+0.0333031j 0.0305382+0.215293j -0.0928102+0.041298j -0.0420794+0.023675j -0.00832053-0.119184j 0.00626259-0.050228j 0.0352573-0.075696j 0.0384518+0.012649j -0.0154393-0.0130171j -0.0143292-0.0081267j -0.0129464-0.0282691j 0.0711683+0.085533j 0.0851881-0.144654j -0.0259578-0.016927j 0.00297085-0.0738538j -0.0108382-0.0424244j -0.121844+0.0152207j -0.0810069-0.0721674j -0.122571-0.133619j 0.00745304-0.0569103j 0.139244-0.0323769j -0.171357+0.076714j 0.214394+0.00927053j 
-0.0621877-0.0383811j 0.0130526-0.019986j -0.0412881+0.0215244j -0.0155263+0.0661301j -0.000868439+0.000587669j -0.000354841+0.0198188j -0.126555-0.0227466j 0.0281318-0.0103957j -0.0212969+0.00731839j 0.0130671+0.0167987j -0.0172537-0.0217621j 0.0536767+0.0483253j -0.0241474+0.0486356j 0.0209214+0.00880122j 0.00398356-0.0559306j -0.0252115+0.0553233j -0.0898225-0.111778j 0.150968+0.108656j -0.164504-0.0551211j 0.156524-0.103009j 0.110511+0.244799j -0.203604+0.19115j -0.121728-0.0293292j -0.257217+0.00794185j 0.0823108+0.0986127j 0.144585-0.144011j 0.009782-0.0163281j 0.00402393+0.0412314j -0.0759572-0.0618712j 0.0558675-0.132766j 0.103754+0.129892j -0.136842+0.017594j -0.126935+0.0592273j 0.161519-0.00481268j 
-0.0242572+0.0203862j -0.00932047-0.0293623j 0.0196687-0.0500235j 0.0108021+0.00591787j -0.189858-0.0193478j -0.0555744+0.00360134j 0.0156463+0.0176241j -0.035144+0.0134423j -0.000567819-0.00548356j 0.0309319+0.00547711j 0.139522+0.000359408j 0.157593+0.0746405j -0.0616545-0.186125j 0.105598-0.0831274j 0.00417298-0.0167959j 0.0368361+0.110818j 0.0134977+0.210725j -0.122332+0.0752787j 0.117504-0.0179383j -0.000948099+0.116041j 0.0975517-0.0519563j -0.036345+0.0668919j 0.0380994+0.130275j 0.02343-0.21507j 0.120097+0.144778j 0.119652-0.29007j -0.0485885-0.088816j 0.0197318+0.201128j -0.0837771-0.156783j -0.10752-0.160169j 0.0280997-0.101438j -0.177817+0.0155564j -0.283188+0.0862067j 0.0556648+0.0859392j 
-0.0989871+0.0147893j -0.0510604-0.029773j -0.0317405-0.0120543j 0.00917381+0.0314337j -0.060585+0.0198261j -0.031244+0.0253953j -0.0510602+0.0327251j -0.0235941+0.0240309j 0.0191556-0.0199304j -0.0280902+0.00742956j 0.0514404-0.01209j 0.00587634-0.00150432j -0.0439966-0.0797587j 0.0538939+0.0122059j 0.0114466-0.0726145j -0.0289556+0.0960604j -0.00314597-0.0273642j 0.0892473+0.00550589j 0.160268-0.0214593j 0.00702884+0.102671j 0.0675611+0.0923526j -0.0873704+0.0671136j 0.130661+0.347159j 0.177541-0.122753j 0.103425-0.021146j 0.141382+0.0324258j -0.0638116+0.143426j -0.0630605-0.219804j -0.0633623+0.045529j -0.0388668-0.0614365j -0.0136685+0.246713j -0.00974586-0.0349733j 0.196496+0.0521664j 0.251958-0.124126j 
-0.00128976-0.0427724j 0.0672759+0.0157494j -0.0351681+0.0290523j 0.0195866+0.0435029j 0.144272+0.0437994j 0.0389693-0.079084j -0.0518543-0.0424718j 0.00482267+0.0573711j 0.00967372-0.0123361j -0.0394663-0.020015j -0.103425+0.00762054j -0.00410378+0.0230852j 0.023646+0.133763j -0.119663+0.0377666j -0.0616264+0.031459j -0.034739-0.0523256j 0.0417136-0.127426j 0.156409-0.0439259j 0.322038+0.111547j 0.043643+0.455371j 0.179896+0.0357852j -0.206375+0.266967j 0.042257+0.0383541j 0.0386318-0.0323085j 0.0351229-0.0519946j 0.000622117-0.0071859j -0.12969-0.181674j -0.097221-0.0754823j -0.236647+0.139926j 0.0665179+0.0688034j -0.0415491-0.217396j 0.15557-0.015693j -0.0531925-0.0524989j -0.195368+0.0510993j 
0.0339479+0.00397532j 0.0668047+0.0207694j 0.0295189-0.00284434j -0.0275922-0.0320247j -0.0623889+0.00928263j -0.00286551-0.0288193j 0.0847538+0.0244607j -0.0296293+0.0129404j 0.0281181-0.00775939j 0.00314488-0.000298842j 0.0351934-0.00134669j -0.0335954-0.0232227j -0.0105507+0.047042j 0.0528066+0.0277818j -0.0237274+0.0222298j 0.0450878-0.0254884j 0.0623991+0.152274j -0.158838-0.0984183j 0.113515+0.0188171j -0.0649333+0.139793j 0.01029-0.159632j 0.0758555-0.132803j 0.033535+0.166853j 0.0621251-0.106684j -0.0390635-0.105588j -0.0329846+0.0875852j 0.0468022+0.0808492j -0.0148392-0.138498j 0.0729401-0.0173355j -0.123097-0.0812473j -0.0263083+0.00654018j 0.136796-0.0796603j -0.0239197+0.0410379j 0.108107-0.0660401j 
0.183936+0.00493206j 0.14821+0.0781092j 0.119348+0.0466631j 0.113924+0.0600822j 0.0641931-0.0739847j 0.0516071-0.0445466j -0.0529773-0.0958221j 0.0174924-0.0391967j -0.08683+0.0327892j -0.0604178-0.00189512j 0.0851014+0.0216756j 0.000402596-0.0134674j 0.0648852+0.0757929j -0.143079+0.0037581j -0.0311042+0.125581j 0.0263479-0.238547j -0.067335+0.152359j 0.0835403+0.10658j -0.25454-0.0933912j 0.115142-0.128916j 0.0332736+0.283248j -0.145754+0.180251j -0.00957307-0.00455881j -0.0178848+0.00968996j 0.0513444-0.0243298j 0.0563289-0.000984503j 0.0310512+0.0812885j 0.0568686-0.0840199j 0.0781526-0.0118676j -0.0433941+0.000912857j -0.0523671-0.024183j 0.0895141-0.0237848j 0.0628662-0.0124748j -0.0249733-0.0285875j 
0.0316744+0.107318j -0.359261-0.0397325j 0.089938-0.0414809j -0.0732796-0.0159975j 0.0479025+0.0237947j -0.0622947+0.0299253j -0.108568+0.0175435j -0.0270135+0.00785277j 0.0103195-0.0211503j 0.108054-0.00364099j 0.098855-0.0156738j -0.0658593-0.0240934j 0.039159-0.293844j -0.058511-0.0998765j 0.0467221-0.0159402j -0.0618178-0.116203j -0.0119036-0.413567j 0.229497-0.114972j 0.13348+0.0787752j -0.0103327+0.0357446j -0.0470557+0.0381063j -0.028615+0.0737482j 0.0686597+0.111428j 0.0461527-0.00379376j 0.062385+0.0609229j 0.0801558-0.0413326j 0.0400541+0.0776057j 0.0585869+0.0644315j 0.104478-0.0121796j -0.0813102+0.0698457j -0.0229391+0.075806j -0.0610707+0.0463786j 0.0748949-0.00726098j 0.0348269+0.00837317j 
