-0.023937-0.0012699j 
-0.0725356-0.0042757j 
-0.192788-0.0127847j 
-0.441413-0.0334539j 
-0.965362-0.0853567j 
-2.01638-0.213945j 
-4.15186-0.550657j 
-8.45494-1.49516j 
-17.6015-4.66893j 
-38.9186-20.647j 
0-114.825j 
38.9186-20.647j 
17.6015-4.66893j 
8.45494-1.49516j 
4.15186-0.550657j 
2.01638-0.213945j 
0.965362-0.0853567j 
0.441413-0.0334539j 
0.192788-0.0127847j 
0.0725356-0.0042757j 
0.023937-0.0012699j 
