0.0161749-0.00676166j 0.014812-0.045817j -0.332852-0.136822j -0.00215871+0.0200373j 0.0188474-0.0160664j -0.0207895-0.0226341j 0.0246076+0.0250989j -0.0672049+0.0856447j -0.00753148-0.00557364j -0.00100131+0.000281307j 0.00399953-0.0203702j 0.00664792-0.0183524j 0.017411-0.0261378j -0.0243672-0.00948971j 0.0354237-0.0273829j -0.0323703+0.00732826j -0.0239845-0.0279305j -0.0457615+0.0023912j 0.0388889+0.0256069j -0.0786226+0.0307322j 0.027023+0.0249843j -0.023447-0.03929j 
-0.0444364-0.0134847j 0.202771-0.00698365j 0.0741365-0.268345j -0.0104081+0.0159916j -0.0491818+0.0311236j -0.00634543+0.000978922j 0.0255939-0.0558129j -0.0749937-0.0131277j -0.000896034-0.00124471j -0.0138332-0.0212177j -0.00205091-0.0140911j 0.0173936-0.0266102j -0.0298433+0.0283465j 0.00686112+0.0138765j -0.0236017+0.016702j 0.0326146+0.00180502j -0.0331362-0.00495942j -0.0233498+0.03194j 0.0779042-0.00911377j 0.0237866+0.0223891j 0.034131+0.0335488j -0.00312863+0.00186226j 
0.0770314+0.0240022j -0.176396+0.476175j -0.112255-0.208347j -0.0246896-0.0547582j 0.0434887-0.0633412j -0.00731784+0.00404031j 0.18081+0.0867011j -0.100011+0.0980402j 0.00488118-0.00346387j 0.0294496+0.0107811j 0.0239134+0.0200675j -0.00680297+0.0561665j -0.0134869-0.0361288j -0.00283802-0.0113087j -0.0107803-0.0267826j -0.00957719+0.0138948j -0.0378636-0.00270677j -0.0463755+0.0194723j 0.0906698-0.00867626j 0.0599854+0.118261j 0.0144322+0.0180174j -0.0421504+0.0380975j 
-0.0440676+0.158959j 0.346267-0.0599711j -0.00206509+0.164921j -0.0220435-0.0700598j 0.0663461+0.0888492j 0.144242+0.0268427j -0.0942961-0.0371508j -0.00237652-0.0775785j 0.0271991-0.0115847j 0.00489854+0.00813121j 0.0429454+0.0519947j -0.0060128+0.0398287j 0.0386347+0.0190225j 0.029625-0.0493273j 0.0097614+0.0331906j -0.0141287-0.0268326j 0.046327-0.0387021j -0.0651165-0.0816085j 0.0621957+0.0607428j -0.0966078+0.0625116j 0.00227689+0.0411767j -0.0336943-0.0417931j 
0.236494-0.0551704j -0.0126091-0.250107j 0.0261846+0.14907j -0.0357077+0.0265938j 0.0400036-0.0469215j 0.194102+0.191823j -0.105416+0.0550828j -0.014603+0.00188442j -0.0104434-0.00196434j 0.016084-0.00646367j 0.00804539-0.0262566j 0.0474654+0.0177907j 0.0275776+0.0371992j 0.00705972-0.0978468j -0.029096-0.0474037j -0.0897172+0.05398j 0.0771349+0.0532244j -0.064671-0.0617486j 0.030352-0.0609943j 0.0654254-0.00382325j 0.00444302+0.0190385j 0.0129436+0.024667j 
-0.42992-0.442773j 0.289517+0.00309542j 0.129439+0.0811564j 0.0743319+0.0663715j -0.159872+0.133743j 0.00649332+0.096962j -0.0593147+0.0268284j -0.161221-0.0614221j -0.0258178+0.0351871j 0.0154056+0.0241739j -0.0823912-0.0141245j -0.0203656+0.000812695j 0.00188567+0.0228628j 0.0123287+0.0135753j -0.0237202+0.0553955j 0.0578813-0.0192042j 0.00459188-0.0219277j -0.0228502+0.017374j 0.0598841-0.0202896j 0.0141031+0.118983j 0.0256962-0.016118j -0.0578402+0.0187356j 
0.0661852-0.186035j -0.199712-0.24046j -0.197766-0.163871j -0.00207197+0.00848616j -0.091104+0.069706j 0.146776-0.0812143j 0.171956-0.113396j -0.000716936-0.0695859j -0.0099945-0.00594062j -0.0305857+0.0298159j -0.013618-0.0100991j -0.045684-0.00127777j 0.00731927+0.0578293j 0.0441017-0.038205j -0.0347395-0.0125451j 0.0271737-0.0120349j -0.0722966+0.0895916j 0.126943-0.0284244j -0.00881636+0.0713555j -0.033322+0.102003j -0.0435467-0.0478679j -0.0527362+0.0146809j 
0.197603-0.0292843j -0.149338-0.00504816j 0.159661+0.102185j -0.0306547-0.0706893j -0.147177+0.0476506j -0.0367384-0.0854847j -0.0741431+0.0244159j -0.0287722+0.211833j -0.00813732-0.0298057j -0.052042+0.0431521j 0.023999-0.0178008j -0.0852409+0.00423879j -0.0236736+0.0606283j 0.129962+0.0512027j -0.00447724+0.0150462j -0.0266664-0.0233459j 0.08855-0.0327958j -0.0605646+0.0267905j 0.00697797-0.141401j -0.0889545-0.0625654j 0.117738-0.0213939j -0.00550452-0.0718779j 
-0.414114+0.162417j -0.20431+0.0646698j -0.101118+0.154301j -0.070025-0.0637542j 0.0391016+0.0131267j 0.0547902-0.103715j -0.0485946-0.0389582j 0.212694-0.0982394j -0.0319941+0.0029876j 0.0533519+0.0178578j -0.00138508-0.0457622j 0.01983+0.0611236j -0.0545997-0.0708314j -0.00416705+0.0594435j 0.0147175-0.0167874j 0.00358977-0.00553645j -0.0029715-0.0232543j 0.00508755+0.0224443j -0.0301294+0.00116527j -0.0931328+0.0229735j 0.0258739-0.0294798j -0.0331163-0.0399932j 
0.104118+0.455219j 0.196916-0.00608912j 0.046406+0.0168973j -0.174115-0.0909434j -0.024076+0.15313j 0.0288616+0.0730016j 0.145176-0.00885898j -0.0203214-0.0174735j -0.0281359-0.0112561j 0.00917338+0.054491j 0.00385467-0.0293209j -0.034237+0.0759699j 0.00222877+0.0234384j 0.0102454-0.0539967j -0.138736+0.0330939j 0.103491+0.105169j 0.0196426-0.0370953j 0.0304943+0.0624482j -0.0813387+0.00725998j -0.0431985+0.0290273j 0.000650608-0.0589513j -0.0305704-0.0070422j 
-0.119628+0.115596j 0.072455-0.00101395j -0.125493-0.111532j -0.0623818+0.258522j -0.0118294+0.0457765j 0.00376256-0.00123773j 0.0164636+0.0503156j 0.0651937+0.257253j -0.013134+0.0500358j 0.00650852-0.0528087j -0.101541-0.0232255j 0.0519674-0.0772378j -0.0434844+0.0471364j 0.0163908-0.0125213j -0.0388786-0.0683661j -0.0415034+0.0669787j 0.0173818+0.0131483j -0.0431705-0.0513472j 0.0473748+0.0774143j -0.102691+0.0202837j 0.00399511+0.0521779j -0.0118575-0.0492489j 
