0.292287-0.348063j -0.147037-0.229854j 0.00255453+0.0684335j -0.113309-0.0635263j 0.0939944-0.0159126j -0.027075+0.136965j -0.0156565+0.0173579j 0.00547369-0.0461296j -0.0243368-0.0690078j -0.0825423+0.0554792j -0.0250196-0.0310842j 0.0543656-0.00523622j -0.0498449-0.068555j 0.037121-0.0505146j -0.0448478+0.0416902j 0.00784283-0.00308161j -0.016091+0.00870069j -0.014305+0.0207544j -0.0232265-0.00166614j 0.00631766+0.0279195j -0.0265487-0.0234084j -0.00615031-0.0148722j 0.0298136+0.0257205j -0.0218895+0.0072849j 0.0120706-0.0267817j 0.0369393+0.0407038j 0.0408144-0.00375776j 0.00551724-0.0622457j 0.0155463-0.00241034j 0.00193295-0.0146428j -0.0172997-0.018964j -0.0242127+0.000580587j 0.00694506-0.0495844j -0.0297033+0.00227876j -0.00557646+0.0411504j -0.026604+0.0133497j 0.0366129-0.00469881j -0.0134116+0.0173792j 0.0371675+0.0159623j -0.00688786-0.0169815j 
0.347926+0.526884j 0.173029-0.105785j 0.0666441-0.00727015j 0.0580319-0.0271637j 0.0965664-0.0187585j -0.0520401+0.0451972j 0.0505833+0.0205714j -0.0599057-0.043991j -0.01972+0.0388787j 0.0381804+0.0624091j -0.019053-0.027678j -0.0354114-0.0602275j -0.0556304+0.0517485j -0.0232068-0.0449486j 0.0226764+0.0340491j -0.00982927-0.0148828j 0.0199052+0.0256085j 0.0496967+0.0159012j 0.00431162+0.058896j 0.0193782+0.0331911j 0.0264947+0.0122965j -0.00941889-0.0165617j -0.0386793-0.011568j -0.0133907+0.0450861j 0.00588546-0.0203263j 0.0747557-0.0329037j 0.0871792+0.0347315j 0.0129945-0.00531083j 0.00288818-0.0393943j 0.00670306+0.000235086j -0.0227324+0.0144511j -0.0221958+0.0364353j -0.0561179-0.060956j -0.0353887-0.0423638j 0.0425054+0.0593423j -0.0295854-0.037432j 0.0455764-0.0206574j -0.0220815+0.0925711j 0.059595+0.0141454j -0.000247806-0.0306316j 
-0.266385+0.0792671j 0.151381-0.164615j -0.0629064+0.182601j -0.175342+0.0557484j 0.012113+0.129622j -0.0131585+0.0326447j -0.0389229+0.00571541j 0.0274863+0.0384476j -0.060112-0.00689961j 0.0351073+0.062949j 0.0298+0.108745j -0.0253728+0.0048844j -0.045374+0.0759221j -0.0187855+0.0575984j 0.0602392-0.0234655j -0.00344814+0.0238439j 0.0355263-0.0233685j 0.00337672+0.0252685j 0.0416544-0.00550276j -0.0282481+0.00477363j -0.00789182+0.0258578j 0.0425427-0.0106381j -0.00617893-0.0316643j 0.0258473+0.0122384j -0.0151399+0.00311573j -0.0271471-0.0299927j -0.092427-0.0213275j 0.0301106+0.0467281j -0.00523779+0.00922315j 0.0102759+0.0101422j 0.0256652+0.0357589j 0.0159922+0.0221504j 0.0241715+0.0682833j 0.0112061+0.00948427j -0.00689402-0.066072j 0.0228223-0.0152715j -0.01151-0.01324j 0.0141321-0.0318399j -0.0170279-0.0193224j -0.00769884+0.0137042j 
-0.504365+0.00800571j -0.120518+0.0012255j 0.108108+0.0258223j 0.115516-0.000345165j 0.154609+0.0330563j -0.106518+0.0279074j 0.0290729-0.0418771j -0.0510627+0.00721738j 0.0661596-0.0276315j -0.0673578-0.000296255j -0.0998519-0.00104127j -0.055107-0.0399429j -0.0649135-0.0283691j -0.0515364-0.00397665j 0.0274806+0.0428513j -0.0268493+0.030547j 0.0724052-0.003836j 0.000589772+0.0376426j 0.0744432+0.0482762j -0.0467857+0.0488179j 0.020246-0.0203426j 0.0450223-0.0493386j -0.0191647+0.0531163j 0.000948271+0.0440233j 0.0262785-0.013313j -0.0136037-0.00128719j 0.00532806-0.0217872j 0.123244+0.000309032j -0.000938665-0.0553694j 0.0359817+0.000170646j 0.0252996+0.0131822j -0.00837838+0.0431436j 0.0159124+0.0522098j -0.046359-0.0501875j -0.0167847-0.0183993j -0.0496185-0.0466698j 0.0746888-0.0471178j 0.000353326+0.0398205j 0.0726413+0.00533602j -0.0261468-0.0312983j 
0.268945+0.0690683j -0.153697-0.160186j -0.0102106-0.032232j 0.177891+0.0566409j -0.063608+0.11169j -0.0644147-0.182538j -0.0600739-0.0250467j 0.0245625+0.0556892j -0.0421999-0.0772499j -0.0376185+0.0600252j -0.0317957+0.108026j 0.00297055+0.0252611j -0.0588073+0.00469138j -0.0237148+0.0415055j 0.0390347+0.00518699j 0.00782466+0.0143831j 0.0184105-0.0194807j 0.0138449+0.0342896j 0.0119804-0.0133842j -0.0244971-0.0140454j -0.00863867+0.0680391j 0.0121785-0.010837j 0.0258322-0.0680342j 0.019532-0.0187027j -0.0258422+0.0355032j 0.027521-0.0281185j -0.0956239-0.00372118j -0.0292551+0.0455326j -0.00522029-0.0095446j -0.00979065+0.00983336j 0.0152552+0.00305156j 0.0278808-0.0072519j -0.00392636+0.0312996j 0.0419043+0.00989521j -0.00884117-0.0245699j 0.0275669+0.0029401j -0.0407752-0.00644632j 0.00205387-0.024705j -0.0341755-0.0237982j 0.00317579+0.0235888j 
0.327941-0.539166j 0.177112+0.099371j 0.0519167+0.0437074j 0.0592544+0.0249394j 0.080158+0.0560223j -0.0670872-0.00578985j 0.0249865-0.0323594j -0.019974+0.0450466j 0.0551619+0.0547692j 0.0404697-0.0613562j -0.018379+0.0270994j -0.0697541-0.0163535j 0.018784+0.0411766j -0.0560909+0.0484593j 0.0511112-0.0200639j -0.000767826+0.0316627j 0.0599716-0.0133737j 0.0199852+0.0930285j 0.0467558+0.0202092j -0.0281652+0.0404605j -0.043757+0.057087j 0.035522-0.0428241j 0.0557957-0.0558672j 0.0151462+0.0402903j -0.0215933-0.0160294j 0.0707364+0.035636j -0.0916941+0.0107751j 0.0164766+0.00224132j -0.00375681-0.0393089j 0.00780423-0.000908274j 0.00652386+0.0193998j 0.00520218+0.0470497j 0.0416534-0.0110485j 0.00771954-0.0171987j -0.0276288+0.0119915j 0.0167935-0.0328969j 0.00640185-0.0597231j -0.0492313+0.0157685j 0.021814-0.0248763j -0.0107251+0.0136948j 
-0.30399-0.335132j 0.140146-0.233145j -0.0277718-0.136966j 0.112409-0.0638238j -0.0806921-0.0550688j 0.0034112-0.0693735j 0.0433934+0.0417017j -0.0418057-0.0472476j -0.051833+0.0660248j 0.0808969+0.0584075j 0.0244299-0.0303756j -0.011037-0.0528425j -0.0261463+0.0679501j -0.00900806-0.0465515j 0.0146451+0.018486j 0.00651498-0.0180623j -0.0383523+0.0158579j -0.0135791-0.0208108j -0.0370278-0.0046218j 0.0273622+0.0113131j -0.00378278-0.0438922j -0.0305282-0.0011483j 0.00465898+0.0513373j -0.0239476-0.00547804j 0.0181622-0.0185595j -0.0394768+0.0391094j 0.0401033+0.0133203j -0.00485908-0.061557j 0.0156986+0.00261393j -0.00188761-0.0143896j -0.0117615-0.0265971j -0.0205323-0.0117922j 0.0286605-0.0240791j -0.00603922+0.0154518j -0.0251654+0.0214593j -0.00586913+0.0285886j 0.02365-0.000145525j -0.0122016-0.0215729j 0.0154307+0.00950125j -0.0076621-0.00349557j 
0.08556+0.18903j -0.386583+0.108077j 0.0252462-0.065631j 0.0304215+0.120267j -0.146895+0.0557182j -0.0344988+0.240613j 0.0260857-0.010797j -0.00553388+0.0546038j -0.0165877+0.06196j 0.0192015+0.0511415j 0.0252365+0.0254932j -0.0677713+0.0250421j -0.0525854-0.0667048j -0.000515453+0.013509j -0.108522+0.0488996j -0.0194609-0.00373238j 0.0273164-0.00608043j 0.0227889-0.0260232j -0.00160777-0.00545185j -0.00735224-0.0465256j 0.000524639+0.0381294j 0.0113118+0.039157j -0.0137298-0.050485j 0.00774385-0.0217078j -0.00760305-0.030209j 0.0193062+0.00864865j 0.0342063+0.00197502j -0.0171406-0.0135535j 0.00595063-0.0152986j 0.0200669+0.000694338j -0.049362+0.0154382j 0.041476-0.0133925j 0.048418+0.0139294j -0.0206882+0.0165067j -0.0338067+0.0308112j -0.0171361-0.0156962j 0.0186894-0.0119659j 0.0104249-0.0650546j 0.0344564+0.0174493j -0.0580461-0.0183327j 
0.269808-0.0468961j 0.0594624+0.34537j 0.0713661+0.0572731j 0.0430057-0.100951j -0.0222568+0.121323j 0.157964-0.0239994j 0.0429252+0.0499951j -0.0177428-0.0266063j -0.0458717-0.0136675j -0.0316106-0.000810832j -0.00908602-0.0204181j 0.0154397+0.0389001j 0.022157-0.0172009j -0.00953075+0.0547634j 0.0608307-0.0221327j 0.00114518-0.0295078j 0.0250447+0.0386466j 0.0514418+0.0488001j -0.0132569+0.0246797j -0.00154051+0.00175418j -0.0146289-0.00381785j -0.0209635-0.00557492j 0.0265908-0.0215674j 0.0109763-0.0294591j 0.0215378-0.0314357j -0.00202904+0.0605479j 0.0223609+0.0351616j 0.00975177+0.00578244j 0.0131073+0.00397009j -0.0215409+0.020438j 0.0134252-0.046767j -0.0111718+0.0395885j -0.00137819+0.0380862j -0.0169109+0.0261621j -0.0229013-0.0161502j 0.01743-0.022877j -0.00247114+0.0304527j 0.10791-0.00976322j -0.0419127-0.00484812j -0.00569547-0.0330828j 
0.0670633-0.156946j -0.0674652-0.216677j 0.307961-0.158397j -0.203157+0.0144404j -0.0837617+0.164309j -0.11905+0.0283058j 0.0730032+0.00100461j 0.0167123+0.0569811j -0.0179178+0.0927016j 0.02557+0.0493516j -0.0024667-0.00916124j -0.00869843+0.0966247j -0.0877464-0.0395168j 0.0446384+0.049175j -0.03156+0.0585906j 0.0269771-0.0266768j -0.0190546-0.0106601j 0.0398563+0.00133327j -0.00201175+0.0160227j -0.0325751+0.0211349j -0.0072429-0.0194933j -0.0190894-0.038055j -0.0082557+0.00523613j -0.00943814-0.00763834j -0.00436383+0.00327978j -0.021795+0.00160722j -0.0235322-0.069133j -0.00267798+0.00902403j -0.000286663+0.00498043j -0.0141118-0.00653005j 0.0166253+0.00287066j -0.0123271-0.00390612j -0.0070308-0.0296228j -0.0028577-0.0268091j 0.0207615-0.0302962j -0.0195965+0.0167662j -0.0147326-0.00546541j -0.0470561+0.043579j -0.0147589+0.0135843j 0.0550592+0.0166165j 
-0.0702064+0.179458j 0.0772709-0.239566j 0.173189+0.180187j 0.00222078-0.129007j -0.17709+0.0420718j 0.031543+0.00671783j 0.0894346-0.0262288j -0.00383241-0.0638301j 0.0133057-0.00125354j 0.00991367-0.00379125j 0.041393-0.0141247j 0.0842872+0.0716396j -0.0242614+0.00430974j 0.00592708+0.0769098j 0.108498+0.0398479j -0.0646218+0.00897037j 0.0444481+0.0332658j -0.0208867-0.0073238j -0.00528944+0.0308075j -0.0254393+0.040479j 0.0518242+0.00661281j 0.00988756+0.0400903j -0.0171265-0.00112539j -0.0367319-0.0451466j -0.0213521-0.0300315j -0.0266458+0.0342267j -0.0617028+0.0470309j -0.0146051+0.0252623j -0.000844013-0.0165433j -0.0499655+0.00918694j 0.0333363+0.0108064j -0.0244436-0.0142902j -0.026434-0.054211j -0.0419775+0.0882681j -0.0400223+0.000706818j 0.00948759+0.0450101j -0.0314796+0.0221128j 0.0769573+0.0485068j 0.0185767-0.0264877j -0.0117559-0.0416656j 
