1.68209e-13-0.288046j 3.62144e-14+0.0161178j -2.1909e-17+0.0474075j 2.07709e-16-0.149698j 1.55079e-16-0.0266169j 3.64238e-15-0.14498j 4.4225e-16+0.215601j -1.19906e-15-0.117064j -2.31909e-15+0.179985j 4.85316e-15-0.094174j 1.94741e-15+0.117592j -2.50388e-15+0.0641628j 4.33599e-16+0.0410069j -2.07381e-15-0.194286j -3.83941e-15-0.0922697j 1.45466e-15-0.107143j 1.65907e-14+0.107344j 1.99542e-14+0.0373722j 1.63342e-14+0.0432999j 1.53057e-14+0.172679j 6.14891e-15-0.230677j 1.8616e-14-0.182969j -1.49566e-14-0.175254j 4.33108e-14-0.223149j 8.53963e-15+0.0651676j 2.19425e-14-0.112653j 1.35904e-14-0.00531305j 2.69709e-15+0.0803802j -7.89415e-14-0.145721j -1.03823e-14+0.123444j 1.35605e-14+0.079132j 1.07708e-14+0.0500762j 4.27187e-15+0.0375327j 8.08221e-15-0.0164514j -1.85786e-14-0.229519j -9.57114e-15-0.0297945j -3.49931e-14+0.190372j -1.39314e-13+0.0435773j -1.25983e-13+0.137849j -8.94616e-14+0.161397j -2.30098e-15+0.0299375j -3.77219e-14+0.015955j 1.09487e-15-0.221798j 8.31414e-16+0.101594j 4.48267e-15+0.0450355j 1.31833e-15-0.0508981j 2.9225e-15+0.0812793j 1.43663e-15+0.170797j 2.64067e-15-0.181313j 1.26868e-15-0.0900111j 1.61528e-15+0.0949614j -1.77341e-16-0.0643568j -4.85285e-17+0.193249j 9.64167e-17-0.00107229j 4.20702e-15-0.16342j -1.88851e-14-0.209218j 
8.09632e-14-0.167114j 1.74449e-14+0.139943j 8.16912e-17+0.055662j 1.52973e-17+0.187261j 8.49658e-16-0.0364208j 3.94348e-15-0.154036j 2.41394e-16+0.036034j 9.65884e-16+0.190026j -1.37464e-15-0.0831894j 1.06461e-15-0.0434602j 1.16589e-15+0.000101079j 2.04454e-16-0.0402417j -4.54473e-17-0.0157904j 2.52801e-15+0.0618269j 2.64909e-14+0.00498164j -7.46684e-14-0.2104j -9.84222e-14-0.347549j 2.58122e-14+0.0661996j -4.92895e-16-0.0317492j 3.09107e-15-0.0479249j 1.9585e-14-0.030763j 5.52136e-15-0.31601j -1.33947e-15+0.13946j 1.86838e-14+0.0570394j 1.45859e-14-0.19412j -1.92266e-16-0.0119444j -2.13782e-14-0.0489501j -1.74152e-16-0.077437j 5.24128e-14+0.120457j -2.64249e-15-0.20472j -5.16435e-14-0.188317j -2.39741e-14+0.0811982j -1.12902e-14-0.1207j 6.04412e-15+0.0477031j 3.77185e-15-0.217658j -6.30581e-14+0.298802j 6.36123e-15-0.0456692j -4.44177e-14+0.0734529j -3.65199e-14-0.00771254j -5.75292e-14+0.116445j -4.82098e-14-0.183028j 3.57949e-13-0.151135j -3.14785e-15+0.0814692j -1.66084e-15-0.0642061j -2.55753e-15-0.0532572j 5.7439e-16-0.0725133j 1.88517e-15+0.0521594j 2.46349e-15-0.0720071j -2.74442e-16+0.0507616j 3.6734e-16-0.125372j 6.78723e-15+0.189052j 1.25176e-15+0.107681j -1.78884e-16-0.0878897j -2.43183e-17-0.0975683j 5.31566e-15-0.0186895j -2.39881e-14-0.222726j 
1.55169e-14-0.0491196j 3.34641e-15+0.105675j 4.92716e-16-0.0674336j -5.32876e-16+0.167029j -7.74786e-16+0.132416j -2.33816e-15+0.0383779j 1.90349e-16+0.0202582j -1.51653e-15+0.132559j -3.47463e-15+0.241717j 2.58058e-15-0.0639823j 2.02671e-16-0.00837011j -1.67483e-17+0.0996489j -1.92729e-15-0.0886777j -3.57283e-16-0.252482j -7.97505e-15+0.13832j 2.13786e-14+0.167128j 4.46201e-15-0.0464153j 7.89768e-14+0.111795j 1.9708e-14-0.0835126j 1.51872e-14+0.229157j 4.87112e-15+0.183617j -1.0376e-14+0.0154702j 7.61346e-15+0.0180482j -1.90115e-14+0.0314488j 2.99356e-15+0.113691j -3.08327e-14+0.201376j -1.17823e-14+0.256613j -5.426e-15-0.0369195j 8.23877e-14+0.155545j 2.17094e-14+0.107174j -3.59918e-14+0.0155869j -1.55885e-14-0.203255j -6.69853e-15-0.189435j -8.29481e-15+0.166645j 1.704e-14+0.0712706j -1.53388e-15+0.114844j 1.33113e-15+0.16694j 1.56862e-14-0.0595432j 1.66572e-14+0.016998j 1.41036e-13-0.264674j 4.3613e-14-0.0881173j -2.83222e-13+0.0859101j 3.30471e-15-0.217344j -1.59578e-15+0.00310524j 1.45121e-15+0.0421064j -9.94314e-16-0.104479j 4.18163e-15+0.020213j 1.24831e-15+0.236364j -1.79025e-15+0.172462j 6.61265e-17-0.131203j 2.67113e-16+0.0186472j -3.32284e-16-0.0241934j 3.65235e-16-0.187632j 4.17531e-16+0.00720729j 3.31718e-15+0.0500491j -1.49948e-14-0.125468j 
-1.40414e-14+0.0248447j -3.03147e-15-0.00507442j -3.58227e-18-0.00468086j -3.32342e-17+0.00522741j -3.00578e-17+0.00256947j -3.52602e-16+0.0142325j -3.03065e-17-0.0161951j 4.38762e-17+0.00292537j 2.22415e-16-0.0109752j -3.77355e-16+0.00792504j -1.632e-16-0.00827317j 1.77295e-16-0.00365917j -2.27205e-17-0.00228666j 6.52512e-17+0.0125733j -4.21016e-16+0.00608402j 1.848e-15+0.012797j 1.46626e-15+0.00176781j -2.25847e-15-0.00462515j -1.1751e-15-0.00203483j -1.17999e-15-0.0113715j -9.71872e-16+0.016695j -1.42384e-15+0.0212624j 1.05614e-15+0.00860781j -3.52396e-15+0.0141463j -9.78724e-16+0.000330683j -1.48106e-15+0.0078398j -3.60986e-16+0.00114355j -1.65234e-16-0.00353051j 3.98544e-15+0.00674642j 7.7742e-16-0.0034814j 5.08288e-16-0.000604411j -9.37851e-17-0.00526613j 2.22037e-17+0.000955339j -7.16447e-16-0.000453788j 1.17852e-15+0.0218136j 2.33205e-15-0.00607969j 2.30726e-15-0.0125496j 1.09635e-14-0.00490012j 9.82236e-15-0.00954576j 7.54022e-15-0.0139214j 1.36682e-15+0.00293718j -6.25627e-15+0.00271427j -1.73151e-17+0.0139175j -1.92346e-18-0.00546026j -2.44986e-16-0.00184589j -1.03914e-16+0.00573109j -2.6448e-16-0.00715672j -1.55315e-16-0.0106138j -1.86381e-16+0.0110722j -9.53839e-17+0.00994801j -3.03391e-16-0.0117561j -3.06722e-17+0.00172403j 2.17613e-17-0.0108952j -2.60067e-19+0.0026538j -4.508e-16+0.0119107j 2.00478e-15+0.0209252j 
-2.38749e-15+0.00567111j -4.83271e-16-0.00748605j -9.27258e-18-0.00087368j 8.63108e-17-0.0117139j -2.11893e-17-0.000846185j -1.08989e-16+0.00475057j -3.94364e-17-0.000238403j 4.5778e-17-0.0110205j 5.3563e-17+0.000858544j -4.64118e-17+0.0021727j -5.90713e-17+0.00100915j -4.4658e-17+0.000528601j 2.27698e-17+0.00242473j -7.45436e-17+0.000107862j -9.86397e-16-0.0031688j 2.76657e-15+0.00528119j 4.07561e-15+0.0161399j -2.21899e-15-0.00433514j -1.99507e-16+0.00302633j -2.9986e-16-0.000468685j -8.15519e-16-0.00344464j 3.61917e-17+0.0116379j -1.15319e-16-0.00745149j -9.41881e-17-0.00457129j -6.51164e-16+0.00675975j 7.0215e-16-0.00364669j 1.18942e-15-0.00220253j 8.26003e-17+0.00445335j -4.08028e-15-0.00869348j -3.90137e-16+0.00774549j 2.80034e-15+0.00823219j 1.34539e-15+0.000306633j 5.73891e-16+0.00845469j -3.72764e-17-0.0048614j -5.84464e-16+0.00624905j 2.67863e-15-0.0146419j -5.88721e-16+0.000590727j 5.75265e-16-0.00177808j 2.93788e-16+0.00107097j -5.80729e-16+0.000666476j 1.23689e-15+0.0093478j -1.06774e-14+0.00504662j 1.37706e-16-0.00149828j 6.87838e-17+0.00339879j 9.75553e-17+0.00187749j -9.41547e-18+0.00437903j -1.27588e-16-0.00191451j -1.52937e-16+0.000409022j 1.10836e-16-0.0063132j -2.48884e-17+0.00674388j -2.48779e-16-0.00752878j -1.21797e-17-0.00459851j -6.05198e-17+0.00820867j -2.77482e-17+0.00396606j -2.19575e-16-0.00125559j 1.09259e-15+0.00984524j 
-1.09967e-15+0.00194656j -2.44601e-16-0.000376886j -1.05474e-17-0.00103208j -1.98328e-17+0.000291988j 7.1759e-18+0.00125016j -3.87988e-17+0.00191436j 6.26921e-18-0.000915016j -3.09316e-17-7.80163e-05j 4.45299e-17+0.00157057j -1.42821e-17+0.000233794j -9.15561e-18-0.000485774j 2.81617e-17+0.000727661j -1.99931e-17-0.000627397j -6.15168e-17-0.00143393j -2.22988e-16+0.00122585j 7.28825e-16+0.00305096j 7.40615e-16+0.00184413j 2.7199e-16+0.000126825j 7.30802e-17-0.00048427j 6.55058e-17+0.0012548j -1.19686e-16+0.00229585j -1.40128e-16+0.00308639j 8.82612e-17-0.000261614j -4.38311e-16+0.000606685j -7.35611e-17+0.0019454j -2.65867e-16+0.00184624j 6.46098e-17+0.00209543j -3.38345e-17+2.70193e-05j 4.48461e-16+0.000690079j 2.50759e-16+0.00176683j 1.21008e-16+0.00119536j -5.24586e-19-0.00213791j 1.97117e-17-0.000520401j -1.17737e-16+0.0008258j 1.81765e-16+0.00290907j 4.55443e-16-0.00131194j 1.25727e-16+0.000757321j 9.23511e-16-0.00109565j 8.48923e-16-0.000332651j 1.65285e-15-0.00321334j 6.71177e-16+0.000642045j -4.34799e-15+0.00162407j -7.17681e-18-0.0012423j 1.33262e-17+0.000120554j 2.69588e-17+0.000507697j -1.9973e-17+1.77436e-05j 2.57914e-18-0.000543416j 3.16119e-17+0.00148633j -1.64008e-17+0.00144379j -8.70406e-18+0.000368871j -7.39087e-17-0.00160679j -3.23671e-17-0.000716073j 4.93184e-18-0.00131683j 1.74199e-17+0.000767004j -3.21253e-17+0.0010681j 1.50927e-16+0.00155544j 
-9.3472e-16+0.00162833j -2.04874e-16-0.000229443j 1.05366e-18-0.000572831j -1.12546e-17+0.000489794j -5.86625e-18+0.000604687j -3.40277e-17+0.00122635j 1.24448e-18-0.00097339j -1.04186e-17+0.000245629j 9.21821e-18+0.000191377j -1.72316e-17+0.000360856j -9.04155e-18-0.000521476j 1.17575e-17+0.000140856j -5.41384e-18-0.000371352j -4.87265e-18-9.11481e-05j -9.57337e-17+0.000763414j 3.01254e-16+0.00161335j 2.76514e-16+0.000554244j 5.17165e-17-6.04591e-05j -9.89549e-18-0.000314212j -2.84881e-17+7.13641e-05j -8.13305e-17+0.00159372j -1.21585e-16+0.0018535j 8.17543e-17+0.000335291j -3.04245e-16+0.000845812j -6.96355e-17+0.00068047j -1.81993e-16+0.00108262j -2.06957e-17+0.000905164j -2.22447e-17-0.000190234j 3.87206e-16+0.000659596j 1.21081e-16+0.000450271j 1.70827e-17+0.000326241j -1.09757e-17-0.00105009j 4.96053e-18-0.00029639j -7.97751e-17+0.000382293j 1.1488e-16+0.00188518j 2.33814e-16-0.000530027j 1.35245e-16-0.000186013j 7.78487e-16-0.000592726j 7.02614e-16-0.000510182j 9.65615e-16-0.00180953j 2.96363e-16+0.000225193j -1.80683e-15+0.000669632j 9.37343e-18+5.97926e-05j 1.19088e-18-0.000210713j -4.3857e-18+0.000102496j -8.87628e-18+0.000158978j -6.5824e-18-0.000457994j -6.41673e-18+0.000178539j -2.12221e-17+0.00108624j -4.28121e-18+0.000422514j -3.14491e-17-0.000968966j -8.32034e-18-0.000148699j 9.02555e-18-0.00105776j 3.35655e-18+0.000344606j -2.89947e-17+0.000893625j 1.18524e-16+0.00126215j 
1.23664e-16+3.62758e-05j 8.73296e-18-0.00122338j 4.54006e-18+0.000813856j -4.0361e-17-0.0022844j -9.30436e-18-0.00150195j 2.12882e-17-0.000638219j 1.44264e-17+0.000210636j -2.55956e-17-0.00183476j 2.47739e-17-0.00224653j -1.707e-17+0.000536234j 1.34071e-17+0.000342188j -9.84997e-18-0.000943778j 3.86666e-17+0.00107975j 8.94622e-18+0.00234868j 3.68933e-17-0.00173215j -2.07858e-16-0.00195053j 8.24355e-17+0.000956116j -8.63868e-16-0.00120076j -1.66706e-16+0.00103717j -1.48536e-16-0.00214451j -9.70601e-17-0.00250592j 1.49847e-16-0.000365201j -1.4227e-16-0.000657675j 2.62602e-16-0.000857119j -2.15628e-17-0.00100263j 3.52212e-16-0.00246399j 1.41448e-16-0.00282584j 8.28518e-17+0.000627441j -1.15403e-15-0.00210754j -2.51593e-16-0.000800228j 4.75794e-16+0.000110961j 2.37002e-16+0.00230945j 1.25434e-16+0.00225387j 7.9363e-17-0.0019116j -2.49226e-16-0.00114305j 5.8851e-19-0.00152017j -9.39923e-17-0.00141864j -4.34414e-16+0.000707314j -4.18143e-16+0.000108751j -1.67469e-15+0.00320478j -4.33878e-16+0.00115296j 2.83835e-15-0.000825511j -2.97495e-17+0.0018887j 3.33859e-17+0.000220609j -3.17001e-18-0.000338459j 2.64105e-17+0.00109485j -3.9228e-17-8.37379e-05j -2.27907e-17-0.00221357j -1.69711e-17-0.0023277j 1.7478e-17+0.00134064j -7.96267e-18-0.000121589j -6.58218e-18+6.5408e-05j 4.37825e-17+0.00254403j 1.3859e-19-2.21346e-05j -5.20739e-17-0.000890002j 1.50189e-16+0.00108408j 
4.08978e-15-0.00667656j 8.51155e-16-0.00117117j -1.48905e-17+0.0015851j -5.90572e-17-0.00651531j 1.71639e-17-0.00165584j 1.18034e-16-0.00352457j 3.74177e-17+0.00560061j -9.12502e-17-0.0053388j 3.56218e-17+0.00338165j 9.98512e-17-0.00183933j 6.57988e-17+0.00331957j -4.41027e-17+0.00114775j 3.59531e-17+0.00195932j -1.28053e-16-0.0035751j -1.88875e-16-0.00373592j 2.96139e-16-0.00326426j 1.04511e-15+0.00517008j -2.52288e-16-0.000250132j 3.01234e-16+0.00206269j 3.31631e-16+0.00310096j 3.34126e-18-0.00775432j 6.27275e-16-0.0035369j -5.37106e-16-0.00572283j 1.20657e-15-0.00672865j 2.03086e-16+0.00186102j 8.58333e-16-0.00473966j 6.09038e-16-0.00204309j 1.54069e-16+0.00293528j -3.19711e-15-0.00596036j -3.74297e-16+0.0035816j 1.01118e-15+0.00303929j 5.31681e-16+0.00266445j 2.64237e-16+0.00325581j 2.52659e-16-0.00210104j -6.53615e-16-0.00580471j -3.43325e-18-0.00334617j -9.59551e-16+0.0040999j -3.76476e-15+0.00132021j -3.40444e-15+0.00370747j -3.36965e-15+0.00607206j -1.26809e-16+0.00252168j -4.89001e-16+0.000509492j -5.01004e-17-0.00473265j 7.98885e-17+0.00311688j 1.48921e-16+0.00116958j 4.82516e-17-0.000152072j 3.65555e-17+0.00180456j 7.4965e-17+0.00311424j 5.18918e-17-0.00672208j 4.55157e-17-0.000733043j -2.70055e-17+0.00148125j -4.9748e-17-0.00213786j 4.54927e-17+0.00737296j 2.57418e-17+0.000419235j 3.98565e-17-0.00483857j -2.51953e-16-0.00356747j 
7.16304e-15-0.0133008j 1.56408e-15+0.00556033j 2.94709e-18+0.00230783j 5.49214e-17+0.0029754j 3.01791e-17-0.000558054j 1.94802e-16-0.00816064j 1.36587e-18+0.00717669j 2.89618e-17+0.00362916j -1.51402e-16+0.00477004j 1.90086e-16-0.00447036j 7.51353e-17+0.00315548j -6.84621e-17+0.00151549j -2.09088e-17-0.000173026j 2.6816e-17-0.00589369j 6.2157e-16-0.00108681j -1.96035e-15-0.00756962j -2.46198e-15-0.00772617j 2.06417e-15+0.00402945j 6.0455e-16-0.000531554j 6.44553e-16+0.00548998j 8.28773e-16-0.00551677j 5.594e-16-0.014192j -3.38856e-16-0.00053731j 1.59779e-15-0.00415545j 6.68387e-16-0.00285808j 3.33653e-16-0.00155207j -3.54191e-16+0.0008272j -4.19584e-18-0.000420079j 1.94333e-16+0.0010085j -1.91741e-16-0.00163032j -1.5198e-15-0.00322676j -5.67489e-16+0.0018551j -3.11847e-16-0.00430754j 3.42211e-16+0.00252179j -2.34062e-16-0.0120484j -2.08533e-15+0.00906508j -7.78021e-16+0.00545702j -4.98931e-15+0.00280098j -4.39717e-15+0.00372069j -2.84941e-15+0.00537437j -1.10623e-15-0.00539884j 6.82824e-15-0.00320548j -1.05274e-17-0.0057403j -6.11539e-17+0.000929357j 5.24158e-17+6.48487e-05j 3.30669e-17-0.00451828j 1.73591e-16+0.00396035j 1.11454e-16+0.00479662j 8.82485e-17-0.00186355j 3.16011e-17-0.00740181j 2.60872e-16+0.00835451j 4.84687e-17+0.00117619j -5.10273e-17+0.000954933j -5.86966e-18-0.00283604j 3.242e-16-0.00457011j -1.37919e-15-0.0134916j 
-2.52307e-16+6.22509e-05j -3.0505e-17+0.00180444j -7.31323e-18-0.000625845j 5.54265e-17+0.00358549j 1.89123e-17+0.00129469j -8.13939e-18+0.000279673j -1.99609e-17-0.000727074j 4.8486e-17+0.00307379j -1.98598e-17+0.00105671j 4.6032e-18-0.000408678j -1.78034e-17-0.000708494j 1.97985e-17+0.000454707j -4.37881e-17-0.00122025j 8.614e-18-0.00121422j 1.25579e-16+0.00194064j -1.90784e-16+0.00108084j -6.55235e-16-0.00303914j 8.74344e-16+0.00133196j 9.13537e-17-0.00127076j 1.05998e-16+0.0011684j 1.87551e-16+0.00293498j -1.73007e-16-0.000683567j 1.8611e-16+0.0019138j -2.79921e-16+0.00183281j 6.48033e-17-0.00028848j -3.87324e-16+0.0026004j -2.75698e-16+0.00238795j -9.36311e-17-0.00124974j 1.62068e-15+0.00306318j 2.49535e-16-0.000725044j -7.60578e-16-0.00133865j -3.89144e-16-0.00189112j -2.02567e-16-0.00284018j -5.95245e-17+0.00207542j 3.19186e-16+0.000701166j -2.79869e-16+0.00305292j 2.36073e-16+0.000447392j 6.34985e-16-0.000422349j 6.14235e-16-0.000599577j 1.53941e-15-0.00291072j 1.51377e-16-0.0021148j -6.614e-16-6.71515e-05j 7.92404e-18-0.000594274j -4.77362e-17-0.000874409j -2.62736e-17-0.000110696j -3.08682e-17-0.00122123j 3.56288e-17+7.64954e-05j 3.1992e-17+0.00111442j 2.20483e-17+0.00302617j -2.46342e-17-0.0015921j 3.92226e-17+0.00077286j 1.72628e-17+0.000709444j -6.00489e-17-0.00345839j -2.72181e-18-0.000479626j 6.99382e-17+0.00127355j -2.04178e-16-0.00145983j 
