-1.08895e-13+0.169402j -5.5726e-14-0.0220258j -5.64309e-16-0.251588j 3.92337e-16+0.000883047j 2.08748e-16+0.245055j 2.81321e-15-0.214022j -3.08888e-15-0.0794145j 2.13949e-15+0.0211081j -3.20512e-14+0.0861949j 1.73107e-14-0.405492j -7.79865e-15-0.0194803j -8.22004e-16+0.213395j -3.77547e-15+0.169188j 7.52523e-15+0.0576781j 1.83922e-15+0.0796991j 4.1699e-15-0.0376965j -1.31312e-14-0.0456195j 6.58608e-16+0.3223j -6.2859e-16+0.286218j 2.98894e-15+0.108559j -5.723e-15-0.0899208j -3.9736e-14+0.218849j -8.61643e-15-0.149101j 1.48896e-14+0.205258j 1.18566e-14-0.085083j 8.1486e-15-0.148286j 1.22413e-14-0.184361j 7.06422e-15-0.139703j -8.02384e-14-0.0521857j 1.16656e-12+0.185405j 1.78165e-12-0.294581j 8.66861e-14-0.00660532j 1.04757e-14+0.0167124j 3.88063e-16+0.0309154j 2.52965e-16-0.0230805j 9.25144e-17+0.0153875j -1.26774e-16+0.00346345j 1.89976e-16-0.00026202j -2.51765e-17-0.0105405j 1.31853e-16+0.0101032j 1.15535e-16-0.00366026j -3.41735e-16-0.0146483j -1.38231e-14+0.00368119j -3.31249e-16-0.00889436j -1.10133e-17-0.000714575j -5.61004e-16-0.00093614j -7.87909e-16-0.000710812j 2.93914e-16+0.0080272j -3.13756e-16+0.000379795j -2.17591e-16-0.000455327j 1.61859e-15-0.00137471j -8.52005e-16+0.0143193j 7.21123e-17+0.00179576j 8.81648e-17+0.00349584j 2.88797e-16-0.00366088j -4.32872e-16+0.000433597j -5.12348e-16-0.00419461j -3.02589e-16+0.00247182j 1.88553e-16+0.00656411j 7.10093e-16-0.000209644j 2.03248e-16-0.0201824j 7.52311e-16-0.00389725j 2.42849e-16-0.0179947j 1.68634e-16-0.00626278j 1.53948e-16-0.00529626j 4.1634e-17-0.0022377j -2.14821e-16+0.026061j -1.67139e-16+0.0270025j 5.08024e-16+0.00483055j 5.56319e-16-0.0430017j 2.36999e-14-0.0126902j -7.049e-14-0.0488367j 
1.5555e-13-0.223045j 7.94572e-14-0.00627601j 1.382e-16+0.0516884j -7.36806e-17-0.0123887j 4.90182e-17-0.00190589j -3.98192e-16+0.0223041j 1.84493e-16+0.0509393j -5.2625e-16-0.00225404j 6.65062e-16-0.00628543j -5.01268e-16+0.00187676j 6.78408e-16+0.0240293j -1.21295e-15+0.00746337j -1.14732e-15-0.00404991j 2.54915e-15+0.0202839j -9.05091e-16-0.000471834j 5.4097e-16-0.0230233j -9.43676e-16-0.00839032j 1.34552e-16+0.0203594j -1.90615e-16+0.0311802j 1.06717e-16+0.0156071j 9.09337e-17+0.000165601j -1.19579e-15+0.0186705j -1.38988e-16-0.0558846j 3.99398e-16+0.0212977j -2.85777e-17-0.0281902j 6.97417e-16+0.0024274j 2.91911e-15-0.0867878j 1.61492e-15-0.00631937j 5.82837e-14-0.0295061j -8.2803e-13-0.135837j 1.33813e-12-0.224527j 6.67078e-14+0.0596363j -2.72801e-14-0.0502526j -2.0134e-15+0.0786349j 1.39517e-15-0.112739j 1.63542e-15+0.133877j -1.26849e-15+0.216588j 9.47052e-16+0.083028j 3.63643e-15-0.191706j -1.83401e-15-0.000972699j 3.17413e-15+0.153371j -3.63438e-15-0.0764685j 3.08307e-13-0.0797468j 2.01957e-15+0.118195j 6.64833e-15+0.285927j -1.00939e-15+0.212169j 2.90092e-15+0.00425646j -1.00161e-16-0.236129j 7.44774e-16+0.0109418j 3.38302e-15+0.0672479j -1.37522e-14+0.10001j 5.21852e-15+0.0343094j -2.92534e-15+0.019017j -2.53567e-15-0.0821036j 4.10864e-16+0.204823j 1.37711e-14+0.0200765j 1.58463e-14+0.287076j 7.81291e-15-0.0737106j -6.99364e-15+0.0110735j -5.70238e-15-0.18635j -3.9344e-16+0.100519j -5.38092e-15+0.0832476j -1.21487e-15+0.184263j -5.5179e-16+0.15705j -4.37328e-15+0.151437j -1.44078e-15+0.151022j 1.86604e-15-0.179611j 6.46222e-16-0.0564842j -6.07783e-16-0.103539j -8.69938e-16+0.155103j -1.43977e-13+0.0763882j 4.28934e-13+0.296696j 
-2.18665e-14+0.0602412j -1.09553e-14-0.0563014j 1.10762e-16-0.0264725j 2.0175e-16-0.0929584j 1.34424e-17-0.016562j 3.55649e-16-0.00421583j 1.17499e-16+0.0233429j -1.22013e-14-0.0506076j 3.06347e-16-0.00393993j -2.65843e-16-0.00865481j 3.31373e-16-0.000575997j -1.24633e-16-0.0195607j 4.5835e-16+0.0137126j 1.51713e-16+0.00647913j 1.07655e-16+0.0111697j 7.98983e-17+0.00528803j 6.6062e-16-0.00513058j -2.06823e-16+0.00252288j 1.12816e-15-0.017552j -1.69259e-16+0.00651939j 4.30215e-16-0.00869043j 6.49713e-15-0.0209358j 1.0079e-15-0.0129552j 1.52497e-16-0.0235501j -1.34297e-15+0.0395092j -1.58414e-15+0.0400326j 1.66269e-15-0.0030732j 2.19677e-15-0.0571064j -2.21564e-14-0.00274847j 3.10684e-13+0.0499307j -4.15572e-13+0.0656841j -1.86689e-14+0.0636022j -9.36543e-14-0.146669j -6.70074e-15-0.118057j -1.18525e-15-0.130437j -2.87114e-15+0.0153207j -8.74188e-16-0.0675142j 4.44204e-15+0.322751j -6.51982e-15+0.103866j -1.7603e-16-0.162411j -1.15126e-15+0.0340503j 3.17969e-16+0.04139j -9.07952e-13+0.228241j 5.00673e-15+0.218143j -2.14512e-14+0.185749j 1.80258e-14-0.142723j 4.36481e-15-0.0688872j -8.45772e-16+0.0771722j 1.89962e-14-0.119078j 5.76092e-15+0.123412j -3.17536e-14+0.32875j 2.22803e-14+0.198766j -7.44183e-15+0.100518j -1.96025e-14-0.101367j -1.19076e-14-0.0487329j 5.38588e-15+0.0999312j 1.23303e-14-0.0412192j 8.71286e-15+0.314129j -5.1116e-15-0.225476j -9.53763e-15-0.110227j 5.29553e-15-0.06612j 3.38259e-15-0.069766j 3.07831e-16+0.0923221j 1.72803e-15-0.0805707j -4.57019e-15+0.32374j -7.59447e-16-0.101243j -3.29923e-17+0.105137j -1.40091e-15+0.0883424j 3.49184e-15-0.192292j 3.39444e-15-0.0672972j 7.13945e-14+0.0532925j -2.12144e-13-0.116403j 
-1.79582e-14+0.0264759j -9.19833e-15-0.000480441j -3.81212e-17-0.0093011j 4.14988e-17-5.91254e-05j 3.98644e-18+0.00339791j 7.64028e-17-0.00538927j -8.77064e-17-0.00607548j -8.17417e-17-0.000209834j -5.10893e-16+0.00180719j 2.89928e-16-0.00601755j -1.85325e-16-0.00278302j 1.15372e-16+0.00193415j 7.28875e-17+0.00299868j -1.66901e-16-0.00120616j 1.19892e-16+0.00133209j 1.16552e-17+0.00194421j -7.2225e-17+0.000157385j -1.4766e-17+0.00244492j 2.01551e-17+0.000517978j 2.11614e-17-4.13184e-06j -8.23073e-17-0.00140749j -3.40396e-16+0.00082419j -6.66185e-17+0.00353255j 1.6734e-16+0.000321591j 1.5249e-16+0.00231741j 8.01894e-18-0.00174936j -7.18276e-17+0.0063984j -2.2549e-17-0.00214059j -7.505e-15+0.00229777j 1.07163e-13+0.0174732j -1.20255e-13+0.0201928j -6.03745e-15-0.00536858j 1.66826e-15+0.00331775j 1.09922e-16-0.00947852j -8.37732e-17+0.00950011j -2.70056e-16-0.0134935j 4.1733e-17-0.0234823j -1.3562e-16-0.00392005j -4.16899e-16+0.0213254j 2.25903e-16-0.00213462j -4.17028e-16-0.0155158j 4.00956e-16+0.00835908j -4.55919e-14+0.0116933j -2.38315e-16-0.00923295j -1.16585e-15-0.02705j 3.03522e-16-0.0241852j -2.35912e-16-0.00146154j 8.40156e-17+0.025819j 2.17488e-16-0.00287684j -3.25693e-16-0.00519877j 8.76031e-16-0.00561529j -2.86316e-16-0.000459787j 1.66774e-16-0.000482443j 3.44679e-17+0.00711041j -2.87966e-16-0.0220829j -1.39061e-15-0.000620438j -1.58686e-15-0.0305413j -7.27304e-16+0.0123055j 7.00103e-16-0.0043614j 5.65561e-16+0.0177787j 9.36103e-17-0.0117135j 6.00519e-16-0.00974057j 3.72887e-17-0.0180792j 3.70085e-17-0.0176133j 2.56873e-16-0.0110962j 9.83639e-17-0.0172321j -1.4542e-16+0.0205993j -8.55555e-17+0.00755154j 2.06525e-16+0.00802902j 9.76586e-17-0.0177324j 1.63197e-14-0.00734852j -4.88384e-14-0.0332704j 
-8.24337e-16+0.00233683j -5.37509e-16-0.00212071j -2.76653e-17-0.0013507j -1.59067e-16-0.00344212j -3.08583e-17-0.000212946j 1.76705e-17-0.000488856j 5.46595e-17+0.000770476j -5.37637e-16-0.0018369j -4.987e-17-9.40665e-06j 6.70475e-18-0.000980832j 5.48567e-18-3.52702e-05j -4.11322e-17-0.000368504j 3.16058e-17+0.000780021j 3.60767e-17+0.00034866j 2.52085e-17+0.000542526j 1.37314e-17+0.000116692j -8.62066e-18-0.000270309j 6.63861e-19+0.000634876j 1.54123e-17-0.00015771j 1.34089e-17+0.000429803j -7.91211e-18-0.000467855j 1.40432e-16-0.000402077j -1.32642e-17-0.000763707j -7.34493e-18-0.000518914j 3.26443e-17+0.00129975j 2.77337e-17+0.00123855j 5.68382e-17-0.000479157j -7.24932e-18-0.00234274j -9.18587e-16-0.000208702j 1.28202e-14+0.00204678j -1.13903e-14+0.00177879j -3.7072e-16+0.00238327j -3.73509e-15-0.0054287j -4.36022e-16-0.00425277j -3.01752e-16-0.00494043j -4.25499e-17+0.000690537j -9.53784e-17-0.0023279j 7.55842e-16+0.0119853j -1.05601e-16+0.00367782j -2.94231e-16-0.00598453j 6.04778e-17+0.00136586j 6.14062e-17+0.00144847j -3.2957e-14+0.00837925j 6.01624e-16+0.00813254j -3.84862e-16+0.0070736j 4.68691e-16-0.00511698j 4.18427e-17-0.00254306j 4.28667e-17+0.00268899j 4.94874e-16-0.00439061j 4.50229e-16+0.00460864j -5.74932e-16+0.0122177j 1.18487e-15+0.0073923j -9.48384e-17+0.00373072j -9.26281e-16-0.00380027j -4.71025e-16-0.0016544j 3.89908e-16+0.00370759j 4.69525e-16-0.00131662j 8.61391e-16+0.0115549j -5.88258e-16-0.00831133j -5.98826e-16-0.00421101j 1.05813e-16-0.00240118j 2.12211e-17-0.0025221j 2.22297e-16+0.00351823j -3.68472e-17-0.00287036j 4.38692e-16+0.0120644j -1.6767e-16-0.00363199j 1.37556e-16+0.00379357j 8.90359e-17+0.00326602j -2.3685e-16-0.00717325j 4.83025e-17-0.00244144j 2.6837e-15+0.00200487j -7.76103e-15-0.00416008j 
-2.19937e-15+0.00314679j -1.15327e-15+0.000281234j -2.00941e-17-0.00177979j 8.88989e-18+0.000684903j 2.64276e-18+0.0014134j 1.03412e-17-0.00136716j -3.50061e-17-0.0011479j 9.04555e-17+0.000429622j -1.76673e-16+0.000551688j 9.70293e-17-0.00211599j -5.80065e-17-0.000379612j 9.98458e-18+0.00115414j -7.90669e-18+0.000862701j 3.38236e-18+3.13186e-05j 1.96832e-17+0.000362508j 2.15394e-17+3.84076e-05j -5.98271e-17-0.000113889j -1.51225e-18+0.00145242j -1.47132e-17+0.00125132j 1.1251e-17+0.000354602j -3.38837e-17-0.00042728j -2.37289e-16+0.00106035j -3.38192e-17-6.26456e-05j 6.8825e-17+0.000972953j 7.69991e-17-0.000349241j 4.12548e-17-0.00104312j 4.54152e-17+5.39618e-05j 9.30158e-18-0.000335833j -9.67141e-16+8.365e-05j 1.40611e-14+0.00227492j -3.71175e-15+0.000679392j -2.3073e-16-0.00109633j 9.33228e-16+0.00151934j 4.62042e-17-7.19958e-05j 2.91899e-17+0.00194331j -4.09769e-17-0.00156658j -4.04474e-17-0.00211562j -7.18367e-17-0.0028293j 4.61196e-17+0.00157877j 2.96164e-17+0.00100106j -7.50887e-17-0.00200236j 5.90122e-17+0.000574759j 1.58383e-15-0.000367341j -9.64709e-17-0.00268155j -4.30603e-17-0.00440557j -1.50591e-16-0.00165382j -6.17116e-17+0.000343794j 7.24798e-17+0.00234835j -1.18431e-16+0.00056103j -9.78105e-17-0.00149729j 3.10517e-16-0.0030676j -2.11149e-16-0.00146987j 6.80609e-17-0.000791538j 1.70487e-16+0.00155935j 8.42422e-18-0.00212451j -2.03356e-16-0.000807699j -3.3927e-16-0.00312886j -1.33698e-16-0.000939205j 1.17419e-16+0.00120559j 1.829e-16+0.00280526j -5.12864e-17-0.000896532j 2.5913e-17-0.000588202j -4.28577e-17-0.00277397j -4.46802e-17-0.00139818j 2.22063e-17-0.00365856j -1.81162e-17-0.00118751j 2.4973e-17+0.00162407j 1.26124e-17+0.000291494j 2.67495e-17+0.00234031j -4.86311e-17-0.00164628j 1.36696e-15-0.00126422j -4.22753e-15-0.00304354j 
-7.01969e-16+0.00108925j -3.55856e-16-0.00012921j -1.85229e-18-0.000980242j 8.38802e-18-8.42313e-05j 1.94117e-18+0.000806437j 1.02006e-17-0.000768289j -1.36813e-17-0.000340739j -2.95154e-18+1.43644e-05j -1.08056e-16+0.000297205j 5.90952e-17-0.00137532j -2.77966e-17-0.000114347j 7.6867e-19+0.00067773j -1.05367e-17+0.000592583j 1.93381e-17+0.00016068j 7.42054e-18+0.000281942j 1.32804e-17-7.39182e-05j -4.0824e-17-0.000142466j 1.12591e-18+0.00104402j 1.05423e-19+0.000876963j 8.78937e-18+0.000340916j -1.83395e-17-0.000312648j -1.22127e-16+0.000671871j -2.50425e-17-0.000403865j 5.04769e-17+0.000617823j 3.63013e-17-0.000181344j 2.11626e-17-0.000454362j 3.98045e-17-0.000448237j 2.71036e-17-0.000525102j -4.12117e-16-0.000119223j 5.95408e-15+0.000955381j 2.79356e-15-0.000458668j 1.28459e-16-6.52676e-05j -1.15392e-17-1.98047e-05j 3.08292e-18-0.000196503j 8.69015e-18-8.30336e-06j -1.12791e-17-0.000198769j -4.97538e-19-0.000504791j -2.0238e-17+0.000221493j -1.68695e-17+0.000474888j 1.50013e-17-0.000159949j -1.40591e-17-0.000279277j 5.88628e-18+0.00015432j -1.7736e-15+0.000447714j -1.73469e-17-4.23888e-06j -6.00318e-17-0.000352729j 2.55538e-17-0.000601361j 1.35828e-18-9.39911e-05j 1.63913e-18+0.000594255j 2.81477e-17-0.000164271j -1.08926e-17+1.21995e-05j -3.04518e-17+0.000190884j -9.74507e-19+0.000218803j -1.02363e-17+8.90251e-05j -9.00822e-18+5.44227e-05j -1.67259e-17-0.000482431j -2.9991e-17+8.1617e-05j -2.40461e-17-0.000640369j -2.5484e-17+0.000535085j 2.35514e-17-0.00027206j 1.51419e-17+0.000240683j 9.48554e-18-0.000349358j 1.97885e-17-0.0002644j -7.91054e-18-0.000319183j 4.76914e-18-0.000433599j -2.25557e-17+6.83894e-05j 4.71004e-18-0.000432905j -6.53878e-18+0.00057499j -7.93789e-18+0.000310601j 2.31725e-17-7.6698e-06j 7.84947e-18-0.000537007j 4.49002e-16-0.000131769j -1.35445e-15-0.000900189j 
5.75723e-16-0.00114364j 3.7963e-16+0.00024881j 3.52388e-17+0.000211297j 3.62107e-17+0.000422977j 5.86177e-18+0.000212199j 1.06155e-17-3.97045e-06j 9.99851e-18+4.93998e-05j 8.33769e-17+0.00026042j -1.7836e-17+4.16044e-05j 1.55633e-17-0.00017252j 7.49519e-18+9.23618e-05j 6.28232e-18+0.000249039j -1.80516e-17+6.8342e-06j 1.9483e-17+8.34736e-05j -9.01376e-18-1.48174e-05j -7.97382e-18-0.000143856j -1.5605e-17-3.40767e-05j 8.02426e-18+0.00025047j 1.31755e-17+0.000378015j 6.15379e-18+9.19342e-05j -4.95424e-19-4.76485e-06j -4.35491e-17+0.000305809j -2.78272e-17-0.00024952j 2.80999e-17+0.000322575j -1.65297e-17-0.000366189j -1.118e-18-0.000276166j -2.45e-17-0.000448321j 2.35974e-17+0.000187585j 3.00492e-16-0.000137921j -4.47409e-15-0.000718515j 8.56133e-15-0.00143446j 4.17858e-16-7.93727e-05j 4.15378e-16+0.000547797j 1.13779e-16+0.000947217j 2.35613e-17+0.000182389j 7.18904e-17+0.000488677j 1.23048e-16+0.00124952j -1.31045e-16-0.00130015j -8.15055e-17-0.00133509j 6.73771e-17+0.000829946j 6.94137e-17+0.000463891j -6.87189e-17-0.000538122j 5.77027e-15-0.00149472j -6.66043e-17-0.0006247j 1.74667e-16+0.000244551j 6.01172e-17+0.00161227j 2.28368e-17+0.00036873j -1.32766e-16-0.00137391j -3.46286e-17+0.000653219j -4.31493e-17-0.000349295j -2.38837e-18-0.00126055j -1.68894e-16-0.000862835j -1.21666e-17-0.000432412j 1.00706e-16+0.000176585j 1.72925e-16+0.00110071j -7.51692e-18-0.000425754j 1.4509e-16+0.00140511j -1.8782e-16-0.0019083j 1.05192e-16+0.0011999j -4.16743e-18-0.000215016j 4.50515e-17+0.000745276j 2.84936e-17+0.000700862j 3.03325e-17+0.000287556j 9.3403e-17+0.00106244j -7.83442e-17-0.0010227j 1.09191e-16+0.00114497j -1.17647e-16-0.00127087j -5.51662e-17-0.000671212j 2.36913e-17+0.000551711j 7.70403e-17+0.000966276j -9.43059e-16+3.97051e-05j 3.01285e-15+0.001804j 
1.42998e-15-0.00255127j 7.87603e-16+0.000641607j 2.84754e-17+0.00149779j 6.73606e-18+0.000911853j 1.38751e-19-0.000728178j -5.44912e-18+0.000954076j 2.82183e-17+0.000337155j 1.26255e-16+0.000447318j 1.15066e-16-0.000308732j -5.88199e-17+0.00158037j 3.87935e-17+0.000216548j 2.51577e-18-0.000526601j -2.62049e-18-0.000785603j -7.40204e-18-0.000161253j -1.55997e-17-0.000411748j -2.29535e-17-5.23907e-05j 3.30599e-17+0.000172016j 6.73523e-18-0.00108307j 3.35294e-18-0.000675657j -3.80964e-18-0.000374229j 1.88248e-17+0.000420894j 7.8866e-17-0.000466839j 1.71891e-19+0.000356551j -4.19847e-17-0.000374314j -4.68182e-17-0.000273038j -1.38589e-17+0.000129393j -7.90792e-17+0.000200776j -3.18427e-17+0.00107871j 8.54614e-16+4.81112e-05j -1.24193e-14-0.00199403j 5.58474e-15-0.000926936j 2.82917e-16-0.00030513j 8.02257e-16+0.0012047j 1.09845e-16+0.00159713j -3.77289e-18+0.00081474j 9.13227e-17+0.000558186j 1.0177e-16+0.0019611j -6.33971e-17-0.00294395j -4.99663e-18-0.00217687j 1.78513e-17+0.0016819j 8.67456e-17+0.000541862j -6.12198e-17-0.000829836j 1.14084e-14-0.0028995j -2.91966e-17-0.00159776j 3.50975e-16-0.000310241j -8.48229e-17+0.00275j -1.32175e-17+0.000758686j -1.01694e-16-0.00221892j -1.7158e-16+0.00132639j -3.43668e-17-0.000918382j 2.36277e-16-0.00290505j -2.23031e-16-0.00196342j 5.24326e-17-0.000963413j 1.76927e-16+0.000587041j 2.19219e-16+0.00171938j 1.55077e-17-0.000946069j 8.65029e-17+0.00211889j -1.29303e-16-0.00377197j 5.57139e-17+0.00243429j 8.61207e-18+8.96367e-05j -7.10638e-18+0.00135889j -2.42204e-17+0.00123803j 4.80531e-17+0.000154681j 5.53129e-17+0.00178966j 2.91822e-17-0.00253912j 7.80653e-17+0.00195949j -7.89473e-17-0.00225356j -1.88325e-17-0.00136414j -5.18996e-17+0.00142316j 3.15103e-17+0.00177131j -1.65786e-15-7.62811e-05j 5.13894e-15+0.00313563j 
8.28966e-15-0.0119358j 4.22851e-15-0.000225953j 8.82874e-18+0.00418946j -1.45146e-17-0.000724191j -6.13384e-19-0.00177397j -3.81307e-17+0.00253137j 3.26391e-17+0.00304776j -5.9811e-17-0.000315357j 2.4953e-16-0.000895092j -1.42673e-16+0.00282864j 8.64581e-17+0.00130152j -5.54363e-17-0.00110684j -2.85767e-17-0.00132684j 7.40727e-17+0.000604956j -5.54306e-17-0.000549278j -1.51973e-18-0.000859233j 4.33271e-17-0.000105793j 2.1209e-18-0.00118954j -5.05257e-18-0.000442858j -1.45829e-17+3.24366e-05j 4.2991e-17+0.000606699j 2.17264e-16-0.000599714j 5.12715e-17-0.00172715j -8.32866e-17-0.000382903j -8.00369e-17-0.000747441j -1.95191e-17+0.00117259j 6.03034e-17-0.00298097j 2.83173e-17+0.000568413j 3.3543e-15-0.00108669j -4.78432e-14-0.00781j 5.25834e-14-0.00885694j 2.6444e-15+0.00302764j -1.52897e-15-0.0027418j -1.18982e-16+0.0034741j 5.20075e-17-0.00549517j 7.79959e-17+0.00643445j -6.62525e-17+0.0104409j 8.02352e-17+0.00444408j 1.76967e-16-0.00913624j -1.05133e-16-0.000316544j 1.56769e-16+0.007536j -1.71189e-16-0.00357358j 1.40061e-14-0.00362654j 1.27536e-16+0.00608591j 3.16591e-16+0.014159j -3.4176e-17+0.0101625j 1.45812e-16+0.000126975j -2.9564e-18-0.0114585j 5.11919e-17+0.000383133j 1.85088e-16+0.00343055j -6.89339e-16+0.00528603j 3.05721e-16+0.00181945j -1.42892e-16+0.00103817j -1.58184e-16-0.00414739j 6.81712e-19+0.0099394j 6.89453e-16+0.00109828j 7.8915e-16+0.013958j 4.21094e-16-0.00321824j -3.68491e-16+0.000216148j -3.05871e-16-0.00921002j -1.91084e-17+0.00495031j -2.68566e-16+0.00399433j -5.04926e-17+0.00920959j -3.18227e-17+0.00759115j -1.8908e-16+0.00781089j -7.92528e-17+0.00724478j 1.00256e-16-0.00879371j 3.83721e-17-0.00282459j -4.70123e-17-0.00531272j -4.66869e-17+0.00776171j -7.07853e-15+0.00387195j 2.10965e-14+0.0146361j 
5.65026e-15-0.0087741j 2.83491e-15+0.00139872j -2.01256e-17+0.00360895j 1.46061e-18+0.00203269j 3.25048e-18-0.00107665j -4.85352e-17+0.00199568j -5.36166e-18+0.00129309j 2.89577e-16+0.00111011j 2.0387e-16-0.000583843j -1.12591e-16+0.00267061j 4.515e-17+0.00080087j -2.68002e-17-0.000551033j -1.92104e-17-0.00146456j 1.332e-17+5.93958e-05j -3.87709e-17-0.000770596j -1.32158e-18-0.00055573j 3.82276e-17+0.000166872j -2.37383e-18-0.00140083j -4.2284e-17-0.00037064j -1.73082e-17-0.000372912j 2.51318e-17+0.00075887j 2.86823e-17-0.00023506j 4.71573e-17-0.000347152j -8.80605e-17-1.43474e-05j -2.5962e-17-0.00129755j 7.57754e-18-8.25264e-05j 6.22341e-18-0.00125513j -4.7768e-17+0.00211356j 2.68349e-15-0.00044504j -3.79203e-14-0.00616913j 3.75934e-14-0.00621316j 1.79759e-15+7.32568e-05j 1.60992e-15+0.00225921j 8.31907e-17+0.00504054j 1.27921e-16+0.000333282j 5.51312e-17+0.0032545j -1.10167e-16+0.00775876j -1.45589e-16-0.00595671j 3.53039e-16-0.00795434j -3.78901e-17+0.00407804j 4.35301e-17+0.00343108j -7.41192e-17-0.00311011j 3.19991e-14-0.00810162j -1.37775e-16-0.00224114j 5.91175e-16+0.00322492j -5.788e-16+0.00959003j -2.4432e-17+0.00188961j 1.23783e-16-0.00862j -4.62984e-16+0.00335694j -9.04496e-17-0.00128431j 3.55408e-16-0.0056298j -4.47712e-16-0.00422377j 9.42017e-17-0.0020573j 4.75599e-16+0.000286211j 2.21642e-16+0.00699071j 2.33978e-16-0.00200461j -3.22137e-18+0.00909797j 1.36182e-17-0.0101285j -5.78925e-17+0.00605258j 1.74812e-16-0.00237563j -1.91634e-16+0.0046217j -2.76668e-16+0.00413668j -1.35049e-16+0.00288406j -1.30011e-16+0.00648855j -9.50378e-17-0.00404213j -8.62835e-17+0.00682656j 1.3287e-16-0.00786553j 7.67326e-17-0.00400228j -5.0138e-17+0.00201146j -1.83992e-16+0.00631091j -6.03016e-15+0.00084137j 1.7701e-14+0.0115584j 
