0.0558193-0.0103447j 0.026442+0.0712367j -0.0490209+0.0286344j -0.0593916+0.044687j -0.0814031-0.0627379j -0.0214674+0.00833716j 0.0193558-0.100929j 0.0740401-0.00583399j -0.0269985+0.0451315j -0.0658092+0.00256079j 0.0127804-0.0574856j 0.0876993+0.0356669j -0.0429939+0.00281658j -0.0111099+0.0412815j -0.000704869-0.000908568j 0.022109+0.0809242j 0.00477501+0.0363791j 0.0173775+0.0608432j 0.0161704+0.00214038j 0.0604408-0.0225293j 0.0574744-0.0769342j 0.0684126+0.0322379j 
0.048458-0.0651118j 0.0971758+0.0488296j -0.0234907+0.077966j 0.00434968+0.0354461j -0.0457687+0.018836j -0.00159457+0.0110196j -0.0373623-0.032502j 0.0155749-0.0322097j 0.0283095-0.0485579j 0.0794328+0.022876j 0.0105601-0.034989j 0.0176215-0.0555637j -0.0303252-0.0150015j -0.00230263-0.0146234j -0.046561-0.0457718j 0.0378123-0.0148331j -0.0151579-0.0132593j 0.00954546+0.0174093j 0.00948264-0.0809193j 0.0295474-0.0144635j -0.0681025+0.0204583j -0.0294175-0.0346517j 
-0.00324115+0.0316376j -0.0424861+0.00311709j -0.00779682-0.0309581j -0.00113322+0.0632099j -0.084758+0.0217511j -0.00563347+0.0188118j -0.0576238-0.0659773j 0.0349885-0.0528032j 0.0327229+0.0713867j -0.083188+0.0541809j -0.0240849+0.0819348j -0.019147+0.024996j 0.0777034+0.017504j 0.0393864-0.00083038j 0.0944437+0.0298018j -0.0151345-0.0111117j 0.0439664-0.0162432j -0.0064677-0.0604899j 0.0353914+0.106236j -0.0753207+0.024563j 0.00715394-0.0575657j 0.0393248-0.0252778j 
-0.0128655+0.0724763j -0.0986301-5.13511e-05j -0.0127206-0.0728255j 0.0182742-0.00503218j 0.0133658+0.0225329j 0.00586+8.71027e-05j -0.0141024+0.0220122j -0.0180164-0.00558408j 0.00555285-0.0148111j 0.0126912+0.015777j 0.0580347-0.0295939j 0.0478808+0.0345466j -0.0279823-0.0452727j -0.0208706-0.00143576j -0.00670832-0.0496375j -0.00626123+0.0489181j -0.0209511+0.000405758j -0.0291095+0.0456524j 0.0474348-0.0347873j 0.0577495+0.0296011j 0.0112903-0.0149717j 0.00481164+0.0137644j 
-0.00785609+0.030917j -0.0426172-0.00314555j -0.00318535-0.0318627j -0.0343837-0.0523072j 0.0572381-0.0651233j -0.00584722-0.018482j 0.083954+0.0220162j 0.000648447+0.0627109j 0.0393455+0.0259226j 0.00728365+0.0584007j -0.075156-0.0263653j 0.0380066-0.108058j -0.00719398+0.0580982j 0.0434674+0.0172937j -0.0162049+0.0101323j 0.0964323-0.0282476j 0.0389885+0.0013746j 0.078908-0.0153186j -0.016312-0.0263518j -0.0220405-0.0823554j -0.0832752-0.0570711j 0.0345928-0.0715185j 
-0.0234479-0.0773445j 0.0964427-0.0489811j 0.0487033+0.0648131j -0.0165187-0.0333193j 0.038335-0.0343459j -0.00225232-0.0112581j 0.0479549+0.0187927j -0.00394218+0.0370546j -0.0280436+0.033682j -0.0666028-0.0190442j 0.0297534+0.0158717j 0.00840118+0.0804704j 0.0110632-0.0167186j -0.0142494+0.0119074j 0.0389784+0.0135668j -0.0466643+0.0448141j -0.00198751+0.0133585j -0.0317007+0.0125778j 0.0182862+0.0561221j 0.00893414+0.0363362j 0.077743-0.0220914j 0.027162+0.0472728j 
-0.0481276-0.027452j 0.0248871-0.0696846j 0.0546358+0.00918219j -0.0736497-0.00598989j -0.0189826-0.10051j -0.0214196-0.00803085j 0.081371-0.0619648j 0.0586346+0.0448672j 0.0694226-0.0312987j 0.0565582+0.0779639j 0.0597531+0.0244586j 0.0149479-0.00154996j 0.0192329-0.0602455j 0.00587524-0.0370532j 0.0232196-0.0801797j -0.000524513-0.000684581j -0.0100847-0.042212j -0.0445857-0.0037577j 0.0874061-0.0345769j 0.0112258+0.057599j -0.0671237-0.00325203j -0.0262635-0.0465976j 
0.0530773-0.00869805j -0.0169858+0.000408148j 0.0530538+0.00815368j -0.0507965+0.0607366j -0.0245904-0.033575j -0.0144813-0.0636128j -0.00790735+0.0402632j -0.0716192-0.0332032j -0.0184095+0.0576483j -0.0437392+0.0100008j 0.0102911-0.0552387j 0.0300405+0.00918807j -0.0387199-0.0204953j -0.046126-0.0389089j 0.0292748+0.0189004j 0.0309259-0.0140826j 0.0158773-0.00352597j -0.0311234+0.0433465j -0.0200414+0.0322227j -0.036073-0.00265337j -0.0397301+0.0476219j -0.0548937-0.0597059j 
-0.0410153+0.072592j 0.0160967-0.0208718j -0.0614238+0.0562738j -0.0131075-0.0519122j 0.0280837-0.000178347j 0.0404814+0.0173583j -0.0187909-0.0204163j 0.0466711-0.0258845j -0.0240304+0.0343618j -0.0362395-0.0278347j 0.00552531+0.0305435j -0.0319489+0.00450213j -0.018483-0.0214379j 0.0341477-0.0182072j 0.00792084+0.00345791j 0.00716077-0.00535088j -0.00716223+0.0459371j -0.0241881+0.00561494j 0.000199518-0.0307682j 0.0357968+0.00736842j -0.0395293-0.0122803j 0.00285713-0.0342035j 
0.00723081-0.0589674j -0.00495289+0.0181014j 0.0251516-0.053795j -0.00702001-0.0407239j 0.0216679+0.00162169j 0.0303554+0.0157777j -0.0135336-0.0168429j 0.0375136-0.0174664j -0.0424226-0.0733266j 0.058965-0.0184193j 0.0165357-0.0501741j 0.0475744-0.0043284j 0.0530749-0.0185469j -0.0192946+0.00645462j -0.0232228+0.0305137j 0.0130448+0.0364901j -0.0174531-0.0658582j -0.0109797-0.0424972j -0.00874708+0.0407211j -0.0698442-0.0147729j 0.0214442-0.0325316j 0.0582541-0.00587597j 
0.00149571-0.0753885j -0.00391013+0.0235061j 0.0248212-0.0712084j -0.0185309+0.0249848j -0.0102855-0.0125775j -0.00704198-0.0247187j -0.00230409+0.0161403j -0.0290318-0.0114726j -0.0128621+0.0370931j -0.0196889-0.0177611j -0.0360601+0.011212j -0.017805-0.0256303j -0.0224389-0.0124291j 0.00852715+0.0168886j 0.0201225-0.00356975j 0.00826039-0.0190523j -0.0277263+0.0254609j -0.00798929+0.0166815j 0.0275413-0.00859556j 0.0166181+0.0415472j -0.0112855-0.000567455j -0.0213191-0.0124223j 
0.0035811+0.00429432j -0.000911969-0.00154265j 0.00210854+0.00523895j 0.020969+0.0268636j -0.016318+0.00726486j -0.0281924+0.000208983j 0.0163954+0.00721039j -0.0207462+0.0272343j -0.0127994-0.00580786j -0.0211422-0.0226323j 0.0476944+0.0519426j -0.0388315+0.0348516j 0.00745574-0.0102552j 0.0561784-0.0366668j -0.0200071+0.00210543j -0.00900678+0.0167418j 0.0188886+0.0434374j -0.0167284-0.0221442j -0.0263339-0.048384j 0.0487369-0.0372987j -0.0354651-0.0300323j 0.0425996-0.0185033j 
-0.0134516+0.0026451j 0.00431417-0.000280207j -0.0135247-0.0016439j -0.0455985-0.0593828j 0.0360662-0.0157488j 0.061813-0.000176892j -0.0357071-0.0157435j 0.0456049-0.0593394j 0.00716811-0.00966811j 0.00640893+0.00379575j 0.00301639+0.00554084j -0.00154735+0.00277642j 0.00569885+0.00610774j 0.00324084+0.00236097j -0.00535713-0.00330699j -0.00563235+0.00270752j 0.00358204-0.00202599j 0.00628444-0.00520685j -0.00152329-0.00295461j 0.00352872-0.00547698j 0.00670503-0.00286192j 0.00607442+0.0102198j 
-0.00219627+0.00467809j 0.00092525-0.00133782j -0.00358818+0.00379711j -0.0209974-0.027122j 0.0164643-0.00720212j 0.0284033-0.000200065j -0.0165383-0.00716071j 0.0207931-0.0274814j -0.0416112-0.0189377j 0.0362164-0.0288554j -0.0484111-0.0373181j 0.0262564-0.0476814j 0.0174637-0.0230992j -0.0190087+0.0435448j 0.00913372+0.0163538j 0.0192441+0.00199401j -0.0557104-0.0365103j -0.00808496-0.0112884j 0.0382558+0.0349262j -0.0477095+0.0517151j 0.0214059-0.0219054j 0.0125176-0.00487857j 
-0.0259175-0.0707383j 0.00487593+0.023298j -0.00270074-0.0752954j -0.0289819+0.0113115j -0.00201346-0.0162066j 0.00721988-0.0247357j -0.0105895+0.0125014j -0.0184362-0.0251921j 0.0217416-0.0121294j 0.0105547-0.000445345j -0.0154022+0.0419428j -0.0279357-0.00792808j 0.00706019+0.0167735j 0.0283242+0.0243161j -0.00864496-0.0191273j -0.0202781-0.00337242j -0.00734272+0.0174261j 0.0217138-0.0116973j 0.0170211-0.0262972j 0.0364752+0.00996343j 0.019464-0.0171484j 0.0127043+0.0367902j 
0.0262534+0.053493j -0.00576226-0.0179226j 0.00835229+0.0589749j -0.0365423-0.0163821j 0.0129452-0.0165635j 0.0290644-0.015687j -0.0208463+0.00151338j 0.00659376-0.0395516j 0.0584976+0.00632244j 0.0217527+0.0325659j -0.0703146+0.014404j -0.00756848-0.0420641j -0.0112315+0.0414319j -0.0175275+0.0667414j 0.0134486-0.0369521j -0.0229711-0.0303549j -0.0196296-0.00690371j 0.0518793+0.0184055j 0.0489197+0.00511814j 0.0158588+0.0503669j 0.0591918+0.0193339j -0.0428601+0.0730757j 
-0.0623244-0.0543311j 0.0170219+0.0197759j -0.0423132-0.0709456j -0.0483854-0.0258949j 0.0194359-0.0214248j 0.0412426-0.018844j -0.0285866+0.000371923j 0.0124274-0.0532819j 0.00421064+0.0331756j -0.0389337+0.013241j 0.0356543-0.00658198j 0.000403298+0.0317052j -0.0234889-0.00308856j -0.00753662-0.0452499j 0.00667902+0.00483406j 0.00664233-0.0033871j 0.0351236+0.0176895j -0.0161465+0.0214735j -0.0325145-0.00411523j 0.00628183-0.0313182j -0.034733+0.027819j -0.0237425-0.0322742j 
0.051486-0.0100643j -0.0165308+0.000898505j 0.0519584+0.00641279j 0.0707437-0.0336275j 0.00823932+0.0404744j -0.0133692+0.063232j 0.0238884-0.0329772j 0.0504722+0.0595885j -0.0555471+0.0595289j -0.0395158-0.0479414j -0.0356849+0.0016961j -0.0193398-0.0309292j -0.0321213-0.0442339j 0.01523+0.00274894j 0.0309669+0.0147072j 0.0294953-0.0185944j -0.045329+0.0388359j -0.0399187+0.0206737j 0.0286746-0.00830839j 0.00983468+0.0546521j -0.0442931-0.00985309j -0.0178425-0.058154j 
