-0.0289816+0.054201j 0.0499496+0.0340231j 0.0490404-0.0412084j -0.0361105-0.0398163j 0.00692381+0.0042516j -0.00409564-0.00479689j -0.0127942+0.00301181j 0.0152565+0.02328j -0.00536324-0.0100032j 0.00485935+0.00424316j 0.00429422+0.00361674j -0.00552647+0.018461j -0.0028771+0.00710257j 0.0153854-0.000162617j -0.0118558-0.0103771j -0.0039875+0.00290028j -0.00491839-0.0102938j 0.000326162-0.000413596j 0.0177517+0.0105724j 0.0211414-0.0107933j 0.00349498+0.0031685j -0.00208976+0.00334556j -0.00551093-0.00348199j 0.00553802-0.0190788j 0.0097962+0.000557843j -0.00123437-0.0033018j -0.000837177+0.00923062j -2.14452e-05-0.000674121j 0.00274272+0.00620162j 0.000469453-0.00473572j 0.0262064-0.0209385j 0.0234119+0.00738148j -0.00244873+0.00297342j -0.0144731+0.0107865j 0.0136472-0.00273329j -0.019146+0.00906399j -0.0073209-0.00477753j 0.0121648+0.00926294j -0.0134389-0.00372077j -0.00984979+0.00438182j 0.00541045+0.00180883j -0.000968686+0.00410033j 0.00658456+0.0136725j -0.00586601-0.00159164j 0.00892124+0.00454371j 0.00109422-0.00191861j -0.0039859-0.00498741j -0.00221955-0.006522j 0.000594478-0.00254033j 0.002395-0.00128072j -0.00464386-0.000481078j 0.00752694+0.00636327j -0.0024383-0.00304675j -0.0154182-0.00855328j -0.00195101-0.0052592j -0.00757199-0.0168092j -0.00314844-0.00925475j 0.00276858+0.00979245j 0.00451294-0.0012574j -0.0239609-0.00263695j 0.00191977+0.001296j -0.00338459-0.00683974j -0.0159505-0.0229829j 0.0124207-0.00126353j 0.00949841+0.00662932j 0.0178138-0.00690226j 0.00542822+0.00481735j 0.00480238+0.00954867j -0.0114982+0.0071292j 0.00482448-0.00512271j 0.00288724+0.0152094j 0.0100567+0.0037003j -0.00215291+0.0115754j -0.00157345-0.000366836j 0.00793762-0.00128904j 0.00484353+0.00300458j -0.0143536-0.00622355j 0.00189647-0.0282827j 0.0167546+0.000765981j -0.00123654-0.00415829j 0.0105904+0.0169449j -0.0296169+0.000167239j -0.0172532+0.00373924j 0.00706247+0.0300021j 0.00362778+0.0272516j -0.00853364+0.00127282j -0.00450854+0.011855j -0.0113628+0.00299483j -0.0294705+0.0384917j -0.0401314-0.0287389j -0.0612182+0.00407868j 0.000945087-0.0632483j 
0.0220438+0.0324408j 0.0280794-0.0185869j 0.0166554+0.0177399j 0.0192202-0.0102676j -0.03079-0.00486645j -0.00313546+0.0298438j 0.0108386-0.0244437j -0.0132056+0.010475j 0.00433812-0.010413j -0.00956362-0.00481814j -0.00845035+0.0179725j -0.0120493-0.00729932j -0.00613181-0.00119016j 0.00794136+0.0113582j -0.0122194+0.00240818j -0.0145731-0.000511781j 0.00215504-0.000145935j 0.00153605+0.00474721j -0.0050589+0.0161078j 0.00352452-0.000105147j -0.00419194-0.002317j -0.00506015+7.8255e-05j -0.00348098+0.00644028j 0.00236382-0.00754716j 0.000402658+0.00141833j -0.00644642+0.00109613j -0.0130341+0.0046875j 4.66459e-05+0.00913994j -0.00382759-0.0157717j -0.0151049-0.00634371j 0.0101744+0.00112682j -0.0054925-0.00701755j -0.00134777-0.00386872j -0.0102887-0.00778092j -0.00766943-0.0020617j -0.00391225+0.0176139j -0.00416877-0.00253198j 0.0022109+0.00262763j 0.0010498-0.00365341j -0.00430931+0.00823867j 0.00345204+0.00140864j 0.00246178+0.00162716j 0.00594446+0.00356931j -0.00605435+0.000671447j 0.00928106+0.000642704j 0.00588082-0.00829644j 0.00137312-0.00186146j -0.00103828-0.00200023j -0.0047959+0.00165142j -0.00477162+0.000450572j 0.000760208-0.00169491j 0.00645943+0.0054408j -0.0148275+0.00201605j 0.00117597+0.00325717j 0.00115869-0.00214683j 0.0103839-0.00802132j 0.00445102+0.00316373j 0.00772508+0.00307915j -0.0188199-0.0063034j -0.0178334+0.0019851j -0.00641679-0.000481574j -0.00560662+0.00873968j 0.000979368+0.00178603j 0.00558966-0.00364352j 0.0043162-0.00437616j 0.00263563+0.0181129j 0.00182109+0.00356255j -0.00834336+0.00329052j -0.000694934+0.0123322j -0.00363621+0.000578914j 0.00543098+0.00966622j 0.00629156-0.00335028j 0.000797444+0.00690945j -0.000723682-0.00209827j 0.000885988+0.00220536j -0.0130177-0.000865414j -0.00147852+0.00488223j -0.0122232+0.0120371j 0.00684314-0.0183586j 0.017043+0.00133078j -0.00965052+0.0105139j 0.010628-0.0118397j -0.00987391-0.0157862j -0.0111307-0.0124313j -0.0257701-0.00287245j 0.00171115+0.0131698j 0.0112433-0.0251963j 0.0144845+0.00380648j -0.0325093-0.0197582j 0.0208916-0.0245955j -0.029515+0.0336213j -0.0356156-0.0310835j 
-0.120831+0.010385j 0.00508464+0.11686j 0.0304758-0.127138j -0.128654-0.0200695j 0.0831908+0.0609481j 0.0448028-0.0996412j -0.0449399-0.00863314j -0.00366602+0.0176643j -0.063614-0.0114977j 0.025508+0.0482301j 0.0675947-0.0520665j -0.0035212+0.0419816j 0.0316775-0.0124451j 0.0269435-0.0405456j -0.00654187-0.00546768j 0.0276932+0.00433662j 0.00256053-0.0827094j -0.0254865-0.0329696j 0.109108+0.00834234j 0.0110296-0.0303924j 0.0171365+0.0138977j -0.00642083-0.00115693j 0.0016119-0.00108986j 0.00111461-0.065419j 0.0461711-0.0161069j 0.0161941+0.00983904j 0.0212496+0.0175512j 0.00159409-0.0096778j 0.0421729+0.0946945j 0.0163714+0.0158643j 0.0502753-0.0393129j 0.0972473+0.0351172j 0.0406701+0.0415107j 0.00472758+0.00346555j 0.0810012-0.0292699j -0.0354757-0.0343901j -0.000954799+0.00215657j -0.00483872+0.0337115j -0.0551722-0.00963278j -0.0129645-0.00218009j -0.0323987+0.0183168j -0.0399335+0.00397103j -0.0235733+0.0613754j 0.0246869+0.000592627j -0.0208848+0.00719299j 0.0105225+0.0412024j -0.0200364-0.00742486j 0.0164075+0.00584227j 0.0186502+0.00140603j 0.0313078+0.00707561j -0.0295573-0.0044397j -0.0259451+0.0252288j 0.0455651-0.00748846j -0.0428246-0.0253061j 0.0233182+0.00423479j -0.042458-0.0232477j 0.0133072-0.0467555j -0.019537+0.0203045j 0.0710368+0.0326176j -0.00325629-0.0303552j 0.0334844-0.0285588j 0.0272632-0.0557605j 0.00839902-0.0383719j 0.036513+0.0447311j 0.0248306+0.0277582j 0.0515875-0.0889086j -0.0143211-0.0071715j 0.0273657+0.0334406j -0.0186985-0.0519998j 0.0403317-0.00387807j 0.00756199-0.000769437j 0.00615667+0.0180377j -0.000918524-0.0180088j -0.036996+0.0154838j -0.00391556+0.0470702j 0.0587725+0.0371773j -0.0244216-0.0259352j 0.0732637-0.0763094j -0.00641742+0.0835729j -0.0803355-0.0183214j 0.0461697-0.0175122j -0.069158+0.0486426j -0.0204554+0.0203222j 0.100815+0.0609937j 0.0895732+0.0394775j -0.0221463-0.0609541j -0.0580521+0.0884713j -0.0476492-0.0338153j 0.0707162+0.131851j -0.11385+0.074317j -0.0517912-0.0613107j 0.0792863-0.0606551j 
-0.0175115+0.168087j 0.144465+0.0344144j 0.112537+0.0387948j 0.0312058-0.0723746j -0.0248655+0.000498676j -0.0131922+0.0424524j 0.0911272-0.0771818j -0.0727973-0.0112457j -0.0467046-0.120272j 0.00486986+0.0701788j 0.0934047-0.0255138j -0.0292324+0.0349932j -0.0386546-0.0560043j 0.07124+0.0404288j -0.0995293+0.0395644j -0.0529848+0.00698215j 0.00849233-0.12636j 0.0154576-0.0807499j 0.0862215+0.137259j 0.0147424-0.0622431j -0.0582708-0.0133574j -0.0157502-0.0284767j -0.0417134+0.0453954j -0.0398499-0.101085j 0.0636355-0.0738914j -0.0510177+0.0301281j -0.0675341+0.0434366j -0.0411212+0.0264998j -0.00500405-0.00606234j -0.140183-0.039396j 0.0706968-0.0247273j 0.0631084-0.0397008j 0.0521952+0.031721j -0.0153897-0.0365987j 0.0175825-0.087754j 0.0165587+0.0899574j -0.0432121+0.0187703j -0.0390938+0.0488773j -0.0510039+0.00371809j -0.00736813+0.0605773j -0.0479049+0.0441338j -0.0368595+0.0236466j 0.0359837+0.0934037j 0.00823607-0.00779695j 0.0410603+0.0083021j 0.0666243-0.0489809j 0.00878786-0.0253726j 0.0375308-0.0108516j -0.0155411+0.0173276j -0.0216098+0.00447864j -0.0764421-0.0279814j 0.0143674+0.0528832j 0.00429142-0.00385012j -0.0476432+0.0224604j 0.0494751+0.000111044j 0.0279932-0.0196083j 0.0526433+0.042855j 0.0768573+0.0277302j -0.0246425-0.0154022j -0.109284+0.0474964j -0.0344662-0.0239926j -0.0456351+0.0289785j -0.0168022+0.0236693j 0.0497336+0.00230255j 0.0116074+0.0049001j 0.0393849+0.0347798j 0.0125174+0.0330509j -0.0377179+0.122778j -0.0563841-0.0343394j 0.0700876+0.0392824j 0.0178798+0.0686293j -0.00983064-0.0264389j -0.0391493+0.00747184j -0.146105+0.00585961j -0.0183978+0.0398086j -0.0209082-0.0482686j -0.0129156+0.0439665j -0.015434-0.0323733j 0.0694129+0.0109389j 0.101713-0.051215j 0.0203641+0.0977721j 0.0364667-0.0682229j -0.0401642+0.0173201j -0.0341525+0.00506582j 0.015427+0.0307124j 0.0308018-0.0249409j -0.0226195-0.0828844j 0.0298299-0.00763317j -0.0866072-0.0284002j 0.0107632-0.0401453j -0.118686+0.0998645j -0.0990934-0.132114j 
-0.0901275-0.0453613j -0.0439899+0.0867149j 0.0173278-0.127753j -0.131833-0.0110171j 0.102464+0.0235858j 0.0153166-0.127834j -0.0670388+0.0179231j -0.00305775+0.00916135j -0.0250836+0.0263522j 0.00164416+0.0575807j 0.0530273-0.0228155j 0.0128116+0.0126678j 0.0625032+0.00154737j 0.00243508-0.0373435j 0.0172689-0.0104853j 0.0533424-0.0203089j 0.0173964-0.0392742j -0.0315283-0.018214j 0.0777829-0.0397555j -0.0128694-0.0242255j 0.0474051+0.0223099j 0.00478605+0.0112699j 0.0131643-0.0108857j 0.00382776-0.0181074j 0.00804521-0.00669768j 0.0319603-0.016627j 0.0464922+0.000856173j -0.00163452-0.00101884j 0.043255+0.105542j 0.0488649+0.0263231j 0.0262516-0.0275491j 0.0761711+0.0367563j 0.0128228+0.0179747j -0.0128254+0.00361225j 0.08293-0.0100257j -0.0272606-0.0565677j 0.0249814+0.00163303j 0.0105981+0.0348015j -0.0561744-0.0107696j -0.0111033-0.00517342j -0.0202211-0.0064512j -0.0304812-0.00990425j -0.0208593+0.0381136j 0.0133378+0.0102428j -0.0162255-0.00439918j -0.0150343+0.0690484j -0.0175213+0.0186329j 0.011144+0.00793712j 0.0244433-0.00169967j 0.0378505-0.0128408j -0.0211476+0.00577207j -0.0448619+0.00637204j 0.0303483+0.00646329j -0.015486-0.0304212j 0.0280069+0.00487546j -0.0427522-0.0285918j -0.0159217-0.0598411j -0.0607425-0.00232637j 0.0714469+0.0265446j 0.0374832-0.0335508j 0.0516754-0.0129385j 0.0436497-0.0562343j 0.00168639-0.0499381j 0.0136556+0.039991j 0.0117685+0.0182003j 0.0310976-0.0864479j -0.0188142-0.0203027j 0.021876+0.00598604j 0.0063819-0.0451653j 0.014941-0.0141439j -0.00856787-0.0230921j 0.00754243+0.0142939j 0.0114514-0.0429328j 0.00599527+0.0091013j -0.000481281+0.0108768j 0.070838+0.0409803j -0.0190638-0.0385606j 0.0695292-0.0659744j -0.00939419+0.0823418j -0.10225-0.0158815j 0.0401361-0.0461142j -0.05078+0.042124j 0.0156055+0.0244146j 0.0643049+0.0442688j 0.0875202-0.00916488j -0.0499858-0.0254671j -0.0159668+0.109875j -0.0581803+0.0126516j 0.0459216+0.138747j -0.119314+0.0453922j -0.0209748-0.0736586j 0.0857414-0.0219987j 
-0.0125663+0.00446794j 0.00754652+0.011998j 0.00486997+0.0425915j 0.0587071-0.00303165j 0.0322486+0.0512609j 0.0425197+0.0325781j 0.0194837+0.109644j 0.157839+0.00473463j -0.0667511-0.136121j 0.133942-0.00240865j 0.0799148-0.106161j 0.076919+0.130692j -0.102838+0.0788101j -0.00999204-0.0998842j 0.00937849-0.0779595j -0.0834043+0.152942j -0.148258+0.0479498j -0.0142189+0.038338j -0.0578582+0.0750693j 0.184225+0.0916741j -0.26748-0.087781j -0.000229541-0.0411743j -0.046769-0.0379113j 0.11827+0.0255419j 0.0870991-0.042955j 0.085289+0.0218968j 0.0374452-0.0359517j 0.103299-0.0994611j -0.0111634-0.124869j 0.114993-0.0631628j -0.0559814-0.0110064j -0.0484306+0.0276152j -0.0154096+0.0423031j 0.0543019+0.133755j -0.14059+0.105038j -0.0260086-0.0372418j -0.0723324+0.00271767j -0.083959-0.106529j 0.0555508-0.0293377j 0.0291656-0.0432512j -0.0384246+0.0209586j 0.00622068+0.0620311j -0.0215592-0.0652669j 0.0229058-0.0909811j -0.0128216+0.101282j 0.0176821-0.23631j 0.0490262-0.180717j -0.0763925+0.0596284j -0.0213687+0.145437j -0.0614018+0.0895758j 0.0729571-0.0122402j 0.140912-0.0206017j 0.0314522-0.0926195j -0.0305968-0.00218762j -0.0851953+0.00301003j 0.042658+0.128869j 0.0790103+0.0793288j 0.0417514+0.118731j 0.140728+0.0355125j -0.00422103-0.0330073j -0.0335725-0.0113566j -0.118058-0.0959224j -0.0648873+0.0410834j -0.0254515-0.0529058j -0.0100477+0.00358365j 0.0267257-0.0279431j 0.0520052+0.0190938j 0.0822784-0.00728199j -0.0653388-0.0356285j 0.0142311+0.0859919j 0.0160825+0.0553653j -0.108459+0.0389583j -0.0501835+0.0576738j -0.0171364+0.0314492j 0.0236478-0.00393859j -0.0397637-0.0128138j -0.00245198-0.0124972j 0.067277-0.0549102j 0.00794112+0.0378564j -0.0310181-0.00447034j 0.0325156-0.0401521j -0.0650152+0.0445927j 0.0127738+0.0303476j 0.0687891+0.0560509j 0.0732901+0.0638624j 0.0459494-0.0269205j 0.00491162+0.0338167j -0.0629734+0.0153082j -0.000406136+0.0104648j -0.0126736+0.0156507j -0.000612608-0.0193272j 0.023564-0.00414352j 
-0.0168737-0.0167282j -0.0128474+0.0115868j -0.0540874+0.0414633j 0.0219228+0.0556972j 0.0469429+0.0365381j 0.0428404-0.0310644j 0.105585-0.0272554j -0.074929-0.115524j -0.0865528-0.0873186j 0.00885424+0.101474j 0.160237-0.0873164j 0.00977193+0.0253304j -0.000154762-0.08515j 0.0248732-0.0105517j -0.0564849+0.0848778j -0.0182747-0.00295916j 0.0351853-0.148144j 0.00893538-0.120309j 0.106217+0.101537j -0.0542102-0.0514021j -0.0601722-0.0311923j -0.011349-0.0499152j -0.0250072+0.0527223j -0.0859799-0.105935j 0.0615171-0.102324j -0.0376951+0.0341733j -0.037024+0.030058j -0.0372495+0.00429028j -0.00333568+0.0475832j -0.114392-0.011947j 0.00300568+0.0134483j 0.0398099-0.0366227j 0.0920885+0.0686435j 0.0516922-0.0529789j 0.0323754-0.114451j 0.0591249-0.00302191j -0.0266502+0.0496735j -0.0848703+0.0262502j -0.0557454+0.034249j 0.0337069+0.0411167j -0.11149+0.0408112j -0.072359+0.0114951j 0.00061172+0.0589498j 0.0534121-0.0073927j 0.00360456-0.00777402j 0.0715005-0.0133261j 0.00986839-0.00617377j 0.0793249+0.0050174j 0.00577526+0.0347607j -0.0049114+0.012247j -0.0829389-0.0516392j -0.047039+0.0681735j 0.0649785+0.000898238j -0.0429862+0.0479398j 0.082353+0.0306914j 0.0195299+0.0426304j 0.0786167+0.0409648j 0.0543679+0.0054063j 0.0391649+0.0171544j -0.00988509+0.044076j -0.0200435-0.0426766j -0.0162025+0.0175922j 0.0329519+0.0935021j 0.0120813+0.0409086j -0.0164992+0.0142827j 0.00102956-0.00874841j -0.000669207+0.0080583j -0.017718+0.124333j -0.0241954-0.122113j 0.101888+0.0577795j 0.00426274+0.031939j -0.0704636-0.0128099j -0.0122943-0.0650546j -0.171771+0.0372001j -0.0278324+0.0757176j -0.00766966-0.0412717j 0.042592+0.0282979j 0.052798-0.0142595j 0.0100917+0.0754361j 0.0213081-0.0435252j 0.0085261+0.00408871j 0.0709048-0.0422429j 0.0382195+0.0351057j -0.0116655-0.0469681j 0.0547107-0.0372444j 0.0406565-0.0577138j -0.0583627-0.0074898j -0.00733725-0.0509269j 0.0660424-0.048739j 0.059332+0.0596992j 0.0353031-0.0163775j 0.00794572+0.0398432j 
-0.0139997+0.0267332j 0.024552+0.0179271j 0.0756859-0.0178102j -0.025283-0.0605101j 0.0545949-0.0180944j -0.0399734-0.0503909j -0.0098315+0.0501007j 0.0133078+0.00340579j 0.00878458-0.0211445j -0.0154977+0.0726878j 0.0679163+0.00330416j 0.022323+0.014725j 0.00913652-0.00341873j 0.00198474-0.00262959j -0.00676765+0.00844298j 0.00426398-0.00965893j 0.00246357-0.0154993j -0.0059551-0.0201978j 0.0212307+0.0155601j 0.0105708-0.0109072j -0.0174664+0.00479699j 0.00508415-0.00570218j -0.0203576+0.00164173j -0.0103675+0.00457829j 0.0113051-0.0424087j 0.0158261-0.0233973j 0.0212311+0.00632889j -0.0120709-0.00455951j 0.00501489+0.018213j -0.00572685-0.0136516j 0.00404507-0.0218083j 0.019489-0.0148668j 0.00961358+0.00771174j -0.0424087+0.00964963j 0.010703-0.00754743j -0.00682554-0.00581176j -0.0121381+0.00609837j 0.00361961+0.0217965j -0.0370964-0.0111454j 0.00427313+0.0122331j -0.0341811-0.00987166j -0.0149164+0.00339993j -0.00119742+0.018179j -0.0110867-0.00369482j 0.0339501-0.00211004j -0.00461833-0.0139924j 0.0200701-0.0103669j 0.0100174+0.0018177j 0.0148851+0.0284825j 0.000852463-0.00994874j -0.0245559-0.00998687j 0.00590366+0.00489247j -0.00473969-0.00470429j -0.00588727+0.00939192j 0.0240909-0.010971j 0.00288734-0.00156523j -0.00256389-0.00627047j -0.0102989+0.0164984j 0.0282076+0.00793689j 0.00257149+0.0140399j 0.0278213+0.00936811j -0.00554991-0.0221358j -0.0342081-0.0241554j 0.0070156+0.000562123j 0.00432009+0.00361832j 0.0257439-0.00866815j 0.0135694-0.00706736j 0.00262585+0.0146895j -0.0159349-0.0131438j 0.019615+0.0213665j -0.00864049+0.0270199j -0.0128166+0.00482607j -0.0168868-0.0547953j -0.0155781-0.000236391j 0.00389404-0.0406948j 0.00289596-0.00769573j -0.0316084-0.0165446j 0.0340833-0.046435j 0.0325679+0.0320769j 0.00195976-0.0385556j 0.0500361+0.00636989j 0.00592104-0.0378399j 0.0249449+0.0438118j -0.0354935+0.0117806j 0.0742504-0.0392507j -0.0376787+0.00917723j 0.0404801+0.00656761j 0.0316845+0.0491565j -0.040737+0.0318985j -0.0247454-0.0276785j -0.0330209+0.0155083j -0.00484672-0.0330562j 
0.0767989-0.0315304j -0.023001-0.0688652j 0.0327921+0.116727j 0.0944371-0.0297872j 0.0671675-0.104729j -0.121317-0.0404372j 0.054185+0.116867j 0.000452861-0.0695344j 0.0726678-0.000127591j -0.0668709+0.0990528j 0.0704308+0.0320724j 0.0647681-0.0340848j -0.00434272-0.0124743j -0.0255629+0.0119002j 0.0183436+0.0712202j 0.00677194-0.0374003j 0.0140406+0.0355733j -0.00391384-0.0216537j -0.0344578+0.00503036j -0.0281535+0.0159022j -0.0360216-0.00421261j 0.0174861-0.0265855j -0.0315401-0.0014325j -0.0389078+0.0574916j -0.0220917-0.0863154j 0.031168-0.082645j 0.0257104-0.0237445j -0.0489602-0.0137329j -0.0360206-0.0317785j -0.0297378-0.000688957j -0.0601786+0.0218511j -0.0586078-0.059738j -0.0117059-0.0291669j -0.0882204+0.00851195j -0.0314239-0.00417359j 0.0733169+0.0150651j -0.00438996+0.0369148j 0.0187735+0.0234282j -0.038276-0.00892444j 0.0431611+0.0369858j -0.0551577-0.0407035j -0.000598071-0.0121936j 0.0142659-0.0303716j -0.0358006-0.00186183j 0.0818603-0.0326173j -0.0289754-0.0428444j 0.0636392+0.00556679j 0.0192194-0.00580684j 0.0180389+0.0434988j -0.0492674-0.0266703j -0.0270903-0.0171726j -0.00234188-0.0253849j -0.0342557+0.00478642j 0.0361689+0.0303292j 0.020356+0.0109458j 0.0274947+0.0320182j -0.0281502+0.0359099j -0.0100969-0.0316389j 0.00760629+0.0112961j 0.0348005+0.0685181j 0.0234479+0.0311424j -0.0458599+0.0141534j -0.0611398+0.0082168j -0.0439413-0.0448795j -0.0405914-0.0187621j -0.0174459+0.0382619j 0.0295081+0.00524998j -0.0275773+0.0197005j 0.0025627-0.00158797j 0.00786475+0.0539054j -0.0222755+0.0386673j -0.0214782-0.00801196j -0.0150731-0.127795j -0.0212984-0.00524807j -0.00155132-0.147157j -0.055707-0.0712607j -0.017563-0.0223658j 0.00315123+0.00296511j 0.0308106-0.002901j 0.0996103-0.0646687j 0.0645902-0.0105456j 0.0940931-0.133692j 0.122774+0.0751336j -0.206718-0.052234j 0.0644367-0.103967j -0.0317383+0.0681346j 0.105563-0.0575072j 0.0619508+0.12436j -0.0706115-0.0443385j 0.0319736-0.0493883j 0.0670652+0.0220373j -0.0303474+0.0803226j 
0.0290614-0.0724171j -0.0544714-0.0466432j -0.184485+0.0266536j 0.0393567+0.1414j -0.118296+0.0722505j 0.118512+0.109431j 0.0590613-0.0914288j -0.0313964-0.0595154j -0.0728025-0.0046312j 0.0519883-0.119791j -0.052304-0.056996j -0.0403218-0.00675612j -0.0222528-0.0449899j -0.0072882+0.00391105j -0.0233267+0.0126083j -0.0178923+0.0314221j 0.0119387-0.0226122j 0.0324375-0.0247439j -0.0250959+0.0204496j -0.03993-0.00758627j 0.00388941-0.0306332j -0.00891178-0.0183442j 0.0324501+0.0243698j -0.0261604-0.0527452j 0.00546199+0.0466805j -0.0598511+0.0925828j -0.0544182+0.0108001j 0.0275678+0.013966j -0.0233682-0.0292391j -0.042439-0.00131203j -0.0275438+0.0490648j -0.0417529+0.0108325j 0.0351047+0.0276259j 0.147122-0.0381223j -0.0295122-0.0385555j 0.0332755-0.01763j 0.00526322+0.00991767j -0.0694631-0.0544135j 0.0744741+0.0495244j 0.0117582-0.0216259j 0.0179642+0.0385774j -0.00323291-0.000127797j 0.00552048-0.0183824j 0.0645879+0.00117939j -0.0855565+0.0019307j 0.0596595+0.0129617j -0.0449737+0.00857078j 0.025092-0.00223602j -0.0220443-0.0389253j 0.0314119+0.0197853j 0.00974494-0.00316768j -0.0222019+0.0348987j 0.0504967+0.0144896j 0.000680012+0.02986j -0.00172719+0.00682593j 0.000758489+0.0334321j 0.053512+0.0374277j 0.0606616-0.0165886j -0.0374439-0.0309631j 0.00274745-0.0175923j -0.0746847-0.0375586j 0.0234+0.0431903j 0.0900935+0.104564j -0.00929617+0.0318086j -0.0187888-0.00507666j -0.0879221+0.0271889j -0.0330933+0.00602122j -0.0101588+0.00904652j 0.0241235-0.0293783j 0.0134868-0.0111614j 0.0120555-0.054128j -0.0273806-0.024673j 0.0154216+0.0955351j -0.0424593+0.0270354j -0.00940864+0.156221j 0.00196365+0.00172492j 0.102222+0.0708254j -0.0503049+0.0897796j -0.0554155-0.0343941j -0.0298135+0.0728707j -0.119713+0.00998644j 0.014825+0.0909349j -0.0460539-0.0803676j 0.112202-0.0258192j -0.133213+0.0585125j 0.0868218-0.0686946j -0.105749+0.00587453j -0.0553778-0.10669j 0.106955-0.118398j 0.128626+0.057519j 0.0871013-0.0498326j 0.0271114+0.103338j 
0.0405957-0.168831j -0.135999-0.059295j -0.126025+0.024928j 0.016375+0.0909153j 0.0726705+0.00147869j 0.0179762-0.0815257j 0.0139582+0.0816261j -0.0013486-0.106588j -0.0255336+0.0281998j -0.0367099+0.0721822j 0.100533-0.029183j 0.0642114-0.0257645j 0.0494533-0.022091j -0.054869-0.0506344j 0.0461598+0.076495j 0.0297174-0.0194109j 0.0345947-0.00220861j -0.0277405-0.0362937j 0.00902543-0.0196886j -0.0642564+0.0267723j -0.0191815-0.0110109j 0.0112642-0.0376279j 0.00880877+0.00643063j -0.0379002+0.0100098j -0.0106917-0.056988j 0.0612306-0.0440785j 0.0585263-0.0202158j -0.000650638-0.0240402j -0.0124846+0.0341414j 0.0243469+0.0304804j -0.0664434+0.0437544j -0.0370362-0.0161294j 0.0408181+0.0229001j -0.00129036-0.00177383j 0.00459284-0.0178501j 0.0536828-0.0907822j 0.0153207+0.0405076j -0.0362215-0.00898792j -0.0298055+0.00398134j 0.0546846-0.00158708j -0.0891384-0.0307382j -0.0330968-0.0165201j -0.0331121-0.0499061j 0.0260016+0.00688168j -0.00707934-0.0304082j -0.00893332+0.00912747j 0.0342228+0.00533184j 0.041149+0.0148647j 0.0343281+0.0542693j -0.000927492-0.0112436j -0.00901545-0.0275174j -0.0502101+0.0137222j 0.0390977+0.00890399j 0.0227706+0.0280236j 0.036432+0.027481j 0.00362189+0.0527937j 0.0154919-0.00978843j -0.0354936-0.0221615j 0.0741375+0.0552879j 0.10799+0.00613249j 0.0462417-0.0184545j 0.0146519-0.0326052j 0.0260164+0.044378j -0.0421734+0.0258277j -0.0354036+0.000894622j -0.0266393-0.0430228j -0.0138311-0.0296716j 0.0100041-0.0109017j 0.0294759-0.0780131j 0.0215805+0.0414455j -0.0132443-0.0155106j -0.0537551+0.0258637j 0.024437-0.136013j -0.00974902+0.0185101j -0.00723647-0.0303029j -0.00183695-0.00129941j 0.024926-0.0355733j 0.0787218+0.00815054j -0.0457996+0.0581896j -0.050929-0.00671251j 0.0155581-0.102964j 0.0464631-0.0310489j 0.120246+0.0420069j -0.0584788-0.0630386j 0.0677265-0.120132j -0.00784807-0.0179879j 0.0132128+0.0679175j -0.0109459+0.0268369j 0.124593-0.0307118j 0.0632915+0.0825056j 0.13627-0.100384j 0.0894766+0.16263j 
