-0.198301-0.42171j -0.439256+0.250136j 0.300908-0.0295361j 0.239432+0.20338j -0.174014-0.0873839j 0.0188287-0.253811j -0.024878-0.0688534j -0.0630268-0.0168335j -0.0867316-0.275163j -0.00680605-0.108606j 0.194686+0.00641313j -0.0683307-0.00212406j 0.012775-0.108992j -0.0998421+0.271604j 0.0626139-0.00876988j 0.0293715-0.0664486j 0.0034469+0.255957j 0.17852-0.0788461j 0.252805-0.190348j 0.297505+0.0507146j -0.41875-0.277555j 0.226724-0.404689j 
0.220709-0.0404726j -0.0552603-0.209412j 0.00388586-0.0615677j 0.131705-0.0251154j -0.04709-0.125212j -0.0819728+0.0357134j 0.0526893+0.00676888j 0.0913745+0.0154001j -0.0499654-0.170533j -0.017829+0.0216828j -0.0966022-0.0012477j 0.0429947+0.000737138j 0.0167588+0.0214905j -0.0548401+0.168283j -0.093222+0.0138494j -0.0538931+0.00414934j -0.0806466-0.038237j 0.0522732-0.123002j 0.128337+0.0310968j 0.000971647+0.0583702j -0.0676432+0.206995j -0.217888-0.0531434j 
-0.0153385-0.0367071j -0.0449255-0.00499228j -0.025618+0.126627j -0.126415+0.00924553j 0.0435112+0.0762819j -0.00926767-0.00427831j -0.0188649+0.0150976j -0.00764478+0.0120904j -0.00138501+0.0303101j 0.0776117-0.0178068j -0.0155101-0.0407348j -0.0442484+0.0549882j -0.00056785+0.00123419j -0.0289941-0.00614051j 0.0378646+0.0402773j 0.0346835+0.0771088j 0.0418855-0.0154275j -0.0156882+0.0154478j 0.0624567-0.00529578j -0.0117068+0.0608401j -0.0665679+0.0578188j -0.0713629-0.0774238j 
0.0663103-0.018818j -0.038946-0.057867j 0.0969507+0.055078j -0.0435336+0.13401j 0.0798311+0.0465903j 0.00999741+0.0420423j -0.0782933+0.0524049j -0.050894+0.0154049j -0.00474195+0.00645289j 0.0420113-0.0607459j -0.0745404-0.000569497j 0.0114204-0.00052505j -0.0409424-0.0620204j -0.00452495-0.00749957j 0.0497991+0.0167605j 0.0764596+0.0544154j 0.0107715-0.0402544j -0.0822847+0.0430286j -0.0380856-0.137415j 0.10017-0.0515699j -0.0412005+0.0551561j -0.0635403-0.0219111j 
-0.0478402+0.0944672j 0.0787323+0.0553544j 0.0935514-0.0174059j 0.0299051+0.0613967j -0.00240815-0.072199j -0.0298504+0.00356548j 0.0289914-0.0602979j 0.0304494-0.0387904j 0.034697-0.0251718j -0.0530635-0.0279495j -0.00701258-0.00119869j 0.0921847+0.0218731j 0.058817-0.0015825j 0.0197181+0.0389699j -0.00961989-0.0476478j 0.00113441-0.0676366j -0.0258868-0.0157338j 0.0348475-0.0630985j 0.0547591-0.0396785j 0.0736014+0.0575036j 0.0965629-0.0105323j -0.00209459+0.106978j 
-0.0749362+0.073887j 0.0624066+0.0609224j 0.0110155+0.0618007j -0.062365-0.0067773j -0.0150539-0.0164341j -0.0424217-0.0158951j 0.0360528-0.0757693j 0.0393044-0.0395083j 0.0289915-0.00468544j -0.000849421-0.00222994j 0.0155948-0.0401477j 0.0431457+0.0565718j 0.0764817+0.0188044j 0.000587524+0.0308181j -0.00703679-0.0120514j -0.0178228-0.015957j 0.0082773-0.00436813j 0.0463408-0.0745496j 0.126099+0.0149979j 0.0200543+0.126751j 0.0450405-0.00112997j -0.0179835+0.0369902j 
0.000347434-0.000265107j -0.0109074-0.00896455j -0.00163663+0.0254336j 0.00495951-0.0283743j 0.0198051+0.0211015j -0.0846436-0.019659j -0.00222422+0.0191821j 0.0166683+0.0268135j -0.00959382-0.0469822j 0.0488193-0.0283593j 0.000273446-0.0231053j -0.0273673+0.0280403j 0.00495505-0.00237046j -0.0173646+0.00385787j -0.00593764-0.0286293j -0.00212404+0.0202312j -0.00635432+0.00981156j 0.0190667-0.0212378j -0.0284003+0.00375055j 0.0317722-0.0347734j 0.0280653-0.0160021j 0.0105867+0.0437798j 
0.00683703+0.00668256j 0.0273146+0.00623736j 0.0137162-0.0601602j 0.0300483+0.0544996j -0.0504672+0.0170078j 0.0811229-0.0283635j -0.0351903-0.0152272j -0.0442708-0.0162874j 0.0332691+0.00896932j -0.0009785+0.0685104j 0.0252772+0.0201446j -0.00119998-0.0222221j -0.0175775+0.00129615j 0.00257716-0.0242185j 0.0371709+0.0284494j -0.016418+0.0113501j 0.014738+0.025769j -0.00919939+0.0453804j 0.042228-0.00265006j -0.0428274+0.0573179j 0.0053682+0.0473227j -0.0438468-0.0196473j 
0.0118713+0.00970134j 0.0120465+0.00606689j 0.0407215-0.0560189j 0.0244016+0.00771186j 0.010813+0.046581j -0.074049+0.0646094j -0.0268041+0.038077j 0.00986417+0.00547357j -0.0679297-0.0643125j 0.0580637-0.0505231j -0.000465661-0.0204793j 0.00242156+0.0709709j -0.0289096-0.00727345j -0.03508+0.0107041j -0.00104843-0.0103343j 0.0242953+0.0701632j 0.0435103+0.0608641j -0.00630932+0.00120031j 0.0274804+0.0440263j -0.059558-0.0138923j 0.0473517-0.0192806j 0.0366891+0.0448229j 
0.015937-0.00533299j -0.0347001-0.0185236j 0.0447203+0.0942174j -0.0684567+0.00232124j -0.0165833-0.0397228j -0.0604558-0.0347388j 0.0461239-0.057854j 0.00910537+0.00355625j 0.0670203+0.0186561j -0.0334674+0.0236216j 0.00413965+0.0001986j -0.0600147+0.000800843j 0.0331934+0.0255384j 0.0685678-0.0172837j -0.00807782+0.00333007j -0.0444255-0.0582581j -0.0594668+0.0370454j 0.0173276-0.0399099j -0.0676117-0.00422372j 0.047094-0.0944757j -0.0348027+0.0160864j -0.0135641-0.00631568j 
0.0469231+0.00556515j 0.0201807-0.041057j 0.0107748-0.0309421j 0.019791+0.0387691j -0.0442112+0.0345935j 0.0162758-0.0771148j 0.00627082-0.0158066j -0.0573191+0.0114874j 0.0537105+0.0164733j 0.0165063+0.0603126j 0.0463066+0.000568204j -0.0550231-1.98015e-05j -0.0171053+0.0603164j 0.0533236-0.0155221j 0.0582378+0.0122842j -0.00541567-0.0150835j 0.0146448+0.078685j 0.0443403+0.0351067j 0.0206614-0.0373101j 0.00936532+0.0314509j 0.0186105+0.0417394j -0.0472042+0.00425208j 
