0.250143-0.166412j -0.134836-0.258728j 0.00432563+0.0691141j 0.0280741+0.0152177j 0.101062+0.115573j 0.104282+0.0456008j -0.17796+0.0839942j -0.122822-0.200028j -0.0966864-0.0365162j -0.00486357-0.164054j -0.0719804-0.0629171j 0.0836249+0.153977j 0.00741916+0.0262833j -0.00428454+0.0889708j -0.0764906+0.0345351j -0.0445803-0.0490241j 0.000617574+0.0258847j 0.0558307-0.202282j 0.0762667-0.0967817j -0.0284596-0.138515j 0.0199368+0.017755j 0.0959508-0.189994j -0.16515-0.013209j 0.13358-0.0272426j -0.0878275+0.131345j 0.0922503-0.0641368j -0.132983-0.0137108j 0.238061-0.21183j -0.212969-0.295516j 0.0735861-0.179197j -0.157525-0.0548339j 0.043308-0.0242285j 0.0195043+0.0296796j -0.00698445+0.0349726j 0.0549575+0.000752279j 0.0113386-0.0155094j 0.00482193+0.0486229j -0.031017+0.00670908j -0.0212034+0.0112898j 0.0102867+0.00442021j 0.0172397+0.0224388j 0.00398631-0.009812j -0.00790867+0.00384452j 0.00718136-0.0117489j -0.0105534-0.0188593j -0.0269301+0.000587984j -0.00311126-0.00218532j -0.0073069-0.00951064j 0.00939221-0.00224958j 0.033982-0.00386844j 0.00629395-0.00663048j -0.00122815+0.00637849j 0.00119336+0.015087j -0.000136397+0.00445654j 0.00781251+0.00496421j -0.00878634+0.00785025j 0.0130734-0.00542653j -0.0225095-0.01398j 0.0180233+0.016095j -0.00971138+0.0147729j 0.0119509-0.00179019j 0.0356268+0.0197271j -0.00343361+0.0182919j 0.0051988+0.0124911j -0.00024288-0.00297452j -0.00375062-0.00899938j 0.00607986+0.0114875j -0.0390421+0.00558549j -0.00719264-0.0487508j 
-0.122222+0.118233j 0.0924305+0.120807j -0.0585045+0.0640794j 0.0747692+0.059516j -0.0371617+0.0180136j 0.0141458+0.0364105j -0.0311049+0.00230042j 0.001779-0.00191032j -0.0234019-0.0353806j -0.0118088-0.012737j 0.0192675-0.0148968j 0.0163324+0.0180148j -0.00842596+0.0369016j 0.00240559+0.000502161j 0.0127105+0.00990737j -0.00308857+0.0095581j 0.0192643+0.00431442j 0.0141713-0.0309494j 0.00709063-0.0192954j 0.00677734+0.0107056j 0.0277968+0.0101338j 0.00406601-0.00979105j -0.0235039+0.0211881j -0.0086083-0.00716245j 0.008894+0.00651082j 0.0250617-0.0220042j -0.0102558+0.00305438j -0.00562022-0.0447357j -0.0647449-0.0137145j 0.108234-0.222765j -0.181085-0.121445j -0.15748+0.0992866j -0.138638-0.102706j 0.178608-0.0179078j -0.0219761-0.157047j 0.0288298-0.0877304j 0.148809-0.0313776j 0.0423414+0.102516j 0.00159359-0.0637307j -0.14312+0.00117999j -0.0437581-0.0743327j 0.0678853-0.00142838j 0.0380307+0.110163j 0.000836523+0.150611j -0.0240521+0.0900703j -0.0261957-0.0821703j -0.00521396+0.0455069j 0.0585159-0.0197622j -0.0252485-0.0708828j -0.15046+0.0546987j 0.0605763+0.0596882j -0.00544222-0.091026j -0.00413266+0.0447089j 0.0524572-0.0079994j 0.0546836-0.211223j -0.00359713-0.0410788j -0.0329238+0.0591076j -0.00655823+0.0268076j -0.203665-0.0155353j 0.125483-0.0788556j -0.0124481-0.049299j -0.00472449-0.016881j -0.165352+0.00381197j 0.0190387+0.079055j -0.0687551+0.0313929j -0.0286378-0.196056j 0.237095-0.0697744j 0.214102-0.152916j 0.116336+0.267033j 
-0.0183178-0.0908374j -0.0746225-0.00369647j 0.0777091+0.0527013j 0.0541161-0.0666057j -0.0300817+0.017507j -0.0130986+0.0785218j -0.0536739-0.022642j 0.0199002+0.00243735j 0.032055-0.00463387j 0.0215884+0.00833621j -0.00715796+0.00723998j 0.0218819-0.0131295j -0.0248149-0.0020516j -0.0204414-0.00360152j -0.00253759-0.00580247j 0.0123609+0.000309749j 0.010334+0.0218204j -0.0071074-0.00603552j 0.00296126+0.0212463j 0.00650387+0.00433388j 0.00524613+0.00658594j 0.00482168+0.0165823j 0.0127401-0.0115344j -0.0166873+0.0152316j 0.007907-0.030564j -0.0290538+0.0232534j 0.028495+0.0120859j 0.0178764+0.000388146j 0.00708521-0.0197481j 0.0672345+0.137621j 0.109898-0.0310978j 0.129282+0.200038j -0.211098+0.105928j 0.0709237-0.0809469j 0.00343793-0.227867j -0.167461-0.0617532j 0.152409-0.0123838j -0.133294+0.0193393j 0.0595806+0.033758j 0.126669-0.0343297j -0.0121816-0.0166282j 0.105264+0.0782123j 0.0425125+0.0522617j -0.0632728-0.130359j -0.116416-0.00682468j -0.00256294-0.00505755j -0.00196524-0.0843957j -0.0103482+0.0724357j 0.00525117-0.166517j 0.0679478+0.110702j -0.0427827+0.035263j 0.00456273-0.0243542j 0.0178458-0.067837j 0.087401+0.038952j 0.0703966+0.041103j -0.0481757+0.127928j -0.110129+0.0465862j 0.0588432-0.073191j 0.0178995-0.0371343j 0.0699354+0.103455j 0.0101675+0.00757127j 0.210853+0.0312865j -0.131715+0.0957759j -0.00313607+0.295559j 0.159495+0.0658111j -0.275011-0.0143379j -0.00157129-0.207406j -0.0381374+0.159315j -0.177853-0.0543875j 
-0.00274297-0.0133042j -0.020806+0.00361019j -0.0109252-0.0128186j -0.00623014+0.010001j -0.00372804-0.00342161j -0.00268297+0.00773943j -0.0096352-0.00348132j 0.000600184-0.00103074j -0.00676389-0.00122658j -0.00346373+0.00234871j 0.00234454-0.00605053j 0.000429331-0.00267482j 0.00131889+0.00609715j -0.000421091+0.00111055j 0.00437961-0.00345252j 0.00122098-0.00193699j -0.0018833-0.00493287j -0.00413784-0.00406091j 0.000518986+6.40942e-05j 0.00379203+0.00208106j 0.00435268-0.00239254j 0.0019752-0.00273788j 0.000422022-0.00178778j 0.00142029+0.000183508j 6.1142e-05-0.00439586j -0.0016074-0.00414435j 0.00176632-0.000453968j 0.00534881+0.00490824j 0.00063826-0.00521918j 0.00218322+0.0247574j 0.0415198-0.00492653j -0.01317-0.0564326j 0.0389912+0.00164556j 0.00979781+0.0131726j 0.0151438-0.011785j 0.0217054-0.0343289j 0.0369352-0.00680935j -0.00282566+0.0177675j 0.0147292-0.0177754j -0.0269519-0.0236631j -0.00127444-0.0189943j 0.0177901+0.0173246j -0.00318141+0.00847402j -0.00163862+0.0364276j -0.0194793-0.00718434j -0.00575248-0.0314774j -0.00934014-0.00306855j -0.00388527+0.0100064j -0.0134513-0.0106722j -0.0214868+0.00250304j 0.00473798+0.00236852j 0.00917929-0.0103867j -0.00697065+0.0197487j -0.031192+0.00659492j 0.0278352-0.0445269j 0.000899557+0.0120145j -0.00334612+0.00854876j 0.0203583+0.00403345j -0.013227+0.00841346j 0.00528781+0.000653675j -0.0022881+0.013534j -0.0138262+0.0200996j -0.0220607+0.00399672j -0.00149161-0.0219978j -0.028481+0.0183338j -0.0231125+0.029772j -0.0207182-0.0471833j -0.0419527-0.0323312j 0.0313136-0.0237726j 
-0.0226666-0.00554502j -0.00519837+0.0222117j -0.00685701+0.00417191j 0.00434151+0.00960578j -0.00531551+0.00749498j 0.00959-0.00108403j -0.00217225+0.00912654j 0.00164287+0.000156801j -0.0107192+0.00261353j 0.00211171+0.0084054j -0.00635061-0.00261829j 0.00213257+0.00151996j 0.00782402+0.00338232j 0.00475171-0.000640513j 0.000533634-0.00963598j -0.00287611-0.00407086j -0.00621862+0.00111021j -0.00362372-0.000199069j -0.00148174+0.00131926j 0.00797484+0.000405753j -0.000208676-0.00724119j -0.00450908-0.00223317j 0.00376197+0.000222214j -0.00628475-0.00670772j 0.00332507-0.00454169j 0.0109736-0.00664686j -0.00312586-0.0122101j 0.00930628-0.00255573j -0.00180916-0.00728835j 0.0233213+0.0137856j 0.0173564-0.0222711j 0.0181005+0.000554975j -0.0033585+0.0211326j 0.0248621-0.0110983j -0.0370067-0.00579991j 0.0290335+0.048859j -0.00919206+0.0357494j -0.00459335+0.0279699j -0.028256+0.0190997j 0.0100402+0.00887534j 0.0246982+0.0124273j -0.0120426-0.027037j 0.00902222-0.0313459j 0.0272068+0.0148511j 0.000462158+0.00667964j -0.0150914-0.00388521j -0.00542779+0.0090504j -0.00350068-0.0064152j -0.00826278+0.0164103j 0.00516785-0.00379604j -0.0177908-0.0110603j -0.0301638+0.013572j -0.0184857+0.019135j 0.0106748+0.0157796j -0.020662+0.00329675j 0.00490124-0.000706602j 0.0215762-0.0111575j -0.00431988+0.00274348j -0.0150041+0.015033j -0.0183248-0.0550175j 0.0136762-0.00530326j -0.0434544+0.000933158j -0.0260936-0.0184196j 0.00457468+0.00703276j -0.000510853-0.0160573j -0.0148779-0.0274681j 0.0346944-0.021881j -0.0306108+0.022316j -0.0260742-0.02852j 
-0.0083885+0.0027079j 0.00333409+0.00894966j -0.0186756+0.0181346j 0.0186816+0.0186937j -0.0161992-0.010909j 0.00971326+0.0226205j -0.018383+0.0237908j -0.0111722+0.0144646j -0.00861782+0.00368936j -0.0206679+0.00875573j -0.00817548-0.0205051j 0.00681724-0.0120124j 0.0138895+0.0190629j -0.00356158+0.00228688j 0.00475988-0.0102354j -0.00122675-0.00278625j -0.00401627-0.00655346j -0.0136869-0.00039947j 0.00332471-0.00258339j 0.00906246+0.0021016j 0.0264153+0.000526646j 0.00078593-0.01505j 0.00181387-0.00277475j -0.00971245+0.00305707j 0.00317885-0.0156843j 0.00316326-0.0225038j -0.0180665-0.0121103j 0.0124348+0.0190045j 0.0231389-0.00776726j -0.0109688-0.016569j -0.0210951+0.0135528j 0.00840391+0.0116906j -0.00760083+0.00253008j -0.0103335-0.00224674j 0.00675642+0.0069369j -0.00800574-0.00647503j -0.00351093-0.00583326j 0.0049567-0.0134855j 0.00763517+0.00252907j 0.00418544+0.00238708j -0.00314842-0.00117016j -0.00535137+0.00377987j -0.00402196+0.00580755j -0.00743118-0.0118276j 0.00454539+0.000368531j 0.00832775+0.00972119j 0.00589733+5.49321e-05j 0.00291531-0.00175268j 0.00628117-0.00204527j 0.00114479-0.00215167j 0.00404353+0.00437927j 0.00688323+0.000804223j 0.0065062-0.00839076j 0.00550937-0.00839179j -0.000215589+0.0108589j -0.00261769-0.00594851j -0.0058196-0.00121357j -0.00504626+0.000825075j 0.00249681-0.00535145j 0.00233199+0.0148957j -0.00663335-0.00424011j 0.0128355-0.00750514j 0.0108897+0.000749979j -0.00110501+0.00250826j 0.00395124+0.00106921j 0.00787843-0.00136262j -0.000467532+0.0148897j 0.0194561+0.000433143j -0.000843881+0.015936j 
-0.0136815+0.0175905j 0.0197192+0.012233j -0.0120913+0.00718539j 0.00431148+0.0162515j 0.0185318+0.00569553j -0.00926161-0.0155705j -0.00749099-0.00530692j -0.00130262-0.0203316j -0.0186906+0.010429j 0.0172696-0.00562816j 0.00092164+0.000933393j 0.00335608+0.013807j 0.00387184-0.000675423j 0.0124443-0.011088j -0.00468746-0.0193953j -0.009141-0.00673841j -0.00609139+0.00815299j -0.000832982+0.00418132j -0.00666994+0.00750534j 0.013219+0.00109689j -0.0227131-0.00945271j -0.011633+0.0125676j 0.0151687+0.00358002j -0.00912848-0.0176957j 0.00813916+0.00491272j 0.024532+0.00253584j 0.00845772-0.0271691j 0.0170825-0.00644966j -0.00934439-0.0121681j -0.0173025-0.00162345j -0.00104029+0.0188595j 0.0089528-0.00054732j 0.000220831+0.00741617j -0.00674411+0.0119996j 0.019771-0.00532338j -0.0201544-0.0147138j -0.00740871-0.0136692j 0.00345538-0.0265067j 0.0161212-0.00326143j -0.00314653-0.00309982j -0.00789598-0.00320898j 0.00058317+0.00902222j -0.00325407+0.013507j -0.00545817-0.000260952j -0.00506881+0.00060629j 0.0113795+0.00196347j 0.0114992-0.00129852j 0.00583924-0.00105934j 0.00360083-0.00346901j -0.00388353+0.0010633j 0.00969872+0.000777666j 0.0148463-0.00510015j 0.00870133-0.00758233j -0.00781432-0.00483515j 0.00370585-0.00131528j -0.00627946-0.0079627j -0.00540305-0.00106223j -0.00458078+0.00635544j -0.000788777-0.00158094j 0.00836648+0.0270425j -0.0170993-0.00561936j 0.0140464-0.0137631j 0.0173487-0.0095179j -0.0130609-0.00415449j 0.00382851+0.0115499j -0.00130429+0.00895005j -0.00965991+0.00209416j 0.0126576-0.00171885j 0.00194131+0.0129993j 
-0.000343175-0.0102907j -0.00902841+0.000228867j 0.00394127+0.0163525j 0.0180648-0.00513731j 0.0115611-0.00842173j -0.00784278-0.00627989j 0.00027228-0.00170548j 0.00112441-0.0206217j -0.0213261-0.00149342j -0.00118149+0.00459752j -0.0081393+0.000371851j -0.015968+0.000913686j -0.00935406+0.00548346j 0.00367281-0.00110112j 0.000646075-0.00205022j -0.00879628-0.00194155j 0.00505014-0.0123318j 0.00859111+0.00449319j 0.00506221-0.0163784j 0.0200248+0.0103373j -0.00657589-0.00845119j 0.00710521+0.015268j -0.000641869-0.0324393j 0.0170616-0.00990218j 0.0192731-0.00744326j -0.00832705+0.00298985j 0.00687715+0.00199241j 0.0100885+0.00441311j 0.00373092-0.00664366j -0.0216531-0.00366229j -0.00880957+0.0187982j -0.0236065+0.000209211j 0.00377008-0.0267002j -0.00120296-0.0159845j -0.0159944+0.010309j 0.0130042+0.00689001j 0.010025+0.00641267j -0.0158795+0.030104j -0.0119788-0.0137517j 0.000261499+0.00237474j -0.0027876+0.00176411j 0.00797499+0.00190097j 0.00468145-0.00132415j -0.017265-0.0147255j 0.0175725-0.00595679j -0.00854547-0.000435501j -0.0197258-0.00962061j -0.0117991+0.00228088j 0.00185438-0.00738626j 0.010295+9.93397e-05j -0.00528982+0.00450084j -0.00795885-0.00369567j -0.00870822-0.00716409j 0.00954472-0.00815524j 0.00954097+0.00611316j 0.00581531+0.0174191j -0.00661046+0.0145004j 0.0137353-0.0112476j 0.0131216-0.0133062j 0.00411673-0.0165762j 0.0233533+0.0196726j 0.00410002+0.022679j -0.0151151+0.0314397j 0.0300331+0.00356772j -0.010462-0.020381j 0.0199277+0.000507868j -0.00260109+0.0234536j 0.00571719-0.0117574j 0.0119311+0.000434238j 
-0.0105545-0.00714542j -0.0124511+0.00852799j 0.0227768+0.00362797j 0.00703101-0.021923j -0.00209488-0.0135862j -0.0091659+0.00532588j 0.00221571-0.00353526j -0.00702624-0.0130473j -0.0124703+0.00507245j -0.00384409+0.00377935j -0.00557421+0.00302332j -0.0115624+0.00139724j -0.00848383+0.00503115j -0.000932631+0.00145155j 0.000814582+0.00442664j -0.0049731+0.00285373j 0.00211319-0.0131919j 0.00956795-0.0017545j 0.00574912-0.0151568j 0.0149402+0.00705554j -0.00304926-0.00417547j 0.011844+0.0089781j -0.00760314-0.0290745j 0.0175245-0.00342459j 0.0127823-0.00703793j -0.0138611+0.00216641j 0.0029867+0.0116328j -0.00314241+0.00331576j 0.00158882+0.00185713j 0.0251095-0.0157901j -0.00961731-0.022531j 0.0302046-0.00745636j 0.00468446+0.0327338j 0.00423005+0.0176113j 0.0161244-0.0166672j -0.0185117-0.00190995j -0.0153948-0.00262146j 0.0121144-0.0424562j 0.0170809+0.0152844j 0.00230692-0.00199291j 0.00364966-0.0031853j -0.0112578-0.00277379j -0.00589915+0.00131034j 0.0268209+0.0140395j -0.0206041+0.0125626j 0.010772+0.000615422j 0.0288745+0.00874564j 0.0152333-0.00517925j 0.000422032+0.0100019j -0.0112025-0.000115861j 0.00466488-0.00630303j 0.0107225+0.0050673j 0.0121124+0.00823136j -0.00801115+0.0121214j -0.0147448-0.003985j -0.0103355-0.0233639j 0.00703345-0.0209771j -0.0186318+0.0163098j -0.014466+0.0208797j -0.00367098+0.0218041j -0.0331679-0.0230556j -0.00728234-0.029216j 0.0146479-0.0416008j -0.0391316+0.00144905j 0.0170321+0.0253938j -0.0255986-0.0028836j 0.00531529-0.0299658j -0.0075471+0.0187374j -0.0187756-0.000984697j 
0.00699987-0.00516525j -0.00529612-0.00653193j 0.00481528-0.00379449j -0.00283366-0.0047839j 0.00148706-0.000473535j -0.00274001-0.000885174j 3.28128e-05-0.00338936j 0.00170541-0.00121416j 5.47966e-05+0.0024669j -0.00177132+0.000751065j 0.000831771-0.00282216j -0.00219204-0.0025124j 0.000463127+0.000642989j -0.000364029+0.00172103j 0.00172643+9.17086e-05j 0.000645532-0.000674296j -0.00300296-0.00206684j -0.00161237-0.000763127j -0.000379282-0.000229963j 0.00150552+0.000940142j 0.00108525-0.00159967j 0.00134251+0.000115477j 0.00163442+0.00183061j 0.000688477+0.000111685j 0.000144053-0.00107783j -7.76525e-05-0.00200868j 9.2848e-05-0.000224376j 0.000304106-0.00019129j -0.000332414-0.000273809j -0.00472376+0.00853457j 0.0088777+0.00475461j 0.0103185-0.00854736j 0.00793675+0.0125282j -0.00541371-0.00261359j 0.00900658+0.00724579j 0.0118864-0.0122518j 0.00522159+0.00809832j -0.00584646-0.000594796j 1.52448e-05-0.00188146j -0.00327002-0.0100941j -0.00538677+0.0043586j 0.0102649+0.00532883j 0.00400138-0.00323908j 0.00719623+0.00439734j -0.00433358-0.0124652j -0.00596292-0.00852958j -0.00196694-0.00485866j -0.00751357+0.0052052j -0.00764482-6.3001e-05j 0.00427303-0.00156218j 0.00175505-0.0069581j 0.00182114-0.00517397j 0.000720714+0.00457382j -0.0127179+0.0033407j 0.00607261-0.00528751j -0.0016225+0.00582201j 0.00724059+0.00344194j 0.00537967-0.00164881j 0.00555959+0.00422471j -0.00566772+0.00026539j 0.000845704-0.00105812j -0.00230229+0.00478616j 0.00113415-0.000836506j -0.00143613+0.00119474j 0.00655919-0.00388051j -0.000249759+0.00551853j -0.00898074-0.000140106j -0.00856226+0.011725j -0.00872802-0.00949056j 
0.0019205-0.0060525j -0.00638776-0.00249006j 0.000970084-0.00455766j -0.00291549+0.000161982j 0.0012148+0.000937121j -0.00263593+0.00392207j -0.00834599+0.000102042j 0.00132008-0.00349059j 0.00156965+0.00407025j 0.00398066+0.00249845j -0.00561368-0.00457054j -0.00285008-0.000422355j 0.00229379+0.000697902j 0.00150513-0.00163623j -0.00148888-0.00529295j -0.00169525-0.000773114j -0.00310575+0.00316447j -0.000290734+0.00336672j 0.000185562+0.000391185j 0.000938646-0.0033984j 0.000257979-0.00143453j 0.000238321+0.000520464j 0.000635906-0.00196733j -0.000615733+0.000980779j -0.000616868+0.00269236j -0.00229334+0.0026171j 0.000227546+0.00357641j -0.00108273+0.000724916j 0.00221626+0.000595525j -0.0033822+0.00822306j 0.00994579+0.00350479j 0.0158275-0.00644038j 0.00395528+0.0170647j 0.0067692-0.000116761j 0.00708447-0.00962821j 0.00341141-0.00869338j 0.00647446+0.00729457j -0.00585559+0.00577563j -0.00877133+0.00394454j -0.00350187+0.00686783j 0.0110763+0.00202981j 0.000785211-0.0039813j 0.00145784-0.0118578j 0.00859342-0.00109437j -0.0123299-0.00125899j -0.00777471-0.00524963j -0.00135633-0.000567963j -5.71285e-05+0.00614404j -0.00221604+0.00584656j -0.00109061-0.0024871j -0.00930649-0.00252853j -0.00956648+0.000681322j 0.00696106+0.00221578j 0.00459591+0.0122087j -0.00659823+0.00192367j 0.00288106+0.00275184j 0.00261695-0.00876283j -0.00188768-0.00866999j 0.00582074+0.00412458j -0.00334634+0.00116572j -0.000605502-0.00405529j 0.00295458-0.00409213j 0.00110913+0.00818469j 0.0022287+0.0107763j 0.0123138-0.00236011j 0.00180609-0.0103615j 0.00673646+0.00117678j 0.00701078+0.00258672j -0.00096403+0.00572257j 
