-0.0331292+0.0236101j 0.0205525+0.0374895j 0.029882-0.0449969j -0.0430516-0.0274432j 0.00347532+0.0284924j -0.0386523+0.00745202j -0.0159313-0.00700419j -0.00649111+0.0175488j -0.0246525+0.000550376j -0.0013454+0.0163184j 0.00719345+0.0285102j -0.0161066+0.0110543j -0.028251-0.00935818j -0.0149156+0.0138425j -0.00986756+0.0032446j -0.0122083+0.0094556j -0.000623858-0.00148376j -0.000613384+0.011074j -0.0108758-0.00895017j 0.0139885+0.0123701j -0.00515076-0.0160975j 0.00586099+0.0115485j -0.000844247-0.00552112j -0.0130454-0.011105j 0.0215885+0.00877763j 0.00194792-0.000439808j -0.00213221+0.000655428j -0.0186128-0.0167658j -0.0233787+0.0104612j -0.00582521-0.0238307j -0.000182516+0.0031902j -0.00487859-0.0163411j -0.00649147+0.0076125j 0.00750234+0.00103418j -0.000344929+0.00952686j 0.00328906-0.00431572j -0.00719309-0.0113016j 0.00469475+0.0305336j -0.0155576+0.00447097j 0.0169325+1.55762e-05j 0.00890087+0.006856j 0.0239402-0.00716958j -0.0175458+0.000500568j -0.021334-0.0274314j 0.0146106+0.0118442j -0.0149985-0.0047572j 0.0123914-0.00201731j -0.0144528+0.0165992j -0.01151+0.049785j -0.0444153-0.00974516j -0.0373432-0.0131899j 0.0206964-0.0395101j 
0.0170557+0.0468797j 0.0408922-0.0128264j 0.0235687-0.0134374j -0.00293045-0.0164931j -0.0278716-0.0222619j 0.0176875-0.0351583j -0.0159076-0.00203448j -0.00674667+0.00955487j 0.0151355-0.0195621j -0.0115291+0.00531469j -0.00787729-0.0136169j -0.0324537+0.00483998j -0.000172427+0.0132016j 0.00209552-0.0109908j 0.00493808+0.0041505j -0.0109851+0.0170333j 0.0159527+0.0118064j 0.00521029+0.00135308j -0.00148854+0.00457064j -0.00547502-0.00228133j -0.0043714-0.00462097j 0.0138298+0.000583283j 0.0272083+0.00574309j -5.66125e-05-0.00894272j 0.0109031+0.0136865j 0.0235402+0.00752792j -0.00542288-0.00894616j 0.00272595+0.00786528j 0.00703926-0.012228j -0.0049744-0.0159632j -0.00251835+0.0163665j -0.00813726+0.00651572j -0.00340102-0.00564128j 0.0109284-0.0193753j 0.00408094+0.00182074j -0.0021+0.000416556j 0.0185179-0.00244619j 0.0130299-0.00933472j -0.000669931+0.0042513j -0.0129038+0.0124273j -0.00535764+0.0159547j 0.00226446+0.0108847j -0.0074496-0.00901476j 0.0178621+0.00391746j -0.0211458+0.00500007j -0.00171294+0.00507693j -0.0168145+0.00391803j 0.00449972-0.0261098j -0.0297969-0.016001j 0.0105369-0.0192652j -0.0496373+0.0289549j -0.0286692-0.0501799j 
-0.164565-0.0891082j -0.0841477+0.160528j 0.000414587-0.151108j -0.169025-0.0197673j 0.0516993+0.196974j -0.20466+0.0681374j 0.0329125-0.00724425j -0.0127792-0.0236896j -0.151801+0.0272552j -0.0102245+0.0680462j -0.0103618+0.147905j 0.0786634+0.00013002j -0.181427-0.0899509j -0.0812745+0.0974823j -0.0800216-0.0185693j -0.0429246-0.0610815j -0.0958501-0.0707624j -0.0515766+0.0428241j -0.0214682-0.0989347j 0.0515705+0.0681498j -0.00481338-0.0683705j -0.0538683+0.054498j -0.102899-0.0281992j -0.00626637-0.0488619j 0.0602006-0.00421997j -0.0995452+0.00541807j 0.00854378+0.0309984j -0.107301-0.11301j -0.171801+0.105939j 0.0392809-0.014786j 0.0408384-0.0457641j 0.00895017-0.132596j -0.0293946+0.0860792j -0.0293892+0.138584j -0.0259829-0.0513449j 0.0397613+0.0274765j -0.106691-0.0361221j -0.0559731+0.167636j -0.087072-0.00527822j 0.150242-0.0673442j 0.0304272-0.069445j 0.0778341-0.105104j -0.060285+0.00219933j -0.23268-0.0915378j 0.116555+0.00194008j -0.0366554-0.0526988j 0.0875069-0.0140971j -0.0490843+0.16563j 0.0931922+0.240765j -0.170627+0.072909j -0.0022315-0.123305j 0.152957-0.0126053j 
-0.00383094-0.10589j -0.0812993-0.0216994j -0.190578+0.046518j 0.0389246+0.145536j -0.0427659+0.0266033j 0.0525023-0.0506963j 0.110866+0.102083j 0.0830055-0.0502114j -0.0194919+0.061267j -0.034781+0.0270271j -0.0190884-0.078901j 0.062619-0.0459722j 0.0524268-0.0243467j 0.0111242+0.00238261j 0.0169821-0.0237654j 0.0179622-0.06812j -0.0875073-0.0416773j -0.0208352-0.0275171j 0.0630463+0.00996655j 0.0136274-0.00339445j -0.0159086+0.0361128j -0.0763685-0.00182205j -0.0194399-0.0209131j 0.0354687+0.0444754j -0.0214905+0.0404525j -0.0451174+0.0199064j 0.0236204-0.000402331j 0.0472816+0.0248663j 0.0395103+0.015143j 0.0525872+0.0972216j 0.060579+0.0227328j 0.0183099-0.0134221j 0.0256326+0.0258311j -0.0552952+0.0622668j -0.0107661-0.067533j 0.0514589+0.076905j -0.0396795+0.0961337j -0.0724478-0.0235145j 0.0471502-0.00485607j 0.0179906-0.0668583j -0.0774252-0.0196312j 0.00676773-0.0551383j 0.00540622-0.00889193j -0.0552824+0.0336501j -0.089041+0.0221234j 0.0944167-0.0254885j 0.0642875+0.0627j -0.0229728+0.0590941j 0.126158-0.0622244j 0.0764066+0.060518j 0.118587-0.0743452j 0.0567774+0.129245j 
-0.0544645+0.209508j 0.16289+0.082937j 0.150764-0.146007j -0.0952848-0.100338j -0.0974165-0.0269715j -0.0144791-0.18594j -0.0793756-0.0484551j -0.039316+0.055175j 0.0110464-0.0541068j -0.116726+0.0542835j 0.0118919+0.0074006j -0.180394+0.00803204j -0.0812709-0.00493184j -0.0229171+0.0350272j -0.0141407+0.0333045j -0.0628647+0.126659j 0.0117221+0.0420113j -0.00391415+0.0452291j 0.00420927-0.0187998j 0.0385667+0.0242478j -0.0227445-0.0890505j 0.0769302+0.000254933j 0.116029+0.000268057j -0.038784-0.041587j 0.139938+0.0895668j 0.106614+0.0313997j -0.0133469-0.0153616j -0.0289201-0.0104971j -0.0266599-0.00194113j -0.0183961-0.130286j 0.0111285+0.0881724j -0.0638603-0.0157539j -0.0264479+0.00696456j 0.056364-0.0719481j 0.0173822+0.0447621j -0.0139485+0.0521917j 0.0466507-0.0101493j 0.0829076+0.0371611j -0.0238186+0.02696j -0.0178281+0.0264434j 0.00983544+0.11726j 0.0779119-0.0202836j -0.108659-0.0166036j -0.0494701-0.0814259j -0.0550226+0.0598383j -0.0184625-0.0103856j -0.0323599+0.0612249j -0.0568374-0.0496495j -0.0998004+0.0669098j -0.0820531-0.0226724j -0.209747+0.0893094j -0.0718165-0.239551j 
0.00396533+0.0241978j 0.0183979-0.000684658j 0.0389192-0.0446858j -0.0334747-0.0327444j -0.0235598+0.0054686j -0.0198034-0.0248516j -0.0133972-0.0195287j -0.0290217-0.00361264j -0.00364073-0.0324105j -0.0105626+0.00435614j -0.0228115+0.0110749j -0.00496877+0.00828905j -0.0510738-0.00636046j -0.00340842+0.00860884j -0.0119558+0.00411609j -0.0240675+0.000502702j -0.00126004+0.00621508j -0.00884363+0.0142147j -0.00218376-0.0243464j -0.00158827+0.010741j 0.00311829-0.0203095j 0.000625054+0.0069051j -0.00499664+0.0111952j 0.0126975-0.0322679j 0.0141785-0.000722183j 0.00966538+0.0162143j -0.00667225-0.00752094j -0.0314294-0.0183487j -0.035919+0.010418j 0.00785871-0.0210945j -0.00189302-0.0122134j -0.0053897-0.0249256j -0.014034+0.0126505j 0.00793929+0.0164631j -0.00536072-0.0150405j -0.0012067+0.00852775j -0.00390554-0.0276843j 0.00910108+0.020765j -0.0269809+0.00641183j 0.0149611+0.00420398j 0.00356401-0.00296719j 0.00128985-0.0117507j -0.0181306-0.00764559j -0.039057-0.00697726j 0.0183256-0.0203219j -0.0179766-0.0103309j -0.0162323-0.0136327j 0.0107767-0.00423647j -0.0221142+0.0178949j -0.00860932-0.00685758j -0.0520809+0.0251272j -0.0191852-0.056125j 
0.0432017-0.0178139j -0.0229728-0.0334783j 0.134087+0.0793187j 0.0268461-0.116154j 0.159153+0.0417005j -0.0974681+0.251189j -0.0453893-0.0877079j -0.0680329-0.0105712j 0.0251975-0.0402566j 0.189487-0.0672168j -0.0179479+0.128949j 0.0814084+0.0438285j -0.0431703+0.0804876j -0.0382487-0.0935582j -0.0441008+0.0230893j 0.022708-0.0364062j 0.155868-0.00743187j 0.0872931-0.0017407j -0.156176-0.018486j -0.0985887-0.0184374j 0.0532078+0.0247711j 0.0426764+0.0383128j -0.0696475+0.00729517j -0.000651051-0.0410751j -0.107497-0.163512j -0.062578-0.0787825j -0.0064387+0.0143621j -0.0669596-0.0463964j -0.108265-0.0238637j -0.0897363-0.0214457j -0.0887013-0.0937722j 0.0484005+0.00673016j -0.0192224-0.0318104j 0.0221577-0.0207611j 0.0158282-0.0109635j -0.0444283-0.278734j 0.0619094-0.140694j 0.0205048+0.0352371j -0.0923097-0.0272309j 0.0315041+0.0794123j 0.11055-0.149217j -0.0442206+0.141056j 0.163435+0.0344823j 0.154321+0.0303358j 0.195657-0.117724j -0.0951239+0.0509163j -0.111298-0.10419j 0.0528709-0.049106j -0.0644627+0.0456561j -0.041606-0.0316826j 0.0115183+0.0104446j -0.000436848+0.0147259j 
0.00431803+0.0483821j 0.0326138+0.00730302j 0.0811869-0.0136178j 0.00175178-0.0537059j 0.0112077-0.0320663j -0.0047427-0.0103514j -0.0533986-0.0462934j -0.0326778+0.00719575j 0.0190945-0.0400099j -0.00726615-0.00324215j -0.00907905+0.0254203j -0.0435604+0.00324341j -0.0418446+0.00833669j -0.0101473-0.00538772j -0.0124978-0.00197756j -0.0126464+0.03996j 0.0299026+0.0238211j -0.00165284+0.00991336j -0.028069-0.0114624j -0.00443246+0.0049735j 0.0105425-0.0261997j 0.0391651-0.00166384j 0.0234555+0.00908112j -0.00388461-0.0295393j 0.0208409-0.00513016j 0.0351688-0.00830901j -0.0224491+0.00260192j -0.0205045-0.0183872j -0.0234109-0.00227639j -0.00913076-0.0389435j -0.0103945-0.00766238j -0.015632-0.00140676j -0.0204824+0.00419934j 0.0246847-0.0185303j 0.00712732+0.0187381j -0.0267625-0.0165431j 0.0229824-0.0484947j 0.0278042+0.0045944j -0.0210131+0.00455929j -0.00046996+0.0372026j 0.0412889+0.0148596j -0.00394458+0.0137219j -0.0190369+0.00394641j 0.0111328-0.00629145j 0.030456-0.0057144j -0.0390468+0.0140313j -0.0393398-0.00592884j 0.00659874-0.0253269j -0.0304278+0.0186352j -0.0232481+0.000595021j -0.0432633+0.0488293j -0.0411832-0.05648j 
-0.0130532+0.0405664j 0.0209319+0.0219933j 0.0476008-0.0311235j -0.0272725-0.0265596j -0.0207294+0.00203257j -0.0100806-0.0563401j 0.00359178-0.0321488j -0.0233227-0.00181057j 0.0199396-0.00617879j -0.0294185-0.0110588j 0.0146363+0.00466843j -0.0329123+0.00190424j -0.0149375-0.00760563j 0.00650934+0.024644j -0.00257323+0.0345955j -0.0149111+0.0319629j -0.000414+0.0124166j 0.00624863+0.0225654j 0.0148288-0.00774118j 0.0086995-0.00346724j 0.00102315-0.0258999j 0.0166698-0.00704643j 0.0177106+0.00502132j -0.0166874-0.00296093j 0.0366312+0.00236604j 0.0129787+0.00961378j 0.0164471-0.00182399j -0.0142554+0.00947373j -0.0158611-0.00396906j -0.0184155-0.0445966j -0.0116435+0.0208137j -0.0199572+0.004006j 0.00222837-0.0151472j 0.0101288-0.027968j 0.00395977+0.0144753j -0.00764003+0.0120249j 0.01325+0.00520697j 0.0395686+0.0126011j -0.00696555+0.0039546j -0.0184583-0.00784911j 0.000330118+0.0234824j 0.0124616-0.0124779j -0.00864275+0.00152537j -0.0320626-0.0291324j 0.00162467-0.0111187j 0.00238631-0.0152041j -0.0281868+0.0211178j -0.0190181-0.0274253j -0.0401036+0.0134477j -0.0140299-0.00261882j -0.0326063+0.0313759j -0.0271118-0.0468567j 
0.0106726-0.00801895j -0.00422144-0.0134283j -0.00164958-0.00975964j -0.0050407-0.00491724j 0.00092606-0.0140986j 0.00421755+0.00892441j -0.00334134-0.0030924j 0.0201573-0.0101991j 0.0455734+0.0152064j 0.0233598+0.0120609j -0.0104128-0.0144465j -0.0135708-0.00293828j 0.0252719+0.0115717j 0.00945484-0.0345465j -0.000565114-0.00300329j 0.00194348-0.00383257j -0.00551302+0.0259654j 0.00960842-0.00670923j -0.0054549+0.013571j 0.00821229-0.0228143j -0.00739325+0.0260801j -0.014774+0.00834634j -0.0108789-0.00467187j -0.00351889+0.0065288j -0.0345653-0.000815509j 0.00640093+0.00251949j -0.0263215-0.00336929j 0.014846+0.00303905j 0.00776304-0.00145058j -0.00274046+0.000870231j 0.0170413-0.0248503j -0.0103301+0.0128661j -0.00607061+0.0108329j 0.0168633-0.0141476j 0.0040356+0.000910197j 0.0178683-0.0008985j -0.000563416-0.00417539j -0.00177826-0.00631943j 0.0138943+0.00818725j 0.00593508+0.028609j -0.0218382-0.00630938j -0.0190773-0.0335766j 0.0162137-0.00579101j 0.0104558+0.00553584j 0.00315701-0.0148118j 0.00516547-0.00445625j -0.0207617+0.00493658j 0.00520253-0.0281027j -0.0159598-0.0138132j 0.0169309-0.0124403j 0.00373612+0.00227453j -0.00223465+0.00604373j 
0.0168016+0.005365j 0.00860894-0.0219283j -0.0154937+0.0109244j 0.00686339+0.00853138j -0.0244005+0.00048761j 0.0204757-0.014534j 0.0100421+0.0138112j -0.00747062+0.0166636j -0.00766707-0.00879574j -0.00470648-0.013671j -0.00888094-0.0317241j 0.016407+0.00525634j 0.0118106+0.000326604j 0.0166599+0.0070534j 0.0168388+0.0158043j 0.00461503-0.0103799j 0.000922909-0.0055109j 0.00472041-0.00331339j 0.0166169+0.00111494j -0.00967239+0.00577189j -0.000157485+0.000145558j -0.0132015-0.0147659j -0.00280927+0.0162736j 0.01312-0.00780208j -0.000497066+0.00436691j 0.0158242+0.00576179j 0.0193721-0.0106674j -0.00756416+0.012639j 0.0214738-0.00913203j 0.00458975+0.00347388j -0.0147688-0.000117767j 0.00371507-0.00177167j 0.0175783-0.0123402j -0.0116479-0.00137853j -0.0104415-0.0112843j -0.013321+0.00448553j 0.00424267+0.0127034j 0.00487102-0.0216779j 0.00511465+0.00328217j -0.0137689-0.0194202j -0.00615917+0.0167155j 0.0021104+0.0128188j 0.00330728+0.000723409j -0.00591046-0.00189705j -0.0202982-0.00516969j 0.00817092-0.0116232j -0.0038093-0.0180013j 0.00545019-0.00544959j 0.000207425-0.02755j 0.0293584-0.00112354j 0.00308386+0.00241904j -0.00638467+0.00927889j 
