0.717317-0j 0.70996-0j 0.102887-0j 0.0600176-0j 0.0831455-0j 0.0516512-0j 0.00745521-0j 0.0590299-0j 0.00852024-0j 0.00432163-0j 0.0361483-0j 0.00521756-0j 0.00523861-0j 0.00307512-0j 0.021305-0j 0.00604903-0j 0.00598698-0j 0.0505971-0j 0.00730306-0j 0.00733253-0j 0.000360136-0j 0.0342185-0j 0.0244468-0j 0.000504085-0j 0.0338675-0j 0.0296341-0j 0.000498915-0j 0.00138078-0j 0.000436551-0j 0.041479-0j 0.000611044-0j 0.00649114-0j 0.000115065-0j 0.0367194-0j 0.00781088-0j 0.000540929-0j 
-0.100994-0j 0.102887-0j -0.0100391-0j 0.805282-0j -0.569969-0j -0.0072722-0j 0.100352-0j 0.000121765-0j -0.00168028-0j 0.0579852-0j 0.00523861-0j -0.0722897-0j -0.000511152-0j 0.125392-0j -0.00908678-0j 0.0402861-0j -0.0410412-0j 0.00733253-0j -0.101184-0j -0.000715464-0j 0.0147006-0j -0.00481777-0j -0.00693438-0j 0.0102135-0j 0.00490807-0j 6.11281e-05-0j -0.0104049-0j 0.0371879-0j -0.000129589-0j 8.55615e-05-0j -0.000181387-0j -0.0444973-0j 0.00942799-0j 0.00532138-0j -0.00444725-0j -0.0112811-0j 
0.0521653-0j -0.0516512-0j 0.0072722-0j -0.00399882-0j -0.00604903-0j -0.361401-0j 0.000542164-0j -0.401434-0j 0.000602221-0j 0.0277038-0j 0.253031-0j -0.000379589-0j -0.0356253-0j -0.0010682-0j 0.712053-0j -0.0423247-0j 0.0419076-0j 0.354169-0j -0.000531314-0j -0.049865-0j -2.3995e-05-0j 0.00248846-0j -0.00162883-0j 3.66585e-05-0j -0.00246394-0j 0.00209457-0j -3.62972e-05-0j 0.102229-0j 3.08559e-05-0j 0.00293179-0j 4.31893e-05-0j 0.0454366-0j -8.85431e-05-0j -0.00267142-0j -0.00601051-0j -3.93538e-05-0j 
-0.00752941-0j 0.00745521-0j 0.100352-0j -0.0551813-0j -0.083473-0j -0.000542164-0j -0.350116-0j -0.000602221-0j -0.388899-0j -0.00397339-0j 0.000379589-0j 0.245129-0j 0.00510952-0j 0.689818-0j 0.0010682-0j 0.00607039-0j -0.00601056-0j 0.000531314-0j 0.34311-0j 0.00715184-0j 0.0474828-0j -0.000359179-0j 0.000235102-0j -0.0725424-0j 0.000355639-0j -0.000302325-0j 0.0718274-0j -0.0146621-0j -0.0610598-0j -0.000423167-0j -0.0854659-0j -0.00651671-0j 0.175215-0j 0.000385587-0j 0.000867542-0j 0.077876-0j 
0.0516512-0j -0.0503014-0j -0.00728967-0j 0.00432163-0j 0.00598698-0j 0.352099-0j -0.000528209-0j -0.408959-0j 0.000613509-0j 0.02946-0j 0.743271-0j -0.00111504-0j 0.107715-0j 0.000221427-0j -0.147601-0j -0.0419076-0j 0.0408124-0j -0.350536-0j 0.000525865-0j -0.0507997-0j -2.5516e-05-0j 0.00246394-0j -0.00173208-0j 3.62972e-05-0j -0.00239955-0j -0.00633304-0j -3.53487e-05-0j -0.00956605-0j -9.32945e-05-0j 0.00298674-0j 4.39989e-05-0j -0.0449706-0j 8.2854e-06-0j 0.00264402-0j 0.000562431-0j 3.89502e-05-0j 
-0.00745521-0j 0.00726038-0j -0.100593-0j 0.059636-0j 0.0826168-0j 0.000528209-0j 0.341104-0j -0.000613509-0j -0.396189-0j -0.00422527-0j 0.00111504-0j 0.720062-0j -0.0154489-0j -0.142992-0j -0.000221427-0j 0.00601056-0j -0.00585349-0j -0.000525865-0j -0.33959-0j 0.0072859-0j 0.0504928-0j -0.000355639-0j 0.000250005-0j -0.0718274-0j 0.000346345-0j 0.000914095-0j 0.0699503-0j 0.001372-0j 0.184617-0j -0.000431099-0j -0.087068-0j 0.00644987-0j -0.0163957-0j -0.000381632-0j -8.118e-05-0j -0.0770772-0j 
-0.0072722-0j -0.00728967-0j 0.000711283-0j 0.0579852-0j -0.0410412-0j -0.0495736-0j -0.00711004-0j -0.000843587-0j -0.000120991-0j 0.395277-0j 0.107715-0j 0.0154489-0j -0.0105102-0j 0.009029-0j 0.0629532-0j -0.279102-0j -0.279772-0j -0.0507997-0j -0.0072859-0j 0.00495673-0j -0.00104155-0j -0.000346909-0j 0.000491308-0j 0.000735432-0j -0.000347742-0j -1.30636e-05-0j 0.000737199-0j -0.257637-0j 2.76942e-05-0j 6.16095e-06-0j -1.3061e-05-0j 0.308277-0j 0.000678873-0j 0.000383172-0j -0.000320229-0j -0.000812309-0j 
-0.00399882-0j -0.00432163-0j -0.0579852-0j 0.0669118-0j 0.0239407-0j 0.0277038-0j 0.00397339-0j -0.0676678-0j -0.00970519-0j -0.463565-0j 0.0211709-0j 0.00303642-0j 0.28406-0j 0.00208235-0j 0.0145188-0j -0.153472-0j -0.165861-0j 0.0296332-0j 0.00425011-0j 0.397601-0j 0.00122149-0j -0.000190757-0j -0.000576186-0j 0.000404398-0j -0.000206157-0j 0.000353071-0j 0.000437044-0j 0.495625-0j -0.000748497-0j 0.000494197-0j -0.00104768-0j -0.179828-0j -0.00130597-0j -0.000223517-0j 0.000616035-0j 0.000473847-0j 
0.0411378-0j 0.0412366-0j 8.50614e-05-0j 0.00693438-0j -0.00490807-0j -0.00291465-0j -0.000420694-0j -4.95983e-05-0j -7.15889e-06-0j -0.000491308-0j 0.00633304-0j 0.000914095-0j 1.30636e-05-0j 0.000534237-0j 0.0037013-0j 0.000346909-0j 0.000347742-0j -0.00298674-0j -0.000431099-0j -6.16095e-06-0j -4.09424e-05-0j -0.286002-0j 0.40505-0j 2.8909e-05-0j -0.286689-0j -0.01077-0j 2.89785e-05-0j 0.000320229-0j 1.08863e-06-0j 0.00507927-0j -5.13413e-07-0j -0.000383172-0j 2.66858e-05-0j 0.315898-0j -0.264007-0j -3.1931e-05-0j 
0.000606017-0j 0.000607473-0j -0.000180327-0j -0.0147006-0j 0.0104049-0j -4.29369e-05-0j -0.0849665-0j -7.30651e-07-0j -0.00144586-0j 0.00104155-0j 9.32945e-05-0j 0.184617-0j -2.76942e-05-0j 0.107898-0j 5.45253e-05-0j -0.000735432-0j -0.000737199-0j -4.39989e-05-0j -0.087068-0j 1.3061e-05-0j 0.382761-0j 2.8909e-05-0j -4.09424e-05-0j -0.270264-0j 2.89785e-05-0j 1.08863e-06-0j -0.270913-0j -0.000678873-0j -0.0101774-0j -5.13413e-07-0j 0.00479978-0j 0.000812309-0j -0.249479-0j -3.1931e-05-0j 2.66858e-05-0j 0.298515-0j 
-0.00604903-0j -0.00598698-0j 0.0410412-0j 0.0239407-0j -0.0661567-0j 0.0419076-0j 0.00601056-0j -0.0955348-0j -0.013702-0j -0.165861-0j 0.0293292-0j 0.00420652-0j -0.201054-0j 0.00247923-0j 0.017286-0j 0.463083-0j 0.458333-0j 0.0410524-0j 0.0058879-0j -0.281417-0j 0.000437044-0j 0.000575587-0j -0.000206157-0j -0.00122022-0j 0.000569684-0j -0.000249899-0j -0.00120771-0j -0.0529935-0j 0.000529777-0j -0.000349786-0j 0.000741533-0j -0.249125-0j 0.000139638-0j -0.00030965-0j -6.5868e-05-0j 0.000656445-0j 
