0.00831227+0.0113558j 0.0114411-0.00923778j 0.00938057-0.0127765j 0.0208791+0.00824541j -0.0150703-0.0165087j 0.00843284+0.00960855j 0.0333841-0.00748248j 0.012017+0.0222463j 0.00223383+0.0260776j 0.00525546+0.0172809j 0.000248796-0.013596j -0.00805047+0.0356503j -0.025594+0.0010905j -0.0107413+0.00148014j 0.0118718-0.0190698j -0.0153873+0.0191767j -0.0106263+0.000969401j 0.0109847+0.0080685j 0.0124908+0.00765236j -0.00678758-0.0116677j 0.0294054+0.00739135j -0.0107542-0.0299457j 0.0104302-0.010702j -0.0130479-0.0186405j -0.00500661+0.00581941j -0.00507617+0.00478689j 0.00483523+0.0274847j -0.0106549-0.0146426j -0.00238348+0.0175197j -0.0195333-0.00846949j -0.00044874+0.000732659j -0.00338558+0.00599613j 0.00217266-0.00739283j 0.012476+0.00488176j 0.0196103-0.013711j -0.0175907+0.011483j -0.00230981-0.014001j 0.00177847+0.00869854j -0.00615267-0.00211452j 0.00567753-0.00442796j -0.0106541-0.00770847j -0.000906516-0.0113859j 0.00810846+0.00985036j -0.00368049-0.00334445j -0.0161344-0.0144766j -0.0178805-0.0177207j 0.00800535-0.000642895j -0.0146155+0.0329467j 0.00162131-0.00191321j -0.0161581-0.0130998j 0.00754864-0.00238843j -0.00686556-0.0578968j 0.00716591-0.0159408j -0.0206825-0.0210415j 0.00984269-0.0177477j 0.0164044+0.0100423j 
-0.0100603+0.0130315j 0.01095+0.0092228j 0.019798-0.00820457j 0.00851533+0.0123456j -0.0146275+0.0203517j -0.0119022+0.00120622j 0.0223635-0.00134871j 0.001499+0.0108975j 0.0136502-0.0106995j 0.0222591+0.00963521j -0.0210331+0.0138834j -0.0048599+0.00679617j -0.00506531-0.00763066j 0.0233793+0.00182814j -0.015432-0.000993325j -0.0045268-0.00738144j -0.0035443-0.0107537j -0.00290541+0.0107509j -0.00321533-0.017403j -0.0128603+0.00711406j -4.03169e-06-0.00512094j 0.0167696-0.0254937j 0.00239255+0.0189495j 0.00726167-0.00564772j 0.0102288+0.0108002j -0.0169891-0.0110957j 0.0186207-0.00625959j 0.0193093+0.00998748j -0.0113397-0.0045075j 0.0063068+0.000560171j 0.0175832-0.00159222j -0.00860385-0.0081366j 0.00349066-0.00750555j 0.00450593-0.000262676j 0.00820132+0.00836535j 0.0198987-0.0258072j -0.0052662+0.0126404j -0.00897302-0.0119502j 0.00562945-0.0193093j 0.0162488-0.00715621j -0.0112779-0.0156387j -0.000280536+2.49997e-05j -0.00624205-0.0161547j -0.0172057+0.00889906j -0.00821389+0.0146767j -0.0249577-0.00440413j 0.0155286-0.013083j 0.0250715+0.00323268j 0.0145747-0.0112018j -0.0349326+0.000298338j -0.00706238+0.0135705j -0.0443959+0.00984139j 0.0155948-0.0045929j -0.0171689-0.0101482j 0.0163211+0.00513933j -0.00634956+0.0175694j 
0.0159083-0.015655j -0.0115645-0.0154838j -0.0293935+0.0315541j -0.0264024-0.0189453j 0.0292024-0.038172j 0.0167293+0.0171819j -0.0311918+0.0190783j -0.0161728-0.0294053j 0.00569908+0.0195968j -0.0286446-0.0158602j 0.0414731-0.0134502j 0.00574281-0.0119319j 0.01115+0.0100389j -0.0086314-0.00779553j 0.022775-0.00208927j 0.0212437+0.00510204j 0.00270064+0.00299613j 0.0129326-0.00469871j -0.0221807+0.00955216j -9.54983e-06+0.00715177j 0.00330693-0.0265312j -0.0131672-0.00709483j 0.0135817-0.000896941j 0.0099261+0.0247315j 0.0119994+0.0011754j 0.00482004-0.0181191j 0.0149734+0.0255442j 0.0207336-0.0045761j 0.0100842+0.0190185j 0.00444661-0.00201113j 0.00374017-0.0123999j 0.00933538-0.00825182j -0.0119427+0.0117154j 0.0231196-0.0239757j 0.0145333-0.0363555j -0.0117873+0.0102698j -0.000783016-0.0039368j 0.0213069+0.0363937j -0.00645995-0.00218096j -0.0186107+0.0023802j -0.0144196-0.0164035j -0.0124305-0.0014271j 0.0202985-0.0249521j 0.0169957-0.0171536j -0.0105869-0.0528999j 0.0198214+0.00992975j 0.00932863+0.0448864j -0.00547931+0.032529j -0.0192307+0.0420639j 0.0331061+0.0043267j 0.000429444+0.00320667j 0.0380953-0.000349332j -0.0342688+0.0317165j 0.0344412+0.0387979j -0.00911116-0.00592358j 0.00867301-0.0130026j 
-0.00707769-0.0247389j -0.0240157+0.00817491j -0.0168416+0.0021168j -0.0118318-0.00751893j 0.0109013+0.00793631j -0.006133-0.0309681j -0.0576777+0.000629596j 0.0030155-0.0208187j -0.0430868-0.0218783j -0.0416277-0.0220057j 0.0143551-0.00815529j 0.000759484-0.0327633j 0.0258105+0.00188162j -0.0334625+0.0119088j -0.00379495+0.0191476j 0.0033054-0.00850022j 0.0194108+0.0167982j -0.000185332-0.0253276j 0.0115079+0.0324114j 0.0365147-0.00456698j -0.0231108+0.0137167j 0.00170004+0.0799135j -0.0228833-0.041719j -0.01155+0.00941952j -0.0303532-0.030207j 0.0433434+0.00981753j -0.0373889-0.0215227j -0.0561138-0.0109656j 0.0323674-0.0264727j -0.0142901+0.0158089j -0.0544394+0.000676121j 0.00907617+0.0105532j 0.00731348-0.012772j -0.0215243-0.00249387j -0.0183722+0.0138888j 0.00335033+0.0230857j 0.0233022-0.000331462j 0.0170322-0.000188885j -0.0109498+0.0625625j -0.0194467+0.0135869j 0.0490231+0.0311684j 0.0298183+0.00973143j 0.0168792+0.0161213j 0.0178965+0.0128667j 0.0525786+0.0248307j 0.0386201+0.0201786j -0.0399823-0.00471919j -0.0509062-0.0568601j 0.00148214-0.00423708j 0.0525925+0.015847j 0.00111761-0.0060357j 0.0275515+0.0534517j 0.00321771+0.0156881j 0.0136379+0.00849253j -0.031304+0.0100997j -0.004776-0.0332711j 
-0.0257899-0.0077128j -0.00636338+0.0287478j -0.00385675+0.0313551j -0.0488635-0.00423147j 0.0411898+0.0416449j -0.0378455-0.00450859j -0.0502261+0.0254957j -0.0327627-0.0330376j 0.0214731-0.0677117j 0.0061247-0.0377119j -0.0196551+0.0563007j 0.0147588-0.0884603j 0.0361315-0.0154689j 0.0530879-0.0130016j -0.039678+0.0482393j 0.0370004-0.0648077j 0.026697-0.0254111j -0.0407116+0.00475957j -0.0511292-0.037051j -0.00283688+0.0208659j -0.0767877-0.0196603j 0.0361817+0.0362479j -0.00209488+0.0541773j 0.0476374+0.0537389j 0.0293506+0.00581435j -0.0440648-0.0283561j 0.00390672-0.0873691j 0.0634299+0.0437442j -0.0121861-0.0588893j 0.0676679+0.000870913j 0.0145145+0.00754359j -0.00372402-0.0181726j -0.024238+0.0257353j -0.019717+0.00564646j -0.0450124+0.0272142j 0.0712793-0.0479241j -0.00752846+0.0231264j -0.0304946-0.0231652j 0.037982-0.0316498j -0.00524706+0.00950678j 0.022536+0.00160904j -0.0248827+0.0178087j -0.0207938-0.0367493j -0.0067579+0.00979389j 0.00989742+0.0297595j 0.00617377+0.0280562j 0.0108877-0.011744j 0.0725775-0.0581607j -0.0124613+0.0218986j -0.0274555+0.0409983j -0.0519812+0.0407453j -0.0531373+0.108393j -0.0260018+0.0451491j 0.0139888+0.0407688j -0.00494623+0.0513595j -0.0410834-0.00171311j 
0.00883704-0.0289259j -0.0209263-0.00915231j -0.0385479+0.033156j -0.0311571-0.0289555j 0.0251562-0.0373055j 0.0144859+0.0117388j -0.0491952+0.0166818j -0.00822908-0.0304227j -0.0145849+0.0074435j -0.0451553-0.0149046j 0.0315871-0.011302j 0.00849405-0.0417945j 0.0133324+0.0173114j -0.036584-0.00212373j 0.0289046+0.0114582j 0.0298291-0.00667789j 0.017479+0.018226j -0.0181639-0.0207738j 0.00446834+0.0254862j 0.0130905-0.0234768j -0.0035544+0.0198098j -0.0207949+0.0836294j -0.00522799-0.02843j -0.0113633+0.0170407j -0.0217833-0.0157319j 0.0272508+0.0123971j -0.0426491-0.00779681j -0.026667-0.0133671j 0.0471385-0.00175994j 0.0133942-0.00333753j -0.0300512-0.00907524j 0.00191132+0.0161857j -0.00923951+0.0135889j -0.0315341+0.0243623j -0.0172735-0.0165543j -0.0231685+0.0562775j -0.00155518-0.00699276j 0.0141143+0.0171292j 0.0093167+0.0426797j -0.04284+0.0107696j 0.0149639+0.0229809j -0.0118908-0.00298105j -0.00299429+0.0264134j 0.0257293-0.0173072j 0.026183-0.00784716j 0.0464947+0.0196244j -0.0252922+0.012289j -0.0182429-0.0186758j -0.00504473+0.0302751j 0.0698599+0.0250463j 0.0179446+0.0113969j 0.0704702+0.0359633j -0.0207981+0.0140908j 0.0264632+0.0493209j -0.030823+0.0035265j 0.00260106-0.0419421j 
-0.0267631+0.00845009j 0.00566132+0.0267936j 0.011543+0.0011165j -0.0164791+0.00449496j 0.0401981+0.0574259j -0.00149898+0.0546794j 0.0371303-0.0527189j 0.0266991+0.00333302j -0.00531992-0.0821677j 0.00390487+0.00541599j -0.0316022+0.0116445j 0.0724495+0.00909471j -0.0396639+0.104002j 0.0143079+0.02162j 0.0109468+0.0142137j 0.0519258-0.0400872j -0.0189385+0.00917861j -0.0739164-0.0173325j 0.101569+0.0223516j -0.00775251-0.0671985j 0.00515172+0.0666705j 0.00796902+0.109586j -0.0107121-0.00119821j -0.0415667-0.0207859j -0.056281-0.0179538j -0.0239062+0.0682418j -0.0501122-0.0288743j -0.0959759-0.0258438j 0.0122881-0.0150065j -0.012276+0.0119269j -0.0160105+0.0248383j -0.0145876+0.028512j 0.0428337-0.0414806j -0.0774545+0.140749j -0.0163174+0.0406646j 0.00276844+0.0212796j -0.0260955+0.0184799j -0.038869-0.0280927j 0.0229555+0.0582479j -0.0238303-0.0201491j 0.0294189+0.0324378j -0.0502622-0.033153j -0.0425614+0.0401529j -0.045424-0.029477j 0.0073029+0.0860512j 0.0149475-0.0261154j 0.0286791-0.0903368j -0.0366049-0.0708824j 0.0408558-0.0316707j -0.0618415-0.0127483j -0.00668514+0.0995894j 0.102425+0.00525206j 0.00580225-0.0347355j -0.00208209-0.00922937j -0.0275922+0.00865586j -0.0156614-0.0249797j 
0.00751753+0.0366836j 0.0339622-0.00517798j 0.0304029-0.0571968j 0.0632084+0.00948658j -0.097202+0.0160929j -0.0312241-0.067143j 0.0513408+0.00346827j 0.00569647+0.0582701j 0.0354624+0.0445016j 0.122044+0.0369426j -0.103956+0.0741225j -0.062209-0.0291164j 0.041806-0.093827j 0.0309922+0.0285507j -0.029856+0.00996598j -0.0786365+0.0674519j 0.0180432+0.00227879j -0.0548308+0.00711822j 0.0604354-0.0843259j -0.0118289-0.0199522j -0.0125723+0.097295j -0.0461658+0.0472675j -0.0660695-0.00756122j -0.0670071-0.0763187j 0.0150317+0.0190639j 0.0439712+0.0856056j -0.0825447-0.0292961j 0.0510253+0.0164434j -0.0059676-0.0379568j 0.0703219-0.0717218j 0.00284167+0.0232254j 0.00890489+0.0491746j -0.00486445-0.014114j -0.0544386+0.0547052j -0.030609+0.0658323j -0.0272018+0.028573j 0.00620903+0.0522906j -0.0557759-0.0991255j 0.0742132-0.013674j 0.0397+0.0369872j -0.0416723-0.0377849j 0.0698746+0.0389276j -0.0984674+0.122183j 0.0306848+0.0589971j -0.0490789+0.0910188j -0.0586548-0.02157j 0.0282018-0.0191287j 0.0794304-0.0436124j 0.00998104+0.0022875j 0.0150419+0.0537813j 0.0344125-0.0855157j -0.0722336+0.00483229j 0.0903333-0.0810343j -0.0836862-0.0675098j 0.0306125+0.0225774j -0.0231773+0.0311187j 
-0.014632-0.00192438j -0.00927586+0.0174297j 0.00401299-0.0695554j 0.0571245+0.0155057j -0.0475862+0.0390349j -0.0216705-0.0828565j -0.0227517-0.0520481j 0.0630471+0.0220377j -0.0904759-0.0204374j -0.0203997+0.00925456j -0.0186018-0.0213427j -0.00592074+0.0380284j 0.0130063+0.0165989j -0.0525934+0.0699742j -0.00768822+0.0088692j -0.0656572+0.0733555j -0.0029068+0.0347564j -0.00400287-0.0346388j 0.141781+0.0471237j 0.0622033-0.0697565j 0.022911+0.100567j -0.0191342+0.144182j -0.0801542-0.133855j -0.112341-0.090448j -0.0947164-0.0608218j 0.108809+0.091101j -0.100623+0.00261029j -0.170009-0.0510679j 0.0486982-0.0316327j -0.0565162+0.00207807j -0.125688+0.0238497j 0.0199043+0.0503461j 0.0653535-0.0991742j -0.0595934+0.0550582j -0.0186632+0.0613346j -0.0400661+0.0788913j 0.0359044+0.0147698j 0.0292729-0.0752388j -0.0171559+0.142657j 0.014512+0.0203209j 0.0687761+0.045303j 0.097283+0.0196515j -0.018699+0.0784735j 0.0483659+0.0439994j 0.0749147+0.128937j 0.0148813-0.0203714j -0.0264146-0.085476j -0.126909-0.105158j 0.0520092-0.0405029j 0.0602143+0.00401826j 0.0356874-0.0256062j 0.0397966-0.00111892j 0.0791623-0.0529119j -0.0438787-0.0939084j -0.0447773-0.00634142j 0.00455047-0.037747j 
-0.00838769+0.0247349j 0.0291226+0.00919486j 0.0462764-0.00561829j -0.00279281+0.0320018j -0.0450831+0.0243837j -0.0583449-0.0692585j -0.0690048+0.0573286j -0.0470425-0.0460237j 0.109305-0.0778481j -0.0188213-0.0571539j -0.0543666+0.0430266j 0.0313555-0.0778882j 0.0474811-0.0566116j 0.0982883+0.066434j -0.0389021+0.118097j -0.0221595-0.0348758j 0.00722435+0.0123199j -0.128725+0.0269909j -0.00438182-0.0568456j -0.0193992-0.0595374j -0.0756009+0.0257845j -0.0165437+0.100984j -0.00402526-0.00160311j 0.0381004+0.0261148j 0.00893524-0.0351649j 0.0021786+0.0214685j -0.0765125-0.0331757j 0.0742775+0.0810606j 0.0184408-0.0202831j 0.154885-0.0574763j -0.0392153+0.0536106j 0.0379833-0.0404882j -0.0026279-0.0411088j -0.0462127+0.060637j -0.115652+0.0208875j 0.022646-0.00686821j -0.0217652+0.0073276j -0.081221-0.0677093j 0.0445974-0.020105j -0.025615+0.0596047j 0.0195876-0.00805299j 0.0412096+0.0269294j -0.0180152+0.0437419j 0.0615998+0.0613002j -0.00720901-0.0267535j -0.119377+0.0553646j 0.0727114-0.0837075j 0.0270533-0.15996j -0.0203209-0.0360225j -0.0214535+0.0859683j -0.00481737-0.00356017j -0.0673755+0.113157j 0.0285884-0.0107708j 0.00634631+0.00706757j -0.00895158+0.0638006j -0.066363-0.0124022j 
0.0592518-0.0102853j -0.00763235-0.0682445j -0.0486804+0.0830723j -0.0502607-0.0385162j 0.0406796-0.104136j 0.093775+0.140709j 0.0777511+0.0221853j -0.0134191-0.029841j 0.127932+0.0982237j 0.0452238+0.0287487j -0.00803593+0.00195993j 0.0618554-0.020527j -0.033284+0.108791j 0.0177625+0.0374464j 0.148228-0.0349444j 0.0991291-0.00937818j 0.00490785+0.0812836j -0.153676+0.0128733j 0.0792825+0.00968636j -0.0954196-0.09179j 0.0344024+0.0933419j -0.0988738+0.106349j 0.054207+0.0657815j -0.0711609-0.029127j -0.0352563-0.00514631j 0.011251+0.0972521j -0.135703+0.0977465j 0.011732-0.0478747j 0.0889698+0.0765162j 0.0488774-0.0687967j 0.0684706+0.00588377j -0.0209353+0.0802953j -0.0273347+0.00990229j -0.0930496+0.158523j -0.0437651-0.131568j -0.153127+0.0829115j -0.0464115+0.0258461j -0.0856931+0.0526193j 0.0942966+0.0470568j -0.145464+0.0104277j -0.0950621-0.0334295j -0.133696-0.101378j -0.0706316+0.133053j -0.00996142-0.115765j -0.12878-0.0808473j 0.0405416-0.00416735j 0.0559482+0.0375543j 0.0762145-0.00348683j -0.0280128+0.0939404j 0.050328+0.0264266j 0.0628033+0.102161j 0.179741-0.0507134j -0.0884859-0.0290945j -0.0287672+0.0641251j -0.0342715-0.0237463j 0.0252061-0.0375532j 
