-0.365157-0j -0.405607-0j 0.719454-0j 0.0279917-0j 0.25566-0j -0.0359955-0j -0.0427646-0j 0.0423432-0j 0.35785-0j -0.0503833-0j 0.103292-0j -0.0292062-0j -0.00421555-0j 0.0459089-0j -0.0185923-0j 0.0518051-0j 0.0160598-0j 0.00231803-0j 0.00747742-0j -0.00268357-0j -0.0260239-0j -0.00375622-0j 0.0257674-0j 0.0037192-0j -0.0316656-0j -0.00457053-0j 0.0171783-0j 0.00247947-0j 0.0518623-0j 0.00153409-0j 0.00748568-0j 0.0106285-0j 0.0294484-0j 0.00425052-0j 
0.355759-0j -0.41321-0j -0.149135-0j 0.0297662-0j 0.750996-0j 0.108834-0j -0.0423432-0j 0.0412366-0j -0.35418-0j -0.0513277-0j -0.00966548-0j 0.0292763-0j 0.00422567-0j -0.045438-0j 0.0546367-0j 0.0105664-0j -0.0173563-0j -0.00250516-0j 0.00152513-0j 0.00788613-0j -0.0257674-0j -0.0037192-0j 0.025094-0j 0.00362201-0j -0.0322591-0j -0.00465621-0j -0.0170021-0j -0.00245404-0j -0.00280144-0j 0.00751872-0j -0.000404353-0j 0.0520912-0j -0.0291464-0j -0.00420692-0j 
-0.0500888-0j -0.000852354-0j 0.0636075-0j 0.399386-0j 0.108834-0j -0.0106194-0j -0.282003-0j -0.28268-0j -0.0513277-0j 0.00500825-0j -0.260315-0j 6.03902e-05-0j -0.000833349-0j 0.311481-0j -0.00769254-0j -0.00450666-0j 0.00492313-0j -0.0679363-0j 0.0621892-0j 0.106153-0j 0.0036279-0j -0.0500629-0j 0.00363662-0j -0.0501832-0j -6.6543e-05-0j 0.000918254-0j -0.00246394-0j 0.0340009-0j 0.00199525-0j -0.104172-0j -0.0275333-0j 0.00754905-0j -0.00422389-0j 0.0582872-0j 
0.0279917-0j -0.0683711-0j 0.0146697-0j -0.468383-0j 0.021391-0j 0.287012-0j -0.155067-0j -0.167585-0j 0.0299411-0j 0.401733-0j 0.500776-0j -0.00492313-0j 0.0679363-0j -0.181697-0j 0.00142523-0j 0.00105631-0j 0.00568103-0j -0.0783948-0j -0.0145764-0j -0.0196673-0j 0.0019949-0j -0.0275285-0j 0.00215595-0j -0.0297508-0j -0.00533771-0j 0.0736572-0j 0.0014373-0j -0.0198338-0j -0.0104762-0j -0.0122716-0j 0.144565-0j 0.000889282-0j 0.00246394-0j -0.0340009-0j 
0.0423432-0j -0.0965277-0j 0.0174657-0j -0.167585-0j 0.0296341-0j -0.203144-0j 0.467896-0j 0.463097-0j 0.041479-0j -0.284342-0j -0.0535442-0j -0.00695058-0j 0.0959139-0j -0.251715-0j 0.00215595-0j 0.00125763-0j -0.00405451-0j 0.0559498-0j -0.0173546-0j -0.0297508-0j 0.00301769-0j -0.0416424-0j 0.00298674-0j -0.0412153-0j 0.00377796-0j -0.0521337-0j -0.00993469-0j 0.137093-0j 0.000328085-0j -0.0170004-0j -0.00452738-0j 0.00123197-0j 0.00341342-0j -0.0471032-0j 
0.0258718-0j -0.0292062-0j 0.0518051-0j -0.00198324-0j -0.0546367-0j 0.00769254-0j -0.00307932-0j -0.00300006-0j 0.0257674-0j -0.0036279-0j 0.00743762-0j -0.199094-0j 0.000298676-0j 0.00330572-0j -0.38229-0j 0.353148-0j -0.111262-0j 0.000166913-0j -0.000529783-0j 0.000573502-0j 0.180293-0j -0.000270471-0j 0.175653-0j -0.000263509-0j 0.219379-0j -0.000329106-0j -0.119011-0j 0.000178537-0j -0.359302-0j -0.000547004-0j 0.000539015-0j 0.364627-0j -0.204019-0j 0.000306063-0j 
-0.00373427-0j 0.00421555-0j -0.00747742-0j -0.0273676-0j 0.00788613-0j 0.106153-0j -0.0424927-0j -0.041399-0j -0.0037192-0j -0.0500629-0j 0.102635-0j -0.000298676-0j -0.192877-0j 0.045617-0j -0.000573502-0j 0.000529783-0j -0.000166913-0j -0.107788-0j 0.34212-0j -0.370353-0j 0.000270471-0j 0.174663-0j 0.000263509-0j 0.170168-0j 0.000329106-0j 0.212529-0j -0.000178537-0j -0.115295-0j -0.000539015-0j 0.353242-0j -0.348082-0j 0.000547004-0j -0.000306063-0j -0.197648-0j 
0.0292062-0j 0.000975455-0j 0.0364938-0j 0.00492313-0j -0.021039-0j -4.33985e-05-0j -0.0068227-0j 0.00695058-0j -0.0294484-0j -6.07452e-05-0j 0.00315737-0j -0.00675795-0j 1.01381e-05-0j -0.00377796-0j -0.143076-0j -0.252829-0j 0.542085-0j -0.00081322-0j 0.000379287-0j 0.000214639-0j -0.200265-0j 0.000300432-0j 0.204019-0j -0.000306063-0j 0.00367326-0j -5.51052e-06-0j -0.678619-0j 0.00101805-0j -0.11014-0j -0.000126245-0j 0.000165229-0j 0.0841534-0j 0.233164-0j -0.000349786-0j 
-0.00421555-0j -0.000140795-0j -0.00526742-0j 0.0679363-0j 0.00303672-0j -0.000598873-0j -0.0941491-0j 0.0959139-0j 0.00425052-0j -0.000838248-0j 0.0435698-0j -1.01381e-05-0j -0.00654693-0j -0.0521337-0j -0.000214639-0j -0.000379287-0j 0.00081322-0j 0.525157-0j -0.244934-0j -0.138608-0j -0.000300432-0j -0.194011-0j 0.000306063-0j 0.197648-0j 5.51052e-06-0j 0.00355856-0j -0.00101805-0j -0.657428-0j -0.000165229-0j 0.0815256-0j -0.106701-0j 0.000126245-0j 0.000349786-0j 0.225883-0j 
-0.00198324-0j -0.00492313-0j 0.00105631-0j 0.0331854-0j -0.00457143-0j -0.0613369-0j -0.0111658-0j 0.0118736-0j 0.00215595-0j 0.0289273-0j 0.0360589-0j -0.0335603-0j -0.00481336-0j -0.0130833-0j 0.0293051-0j 0.00720071-0j -0.0393581-0j -0.0056449-0j 0.00103276-0j 0.00420306-0j -0.0138207-0j -0.00198222-0j 0.0146968-0j 0.00210787-0j 0.0369796-0j 0.00530377-0j -0.00995758-0j -0.00142816-0j 0.0725789-0j 0.00437561-0j 0.0104096-0j 0.0305082-0j -0.0170701-0j -0.00244827-0j 
0.0546367-0j -0.021039-0j -0.00759337-0j 0.00457143-0j -0.0120636-0j -0.00174826-0j -0.00215595-0j 0.00633304-0j -0.0180334-0j -0.0026134-0j -0.000492127-0j -0.432598-0j 0.000648971-0j -0.00231352-0j 0.084443-0j -0.156133-0j 0.0850255-0j -0.000127553-0j 0.000234226-0j -0.000126679-0j 0.12623-0j -0.000189367-0j -0.370798-0j 0.000556261-0j 0.158032-0j -0.000237075-0j 0.0832902-0j -0.00012495-0j 0.0137238-0j -0.00098281-0j -2.0588e-05-0j 0.655132-0j 0.142783-0j -0.0002142-0j 
