0.00888052-0.00438293j 0.00140081+0.00936159j 0.00811192-0.00847805j 0.00768358+0.00263708j -0.00180499-0.0140195j -0.00417085+0.00309215j 0.00646063-0.00587286j 0.00867995-0.00963185j 0.00457595+0.00179092j -0.0023251+0.00202455j -0.00271421+0.0124359j 0.0030964-0.0114112j 0.00438958-0.00740148j 0.00157046+0.00187558j -0.00496427+0.0117285j -0.00757765+0.00845824j -0.00819122-0.00633799j -0.0037249+0.0153406j -0.0014304+0.0106647j -0.0034502+0.00389906j 0.012056-0.00383399j -0.00854834-0.00243142j 0.0220587-0.0110873j 0.0164728+0.0165815j -0.00919157+0.06099j -0.0617666-0.00535046j 0.0103297-0.0189199j -0.137822+0.112353j 0.117734+0.0671363j 0.0468235+0.000416589j 0.0141805-0.0293606j -0.0194945+0.0142068j -0.0210334+0.00563739j 0.00923912-0.0109246j 0.00865306-0.00719738j -0.0210241-0.000460802j -0.0180407+0.0109175j 0.00971582-0.00250441j -0.00474574+0.00242718j 0.00219241+0.00836945j 0.028318-0.00766931j 0.00929699-0.00136113j -0.00385885+0.000170914j 0.00210607+9.45156e-06j 0.0179832+0.000933807j 0.0112192-0.00650229j 0.000236178-0.000637311j 0.013382-0.000107938j -0.00162891+0.00232111j 0.0035114-0.00781076j -0.00057777+0.0053463j 0.000722697-0.000413896j -0.0150124-0.000183251j -0.00279591-0.000241434j 0.00136114+0.00281274j 0.00265884-0.00282971j -0.00147716-0.00521556j -0.0187287+0.00360224j -0.0107582+0.0161054j 0.0156622+0.0108897j 0.0323721-0.00834551j -0.00433802-0.00132121j -0.0180348-0.0140272j 0.0356472+0.00534947j -0.00446988+0.00823865j -0.00345222+0.00860892j 0.0241701+0.00723996j 0.0343165+0.0180693j 0.0441082-0.00822272j 
0.00346951+0.00840578j -0.00847177+0.004443j 0.00689566-0.000559047j -0.00622419+0.00852078j 0.00639121-0.00574984j -0.00350039+0.0141552j -0.00938659+0.00513235j -0.00605633+0.00279229j -0.0102649+0.00507977j -0.00474467-0.0040109j 0.00620228-0.00989055j 0.0058098-0.00684151j -0.00617922+0.000696048j 0.00257627-0.00147359j 0.0023167-0.00188026j -0.00296339+0.0019021j -0.0124805+0.005782j -0.00183055-0.0165042j 0.00622126+0.00884547j 0.0022189-0.012533j 0.015021+0.00597145j -0.0107037+0.0056622j -0.00999226-0.0437951j 0.0193156-0.0297226j 0.0020098-0.00783116j 0.000760464-0.045759j 0.0543065+0.0104243j 0.114637+0.0668996j 0.129764-0.11415j 0.0198475-0.0280668j -0.0529288+0.00251113j 0.0242385-0.00204982j -0.0173679+0.0116661j -0.000453348-0.00277559j -0.0185006-0.00597091j -0.0105907+0.00931334j 0.00655176+0.0019126j -0.00486927-0.000830888j -0.0028314-0.00255145j 0.0173195-0.00335891j -0.00804182-0.00583614j -0.000228738-0.00438121j 0.000508667+0.000175697j -0.00278163-0.00153068j -0.000643442-0.00263836j -0.00545016-0.00187947j 0.00178217-0.000541898j 0.00641682-0.00686509j 0.00384214-0.00177865j -0.000477506+0.002922j 0.0183788-0.0016446j -0.00446113+0.00101852j 0.0032551+0.00385917j -0.00673008-0.00398775j -0.00979121+0.000829279j -0.0130974-0.00093029j -0.00709413-0.00363873j -0.00854239+0.0147908j 0.0237121-0.00735663j 0.034014-0.00782491j 0.0059479-0.0111493j 0.0237244+0.00339898j 0.0246612-0.00593438j -0.00133218+0.0122521j -0.0382006-0.0225859j -0.0206465-0.00995003j -0.0125191+0.00462744j -0.0409168+0.00737732j 0.0323979+0.0148995j 
0.00633863+0.00454693j -0.00625804+0.0052346j 0.00188752-0.00498625j 0.000244103+0.000205473j -0.0020652-0.00209439j -0.00168175+0.00989161j -0.00132015-0.00152237j -0.00546437-0.0170625j -0.00526187-0.00216745j 0.00100467+0.00934871j 0.00709354+0.00652656j -0.000975202-0.00474323j -0.00483065-0.00291644j 4.38772e-05-0.00145316j -0.00131715+0.0169219j -0.00403734+0.0177101j -0.0152836+0.000931541j -0.00245669+0.0195246j 0.00366038+0.029261j 0.00800546-0.0108742j 0.019044+0.00560554j -0.0177865-0.0184515j 0.00291573+0.0444992j 0.0249129-0.0418323j -0.0302137-0.0144491j -0.0840438+0.0850865j 0.016732+0.0844383j -0.0109188+0.00661146j -0.000423563+0.00028052j 0.0111635-0.0123574j -0.0147591+0.00049754j -0.00374391+0.00283704j -0.01098+0.00352165j 0.00696006-0.00261343j -0.0070048-0.00398386j -0.00782884+0.00319006j -0.0243317+0.0110028j -0.0065578+0.00123511j -0.0147217+0.000584587j 0.00241107+0.00104797j 0.00927558-0.00274088j 0.00181722-0.000753807j -0.00476229+0.00206486j -0.0110628+0.00520868j 0.00777792+0.000513526j 0.0139701-0.00716983j -0.00188176+0.00276182j 0.0131156-0.00591447j -0.00311405-0.00344673j 0.0301966-0.0109767j 0.00581426+0.00331942j 0.00874041-0.00385067j 0.00128529-0.00216583j -0.00427694+0.00309583j 0.00550037+0.00528377j 0.0191427-0.0136708j 0.000200297-0.00305415j 0.0235651-0.000824059j -0.0114577+0.000499869j 0.00173623+0.00528795j -0.0381815+0.00235828j 0.020509+0.0153317j 0.031594+0.0079184j -0.00287304+0.00444945j 0.0313697+0.0152585j 0.0304987+0.0230084j 0.00371615-0.00155266j 0.00909549+0.00314893j 0.0126227-0.00249945j 
-0.00290857+0.00792735j -0.00897827-0.0023894j -0.00632704-0.00736093j 0.00154512-0.00169807j -0.00496598+0.00533627j 0.00139357-0.00194866j -0.00583443+0.00892395j -0.00672747-0.0151695j -0.0125701-0.00497816j -0.0019345+0.0201325j 0.00260791-0.00702528j 0.00439555+0.00474747j -0.00874499+0.00401612j -0.000551963-0.00799744j -0.0021039+0.00665634j -0.000395123+0.0214218j -0.00600314+0.016917j -0.0178651-0.0169298j 0.00891975+0.00117786j 0.0111297-0.0188558j 0.0155494-0.0149404j -0.0063022-0.00915723j -0.0272482-0.0100531j 0.0168066+0.0677941j -0.0235671-0.0526567j -0.00526645+0.0680147j 0.051286-0.0559521j 0.00911181+0.00263693j 0.00611562-0.000377529j -0.00848067-0.00615093j -0.0173535+0.013503j 0.00151308+0.00417996j -0.0131111+0.00119206j 0.0130476+0.000925206j -0.0137745+0.00564334j -0.00102962+0.00307717j -0.0153792+0.00942569j -0.0125274+0.00562436j -0.0200211+0.00348484j 0.00243193-0.00569023j -0.00723234+0.000462481j -0.00244872-0.000227102j 0.000899393+0.00659003j -0.00401364+0.00227042j -0.00459351-0.00133819j -6.1222e-05-0.0026521j 0.00271999+0.00315636j 0.00625828-0.00841935j -0.0127954+0.000498356j -0.00644085+0.00787679j 0.018026+0.000289841j -0.00512725-0.0088236j 0.00552417+0.00222216j -0.006043-0.000454498j -0.0106746+0.000524023j -0.0319988-0.0046365j 0.00489518+0.000271355j -0.0388365-8.53845e-05j -0.00324394+0.00299516j -0.0358414-0.00554992j -0.0241546-0.00514799j -0.0183923+0.0081829j -0.0130346+0.0030707j -0.00601272-0.000546834j -0.022555-0.00935803j 0.0195564+0.0062474j 0.0150044+0.0089924j -0.00902718+0.00273508j 0.00647617+0.00123186j 
0.00299661+0.00138628j -0.00217323+0.002538j 0.00271011-0.0046351j 0.0023695+0.00467565j -0.000779726-0.0102026j 0.0011438-0.00044223j -0.00490604-0.00237549j 0.00145597+0.000798694j -0.00341141-0.00536178j -0.00403034-0.00459791j -0.00105356-0.00547978j 0.00124933-0.0184513j -0.00785247-0.0214869j 0.00702069+0.00811063j 0.00141394+0.0140056j 0.00432285+0.0140053j -0.011622-0.0499038j 0.00294577+0.00488431j -0.00459468-0.0865008j 0.0116064-0.0404248j 0.0087419-0.000863037j -0.0122885+0.0688129j 0.0302714-0.053777j 0.0117839+0.0575763j -0.0209675+0.033995j 0.00293626+0.00369435j -0.00499697-0.000439909j -0.00675277+0.00235699j 0.00564693+9.39809e-06j 0.00546735-0.00385246j -0.00349626-0.000205988j 0.00222687+0.00171525j -0.00960463+0.00452171j 0.00648498-0.00448345j 0.00515149-0.00247733j -0.00223527-0.000617475j 0.00384802+0.000139142j -0.00247716+0.0019194j 0.00242852-0.000443267j 0.00359503+0.00119953j 0.00869685-0.0065408j 0.0139623-0.00605392j 0.00900746+0.000646616j -0.00873583+0.00289304j -0.0122853+0.00748108j 0.00490306-0.00373911j 0.00229489+0.0013572j -0.00359186+0.00819143j -0.0416147+0.0148025j -0.0148575-0.00112548j -0.00885321+0.00353633j -0.0100924-0.00583411j 0.0329704-0.00258412j 0.0144386+0.00299098j 0.00298931-0.0040428j 0.0260735+0.00661281j -0.0322069-0.00120146j -0.0182674-0.00470845j -0.0282178-0.00928287j 0.0270937+0.00643628j -0.0237309-0.0114675j 0.00984834+0.00773265j -0.0161477-0.0117186j -0.0249612-0.00736185j 0.00591981+0.00472706j 0.000782594+0.00164033j 0.00351942+0.00120311j 0.00335195+0.0008498j 0.00628565-0.00105753j 
0.00372142+0.00511973j -0.00611231+0.00318492j 0.00405463+0.00346806j -0.00528155+0.0049795j 0.00406475-0.00590484j 0.00724532+0.030721j -2.07844e-06-0.000495038j -0.00405266+0.00599061j -0.00187129-0.00517884j -0.00515747-0.0169204j 0.0112517+0.0159069j -0.00427379-0.0333165j -0.0128883-0.00945675j 0.00252392+0.00320205j 0.0116111-0.0131237j -0.0042772-0.0583924j -0.0210511+0.00761221j 0.00705348+0.000710413j 0.00723518-0.00217454j -0.00341314-0.0206559j 0.0178536-0.032865j -0.0192065-0.0328949j 0.0209165-0.067045j 0.0191231-0.0358747j 0.0246012-0.00603567j -0.00929533+0.000858684j -0.00250366+0.0100959j -0.00303076+0.00741597j 0.0123499-0.00167557j 0.00644734-0.00819779j -0.0119397+0.00291204j 0.00798347-0.0049495j -6.05144e-05+0.00167667j -0.0091507+0.000589862j 0.00725347-0.0133852j -0.0188352+0.00996352j 0.00123129+0.00272595j 0.00314178+0.00041671j 0.000381456-0.00214804j -0.00547367+0.010229j 0.0186374-0.00689065j 0.0147019-0.00704872j -0.00643465-0.00330665j -0.00849646+0.00230355j 0.00956956+0.00387208j -0.0148802+0.000413939j -0.00941113-0.00251448j -0.00970835+0.00136839j 0.0234004-0.000700558j -0.00390065-0.00219078j -0.0268721+0.00211036j 0.0308891+0.00970701j 0.0403837+0.00375488j -0.0240502-0.0131394j -0.0246651-0.00288738j -0.0312337+0.00339271j 0.0183488-0.00492571j -0.00250868+0.000804035j 0.00956815-0.00507072j -0.00703587+0.00657655j 0.00916066+0.00428781j -0.0124339+0.00232996j -0.0310334-0.0142585j 0.0119676+0.00776429j 0.0184778+0.00390253j -4.30133e-05+0.000915437j -0.00106439-0.000122492j -0.000617108+0.00243038j 0.0108547-0.000697327j 
-0.00412269+0.00639225j -0.00732926-0.00368324j -0.0051659-0.00941908j 0.0047037+0.00457481j -0.000581488-0.00014285j 0.00806435-0.00103071j -0.00839064+0.00144347j -0.00902826-0.00560697j -0.0113651-0.013592j -0.00225093+0.0157358j -0.00453143-0.0315512j 0.00797221+0.00074748j -0.0165941-0.0191083j -0.0047462+0.014387j -0.00513694+0.0245729j 0.00144479-0.0522728j -0.0171225+0.0359644j -0.0140057+0.025043j 0.0145958-0.0202069j 0.0150274+0.0642828j 0.00425577+0.0596298j -0.0079364+0.060259j -0.00552162-0.00632311j 0.0127914-0.0191633j -0.00774654+0.0133919j -0.00294345+0.0164702j 0.007984-0.0107751j 0.00513335+0.000784111j 0.00496611-0.0025791j -0.00757953-0.00156458j -0.00936317+0.0102263j 0.00511235+0.0041431j -0.0147306+0.00659153j 0.00861685+0.000463953j 0.00138935+0.00044339j -0.00236711+0.00207908j -0.00622321+0.00343696j -0.0056067+0.00451459j -0.0126334+0.00169616j 0.0177582-0.0116416j -0.00438996-0.00410066j 0.00256283-0.0053164j 0.023301+0.00378163j -0.0158629+0.00348666j -0.0215287+0.00560011j -0.0125082+0.00294743j 0.0208549-0.00478257j -0.00437454+0.001154j 0.024166-0.00370341j -0.00323404+0.00172807j -0.0247432+0.00417361j -0.0123343-0.00746477j -0.0207383-0.00336366j -0.0324556-0.0035791j 0.0168933-0.0168242j 0.0110188+0.000267839j 0.0298124+0.00949706j 0.0140505+0.00182106j 0.00260956+0.00209496j -0.0131929-0.00300265j 0.0116937-0.00425513j 0.0227707+0.0080921j -0.0114741-0.00069507j -0.00348649+0.00240508j -0.000220476+0.00130517j 0.00486612+0.0025203j 0.00931363+0.0020017j -0.00515234+0.00179685j 0.0042528+0.000871833j 
0.00106586-0.00208654j 0.00286451+0.000733105j 0.00427759+0.0143478j -0.00746492-0.00178318j 0.00202576+0.00447893j -0.000700602+0.00468398j 0.00403414-0.0066939j 0.00224421+0.00941486j 0.0120877+0.00680417j 0.0067542-0.0332063j -0.00623434-0.0366259j -0.0177845-0.0182641j 0.00650168-0.0274653j 0.00502138+0.0278923j 0.00360127+0.025485j 0.0128884-0.0339653j 0.00372846+0.0391651j 0.0195537+0.0162984j 0.00150477+0.020098j 0.0122835-0.0571032j -0.0177858+0.0510605j 0.00284117+0.0134955j 0.00909473-0.000563474j 0.00299507+0.00417874j 0.00887155+0.00919654j 0.0036575-0.0159363j -0.00640036+0.00666007j 0.00454527-0.000647499j -0.00484723-0.000725824j 0.00116983+7.93025e-05j 0.00234887-0.00357821j 0.00317402-0.00811839j 0.0168362-0.00521435j -0.0122814+0.00185926j 0.00592154-0.00369307j 0.00895532-0.000679254j 0.0091345-0.00819708j -0.0104992+2.07871e-05j 0.0205712-0.00854962j 0.020438-0.00320839j 0.00623213-0.00440907j 0.0181394-0.00589849j 0.0250144-0.00991674j 0.0102308-0.00380584j -0.000739436+0.00558186j 0.0154904-0.00115994j 0.0449685-0.01157j 0.03527+7.07685e-05j -0.0271795-0.00350512j 0.0243401+0.00125835j 0.0247371-0.00257223j 0.0264221+0.00114132j 0.0210753-0.00667688j -0.0179089-0.00227776j 0.030125+0.00621586j 0.0155602+0.0115983j 0.0042273+0.00034493j 0.00950211+0.0100138j 0.00181896-0.00278418j -0.00321758-0.00536764j -0.0347423-0.0112595j -0.0026007-0.00274069j 0.00188724-0.00140678j 0.00126044-0.00257275j 0.00518021+0.00115872j -0.00650161-0.00485262j -0.00907328-0.00156654j -0.000589431-0.00088014j -0.00491493+0.000388304j 
0.00211764+0.00310203j -0.00345077+0.00203012j 0.000791322-0.0030568j -0.000549841+0.00276916j 0.00123654+0.000911976j 0.0011343+0.0120456j -0.0024196+0.00884277j -0.00908144-0.0203705j 0.00191659+0.0584612j -0.0184277-0.00474345j 0.00818176+0.0223101j 0.00426056+0.0466356j -0.00639659-0.0347951j 0.00675395+0.0645557j -0.00415955-0.0538911j -0.010887-0.000524148j -0.013316+0.0365044j -0.000334752-0.00109929j -0.0114559+0.0591383j 2.82798e-05+0.0162859j -0.000619495-0.0191418j -0.00266241+0.00941264j 0.000687265+0.00653549j -0.00275038+0.00505546j 0.00109975-0.00505372j -0.00434735+0.00437302j 0.00228079+0.00223416j -1.41225e-05+0.00397392j 0.0082811-0.00180337j 0.00358527-0.00395867j -0.00658742+0.00125811j 0.00219458+0.000863004j -0.00531641+0.00214074j 0.0014148+0.000564609j -0.0147067-7.83722e-05j -0.00682137+0.00533273j -0.0160161+0.00883908j 0.0174987-0.0151139j 0.0120474-0.00742959j 0.00552529+0.000899787j 0.0121305-0.00721028j -0.0287018+0.00648813j 0.011299-0.0097137j 0.0392435+0.00391889j -0.0324113+0.00536387j 0.00773861+0.00883804j 0.00851955+0.00465665j -0.0142154-0.00645807j 0.00271221+0.00193223j 0.00447635+0.000372822j 0.015954+7.45559e-05j 0.0323859+0.00646405j -0.0126452+0.00100375j -0.0125702-0.00836362j -0.0143368-0.0060833j 0.0345219+0.00113228j -0.0154442-0.00478057j 0.00540464+0.00291618j 0.0246394+0.00786602j 0.00978242+0.00378261j 0.00771896+0.00181406j 0.000892432+0.00188775j 0.00117295+0.000517333j 0.0019799+0.00109665j 0.00060684-0.000217325j 0.00244135+0.00126611j 0.00191779+0.000424984j -0.00170974+0.00130643j 0.00564997-0.000178264j 
0.0055416-0.00810561j 0.0083809+0.00597213j 0.00449138-0.00496464j 0.00292584-0.00488821j -0.00529785-0.0109015j -0.0193071-0.0422066j -0.0019322-0.0156522j 0.0165521-0.0256347j 0.0140999+0.0387902j 0.00116404+0.0411293j -0.00743356-0.00726877j 0.0107718-0.0083438j 0.0195382-0.0341817j 0.00147276-0.0228509j -0.0156327+0.00253193j -0.00831723-0.029583j 0.0124227-0.0175941j -0.0131559+0.0515036j -0.0140017+0.0102427j 0.00098031+0.0178771j -0.00774003+0.0156578j 0.00596097-0.00619877j -0.00351168+0.0142632j -0.00969638+0.0175224j -0.00792209-0.00402535j 0.00458881-0.00725968j -0.0040256+0.00275405j -0.0138727-0.000355487j -0.00411423+0.00597625j 0.00958701+0.00157897j 0.0120679-0.012389j -0.0122973+0.00541322j -0.00203515-0.00225095j 0.0172484-0.00952272j -0.00283331+0.010897j 0.0223571-0.017968j -0.0123268+0.00227767j 0.00573989-0.00753998j -0.00355502+0.00322504j -5.1875e-05-0.00202686j 0.00899272-0.00338814j 0.00493105+0.00444359j 0.0253053+0.00555217j 0.0154885+0.0064393j 0.0208501+0.00014214j -0.0564057+0.00138467j -0.0246504+0.00676584j 0.0158837+0.00324245j -0.00074409-0.000179803j -0.00357672-0.0125766j 0.00255687+0.00242503j 0.0180433+0.000384064j 0.0154351-0.00544043j -0.0246474+0.0035143j 0.00506169+0.0045537j -0.00131413+0.00144813j 0.0218383+0.00525188j -0.0215793-0.00525461j 0.0154706+0.00914302j -0.00179891-0.0012453j -0.00310974+0.00162208j -0.0014367-0.00241125j 0.0153172+0.00499878j -0.0163786-0.00398822j -0.00588787-0.00260466j -0.000948502+0.00129331j -0.00194538-0.000551563j 0.00939111-0.00151732j -0.0017957-0.00174783j 
0.0038964-0.00238292j 0.00253071+0.00414208j 0.00580319+0.00433133j -0.00190537+0.00420082j -0.00456181-0.0190585j -0.00465324+0.0132395j -0.0103187-0.0427379j 0.0100272+0.0577454j 0.00859793-0.0142583j 0.0174363+0.0514542j 0.00424914-0.0519182j 0.0131845-0.0219675j 0.00752263-0.059664j -0.00914989+0.0628341j 0.000288958+0.0188023j -0.000926345+0.00862719j 0.00652499-0.0147215j 0.00104543+0.000515404j 0.00292178-0.0145913j 0.000752756+0.00296223j -5.07202e-05+0.00542417j 0.00206381-0.00221919j 0.00319221+2.43845e-07j 0.00202486-0.00210443j 0.00125387+0.00465576j 0.00259109-0.00848977j -0.00546297+0.00492036j -0.0052067+0.0021769j 0.00183836+0.0011084j 0.00599904-0.00166903j 0.00232628-0.00546189j 0.0021282-0.00207608j 0.00389179+0.00097675j -0.00449564-0.00814132j 0.0277044-0.0142344j 0.00317595-0.0100323j 0.00938533-0.0110487j 0.0190344+0.00361774j -0.0362757+0.0143967j 0.0300932-0.010331j 0.0264373-0.00779083j -0.039478-0.00326011j -0.0302245+0.00178113j -0.00501743+0.00145117j -0.0245767+0.0123775j -0.0193234-0.00404677j 0.0155837-0.0065239j -0.00711531+0.0039287j 0.0505811+0.0111319j 0.00752344-0.000276492j 0.00100424+0.00410053j -0.00652227+0.00282922j -0.0160436-0.00411701j 0.00967386+0.00413191j 0.00947979+0.00333929j -0.00784202-0.00167099j 0.00881636+0.00219439j -0.00701324-0.00137892j -0.00338866-0.00199749j -0.00850816-0.00116352j -0.00189026+0.000115257j 0.00189256-4.19763e-06j -0.00138052-0.00107173j -0.00366741-0.00187277j 0.00368295+0.000397961j -0.00317339-0.00123789j -0.00330545-0.000165127j 0.00307217-0.000191535j 0.00114461-0.000656104j 
