-0.00278688+0.0090429j -0.00219785-0.00748848j -0.0014035-0.000120909j 0.000867765+0.00797066j 0.000422796-0.00509787j -0.000976487-0.00283779j -0.00174605+0.00411669j 0.000864931+0.0045781j -0.000167983+0.00199411j 0.00128238+0.00249956j 0.0011967-0.000491013j -0.000452143+0.00404048j 0.000598284+0.00325098j 0.000676428+0.00458616j 0.000286838+0.000242708j -0.000756405-0.0015895j -1.91272e-05+0.00119655j -0.000990945+0.00204899j -7.47926e-05+0.00117775j 0.000425822-0.000331742j 4.20948e-05+0.00368789j 0.000167372-0.000180666j 0.000154987-0.00115912j -0.000488638-0.00149851j -0.000404413-0.000888004j -5.51966e-05+0.002682j -0.000233984-0.00191142j -0.000237688-0.00102732j -0.000519205+0.00186648j -0.000157687-0.000424283j 0.000583005+0.000839052j -4.70432e-05+0.00231839j 0.000156056-0.00154222j 0.00012055+0.00120175j 0.00074862-0.000259961j -0.000293749-0.00108847j -1.53656e-05-0.00197612j 0.00012636-0.000953085j 0.000721522+0.000941156j -0.000679225+0.00293366j 0.000107446+0.000846535j 0.000966607+0.000222871j -0.000691389+0.00245958j 0.00056363+0.00118366j -0.000275043-0.00195222j -7.25564e-05+0.00125235j -0.000411261+0.00129667j -0.000210624-0.000199869j 0.000215727+0.000584695j 0.000448392+0.0019154j 0.000403745-0.00219122j 0.00140172+0.00107547j -0.0015494-0.00176674j -0.000475963+0.0007235j 0.00150373-0.00401069j 0.00117432-0.00279385j 0.00203612+0.00337981j -0.00234818+0.00094671j -0.000939464-0.00721874j 0.00239607-0.00256751j 0.00140065-0.0047072j 0.00197147-0.00340301j 0.00745007+0.00319478j 0.00166669+0.0184856j -0.0197678+0.00787616j -0.0194067-0.0220646j -0.0600022+0.0141828j -0.0215002-0.0351228j 0.0156204-0.043458j 0.227047-0.0101654j 
-0.00287986-0.00755464j 0.0033752-0.00903194j -0.000567048-0.00793354j -0.0017612-0.00107313j -0.000339663-0.00499404j -0.00185909+0.00671447j 0.000326447-0.0023805j -0.000492521+0.0026312j 0.000595951+0.000616661j -4.7162e-05+0.0004078j -0.00049489-0.00491826j 0.000491277-0.00412952j -0.000701886+0.00192208j -1.58628e-05+0.00257478j 0.000168661-0.000908602j -0.000420478+0.00446634j 0.000664889+7.0142e-06j 0.00114219+0.000745864j 0.000200872+0.0015824j 0.0003401-0.00105874j 0.000590163+0.000550109j -0.00120569+0.00398869j 0.000114616-0.00306335j 0.00090075+0.00396269j -0.00027179+0.00247224j 0.000717279-0.000482595j -0.000148317+0.000926859j -0.000667627-4.95411e-05j 0.000444072+0.002148j 0.000175228+0.000742244j 0.00073466-0.000134597j -0.000274181+0.00275306j -0.00139387-0.00015214j -5.41916e-05-0.00192906j -0.000657895+0.000618207j 0.00031142-0.0012829j -0.000759783-0.00130798j -0.000821021+0.0026174j -0.000600011-0.000858142j 0.000100406+0.000636304j -2.89521e-05+0.00135207j -0.00020639-0.00391251j 1.25375e-05-0.00150535j 0.000262627+0.00096118j -0.000727591+0.00271047j 0.000837769+0.00115216j -0.000421622-0.000773986j 0.000899766+0.00363424j 0.00235323+0.00243255j 0.00125779-0.000356639j -0.000559384-0.00127092j 0.000370213+0.000329539j -0.00113167+0.00321641j 0.0012674-0.00217884j -0.00203186-0.00570066j -0.000831141+0.000264635j -0.000323173-0.00536059j 0.00316633+0.00122403j -0.0037326-0.000107757j 0.000112216-0.00697459j -0.00136285+0.00561442j 0.00286204-0.0042058j -0.00600771-0.00371591j 0.020061+0.00237752j 0.0105609+0.0331273j -0.0153735+0.0144955j -0.0203809-0.0349909j 0.0662609-0.0126161j -0.224711+0.0101129j 0.0158797-0.041751j 
-0.00449853-0.00413784j 0.00374886-0.00835188j -0.000938682+0.00435633j 0.000575886+4.22467e-05j -0.000735523+0.0011869j -0.00295551+0.00652287j -0.000580363+0.00567306j 0.00221058+0.00439179j 0.000862339+0.0130027j -0.000194729-0.0042827j 0.00208184-0.000438875j 0.000511467+0.00112915j 0.000638854+0.000196751j 0.00116187-0.00082351j 0.000422645+0.0040986j -0.000478812-0.000508086j 0.0011131+0.00698226j 0.00130618+0.0056633j 6.89151e-05+0.00818209j -0.000143488-0.00474505j -0.00133743-0.00407312j -0.000510354+0.000605167j 9.38351e-05+0.000448774j -0.00141685-0.00190603j -0.000331607+0.00472195j 0.000500257+0.00145004j 0.000329945+0.00519408j -0.00096923+0.000147627j -0.000177585-0.00307286j -3.93311e-05+0.0018489j 0.000663013-0.00331131j -0.00149581-0.00310603j -0.00213495-0.00687683j -0.000379976-0.00115367j -0.00253532+0.00179169j 0.00137509+0.00585998j 0.000914237+0.00553247j -0.00244873-0.00895457j -0.00102173-0.00607276j -0.00136652+0.00577854j 0.000397511+0.00142116j -8.11618e-05-0.00138465j -0.000482871+0.00681818j 0.00079196-0.00412674j -0.000712395-0.00173622j 0.00161327-0.00545784j -0.000477707+0.00207644j 0.00259098-0.000131207j 0.00552419-0.000666416j 0.000121357-0.00984527j 0.000516416-0.00219721j 0.00227491-0.00153128j -0.00314718-0.0120599j 0.00266358+0.00298178j -0.00154023+0.00338454j 2.83896e-05-0.0185582j -0.00388459+0.00220122j 0.00203864+0.0192396j -0.0157665-0.0179265j 0.0133388-0.0158289j 0.0195195-0.00155045j 0.024135+0.0225946j 0.014569+0.0490616j 0.0532199-0.0278902j -0.0410334+0.00554854j 0.037801-0.0079031j -0.144719+0.00682228j -0.0455314+0.0729002j 0.000751338+0.0027091j 0.0236973-0.00343178j 
0.00305005-0.0073211j 0.00356286+0.00430203j -0.00252709+0.00467439j 8.57535e-05+0.00812588j -0.00269247+0.00391297j -0.00166397-0.00374755j 0.000457608-0.00234612j 0.00203735+0.00959001j 0.000622863+0.00395713j -0.000865064-0.00732582j 0.000347927+0.00283513j 0.00123653-0.000482697j -0.000823901+0.00268877j -0.0012283+0.00478145j 2.15832e-05-0.00368882j 9.0388e-05+0.00102872j 0.000508909-0.000676004j 0.000737902-0.00405183j 0.000245219+0.00325741j 5.70685e-05-0.000197516j 0.00148248+0.00128357j -0.00227515+0.00252252j 0.000528782-0.00281087j 0.00260623-0.00251995j -0.000503375+0.0053817j 5.60011e-05+0.00161957j -3.23799e-05-0.00109383j 0.000141899+0.00486529j -0.000466555-0.000173555j 0.000213376+0.00152229j -7.67901e-05+0.000689352j -0.000157747+0.00270611j -0.000597689+0.00407244j 0.000101165+0.00241576j 0.00228038-0.00132704j 0.000816521-0.00357828j -0.00104074-0.00476863j -0.000926205+0.00137904j -0.00117635-0.00253355j 0.000303727+0.00287635j 0.000536567+0.00287913j -0.0026087-0.00172992j 0.00185905+0.00179589j -0.000381477+0.00255832j 0.00136847+0.00858539j 0.000632832+0.000919811j -0.00417969-0.0101093j 0.00246763+0.00334278j 0.00387246-0.0045457j 0.00125086+0.000294573j -0.000246507+0.00222896j 0.0024102+0.00178421j -0.00119855-0.00431706j 0.00261405-0.00313275j -0.00535594-0.0122086j -0.00345546-0.00235772j -0.0150277-0.0157058j 0.0145108+0.00856105j -0.00375122+0.0337008j 0.000113089-0.0360025j -0.00793137-0.00470281j 0.0142792+0.00657673j -0.0686786+0.00947038j 0.00611286+0.0576525j -0.00775495-0.0490267j -0.0107154+0.0335569j -0.0390954+0.0597298j 0.121489-0.00320345j -0.0187007+0.00221368j 0.000806399+0.00203101j 
-0.000896162-0.00163042j 0.00139282-0.00247782j 0.00408197-0.00405082j -0.00116813-0.0100335j 0.00204079-0.00643478j 0.00257211+0.00765045j -8.6558e-05+0.00191882j -0.0024335-0.00173725j -0.00145022-0.00368255j 0.00135166+0.00237065j -0.00128023-0.00199023j -0.00016686+0.00395787j 0.000209537-9.46001e-05j 0.000813476+0.00493842j -0.000194864-0.000468158j 0.000655719+0.0126284j -0.000243364-0.00625531j -0.000423836+0.00371525j -0.00215116-0.00885756j -0.000131021+0.0021412j -0.000336964-0.00453432j -5.83362e-05-0.00139364j 0.00015431-0.00202774j -0.00225703-0.00696412j -0.000548493-0.00598422j 0.00139446+0.0023781j 0.000731739-0.00388376j -1.9889e-05+0.00059894j 0.00104607+0.00963142j 0.000254965-0.00371947j -0.000444207-0.00468875j -0.00105404+0.00698544j -0.00100638+0.00594052j -0.000338563-0.0039989j 0.001457-0.00029791j 0.00100766-0.000712463j -0.000249565-0.00451415j -0.000822266+0.00991548j -0.000527248+0.00742984j -0.000911046-0.00603445j -0.00117178-0.00293096j 0.00130954-0.00503048j -0.00126159-0.00206035j -0.00105994-0.0029942j -0.00354411-0.00393902j -0.00148862+0.00999129j 0.00493623+0.0139582j -0.000382384+0.00444852j -0.000782589+0.00769215j -0.00118969-0.000839108j -0.00158489-0.0102861j 0.00292304+0.00836639j -0.0028721+0.0430727j 0.00176089+0.0092198j -0.00712548-0.0180465j 0.00570159+0.0229415j 0.0323506+0.0178163j 0.00297511+0.0291905j -0.00908853+0.00135675j -0.0277254+0.0173645j -0.0143098-0.0137877j 0.0359115-0.0011652j -0.00977742+0.0572611j -0.0148705+0.0249497j 0.0129685+0.0410639j -0.0961604+0.0375506j 0.0125883-0.00590307j -0.000731305+0.00682307j -0.00992086+0.00341561j 0.0128643+0.00277187j 
0.00449934+0.00317113j -0.00317496+0.00740407j 0.00305585+0.00617119j 0.00338423-0.00460764j 0.0020778+0.0071634j 0.000543807+0.00782707j -0.00121502-0.00617562j 0.00169236+0.00111259j 0.000980232+0.000787798j 0.000563094+0.00344381j 0.000167958+0.00820583j -0.000673046-0.00574058j 0.000955845-2.34684e-05j 0.000259329-0.0101591j -0.000163248+0.00737433j 0.00142095+0.00516486j 0.000170009+6.72569e-05j -0.00173306-0.0109119j 0.000699641-0.00158433j 0.000173668-0.00240418j -0.000521927-0.00715698j 0.00120911+0.0072235j -0.000799097+0.000469008j 0.000352699+0.000644732j 0.00052925+0.000737045j -0.00076189-0.00810971j 0.00121218+0.00627266j 0.00101625-0.00186176j -0.000502825-0.011467j -0.00077121-0.00420785j -0.00101481-0.00518376j 0.00306541+0.00338473j 0.00147746+0.00634334j -0.00194696-0.00613847j 0.00021546+0.00154801j -0.00120906+0.00549137j 0.000163514+0.00533783j 0.00358476+0.00721614j 0.00235417+0.00593917j -0.00133504-0.0145016j 0.00164692+0.00478858j -0.00358145-0.00524667j 0.000965184+0.00154901j -0.00145417-0.000914932j 0.0045122+0.0141172j -0.00340201-0.000544831j 0.000553219-0.00775086j 0.00146602+0.00830549j -0.0118213-0.00517367j -0.0110889-0.00929629j -0.000369514+0.0182636j 0.00201169+0.014585j 0.022864+0.0215174j 0.00177972-0.0118151j -0.00889265+0.0409533j -0.0122197-0.0289575j -0.000125816-0.0468708j 0.0021993+0.0387741j 0.0221615-0.0242015j -0.0412242-0.00601974j -0.0174891-0.0131756j -0.0124134+0.0387637j -0.0236064+0.0479486j -0.00574962-0.0406442j 0.0805167-0.0218691j 0.0065935+0.0250884j 0.00395255-0.00149448j 0.0034792-0.00148625j -0.00461464-0.00265537j -0.0194558+0.00199462j 
-0.00396145+0.00909266j -0.00470666-0.00421639j 0.000987315+0.000727222j 0.00100991-0.00235115j 0.00144403+0.00193616j -0.00169995-0.007192j -0.000822798-0.00288j -0.00163648-0.000569819j -0.00118829+0.00118871j 0.00129307+0.00911071j -0.000135731+0.00212073j -0.0019307+0.00201693j -0.000601824-0.00505739j 0.000801849+0.00403263j -0.000221457+0.00410537j 0.000866868-0.000685485j -0.00131604+0.000158951j -0.00266114-0.00859695j -0.00223284-0.00403926j 0.00118554+0.0084721j -0.00146357+0.00173717j 0.00395852-0.00830167j -0.00211042+0.00122339j -0.00220638-0.00509656j 0.000998105-0.00663769j -0.000929883+0.00813298j -0.000942043-0.00358617j -9.66022e-05+0.003761j 0.000282614+0.0016589j -0.000317135+0.00265597j 0.00284707+0.00706601j 0.000616682-0.00143941j 0.00317897+0.00170978j 0.000706291+0.00224745j 0.0043479-0.00352036j -0.00256347-0.00135795j -0.000715053-0.0109203j 0.00384102+0.00298947j 0.00322056+0.000468943j -0.00196321-0.00600763j 0.000450472+0.00103327j 0.00416672+0.017383j -0.00090712-0.00535377j 0.00353923+0.0121116j 0.00311159-0.00149077j -0.00136979+0.0129927j 0.00446193+0.00629726j -0.00602969-0.00942093j -0.016102+0.00461138j -0.00251057+0.0313391j 0.00959922+0.0169928j 0.000376975-0.011433j -0.00301029-0.0299107j -0.0164756-0.0182167j 0.0208105+0.0226522j 0.00106431+0.0274066j 0.013885+0.00341078j -0.0380448+0.0468864j 0.0139297+0.0444064j -0.00847091-0.0474904j 0.0168878-0.0303437j -0.00339369-0.00195439j 0.0126109+0.0461041j -0.0727867+0.036168j -0.00278374-0.0193631j 0.00490233-0.0137268j 0.0152412-0.0159126j -0.00120123-0.00117424j 0.0217842-0.00015155j 0.00106773-0.00523699j 
-0.00338775-0.000243804j 0.00135713-0.00518386j 0.00260058+0.00500505j 0.00152281-0.00614658j 0.0012836-0.00476395j -0.000116833+0.00621351j -0.0022405+0.000186754j -0.000477519+0.00551502j -0.00215927+0.00115953j 0.00192608+0.000298482j -0.000271022-0.00268813j 0.000839216+0.0129435j 0.00075436-0.00562577j 0.00243742+0.00442152j -0.000492585+0.00225241j 0.00173306+0.0132041j -9.68422e-05-2.85765e-05j -0.000586148-0.000563593j -0.00346651-0.00653533j 0.000776806+0.00458333j -0.00188628-0.00753401j -8.75609e-05-0.00818855j -0.000781751+0.000231172j -0.00405326-0.00858488j -0.000154561-0.00284555j 0.00236774+0.00745244j 0.00135247+0.000265939j -0.000981639+0.000809065j 0.00124507+0.00390814j 0.00108755+0.000331037j 0.00180841-0.00598708j -0.00334302+0.000224939j -0.00346547-0.00383036j -0.00279024-0.0108614j -0.00471742+0.00419861j 0.00200777+0.00922803j 0.00160636+0.00130655j -0.0042782-0.00423108j -0.00150343+0.00215268j -0.00462498-0.007212j 0.000227528-0.000424712j 0.0020856+0.00370971j -0.000746418+0.0131493j 0.0025399-0.00103668j -0.00359974-0.00738755j -0.00374098+0.00514696j 0.00725009+0.0221541j 0.00489704-0.0020339j 0.00581574+0.0245789j -0.00427008-0.000199754j 0.0107102-0.0117253j 0.0176548+0.0157513j -0.016395+0.00954239j 0.0076737+0.00124695j -0.00817566+0.0277298j 0.000381243-0.0100681j 0.00342158-0.0112453j -0.0281508-0.0557362j -0.00414247+0.0189141j 0.00769577-0.0686772j 0.0254742-0.017795j 0.00936535+0.0634159j 0.0568456-0.0207937j 0.00833389+0.0198877j 0.011155+0.00121273j -0.00902988+0.0192902j -0.00440972-0.00858789j -0.0140523+0.00640329j 0.0080282+0.00140318j 0.00898853-0.00274455j 
-0.000637782-0.00374531j 0.00283664-0.00193314j -0.00437509-0.00268931j -0.00220537+0.0106074j -0.00136433-0.00428337j -0.00064048+0.000840699j -0.000978629+0.00171055j 0.000644455+0.00776063j 0.000570659-0.00204807j 0.0010381-0.0034351j -0.000587328+0.00413109j 0.00363479+0.00991709j -0.000721048+0.00402647j -0.00233708-0.000757585j 4.57508e-05-0.000648211j -0.0028275-0.00324408j 0.00165622+0.00546989j 0.00149258+0.000703668j 0.00201393+0.0128136j 0.000114082-0.00475621j 0.00138694-0.000538157j -0.00631521-0.00243055j 0.00396851+0.00324076j 0.00256112-0.00397879j -0.00179698+0.00315268j 0.000977791+0.00328262j 0.000583634-0.00426224j -0.00111879-0.000365172j -0.00223257+0.00142032j 0.000496619+0.00579814j -0.00213574-0.00787513j -0.00382301-0.00421146j -0.00498978-0.00668172j -0.000190666-0.00646235j 0.00188075-0.00278061j 0.00405746+0.00301897j -0.00186987-0.00479951j -0.00105088-0.00725706j -0.00370294-0.0071023j -0.00420257+0.0140366j -0.00217935-0.000179987j 0.00234439+0.0142828j 0.00309198+0.0299703j -0.00170186+0.00399503j -0.00340254-0.00325961j 0.00817637+0.00822984j -0.0160926+0.00735017j 0.00741352-0.00127936j 0.0274997-0.0198891j 0.0124418+0.0090419j 0.0113319+0.0422467j -0.00199438+0.0405681j 0.000869336-0.0125819j 0.0235656-0.028111j 0.00960027-0.00216237j 0.00133183+0.0508292j -0.0196211-0.02864j -0.00347854+0.0288808j -0.00111528-0.00735548j 0.0358218+0.00219374j 0.0226685-0.058947j 0.0279382-0.0058146j -0.00182053-0.010931j 0.00519372-0.00929285j -0.00390707-0.00199252j 0.00818486-0.00027993j -0.0147812+0.00536029j 0.00304786+0.00240464j -0.00145242+0.00314121j 0.0129264-1.18759e-05j 
0.000953994+0.000888231j -0.000351229+0.00168681j -0.00171748+0.00331364j 0.000846047+0.0040707j -0.00171153-0.00123436j 0.00161542-0.00197237j -0.000811197+0.00888598j 0.0023574+0.0022454j -0.00194052+0.00305427j -0.00122667-0.0147222j 0.0023819+0.00558667j -0.00033484-0.000572165j 0.000208275-0.00126704j 0.00020952+0.00403437j -0.000389922-0.000255063j 0.000595682+0.00293388j -0.000273445-0.0053147j 5.88194e-05+0.00966938j 0.000357441+0.000541461j -0.000574166+0.0042199j -9.97431e-05-0.00501917j -0.00111824-0.00366697j 0.000677105-0.00162117j -0.000299779-0.012425j -0.000865592-8.76325e-05j -8.36868e-05+0.00330435j 0.00198654+0.0060416j 0.00251297+0.00466885j -0.000621162-0.00128054j 0.0013143-0.00337015j -7.49691e-05+0.0052589j -0.00161931-0.0028922j 0.00246879+0.00648311j 0.00150425+0.00763273j -0.00376876+0.00276764j 0.00035702-0.000634795j 0.0040981+0.022595j -0.00587272-0.0213695j -0.00181131-0.00155634j -0.00185528-0.00938374j 0.00101597-0.00658136j 0.00159339+0.00485573j -0.00699686-0.00726196j -0.00261452-0.0116758j -0.00153051-0.022211j -0.00407397+0.0048475j -0.0104685-0.00708044j 0.0112181+0.0313155j 0.0172563+0.00469113j 0.00371655-0.0267432j -0.00545116+0.0444884j 0.0133015-0.0181103j -0.00541329+0.0191939j -0.0156302-0.0529783j 0.00507551-0.00147477j 0.0150304-0.0252261j -0.0183204+0.0508111j -0.00275595+0.0478258j -0.00904425+0.0278397j -0.00274541+0.0383094j 0.0382589-0.00194378j -0.0216004+0.022598j 0.000875942-0.00775748j 0.00924065+0.00206429j -0.00693262+0.0147334j -0.000767895+0.00141298j -0.00851827+7.70986e-05j -0.00351222-0.00204846j 0.0125533-0.000659898j -0.00395017-0.00332854j 
0.00196562-0.00704295j 0.00407452+0.00158634j 0.00140677-0.0037122j -0.0016794-0.00353827j -0.00110422-0.00249691j 0.00189179+0.00316541j 0.00193061+0.00305586j 7.13391e-05+0.000528348j 0.0010894+0.00491595j -0.00171211+0.000611229j -0.00280976-0.00639198j 0.000106922-0.00337033j -0.000151846+0.00136168j 0.00155378+0.00605753j -0.000720485-0.0074188j 0.000119893+0.00716975j -0.000444716-0.00835277j 0.0028122+0.00124594j -0.000835606-0.00388064j -0.00169839-0.00235196j 0.00267515+0.00572546j -0.00285361-0.0111852j 0.00177318+0.00683506j -0.000266225+0.005728j -0.0011233+0.00518087j 0.00416985+0.0155796j 8.13969e-05+0.00093402j 0.00496013+0.0166058j 0.00284223+0.0110999j 0.0011228+0.00944627j -0.00237803+0.00449522j -0.00178051+0.0103034j -0.0043215-0.00523272j 8.51782e-05-0.0096736j -0.00607475+0.00259896j 0.00404982-0.0114377j -0.00294042-0.0298854j -0.00604855+0.00503831j -0.00606797-0.0121301j 0.00747704+0.0300945j 0.00173313-0.00797578j 0.00486522-0.00789749j 0.00276017-0.037984j 0.00179373-0.0274486j -0.0116692-0.0327573j 0.0122787+0.00592161j 0.00757779+0.0329622j -0.000139518+0.0109056j 0.0213409+0.00469519j 0.00261114+0.0403406j -0.00903782+0.0335148j -0.0103482+0.0348699j -0.0140488+0.027514j 0.00220576-0.0175686j 0.0119403+0.0380329j -0.0232971+0.0162556j -0.00664916+0.00580388j -0.0130714+0.0590376j -0.0351138+0.00208446j 0.0199501-0.0382695j -0.0147761+0.0183169j -0.00536591-0.00784969j 0.00873281-0.00232329j -0.000792409+0.00389896j -0.011569+0.00436878j -0.00243904-0.00392779j -0.00127457+0.00557463j 0.00182087-0.000278812j -0.0141329-0.000401489j -0.000921393+0.0033832j 
