-0.00877603-0.00128106j -0.00601618-0.00902179j -0.00248599+0.000427249j 0.00425953+0.0108075j -0.00340328-0.00153957j 0.00050317-0.000968887j 0.00757447+0.0200327j -0.0034096-0.00436409j 0.00142679+0.00679647j -0.00578865-0.00848467j -0.00495172-0.0115965j -0.00136717-0.00487424j -0.00551321-0.00821832j -0.00110364-0.00300567j 0.000489328+0.0131569j 0.00207335+0.0166088j -0.00117375+0.0113411j -0.00465708-8.53015e-06j -0.000236623+0.00185573j 0.000838305-0.0117131j 0.00209073+0.0106231j 0.00176112-0.00527342j 0.00517637-0.0123056j -0.000820268-0.00960887j -0.00372033+0.00874127j -0.00369028+0.00917255j -3.66566e-05+0.0030699j 0.00229039-0.00421228j -0.0070259-0.0053632j 0.0151-0.0139269j -0.00899479-0.00923788j 0.00736021-0.0146772j 0.00068578+0.00292551j -0.00358095+0.00196022j -1.30379e-05-0.00315175j 0.00557171-0.00390212j -0.00852159+0.00531228j -0.00728677+0.000262124j -0.00994815+0.00539259j 0.00410624-0.00402257j -0.00469864+0.00216209j -0.00461905+0.00440203j 0.00951156-0.00241969j -0.00189836+0.00348834j 0.00553826-0.00176209j -0.0127545+0.00208006j 0.0016184+0.0012292j 0.0120145-0.00268085j -0.00398563+0.00200693j -0.000924578+0.00151254j -0.00589549+0.00164179j 0.00372+0.00377347j 0.00188417-0.00258479j -0.00070561-0.000954308j 0.0104981-0.00149496j -0.00298732+0.00108099j -0.0124977-0.00189266j 0.0125168+0.00197232j 0.00782957-0.00266584j 0.00414859+0.00254351j 0.00540866+0.00118627j -0.00629502+0.000433758j 0.00477228+0.0016313j 0.00774803+0.00330573j -0.00219613-0.00470512j -0.00998129-0.000372388j -0.00956429-0.00282962j 0.00462312+0.00207278j -0.000895364-0.00166363j 0.0082777+0.00260409j 0.00297061+0.00397022j -0.0165128-0.00140947j 
-0.00475578-0.0027451j 0.000266901-0.00275742j -0.00463813-0.00890667j -0.00206536-0.00130226j -0.0060203-0.0137019j 0.00106424+0.00646454j -0.00140944-0.00376031j -0.004459-0.0123828j 0.00218381+0.00457886j 0.000120993+0.0143337j -0.00284956-0.0124319j 0.00276544+0.0156098j -7.088e-05+0.00858463j -0.00330041-0.0117j 0.00215497-0.0020322j -0.000471601+0.00328539j -0.000927225-0.00287841j -0.00220188+0.0145225j 4.72422e-05-0.0173547j 0.000927545-0.00702594j 0.00102414-0.00903692j 0.00228297-0.00692307j 0.000132355+0.00935789j 0.00643243-0.011336j 0.00229053-0.00299557j -0.00207873-0.012646j -0.00910219+0.0175494j -0.00562136-0.00400093j -0.00316891+0.00421964j 5.04956e-06-6.9121e-05j -0.00536366+0.00263891j -0.00191665-0.00681669j -0.00642625+0.00671827j 0.0056416+0.00168292j 0.00699622-0.00600541j 0.00456838-0.000593106j -0.00428436-0.00353698j 0.015506-0.0065138j -0.00169245+0.000141798j -0.00696044+0.00219542j -0.00519087+0.00204395j -0.000167368+0.00152352j -0.00713262+0.000719811j 0.0126101-0.000475818j 0.0160841-0.00343806j -0.000382176+0.000739173j -0.00303439-0.00198701j 0.00378905+0.000543875j 0.00479923+0.000917412j 0.0072017+5.08668e-05j 0.0166434+0.000283139j -0.00945099+0.00238156j -0.00483378-0.000984573j -0.00670138-0.00118995j 0.00404717+0.000812197j 0.00478967-0.0012843j -0.00694021-0.000122417j -0.0107327-0.00186697j -0.00894553-0.00287391j 0.0102263+0.00138765j -0.00027811+0.000858998j 0.000579269+0.000415611j 0.00866915+0.0037915j 0.00140087+0.00130078j 0.0179984+0.00318509j 5.6247e-05-0.00190713j -0.000610362-0.00225319j -0.00208431-0.00114614j 0.0113415+0.00156023j 0.00168632-0.00145669j 0.00503461+0.00142076j -0.00390489+0.000702884j 
0.0105684-0.0108389j -0.0132768+0.0011165j 0.00993466-7.74439e-05j -0.00352483+0.00373296j -0.00335188+0.00265811j 0.0110518-0.00846316j 0.00767609-0.000344659j -0.0093519+0.0064385j 0.000450813-0.000290964j 0.00306292+0.00511088j -0.0123533+0.00286111j -0.00932199+0.00608262j -0.0117316+0.00949352j -0.00903777+0.00520251j -0.00112099-0.000614136j 0.000839573-0.00517856j -0.0113958+0.000777065j -0.010477-0.00203948j 0.000568767-0.00170861j 0.000783108-0.00020086j 0.010903-0.00072572j -0.00160533+0.0044562j 0.00544204+0.00231355j -0.00462816+0.00357931j -0.0100052-0.000297671j -0.00292795+0.00144391j 0.00426102+0.00504849j -0.00879192+0.0022904j 0.000437615-0.0107631j 0.0111942+0.009401j 0.00317781-0.0128459j 0.0193079+0.0163654j -0.00471398+0.00807306j 0.0094263+0.00572967j 0.00149791-0.00093579j 0.00121238-0.00191562j 0.00749656+0.000643422j -0.000105114+0.00607303j 0.0015542+0.000825834j 0.00159166-0.0015638j 0.00314129-0.00143674j -0.000817819+0.00264809j -0.000160763+0.000166864j -0.0045023-0.00104325j -0.000685899-0.00240551j 0.00244601+0.00148718j -0.00141295+0.00369891j -0.00301467-0.00379988j 8.80438e-05+0.00149558j -0.00123446-9.6755e-05j -0.000107873+0.00023048j -0.00371109+0.00026826j -0.00260202+0.00139721j -0.00227981+0.00114488j 4.13112e-05+2.89264e-05j -0.0037666+0.000579811j 0.00282227+0.000454917j 0.00154598+0.00126524j 0.000198568+0.00102008j 0.000453325+0.000866422j -0.00360851-0.000240607j 0.000372258+0.000588791j 0.00105128+0.000675506j -0.00133756-0.00147895j 0.00261103-0.00151841j 0.000444106-0.00408848j 0.000332055+0.00193369j 0.00149545+0.0021447j -0.00372359+0.00530477j 0.00322775+0.00376152j 0.0120153+0.0145102j -0.00682648+0.0128531j 
0.00386681+0.00165793j 0.00776044-0.00565363j 0.0102575+1.31786e-05j -0.0124521+0.00766665j 0.00474277+0.00116945j -0.0125876+0.00508j 0.00158168-0.00160718j -0.0114846-0.00313221j -0.000170121+0.00333495j 0.0129607-0.00107934j -0.00292057-0.00171804j -0.0105655+0.00488818j -0.00538993+0.00459481j 0.0189389-0.00602852j -0.00416048+0.00258562j 0.0108569+0.00308951j 0.00470977+0.00213219j 0.0119483+0.00288704j -0.00330231-0.000730268j -0.000380677-0.00420271j 0.021112-0.000831404j -4.26354e-05-0.00277381j 0.00389021+0.00443201j 0.00103534-0.00352206j -0.00598769+0.00298461j 0.00466719+0.00322526j 0.0182493+0.00792431j 0.00751945+0.00953879j 0.00254111-0.00112924j 0.00706903+0.00666077j 0.0121+0.0114388j -0.00551516+0.00604122j -0.00335931-0.0037058j -0.00487628+0.0039031j 0.00277595-0.00123069j 0.00259559+0.00265796j -0.000854095+0.0029081j -0.00222759+0.00180736j 0.00281301-0.00150261j 0.00153424+0.000891525j -0.00308933+0.000806396j -0.00335333-0.00195392j -0.00154442-0.00142049j -0.000529638-0.000224926j -0.000332611-0.000790763j -6.87791e-05-1.4183e-05j -0.000999746-0.00111999j -0.000230398-0.00121414j 0.00125351-0.000484638j 0.000684714-0.00153717j 0.00232771-0.000821272j 0.000804636-0.00218638j -0.000542974+0.00258258j 0.00021593+0.00176825j 0.00134404+0.000269199j -1.32958e-05+0.00127721j -0.000152589+0.000572857j 5.60494e-05-0.00214163j 0.00134092-0.000225738j 0.00174998-0.000463539j 0.000975702+0.000777014j -0.000968332-0.000467518j 0.00388372+0.000512807j -0.000616938-0.00312453j -0.000882063-0.00100818j 0.00282961+0.00257583j 0.00051392-0.00394321j -0.00218709+0.000672613j -0.00219658+0.00327539j 0.00449633+0.00630966j -0.00594035+0.0050746j -0.0058685-0.00915516j 
-0.00184625-0.000249734j -0.00333942+0.00213623j -0.00985259+0.00312045j 0.000104738-0.00324697j -0.00798394+0.00449421j -0.00584863+0.00251177j -0.0124383+0.0014166j -0.015319+0.00469076j -0.00788089+0.00401757j -0.0102886+0.0011948j -0.00615249+0.00100643j -0.0235823+0.0014154j 0.0181791-0.000948012j 0.00368106-0.000411001j 0.00711274+0.000313668j -0.00285365-0.00121591j 0.00675297-0.000512522j 0.00491407-0.000674734j 0.0142215+0.00431596j 0.0184562+0.00352078j 0.0107387+0.000742571j 0.000935986-0.00346963j 0.0142772+0.000468102j -0.00255645+0.00231431j 0.0226913+0.00612385j -0.00928567-0.00627668j 0.00254115+0.00270727j -0.0054604-0.000761689j 0.0033314+0.000495792j 0.00124349+0.00190455j -0.003447-0.00296121j 0.000854147-0.00163606j 0.00253099+0.000581765j 0.00231334-0.00227874j -0.00175242+0.00145801j -0.00265239-6.88097e-06j -0.000986385-0.000487859j -0.000565008-0.000264672j -5.37039e-05+0.000837317j -0.000951663+0.000341535j 0.000241937-0.000336995j -0.000100052+0.000521741j -0.000490041+0.000118732j -3.62008e-05+9.04263e-05j 0.000547789-0.00056855j -0.000121888+0.000681043j -0.00043596-0.000524069j -0.000629746+0.000735479j -0.000486734+0.000195593j -0.000325759-6.68435e-05j 0.000281172+8.61173e-05j -0.000136809+4.33322e-05j 5.27782e-05-0.000299189j 0.00023697-0.000998669j 0.000278597+0.0006907j 0.000494524-0.000461824j -0.000170764+0.000178678j -0.000303268-0.000814104j -9.14004e-05+8.99965e-05j 0.000613117+0.000192976j -0.000916745-0.00119558j 0.000515928-0.000162574j -0.000443053+0.000307877j 0.000497051+0.000894178j -0.00110833-0.0011563j 0.000123009+0.000225003j -0.000986676-0.000437202j -0.000142874+0.000451126j -0.000896112-0.00172409j -0.000961569-0.000391711j 0.00112726-0.000995562j 0.00133874+0.00203888j 
-0.00312864-0.0089145j -0.00531398-0.00359492j 0.00411121+0.000997117j 0.00276849+0.00935221j 0.0023889+0.00178486j -0.00367788-0.000768644j -0.00457485+0.00773844j 0.00536177-0.00151496j 0.00127989+0.00210784j 0.00368208+0.0035359j 0.00609153-0.00457511j 0.00478961+0.00224176j 0.0171851+0.0045181j 0.00175152+0.00263431j 0.00928932+0.00357899j -0.00720752+0.00183324j 0.0075564+0.00455514j 0.00412192+0.00255096j 0.00668708+0.00235907j -0.0039357-0.00519171j -0.00865202-0.000657185j -0.00307151-0.00309073j -0.00689474-0.00026985j 0.00150282-0.00136544j 0.00344769+0.00229362j 0.00357894+0.00982718j 0.000640916+0.000830134j 0.00119344-0.000719508j 0.0209094+0.00216058j -0.0121232+0.0117991j 0.0210147-0.00172103j -0.00907114+0.00886338j -0.00735088+0.00840267j 0.00838598+0.00554858j 0.00441761-0.0033156j 0.00118323+0.000410232j 0.0049466+0.00427485j 0.000903922+0.00702985j 0.00292187+0.000804602j 0.00382811-0.00264804j 0.000559197-0.00131195j -0.00068429+0.00108026j 0.00189325-0.00188129j -0.00814773-0.000601152j 0.00125128-0.00512393j 0.00212081+0.00220382j -0.00272667+0.00509715j -0.00240884-0.00621726j -0.000353284+0.00268533j -0.00234888-0.000922066j 0.0022406-0.000527778j -0.00185063-0.000971036j -0.00335839+0.00361921j -0.00392185+0.00244525j 0.00274687+0.000749253j -0.00620501+0.00126145j 0.00176178-0.0013139j 0.00367513+0.000695267j 0.00160172+0.000841096j 0.00236042+0.0015746j -0.00316123+0.00150646j 0.00260438+0.00196436j 0.00343735+0.00177479j 0.000388934-0.00321393j 0.00539121-0.00282021j 0.00296535-0.00394322j -0.00153973-0.00299223j -0.000730404-6.13509e-05j -0.0108681+0.00602065j 0.00560552+0.0110571j 0.00715562+0.0198122j -0.0176922+0.00786465j 
0.0104129+0.00300369j -9.63552e-05-0.00807184j 0.000782035+0.00617758j -0.00146306+0.00467545j 0.000138149+0.00694431j 0.00869234+0.00578611j -0.00961849+0.000891104j -0.00802432-0.00462298j -0.000461501+0.00277688j -0.00988146+0.00384186j 0.000873261+0.00157605j 0.000995277-0.00352959j -0.00393186+0.0050323j -0.0102556-0.00398277j 6.33707e-05+0.0060519j -0.00652899+0.00364263j -0.007998+0.00537497j -0.015119-0.00129663j 0.00229798+0.0041571j 0.0058749-0.000450817j -0.00445483-0.00475633j 0.000414187-0.00263191j 0.00441704+0.00431906j 0.00281823+0.00313552j -0.00264447-0.00253085j -0.00983854+0.0031306j -0.00733849+0.00337528j -0.0161501+0.000828402j -0.0027962+0.00983666j -0.0110367+0.000635577j -0.00125669+0.0165953j -0.0185711+0.00870993j -0.00351581-0.00623747j -0.00200594+0.00190222j 0.00293238-0.00286803j 0.0111165+0.00304864j -0.00171124+0.00805914j -0.00440073+0.00415736j 0.00607057-0.00317027j -9.06183e-05+0.00335094j -0.00496078+0.00190734j -0.00662274-0.00582614j -0.00323431-0.0036401j -0.00211702+0.000575327j -0.00528093-0.000882404j -0.00210608+0.00113982j -0.00151627-0.0031977j 5.96604e-05-0.00129964j 0.00407572-0.000835669j 0.00279455-0.00290555j 0.00452187-0.0029898j 0.00358605-0.00609422j -0.00114047+0.00660297j 0.00151152+0.00498311j 0.00264785-0.00164499j -9.2786e-06+0.00321938j -0.00255494-0.00125707j 0.00210675-0.00592102j 0.00414308-0.00112785j 0.00467887-0.00238477j 0.00245375+0.0025937j -0.000799625-0.00206569j 0.0075225-0.000218062j -0.000608155-0.00602807j -0.00523309-0.00487724j 0.00347847+0.00462284j 0.00411821-0.0109212j -0.0103874-0.00359881j -0.00375424+0.00331941j 0.00404118+0.00765258j -0.0204983+0.00670114j -0.00673265-0.0249337j 
0.00601808-0.00641612j 0.00066893+0.000342263j 0.000486362-0.00406734j 0.00315483+0.00570938j -5.78334e-05-0.00617597j 0.00891449-0.000512528j -0.00387315+0.0029506j -0.0024087+0.00517441j -0.00506555-0.00939033j -0.00328009+0.00145519j -0.00108993-0.0115399j -0.00594016+0.00944758j -0.00542849+0.000643611j -0.00443095+0.0124093j 0.00199843+0.00323241j 0.00449944-0.00468162j -0.000142214-0.00453882j 0.00785453+0.0117491j 0.00366383-0.00527268j 0.00393425+0.00258285j -0.00342589+0.0129612j -0.00112887-3.90159e-05j 0.00158776+0.000465505j -0.00473275-0.00320162j 0.00208141-0.00504546j -0.00734061+0.00603082j 0.000456168-0.01713j 0.0136883-0.00107739j -0.00261842+0.00232267j 0.00306655-0.00369174j 0.0159183+0.00700326j -0.00410194+0.00835791j 0.00271617-0.00211943j 0.000538853-0.00131031j -0.00515971-0.000588292j 0.00263741+0.00252829j -0.00114211+0.00177638j -0.00421366-0.00124046j -0.00703363+0.00350385j -0.0097711-0.00100511j 0.007999-0.000631124j 0.00308571+0.000123188j 0.000468203+0.000138894j -0.00109585+0.00217023j -0.00140855-0.00351764j 0.00242007-0.00439683j 0.0070701+0.00649413j 0.00794655-0.00421678j 0.00377418+0.00342483j 0.00919769+0.00507705j -0.0038721+0.00346937j 0.0030708+0.00265853j 0.00772494-0.000368048j -0.0107224+0.00625457j 0.00469486-0.00298159j -0.00201108+0.00438291j 0.00201208+0.00128724j 0.00239459-0.00252628j -0.00406865+0.00673072j -0.00842206-0.00384815j -0.00135745+0.00411146j -0.00409378-0.00112075j 0.00269567-0.00103432j 0.00571462-0.00058986j 0.00668092+0.0059938j -0.00539118-0.00399119j 0.00383832+0.00064214j 0.00474843-0.00635877j 0.0116154+0.0102692j 0.00168918-0.010185j -0.000381889-0.00294011j 0.00112785-0.0106928j 
-0.000548092+0.0107214j -0.000949229+0.000217872j 0.00347919-0.00412099j 0.0110816-0.00406325j 0.00919631-0.00369342j -0.00138261+0.00458329j 0.000165182-0.00184711j -0.00509402+0.000786699j 0.00576167-0.00595962j 0.0019399-0.00405339j 0.000290985-0.00426143j 0.00718456+0.00264137j 0.0133311-0.00715059j 0.000885664+0.00416407j 0.00916851-0.00247979j 0.00141857+0.0050711j 0.0103687-0.0012041j -0.00787151+0.00829294j 0.000827446-0.00685719j -0.00510483+0.00630331j -0.00598497+0.00114275j 0.000150082+0.00264806j 0.0072928+0.00420753j 0.00437504+0.0060314j 0.0059084+0.00268953j 0.00640286+0.00231134j 0.0151722-0.000360823j -0.0029783+0.012827j -0.0178117-0.0109192j 0.00753979-0.0109512j -0.00501384-0.00697826j 0.00759073+0.00453231j -0.00165325-0.00374963j 0.00666931+0.0066512j 0.00156441+0.00417031j 0.00456549+0.00404802j -0.00191863+0.000903915j -4.80663e-05+0.000573781j -0.000766289+0.00403976j -0.00203049+0.00308328j 0.00185634-0.00281272j 0.00261635+0.000280035j 0.00361318+0.00669139j -0.00699039-0.00965203j -0.00353879+0.0011435j 0.00254262-0.000117344j -0.00403962-0.00420105j 0.00390482+0.000966629j 0.00231834-0.00144405j 0.00040038-0.00629318j 0.00434461+0.0107241j 0.00294463+0.00620559j 0.00251318-0.00532437j 0.000900394+0.000992855j -0.00324143-0.00913642j -0.00200213-0.00216488j 0.00226845-0.00100545j -0.00256364+0.00607287j 0.000310082+0.00783017j -0.00407437+0.00285437j -0.00342939+2.19393e-06j 0.000408785+0.0029038j 3.74686e-06+0.0135849j -0.00200033-0.0042462j 0.00573054-0.00190278j -6.07534e-05+0.00513859j 0.00335452+0.00343366j -0.00573811-0.00198261j 0.00209715+0.00506795j -0.00204363+0.00859663j -0.00599516+0.0113853j -0.00284333+0.000945924j 
0.0022138-0.00742609j -0.00072817+0.0076j 0.00171322+0.0013716j -0.00165529-0.00423067j 0.00453617-0.00295537j 0.00441626-0.00668838j -0.00200097+0.00372129j -0.00524147+0.00307807j 0.00889464+0.00222403j -0.00292787+0.00470848j 0.00826939+0.00379661j -0.0044589-0.00716268j -0.00170985+0.000725794j -0.0111828-0.00316046j -0.00243458-0.00103997j 0.0166531-0.00112279j 0.00978224+0.00195834j -0.0042839-0.00120444j 0.00516878+0.00445076j -0.0071995-0.00709216j -0.0120457-0.00374415j -0.00204461-0.000194095j 0.00800232-0.00679945j 0.00398174-0.0110667j 0.00683784+0.00644606j 0.00247522-0.0116553j -0.00419795+0.00127738j 0.012618+0.00433696j 0.00122348-0.00575965j 0.00826311+0.00651285j 0.00903036+0.00294404j 0.00441001+0.00371729j -0.00468389-0.000779025j -0.00418368+0.00195842j 0.00349033+0.00353148j -0.000870477+0.00668433j -0.00105161-0.000655854j -0.00360255-0.00331862j 0.00607768+0.00800192j 0.00324759+0.00208858j -0.00558407-0.00707268j -1.1531e-05-0.00183698j -0.00420049-0.00392675j 0.0062868+0.000744041j -0.00146547-0.00853841j -0.00546809-0.000743166j -0.00220108-0.00302135j -0.00668169-0.0075091j -0.00376442+0.00358676j -0.000547742+8.57445e-05j 0.000360561+0.0063121j -0.0049629-0.00289751j -0.00854111-0.00748194j 0.00586463+0.0134813j 0.0021655-0.00561396j 0.00121325-0.00122945j -0.00375433-0.000719011j 0.00118966-0.0059691j -0.000810872+0.00922243j 0.0061746+0.00576939j 0.000400458-0.00113218j -0.00242766+0.00353632j -0.000749925-0.00188375j -0.00200449+0.000467222j -0.00184097-0.00853693j -0.00453145+0.00701765j 0.00222179-0.0059819j -0.000542288+0.000790436j -0.00278198-0.000144529j -0.00327732+0.00639179j 0.000736794-0.00321905j 0.0054611-0.00835802j 
-0.000590899+0.00298452j 0.00127339-0.0046075j 0.00249347-0.00186216j -0.00231279+0.00407574j -0.000637057+0.00107688j -0.00781128-0.00260079j 0.00982363+0.00574647j -0.00468039-0.00269611j -0.0030591-0.011552j -0.00298921-0.0113675j 0.0112243+0.000702627j -0.00953347-0.000297415j 0.000665879+0.00029395j -0.00520018-0.000283481j -0.00404558-0.0029238j -0.00882218-0.0119161j 0.00546535+0.00679436j -0.00388852+0.00364581j 0.00511821-0.00252687j -0.00541687+0.00574021j -0.00528575-0.00778817j 0.000281357+0.00232998j -0.00224642+0.00561122j -0.00552071-0.0161232j -0.000366766-0.0148186j -0.00966343+0.00494196j 0.00943055+0.00663538j -0.0032444+0.00271382j 0.000236697-0.000133505j 0.00122499-0.000825639j -0.00212272-0.000888141j -0.0027425-0.0010735j -0.000666946-0.00345732j -0.000136127-0.00116038j 0.00315314+0.00280662j -0.00977645-0.0032868j 0.00354292-0.00199188j 0.00878043+0.00448994j 0.00649371+0.00304216j -0.0148806+0.00030294j -0.00482364-0.00457491j -0.00391124-0.0020325j 0.000395868-0.00405448j 0.00244061+0.00628251j 0.0014284+0.0035352j -0.00464123-0.00597278j 0.00421439-0.00108059j 0.00682008-0.00190875j -0.00257404-0.00779172j -0.00698171-0.00604344j 0.00116275-0.000316877j 0.00193831-0.00221552j -0.0037423-0.00902483j -0.00807309+0.00186286j -0.000872115+0.0034916j 0.000945342+0.000751157j -0.00265331-0.00438928j 0.000339133+0.00275531j 0.00666174+0.0037452j -0.00841951+0.0030075j 0.00692586+0.00613994j -0.00182244-0.00421398j -0.00569748-0.0131136j -0.00106347-0.00441957j -0.00173477-0.00704697j -0.00418905+0.00299304j 0.00577306+0.00968082j 0.00236363+0.00397088j 0.00134307-0.00477572j -0.000248252+0.00137893j 0.000105212-0.000179716j -0.00135236+0.00266668j 
