0.00933362-2.05797e-05j 0.00719448+0.0188495j 0.00387371+0.013533j -0.00699938+0.00149889j -0.00101308+0.000206935j 0.000495654+0.00060754j 0.00011539+0.00773408j 0.000611537+0.00611368j 0.000462171-0.00134428j -0.00111481-0.00120471j -0.00228386-0.00120215j 0.000762243-0.00895758j -0.00679169-0.0102983j 0.00162118+0.00592832j -0.0012899-0.000317098j 0.00741575+0.00609027j 0.00360498+0.00523j -0.00277299-0.00119109j -0.00329525-0.00085926j -0.00461906+0.00115642j -0.00229349-6.49277e-05j 0.00344278+0.00865538j -0.00208851-0.00248939j -0.000301071+0.00324995j -0.00184433-0.00272154j 0.00642361+0.00842779j -0.000999877-0.000193615j -0.000694446-0.00288363j -0.00179232-0.00798615j -0.00239749-0.000371562j -0.000661249-0.00109739j -0.000225637+0.00932475j -0.00152178+0.00173897j -0.00269776-0.00662185j 0.00255189-0.0042504j 0.00335669+0.00776452j 0.00651726-0.00682277j 0.00220225-0.00130812j 0.000264414+0.000104104j 0.000832755+0.00399805j 0.00412814-0.00498818j 0.00368777-0.00673311j 0.000157217-0.00193223j -1.18875e-05-0.0102244j -0.00262219-0.00371954j -0.00205287+0.000432593j 0.00365648-0.00451217j -0.00435461+0.000270771j 0.00197292+0.00145665j -0.00238523+0.0004929j -0.00432847-0.00205716j 0.00427593-0.00203056j -0.00415924+0.0110812j 0.0108152+0.00133784j 0.018612-0.0062012j 0.00438237-0.0173062j 
-0.0020774-0.0108225j 0.00801142+0.0056623j -0.00263957-0.0101213j 0.00370682+0.00162957j 0.000215891-0.0121618j -0.00702615-0.00688607j 0.00295204+0.00724571j 0.000923317-0.00718474j 0.00586656+0.000813303j -0.000133324+0.00444333j -0.000447043-0.00345833j 0.00294349+0.00214747j -0.000777711-0.0019739j -0.000175689+0.00711652j 0.00112243+0.00819991j 0.00401005+0.00469978j -0.00267458-0.0128231j 0.000708976-0.00540648j 0.00344023-5.24643e-05j -0.00360871-0.00261918j 0.00363067-0.00476664j 0.00519047-0.0026604j 0.00108716+0.000153137j -0.00114265-0.00722183j -0.00167579-0.00469773j -0.00551841-0.00763376j 0.00198945+0.00664182j -0.00264814-0.00906281j -0.00133128-0.0136795j -0.00163275-0.00193782j 0.000103955+0.0106885j -0.0044503-0.00247627j -0.000509342+0.00104408j -0.000208343+0.000733818j 0.00299943-0.00722082j -0.00303618-0.00602243j 0.00147497+0.00434064j -0.000670722-0.0101647j 0.00399681-0.00980166j 0.00192268-0.00479045j 0.000565074+0.000619038j 0.00037943-0.000419884j -0.00183662+0.00182149j 0.00250179-0.00328101j 0.0014291-0.00132622j 0.00450102-0.00505283j -0.0018028+0.00969829j 0.0014301-0.00818523j 0.00797485-0.00226858j -0.00657901+0.00229533j 0.0016012+0.0109153j 0.00724201-0.00187873j 0.00505871-0.0089361j -0.00759957+0.00523003j 0.00587004-0.0138785j -0.0119703+0.000403602j 
0.00098299+0.00560483j -0.00416924-0.00491142j 0.0038801+0.00342587j 0.0018017+0.00737319j 0.00208911+0.00569097j 0.00101158-0.00210897j -0.00166687-0.00404052j -0.00314693-0.00710276j 5.86554e-05+0.00110747j 0.0045858+0.0104665j -0.00136497-0.0081438j 0.0004529-0.00233678j -0.00237885-0.00314953j -0.000548192+0.00965852j -0.0024981+0.00269142j -0.00111212-0.00391182j -0.000608479+0.00550369j -0.00370667-0.00922973j 3.73278e-05-0.000762219j 0.00473091+0.0105306j -0.000698807+0.00706542j -0.000702025-0.000464886j 0.00211287+0.0222836j -0.00281856-0.00386573j 0.000898977+0.000574835j -0.000171443+0.00096272j -0.000836039+0.010645j -0.00177431-0.0106934j -0.000370011-0.00282388j -0.00162014-0.0100172j 0.00295495-0.0152578j 0.000985285-0.00174445j -0.000209136+0.00210126j 0.000440482-0.00536883j -0.00271097+0.00314628j 0.00194755-0.00290923j 0.000170225-0.00154488j 0.00187238-0.0162215j -0.00186494-0.00509892j -0.00334662+0.00858765j -0.000624543+0.00482437j -0.00140553-0.00137414j -0.00516543+0.00523046j 0.00310816-0.00881941j -0.00288917+0.00541969j 0.00206254-0.00650902j 0.00352622-0.000569878j 0.00322502-0.00163757j 0.00451825-0.00935316j 0.00230065-0.00575782j 0.00155172-0.00265938j -0.000141226-0.0063989j 0.00430907-0.00445724j 0.00106153-0.00802262j -0.00237586+0.00588301j 0.00353192-0.000630019j 
-0.000706457-0.00299689j 0.00188462+0.002039j -0.00160532-0.00356854j 0.000604917-0.000901728j 0.00175862+0.00230066j 0.00244212-0.0010718j -0.00224094-0.0117634j -0.00296204-0.00525598j 0.00208583+0.00313674j -0.00542691-0.0118871j -0.00335928+0.000178024j 0.00157547-0.00188068j -0.0058429-0.0225671j 0.00131582+0.00653631j -0.00041735-0.00675151j -0.00165601-0.00303382j -0.0020228-0.00343936j 0.00144752+0.00453489j -0.000854639-0.00454997j -0.00148715+0.0012002j 0.000743884+0.00185613j -0.000234727-0.00318293j 0.00228397-0.000330933j -0.000242809+0.00768012j 0.00154945-0.00644127j -0.00157939-0.017046j -0.00126485-0.012676j 0.000237166-0.00438863j 0.000105155+0.00451001j 0.00214475-0.00396356j -0.000778807-0.010188j 0.0027597+0.0025346j 0.000728114+0.00525807j -0.00315974+0.0116486j 0.000881757+0.000376081j -0.00101658-0.0029166j -0.000142326+0.00370987j -0.00015349+0.00131846j 0.000378188-0.000613344j -0.000640393-0.0043625j -0.00221705+0.00605248j -0.000787505+0.00256401j 0.00387937-0.0130379j 0.00655447-0.0182762j 0.000994919-0.00765304j -0.00459866+0.00164767j 0.00272968-0.00638803j -0.00238433+0.00346815j 0.00342793-0.00316834j 0.00224122-0.0107718j -0.00375883-0.000570515j -0.00214569+0.00669316j 3.7507e-05-0.000399602j -0.000821068+0.00201625j 0.00101401-0.00254283j -0.0016113+0.000526165j 
0.00236047+0.00450279j -0.00138726-0.000125875j 0.00388634+0.00260332j 0.00331438+0.0103907j -0.00202864-0.00554928j -0.0016339+0.00233116j 0.000833846+0.000381391j -0.00587986-0.0101399j -0.00381855-0.00750278j 3.40906e-05+0.00774896j 0.00367864+0.0118617j -0.000836988+3.48205e-06j -0.00159797-0.00195752j -0.0041967-0.00743118j 0.000302495-0.000960638j -0.0017287-0.00175767j -0.000500047-0.00636518j -0.000269819+0.00548318j -0.00277108-0.0215585j 0.00073572-0.00425166j -0.000837054+0.00994672j 0.000340646+0.00400279j -0.00100152-0.00230225j -0.0014251+0.00118787j -0.00178221+0.00591386j -0.00059469+0.000974185j 0.000947756-0.00461441j 0.00157622-0.00982317j 0.00163762-0.0117419j -0.00341046+0.0172476j 0.00290559-0.00494187j -0.000178791-2.53206e-05j 0.00198127-0.00860882j -0.00278858+0.0129678j 0.000247765+0.00499514j 0.000949688+0.000456138j -0.00206832+0.00559646j -0.00270217+0.00315388j 0.000458099-0.00522434j -0.00271308+0.00299844j 0.00236865-0.0103419j 0.000950746+0.00559983j -0.000874737-0.0070685j 0.000441454+0.00134787j -0.00282859-0.000255163j -0.00115178+0.00845629j -0.00391943+0.00968966j -0.000599747-0.00145996j 0.00154039-0.00773553j 0.000372933+0.0028469j 0.00309254-0.00647992j -0.000591725-0.0045321j 0.00284188-0.00508029j 0.00040658-0.00499887j 0.000268642+0.00251791j 0.00215966-0.00239602j 
0.00875926-0.00708488j -0.000661229+0.000746537j 0.00388125-0.000770978j -0.00962504+0.00612417j 0.000108279+0.00299489j 0.000895191-0.00622732j -0.00797885-0.00234569j 0.00241006+0.00397658j -0.00363269+0.000667081j 0.00232939-0.000471906j -0.00125254-0.000605486j 0.00328778+0.00294497j -0.0040707+0.00261047j -0.00223435-0.000381081j 0.00208716+0.00310405j 0.00239788-0.00580333j -0.00174398-0.0034477j -0.00176681+0.00447676j -0.00233188+0.00696586j -0.00110421+0.00428482j -0.00206764+0.00286239j -0.00715643-0.00736582j -0.00363004-0.00541077j -0.00184303-0.00500015j -0.00112436+0.0014963j 0.00577555-0.0110429j 0.00138394-0.00152619j -0.00166834-0.0061384j -0.00577632+0.00345601j -0.000150135-1.02041e-06j -0.00255884+0.0108555j 0.0019872-0.00375014j 0.000749375+0.000415079j -0.00363749+0.00637292j 0.000807891-0.000698418j -0.00079196-0.00213453j 0.00089836+0.00314053j 0.00282074-0.00244769j -0.00219943+0.000337258j -5.11108e-05-0.00522219j -0.00500554+0.00682789j 0.00426003+0.00242959j -0.00452731+0.00753973j -0.00340374+0.00447206j 0.00127642-0.00447726j -0.00533003-0.000976048j -0.000988532+0.00500243j 0.0012645+0.00106068j 0.00589178-0.004281j 0.00375928-0.00880725j -0.00254518-0.00190182j -0.00359659+0.00516225j -0.00665082+0.00427419j 0.00592852+0.011916j 0.00861279+0.0254264j 0.0131916-0.00504749j 
0.0014952-0.00653475j 0.00823722-0.00966997j 0.00523832-0.000584026j 0.00388214+0.00417067j 0.00252236-0.00240132j -0.0099033+0.0035982j 0.00191054+0.0007436j 0.000842209-0.00415806j 0.00600365-0.00038797j 0.00140104+0.00201139j -0.00564978-0.00071893j -0.00112519-0.00707192j -0.00249142+0.0066824j -0.00515501+0.00125374j -0.00513461-0.00195741j 0.00180475-0.00863891j 0.00169423+0.00338775j 0.00293075+3.48817e-06j 0.00374537+0.00291493j -0.00415574+0.00602425j 0.00210541+0.0043957j 0.00167927-0.00451433j -0.00230528+0.00153505j -0.00225816+0.00363088j -1.95778e-05+0.00559282j -0.00361101+0.000969934j -0.0019312-0.00610038j -0.00198222+0.00985967j 0.00136743+0.00735301j -0.00234117-0.00423908j 0.0027371-0.0024908j -0.00291664-0.0034484j -0.00459+0.00118102j -9.73304e-05-0.000205887j -0.00390148+0.0142227j -0.00341684+0.00378684j 0.00142073+0.00625073j -0.000747501+0.00409654j -0.00323518+0.00282501j -0.00182589+0.00197375j 0.00121483+0.00169791j -0.00261213+0.0091643j -0.00661134+0.000806696j 0.000928229+0.00404085j 0.00162337+0.00288579j 4.82153e-05+0.00287343j -0.00453525+7.04737e-05j -0.00508772-0.00136272j 0.00398874+0.00455747j -0.0010164-0.00856809j -0.00175477+0.00983593j 0.0124022+0.0035253j 0.00360172+0.00183997j -0.000339504-0.0123199j 0.0148272-0.00265597j -0.0110211-0.0218132j 
0.00252618-0.00390136j 0.0077407-0.00336813j -0.00843672+0.00647958j -0.00518457+0.000109078j -0.00878553+0.00024421j -0.00570855+0.00417295j 0.000275155-0.000742467j -0.0018649-0.000193723j -0.00954522+0.000332746j -0.00443645+0.00132696j -0.00351101+0.00342678j -0.000431244-0.00103423j 0.00204168+0.000189116j 0.0088104-0.00550315j 0.00999473-0.00326218j 0.000153832-0.00293167j -0.00088555-0.000771949j 0.0134939-0.00477438j 0.00124972+0.000471442j -0.000361513+0.00349133j -0.00774845+0.000582748j 0.00759019-0.00138783j 0.005689+0.00531751j 0.00764222-0.00439378j -0.00405174+0.00180997j 0.00863267-0.00335762j 0.00967448+0.00339273j -0.00102652-0.0012553j 0.0114584-0.000553925j 0.0108512+0.00144338j -0.00826347-0.00657063j -0.00668709+0.000221976j 0.0141719-0.00529688j 0.00763714-0.00276679j 0.00843994+0.00244341j 0.00450592-0.00219737j -0.00704853+0.00122337j 0.0151231-0.000465867j 0.004182+0.00373104j -0.00157696+0.00323139j 1.59708e-05+0.000876601j -0.00136588+0.000788636j 0.0128584-0.000682033j -0.00298554+0.00233018j 0.00185446+0.00589631j -0.00515173-0.00279278j -0.00698068-0.00194917j -0.00176269-0.0105828j -0.00753102-0.0126387j -0.000221492+0.00243778j 0.00085411-0.00225919j -0.00292842+0.00213921j -0.0193248-0.0089137j 0.00187451+0.0108331j 0.00248892-0.00185986j -0.00642494-0.00466134j 
-0.00118235+0.000640545j -0.00100035-0.000685366j -0.00428696+0.0024329j -0.00524747+0.000391039j -0.00748272+0.00174509j -0.0110753+0.00629712j 0.000633353+0.00288592j 0.0127383-0.00332044j -0.00616447+0.000920077j 0.0100279-0.00269429j 0.0140011-0.00552124j 0.00240807-0.000109609j -0.00376016-0.0025383j 0.00319742-0.00283784j -0.00228987-0.000252089j -0.00548297-0.000712911j -0.00338443+0.00250628j -0.00681849+0.00281004j 0.0118544-0.00319831j -0.00104311-0.00240767j 0.0172662-0.000916944j 0.00434213-0.00184272j -0.00273115+0.00254519j 0.00306266+0.000752344j -0.00458745+0.00219099j 0.0135447-0.003282j -0.000420939-0.00377719j 0.00356952-0.00377559j -0.00203154+0.00388607j -0.00340755-0.000527198j -0.0109184-0.0015463j -0.0145598-0.00033429j -0.00939767-0.00124162j -0.00379104+0.00397159j -0.00587716+0.00061423j 0.0155098+0.00491141j 0.00391961-0.000754438j -0.00651799-0.00235568j 0.000730946+0.00160097j -0.00684246-0.00335096j -0.0023397+0.00436224j -0.00861828+0.00145991j -0.00279669-0.00268253j -0.00247384-0.00396644j -0.00135974+0.00265905j 0.0159635+0.0069083j -0.000187387+0.00082213j 0.00573125+0.00515682j -0.00923116-0.00313769j -0.00608065+0.00214136j 0.0125587+0.00997761j 0.0116098+0.00358773j -0.00411729-0.0003818j 0.00325998+0.003836j -0.000305567-0.00067811j -0.00100166+0.000780204j 
-0.0022281-0.00129222j 0.00457633-0.00320442j -0.00752432+0.0035833j -0.00380937+0.000422855j -0.000310939-0.000798563j 0.0041397-0.0012334j 0.000880552-0.000646598j 0.00303896-0.00424178j -0.00234505+0.00229617j -0.0179367+0.00653282j -0.000913013+0.00283854j -0.000428734+0.00155691j 0.00975527-0.00101349j -0.000875189-0.00216744j -0.00258071-1.30582e-08j 0.00145682-0.000170837j -0.000333445+0.00109248j -0.0025935+0.00165746j -0.00631685+0.000978933j -0.00872812+0.0020916j 0.0163992-0.000867918j -0.0198482+0.00149979j 0.0021157+0.000629965j -0.0073238+0.00150201j -0.00664833+0.0015186j 0.00824475+0.00322696j 0.000642919+0.00323329j 0.00016619-0.00759791j -0.000949177-9.49782e-06j -0.000878482+0.000556649j -0.014874-0.00236694j 0.0182842-0.00217216j -0.000715038-0.0010722j 0.0050265+0.00113726j -0.00570568-0.000178753j 0.00647725-9.8592e-05j 0.00332697-0.000556301j -0.0160134-0.00444647j -0.00629182-0.00243031j 0.00687805+0.00257054j 0.00170881-0.00269424j 0.00511209+0.00452447j 0.00696287+0.0040489j 0.0101326+0.00548539j -0.00992601-0.00583987j -0.00317867-0.000583588j -0.000801517+0.00136324j 0.0116076+0.00146092j 0.00308939+0.00250963j 0.00652432+0.000168309j -0.00900743-0.00335723j 0.00317483+0.00406804j -0.00658843-0.000126381j 0.00678689+0.00528003j 0.00107072-0.00257362j -0.00328642-0.00171624j 
0.00170913+1.33525e-05j -0.00203296+0.00243213j 0.00640619-0.00149829j 0.000330773+0.00105581j -0.00338818+0.000888745j -0.00996313+0.00467082j 0.00654205+0.000643437j 0.00566168-0.000916193j 0.00651319+0.000249923j -0.00278761+0.000444407j 0.00547088-0.000450207j -0.0165404+0.00575047j 0.00894944-0.00334989j -0.00530105+0.00539178j 0.00466666-0.00297927j -0.0112889+0.00178707j -0.00894081+0.00108764j 0.00129746-0.000799162j -0.0131227+0.00199718j 0.00016241+0.00216379j -0.00246602-0.00320224j 0.00486363-0.000161467j 0.00243407+0.000497416j 0.00294588+3.27989e-05j -0.0253174-0.000847076j -0.00492508-0.00123704j -0.00423607+0.00098587j -0.0036656+0.00299196j -0.00109357+0.00137507j -0.00123021-0.00389037j 0.00581916-0.00165105j 0.00610468+0.00028143j -0.00117283-0.000257481j -0.000677196-0.00139886j 0.022656+0.00338456j -0.00243268-0.00041017j -0.00565742-0.00291685j -0.0078876-0.00183514j -0.00787029-0.00403379j -0.00235206-0.00107289j -0.000764404+0.0026382j -0.00220807-5.97648e-05j 0.00242301+0.000330097j 0.00860977+0.000460529j -0.00495447-0.00461781j -0.00139477+0.00236334j -0.0195812-0.00814986j 0.000156771-0.00133527j -0.00394562+0.000865248j -0.000269455+0.00298385j 0.00947325+0.00420051j 0.0011498-0.00121403j 0.00329246+0.00122695j -0.00246906-0.00188755j -0.000663033+0.00131696j 0.00299006+0.000532467j 
