-0.00320412-0j -0.0228309-0j 0.0224108-0j -0.0130988-0j -0.00189065-0j -0.000230716-0j -3.3301e-05-0j 0.0185067-0j 0.00267122-0j 0.0277793-0j 0.00491074-0j -0.000152847-0j 0.000409228-0j -0.00657584-0j -2.70198e-05-0j 0.00912854-0j -0.00116246-0j -2.25165e-06-0j 0.0114063-0j -9.68713e-05-0j 0.00161371-0j 0.000134476-0j 0.00201637-0j 0.000168031-0j 0.0287243-0j 0.00478738-0j 0.000343814-0j 0.00293166-0j 0.000598423-0j -0.00653466-0j 3.52624e-05-0j 0.00641442-0j 5.73023e-05-0j 3.50903e-05-0j -8.13865e-05-0j -0.00108911-0j 7.16278e-06-0j 0.00923251-0j -0.000666941-0j 0.00106907-0j 4.22071e-07-0j 0.00592111-0j -0.000136139-0j -1.35644e-05-0j 0.000654669-0j -8.30648e-06-0j 0.000133634-0j -8.02205e-06-0j 0.00153875-0j -1.69555e-06-0j 0.000942289-0j 0.000986852-0j 7.87444e-06-0j 0.000604321-0j 0.000192344-0j -9.99114e-08-0j 1.1334e-05-0j 0.000123357-0j 7.26885e-06-0j 
-0.201711-0j -0.0207198-0j -0.0212672-0j 0.0120815-0j 0.00174381-0j 0.0142915-0j 0.0020628-0j 0.00798668-0j 0.00115278-0j 0.00848938-0j 0.00150072-0j -0.00962232-0j 0.00012506-0j -0.0180007-0j -0.001701-0j 0.00852377-0j -0.00318211-0j -0.00014175-0j 0.0170678-0j -0.000265176-0j 0.0015068-0j 0.000125567-0j 0.00301719-0j 0.000251433-0j 0.00653466-0j 0.00108911-0j -0.00717154-0j 0.000666941-0j 0.000136139-0j -0.00593043-0j 8.02205e-06-0j -0.00608711-0j -0.00119526-0j -0.000731942-0j 0.0152064-0j -0.000988406-0j -0.000149407-0j -0.00392042-0j -0.000605272-0j -0.00101452-0j -8.8039e-06-0j 0.0147025-0j -0.000123551-0j 0.0025344-0j -0.000621263-0j 0.001552-0j -0.000126815-0j -7.28029e-06-0j -0.000653404-0j 0.0003168-0j -0.000400126-0j 0.00245041-0j -7.47263e-06-0j 0.00150057-0j -8.16755e-05-0j 1.86676e-05-0j -4.81277e-06-0j 0.000306302-0j 1.8049e-05-0j 
0.252043-0j -0.00868582-0j -0.0419019-0j -0.00498335-0j -0.000719285-0j 0.0181486-0j 0.00261953-0j -0.0041856-0j -0.00060414-0j -0.00350169-0j -0.000619017-0j 0.0120233-0j -5.15848e-05-0j -0.00250173-0j 0.00212544-0j -0.0170678-0j -0.000442247-0j 0.00017712-0j 0.0207953-0j -3.68539e-05-0j -0.00301719-0j -0.000251433-0j 0.00367612-0j 0.000306344-0j -0.00269541-0j -0.000449235-0j 0.00896101-0j -0.000275099-0j -5.61543e-05-0j -0.00248606-0j -3.30893e-06-0j -0.0119932-0j 0.0014935-0j 0.000914579-0j 0.00640205-0j -0.000414343-0j 0.000186688-0j -0.00208808-0j -0.000253732-0j -0.00199886-0j 1.10007e-05-0j 0.0107171-0j -5.17929e-05-0j 0.00106701-0j -0.00122405-0j 0.000653407-0j -0.000249858-0j -3.05192e-06-0j -0.000348014-0j 0.000133376-0j -0.000213114-0j 0.00178618-0j -1.4723e-05-0j 0.00109381-0j -4.35017e-05-0j 7.85926e-06-0j -2.56337e-06-0j 0.000223273-0j 1.31565e-05-0j 
-0.183798-0j 0.0183423-0j -0.0188345-0j 0.0213336-0j 0.00307924-0j 0.0130223-0j 0.0018796-0j -0.00772017-0j -0.00111431-0j -0.00751525-0j -0.00132852-0j 0.0174891-0j -0.00011071-0j 0.0159352-0j 0.00309166-0j 0.00754875-0j 0.00281697-0j 0.000257638-0j -0.00316446-0j 0.000234748-0j 0.00133444-0j 0.000111204-0j -0.000559403-0j -4.66169e-05-0j 0.0234533-0j 0.00390888-0j -0.00653466-0j 0.00239369-0j 0.00048861-0j -0.010472-0j 2.87916e-05-0j 0.010753-0j -0.00108911-0j -0.000666941-0j 0.013856-0j -0.00174534-0j -0.000136139-0j 0.0037896-0j -0.0010688-0j 0.00179217-0j -8.02205e-06-0j -0.00123054-0j -0.000218167-0j 0.00230933-0j 0.00109748-0j 0.00141417-0j 0.000224022-0j -1.28556e-05-0j 0.000631601-0j 0.000288666-0j 0.000386775-0j -0.000205089-0j 1.32006e-05-0j -0.000125591-0j 7.89501e-05-0j 1.70098e-05-0j 4.65218e-06-0j -2.56362e-05-0j -1.51063e-06-0j 
-0.125838-0j 0.0125581-0j -0.0128951-0j -0.00732247-0j -0.00105691-0j 0.00891575-0j 0.00128688-0j -0.00528564-0j -0.000762917-0j 0.0362036-0j 0.00639995-0j -0.0060029-0j 0.000533329-0j 0.0109101-0j -0.00106117-0j 0.00516828-0j 0.00192865-0j -8.8431e-05-0j -0.00216656-0j 0.000160721-0j 0.000913631-0j 7.61359e-05-0j -0.000382997-0j -3.19164e-05-0j -0.0039606-0j -0.0006601-0j 0.0314797-0j -0.000404227-0j -8.25125e-05-0j 0.00359439-0j -4.8621e-06-0j -0.00369084-0j 0.00524662-0j 0.00321289-0j 0.00948654-0j 0.000599064-0j 0.000655828-0j 0.00259456-0j 0.00036685-0j -0.00061514-0j 3.8645e-05-0j -0.00084249-0j 7.4883e-05-0j 0.00158109-0j -0.000376695-0j 0.000968215-0j -7.68925e-05-0j 4.41253e-06-0j 0.000432427-0j 0.000197636-0j 0.000264807-0j -0.000140415-0j -4.53093e-06-0j -8.59863e-05-0j 5.40534e-05-0j 1.16458e-05-0j 3.18513e-06-0j -1.75519e-05-0j -1.03425e-06-0j 
-0.180416-0j 0.0188345-0j -0.019022-0j -0.0215547-0j -0.00311115-0j -0.0129911-0j -0.0018751-0j 0.0071435-0j 0.00103108-0j 0.00759313-0j 0.00134229-0j 0.0171673-0j 0.000111857-0j 0.00542479-0j 0.00303478-0j -0.00774818-0j 0.000958977-0j 0.000252898-0j 0.0152659-0j 7.99148e-05-0j -0.0013697-0j -0.000114141-0j 0.00269866-0j 0.000224888-0j -0.0236963-0j -0.00394939-0j -0.00641442-0j -0.0024185-0j -0.000493673-0j -0.010753-0j -2.909e-05-0j 0.0108601-0j -0.00106907-0j -0.000654669-0j -0.00458268-0j -0.00179217-0j -0.000133634-0j 0.0035637-0j -0.00109748-0j 0.00181001-0j -7.87444e-06-0j 0.0131503-0j -0.000224022-0j -0.000763781-0j 0.0011084-0j -0.000467718-0j 0.000226251-0j -1.32006e-05-0j 0.00059395-0j -9.54726e-05-0j 0.000363718-0j 0.00219172-0j 1.3332e-05-0j 0.00134215-0j 7.42437e-05-0j -5.62577e-06-0j 4.37485e-06-0j 0.000273965-0j 1.61435e-05-0j 
-0.118641-0j -0.0120329-0j -0.0121576-0j 0.0344452-0j 0.00497174-0j -0.00854289-0j -0.00123306-0j -0.00498335-0j -0.000719285-0j 0.014641-0j 0.00258819-0j 0.0282379-0j 0.000215682-0j -0.00346577-0j 0.0049918-0j -0.00495214-0j -0.000612668-0j 0.000415983-0j -0.00204265-0j -5.10557e-05-0j -0.000875422-0j -7.29519e-05-0j -0.000361093-0j -3.00911e-05-0j -0.00373409-0j -0.000622348-0j 0.0127306-0j -0.000381109-0j -7.77935e-05-0j 0.0171838-0j -4.58403e-06-0j 0.0173619-0j 0.00212177-0j 0.00129931-0j -0.00301356-0j 0.00286397-0j 0.000265221-0j -0.00248606-0j 0.00175381-0j 0.00289364-0j 1.56283e-05-0j -0.000794308-0j 0.000357996-0j -0.00050226-0j 0.00177199-0j -0.00030757-0j 0.000361706-0j 2.10951e-05-0j -0.000414343-0j -6.27825e-05-0j -0.000253732-0j -0.000132385-0j 2.13137e-05-0j -8.10687e-05-0j -5.17929e-05-0j -3.69949e-06-0j -3.05192e-06-0j -1.65481e-05-0j -9.75105e-07-0j 
-0.123523-0j 0.0128951-0j -0.0130234-0j 0.00739836-0j 0.00106786-0j -0.00889438-0j -0.00128379-0j 0.00489082-0j 0.000705929-0j -0.0365788-0j -0.00646627-0j -0.00589244-0j -0.000538856-0j 0.0037141-0j -0.00104165-0j -0.00530482-0j 0.000656567-0j -8.68039e-05-0j 0.0104519-0j 5.47139e-05-0j -0.000937768-0j -7.81473e-05-0j 0.00184764-0j 0.00015397-0j 0.00400164-0j 0.000666941-0j 0.0309005-0j 0.000408416-0j 8.33676e-05-0j 0.00369084-0j 4.91248e-06-0j -0.00372758-0j 0.00515008-0j 0.00315377-0j -0.00313755-0j 0.00061514-0j 0.00064376-0j 0.0024399-0j 0.000376695-0j -0.000621263-0j 3.7934e-05-0j 0.0090034-0j 7.68925e-05-0j -0.000522925-0j -0.000380444-0j -0.000320225-0j -7.76578e-05-0j 4.53093e-06-0j 0.00040665-0j -6.53656e-05-0j 0.000249021-0j 0.00150057-0j -4.57603e-06-0j 0.000918905-0j 5.08312e-05-0j -3.8517e-06-0j 2.99526e-06-0j 0.000187571-0j 1.10527e-05-0j 
0.00228913-0j -0.0484102-0j -0.016011-0j 0.00935826-0j 0.00135075-0j -0.000489206-0j -7.06108e-05-0j -0.0132218-0j -0.00190841-0j 0.00657584-0j 0.00116246-0j 0.000109199-0j 9.68713e-05-0j 0.00439898-0j 1.93039e-05-0j 0.019356-0j 0.000777637-0j 1.60866e-06-0j -0.00814907-0j 6.48031e-05-0j 0.00342169-0j 0.000285141-0j -0.00144057-0j -0.000120047-0j -0.0205216-0j -0.00342027-0j 8.13865e-05-0j -0.00209448-0j -0.000427534-0j -0.013856-0j -2.51927e-05-0j -0.00458268-0j 1.35644e-05-0j 8.30648e-06-0j 5.44444e-05-0j -0.00230933-0j 1.69555e-06-0j 0.0195764-0j -0.00141417-0j -0.000763781-0j 9.99114e-08-0j -0.00423025-0j -0.000288666-0j 9.07407e-06-0j -0.000467718-0j 5.55671e-06-0j -9.54726e-05-0j -1.70098e-05-0j 0.00326274-0j 1.13426e-06-0j 0.00199801-0j -0.000705041-0j -5.62577e-06-0j -0.000431748-0j 0.000407843-0j 6.68368e-08-0j 2.40324e-05-0j -8.81301e-05-0j -5.19312e-06-0j 
0.25968-0j 0.0132402-0j -0.0124509-0j -0.00772017-0j -0.00111431-0j -0.0183986-0j -0.0026556-0j -0.0215771-0j -0.00311438-0j -0.00542479-0j -0.000958977-0j 0.0123876-0j -7.99148e-05-0j 0.0115026-0j 0.00218984-0j 0.00499024-0j 0.0020334-0j 0.000182487-0j -0.00265789-0j 0.00016945-0j 0.000882159-0j 7.35132e-05-0j -0.000469853-0j -3.91544e-05-0j 0.0169295-0j 0.00282158-0j 0.00923251-0j 0.00172786-0j 0.000352697-0j 0.0037896-0j 2.07829e-05-0j -0.0035637-0j 0.00153875-0j 0.000942289-0j -0.0195764-0j 0.000631601-0j 0.000192344-0j 0.0105915-0j 0.000386775-0j -0.00059395-0j 1.1334e-05-0j 0.0115087-0j 7.89501e-05-0j -0.00326274-0j -0.000363718-0j -0.00199801-0j -7.42437e-05-0j 4.65218e-06-0j 0.00176526-0j -0.000407843-0j 0.00108099-0j 0.00191811-0j -4.37485e-06-0j 0.0011746-0j 0.000220657-0j -2.40324e-05-0j 1.30023e-05-0j 0.000239764-0j 1.41282e-05-0j 
