-0.0317002-0j -0.00528337-0j -0.00323539-0j -0.000660421-0j -3.89157e-05-0j -0.0284679-0j -0.00459399-0j -0.00375098-0j -0.000541407-0j -0.000468873-0j -5.52572e-05-0j -2.52213e-06-0j -0.0182609-0j -0.0184501-0j -0.0028873-0j -0.00291722-0j -0.00228261-0j -0.00152174-0j -0.000329466-0j -0.00230626-0j -0.00153751-0j -0.000332881-0j -0.000380435-0j -0.000134504-0j -3.17029e-05-0j -0.000384377-0j -0.000135898-0j -3.3626e-05-0j -3.20315e-05-0j -3.39745e-05-0j -2.80217e-06-0j -1.04431e-07-0j -2.83121e-06-0j -1.05513e-07-0j -0.0137175-0j -0.0169745-0j -0.00990179-0j -0.00213859-0j -0.00264637-0j -0.00154371-0j -0.00165654-0j -0.000239101-0j -0.00151221-0j -0.00204987-0j -0.000295873-0j -0.00119575-0j -0.000267323-0j -0.00187126-0j -0.000172592-0j -0.000178215-0j -2.22769e-05-0j -0.00109157-0j -0.000154339-0j -0.000330796-0j -0.00022053-0j -3.15043e-05-0j -0.000192964-0j -2.75663e-05-0j -1.57522e-05-0j -0.000190985-0j -0.000128643-0j -1.85641e-06-0j -1.60803e-05-0j -0.000111408-0j -2.27363e-06-0j -3.89846e-05-0j -1.94923e-05-0j -1.46762e-07-0j -2.29719e-06-0j -2.2741e-05-0j -1.13705e-05-0j -2.81347e-06-0j -4.62258e-09-0j -1.34003e-06-0j -1.64119e-06-0j -1.81609e-07-0j -1.05939e-07-0j -5.72014e-09-0j -3.33675e-09-0j 
0.0358092-0j 0.0059682-0j 0.00365476-0j 0.000746025-0j 4.396e-05-0j 0.000457731-0j 7.3866e-05-0j 6.03113e-05-0j 8.70519e-06-0j 7.53892e-06-0j 8.8847e-07-0j 4.05529e-08-0j 0.0206279-0j -0.0202483-0j 0.00326155-0j -0.00320154-0j 0.00257848-0j 0.00171899-0j 0.000372172-0j -0.00253104-0j -0.00168736-0j -0.000365324-0j 0.000429747-0j 0.000151939-0j 3.58123e-05-0j -0.00042184-0j -0.000149143-0j 3.79846e-05-0j -3.51533e-05-0j -3.72857e-05-0j 3.16539e-06-0j 1.17967e-07-0j -3.10714e-06-0j -1.15796e-07-0j 0.0154955-0j 0.00027293-0j -0.0218929-0j 0.00241579-0j 4.25504e-05-0j -0.00341316-0j 0.00187126-0j 0.000270094-0j 0.00170822-0j 3.29594e-05-0j 4.75728e-06-0j -0.00264382-0j 0.000301974-0j 3.00877e-05-0j -0.000381602-0j 0.000201316-0j 2.51645e-05-0j -0.00241347-0j 0.000174345-0j 5.3188e-06-0j 3.54587e-06-0j 3.55879e-05-0j -0.000426644-0j 4.43234e-07-0j 1.7794e-05-0j 3.07081e-06-0j -0.00028443-0j 2.09704e-06-0j -3.55537e-05-0j -0.000246323-0j 2.56834e-06-0j 6.26827e-07-0j 3.13414e-07-0j 1.65786e-07-0j 3.69361e-08-0j -5.02805e-05-0j -2.51403e-05-0j 4.52373e-08-0j 5.22175e-09-0j -2.96281e-06-0j -3.62868e-06-0j 2.92006e-09-0j -2.34231e-07-0j 9.19732e-11-0j -7.37757e-09-0j 
0.0292381-0j 0.00487302-0j 0.0029841-0j 0.000609127-0j 3.58932e-05-0j 0.0262569-0j 0.00423718-0j 0.00345965-0j 0.000499357-0j 0.000432456-0j 5.09654e-05-0j 2.32624e-06-0j -0.0165724-0j 0.0170171-0j -0.00262033-0j 0.00269064-0j -0.00207155-0j -0.00138103-0j -0.000299003-0j 0.00212714-0j 0.00141809-0j 0.000307026-0j -0.000345258-0j -0.000122067-0j -2.87715e-05-0j 0.000354523-0j 0.000125343-0j -3.05168e-05-0j 2.95436e-05-0j 3.13357e-05-0j -2.54307e-06-0j -9.47745e-08-0j 2.61131e-06-0j 9.73178e-08-0j -0.025237-0j -0.015405-0j 0.00913273-0j -0.00393451-0j -0.00240167-0j 0.00142381-0j -0.00304765-0j -0.000439891-0j -0.00278212-0j -0.00186033-0j -0.000268515-0j 0.00110288-0j -0.000491813-0j -0.00169824-0j 0.000159187-0j -0.000327875-0j -4.09844e-05-0j 0.00100679-0j -0.000283948-0j -0.000300209-0j -0.000200139-0j -5.79607e-05-0j 0.000177977-0j -2.50174e-05-0j -2.89804e-05-0j -0.000173326-0j 0.000118651-0j -3.41537e-06-0j 1.48314e-05-0j 0.000102755-0j -4.18296e-06-0j -3.538e-05-0j -1.769e-05-0j -2.70009e-07-0j -2.08478e-06-0j 2.09748e-05-0j 1.04874e-05-0j -2.55333e-06-0j -8.50447e-09-0j 1.23595e-06-0j 1.51372e-06-0j -1.64817e-07-0j 9.77104e-08-0j -5.19124e-09-0j 3.07759e-09-0j 
-0.0295411-0j -0.00492352-0j -0.00301503-0j -0.00061544-0j -3.62651e-05-0j 0.0257737-0j 0.00415922-0j 0.00339599-0j 0.000490169-0j 0.000424499-0j 5.00276e-05-0j 2.28344e-06-0j -0.0170171-0j 0.0171865-0j -0.00269064-0j 0.00271742-0j -0.00212714-0j -0.00141809-0j -0.000307026-0j 0.00214831-0j 0.00143221-0j 0.000310082-0j -0.000354523-0j -0.000125343-0j -2.95436e-05-0j 0.000358052-0j 0.00012659-0j -3.13357e-05-0j 2.98377e-05-0j 3.16476e-05-0j -2.61131e-06-0j -9.73178e-08-0j 2.6373e-06-0j 9.82864e-08-0j 0.0254985-0j 0.015368-0j -0.00845054-0j 0.00397528-0j 0.00239591-0j -0.00131746-0j 0.00307924-0j 0.00044445-0j 0.00281095-0j 0.00185587-0j 0.000267871-0j -0.0010205-0j 0.00049691-0j 0.00169417-0j -0.000147296-0j 0.000331273-0j 4.14091e-05-0j -0.000931585-0j 0.000286891-0j 0.000299489-0j 0.00019966-0j 5.85614e-05-0j -0.000164682-0j 2.49574e-05-0j 2.92807e-05-0j 0.00017291-0j -0.000109788-0j 3.45076e-06-0j -1.37235e-05-0j -9.50795e-05-0j 4.2263e-06-0j 3.52951e-05-0j 1.76476e-05-0j 2.72807e-07-0j 2.07979e-06-0j -1.9408e-05-0j -9.70401e-06-0j 2.54721e-06-0j 8.5926e-09-0j -1.14363e-06-0j -1.40065e-06-0j 1.64422e-07-0j -9.04118e-08-0j 5.17879e-09-0j -2.8477e-09-0j 
-0.0255833-0j -0.00426389-0j -0.00261109-0j -0.000532986-0j -3.14065e-05-0j -0.000327019-0j -5.27724e-05-0j -4.30885e-05-0j -6.21929e-06-0j -5.38606e-06-0j -6.34754e-07-0j -2.89724e-08-0j 0.043739-0j 0.0144661-0j 0.00691574-0j 0.00228729-0j 0.00546737-0j 0.00364491-0j 0.000789147-0j 0.00180826-0j 0.00120551-0j 0.000261-0j 0.000911228-0j 0.000322168-0j 7.59357e-05-0j 0.000301377-0j 0.000106553-0j 8.0542e-05-0j 2.51147e-05-0j 2.66382e-05-0j 6.71183e-06-0j 2.50135e-07-0j 2.21985e-06-0j 8.2729e-08-0j -0.0110705-0j 0.000578716-0j 0.015641-0j -0.00172592-0j 9.02232e-05-0j 0.00243848-0j -0.00133689-0j -0.000192964-0j -0.00122041-0j 6.98866e-05-0j 1.00873e-05-0j 0.00188884-0j -0.00021574-0j 6.37974e-05-0j 0.00027263-0j -0.000143827-0j -1.79784e-05-0j 0.00172426-0j -0.000124558-0j 1.12779e-05-0j 7.5186e-06-0j -2.54253e-05-0j 0.000304809-0j 9.39825e-07-0j -1.27126e-05-0j 6.5113e-06-0j 0.000203206-0j -1.4982e-06-0j 2.54008e-05-0j 0.000175982-0j -1.83491e-06-0j 1.32911e-06-0j 6.64557e-07-0j -1.18443e-07-0j 7.83187e-08-0j 3.59221e-05-0j 1.79611e-05-0j 9.59205e-08-0j -3.7306e-09-0j 2.11673e-06-0j 2.59246e-06-0j 6.19164e-09-0j 1.67342e-07-0j 1.95018e-10-0j 5.27079e-09-0j 
0.0211052-0j 0.00351753-0j 0.00215404-0j 0.000439691-0j 2.59091e-05-0j -0.0370971-0j -0.00598652-0j -0.00488797-0j -0.000705518-0j -0.000610996-0j -7.20066e-05-0j -3.28664e-06-0j -0.0119626-0j 0.0112495-0j -0.00189145-0j 0.0017787-0j -0.00149532-0j -0.000996883-0j -0.000215831-0j 0.00140618-0j 0.000937457-0j 0.000202965-0j -0.000249221-0j -8.81128e-05-0j -2.07684e-05-0j 0.000234364-0j 8.28602e-05-0j -2.20282e-05-0j 1.95303e-05-0j 2.07151e-05-0j -1.83568e-06-0j -6.84119e-08-0j 1.72625e-06-0j 6.43337e-08-0j 0.00913273-0j 0.0217649-0j 0.025525-0j 0.00142381-0j 0.00339321-0j 0.00397941-0j 0.00110288-0j 0.000159187-0j 0.00100679-0j 0.00262837-0j 0.000379372-0j 0.00308244-0j 0.000177977-0j 0.00239936-0j 0.000444912-0j 0.000118651-0j 1.48314e-05-0j 0.00281387-0j 0.000102755-0j 0.000424151-0j 0.000282767-0j 2.09748e-05-0j 0.000497426-0j 3.53459e-05-0j 1.04874e-05-0j 0.000244884-0j 0.000331618-0j 1.23595e-06-0j 4.14522e-05-0j 0.000287189-0j 1.51372e-06-0j 4.99867e-05-0j 2.49933e-05-0j 9.77104e-08-0j 2.94549e-06-0j 5.86223e-05-0j 2.93111e-05-0j 3.60748e-06-0j 3.07759e-09-0j 3.45435e-06-0j 4.2307e-06-0j 2.32862e-07-0j 2.7309e-07-0j 7.33445e-09-0j 8.60154e-09-0j 
-0.00674321-0j -0.00112387-0j -0.000688226-0j -0.000140483-0j -8.27807e-06-0j 0.0237916-0j 0.00383935-0j 0.00313482-0j 0.000452472-0j 0.000391852-0j 4.61802e-05-0j 2.10783e-06-0j -0.00388442-0j -0.0415114-0j -0.00061418-0j -0.00656353-0j -0.000485552-0j -0.000323701-0j -7.00834e-05-0j -0.00518892-0j -0.00345928-0j -0.000748957-0j -8.09253e-05-0j -2.86114e-05-0j -6.74378e-06-0j -0.000864821-0j -0.00030576-0j -7.15286e-06-0j -7.20684e-05-0j -7.64401e-05-0j -5.96071e-07-0j -2.22143e-08-0j -6.37e-06-0j -2.37396e-07-0j -0.00291795-0j 0.0141861-0j 0.0272903-0j -0.000454916-0j 0.00221165-0j 0.00425463-0j -0.000352376-0j -5.08611e-05-0j -0.000321674-0j 0.00171314-0j 0.00024727-0j 0.00329562-0j -5.68644e-05-0j 0.00156388-0j 0.000475682-0j -3.79096e-05-0j -4.7387e-06-0j 0.00300848-0j -3.28307e-05-0j 0.000276457-0j 0.000184304-0j -6.70154e-06-0j 0.000531829-0j 2.30381e-05-0j -3.35077e-06-0j 0.000159612-0j 0.000354552-0j -3.94892e-07-0j 4.43191e-05-0j 0.000307051-0j -4.83642e-07-0j 3.25807e-05-0j 1.62904e-05-0j -3.1219e-08-0j 1.91984e-06-0j 6.26766e-05-0j 3.13383e-05-0j 2.35131e-06-0j -9.83305e-10-0j 3.69325e-06-0j 4.52329e-06-0j 1.51777e-07-0j 2.91977e-07-0j 4.78051e-09-0j 9.19642e-09-0j 
0.00415071-0j -0.0327232-0j 0.00042363-0j -0.00826727-0j -0.000979403-0j 0.00372749-0j -0.0284535-0j 0.000491139-0j -0.00677743-0j -0.00290402-0j -0.0010412-0j -7.94266e-05-0j 0.00239101-0j 0.00241579-0j -0.0178828-0j -0.0180681-0j 0.000298876-0j 0.000199251-0j -0.00412432-0j 0.000301974-0j 0.000201316-0j -0.00416706-0j -0.00235627-0j 1.76115e-05-0j -0.000597369-0j -0.00238069-0j 1.7794e-05-0j -0.000420936-0j -0.00060356-0j -0.000425299-0j -7.0523e-05-0j -3.94919e-06-0j -7.12538e-05-0j -3.99012e-06-0j 0.00179611-0j 0.00222258-0j 0.0012965-0j -0.0132456-0j -0.0163906-0j -0.00956117-0j 0.000216901-0j -0.00299311-0j 0.000198003-0j 0.000268402-0j -0.00370378-0j 0.000156568-0j -0.0016557-0j 0.000245016-0j -0.00216054-0j -0.0011038-0j -0.000419758-0j 0.000142926-0j 2.02086e-05-0j -0.00204882-0j -0.00136588-0j -0.000394377-0j -0.00119515-0j -0.000519424-0j -9.7563e-05-0j 2.50069e-05-0j -0.000796764-0j -4.67208e-05-0j -0.000302998-0j 1.45873e-05-0j -4.28414e-05-0j -0.000488017-0j -0.000120728-0j -4.62181e-06-0j -5.78141e-05-0j -0.000284676-0j -7.04247e-05-0j -5.30135e-05-0j -2.04045e-07-0j -3.37249e-05-0j -3.09246e-05-0j -5.7192e-06-0j -3.3362e-06-0j -2.52493e-07-0j -1.47287e-07-0j 
-0.00459399-0j 0.0362179-0j -0.000468873-0j 0.00915019-0j 0.001084-0j -5.87227e-05-0j 0.000448255-0j -7.73739e-06-0j 0.000106771-0j 4.57498e-05-0j 1.6403e-05-0j 1.25128e-06-0j -0.00264637-0j 0.00259767-0j 0.0197927-0j -0.0194285-0j -0.000330796-0j -0.00022053-0j 0.00456478-0j 0.000324709-0j 0.000216473-0j -0.00448079-0j 0.00260791-0j -1.94923e-05-0j 0.000661167-0j -0.00255993-0j 1.91337e-05-0j 0.000465891-0j -0.000649002-0j -0.000457319-0j 7.80546e-05-0j 4.37095e-06-0j -7.66184e-05-0j -4.29053e-06-0j -0.00198793-0j -3.50144e-05-0j 0.00280866-0j 0.0146602-0j 0.000258217-0j -0.0207127-0j -0.000240066-0j 0.00331277-0j -0.000219149-0j -4.22839e-06-0j 5.83493e-05-0j 0.000339178-0j 0.00183252-0j -3.85998e-06-0j -0.00468045-0j 0.00122168-0j 0.000464587-0j 0.000309625-0j -2.23668e-05-0j 3.22771e-05-0j 2.1518e-05-0j 0.000436495-0j -0.00258908-0j 8.18299e-06-0j 0.000107982-0j -3.93957e-07-0j -0.00172606-0j 5.17105e-05-0j -0.000656393-0j 3.1601e-05-0j 4.74167e-05-0j 7.68819e-06-0j 1.90194e-06-0j 5.11541e-06-0j 9.10801e-07-0j -0.000616704-0j -0.000152563-0j 8.35173e-07-0j 2.25836e-07-0j -7.30593e-05-0j -6.69929e-05-0j 9.01001e-08-0j -7.22732e-06-0j 3.97776e-09-0j -3.19073e-07-0j 
-0.00363187-0j 0.0286328-0j -0.000370676-0j 0.00723386-0j 0.000856977-0j -0.00326155-0j 0.0248968-0j -0.000429747-0j 0.00593025-0j 0.00254102-0j 0.000911046-0j 6.94983e-05-0j 0.00205858-0j -0.00211382-0j -0.0153965-0j 0.0158096-0j 0.000257322-0j 0.000171548-0j -0.00355089-0j -0.000264227-0j -0.000176151-0j 0.00364618-0j -0.00202866-0j 1.51628e-05-0j -0.000514314-0j 0.0020831-0j -1.55697e-05-0j -0.000362411-0j 0.000528115-0j 0.000372136-0j -6.07177e-05-0j -3.40011e-06-0j 6.23471e-05-0j 3.49135e-06-0j -0.0015716-0j 0.00191356-0j -0.00113444-0j 0.0115899-0j -0.0141117-0j 0.00836602-0j -0.000189789-0j 0.00261897-0j -0.000173253-0j 0.000231084-0j -0.00318883-0j -0.000136997-0j 0.00144874-0j 0.00021095-0j 0.00189047-0j 0.000965824-0j 0.000367289-0j -0.00012506-0j -1.76825e-05-0j -0.00176396-0j -0.00117597-0j 0.00034508-0j 0.00104575-0j -0.000447206-0j 8.53676e-05-0j 2.153e-05-0j 0.000697169-0j 4.08807e-05-0j 0.000265123-0j -1.27639e-05-0j 3.74862e-05-0j -0.000420165-0j -0.000103942-0j 4.04409e-06-0j -4.97758e-05-0j 0.000249092-0j 6.16216e-05-0j -4.56427e-05-0j 1.78539e-07-0j 2.95093e-05-0j 2.7059e-05-0j -4.92403e-06-0j 2.91918e-06-0j -2.17387e-07-0j 1.28876e-07-0j 
-0.00242125-0j 0.0190885-0j -0.000247118-0j 0.00482257-0j 0.000571318-0j -0.00217437-0j 0.0165978-0j -0.000286498-0j 0.0039535-0j 0.00169401-0j 0.000607364-0j 4.63322e-05-0j -0.00139476-0j -0.00140921-0j 0.0104316-0j 0.0105398-0j -0.000174345-0j -0.00011623-0j 0.00240585-0j -0.000176151-0j -0.000117434-0j 0.00243078-0j 0.00137449-0j -1.02734e-05-0j 0.000348466-0j 0.00138873-0j -1.03798e-05-0j 0.000245546-0j 0.000352077-0j 0.000248091-0j 4.11384e-05-0j 2.30369e-06-0j 4.15647e-05-0j 2.32757e-06-0j 0.00522755-0j -0.0012965-0j -0.000756294-0j -0.038551-0j 0.00956117-0j 0.00557735-0j 0.000631287-0j -0.00871138-0j 0.000576283-0j -0.000156568-0j 0.00216054-0j -9.13312e-05-0j -0.00481887-0j -0.000142926-0j 0.00126032-0j -0.00321258-0j -0.0012217-0j -8.33736e-05-0j 5.88167e-05-0j 0.00119515-0j 0.000796764-0j -0.00114783-0j 0.000697169-0j 0.000302998-0j -0.000283955-0j -1.45873e-05-0j 0.000464779-0j -0.00013598-0j 0.000176749-0j -8.50928e-06-0j -0.000124689-0j 0.000284676-0j 7.04247e-05-0j -1.34517e-05-0j 3.37249e-05-0j 0.000166061-0j 4.10811e-05-0j 3.09246e-05-0j -5.93868e-07-0j 1.96728e-05-0j 1.80393e-05-0j 3.3362e-06-0j 1.94612e-06-0j 1.47287e-07-0j 8.59176e-08-0j 
