-0.0594054-0j -0.0424146-0j -0.00612202-0j -0.0244727-0j -0.0247263-0j -0.00432621-0j -0.000360517-0j -0.00437104-0j -0.000364253-0j -0.017294-0j -0.0214002-0j -0.00288233-0j -0.0124834-0j -0.00176506-0j -0.0035667-0j -0.000360291-0j -0.00218415-0j -2.12303e-05-0j -0.00208057-0j -0.000445837-0j -0.00127409-0j -2.62712e-05-0j -0.000260072-0j -1.53249e-05-0j 
0.0657498-0j 0.000929146-0j 0.000134111-0j 0.0270863-0j -0.0262837-0j 0.00478823-0j 0.000399019-0j -0.00464635-0j -0.000387196-0j 0.0191409-0j 0.000468798-0j 0.00319015-0j -0.0268129-0j 0.00195356-0j 7.81329e-05-0j 0.000398769-0j 4.78465e-05-0j 2.34977e-05-0j -0.00446881-0j 9.76662e-06-0j -0.00273658-0j 5.75504e-07-0j -0.000558601-0j -3.29159e-05-0j 
0.0519797-0j 0.0371128-0j 0.00535677-0j -0.0205924-0j 0.0216355-0j -0.00364025-0j -0.000303354-0j 0.00382466-0j 0.000318722-0j 0.0151322-0j -0.018007-0j 0.00252203-0j 0.010923-0j 0.00154442-0j -0.00300117-0j 0.000315254-0j -0.00183783-0j 1.85765e-05-0j 0.0018205-0j -0.000375146-0j 0.00111482-0j -2.21057e-05-0j 0.000227563-0j 1.34093e-05-0j 
0.0346532-0j 0.0247419-0j 0.00357118-0j 0.0142758-0j 0.0144237-0j 0.00252362-0j 0.000210302-0j 0.00254977-0j 0.000212481-0j -0.0493173-0j 0.0124834-0j -0.00821955-0j 0.007282-0j -0.00503342-0j 0.00208057-0j -0.00102744-0j 0.00127409-0j -6.05427e-05-0j 0.00121367-0j 0.000260072-0j 0.000743216-0j 1.53249e-05-0j 0.000151708-0j 8.9395e-06-0j 
-0.0525184-0j 0.0360131-0j 0.00519804-0j -0.0216355-0j 0.0218426-0j -0.00382466-0j -0.000318722-0j 0.00386127-0j 0.000321772-0j -0.015289-0j 0.0181703-0j -0.00254817-0j -0.00975154-0j -0.00156043-0j 0.00302838-0j -0.000318521-0j 0.0018545-0j -1.8769e-05-0j -0.00162526-0j 0.000378548-0j -0.000995262-0j 2.23061e-05-0j -0.000203157-0j -1.19711e-05-0j 
-0.060643-0j -0.00085698-0j -0.000123694-0j 0.0240244-0j 0.0242423-0j 0.00424696-0j 0.000353913-0j 0.00428547-0j 0.000357122-0j 0.0343255-0j 0.000415803-0j 0.00572092-0j 0.0247303-0j 0.00350333-0j 6.93006e-05-0j 0.000715115-0j 4.24378e-05-0j 4.21385e-05-0j 0.00412172-0j 8.66257e-06-0j 0.00252403-0j 5.10447e-07-0j 0.000515215-0j 3.03594e-05-0j 
-0.0214406-0j -0.0153082-0j -0.00220956-0j 0.0431471-0j -0.0089242-0j 0.0076274-0j 0.000635616-0j -0.00157759-0j -0.000131466-0j -0.00624172-0j 0.03773-0j -0.00104029-0j -0.00450551-0j -0.000637043-0j 0.00628833-0j -0.000130036-0j 0.0038508-0j -7.66243e-06-0j -0.000750918-0j 0.000786041-0j -0.000459842-0j 4.63179e-05-0j -9.38648e-05-0j -5.53104e-06-0j 
0.0353751-0j -0.0490149-0j -0.0070747-0j 0.0145732-0j 0.0130102-0j 0.0025762-0j 0.000214683-0j 0.0022999-0j 0.000191659-0j -0.0200232-0j -0.0247303-0j -0.0033372-0j 0.028411-0j -0.00204361-0j -0.00412172-0j -0.00041715-0j -0.00252403-0j -2.45808e-05-0j 0.00473517-0j -0.000515215-0j 0.00289969-0j -3.03594e-05-0j 0.000591896-0j 3.48778e-05-0j 
0.037521-0j -0.025729-0j -0.00371366-0j -0.0451859-0j -0.0156051-0j -0.00798781-0j -0.000665651-0j -0.00275862-0j -0.000229885-0j 0.010923-0j 0.0379487-0j 0.0018205-0j 0.00696684-0j 0.00111482-0j 0.00632478-0j 0.000227563-0j 0.00387312-0j 1.34093e-05-0j 0.00116114-0j 0.000790598-0j 0.00071105-0j 4.65864e-05-0j 0.000145142-0j 8.5526e-06-0j 
-0.0218872-0j 0.0456443-0j 0.00658819-0j 0.00867087-0j -0.0427085-0j 0.00153281-0j 0.000127734-0j -0.00754986-0j -0.000629155-0j -0.00637175-0j -0.0221464-0j -0.00106196-0j -0.00562776-0j -0.000650314-0j -0.00369107-0j -0.000132745-0j -0.00226031-0j -7.82207e-06-0j -0.000937961-0j -0.000461384-0j -0.000574381-0j -2.71873e-05-0j -0.000117245-0j -6.90873e-06-0j 
0.00570982-0j -0.0198995-0j -0.00287225-0j 0.00235222-0j 0.0429255-0j 0.000415818-0j 3.46515e-05-0j 0.00758822-0j 0.000632352-0j 0.00166223-0j -0.0100402-0j 0.000277038-0j -0.0518171-0j 0.000169651-0j -0.00167337-0j 3.46298e-05-0j -0.00102473-0j 2.04058e-06-0j -0.00863618-0j -0.000209172-0j -0.00528856-0j -1.23256e-05-0j -0.00107952-0j -6.36115e-05-0j 
-0.373109-0j 0.00566433-0j -0.0777191-0j 0.00326825-0j 0.00330212-0j -0.0271717-0j -0.00688922-0j -0.0274533-0j -0.00696061-0j 0.00230955-0j 0.00285792-0j -0.0181031-0j 0.00166712-0j 0.000235717-0j -0.0224014-0j -0.00457389-0j 0.000291685-0j -0.000541873-0j -0.0130675-0j -0.0056599-0j 0.00017015-0j -0.000670534-0j -0.00330161-0j -0.000391145-0j 
0.40718-0j -0.000122349-0j 0.00167872-0j -0.0035667-0j 0.00346101-0j 0.0296529-0j 0.00751832-0j -0.0287743-0j -0.00729553-0j -0.00252045-0j -6.17307e-05-0j 0.0197562-0j 0.00353069-0j -0.000257242-0j 0.000483868-0j 0.00499156-0j -6.30037e-06-0j 0.000591355-0j -0.0276748-0j 0.000122253-0j 0.000360349-0j 1.44834e-05-0j -0.00699225-0j -0.000828379-0j 
0.3154-0j -0.00478823-0j 0.0656983-0j 0.00265679-0j -0.00279138-0j -0.0220881-0j -0.00560031-0j 0.0232071-0j 0.00588401-0j -0.00195233-0j 0.00232323-0j 0.0153031-0j -0.00140927-0j -0.000199259-0j -0.0182103-0j 0.00386645-0j 0.000237114-0j 0.000458062-0j 0.0110464-0j -0.00460098-0j -0.000143833-0j -0.000545083-0j 0.00279095-0j 0.000330646-0j 
-0.318669-0j -0.00464635-0j 0.0637515-0j 0.00279138-0j -0.0028181-0j -0.0232071-0j -0.00588401-0j 0.0234292-0j 0.00594033-0j 0.00197256-0j -0.0023443-0j -0.0154617-0j 0.00125813-0j 0.000201324-0j 0.0183755-0j -0.00390651-0j -0.000239264-0j -0.000462809-0j -0.00986166-0j 0.00464271-0j 0.000128407-0j 0.000550026-0j -0.00249163-0j -0.000295185-0j 
