-0.0594054-0j -0.00939282-0j -0.00742568-0j -0.00495045-0j -0.0010718-0j -0.00123761-0j -0.000437562-0j -0.000103134-0j -0.000109391-0j -9.11588e-06-0j -3.39729e-07-0j -0.00109915-0j -0.00017136-0j -0.000132735-0j -1.91587e-05-0j -0.00012117-0j -2.142e-05-0j -1.428e-05-0j -1.785e-06-0j -1.23669e-05-0j -2.52438e-06-0j -1.26219e-06-0j -1.4875e-07-0j -1.82181e-07-0j -1.17597e-08-0j -3.70397e-10-0j 
0.00605923-0j -0.0450572-0j 0.000757404-0j 0.000504936-0j -0.0103922-0j -0.00593681-0j 4.46305e-05-0j -0.00150524-0j -0.00106065-0j -0.000177704-0j -9.9513e-06-0j 0.00566433-0j -0.0415315-0j 0.000684033-0j -0.00938547-0j 0.000624434-0j -0.00519144-0j -0.00346096-0j -0.00131626-0j 6.3731e-05-0j -0.00123664-0j -0.000305909-0j -0.000146506-0j -0.00013434-0j -1.44931e-05-0j -6.39849e-07-0j 
-0.00612202-0j 0.0455241-0j -0.000765253-0j -0.000510169-0j 0.0104999-0j 0.00599833-0j -4.5093e-05-0j 0.00152084-0j 0.00107164-0j 0.000179546-0j 1.00544e-05-0j 0.00549649-0j -0.0403009-0j 0.000663764-0j -0.00910736-0j 0.000605931-0j -0.00503761-0j -0.00335841-0j -0.00127725-0j 6.18425e-05-0j -0.0012-0j -0.000296844-0j -0.000142165-0j -0.000130359-0j -1.40636e-05-0j -6.20889e-07-0j 
0.0034961-0j 0.000552782-0j -0.041569-0j 0.000291342-0j 6.30774e-05-0j -0.00692816-0j -0.00739993-0j 6.06962e-06-0j -0.00123118-0j -5.10307e-05-0j 1.99936e-08-0j 0.00326825-0j 0.000509528-0j -0.0375421-0j 5.6967e-05-0j 0.000360291-0j -0.00605833-0j 4.24607e-05-0j 5.30758e-06-0j -0.00703233-0j -0.000713981-0j -0.00107848-0j 4.42299e-07-0j -0.000103596-0j -3.32606e-06-0j 1.10135e-09-0j 
-0.000504619-0j 0.0075846-0j -6.30774e-05-0j -4.20516e-05-0j -0.0402659-0j 0.000999359-0j -3.71687e-06-0j -0.0118745-0j -0.00410962-0j -0.00211393-0j -0.000198059-0j -0.000471731-0j 0.00699112-0j -5.6967e-05-0j -0.0363653-0j -5.20035e-05-0j 0.00087389-0j 0.000582593-0j -0.0103837-0j -5.30758e-06-0j -0.00479155-0j 5.14945e-05-0j -0.00174281-0j -0.00105978-0j -0.00023044-0j -1.52954e-05-0j 
-0.00432621-0j -0.000684033-0j 0.051439-0j -0.000360517-0j -7.80543e-05-0j 0.00857316-0j 0.00915694-0j -7.51077e-06-0j 0.0015235-0j 6.31473e-05-0j -2.47408e-08-0j -8.00458e-05-0j -1.24793e-05-0j 0.000919479-0j -1.39523e-06-0j -8.82422e-06-0j 0.00014838-0j -1.03994e-06-0j -1.29993e-07-0j 0.000172235-0j 1.74868e-05-0j 2.6414e-05-0j -1.08327e-08-0j 2.53727e-06-0j 8.14618e-08-0j -2.69742e-11-0j 
0.000624434-0j -0.00938547-0j 7.80543e-05-0j 5.20362e-05-0j 0.0498266-0j -0.00123664-0j 4.59939e-06-0j 0.0146939-0j 0.0050854-0j 0.00261586-0j 0.000245085-0j 1.15536e-05-0j -0.000171226-0j 1.39523e-06-0j 0.000890657-0j 1.27367e-06-0j -2.14033e-05-0j -1.42688e-05-0j 0.000254316-0j 1.29993e-07-0j 0.000117354-0j -1.2612e-06-0j 4.26848e-05-0j 2.5956e-05-0j 5.64392e-06-0j 3.74615e-07-0j 
0.00252362-0j 0.000399019-0j -0.0300061-0j 0.000210302-0j 4.55316e-05-0j -0.00500101-0j -0.00534155-0j 4.38128e-06-0j -0.000888709-0j -3.68359e-05-0j 1.44321e-08-0j -0.00457822-0j -0.000713755-0j 0.0525896-0j -7.98002e-05-0j -0.000504701-0j 0.00848661-0j -5.94796e-05-0j -7.43494e-06-0j 0.009851-0j 0.00100016-0j 0.00151075-0j -6.19579e-07-0j 0.000145119-0j 4.6592e-06-0j -1.54279e-09-0j 
-0.000364253-0j 0.00547486-0j -4.55316e-05-0j -3.03544e-05-0j -0.0290655-0j 0.000721376-0j -2.68298e-06-0j -0.00857146-0j -0.00296648-0j -0.00152592-0j -0.000142966-0j 0.000660808-0j -0.00979327-0j 7.98002e-05-0j 0.0509411-0j 7.28473e-05-0j -0.00122416-0j -0.000816106-0j 0.0145456-0j 7.43494e-06-0j 0.00671208-0j -7.21342e-05-0j 0.00244136-0j 0.00148455-0j 0.000322804-0j 2.14261e-05-0j 
0.00247056-0j 0.000390631-0j 0.000308821-0j -0.0591995-0j 4.45744e-05-0j -0.00737421-0j 1.81974e-05-0j -0.000614517-0j 4.54936e-06-0j 3.79113e-07-0j 1.41287e-08-0j 0.00230955-0j 0.000360064-0j 0.000278905-0j 4.02564e-05-0j -0.0364775-0j 4.5008e-05-0j -0.00862784-0j 3.75067e-06-0j -0.00372297-0j -0.000759949-0j 2.65212e-06-0j -4.47804e-05-0j 3.82801e-07-0j 2.47097e-08-0j 7.78283e-10-0j 
-0.000436738-0j 0.00324764-0j 0.00519286-0j -3.63949e-05-0j 0.000749049-0j -0.0407035-0j 0.00092441-0j 0.000108495-0j -0.0146203-0j -0.00121836-0j 7.17271e-07-0j -0.000408275-0j 0.00299352-0j 0.00468982-0j 0.000676487-0j -4.5008e-05-0j -0.0355932-0j 0.00024946-0j 9.48735e-05-0j 0.000878489-0j -0.00847859-0j -0.00633614-0j 1.05599e-05-0j -0.00185179-0j -9.93664e-05-0j 4.61191e-08-0j 
