-0.00612315-0.00186665j -0.000968774+0.00278387j -0.0165723-0.00671712j 0.0102537-0.00284961j -0.0316407-0.00543255j -0.0133378+0.00206361j -0.00700167-0.000480762j -0.0144005+0.00320599j 0.0119699+0.0023302j -0.000270423+0.000395813j 0.0110546-0.00237529j -0.00596309+0.00179525j 4.25545e-05-0.000944854j 0.00809799-0.00242892j -0.00879813+0.00235882j 0.00044886-7.22363e-05j 0.00011125+0.000176455j -0.00352151+0.000920857j 0.00388389-0.000696478j 0.00177721-0.00217277j 0.000933595+0.000239237j 0.00431391-0.00162858j 0.00352852-0.00130425j 0.0042221-0.00208633j 0.00794181-0.00408577j 0.00278195-0.00146267j 0.00143765-0.000688862j 0.0017663-0.0012466j -0.000645833+0.000268211j 0.00114308-0.000372826j 0.000758331-0.000368843j 0.000119218-0.000407041j 0.00153759-0.00041006j -0.00519507+0.00189063j 0.000925739-0.000912616j 0.00148081-0.00013406j -0.00402799+0.00366123j -0.000176611+0.000976266j -0.00130899+0.00155825j -0.00289167+0.00316404j -0.00135519+0.00154895j 0.000589231-0.000123152j 0.000754524-0.00149794j -0.0019367+0.00160457j -0.00181761+0.00268313j 7.02421e-05-0.00244271j 0.0013701+0.000752558j 0.000789842+0.00242565j 0.00391365+0.00127464j 0.00217399+6.59103e-05j -0.00320903+0.000649097j 0.00286241-0.0026112j -0.00234958-0.00211918j -0.00359306+0.00212453j 0.00100741+0.0017568j -0.00267295+0.00123442j 
-0.00230444-0.00673913j -0.00644934+0.0095946j 0.00316446-0.0158918j 0.0069441-0.0114877j 0.00759736-0.00738463j -0.00396631+0.0155397j 0.00203078+0.014332j 0.00616599+0.00604356j -0.00604006+0.0112777j -8.9986e-05+0.0241874j -0.000778645-0.00754286j 0.00106566+0.00209522j -0.00230348-0.00938669j -0.00732786-0.000703701j 0.00151089-0.00275086j 0.00193261+0.00451833j 0.000715889+0.00370341j 0.000530732-0.00368789j 0.00240498+0.00366519j -0.00341705-0.0127354j -0.00039342+0.00202877j -0.00258909-0.0018976j 0.0004621+0.00479703j -0.00218248-0.00458315j -0.00420364-0.00322577j -0.0014384+0.000357674j 0.00017643-0.00063639j -0.00215585+9.25173e-05j 0.000551962-0.00282159j -0.000142416+0.00110451j 0.00014538+0.00114986j -0.00280979-0.00565842j 0.000371431+0.00144252j -0.00142311-0.00284531j -0.00106666-0.00185364j 0.00230236+0.00406311j 0.00332716+0.00367698j 0.00303342+0.00294671j 0.00188128+0.00267484j 0.00166883+3.07895e-05j 0.000488042+0.00151586j -0.000330472-0.00071926j -0.00169329-0.00204286j -0.00203792-0.00148294j 0.000526696+0.00416657j -0.00353712-0.00469885j 0.00206782-0.000932894j 0.00252144+0.00261067j 0.00161902+0.00280957j 0.00302829+0.0031066j -0.00251724+0.00263576j -0.00123624-0.00562614j -0.00584204-0.00531596j -0.00103346+0.00560315j 0.00740214+0.00672213j -0.00381458+0.00727825j 
-0.000867434+0.00502067j 0.00610926+0.00713605j 0.00176438+0.00112818j -0.00619054-0.00522738j 0.0016892-0.00390906j 0.00674264+0.00738273j 0.000833154-0.00103196j -0.00718236-0.00301477j 0.000714862+0.00380395j -0.00172463+0.00958566j -0.000696288-0.00641494j 0.00273355-0.00179259j 0.00651104-0.00200077j 0.00879185+0.00235961j 0.000763656+0.000282631j 0.000608746+0.00472976j 0.00142518-0.000371789j 0.00103165+0.00073035j -0.0068269+0.00408711j 0.00117295-0.00554596j 0.000208849-0.00217853j 0.000401342-0.00402985j 0.00254501+0.00365575j -0.00117949-0.000375846j 0.000938427-0.00391659j 0.0029189+0.00156129j -0.00128831+0.000322479j 0.00210292-0.00256647j -0.00345133+0.000110321j 2.84254e-05-0.000174438j -0.000176131+0.000423812j -0.000187566-0.00266366j 0.00141286+0.00152499j 0.00155779-0.00273711j 0.000264973-0.000814046j 0.00163277+0.00267244j -0.00115086+0.00541835j 0.000185953+0.00305215j 0.000549048+0.00314753j 0.00145782+0.00324659j 0.00131844+0.000179262j 0.000259016-0.00171111j -0.000932106-0.000237529j -0.000513418-0.000951699j 0.000551096+0.000946185j 0.00182369-0.00291905j 0.000601777+0.000987561j -0.000212505+0.00501356j 0.00409973+0.00179643j -0.00181583+0.000467729j 0.0015659-0.00321229j 0.0014324-0.000714815j 0.00327826-0.00391314j -0.00108698-0.000523517j -0.0148685-0.00179146j 0.00487692-0.0146994j 
0.00697011-0.000801678j 0.0020865-0.00835505j 0.00837921+0.000632822j -0.00109338+0.00890047j 0.000463607+0.00101743j 0.00214612-0.00547101j 0.00584307+0.00310109j -0.00653164+0.00459821j 0.00406017-0.00263298j 0.010068+0.000834018j -0.00226303+0.000560462j -0.0127056-0.00261874j 0.00286408-0.00568332j -0.00111365-0.0102191j 0.00122054+0.00107778j 0.00606781-0.000438488j 0.00241562+0.000479281j -0.00132317+0.000589452j 0.00244705+0.00555022j 0.000418085-0.000638925j -0.00674339+0.0013868j -0.00574893+2.38287e-05j 0.00494837-0.00302118j -0.00156192+0.000135228j 3.8695e-06-0.00299792j 0.00164538-0.00326417j 0.00248414+0.000354976j -0.00287714-0.00254659j -0.000159948+0.00291855j -0.0009187-0.000498511j 0.00190978-0.000189829j -0.00409008+0.00191406j 0.000266731-0.000333745j -0.0015888-0.00182081j 0.000930713-0.00113046j 0.00178339-0.000784234j 0.00169941+0.00279824j 0.00396517-0.000114934j 0.00173975-0.000379001j 0.000640242+5.09718e-05j 0.000342042-0.000774859j -0.00229919+0.00166751j 0.00110987+0.000934315j -0.00249549+0.0016727j -0.00180091+0.000357703j -0.000384248-0.00272301j -0.000591186-0.000110515j 0.0022415+0.00183989j 0.000941574+0.000237821j 0.0026861+0.00100781j -0.00198383-0.00159944j 0.00325558-0.0011112j -0.0014047-0.00688709j -0.00547357+0.000396242j -0.00172038+0.0144418j -0.0147192-0.00342463j 
0.00295187-0.0044877j 0.00207693-0.00314431j -0.00365843-0.00839779j -0.00210995+0.000971382j -0.00304444-0.00188874j 0.00610903-0.00679214j -0.00941064-0.010237j 0.000425036+0.0145831j -0.00196215-0.00283889j -0.00286256-0.00472245j -0.00596402+0.0016923j 0.0108695+0.00791349j -0.00477564-0.00824038j 0.00346068-0.00393346j 0.00102322-0.00401999j -0.0021685-0.00516568j -0.00355905-0.00557201j 0.00419558-0.00320288j 0.00127913+0.0085985j -0.00494023-0.00380273j 0.00561075+0.00266109j 0.00209081+0.000753544j -0.00319372-0.00266633j 0.00179047+0.0023007j -0.00593149-0.00262294j -0.000770727-0.00186525j -0.00277167+0.00120222j -0.000646143-0.00239962j 0.00192216+0.00514386j 0.000303248+0.000604928j -0.00259436-0.00181967j 0.00383111-0.00102483j 0.00165278-0.00074155j -0.00199585-0.00465937j -0.00209173-0.000152851j 0.000856891+8.19957e-05j 0.00435151+0.000947998j -0.00125027+0.00147053j 0.0014629+0.00142765j 0.00575644+0.00300294j -0.000429676-0.00196926j 0.00270869-0.00106169j -0.00144903-0.0014962j 0.00375412-0.00205017j 0.00162627-0.00211151j -0.00283603-0.00287464j 0.00398649+0.00381763j 0.00435439+0.000314823j 0.00300642-0.00400378j -0.00394553+0.00199337j -0.00354583-0.00418961j -0.00238838-0.00246553j -0.00329326-0.00130148j 0.0016998+0.000277582j -0.00138005+0.00441002j -0.00285282-0.00452846j 
-0.0014491+0.000837456j -0.00276286+0.00461396j 0.00651906-0.00572703j 0.00490137-0.00288827j 0.00458664-0.00310265j 0.000418454+0.00477105j 0.0108907-0.0137381j -0.00612469+0.000113332j -0.000819204-0.00410428j 0.00234066-0.00921283j 0.00154607-0.00417048j -0.00765338+0.0173645j 0.00298264-0.00335443j -0.00371831+0.0076453j 0.00227434+0.000412598j 0.000847531-0.00425414j 0.00341177-0.00416171j 0.000457922+0.00655289j -0.00221035-0.00302933j 0.00406166-0.00412984j -0.000884021+0.0078995j -0.000343925+0.00527729j 0.000137382-0.00429303j -0.00126936+0.00220626j 0.000903886-0.0050473j -0.000108051-0.000891247j -0.000195143-0.00531866j 0.00045872+0.00251456j -0.00130456-0.000454603j -0.000523024+0.000654376j 0.000704137-0.00310004j 0.00159911+0.00676041j 0.00018831+0.00193415j 0.00106329+0.00132433j -0.000102592-0.00258844j -0.000698357-0.000554217j 0.000286373+0.00460963j -0.00119429-0.00389511j -0.00098637+0.000326023j -0.00187631+0.00335189j 0.000602699+0.000487114j 0.00154728+0.00320331j 0.00199295-0.000945256j 0.00167541+0.00541229j 0.000989303+0.00445309j 0.000485617-0.00168574j -0.00262717+0.0023047j 0.000214155+0.00314266j 0.00363097+0.00304868j 0.000215717-0.00540075j 0.00209991-4.03648e-05j 0.00157111-0.00350848j -0.00200827-0.00176036j -0.000851449+0.00496322j 0.00181246-0.00152514j 0.00195132+0.00407522j 
0.00755955-0.00622774j -0.00217842-0.00574281j 0.000397823-0.00197334j 0.000879088+0.000108102j -0.00354853+0.00350006j 0.00266682+0.00143515j 0.0017475+0.0120112j -0.00669152+0.00215067j 0.00314325+0.00229435j 0.00327033+0.00441876j -0.00373635+0.00273831j -0.00296861-0.00668409j 0.0031898+0.000276707j 0.00217393-0.00529613j 0.00412859-0.000434188j 0.00672227-0.00150487j 0.005095+0.00258078j 0.0041525-0.00555121j -0.00640089+0.000929614j -0.00078501+0.00313334j -0.00156316-0.000705783j 0.00184661-0.00176082j 0.00102987-0.000441524j -0.00164473-0.00182305j 0.00450543+0.00204059j -0.000969578+0.000594982j -0.000632397+0.00332824j 0.00272522-0.0012085j -0.00502573+0.00255753j -0.000505077+0.000297252j 0.0028653-0.000502744j -0.000321914-0.00379744j -0.0011366-0.00192647j 0.00551966-0.0024194j 0.000308195+0.000368898j -0.00105319+0.00138958j -0.00270532-0.00567488j -0.00144034+0.0022198j -0.00305589-0.000151439j -0.00543589+0.00212614j 0.00101809-0.0017075j 0.000101168+0.00119123j -0.000268074-0.00200314j 0.00077698-0.00200848j 0.00174075-0.00417598j 0.0023444+0.000535897j -0.00342968+0.00220589j -0.00272542-0.00281729j -0.00344913+0.00114549j -0.00126221+0.00177365j 0.0037611-0.00162717j 7.54703e-05+0.00188987j 0.00214918+0.00194693j 0.00247643-0.00403752j 0.00935623-0.00555692j 0.0087518+0.00927004j 
-0.0104894-0.00254117j -0.00548745+0.00220123j -0.00369475+0.0029073j 0.00265303+0.00259278j 0.00370847+0.000493939j -0.00671065-0.00338791j 0.00521037-0.00181011j 0.0117022+0.000407553j -0.00183287-0.00278285j -0.00105775-0.00315485j 0.00612144+0.00204488j -0.00144565+0.000610576j -0.00520574+0.00093994j -0.00969911-0.00117449j -0.003795-0.000832893j -0.00605626+5.37347e-05j -0.00142472-0.00137865j -0.00766187-0.000128396j 0.00936588+0.00156815j 0.000623884+0.000740272j 0.00070024-0.000141322j -0.00263104-0.000398181j -0.00116842+0.000194522j -0.000647928+0.00219056j -0.00329087-0.00024136j -0.000793312+0.000599763j 0.00364939-0.000201j -0.00505486-0.000816204j 0.00647788-0.000287077j -0.000184963-0.000499155j -0.00220305+0.000330991j -0.00261645+0.00162549j -0.000483294+0.00155529j -0.00713302+0.000105567j 0.000161253+0.000695852j 0.002126-0.000875439j -0.000851904+0.00145771j 0.00451753-0.00172941j 0.00202031+0.000237241j 0.00558114-0.00214888j -0.00178733+0.000597307j 0.000473115-0.00157208j -0.00159255+0.00218164j -0.00359622-0.000213726j -0.0045323+0.000936012j -0.00254729+0.000534233j 0.0046855-0.00286826j 0.000434931+0.00106497j 0.00136859-0.000609147j 0.00372009-0.00028072j -0.00456903+0.000840832j 0.000614893-0.000883348j -0.00436785-0.00145932j -0.00505206+0.00379262j -0.00325844-0.000468793j -0.00361627-0.00620755j 
0.0011696+0.00927489j 0.00138656+0.000610911j 0.00208725+0.000975901j 0.00492815-0.00299635j -0.00190505+0.00122237j 0.00189654+0.00244776j -0.00115718-0.00822276j -0.000466528-0.000833607j -0.00216995+0.000925234j 0.000408129+0.00631253j -0.00407265-0.00308455j -0.0046144-0.00295793j 0.0022523-0.00235851j -0.00476313+0.00549431j 0.000811625-0.00185999j 0.00488223+0.00307392j -0.00260782-0.00780783j -0.00307336+0.00356508j 0.00590784-5.93403e-05j -0.00165648+0.00146833j -0.00148241-0.00310168j -0.00415514-0.00144524j -0.000230572+0.000729029j 0.00649341+0.00462157j 0.000171327+0.00158737j 0.00363778+0.0013069j 0.00368388-0.00205506j -0.00550718+0.00374477j 0.00245889+0.000550554j -0.00109837+0.00166572j 0.000632276+0.000308108j -0.00192486-0.00091195j 0.00203903-0.0010608j -0.00215425+0.00236056j 0.00148889+3.4423e-05j 0.00272107-0.00172915j -0.00410381+0.00121367j -0.000882384-0.00398625j 0.00100228+0.000370242j 0.00316703-0.00286952j -0.00172861-0.00225943j -0.00182364-0.00266899j -0.000518882+0.00275794j -0.000882951+0.00241482j -0.00452562+0.00116951j 0.00206633-0.000618579j -0.000726708-0.00260795j 0.00205331-0.00136035j -0.00355526-0.00425688j -0.00443867+0.00151011j -0.00537918-0.000388403j -0.000840307-0.00116507j 0.00230217+0.00657049j 0.00427602+0.000664729j -0.00882984+0.00488415j -0.0101922-0.00576485j 
-0.00125532+0.00300893j 0.00449146+0.00372909j -0.00213516+0.000688721j -0.00795587-0.00803775j 0.00561342+0.00331536j -0.00260433-0.00388556j -0.00310696-0.00273919j 0.00704135+0.00404002j 0.00215788+0.00259295j 0.00654375+0.00502871j 0.00530951+0.00497552j -0.00373611+0.00518423j -0.00483603-0.0061856j 0.00285805+0.00572883j -0.00904834-0.0048106j -0.00825388-0.00450874j -0.0114713-0.00561385j -0.00624575+0.000462559j 0.00172154+0.000613128j 0.00485205-6.13821e-05j -0.00438407-0.00091643j -0.00535639-0.00146265j 7.07109e-05+0.00225311j 0.00261683-0.00173399j 0.00237532-0.00449989j 0.00412367-0.00122818j -0.00052473-0.00364578j 0.00604609+0.00190232j 0.00661368+0.00104876j 0.00453205-0.000213195j -0.00391683-0.00173933j -0.00538564+0.00100265j -0.00486307+0.000681175j 0.000281719-0.000875088j -0.000817681-0.000433183j -0.00195092+0.00113285j -0.00363586+0.00407788j -0.0027796+0.00185337j 0.00257428+0.00111504j -0.00251012+0.00169369j -0.00468372+0.00223088j -0.00323812+0.00111576j 0.000583425+0.000546443j 0.00047986+0.000210529j -0.00113954+0.00217526j 0.000110724-0.00125719j -0.000155519+0.00269682j -0.00508773+0.00108518j -0.00654474+0.00493251j 0.00347291+0.0033997j -0.000283864+0.00146846j -0.000936344+0.00298223j 0.0113262-0.00194988j -2.88106e-05-0.00808475j -0.00488401-0.000335255j 0.00186154-0.00348861j 
-0.00304222+0.0038649j 0.00188631-0.00160639j 0.0029629+0.000311775j -0.000410866+0.00480618j 0.00458708-0.00308263j -0.0012395+0.00164786j 0.00309258-0.00308701j 0.00118309-0.00221932j -0.000310377-0.00155688j 0.00407117-0.00118813j 0.0106729-0.0078354j 0.00843053-0.00252358j -0.00752242+0.00642728j 0.00142144-0.00383257j -0.00365815+0.00374094j 0.00023821+0.00372374j -0.00283553+0.00106569j -0.000899108+0.000677107j 0.00226632+0.00106403j 0.00342121-0.00525502j 0.0014145-0.00153887j -0.00295468-0.000932918j 0.00246591-0.00362306j -0.00125425+0.00341938j -0.00262123-0.00196235j 0.000144028-0.000454861j -0.00122261+0.00412881j 0.00157674-0.00832633j 0.00235328-0.00179099j -0.000707364-0.000954331j -0.00221573+0.00238561j -0.000851738+0.00189939j 0.000886747+0.00271359j -0.00157142+2.08691e-05j -0.000661424+0.00162517j 0.00293135+0.00135653j -0.0013738-0.000217961j 0.000433794+0.00316574j 0.000303323-0.000602126j 0.0004553+0.00760052j -0.000802726+0.00359944j 0.00117601-0.00116139j -0.00160092-0.00178333j -0.00145612+0.0023004j 0.000540008-0.00162293j 0.00181946+0.000856479j 0.00303324+0.00267486j -0.000281675+0.00634705j 0.00448202+0.00178932j 0.000331944-0.00275066j -0.00239756-0.00229161j 0.00207848-0.0017767j -0.00213511-0.00242839j -0.0032299+0.000697834j -0.00457266-0.00443983j 0.0020852-0.00752738j 
