-0.037889-0j -0.00546881-0j -0.0310611-0j -0.00549087-0j -0.000457573-0j -0.0189018-0j -0.0190977-0j -0.0031503-0j -0.00192916-0j -0.00318295-0j -0.000393788-0j -0.00194915-0j -0.000397868-0j -2.32042e-05-0j -2.34446e-05-0j -0.0137175-0j -0.0169745-0j -0.00990179-0j -0.00221365-0j -0.00180743-0j -0.00273925-0j -0.000260881-0j -0.00159789-0j -0.000225929-0j -0.00223659-0j -2.6626e-05-0j -0.000322823-0j -0.00130468-0j -0.000279573-0j -1.21531e-06-0j -0.000188314-0j -0.000163084-0j -3.2948e-05-0j -1.50387e-06-0j -1.92197e-05-0j -8.77255e-07-0j -0.0107767-0j -0.0125728-0j -0.00769924-0j -0.00170394-0j -0.0110012-0j -0.00453776-0j -0.00134709-0j -0.00198793-0j -0.000898057-0j -0.000194435-0j -0.00121736-0j -0.00173944-0j -0.0015716-0j -0.000224514-0j -0.000717483-0j -0.00104773-0j -7.93778e-05-0j -0.000962404-0j -0.000226841-0j -1.87095e-05-0j -0.000641603-0j -0.000138911-0j -0.00137515-0j -1.98444e-05-0j -0.000916767-0j -0.000261933-0j -0.000198486-0j -0.00056722-0j -1.6537e-06-0j -0.000160401-0j -9.26074e-05-0j -0.000378147-0j -2.18278e-05-0j -8.18712e-05-0j -6.16299e-08-0j -5.67102e-05-0j -1.33667e-05-0j -2.31519e-05-0j -0.000229192-0j -1.41776e-05-0j -8.10315e-05-0j -1.92932e-06-0j -9.45367e-05-0j -1.90993e-05-0j -2.02579e-05-0j -1.18146e-06-0j -3.34238e-05-0j -7.19016e-08-0j -7.87806e-06-0j -1.68816e-06-0j -4.40305e-08-0j -8.35595e-06-0j -6.29139e-08-0j -6.96329e-07-0j -2.59506e-08-0j 
0.0413489-0j 0.0059682-0j 0.000482491-0j 8.52931e-05-0j 7.10776e-06-0j 0.0206279-0j -0.0202483-0j 0.00343798-0j 0.00210532-0j -0.00337472-0j 0.000429747-0j -0.00206658-0j -0.00042184-0j 2.53231e-05-0j -2.48572e-05-0j 0.0149701-0j 0.000263675-0j -0.0211505-0j 0.00241579-0j 0.00197248-0j 4.25504e-05-0j 0.000284704-0j -0.00341316-0j 0.000246561-0j 3.47423e-05-0j 2.90574e-05-0j 5.01462e-06-0j -0.00278683-0j 4.34278e-06-0j 1.32628e-06-0j -0.000402244-0j -0.000348354-0j 5.11802e-07-0j 2.33605e-08-0j -4.10539e-05-0j -1.87384e-06-0j 0.0117608-0j 0.000195301-0j 0.0084023-0j 0.00185954-0j -0.011664-0j -0.0145745-0j 0.0014701-0j 3.08798e-05-0j 0.000980065-0j 0.00021219-0j 0.00132852-0j -0.00184424-0j 2.44126e-05-0j 0.000245016-0j -0.00230442-0j 1.62751e-05-0j 8.66263e-05-0j 0.00105029-0j 3.52366e-06-0j 2.0418e-05-0j 0.000700192-0j 0.000151596-0j -0.001458-0j 2.16566e-05-0j -0.000972001-0j 4.06877e-06-0j -0.000210444-0j -0.00182181-0j 1.80471e-06-0j 0.000175048-0j 1.43853e-06-0j -0.00121454-0j 3.39064e-07-0j -0.000262955-0j 6.72577e-08-0j 6.18888e-05-0j 1.45873e-05-0j 3.59632e-07-0j -0.000243-0j 1.54722e-05-0j -8.59136e-05-0j 2.99693e-08-0j -0.000303635-0j -2.025e-05-0j -2.14784e-05-0j 1.28935e-06-0j -0.000107351-0j 1.11689e-09-0j -2.53029e-05-0j -1.78987e-06-0j 4.80513e-08-0j -2.68378e-05-0j -6.67044e-08-0j -2.23648e-06-0j -8.33487e-08-0j 
0.0320287-0j 0.00462295-0j 0.0262569-0j 0.0046416-0j 0.0003868-0j -0.015722-0j 0.0161439-0j -0.00262033-0j -0.00160462-0j 0.00269064-0j -0.000327541-0j 0.00164768-0j 0.00033633-0j -1.93005e-05-0j 1.98185e-05-0j 0.0115958-0j -0.0141189-0j 0.00837028-0j 0.00187126-0j 0.00152788-0j -0.00227843-0j 0.00022053-0j 0.00135075-0j 0.000190985-0j -0.00186033-0j 2.25078e-05-0j -0.000268515-0j 0.00110288-0j -0.000232541-0j 1.02734e-06-0j 0.000159187-0j 0.00013786-0j -2.74052e-05-0j -1.25087e-06-0j 1.6247e-05-0j 7.4157e-07-0j 0.00910986-0j 0.0106282-0j -0.0193164-0j 0.0014404-0j -0.00915047-0j 0.00383591-0j 0.00113873-0j 0.00168046-0j 0.000759155-0j 0.000164362-0j -0.00305419-0j -0.00144682-0j 0.00132852-0j 0.000189789-0j 0.00060651-0j 0.000885681-0j 6.71004e-05-0j -0.00241455-0j 0.000191755-0j 1.58157e-05-0j -0.0016097-0j -0.00034851-0j -0.00114381-0j 1.67751e-05-0j -0.000762539-0j 0.00022142-0j -0.000165095-0j 0.000479489-0j 1.39793e-06-0j -0.000402425-0j 7.82839e-05-0j 0.000319659-0j 1.84517e-05-0j 6.92082e-05-0j 5.20976e-08-0j -0.000142279-0j -3.35354e-05-0j 1.9571e-05-0j -0.000190635-0j -3.55697e-05-0j -6.73996e-05-0j 1.63091e-06-0j 7.99148e-05-0j -1.58862e-05-0j -1.68499e-05-0j -2.96414e-06-0j 2.82541e-05-0j 6.07806e-08-0j 6.65956e-06-0j -1.40416e-06-0j -1.10467e-07-0j 7.06353e-06-0j -5.23299e-08-0j 5.88628e-07-0j 2.19369e-08-0j 
-0.0323607-0j -0.00467086-0j 0.0257737-0j 0.0045562-0j 0.000379683-0j -0.0161439-0j 0.0163045-0j -0.00269064-0j -0.00164768-0j 0.00271742-0j -0.00033633-0j 0.00166408-0j 0.000339678-0j -1.98185e-05-0j 2.00157e-05-0j -0.011716-0j 0.014085-0j -0.00774505-0j -0.00189065-0j -0.00154371-0j 0.00227296-0j -0.000222816-0j -0.00124985-0j -0.000192964-0j 0.00185587-0j -2.2741e-05-0j 0.000267871-0j -0.0010205-0j 0.000231983-0j -1.03798e-06-0j -0.000147296-0j -0.000127563-0j 2.73395e-05-0j 1.24787e-06-0j -1.50334e-05-0j -6.86177e-07-0j -0.00920426-0j 0.0104326-0j -0.00657584-0j -0.00145532-0j 0.00939221-0j -0.0185051-0j -0.00115053-0j 0.00164954-0j -0.000767022-0j -0.000166065-0j -0.00103973-0j 0.00148504-0j 0.00130408-0j -0.000191755-0j -0.00292591-0j 0.000869384-0j -6.77958e-05-0j -0.00082198-0j 0.000188227-0j -1.59796e-05-0j -0.000547987-0j -0.000118643-0j 0.00117403-0j -1.6949e-05-0j 0.000782684-0j 0.000217346-0j 0.000169456-0j -0.00231313-0j -1.41241e-06-0j -0.000136997-0j 7.68435e-05-0j -0.00154209-0j 1.81122e-05-0j -0.000333872-0j -5.26375e-08-0j -4.84357e-05-0j -1.14164e-05-0j 1.92109e-05-0j 0.000195671-0j -1.21089e-05-0j 6.91802e-05-0j 1.60091e-06-0j -0.000385522-0j 1.63059e-05-0j 1.7295e-05-0j -1.00908e-06-0j -0.000136303-0j 5.96622e-08-0j -3.21269e-05-0j 1.44125e-06-0j -3.76061e-08-0j -3.40757e-05-0j 5.37124e-08-0j -2.83964e-06-0j -1.05827e-07-0j 
0.0292381-0j 0.00422016-0j 0.0239691-0j 0.00423718-0j 0.000353099-0j 0.0145861-0j 0.0147373-0j 0.00243102-0j 0.00148869-0j 0.00245621-0j 0.000303877-0j 0.00150411-0j 0.000307026-0j 1.79061e-05-0j 1.80917e-05-0j -0.0211148-0j 0.0130988-0j 0.00764099-0j -0.00340738-0j -0.00278212-0j 0.00211382-0j -0.000401564-0j 0.00123306-0j -0.000347764-0j 0.00172592-0j -4.09844e-05-0j 0.000249116-0j 0.00100679-0j 0.00021574-0j -1.87067e-06-0j 0.000145317-0j 0.000125849-0j 2.54253e-05-0j 1.1605e-06-0j 1.48314e-05-0j 6.76958e-07-0j -0.0250989-0j -0.0193528-0j 0.00594133-0j -0.00396848-0j 0.00848938-0j 0.00350169-0j -0.00313736-0j -0.00305995-0j -0.00209157-0j -0.000452838-0j 0.000939406-0j 0.00134229-0j -0.0024191-0j -0.000522893-0j 0.000553666-0j -0.00161274-0j -0.000184871-0j 0.000742666-0j -0.000349167-0j -4.35744e-05-0j 0.000495111-0j 0.000107195-0j 0.00106117-0j -4.62176e-05-0j 0.000707448-0j -0.000403184-0j 0.000153167-0j 0.000437711-0j -3.85147e-06-0j 0.000123778-0j -0.000142547-0j 0.000291807-0j -3.35987e-05-0j 6.31782e-05-0j -1.43536e-07-0j 4.3762e-05-0j 1.03148e-05-0j -3.56368e-05-0j 0.000176862-0j 1.09405e-05-0j 6.25302e-05-0j -2.96973e-06-0j 7.29519e-05-0j 1.47385e-05-0j 1.56325e-05-0j 9.11708e-07-0j 2.57924e-05-0j -1.10675e-07-0j 6.07932e-06-0j 1.30271e-06-0j 3.39774e-08-0j 6.44809e-06-0j 4.85492e-08-0j 5.37341e-07-0j 2.00255e-08-0j 
-0.0361803-0j -0.00522218-0j -0.000422179-0j -7.46315e-05-0j -6.21929e-06-0j 0.0177598-0j 0.0177173-0j 0.00295997-0j 0.00181261-0j 0.00295288-0j 0.000369997-0j 0.00180826-0j 0.00036911-0j 2.18023e-05-0j 2.175e-05-0j -0.0130988-0j 0.000227015-0j 0.0185067-0j -0.00211382-0j -0.00172592-0j 3.66344e-05-0j -0.000249116-0j 0.00298651-0j -0.00021574-0j 2.99119e-05-0j -2.54253e-05-0j 4.3174e-06-0j 0.00243848-0j 3.73898e-06-0j -1.1605e-06-0j 0.000351964-0j 0.000304809-0j 4.40643e-07-0j 2.01125e-08-0j 3.59221e-05-0j 1.63961e-06-0j 0.0310582-0j -0.000170888-0j 0.0218202-0j 0.00491074-0j -0.0100423-0j 0.0127527-0j 0.00388228-0j -2.70198e-05-0j 0.00258819-0j 0.000560359-0j 0.00345007-0j -0.00158783-0j -2.13611e-05-0j 0.000647047-0j 0.00201637-0j -1.42407e-05-0j 0.000228766-0j 0.00272752-0j -3.0832e-06-0j 5.39206e-05-0j 0.00181835-0j 0.000393684-0j -0.00125529-0j 5.71914e-05-0j -0.000836858-0j -3.56018e-06-0j -0.000181185-0j 0.00159408-0j 4.76595e-06-0j 0.000454587-0j -1.25871e-06-0j 0.00106272-0j -2.96681e-07-0j 0.000230086-0j 1.77616e-07-0j 0.000160721-0j 3.78823e-05-0j -3.14678e-07-0j -0.000209215-0j 4.01802e-05-0j -7.39685e-05-0j -2.62232e-08-0j 0.00026568-0j -1.74345e-05-0j -1.84921e-05-0j 3.34835e-06-0j 9.39322e-05-0j -9.7728e-10-0j 2.214e-05-0j -1.54101e-06-0j 1.24786e-07-0j 2.3483e-05-0j -5.74301e-08-0j 1.95692e-06-0j 7.29301e-08-0j 
-0.0241202-0j -0.00348145-0j -0.000281453-0j -4.97543e-05-0j -4.14619e-06-0j -0.0120329-0j 0.0118115-0j -0.00200549-0j -0.0012281-0j 0.00196859-0j -0.000250686-0j 0.00120551-0j 0.000246073-0j -1.47718e-05-0j 1.45e-05-0j 0.0435702-0j -0.000153811-0j 0.0123378-0j 0.0070311-0j 0.00574087-0j -2.48211e-05-0j 0.000828623-0j 0.00199101-0j 0.000717609-0j -2.02663e-05-0j 8.4571e-05-0j -2.92519e-06-0j 0.00162565-0j -2.53329e-06-0j 3.86012e-06-0j 0.000234642-0j 0.000203206-0j -2.98551e-07-0j -1.36269e-08-0j 2.39481e-05-0j 1.09308e-06-0j -0.00686045-0j 0.000568419-0j -0.00490134-0j -0.00108473-0j 0.00680401-0j 0.00850177-0j -0.000857557-0j 8.9875e-05-0j -0.000571704-0j -0.000123778-0j -0.000774971-0j 0.00107581-0j 7.10524e-05-0j -0.000142926-0j 0.00134425-0j 4.73683e-05-0j -5.0532e-05-0j -0.000612668-0j 1.02555e-05-0j -1.19105e-05-0j -0.000408445-0j -8.8431e-05-0j 0.000850501-0j -1.2633e-05-0j 0.000567001-0j 1.18421e-05-0j 0.000122759-0j 0.00106272-0j -1.05275e-06-0j -0.000102111-0j 4.1868e-06-0j 0.000708481-0j 9.86839e-07-0j 0.000153391-0j -3.92337e-08-0j -3.61018e-05-0j -8.50928e-06-0j 1.0467e-06-0j 0.00014175-0j -9.02545e-06-0j 5.01163e-05-0j 8.72251e-08-0j 0.00017712-0j 1.18125e-05-0j 1.25291e-05-0j -7.52121e-07-0j 6.26214e-05-0j 3.25069e-09-0j 1.476e-05-0j 1.04409e-06-0j -2.80299e-08-0j 1.56554e-05-0j 3.89109e-08-0j 1.30461e-06-0j 4.86201e-08-0j 
0.0211052-0j 0.00304627-0j -0.0338649-0j -0.00598652-0j -0.000498876-0j 0.0105288-0j 0.00974233-0j 0.0017548-0j 0.00107459-0j 0.00162372-0j 0.00021935-0j 0.000994323-0j 0.000202965-0j 1.29253e-05-0j 1.19598e-05-0j 0.00764099-0j -0.0185067-0j 0.0213558-0j 0.00123306-0j 0.00100679-0j -0.00298651-0j 0.000145317-0j 0.00344627-0j 0.000125849-0j -0.00243848-0j 1.48314e-05-0j -0.000351964-0j 0.00281387-0j -0.000304809-0j 6.76958e-07-0j 0.000406147-0j 0.000351734-0j -3.59221e-05-0j -1.63961e-06-0j 4.14522e-05-0j 1.89203e-06-0j -0.0181173-0j -0.0137077-0j 0.00428868-0j -0.0028646-0j 0.00561206-0j 0.00294113-0j -0.00226466-0j -0.00216738-0j -0.00150978-0j -0.000326876-0j 0.000678099-0j 0.000887345-0j -0.00171346-0j -0.000377444-0j 0.000465034-0j -0.00114231-0j -0.000133447-0j 0.000536085-0j -0.000247317-0j -3.14537e-05-0j 0.00035739-0j 7.73771e-05-0j 0.000701508-0j -3.33616e-05-0j 0.000467672-0j -0.000285577-0j 0.000101254-0j 0.000367641-0j -2.78014e-06-0j 8.93474e-05-0j -0.000100967-0j 0.000245094-0j -2.37981e-05-0j 5.30645e-05-0j -1.0361e-07-0j 3.15891e-05-0j 7.44562e-06-0j -2.52417e-05-0j 0.000116918-0j 7.89727e-06-0j 4.13367e-05-0j -2.10347e-06-0j 6.12736e-05-0j 9.74316e-06-0j 1.03342e-05-0j 6.58106e-07-0j 2.16635e-05-0j -7.83919e-08-0j 5.10613e-06-0j 8.61182e-07-0j 2.45262e-08-0j 5.41587e-06-0j 3.20944e-08-0j 4.51322e-07-0j 1.68198e-08-0j 
-0.0208887-0j -0.00301503-0j -0.0171244-0j -0.00302719-0j -0.000252266-0j 0.0309281-0j -0.0105288-0j 0.00515469-0j 0.00315659-0j -0.0017548-0j 0.000644336-0j -0.00107459-0j -0.00021935-0j 3.79678e-05-0j -1.29253e-05-0j 0.0150851-0j 0.0277746-0j -0.00545899-0j 0.00243435-0j 0.00198764-0j 0.0044821-0j 0.000286891-0j -0.00088094-0j 0.000248455-0j 0.00365962-0j 2.92807e-05-0j 0.00052822-0j -0.000719285-0j 0.000457452-0j 1.33647e-06-0j -0.00010382-0j -8.99106e-05-0j 5.39113e-05-0j 2.4607e-06-0j -1.05961e-05-0j -4.83642e-07-0j -0.00594133-0j 0.0138263-0j -0.00397451-0j -0.000939406-0j 0.0180007-0j -0.00250173-0j -0.000742666-0j 0.00218613-0j -0.000495111-0j -0.000107195-0j -0.000628426-0j 0.00284617-0j 0.00172829-0j -0.000123778-0j -0.000395558-0j 0.00115219-0j -4.3762e-05-0j -0.000496814-0j 0.000249457-0j -1.03148e-05-0j -0.00033121-0j -7.1709e-05-0j 0.00225009-0j -1.09405e-05-0j 0.00150006-0j 0.000288048-0j 0.000324773-0j -0.000312716-0j -9.11708e-07-0j -8.28024e-05-0j 0.000101841-0j -0.000208477-0j 2.4004e-05-0j -4.51367e-05-0j -3.39774e-08-0j -2.92751e-05-0j -6.9002e-06-0j 2.54601e-05-0j 0.000375015-0j -7.31877e-06-0j 0.000132588-0j 2.12168e-06-0j -5.21193e-05-0j 3.12513e-05-0j 3.3147e-05-0j -6.09897e-07-0j -1.8427e-05-0j 7.90702e-08-0j -4.34328e-06-0j 2.76225e-06-0j -2.27295e-08-0j -4.60674e-06-0j 1.02943e-07-0j -3.83895e-07-0j -1.43069e-08-0j 
0.0298472-0j 0.00430808-0j -0.0237719-0j -0.00420232-0j -0.000350194-0j -0.0146511-0j -0.0150382-0j -0.00244185-0j -0.00149532-0j -0.00250636-0j -0.000305232-0j -0.00153483-0j -0.000313295-0j -1.7986e-05-0j -1.84611e-05-0j -0.0215547-0j 0.0127827-0j 0.0071435-0j -0.00347837-0j -0.00284008-0j 0.0020628-0j -0.00040993-0j 0.00115278-0j -0.000355009-0j 0.00168427-0j -4.18383e-05-0j 0.000243103-0j 0.000941239-0j 0.000210533-0j -1.90965e-06-0j 0.000135856-0j 0.000117655-0j 2.48116e-05-0j 1.13249e-06-0j 1.38658e-05-0j 6.32882e-07-0j 0.00848938-0j 0.0191936-0j -0.0180007-0j 0.00134229-0j 0.00852377-0j 0.0170678-0j 0.00106117-0j 0.00303478-0j 0.000707448-0j 0.000153167-0j -0.00284617-0j 0.00134773-0j 0.0023992-0j 0.000176862-0j 0.00269866-0j 0.00159947-0j 6.25302e-05-0j -0.00225009-0j 0.000346295-0j 1.47385e-05-0j -0.00150006-0j -0.000324773-0j 0.00106547-0j 1.56325e-05-0j 0.000710314-0j 0.000399867-0j 0.000153787-0j 0.00213348-0j 1.30271e-06-0j -0.000375015-0j 0.000141374-0j 0.00142232-0j 3.33222e-05-0j 0.000307941-0j 4.85492e-08-0j -0.000132588-0j -3.12513e-05-0j 3.53436e-05-0j 0.000177578-0j -3.3147e-05-0j 6.27835e-05-0j 2.9453e-06-0j 0.000355579-0j 1.47982e-05-0j 1.56959e-05-0j -2.76225e-06-0j 0.000125716-0j 1.09765e-07-0j 2.96316e-05-0j 1.30799e-06-0j -1.02943e-07-0j 3.14291e-05-0j 4.87459e-08-0j 2.61909e-06-0j 9.76077e-08-0j 
0.0149236-0j 0.00215404-0j 0.00017414-0j 3.07839e-05-0j 2.56533e-06-0j -0.0368667-0j -0.007308-0j -0.00614444-0j -0.00376269-0j -0.001218-0j -0.000768055-0j -0.00074587-0j -0.00015225-0j -4.52581e-05-0j -8.97142e-06-0j 0.005403-0j -0.000471248-0j -0.00763364-0j 0.000871905-0j 0.000711907-0j -7.60473e-05-0j 0.000102755-0j -0.00123187-0j 8.89884e-05-0j -6.20923e-05-0j 1.04874e-05-0j -8.96226e-06-0j -0.00100582-0j -7.76154e-06-0j 4.78681e-07-0j -0.000145178-0j -0.000125727-0j -9.14706e-07-0j -4.17504e-08-0j -1.48171e-05-0j -6.76306e-07-0j 0.00424469-0j 7.04879e-05-0j 0.0385522-0j 0.000671144-0j 0.0208462-0j -0.0052602-0j 0.000530586-0j 1.11451e-05-0j 0.000353724-0j 7.65835e-05-0j 0.00609564-0j 0.00329608-0j 8.81098e-06-0j 8.8431e-05-0j -0.000831711-0j 5.87399e-06-0j 3.12651e-05-0j 0.00481903-0j 1.27176e-06-0j 7.36925e-06-0j 0.00321269-0j 0.000695567-0j 0.00260578-0j 7.81627e-06-0j 0.00173719-0j 1.4685e-06-0j 0.000376112-0j -0.000657525-0j 6.51356e-07-0j 0.000803172-0j 5.19192e-07-0j -0.00043835-0j 1.22375e-07-0j -9.49056e-05-0j 2.42746e-08-0j 0.000283964-0j 6.6931e-05-0j 1.29798e-07-0j 0.000434297-0j 7.0991e-05-0j 0.000153547-0j 1.08165e-08-0j -0.000109588-0j 3.61914e-05-0j 3.83868e-05-0j 5.91592e-06-0j -3.8745e-05-0j 4.03107e-10-0j -9.13229e-06-0j 3.1989e-06-0j 2.20473e-07-0j -9.68626e-06-0j 1.19216e-07-0j -8.07188e-07-0j -3.00821e-08-0j 
