0.0686818+0.0723981j 0.102071+0.0156639j 0.047907-0.0252028j 0.0378824-0.0777315j 0.0054928+0.0649408j 0.0102606+0.0418724j -0.00726814-0.00627949j 0.0312656-0.00542883j 0.0203634+0.0151018j -0.017392-0.0404883j -0.0226002+0.0377182j -0.0133224+0.0147945j 0.0152199+0.0221364j -0.0332406-0.006058j 0.00459443+0.00297277j 
-0.0422006-0.432352j 0.0322808+0.0726608j -0.0908947+0.05056j 0.0187746+0.0495988j 0.00514801+0.0395503j -0.0222597-0.14224j 0.00109161-0.0861272j -0.0179214-0.0287472j 0.0223936-0.0158342j -0.00325604-0.0293431j 0.0155603-0.00111305j -0.0421327-0.0454627j -0.0369848+0.032838j 0.00739714-0.0163369j -0.0218305-0.030381j 
-0.0919127-0.442219j -0.0210672+0.04183j -0.112097+0.183259j 0.0186719-0.0324053j -0.00449148-0.0394884j -0.0118615-0.265166j 0.0372734-0.102646j 0.0450546-0.0088569j -0.00939765+0.0159602j -0.039096-0.00708398j 0.00323532-0.028626j -0.0156895-0.0271398j 0.0136998+0.012915j 0.0117063-0.0770029j -0.00198481-0.019018j 
0.29202-0.198142j -0.162584-0.433762j 0.221701+0.0244212j -0.120404+0.222365j -0.0343896-0.0165566j -0.0670416-0.00542429j 0.0211163+0.048887j 0.0223602-0.136366j -0.0328019-0.0702306j -0.0139949+0.00364017j -0.0227037-0.00528699j -0.0369139+0.0307736j 0.0414342-0.00931939j -0.00126499-0.00338124j 0.0256086+0.0563805j 
0.397972-0.106593j 0.372485+0.324261j 0.234589+0.0269922j 0.0561672-0.0349896j 0.0170735+0.013771j -0.0756603-0.00472978j 0.00302274-0.0856271j 0.00999002+0.0224555j -0.000660053+0.0770576j -0.0334391+0.037088j -0.0558245-0.00305356j 0.0298064+0.0208875j -0.025481+0.00486575j 0.0481524-0.000220729j -0.00127687-0.0151964j 
-0.102054-0.0150272j 0.527046-0.414382j -0.107167-0.0378041j 0.146262-0.00679724j 0.0376311-0.0778395j 0.0291227+0.0194743j 0.024794+0.0132562j -0.0311481-0.0100666j -0.0576777+0.00719604j -0.0033543-0.0451705j -0.019746-0.00577512j -0.00602113+0.0480857j -0.0511412-0.0158876j -0.0405538+0.043598j -0.0303747-0.0319721j 
-0.150524-0.224656j -0.00692047+0.0881399j -0.0766158-0.591468j 0.00133939+0.0151433j -0.00292323+0.0668283j 0.0417196+0.230962j 0.00039781-0.0293571j -0.0239678-0.0113289j -0.0118063+0.000454229j 0.0223846+0.00351659j 0.0067675+0.00444661j -0.00721832+0.00975575j 0.00940055-0.0163152j -0.0301396+0.0495271j -0.028827+0.0357311j 
-0.0983231+0.256187j 0.207947+0.0147602j 0.0231529+0.18186j 0.317813+0.308856j -0.0471269-0.0452739j 0.0421393-0.0261365j 0.135771+0.0144976j -0.0911141-0.0531805j -0.0130003-0.0692253j 0.0510431+0.0691749j 0.00435028+0.0369984j 0.0245638+0.0206674j -0.00144288+0.0110288j -0.0185194+0.018514j -0.00292457+0.070268j 
-0.129084+0.0394796j -0.143252+0.00498977j -0.0133025+0.0723063j -0.01346-0.34051j 0.000731475+0.010596j 0.0486753+0.0393213j 0.040128-0.134194j 0.0290164+0.0579619j -0.0213231+0.0153821j -0.0276364-0.00318782j 0.0400391-0.0112399j -0.0168314-0.0388631j -0.0188609+0.0149451j 0.0146343-0.0176731j 0.0343294-0.0506954j 
0.114465+0.0208432j 0.0645178+0.0164282j -0.186877-0.0679598j -0.190204-0.107666j -0.181034+0.469385j 0.182925+0.0614494j 0.0129222+0.0409826j 0.099114-0.0362291j 0.0153839-0.0280789j -0.0405554-0.0130514j -0.0198283-0.0183942j 0.00816768-0.0325436j 0.0208552+0.0377827j 0.0741837-0.0348669j -0.0637645+0.0230186j 
-0.0601819+0.151943j 0.0210423+0.0114967j 0.150344-0.200142j 0.173916-0.256396j 0.175048+0.380232j -0.207677+0.137478j 0.0282043+0.0990218j -0.0706691+0.0554659j -0.00685133+0.00330964j 0.0019457-0.054337j -0.0248346-0.00634542j -0.020975+0.00376984j 0.0318525-0.0164668j -0.0300714-0.0331134j 0.0112839+0.047896j 
