-0.0296084+0.020388j -0.00169034-0.0187166j -0.0324829+0.0145831j 0.00107596+6.06158e-05j 0.0514886+0.000638639j -0.0219838+0.0171103j 0.0544854+0.0453949j -0.00198403-0.0199249j 0.02446+0.0176231j -0.014188-0.00857457j -0.0520318-0.00141828j 0.0203014+0.045585j -0.00423571+0.00421614j 0.0559954-0.00923806j -0.0363112+0.0186863j -0.00941528+0.0175719j 0.0176858-0.0162026j 0.0476979+0.012864j 0.0284979+0.0491427j -0.01403-0.0302629j -0.0150199-0.00103733j 0.00841035+0.00637069j -0.0165147-0.0203688j -0.000755419+0.0188445j -0.00712257-0.040533j -0.00155364-0.00885078j 0.0144176+0.030877j -0.0180629-0.0618442j -0.0369765-0.059051j -0.00746426-0.0143986j 0.0163875+0.00782983j 0.000411271+0.00263432j 0.000722969+0.0245587j -0.00189432+3.55276e-05j 0.0201121-0.0100312j -0.0112576-0.00298918j -0.0195663-0.0226929j -0.0216135-0.00155034j -0.00328851-0.00385852j 0.00109088-0.0112042j -0.00148305-0.0121631j 0.00595742-0.0037003j -0.00102385-0.00129846j -0.00325966-0.00738984j 0.0107892+0.00125582j 0.00696927-0.00443676j -0.00249913+0.00066664j 0.00939023-0.00241197j 0.00399904-0.00756048j -0.00231552+0.00181221j -0.00256973-0.0116025j -0.000272771-0.00470452j 0.00139038-0.00901681j 0.00310828-0.0109149j 0.000132115-0.0123052j -0.00441464+0.00175945j -0.00443599-0.00450476j 0.0177899+0.00698574j 0.00763056+0.00230286j -0.000994075+0.0054621j 0.00337255+0.0105302j 0.000620449+0.00398875j 0.00762128+0.00236384j -0.00420214-0.00657898j 0.0033437-0.000623528j -0.00645186-0.00420569j -0.00423931-0.00478154j -0.00254747-0.00877963j -0.00351735-0.00450849j -0.0044084-0.00325762j -0.00244964-0.00117042j -0.00120612-0.00123565j 0.000784819-0.00225988j 0.00355833+0.0038028j 0.0036649+0.00379555j 0.00186403-0.00249474j 0.00798561-0.00427796j -0.00394952+0.00167788j -0.00953762-0.00268217j -0.00173326+0.00418004j 0.00797243+7.54481e-05j -0.0206705-0.00727915j 0.0125359+0.00811491j -0.00924566-0.00871091j 0.00503333+0.0115636j 0.010921+0.024146j 0.00914627-0.00401537j -0.00244316-0.00261653j 0.00631787+0.00275836j 0.0172697+0.0143661j -0.0255184-0.0323451j 0.0191085-0.00670133j 0.0109646+0.00991368j 0.00441319-0.0127747j -0.00991246-0.0183172j 
-0.0152894-0.0127996j 0.0259476-0.0296346j -0.0382702-0.0156547j -0.0132331-0.0217412j -0.00310987+0.00680011j 0.00592573+0.016966j -0.0259211+0.0665665j 0.0561014-0.0319806j 0.00852373+0.0212598j 0.0104547+0.00221737j 0.0267872-0.00963738j 0.0307021+0.00207459j -0.00575924-0.0135513j -0.0164192-0.00308798j -0.00449248-0.0500895j -0.0348621-0.0375303j -0.019435+0.010436j 0.0331717-0.0324768j 0.0622754+0.0715694j 0.0343394+0.0277062j 0.0117924-0.0232551j 0.0134855+0.00549328j 0.00461677+0.0079716j 0.00518202+0.00304582j -0.0351322+0.00836978j -0.0166713+0.0056533j -0.0192968+0.00128948j 0.0762352-0.0286581j 0.0093206-0.00320976j -0.0104789+0.0063053j 0.0070177+0.00240516j 0.0286479-0.00632746j 0.0176194+0.00989109j 0.0308761-0.0225621j -0.00763159+0.0141207j -0.0228243+0.012163j -0.000187816-0.0103837j -0.0073369+0.000713817j 0.00791333-0.00692814j -0.00104758+0.02076j 1.28943e-05+0.0052848j -0.0111049-0.00833108j -0.0024267+0.00123058j -0.00220128-0.000791044j 0.006142+0.00211158j 0.00686524+0.0065413j -0.00918544+0.00349256j 0.00118575-0.00404597j -0.0022294+0.00359596j -0.000250884+0.00559871j -0.00377281+0.00583126j 0.00114351+0.00407952j -0.0106988-0.00225334j 0.0228513+0.00650829j 0.00621024+0.00220232j 0.00152426-0.000385378j -0.00336307+0.00372352j -0.00227531-0.0111099j -0.0152357-0.00630333j -0.00670269-0.000613932j -0.00585568-0.00571101j 0.000928683-0.00431281j 0.000297582+0.00604735j 0.00110143+0.000397547j -0.0011883+0.00153561j 0.00331393+0.0010587j 0.00526261-0.00339985j 0.00908201-0.00116527j 0.00847382+0.00193274j -0.00266021-0.00259355j 0.00149473-0.00045011j -0.00266264-0.000574532j -0.00509916-0.00458694j 0.000613382+0.00327792j 0.00229717-0.000677156j -0.00374847+0.00339096j -0.000392309+0.00472788j 0.00636709+0.0053964j 0.0038907+0.000199475j -0.00281271-0.0118862j -0.0150553-0.0158826j 0.00101137-0.00176468j -0.0039778-0.00243036j -0.00188974+0.000169382j -0.000110949+0.00281925j 0.0295751+0.0126587j -0.0235797-0.0105644j 0.00256639+0.00189233j 0.00242505+0.00161987j -0.0103931-0.0351769j -0.0366472-0.0127778j -0.000674352-0.0154325j -0.0128623+6.76259e-05j 0.0129856+0.0167767j -0.001127-0.0123656j 
-0.00256056+0.00103388j 0.0207611+0.0785721j -0.00975856-0.00257693j 0.0291797+0.0708726j 0.0609029-0.00725551j 0.00647239+0.00618879j 0.0164301-0.0394497j 0.00386162+0.197629j -0.0598338-0.00307723j -0.0306887+0.0298198j -0.136481-0.0148326j -0.046989+0.0870227j -0.00677183+0.0514309j 0.100245-0.0613848j -0.00933162+0.0413828j -0.00310443-0.140091j 0.0780505+0.0320465j 0.0372904-0.0183701j 0.0283834+0.0970644j -0.0288533+0.12105j -0.0188734-0.0165543j 0.0176143+0.0696299j -0.0104233+0.0161917j 0.011892+0.0166389j 0.0224696+0.0268609j 0.00943541-0.00839441j 0.0232972-0.00990669j -0.0598396+0.00889789j -0.022613+0.0177636j 0.0136315-0.0224052j 0.00578812+0.0140016j -0.0144927+2.81605e-05j -0.00183534+0.00214797j 0.00393283+0.0219568j 0.0153054+0.0220437j 0.0044489+0.0198115j -0.0134293-0.028905j 0.0211613-0.0203027j -0.00613603+0.000481878j -0.0102055+0.0334696j -0.010388+0.00108319j 0.00740743-0.0200416j 0.00416999+0.00293491j -0.00377164+0.00227342j 0.00530637+0.0159484j -0.00620598-0.00145042j 0.000719255+0.00281949j 0.000690623+0.00512769j -0.000905673+0.00326321j 0.00719372+0.0114035j 0.00339412+0.0044891j -0.00516033-0.0117373j 0.00488606-0.00809606j -0.0223404+0.00241531j -0.0113659-0.00157183j -0.00737197+0.00394693j 0.00909269-0.00605864j 0.0058931+0.0051437j 0.000735541-0.00159389j -0.000240534-0.00173777j 0.0036629-0.0140397j -0.00203593-0.00452329j -0.000336854+0.00117669j -0.00388218+0.00335471j 0.0143197-0.00762236j -0.0118308+0.00343995j -0.00837588+0.0037158j -0.00268705+0.0109717j -0.000985383+0.00927587j -0.00217563-0.0118497j -0.00120153+0.00568328j 0.000598959-0.00737589j -0.00190815-0.00572438j 0.00826028+0.000393976j -0.00180699+0.0209266j 0.00266852-0.00742355j 0.0049238+0.0019383j -0.00635049-0.000698213j -0.00724976-0.00759772j -0.00433808-0.0105349j -0.00706867-0.0140157j 0.00196088+0.00807462j -0.00168012-0.00507689j 0.00249806+0.00766171j 0.00139562-0.00585221j -0.00298408-0.00329936j 0.00431591-0.00581903j -0.00685242+0.00416514j 0.0015686+0.00294635j -0.0105321-0.0315905j 0.0128361+0.000486551j -0.0062612-0.00464853j 0.0065835-0.0102883j -0.011796+0.034106j -0.000752459+0.00078399j 
-0.0388158+0.0619446j 0.00253382-0.000227591j -0.104663-0.02604j -0.0144467+0.0793857j 0.0522913-0.0248165j -0.00746841+0.075604j 0.0317254+0.066157j 0.0222165-0.0442231j -0.00168932-0.107243j 0.0020866-0.0560023j -0.0224627-0.0377582j 0.119747+0.00490796j -0.0255995+0.0787225j 0.000908562-0.161914j -0.0723721+0.000733809j 0.09466+0.133537j 0.0163879-0.0203515j 0.0642999-0.0944156j 0.153862-0.00647628j -0.0351384-0.0281396j -0.0205841-0.0193145j 0.0114421-0.0258237j 0.00388449-0.0322771j 0.0205562-0.0200687j 0.0259183-0.0417793j 0.0233481-0.00806144j -0.011359+0.0611234j -0.0205807-0.0622976j -0.00891555-0.00879262j -0.0121141+0.0108922j -0.00629603+0.00517405j -0.00156112+0.0294324j 0.00549235+0.0125601j -0.0168989-0.00374564j 0.0179982+0.00615042j -0.00326613+0.0214374j -0.0255968+0.0221962j 0.000224126-0.0244522j -0.00664088+0.00617521j 0.0123631+0.00887452j 0.000393327+0.001021j -0.00725249-0.0186286j 0.000514096+0.00550169j 0.00452494+0.0075196j 0.00727862-0.000859722j 0.0197028+0.00336071j 0.00924298-0.00786099j 0.00926107+0.000730659j 0.00375563+0.00836083j 0.00958921-0.00392657j -0.0121061-0.00406582j -0.00620002-0.00046538j -0.00421531-0.0100481j -0.00822779+0.00518125j -0.00241367+0.0179151j -0.00299973+0.010108j -0.00207528-0.0178738j 0.0155844+0.0017669j -0.00491698+0.00763709j -0.00166533+0.00316666j -0.00367578+0.00196902j 0.00052681-0.00214974j -0.000200953+0.00307992j 0.00421692+0.00345069j 0.000299352+0.00310395j 0.00604864-0.011391j 0.00570187+0.00456678j -0.000415282-0.00093579j -0.00901641-0.00566976j -0.00416469-0.00249168j 0.000750063-0.0116637j -0.00727237-0.00225639j 0.000852346-0.0117829j -0.00134987+0.00839049j 0.0112226+0.00129773j 0.00406798+0.0115563j -0.0019132-0.00739262j 0.0146336+0.00626532j 0.00503175+0.00548126j -0.00463502+0.00666813j 0.00136584-0.00439322j -0.00988434-0.00584022j 0.0102503-0.00572538j -0.00335959-0.00109759j 0.00713694-0.0066811j 0.00486866-0.00682311j 0.00584599+0.0129052j 0.00499382-0.0127641j -0.000512524+0.00347677j 0.00347929+0.00820329j -0.0146208+0.0152028j -0.000716661+0.006392j 0.0104371-0.00614762j 0.00641604+0.00542137j -0.0176211+0.0185465j 
-0.0152316-0.0157912j -0.035113+0.0290879j 0.0303908-0.08017j -0.16239+0.0269831j -0.0708903+0.038539j -0.00838653+0.00373062j 0.0446446-0.0371647j 0.0196195-0.042742j 0.00564727-0.00904935j 0.0418648-0.026296j -0.00375985+0.0165274j -0.107341-0.0605804j 0.159368-0.0763911j -0.10377+0.105363j 0.0258699+0.0685042j -0.0426623-0.181281j -0.00795912-0.0263237j 0.0667462+0.116119j -0.0142228+0.0580546j -0.0600664+0.14088j -0.0189326-0.00689823j 0.0197657+0.0203593j -0.0209739+0.0207756j 0.00168866+0.00532214j -0.00450529+0.00671353j -0.00719474-0.0111409j 0.00163892+0.0304409j -0.0580715-0.0616735j -0.0382342-0.0582189j -0.00472598-0.00908231j 0.0113733+0.0165349j -0.0423135-0.0362515j 0.026409+0.0365346j -0.0133886-0.00465392j -0.00279727+0.0537406j -0.00927474-0.003368j -0.0377861-0.0220932j -0.0179647-0.039001j -0.00965011-0.00559751j 0.0193048+0.0259015j 0.0039753+0.0102601j 9.32127e-05-0.0107142j 0.00445296-0.000726247j -0.00682019+0.00736291j -0.00433044+0.00412456j -0.0137148+0.00810229j 0.0107619-0.000361114j -0.00967718+0.0124415j -0.00162425+0.000963953j 0.00210422+0.00324093j 0.00761711+0.0141012j -0.00703118-0.00678301j -0.0100002+0.00417616j 0.00163532+0.0148905j -0.0130924+0.00310809j -0.00228232-0.00309144j 0.00535693+0.000356713j -0.00457848+0.000711739j 0.00683569-0.00187883j 0.00410245-0.00795183j -0.00253885-0.0157125j -0.0105794-0.00528202j 0.00722371+0.00321255j -0.00844044+0.00876076j -0.00924908+0.00449616j -0.00262251+0.00567416j -0.0127162-0.00575975j -0.00942392+0.00242738j 0.00500771+0.00442692j 0.00218812-0.000234139j -0.0116554+0.0047131j 0.0116999+0.0011442j 0.00579489-0.000592823j -0.00346993-0.00597038j 3.06515e-05-0.00486691j 0.00537456+0.00130401j -0.00992448-0.00468135j -0.0162563-0.0098573j 0.00831258-0.00267033j 0.00175667+0.00316207j 0.00926577-0.00135868j -0.023524-0.00834843j 0.00634185+0.00228423j -0.0126098-0.00686246j 0.00354565-0.00294662j -0.00793258+0.01471j 0.0223251-0.00433294j -0.00138798+0.0139082j 0.00345079+0.00258969j 0.00944615-0.0280821j -0.0165701-0.0175836j -0.00316264+0.00682475j 0.0186021-0.000303165j -0.00323702+0.0281788j -0.0235648+0.00201994j 
0.0145347+0.0497343j 0.0337006+0.0303478j -0.0131682+0.0572565j 0.133996+0.122357j 0.0264767-0.0584333j 0.0941736+0.0402945j -0.00424075-0.0424936j 0.00996303+0.111957j 0.0276051+0.0737375j -0.0466414+0.0263486j -0.0355084+0.0529781j -0.048512+0.0107313j -0.0727622+0.0121988j 0.0727488-0.0298678j 0.102259+0.0413626j -0.16329-0.0551927j -0.0371085+0.0272796j -0.0205264-0.0931873j 0.0642123+0.0429551j 0.14549+0.0897443j -0.0307515+0.0172834j 0.0240103+0.0246489j 0.0362696+0.0340685j -0.000221773-0.00484837j -0.0115068+0.0313921j -0.0194669-0.00389543j 0.0100317-0.0486758j 0.0252337+0.104027j -0.0138661+0.0719406j 0.00233315-0.0201803j 0.0192392-0.00881795j 0.0202972+0.0129364j 0.0151069-0.0276045j 0.00402546+0.0181149j 0.0144022-0.00577006j 0.0224866+0.00173806j -0.014928+0.0428828j -0.0426685+0.0258267j -0.00385729+0.00991066j 0.0258019-0.0112688j 0.00174724+0.0123042j -0.00253004-0.0152137j -0.0102856-0.00217559j 5.41907e-05+0.0150594j 0.0140634+0.0167519j 0.00615008+0.00501791j -0.00347728-0.00295797j 0.01451+0.010564j 0.00499516+0.0134505j 0.00117139-0.00458108j 0.0107851+0.00869003j 0.00261065+0.0139942j -0.00449844+0.00311851j 0.0208908+0.0301934j 0.00841607+0.0177062j 0.00612916+0.00238188j -0.00904886-0.0020896j -0.000678152-0.019676j -0.00556756-0.00518328j -0.00942995-0.0058753j -0.0101672-0.000387649j -0.000372566+0.00320201j 0.00903518-0.0024632j 0.00371622+0.00974071j 0.00708147-0.0110574j -0.00814903+0.00844212j -0.000357477+0.00306092j 0.0123653+0.00258928j 0.00549483-0.000204196j -0.00411472+8.92435e-05j -0.00251479+0.00498463j -0.0039744-0.00357019j 0.000593015-0.00724113j -0.00237638+5.91975e-05j 0.000395984+0.00871635j -0.0114309-0.00431985j 0.00794432+0.00127481j -0.00517036+0.00594888j -0.00823161+0.00921618j -0.0071463-0.00450311j -0.0093751-0.00403375j 0.0104961+0.00849086j -0.00432874-0.00636845j 0.00924007+0.00234504j -0.00671055-0.00903077j 0.000748267-0.000942448j -0.00986935-0.0130231j -0.00506355-0.00175007j 0.0047829+0.00107183j -0.0164702-0.0103812j -0.013551+0.0213234j 0.00888766+0.0081577j -0.0140565-0.0153973j 0.029971+0.00119821j -0.00024253+0.0334602j 
-0.00463842-0.0418744j -0.00308766+0.0331514j -0.0153808-0.0866593j 0.0184751+0.0982481j 0.0180091+0.0783422j -0.00220824+0.0752197j 0.0291647+0.0422668j -0.0312749+0.0131343j 0.0382433+0.0528237j -0.0212184+0.016632j -0.0278406-0.0673892j 0.051903+0.122197j 0.0561227+0.00696988j -0.0708431-0.0615224j 0.00974905-0.0610591j 0.00106727-0.0737179j -0.106666-0.147423j 0.0712973-0.0459138j 0.0754765+0.0478203j -0.00677054+0.0575149j -0.0276168-0.0392709j 0.00250088-0.00205908j -0.0124316-0.00959086j 0.00477851+0.0105491j 0.0126652-0.0498456j 0.00769659-0.0261085j 0.0716014+0.000357455j -0.167981+0.0693177j -0.0911473-0.0327561j -0.0162289-0.0119665j 0.0088346+0.00915532j -0.035627+0.0490074j 0.0115481+0.00540787j -0.00977146+0.0161374j 0.0611087-0.00726552j 0.00697253-0.0295559j 0.000843807-0.0283633j -0.000285144-0.016619j -0.00281336-0.0010091j -0.00299469+0.00263658j 0.00322379+0.000833606j -0.00247583+0.00801245j -0.0089062-0.00127726j 0.0107508-0.0116646j 0.00164991+0.00532404j 0.0027402+0.0149025j 0.00192348-0.00559538j 0.0111464+0.00713777j -0.00332239+0.0107512j 0.00257207-0.00951198j 0.00666672-0.0040601j -0.0119474+0.0114461j 0.00725175+0.0205662j -0.0219216+0.0258528j -0.00410865+0.00185645j -0.00274529+0.00627776j 0.00963047-0.0252698j 0.00109777+0.00928512j 0.00413672-0.00103034j -0.00622602-0.00244931j -0.00233284+0.000507541j 0.00175554+0.00158268j -0.00758189+0.00910727j 0.00735795-0.00240814j -0.0034559-0.000894342j 0.00170146+0.0030669j 9.1401e-05+0.00250349j -0.0030575+0.0108633j -0.00717463+0.00720947j -0.00319926-0.00357357j -0.0109464+0.00656947j -0.0013077-0.00371819j 0.00585923-0.00873222j -0.00284379+0.000681221j -0.00336094-0.000573062j -0.0132834-0.0106151j 0.0074362+0.00410087j 0.0108929+0.00968092j -0.00102193-0.00811517j 0.00512817-0.00189897j 0.0070135-0.0195991j 0.00209364-0.00113011j 0.00841835-0.00697864j -0.00713956+0.00502085j 0.00810596-0.00808384j 0.0138293+0.00126091j -0.00268593-0.0130555j 0.0142414+0.00567673j -0.000589118-0.00382024j -0.00949008-0.00513328j -0.0118357-0.0140737j -0.00124361+0.013419j 0.00368023-0.0144919j 0.00655067+0.00620557j 0.00531373-0.00628344j 
-0.0396505+0.0171898j 0.0126513+0.0326936j -0.0867377+0.0297238j -0.0481941+0.163528j 0.0224535-0.0101713j -0.0571993+0.0359575j -0.0102702-0.0206722j -0.0214476+0.0617701j -0.0124808+0.0746207j 0.00941724-0.0135639j 0.0503438+0.00712772j 0.0670953-0.00419499j -0.0172796-0.0176391j -0.0452122-0.049415j -0.0971594-0.124821j -0.041915-0.0197148j -0.0773176+0.00902576j 0.0849107-0.0683872j 0.0373874+0.0722751j 0.00983153+0.0535849j 0.0149575+0.0110099j 0.00479088+0.00515991j -0.0184087+0.0263803j 0.00425643-0.00379001j -0.0309685+0.0272613j -0.00478054+0.0225583j 0.000272099-0.0516433j -0.00554807+0.125336j -0.0441154+0.085447j -0.019527+0.0301049j 0.00205731-0.00472458j 0.0229635+0.00681887j 0.000412737-0.0106917j 0.0055818+0.0181797j -0.0144952+0.0300884j -0.0183954-0.00881607j -0.024891+0.0251749j -0.0374322-0.00440394j 0.00426058+0.00107789j 0.00442989+0.00571382j -0.00213512+0.0170788j 0.00955526-0.00147827j -0.00135409-0.00138303j 0.00141988+0.0135719j 0.00273946+0.00475392j -0.000885719+0.019086j 0.00521766-0.00655542j -0.00475734-0.000111949j -0.0132429-0.0113683j -0.00224916+0.013308j -0.00978373+0.00569574j -0.00269274-0.000206937j -0.00396714+0.00174616j 0.0074053+0.0017808j 0.00367338+0.0133829j 0.00398693-0.00147478j -0.00801658+0.00761161j 0.000107166-0.00305028j -0.0085036+0.00131099j -0.00994143-0.00469176j -0.00898974-0.00397588j 0.00356427-0.0047203j 0.00767694+0.00259007j -0.00719062+0.00215876j -0.00538705-0.00192039j 0.0140871-0.00483057j -0.0022965+0.00595781j 0.00628178+0.00197744j -0.00175406+0.00183141j -0.00804467-0.00420146j 0.00394148-0.0126816j -0.00744891-0.000239997j -0.00600478+0.0115991j -0.00660765-0.0046789j 0.00412105+0.000389994j -0.00195141-0.00413254j 0.000775901+0.00752715j 0.0059134+0.00146994j 0.00125974-0.000743833j -0.0038665-0.00372612j -0.000569261+0.00354649j 0.00829112-0.000687836j 0.00358763-0.00555071j 0.00229247+0.00522977j 0.00396071-0.00731877j 0.01511+0.00853832j -0.010381-0.00135917j 0.0033796+0.00607356j 0.00286307-0.000672881j 0.00905203-0.00877588j -0.0384235+0.0120677j 0.00362392+0.014094j -0.00255732-0.000591973j 0.0133411+0.0052519j -0.0196696+0.0161763j 
0.0118509+0.0257054j -0.0277451+0.0223578j 0.0383373+0.0935786j -0.0708041-0.0125203j -0.0113874-0.0211494j -0.0236114+0.00209573j 0.079288-0.0930357j -0.0640133-0.02009j -0.00630231-0.0179807j 0.0220893-0.0400638j 0.0676121+0.026688j 0.0791647-0.0680857j -0.0376797-0.056561j 0.0256912-0.0394227j 0.0110503-0.180666j -0.131873+0.015416j -0.0365906-0.0545079j 0.0324815-0.0282923j -0.0128615+0.0223035j 0.0589022-0.00927995j 0.013331+0.0361445j -0.00966046-0.00183489j -0.00581362+0.00993063j -0.00757295+0.00389158j -0.0530712-0.0181839j -0.0237694-0.00318344j 0.0301173-0.00241187j -0.0671512+0.000580563j -0.0905664-0.00355456j -0.0167012-0.00627529j 0.0145195+0.00376499j -0.00738239+0.0357017j 0.0372106-0.0215884j -0.00203002+0.0106746j -0.0313898-0.0274905j -0.011889+0.000469635j -0.0320809+0.000692461j -0.0185822-0.019057j -0.00481904-0.000147719j 0.00817143+0.00661038j -0.00309063-0.00962715j 0.00831458-0.00209731j -0.0123967-0.0151529j -0.0149605-0.000972594j -0.00993028-0.000780517j -0.011047-0.0056725j -9.40612e-05-0.0104535j -0.00310814-0.00361638j 0.00319736-0.0106425j -0.00829884+0.00365473j -0.0088217+0.00702841j 0.0105861+0.00956325j 0.00379549-0.00221563j 0.00598315+0.00419365j -0.0127359+0.0118995j 0.00889062+0.000835904j -0.0193505-0.00249882j -0.00680616-0.00209441j -0.001219-0.0159571j 0.00808353-0.00361435j -0.00183649-0.0044471j -0.0021133+0.00295104j 0.00583423+0.00460847j -0.010399-3.55623e-05j -0.00926233+0.00556221j 0.01724+0.00417871j -0.00447259+0.00932199j 0.000562704+0.00252535j -0.000903053-0.00128183j 0.00416184+0.00770273j 0.0123344+0.00277037j 0.00194508+0.00121954j -0.0120259-0.0176825j 0.000642541+0.00998694j -0.00916331+0.00684441j -0.00505557+0.00690814j 0.0132414+0.00837207j 0.00550773+0.00998738j -0.00862194-0.00497211j -0.00397576-0.00880771j -0.0023043-0.00722385j 0.00130274-0.00236656j 0.00348506+0.00196448j -0.00164629+0.00554618j 0.000686926+0.000944317j -0.0143241-0.000599917j -0.000867737-0.00730075j -0.0079105-0.00411725j 0.00214534+0.00138342j 0.00947137-0.00382779j -0.00433601+0.00630575j 0.0083142+0.000688519j -0.0013776-0.00729916j -0.00933476+0.00833457j -0.014668+0.00292551j 
-0.0297248-0.000204144j 0.00537346+0.0173572j 0.0250094+0.123466j 0.109731-0.174981j 0.0849915-0.0422889j -0.035758+0.0246228j -0.0362772-0.159625j -0.0664026+0.100631j 0.0048801-0.00822829j -0.00141507+0.0580603j -0.0413168+0.0534259j -0.0398643+0.0429397j -0.045399-0.0193686j 0.0618462+0.0185454j -0.0300406+0.172742j -0.0656825+0.11103j -0.0856945-0.0495382j -0.0822052+0.0307489j -0.264944-0.121689j -0.00170837-0.0742518j 0.015679+0.0311836j -0.0509593-0.0208995j 0.000814856+0.032741j -0.0222766+0.0259018j 0.0295559-0.055215j 0.0172986-0.0318779j -0.0311826-0.012131j 0.0578941+0.0856472j 0.0254678+0.0119469j -0.0178981-0.0171074j -0.0123917+0.0149949j -0.0261152+0.0199776j -0.0172205+0.0161353j -0.00421104+0.0122482j -0.0238213-0.045132j -0.0126736-0.023688j 0.0183762-0.0222352j 0.0347714-0.00814012j 0.00263093+0.00329971j -0.0281451+0.00696436j -0.00150411-0.00589462j 0.0266938-0.00189193j 0.0018046-0.0213733j -0.000136894-0.0140805j 0.0077287-0.0106674j -0.018482+0.0224725j -0.00449904-0.00542062j -0.0111203+0.0047226j 0.00296941-0.00784998j -0.0178552-0.00482453j 0.00784594-0.0191478j 0.0177638+0.00599465j 0.0190225+0.00781547j 0.000430956+0.0123242j 0.00073457+0.00334165j 0.000382823+0.000468918j 0.00307533-0.0120449j -0.00295519+0.0290455j -0.00504023-0.0102845j -0.0013794+0.00556784j 0.00458037-0.00219331j 0.00713911+0.00439293j -0.0129456-0.00373917j -0.00280921-0.00264301j 0.00169368-0.00374586j 0.00557212+0.0111831j -0.00263451+0.0109025j 0.00464802+0.00471742j -0.00281937+0.00179618j -0.000888129+0.00201849j 0.00644019+0.00752732j -0.0061407-0.0122205j 0.0117396-0.00980532j -0.0111619+0.00235526j -0.00694825+0.00738036j -0.0131113-0.00473057j -0.0115988-0.0104696j -0.00854106+0.0140021j -0.0106525-0.00679766j 0.0205743+0.0162209j -0.000529969+0.0186977j -0.012166+0.0134946j -0.00192747-0.0015929j -0.00451296+0.00977029j -0.00610885+0.00421747j -0.0125718-0.00726041j 0.00431502-0.00697254j -0.00126795-0.00109531j -0.00109743-0.00508789j 0.0164093+0.0184692j 0.0129122-0.0017651j 0.0139415-0.00649273j 0.00367506-0.00376931j -0.0333313-0.00314265j 0.0063852-0.0197484j 
0.069082-0.0175997j 0.0337434+0.0375513j 0.0644039-0.00844184j 0.185301-0.0321703j -0.0175817+0.0213249j 0.0072301+0.0386828j -0.0489312-0.00789171j 0.00339387+0.060628j -0.0642489+0.0653574j -0.049539-0.0191656j 0.050242-0.0423567j -0.105581-0.0319512j -0.0593822+0.0274362j 0.000906845-0.0312107j 0.0259216-0.176868j 0.0101949-0.0433997j -0.0111911-0.0565795j 0.0670138+0.0151j -0.0284376+0.162314j 0.014811+0.0245476j 0.0185691-0.00791579j -0.00486399+0.0420139j 0.0137885-0.0343859j -0.0110633+0.0353285j 0.0318208-0.0606088j 0.00290331-0.0144978j -0.0754542+0.029885j 0.148333+0.00280302j 0.0745818-0.0477378j -0.0102443-0.0286984j -0.0392271+0.0232192j 0.0406489+0.0261785j -0.0102309+0.0190432j 0.0300141+0.00943372j -0.0166995+0.0109502j 0.00668733-0.0210151j 0.0309374-0.045803j 0.00838598-0.0620728j 0.0136804-0.0141868j -0.00848706+0.0142717j -0.00398703-0.00493094j -0.0100483+0.00126598j -0.00085175-0.0122743j 0.00999025-0.00447697j 0.0142669+0.0120934j 0.00526913+0.0109707j -0.0151689+0.00966275j 0.00541164+0.0147109j -0.00270126-0.00400215j 0.000615177+0.0130558j 0.00720371-0.00867739j -0.00368372-0.0122202j 0.00325083-0.0186365j 0.00979251-0.00643539j 0.0163873-0.0113879j -0.00350272+0.00324101j 0.00193769-0.008293j -0.00567537+0.0134616j -0.00744453-0.000508109j -0.0123227-0.00295708j -0.00070241-0.00767192j 0.00430254-0.0014635j 0.00272299+0.0185318j 0.00143082-0.00516676j 0.00948531+0.000995464j 4.95972e-05+0.000665226j -0.00523509-0.0101261j 0.00991984-0.0117988j 0.00476967-0.00303643j -0.0034632+0.000548814j 0.00767352+0.00047403j -0.00435034+0.00729516j -0.00577682+0.0025654j -0.00794367-0.00703274j 0.00613227+0.00713563j -0.00657707-0.0025387j 0.000485131-0.00237534j 0.00938886+0.00773633j -0.00484685-0.00417381j 0.0135693+0.00224007j -0.00928557-0.000806642j 0.0112658+0.00336163j -0.000339854-0.00333336j 0.000350753+0.00901075j -0.0104916-0.000881044j -0.00627205+0.00572803j -0.00400743+0.00706236j -0.0174101-0.00651562j 0.00562948+0.00836835j 0.00984701+0.00328321j -0.00781898-0.0132232j 0.00929856+0.0102287j -0.00974889+0.004712j 0.00016265+0.013736j 0.0046979-0.0146215j 
