0.133909-0.0807148j 0.0365912+0.0285082j -0.000952106-0.0622525j 0.0289498+0.0563886j 0.000392324-0.0179669j -0.00781679-0.0364979j -0.00157098-0.0115707j 
-0.0337923+0.0172338j -0.062265+0.0605878j -0.0219732-0.0691487j -0.0108518+0.0200612j -0.00592434+0.0438123j 0.0107251+0.0369701j 0.00583266+0.044536j 
-0.0032234+0.00315375j -0.0332606+0.0254379j -0.00195556-0.000375601j -0.0186479+0.0636292j -0.00795776-0.0877313j 0.00824315-0.051523j 0.00506927+0.0875084j 
-0.244459-0.0603248j -0.0744947+0.0221658j 0.0155688-0.0320308j -0.0411862+0.0315627j -0.0324372-0.0108212j 0.017678-0.024412j -0.00694084-0.00678867j 
0.0234298+0.0216856j 0.217963+0.0237032j 0.110656-0.0193239j 0.0561282+0.00250483j 0.022226+0.00657829j -0.0645269+0.0148456j -0.00963395+0.0267943j 
0.0062899+0.00614927j 0.0230359+0.00433818j 0.135921+0.00324239j -0.0967688-0.00096703j 0.13686-0.00183647j -0.0236486+0.00558545j -0.00541681+0.00480713j 
0.00173952-0.0011312j 0.0540199+0.0113148j 0.0186278-0.00716357j 0.0541398+0.0127885j 0.109546-0.000730931j -0.223064+0.00181515j -0.0214078+0.0141922j 
-0.00636767-0.00229046j 0.0134813+0.000871563j 0.0263744+0.00363438j 0.0490476+0.00296087j -0.010772-0.00529979j -0.0892912-0.0112746j -0.280687+0.014557j 
