0.0118401-0.0151835j 0.00433838+0.00318351j -0.00757754+0.00314522j -0.00759427-0.00783398j -0.00710419-0.0100461j -0.0165107+0.0100012j -0.00162526-0.00672999j 0.00696654-0.00521268j -0.0084983+5.12801e-05j 0.0158139+0.00370323j 0.00831759+0.00647314j 0.00695719+0.0475444j 0.00214435+0.00498201j -0.00098314+0.024325j -0.0337787+0.00972406j -0.0116362-0.0222055j 0.000622195-0.00368323j 0.00772651-0.00281954j -0.00850701+0.0124632j -0.0102091-0.00566003j -0.00313726-0.00398904j 0.000632245-0.00424983j 0.000545702+0.00397784j -0.00130836-0.00195436j 0.0143009-0.0182714j -0.00938895-0.00143048j 0.00132491-0.000622579j 0.000485068+0.00762163j -0.00150398-0.00160536j 0.00382936+0.00325929j 0.00543938+0.0184118j -0.00230954+0.00300634j 0.00132661+0.00658972j -0.00496998-0.00559315j -0.00825215+0.00465931j 0.00921411+0.00476023j -0.0130106+0.00702113j -0.0101956-0.00445133j -0.0255696+0.00185091j 0.00165966-0.0087038j -0.00933229+0.0251377j 0.045255+0.0114688j -0.0207121+0.0377982j 0.0171173+0.024205j 0.00686193-0.00813256j 0.0290225+0.00386477j -0.00766622-0.00961945j -0.011051-0.00158313j -0.00938317-0.000735455j 0.0010988+0.000744093j 0.00321411+0.00321878j 0.00205116-0.00183006j -0.00348188-0.00252507j 0.0066576+0.00104705j 0.00536139-0.00369718j -0.00591842-0.0143282j 0.00248427+0.00942033j -0.00649417+0.00625154j 0.0107354+0.00199182j 0.0161048+0.000229763j -0.0115096-0.00943565j 0.0212701+0.00588366j 0.0100647+0.0100082j -0.0144507+0.0053976j -0.00578531-0.000951j 0.02064+0.00310121j 0.0187398-0.00638641j 0.0414798+0.0186471j 0.0134668-0.0384321j 
-0.00471123-0.0023159j 0.0115349-0.00678363j 0.000307061+0.0121198j -0.0153329+0.00857752j -0.00332-0.0102348j 0.000767356+0.00736851j 0.00270918+0.0058291j -0.00451879+0.00269412j 0.00932591-0.00813071j -0.0159485+0.0102438j 0.0174175-0.00436893j 0.0211413+0.0112013j -0.00466885+0.00649348j 0.0147604+0.00998041j -0.00529227+0.0276194j -0.0191062+0.0273716j 0.00414596+0.0122393j 0.00901207-0.00460188j -0.00183647-0.0037425j -0.00312694+0.00809933j 0.00398883-0.00181471j -0.00717195+0.00405078j -0.00460374-0.0100698j -0.00656406+0.000290339j -0.00593259-0.0049574j -0.0061229+0.00596104j 0.00196393+0.000956129j 0.00285412+0.00285453j -0.00212154-0.00354331j 0.00534219-0.00514936j 0.0152449+0.000733461j -0.00766175-0.00806206j 0.00239224-0.000527339j -0.002859-0.000185801j -0.0101291-0.0128684j -0.00467659-0.0111557j -0.00244888+0.00138419j 0.00991273-0.00880703j 0.0105111+0.0118487j -0.0115066+0.0295403j 0.0468466-0.00647535j -0.00109375-0.0430551j 0.0278464+0.0312828j 0.0303477-0.0111885j -0.00798311-0.0125014j -0.00031387-0.0226157j -0.00964872-0.00142223j 0.0005241+0.00481396j 0.00272451+0.00837328j 0.003955-0.00126039j 0.00354847-0.00363247j 0.00036183-0.00294316j 0.000112263+0.00178473j 0.00572235-0.00540703j -0.0186497+0.00609547j -0.00571029-0.00148579j -0.00102721-0.000986338j 0.0115784+0.00377259j 0.00630154-0.0070126j 0.0152401+0.00409452j 0.0186606-0.00191148j 0.00480256+0.0155873j -0.0166064-0.00300761j -0.00987519+0.0106007j -0.00892445+0.00460585j 0.0142499-0.0109343j -0.0272626-0.00143066j 0.0131522-0.0370075j -0.0381942-0.0159116j 
0.00254748-0.000781558j 0.0021731-0.00780324j -0.00747381-0.00613065j 0.00461115+0.00216313j -0.0233463+0.0189585j 0.00390113-0.00985524j 0.0207446+0.020709j 0.0104186+0.00180829j -0.0216874+0.0174255j -0.0117942-0.0338378j -0.0219973-0.000360438j 0.013803-0.0139092j 0.0158284-0.00746716j 0.0059451-0.00734011j -0.0091041-0.0233993j -0.000551712-0.0172598j 0.0183818+0.0117352j -0.00535745-0.0130614j 0.0135753+0.00325541j -0.00335349+0.00481956j 0.00742621-0.00878611j -0.00947284+0.00568441j -0.00258178-0.00815138j -0.00912018-0.00533271j 0.00128405+0.00385551j -0.00252495+0.0086647j 0.00111284+0.0197332j -0.00649849-0.00373991j -0.00149698-0.00408718j -0.00441955+0.00404201j -0.00569667+0.00866678j -0.00975302-0.0104153j -0.00954801-0.0118929j 0.00981543-0.00771165j -0.00441186-0.00977312j 0.00863694+0.00232683j -0.00712697-0.00261355j -0.010798+0.00444487j 0.00182668-0.0119336j 0.00678783+0.00194762j 0.0113596-0.00998874j 0.01326-0.0104238j 0.00703953+0.0344876j 0.00664826-0.00402636j 0.00166211-0.00320105j 0.0063976-0.000143695j -0.00769234+0.00193044j -0.00449758-0.00332765j 0.000982817-0.00381205j 0.00107275-0.00012761j 0.00178505-0.0030602j -0.000256489+0.0016693j -0.00579063+0.00428767j 0.00756129-0.000234831j -0.00598966-0.000670092j -0.00110525+0.000384689j 0.00538838-0.00451121j 0.0056373-0.00698419j -0.000892069+0.00142935j -0.000467189+0.00326218j -0.000537188-0.00436734j 0.00483593+0.00812553j -0.00111871+0.0115359j 0.000488987+0.00137793j -0.000442571+0.00378392j -0.00105202+0.000265087j -0.00022378+0.00496165j 0.00832911-0.00182657j -0.00499194-0.0100078j 
-0.00364562-0.00269064j 0.000937422+0.00619794j -0.00227319+0.0115585j 0.0011791-0.00625778j -0.00671542-0.000682876j 0.00925971+0.0111258j -0.0125337-0.0120437j -0.00804646-0.00221573j -0.029333-0.00873381j -0.0184861+0.0221348j -0.0198062-0.00571581j -0.000145872+0.00893547j 0.00775757+0.0125511j -0.00813256+0.0138301j -0.0137274+0.00332376j -0.0120252-0.00686153j -0.00398231-0.00531939j -0.00965147-0.00524859j -0.00798754-0.000680975j 0.00630835+0.0106967j -0.0184636+0.0153507j 0.0156107-0.00706228j 0.0061058-0.0136036j 0.0117565-0.00422859j -0.00355091+0.0129488j 0.0121083+0.0101134j 0.0077898+0.0157058j 0.0132182-0.00135559j 0.00289751+0.00692933j -0.00069192+0.00531708j 0.00917224-0.0138156j 0.0260699+0.00326745j 0.0250964+0.0091954j -0.0137913-0.00891189j 0.00307364-0.000311069j -0.0107589+0.0158907j 0.0266089-0.00115337j 0.0194625+0.0109268j -0.0140238-0.0158396j 0.00139575-0.00977218j 0.00540195+0.00755571j 0.00171198-0.0108103j -0.000111531+0.00468855j 0.00172816-0.00765248j 0.000396449+0.0112203j 0.000216592+0.00185672j 0.0074869+0.00459455j 0.00545279-0.00484113j 0.00135577+0.00534431j 0.00359291-0.00292017j -0.00548108+0.000924922j -0.00484532+0.000796136j -0.00486466+0.00644572j -0.000101552-0.0015535j -0.0028549+0.00257402j 0.00289118-0.00629976j -0.000986412+0.00270447j 0.00724762-0.00578067j -0.000501702+0.00214309j -0.00195308+0.00237999j 0.00398274+0.00425081j 0.00440026+0.0023124j -0.00453119+0.00391702j -0.00590335-0.00132876j -0.00427673+0.00760398j 0.00819841-0.00753381j -0.00693303+0.00418228j 0.00502389-0.0109633j -0.00994442-0.00199018j 
-0.000369151+0.000272554j -0.000666607+0.00049012j -0.0124152+0.006382j 0.000318763+0.0035858j -0.0144527+0.00681631j 0.0128909-0.00406917j 0.00689881-0.00387087j 0.0252817+0.00102764j 0.0465887-0.00575572j 0.0164645+0.0108063j -0.0189517-0.00663387j 0.00330495+0.00141535j 0.00712937+0.00266838j 0.00129483+0.0105974j -0.00993068-0.00188186j -6.9003e-05-0.0111684j 0.0121438+0.0144921j -0.0125883-0.0104044j -0.00603066-0.0157494j -0.00522317-0.0130562j -0.00788076+0.0202218j 0.00895843-0.00139061j 0.00289748+0.00814872j 0.0113465-8.2425e-05j -0.00882137-0.00561074j 0.0106264+0.00174865j 0.00109009-0.0350137j 0.010902+0.0116768j 0.000932636-0.00379599j 0.000397256-0.00531845j -0.0020637+0.00378683j 0.0164829-0.00747669j 0.0110235+0.0128021j -0.0070091-0.0112187j 0.00366096+0.00149573j -0.00456873-0.00629314j 0.00920688-0.00834563j 0.00473892+0.00225535j -0.00486156-0.015344j 0.00155131-0.00476628j -0.000295562-0.00401938j 0.000546442-0.00742956j -0.00255955+0.00756567j 0.00506525-0.0108064j 0.0028879-0.0050442j -0.00216894+0.0078136j 0.00409369-0.00044733j -0.000105475+0.00140892j 0.000749788-0.000764009j 0.00657432-0.00700305j 0.00128194+0.00151865j 0.000876203-0.00252938j 0.00545372-0.00774788j -0.00389395+0.00147138j -0.00223678+0.0018834j -0.0010944+0.000980041j -0.00610818+0.00615094j -0.00235234-0.00519809j -0.00317395+0.00220236j 0.00307185-0.0079598j 0.000588159-0.00207153j 0.000206161+0.00254932j 0.00101828+0.00257917j -0.000317243+0.002823j 0.000257415-0.000314467j 0.000505551+0.00399245j 0.000506461+0.000823558j 0.000963756-0.00122145j -0.00071591-0.000709908j 
-0.00470438+0.00351471j -0.00362026+0.017953j 0.00405638+0.0117078j 0.00493956-0.01036j -0.0098801-0.00697229j 0.0114809-0.00246561j -0.0123451-0.0224793j -0.0204435-0.012454j 0.0112146-0.0109508j -0.0155808+0.0369241j -0.0342517-0.0116993j -0.0160807+0.0066664j -0.00277797+0.008421j -0.00728011+0.0175565j -0.0114029+0.0116536j 0.0106987+0.00903892j 0.0130796+0.0183018j 0.0073812+6.4731e-05j 0.00418464-0.00968889j 0.00397828-0.0154871j 0.0178029-0.0147121j -0.0130987+0.00267193j 0.00180939+0.00784874j -0.00501-0.00434626j 0.000938574+0.00181581j -0.00211183+0.00311231j -0.00593486+0.0119292j -0.0128276-0.000299003j -0.000713522-0.00386574j -0.00449624-0.00206744j -0.0125548+0.00325916j -0.0139905+0.00392835j -0.0193015-0.0127189j 0.013946+0.00908642j -0.00304584-0.00624338j 0.00884731-0.0147955j -0.0164971-0.0102706j -0.0075375+0.000102331j 0.00905401-0.00413204j -0.000643466-0.0127346j -0.0215427-0.0145215j -0.0140043+0.024003j -0.0088428-0.00755579j -0.00973983-0.00524361j 0.00435497-0.000949702j 0.000950426+0.0117304j 0.00894551-0.0109015j -0.000328373-0.00371319j -0.00233991-0.00263955j -0.00316589+0.000143241j 0.000792412-0.000236079j 0.000897779-0.0042527j -0.00167074-0.000346943j 0.000640756-0.00863675j 0.00784345+0.00465904j 0.00687904-0.00289774j 0.00468702+0.00202775j -0.0124285-0.00541236j -0.000968239-0.00465798j -0.00339841-0.00942083j -0.000714612-0.00504094j -0.00205191-0.0137084j 0.00920826-0.00565399j -0.00124092+0.00261094j 0.00169548+0.000894333j 0.0019606-0.0024505j 0.015629-0.00871073j -0.00495415+0.0126127j 0.0220517+0.00594236j 
-0.00347106-0.0104037j -0.00499608-5.7005e-05j -0.010327+0.0186534j 0.00819661+0.00202019j 0.0106462-0.0117026j 0.00731559+0.00135242j -0.0346398-0.000503358j 0.0285499-0.00283265j -0.00820756+0.00423374j 0.0169121+0.00316651j -0.00495784-0.00628162j 0.00679374-0.00820868j 0.00918407+0.00285056j -0.0195619+0.00818529j -0.00897649+0.0016472j -0.0281474+0.00588329j -0.0133761-0.0177255j -0.00180234-0.0183011j 0.00344982-0.00285606j 0.00676514-0.0271754j 0.016622-0.00819331j -0.00731349+0.0128626j -0.00254477+0.0149598j -0.00205724-0.00732793j 0.00504969+0.00460739j -0.0084279-0.00388328j -0.00601189-0.0017605j -0.0121476-0.00443473j -3.77602e-05-0.00379321j 0.00263526-0.00433089j -0.00562541-0.00134485j -0.0222182-0.00190849j -0.0177562-0.0148913j 0.00186827-0.00371811j -0.0084327+0.00445081j 0.00727433+0.0117414j -0.00242484-0.0108537j -0.00455925+0.0116162j 0.0157513+0.0110182j -0.00936378-0.00195067j 0.00475575+0.00970433j -0.00508471-0.00660272j 0.0111697+0.00308715j 0.00663494-0.00270527j -0.00428809+0.000747331j -0.005623-0.000471195j -0.00863797+0.0158872j 0.00260799+0.0021965j -0.000373635-0.00086159j 0.00295148-0.00124266j 0.00455578-0.000120316j 0.00359476-0.00101445j -0.00144058-0.00171008j -0.000333526-0.00341634j -0.00416886+0.00270465j -0.00448661+0.00407733j 0.00386046-0.00578849j 0.00413638+0.00120811j -0.00261432+0.000272399j -0.000772012-0.000509407j 0.00820575+0.00400337j -0.00287786+0.00397017j -0.00981278+0.00293919j -0.00121489+0.00321912j -0.00218076-0.0019176j 0.0016482+0.00500484j -0.0149057+0.00733404j -0.00586007-0.0120482j -0.0149144+0.00791998j 
0.00807045+0.00589734j -0.00390159-0.0186452j 0.00553143+0.0113298j -0.00711581+0.0015331j -0.00940737-0.0116866j -0.00547455-0.00308083j 0.0235127-0.0151967j 0.0141153-0.017069j -0.0132995-0.00878942j -0.0016685+0.0364028j 0.012346-0.00861281j 0.0144924+0.00845198j -0.00268896-0.00893766j 0.0135401+0.0176493j -0.0155612+0.0141255j -0.0027667-0.00205919j -0.00684716+0.00483185j -0.0108939-0.0162938j 0.00260029+0.00387574j -0.000131262+0.013794j -0.0102009-0.0069823j -0.00795673+0.00073279j -0.00818375-0.00308094j 0.00212639-0.000544003j 0.00464911-0.00830231j 0.00327137-0.00481501j -0.00551883-0.00492838j -0.00147667-0.003584j -0.00100064+0.00066325j -0.00155397+0.00566521j -0.00127908+0.00809101j -0.00790313-0.00496024j -0.00384632-0.00224762j -0.00351228+0.00731846j -0.00291055+0.0089993j 0.010237+0.000870075j -0.00105344-0.00806918j 0.00252201+0.00632287j 0.0173317-0.00604321j -0.00839161+0.00594241j -2.12362e-05-0.0204864j -0.0217073-0.00244193j -0.00130952-0.0126923j -0.00972029+0.00023994j -0.00636314+0.00311294j -0.0190057-0.00229839j -0.00212494+0.00750275j 0.0036313-0.00279889j 0.00050093-0.00489756j -0.00104714+0.000109943j -0.00180284+0.00304787j -0.001062+0.000346906j 0.00311785-0.00203791j -0.00578701+0.00317822j 0.00254985+0.00459023j 0.00826037-0.00277499j -0.00137722-0.00185836j -0.00399183+0.00150685j -0.0106533+6.21546e-05j -0.0121783+0.00863265j 0.00253134-0.0112809j -0.0156307-0.00595578j -0.00643476-0.00739242j 0.00734046-0.00554498j 0.00341124-0.00709249j -0.0102573+0.00969849j -0.0125961-0.00224695j -0.0310219+0.0058893j -0.00203242+0.0273976j 
0.00450674-0.0134372j -0.00351818-0.00224927j 0.00206686-0.0172008j -0.00680382+0.0207044j -0.00946275+0.0107853j -0.00688968-0.00473655j -0.00111051+0.0296831j 0.00631765+0.0101047j 0.0016233-0.00599578j -3.27045e-05-0.00535975j -0.00786157+0.00849667j 0.00143667-4.2376e-05j 0.00920134+0.0116201j 0.0112888-0.0174459j -0.0235183+0.0265179j -0.00364803-0.00808408j -0.00318856+0.000761388j 0.00174619+0.005127j -0.000584638+0.0303976j 0.00476525-0.00504421j -0.00373295-0.00267744j -0.00912419-0.0101857j 0.00117068+0.00217177j 0.00460108-0.00391093j 0.00747233-0.00475109j -0.0108277-0.00774807j -0.000474725+0.00306293j 0.00303023+0.00336686j -0.00392183+0.0078521j 0.0150984-0.00114849j 0.031435-0.000373572j -0.00692878+0.0172929j 0.000271317-0.00170674j -0.00311339+0.0124509j -0.00467932+0.0159714j -0.00156796-0.00548227j -0.00968986-0.00050554j 0.0209196+0.0128425j -0.00139635+0.00765494j -0.00919564-0.0178386j -0.0133878-0.00270111j -0.018934+0.0240811j -0.0294208+3.65579e-05j 0.00856483-0.00751269j -0.00736625+0.00259061j -0.00978223+0.0109743j -0.00124613-0.0121013j 0.00376255-0.00328098j -0.00173011+0.00753106j -0.00159283+0.00134908j -0.00165422-0.00176792j 0.000246866-0.000630403j 0.00491837+0.0026116j 0.000838951-0.00183261j 0.0114255-0.0034631j 0.00363044-0.00584403j 0.00145971+0.00106171j -0.000339749-0.00518913j -0.00368713-0.000464454j 0.00942121-0.00330538j 0.00575599-0.00517909j -0.0018454-0.0153934j -0.0123489-0.00864495j -0.0153589-0.00142045j -0.0101967+0.00175185j 0.0186598-0.00273203j -0.00844293-0.0112823j 0.0030576+0.000261061j 0.000895368+0.00848885j 
0.00081918-0.00259416j 0.00355212-0.00442427j -0.00154454+0.0181487j 0.00123+0.0190014j -0.000968888-0.0073112j -0.00534578+0.0232303j 0.0050516-0.0163858j -0.00195304-0.00111883j 0.000821517-0.0376427j 0.00341358+0.00513172j -0.00297492+0.0174664j -0.0146628-0.0104322j -0.00696573+0.00220053j 0.0033701-0.00733406j 0.0138228+0.0169034j 0.00659966-0.0160453j 0.00762034+0.00434221j 0.00381358+0.0145958j -0.000716913+0.0165491j 0.00328515+0.00038717j 0.00594337-0.0120378j 0.00592826-0.00701587j -0.00237734+0.0143773j -0.0102501+0.00385029j -0.0016336+0.00607699j -0.0125211-0.000455224j 0.00104434-0.00304299j -0.00668608-0.00658531j -7.78471e-05+0.00974732j 0.00202406-0.00543969j -0.00170752-0.00592707j -0.00411234+0.00575802j 0.000295549-0.00562597j 0.0113437-0.00350988j 0.00226653+0.00449553j -0.00885012+0.00642352j -0.0108928+0.0173585j -0.0112235-0.00284336j -0.00593107+0.00720311j 0.0138013-0.00987367j 0.0187948+0.0125868j 0.014798-0.00736545j 0.00282498+0.00364128j 0.00803583-0.0056252j -0.00100563+0.00217553j 0.00163297-0.00535604j -0.010916+0.00496495j -0.00055164-0.00129169j 0.000439945-0.00564461j 0.0014959+0.00139172j 0.00124018-0.00187291j 0.00178637+0.00189583j 0.00364134+0.00259153j 0.00343035+0.00103327j -0.0054559-0.00201736j -0.00297639+0.00179276j 0.000401171-0.000600371j 0.0125237-0.00203811j -0.000684595+0.000128542j -0.000336629+2.04148e-05j -0.00979639+0.00949625j 0.00996757+0.00370186j -0.00546833+0.0108189j 0.00662708-0.00307609j 0.000145657+0.00763346j -0.0121562-0.00913816j 0.000806211+0.00818332j 0.00517148+0.002187j 6.97231e-05-0.0107322j 
-0.000590486-0.00661411j -0.00436192+0.0030568j 0.00370543+0.00479245j 0.000277326-0.00168605j 0.00714419-0.00598049j -0.00344534-0.0177535j -0.000728472-0.000935084j -0.00889556-0.0271494j 0.00506137-0.0460737j -0.00045353-0.0358183j 0.0159267-0.024917j -0.00264871+0.0184657j 0.000449034-0.000561146j 0.00663908+0.0028038j 0.00862057-0.00363703j 0.00598689+0.0099j -0.00438801+0.0040105j 0.00488218-0.00197159j -0.000130557-0.00276517j -0.00572777+0.0054872j -0.00229782+0.00151842j -0.00679179-0.00163462j 0.000509803-0.000630365j 0.000806036-0.00741185j -0.00355172-0.00340051j 0.00814547+0.00644639j 0.0001835+0.00390206j -0.0031934-0.00315506j -0.00142707+0.00322178j -0.00186249-0.00259431j 0.00135232+0.00644894j 0.000568125-0.0059369j 0.00269696+0.000570833j 0.000458246+0.00825456j 0.0118914-0.00906096j 0.00261868-0.00267648j -0.00119354-0.00672635j -0.00496887+0.0042217j 0.00373515-0.010851j 0.0013945+0.00921076j -0.0147767-0.0020551j -0.000909382+0.00623829j -0.0110389-0.000834323j -0.00184673-0.00271163j -0.000899101+0.00144729j -0.00137756+0.00555143j -0.000434669-0.000513605j -0.000930264+0.00134071j -0.00143476+0.00515918j -0.00207847+0.00192618j 0.0016112-0.00129482j 0.00188884+0.000662636j 9.49373e-05+0.000562409j 0.00365688-0.000454679j 0.00341237-0.00292304j 0.00039765+0.000703185j 0.000390722-0.00173609j 0.00313776-0.0057076j -0.00697794-0.000519354j -0.00436408+0.00501805j -0.00414831-0.00310043j -0.00802209-0.00028229j 0.00133298-0.00251121j 0.000953123-0.00420504j -0.00226168+0.0027791j -0.00370935-0.00325999j 0.000956285-0.0010889j -0.00160109-0.000735703j 0.00365152+0.0070276j 
